石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			極まりし雲神ビスマルク							
ただならぬ雰囲気の者でございました。どうか、お気をつけて……。			ただならぬ雰囲気の者でございました。どうか、お気をつけて……。			古の神							
なんでも、お手すきになった際に、「石の家」の「暁の間」までいらしてほしいとか……。			なんでも、お手すきになった際に、「石の家」の「暁の間」までいらしてほしいとか……。			古の神							
(-？？？？-)……フフフ、よく来てくれましたね。			(-？？？？-)……フフフ、よく来てくれましたね。			古の神							
僕の名は、ウヌクアルハイ……。貴方もよく知る人物の使いの者です。			僕の名は、ウヌクアルハイ……。貴方もよく知る人物の使いの者です。			古の神							
……時に貴方は、「闘神」と呼ばれる存在をご存知ですか？			……時に貴方は、「闘神」と呼ばれる存在をご存知ですか？			古の神							
黒衣森を彷徨う古の蛮神「オーディン」が、そう呼ばれていることは、ご存知のとおり……。			黒衣森を彷徨う古の蛮神「オーディン」が、そう呼ばれていることは、ご存知のとおり……。			古の神							
「闘神」とは、古代アラグ帝国における、「蛮神」の呼び名なのです……。			「闘神」とは、古代アラグ帝国における、「蛮神」の呼び名なのです……。			古の神							
(-？？？？-)……そこから先は、私が話しましょう。			(-？？？？-)……そこから先は、私が話しましょう。			古の神							
貴方も来てくれたのですか、ウリエンジェ。			貴方も来てくれたのですか、ウリエンジェ。			古の神							
えぇ……光の戦士の同志として、当然のこと。何より、この星の運命を語るに必定なれば……。……さて、「闘神」の話を続けるとしましょう。			えぇ……光の戦士の同志として、当然のこと。何より、この星の運命を語るに必定なれば……。……さて、「闘神」の話を続けるとしましょう。			古の神							
古の時代、アラグ帝国は「闘神」を用いた抵抗に手を焼き、その討滅法を模索する過程で、ある技術を編み出した。捉えることで再召喚を防ぎ、その力を利用する術を……。			古の時代、アラグ帝国は「闘神」を用いた抵抗に手を焼き、その討滅法を模索する過程で、ある技術を編み出した。捉えることで再召喚を防ぎ、その力を利用する術を……。			古の神							
アラグ帝国の技術の結晶である「魔大陸アジス・ラー」。その中枢「魔科学研究所」は、蛮神利用法の研究機関……。			アラグ帝国の技術の結晶である「魔大陸アジス・ラー」。その中枢「魔科学研究所」は、蛮神利用法の研究機関……。			古の神							
そして、最深部にあるクリスタル増殖炉では、三体の蛮神……つまり「三闘神」が封印されていた。			そして、最深部にあるクリスタル増殖炉では、三体の蛮神……つまり「三闘神」が封印されていた。			古の神							
教皇が「魔大陸」に赴いたのは、「三闘神」が生み出す、無限の力を手に入れるため……。			教皇が「魔大陸」に赴いたのは、「三闘神」が生み出す、無限の力を手に入れるため……。			古の神							
しかし、その核たる存在……蛮神「ナイツ・オブ・ラウンド」が葬られた今、その封印は、解かれつつあります。			しかし、その核たる存在……蛮神「ナイツ・オブ・ラウンド」が葬られた今、その封印は、解かれつつあります。			古の神							
何も、教皇を討った貴方を責めている訳ではありません。これは、約束された運命だったのです……。……ですが、「三闘神」の覚醒は、世界の滅びを招く。			何も、教皇を討った貴方を責めている訳ではありません。これは、約束された運命だったのです……。……ですが、「三闘神」の覚醒は、世界の滅びを招く。			古の神							
「三闘神」の覚醒までには、多少の猶予があるはず。その間に手を打てば、再封印も叶いましょう……。			「三闘神」の覚醒までには、多少の猶予があるはず。その間に手を打てば、再封印も叶いましょう……。			古の神							
それと、問題がもうひとつ……。「三闘神」の目覚めに促されたように、かの地に、蛮神が再召喚されています。			それと、問題がもうひとつ……。「三闘神」の目覚めに促されたように、かの地に、蛮神が再召喚されています。			古の神							
……ええ、ご想像のとおり、各地の蛮族たちは、再び神降ろしを行ったようです。それも、「極まりし力」を持つ神を……。			……ええ、ご想像のとおり、各地の蛮族たちは、再び神降ろしを行ったようです。それも、「極まりし力」を持つ神を……。			古の神							
新たに降ろされた、極まりし蛮神は2体。武神「ラーヴァナ」と、雲神「ビスマルク」……。			新たに降ろされた、極まりし蛮神は2体。武神「ラーヴァナ」と、雲神「ビスマルク」……。			古の神							
これらを放置すれば、「三闘神」の無限の力を求め、さらなる混沌を生み出すでしょう。そして、それは、彼らの覚醒を促すことになる。			これらを放置すれば、「三闘神」の無限の力を求め、さらなる混沌を生み出すでしょう。そして、それは、彼らの覚醒を促すことになる。			古の神							
まずは、情報が揃っている、極まりし蛮神の討滅を進めるべきでしょう。……そして、いずれは、封印から解き放たれた闘神を。			まずは、情報が揃っている、極まりし蛮神の討滅を進めるべきでしょう。……そして、いずれは、封印から解き放たれた闘神を。			古の神							
私は砂の家へと戻り、対策を練りましょう。星の運命に抗うために……この試練、為さねばなりません……。			私は砂の家へと戻り、対策を練りましょう。星の運命に抗うために……この試練、為さねばなりません……。			古の神							
あなたは、この少年とともに、かの者たちの討滅を。心配は無用……彼は、危険な存在ではありませんよ。少なくとも、今のところは……。			あなたは、この少年とともに、かの者たちの討滅を。心配は無用……彼は、危険な存在ではありませんよ。少なくとも、今のところは……。			古の神							
石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			極まりし武神ラーヴァナ							
ウヌクアルハイから、再召喚された武神「ラーヴァナ」の討伐を頼まれ、炎土の破魔石を受け取った。武神の闘技場に近づくため、高地ドラヴァニアのヴァスの塚にいる「ストーリーテラー」と話そう。			ウヌクアルハイから、再召喚された武神「ラーヴァナ」の討伐を頼まれ、炎土の破魔石を受け取った。武神の闘技場に近づくため、高地ドラヴァニアのヴァスの塚にいる「ストーリーテラー」と話そう。			極まりし武神ラーヴァナ							
ストーリーテラーと話した。高地ドラヴァニアの武神穴にある「グナース・エーテライト」に触れよう。			ストーリーテラーと話した。高地ドラヴァニアの武神穴にある「グナース・エーテライト」に触れよう。			極まりし武神ラーヴァナ							
グナース・エーテライトに触れた。仲間とともに、再召喚された武神「ラーヴァナ」を倒そう！※コンテンツファインダーから攻略に参加できます。			グナース・エーテライトに触れた。仲間とともに、再召喚された武神「ラーヴァナ」を倒そう！※コンテンツファインダーから攻略に参加できます。			極まりし武神ラーヴァナ							
再召喚された武神「ラーヴァナ」を討伐した。ヴァスの塚にいる「ストーリーテラー」に報告しよう。			再召喚された武神「ラーヴァナ」を討伐した。ヴァスの塚にいる「ストーリーテラー」に報告しよう。			極まりし武神ラーヴァナ							
ストーリーテラーに報告した。石の家の「ウヌクアルハイ」にも報告しよう。			ストーリーテラーに報告した。石の家の「ウヌクアルハイ」にも報告しよう。			極まりし武神ラーヴァナ							
ウヌクアルハイに武神「ラーヴァナ」討伐の状況を報告した。極まりし武神「ラーヴァナ」のエーテルは、無事に大地に還元されたようだ。			ウヌクアルハイに武神「ラーヴァナ」討伐の状況を報告した。極まりし武神「ラーヴァナ」のエーテルは、無事に大地に還元されたようだ。			極まりし武神ラーヴァナ							
ヴァスの塚のストーリーテラーと話す			ヴァスの塚のストーリーテラーと話す			極まりし武神ラーヴァナ							
武神穴のグナース・エーテライトに触れる			武神穴のグナース・エーテライトに触れる			極まりし武神ラーヴァナ							
「極ラーヴァナ討滅戦」を攻略			「極ラーヴァナ討滅戦」を攻略			極まりし武神ラーヴァナ							
ヴァスの塚のストーリーテラーに報告			ヴァスの塚のストーリーテラーに報告			極まりし武神ラーヴァナ							
石の家のウヌクアルハイに報告			石の家のウヌクアルハイに報告			極まりし武神ラーヴァナ							
極まりし蛮神のうち、武神「ラーヴァナ」は大地の脅威となる相手……。			極まりし蛮神のうち、武神「ラーヴァナ」は大地の脅威となる相手……。			極まりし武神ラーヴァナ							
かの蛮神は、闘技場に籠もり瞑想し、信徒であるグナース族の祈りの力を集めている様子。近づくのは、容易ではありません。			かの蛮神は、闘技場に籠もり瞑想し、信徒であるグナース族の祈りの力を集めている様子。近づくのは、容易ではありません。			極まりし武神ラーヴァナ							
「ヴァスの塚」の長、「ストーリーテラー」に相談し、武神の闘技場に近づく算段を見出すのです。			「ヴァスの塚」の長、「ストーリーテラー」に相談し、武神の闘技場に近づく算段を見出すのです。			極まりし武神ラーヴァナ							
それから……この「炎土の破魔石」をお持ちください。きっと、役に立つはずですから……。			それから……この「炎土の破魔石」をお持ちください。きっと、役に立つはずですから……。			極まりし武神ラーヴァナ							
かの蛮神は、闘技場に籠もり瞑想し、信徒であるグナース族の祈りの力を集めている様子。近づくのは、容易ではありません。			かの蛮神は、闘技場に籠もり瞑想し、信徒であるグナース族の祈りの力を集めている様子。近づくのは、容易ではありません。			極まりし武神ラーヴァナ							
「ヴァスの塚」の長、「ストーリーテラー」に相談し、武神の闘技場に近づく算段を見出すのです。			「ヴァスの塚」の長、「ストーリーテラー」に相談し、武神の闘技場に近づく算段を見出すのです。			極まりし武神ラーヴァナ							
シシシシシ……ヒトの狩人ではないか。……ふむ、またも「神」を狩るつもりとは、何と剛毅なこと。			シシシシシ……ヒトの狩人ではないか。……ふむ、またも「神」を狩るつもりとは、何と剛毅なこと。			極まりし武神ラーヴァナ							
しかし「分かたれし者」は、神狩る狩人を歓迎しよう。「繋がりし者」たちは、「神」に捧げる供物を集めんと、日ごと勢いを増し、我々も困り果てておるゆえな。			しかし「分かたれし者」は、神狩る狩人を歓迎しよう。「繋がりし者」たちは、「神」に捧げる供物を集めんと、日ごと勢いを増し、我々も困り果てておるゆえな。			極まりし武神ラーヴァナ							
なるほど、武神の闘技場に赴きたい……と。なれば、「グナースの塚」にある「武神穴」に征くがいい。かの地に秘匿されし「グナース・エーテライト」を利用するのだ。			なるほど、武神の闘技場に赴きたい……と。なれば、「グナースの塚」にある「武神穴」に征くがいい。かの地に秘匿されし「グナース・エーテライト」を利用するのだ。			極まりし武神ラーヴァナ							
だが、「繋がりし者」は、結界を張り巡らせているとも聞く。魔を破る方法なくば、エーテライトは利用できぬかもしれんぞ………………シシシシシ。			だが、「繋がりし者」は、結界を張り巡らせているとも聞く。魔を破る方法なくば、エーテライトは利用できぬかもしれんぞ………………シシシシシ。			極まりし武神ラーヴァナ							
武神の闘技場に赴きたい……と。なれば、「グナースの塚」にある「武神穴」に征くがいい。かの地に秘匿されし「グナース・エーテライト」を利用するのだ。			武神の闘技場に赴きたい……と。なれば、「グナースの塚」にある「武神穴」に征くがいい。かの地に秘匿されし「グナース・エーテライト」を利用するのだ。			極まりし武神ラーヴァナ							
破魔石により、グナース・エーテライトの結界が解かれた！炎土の破魔石は、砕け散った……。			破魔石により、グナース・エーテライトの結界が解かれた！炎土の破魔石は、砕け散った……。			極まりし武神ラーヴァナ							
シシシシシ……またも「神」狩りを成すとは！狩人の力、見事なりと称えねばなるまい！			シシシシシ……またも「神」狩りを成すとは！狩人の力、見事なりと称えねばなるまい！			極まりし武神ラーヴァナ							
これで「繋がりし者」たちも、神降ろしの愚行を、止めてくれると良いのだが……。			これで「繋がりし者」たちも、神降ろしの愚行を、止めてくれると良いのだが……。			極まりし武神ラーヴァナ							
シシシシシ……ところで狩人よ。いかにして「グナース・エーテライト」の結界を破ったのだ？			シシシシシ……ところで狩人よ。いかにして「グナース・エーテライト」の結界を破ったのだ？			極まりし武神ラーヴァナ							
「炎土の破魔石」とな……！？かつて「分かたれし者」となる前、「繋ぎ止めし者」の記憶に、そのような物があったことを覚えておるぞ。			「炎土の破魔石」とな……！？かつて「分かたれし者」となる前、「繋ぎ止めし者」の記憶に、そのような物があったことを覚えておるぞ。			極まりし武神ラーヴァナ							
だが、それは何十、何百の世代をさかのぼる古きもの……。古の「繋ぎ止めし者」が、何者かからそのような呪具を、見せられた記憶があるのだ……。			だが、それは何十、何百の世代をさかのぼる古きもの……。古の「繋ぎ止めし者」が、何者かからそのような呪具を、見せられた記憶があるのだ……。			極まりし武神ラーヴァナ							
……ウヌクアルハイなる者から、受け取ったと？シシシシシ……その者の名は、古き記憶にもない。			……ウヌクアルハイなる者から、受け取ったと？シシシシシ……その者の名は、古き記憶にもない。			極まりし武神ラーヴァナ							
なんとも不可思議な話だ……。ヒトの中にも、「繋ぎ止めし者」のように、連綿と古き記憶を持つ者がいるというのか？			なんとも不可思議な話だ……。ヒトの中にも、「繋ぎ止めし者」のように、連綿と古き記憶を持つ者がいるというのか？			極まりし武神ラーヴァナ							
なんとも不可思議な話だ……。ヒトの中にも、「繋ぎ止めし者」のように、連綿と古き記憶を持つ者がいるというのか？			なんとも不可思議な話だ……。ヒトの中にも、「繋ぎ止めし者」のように、連綿と古き記憶を持つ者がいるというのか？			極まりし武神ラーヴァナ							
おつかれさまでした。極まりし武神「ラーヴァナ」のエーテルが、ドラヴァニアの大地へと還元されるのを観測できましたよ。			おつかれさまでした。極まりし武神「ラーヴァナ」のエーテルが、ドラヴァニアの大地へと還元されるのを観測できましたよ。			極まりし武神ラーヴァナ							
さあ次は、極まりし雲神「ビスマルク」です。			さあ次は、極まりし雲神「ビスマルク」です。			極まりし武神ラーヴァナ							
かの蛮神は、雲海を遊弋して場所が定まらない……。討滅も一筋縄ではいかないでしょう。			かの蛮神は、雲海を遊弋して場所が定まらない……。討滅も一筋縄ではいかないでしょう。			極まりし武神ラーヴァナ							
極まりし雲神「ビスマルク」に続き、武神「ラーヴァナ」のエーテルもまた、還元されたようですね。			極まりし雲神「ビスマルク」に続き、武神「ラーヴァナ」のエーテルもまた、還元されたようですね。			極まりし武神ラーヴァナ							
感謝しますよ、光の戦士……。雲神と武神を放置すれば、必ずや、霊災級の災いへと発展していたことでしょう。			感謝しますよ、光の戦士……。雲神と武神を放置すれば、必ずや、霊災級の災いへと発展していたことでしょう。			極まりし武神ラーヴァナ							
……なぜなら、これらの蛮神は、どちらも「魔大陸」へと飛翔する力を秘めていたのですから。			……なぜなら、これらの蛮神は、どちらも「魔大陸」へと飛翔する力を秘めていたのですから。			極まりし武神ラーヴァナ							
蛮神たちは、未だ微睡みの内にある闘神を喰らうことで、さらなる力を得ようとしていた……。……僕には、それがわかるのです。			蛮神たちは、未だ微睡みの内にある闘神を喰らうことで、さらなる力を得ようとしていた……。……僕には、それがわかるのです。			極まりし武神ラーヴァナ							
なぜ、蛮神の思考がわかるのか疑問ですか？それが、僕にあたえられた異能だからですよ。			なぜ、蛮神の思考がわかるのか疑問ですか？それが、僕にあたえられた異能だからですよ。			極まりし武神ラーヴァナ							
フフフ、貴方も「超える力」とは何なのかを理解しないまま、異能の力を利用しているではありませんか。それと同じことです……。			フフフ、貴方も「超える力」とは何なのかを理解しないまま、異能の力を利用しているではありませんか。それと同じことです……。			極まりし武神ラーヴァナ							
神々に愛されし地、エオルゼア……。その神々とは、善なるものか悪なるものか。……フフフ、果たしてどちらなのでしょうかね。			神々に愛されし地、エオルゼア……。その神々とは、善なるものか悪なるものか。……フフフ、果たしてどちらなのでしょうかね。			極まりし武神ラーヴァナ							
