七賢人の庭のミッドランダー族の研究員は、周囲を見渡しているようだ。			七賢人の庭のミッドランダー族の研究員は、周囲を見渡しているようだ。			在りし日の想いを込めて							
結果、彼が終末までに体験した記憶が、朧げながら、脳裏に浮かんでくるようになったのです。そんな中、監獄に関するある光景がよぎりまして……。			結果、彼が終末までに体験した記憶が、朧げながら、脳裏に浮かんでくるようになったのです。そんな中、監獄に関するある光景がよぎりまして……。			在りし日の想いを込めて							
それは、とある獄卒が同僚から詰問されている場面……。募る想いから、独断でエリクトニオスさんの魔法人形を創造し、獄内でちょっとした問題になったようです。			それは、とある獄卒が同僚から詰問されている場面……。募る想いから、独断でエリクトニオスさんの魔法人形を創造し、獄内でちょっとした問題になったようです。			在りし日の想いを込めて							
事情を知ったエリクトニオスさんは、苦笑して言っていました。「どうせなら自分より、テミスの魔法人形が創れたらいいんだが、　あいにく君は、あいつの姿を見てないんだよな」と……。			事情を知ったエリクトニオスさんは、苦笑して言っていました。「どうせなら自分より、テミスの魔法人形が創れたらいいんだが、　あいにく君は、あいつの姿を見てないんだよな」と……。			在りし日の想いを込めて							
当事者が咎めなかったことで、獄卒のお方も特に罰は受けなかったようですが……その発言から、私たちはあることを思ったのです。			当事者が咎めなかったことで、獄卒のお方も特に罰は受けなかったようですが……その発言から、私たちはあることを思ったのです。			在りし日の想いを込めて							
パンデモニウムの事件を解決した、もうひとりの立役者であり、十四人委員会の一員エリディブスの座に就く、テミスさん。彼の魔法人形を、エリクトニオスさんは欲していた……。			パンデモニウムの事件を解決した、もうひとりの立役者であり、十四人委員会の一員エリディブスの座に就く、テミスさん。彼の魔法人形を、エリクトニオスさんは欲していた……。			在りし日の想いを込めて							
ならば、テミスさんの姿を知る私たちが魔法人形を作り、代わりに贈ろうではありませんか！			ならば、テミスさんの姿を知る私たちが魔法人形を作り、代わりに贈ろうではありませんか！			在りし日の想いを込めて							
というわけで、交流のある職人にかけあい、作成した魔法人形が……こちらです！			というわけで、交流のある職人にかけあい、作成した魔法人形が……こちらです！			在りし日の想いを込めて							
過去の世界へ渡り、パンデモニウムに行けるのはあなただけ……。どうか、この魔法人形をエリクトニオスさんのもとへ、届けていただけないでしょうか？			過去の世界へ渡り、パンデモニウムに行けるのはあなただけ……。どうか、この魔法人形をエリクトニオスさんのもとへ、届けていただけないでしょうか？			在りし日の想いを込めて							
何と言う？			何と言う？			在りし日の想いを込めて							
もちろん！			もちろん！			在りし日の想いを込めて							
彼の仕事を邪魔してしまわないだろうか			彼の仕事を邪魔してしまわないだろうか			在りし日の想いを込めて							
自分も魔法人形になりたかった			自分も魔法人形になりたかった			在りし日の想いを込めて							
ありがとうございます！どうか、彼の願いを叶えて差し上げてください。			ありがとうございます！どうか、彼の願いを叶えて差し上げてください。			在りし日の想いを込めて							
実は……脳裏に浮かぶエリクトニオスさんの記憶で、彼がご自身の願望を述べた場面がほとんどないのですよ。			実は……脳裏に浮かぶエリクトニオスさんの記憶で、彼がご自身の願望を述べた場面がほとんどないのですよ。			在りし日の想いを込めて							
その気持ちもわかりますが、どうかお願いできないでしょうか？実は……脳裏に浮かぶエリクトニオスさんの記憶で、彼がご自身の願望を述べた場面がほとんどないのですよ。			その気持ちもわかりますが、どうかお願いできないでしょうか？実は……脳裏に浮かぶエリクトニオスさんの記憶で、彼がご自身の願望を述べた場面がほとんどないのですよ。			在りし日の想いを込めて							
たしかに、あなたの人形も欲するのかは気になりますね……。実は、脳裏に浮かぶエリクトニオスさんの記憶で、彼がご自身の願望を述べた場面がほとんどないのですよ。			たしかに、あなたの人形も欲するのかは気になりますね……。実は、脳裏に浮かぶエリクトニオスさんの記憶で、彼がご自身の願望を述べた場面がほとんどないのですよ。			在りし日の想いを込めて							
あまり願望を口にしないのが、古代の風潮かもしれませんが、なればこそ、何気ない思いでも叶えて差し上げたい……。それが、彼に救われた私たちの願いなのです。			あまり願望を口にしないのが、古代の風潮かもしれませんが、なればこそ、何気ない思いでも叶えて差し上げたい……。それが、彼に救われた私たちの願いなのです。			在りし日の想いを込めて							
パンデモニウムへは、エルピスの転移装置から向かえるはず。まずは獄卒長のヘーゲモネーさんに、彼との面会が叶うか、尋ねてみるのがいいでしょう。			パンデモニウムへは、エルピスの転移装置から向かえるはず。まずは獄卒長のヘーゲモネーさんに、彼との面会が叶うか、尋ねてみるのがいいでしょう。			在りし日の想いを込めて							
おや、あなたは……！まだパンデモニウムにご用事が？			おや、あなたは……！まだパンデモニウムにご用事が？			在りし日の想いを込めて							
エリクトニオスに魔法人形を贈りたいのですか……。彼なら、先の事件で大きく評価を上げたこともあり、獄卒として多忙を極めております。			エリクトニオスに魔法人形を贈りたいのですか……。彼なら、先の事件で大きく評価を上げたこともあり、獄卒として多忙を極めております。			在りし日の想いを込めて							
ですが本人はそれに驕ることなく、修行に励んでいますよ。実は今も、監獄を離れラハブレア院に出向いておりまして……			ですが本人はそれに驕ることなく、修行に励んでいますよ。実は今も、監獄を離れラハブレア院に出向いておりまして……			在りし日の想いを込めて							
ラハブレア様のもと、監獄を束ねる「獄卒長」の地位を目指し、創造生物を制する魔法を学んでいるのです。			ラハブレア様のもと、監獄を束ねる「獄卒長」の地位を目指し、創造生物を制する魔法を学んでいるのです。			在りし日の想いを込めて							
ラハブレア様の苛烈な指導や物言いに、挫けそうになるときもあるようですが……「成長した姿をあいつに見せたいんだ」と笑っていました。			ラハブレア様の苛烈な指導や物言いに、挫けそうになるときもあるようですが……「成長した姿をあいつに見せたいんだ」と笑っていました。			在りし日の想いを込めて							
何と言う？			何と言う？			在りし日の想いを込めて							
エリクトニオスらしい			エリクトニオスらしい			在りし日の想いを込めて							
彼の目標はきっと達成されるだろう			彼の目標はきっと達成されるだろう			在りし日の想いを込めて							
でも、このあと……			でも、このあと……			在りし日の想いを込めて							
私もそう思いますよ……。ですが、まだ成長の過程にある今、あなたと顔を合わせるのは、彼も本意ではないかもしれません。			私もそう思いますよ……。ですが、まだ成長の過程にある今、あなたと顔を合わせるのは、彼も本意ではないかもしれません。			在りし日の想いを込めて							
まるで未来を見たような口ぶりですね……。ともあれ、まだ成長の過程にある今、あなたと顔を合わせるのは、彼も本意ではないかもしれません。			まるで未来を見たような口ぶりですね……。ともあれ、まだ成長の過程にある今、あなたと顔を合わせるのは、彼も本意ではないかもしれません。			在りし日の想いを込めて							
彼の今後に、なにか懸念でも……？ともあれ、まだ成長の過程にある今、ここで顔を合わせるのは、彼も本意でないかもしれません。			彼の今後に、なにか懸念でも……？ともあれ、まだ成長の過程にある今、ここで顔を合わせるのは、彼も本意でないかもしれません。			在りし日の想いを込めて							
とはいえ、魔法人形を届けたいという希望も理解できます。私から渡してもいいのですが、あなたも彼の反応は気になるでしょうし……			とはいえ、魔法人形を届けたいという希望も理解できます。私から渡してもいいのですが、あなたも彼の反応は気になるでしょうし……			在りし日の想いを込めて							
ヘーゲモネー様、先ほどエリクトニオスから連絡がありました。間もなくパンデモニウムへ帰還するとのことです。			ヘーゲモネー様、先ほどエリクトニオスから連絡がありました。間もなくパンデモニウムへ帰還するとのことです。			在りし日の想いを込めて							
報告ありがとうございます。それは……好都合かもしれませんね。			報告ありがとうございます。それは……好都合かもしれませんね。			在りし日の想いを込めて							
彼が戻ったら、こちらへ来るよう伝えてもらえますか？見せたいものがあるから、と……。			彼が戻ったら、こちらへ来るよう伝えてもらえますか？見せたいものがあるから、と……。			在りし日の想いを込めて							
私はここで彼を出迎えます。あなたはその会話を物陰で聞きつつ、頃合いを見て、魔法人形を送り込んでいただけますか？			私はここで彼を出迎えます。あなたはその会話を物陰で聞きつつ、頃合いを見て、魔法人形を送り込んでいただけますか？			在りし日の想いを込めて							
あとは、彼が受け取るよう私が補佐しましょう。獄卒長の任務とは言い難いですが、ほかならぬあなたの希望、善処いたしますよ……！			あとは、彼が受け取るよう私が補佐しましょう。獄卒長の任務とは言い難いですが、ほかならぬあなたの希望、善処いたしますよ……！			在りし日の想いを込めて							
さあ、あなたは扉の陰にでも待機を。そこで私とエリクトニオスの会話を聞きつつ、頃合いを見て、魔法人形を送り込んでいただけますか？			さあ、あなたは扉の陰にでも待機を。そこで私とエリクトニオスの会話を聞きつつ、頃合いを見て、魔法人形を送り込んでいただけますか？			在りし日の想いを込めて							
……おつかれさまでした。ラハブレア様もお変わりないようで何よりです。			……おつかれさまでした。ラハブレア様もお変わりないようで何よりです。			在りし日の想いを込めて							
変わりないどころか、日々厳しさが増していますよ。パンデモニウムで彼の不器用さを知らなかったら、とうにめげていたかもしれません。			変わりないどころか、日々厳しさが増していますよ。パンデモニウムで彼の不器用さを知らなかったら、とうにめげていたかもしれません。			在りし日の想いを込めて							
厳格さもあなたを育てるため、ですか？			厳格さもあなたを育てるため、ですか？			在りし日の想いを込めて							
衝突し思い悩むこともありますが……それも、父であり、十四人委員会の長でもある彼を知る過程。今ではそう考えています。			衝突し思い悩むこともありますが……それも、父であり、十四人委員会の長でもある彼を知る過程。今ではそう考えています。			在りし日の想いを込めて							
……ところで、実はあなたにひとつ、見せたいものがあるのですよ。			……ところで、実はあなたにひとつ、見せたいものがあるのですよ。			在りし日の想いを込めて							
これは、テミスの……魔法人形じゃないか！？			これは、テミスの……魔法人形じゃないか！？			在りし日の想いを込めて							
同僚が俺の魔法人形を創ったとき、「テミスの人形も創れたらいいのに」と思ったものですが……。いったい、何故ここに？			同僚が俺の魔法人形を創ったとき、「テミスの人形も創れたらいいのに」と思ったものですが……。いったい、何故ここに？			在りし日の想いを込めて							
詳細は伏せたいと言われておりまして。あなたの望みを知る者から……とだけ伝えておきましょう。			詳細は伏せたいと言われておりまして。あなたの望みを知る者から……とだけ伝えておきましょう。			在りし日の想いを込めて							
奇特な者もいたものだな。それも、ちょうどテミス本人に出会った直後に届くとは……。			奇特な者もいたものだな。それも、ちょうどテミス本人に出会った直後に届くとは……。			在りし日の想いを込めて							
テミスとは、ラハブレア院で偶然出くわしまして。エリディブスの座にある彼と喋るのは初めてでしたが、変わらず、気さくに接してくれましたよ。			テミスとは、ラハブレア院で偶然出くわしまして。エリディブスの座にある彼と喋るのは初めてでしたが、変わらず、気さくに接してくれましたよ。			在りし日の想いを込めて							
なんでも最近は、アログリフ院が創造した陸棲生物の実験場に、ハルマルト院が創った、脚の生えた植物が侵入し、根付いてしまうという事件が起きたとか……。			なんでも最近は、アログリフ院が創造した陸棲生物の実験場に、ハルマルト院が創った、脚の生えた植物が侵入し、根付いてしまうという事件が起きたとか……。			在りし日の想いを込めて							
そこで両院の実験場利用に関する議論を調停したそうです。パンデモニウムの事件が終わった直後ということもあって、こんな調停が続けばいいのに、と笑っていました。			そこで両院の実験場利用に関する議論を調停したそうです。パンデモニウムの事件が終わった直後ということもあって、こんな調停が続けばいいのに、と笑っていました。			在りし日の想いを込めて							
まあ、そうした近況報告以外は、ほとんど……Forenameの思い出話でしたがね。			まあ、そうした近況報告以外は、ほとんど……Forenameの思い出話でしたがね。			在りし日の想いを込めて							
ならば、贈り物を用意した者に、彼女彼の魔法人形も依頼しましょうか？			ならば、贈り物を用意した者に、彼女彼の魔法人形も依頼しましょうか？			在りし日の想いを込めて							
Forenameには感じることがあるんですよ……。彼女彼はパンデモニウムや十四人委員会のような居場所を、この世界に持っていないのではないかって。			Forenameには感じることがあるんですよ……。彼女彼はパンデモニウムや十四人委員会のような居場所を、この世界に持っていないのではないかって。			在りし日の想いを込めて							
いえ、むしろ世界すべてが彼女彼の居場所とも言える。そんなForenameに、擬似的存在といえど、この監獄という特定の居場所を与えたくないんです。			いえ、むしろ世界すべてが彼女彼の居場所とも言える。そんなForenameに、擬似的存在といえど、この監獄という特定の居場所を与えたくないんです。			在りし日の想いを込めて							
もちろん、彼らが大切な友であることは変わりません。テミスの魔法人形を望んだのだって、あの事件で得た絆を忘れたくないからこそですし。			もちろん、彼らが大切な友であることは変わりません。テミスの魔法人形を望んだのだって、あの事件で得た絆を忘れたくないからこそですし。			在りし日の想いを込めて							
なるほど、友人だからこそ……ですね。			なるほど、友人だからこそ……ですね。			在りし日の想いを込めて							
さて、用件も済みましたし、次の仕事を頼めますか？最近エルピスより送られてきた創造生物について、晶蔵院から資料を取ってきてほしいのです。			さて、用件も済みましたし、次の仕事を頼めますか？最近エルピスより送られてきた創造生物について、晶蔵院から資料を取ってきてほしいのです。			在りし日の想いを込めて							
お安い御用ですよ！さっそく、こいつと一緒に向かいます。			お安い御用ですよ！さっそく、こいつと一緒に向かいます。			在りし日の想いを込めて							
……ふう、無事に魔法人形を渡せましたね。あなたがいたことにも気がついていなかったようだ。			……ふう、無事に魔法人形を渡せましたね。あなたがいたことにも気がついていなかったようだ。			在りし日の想いを込めて							
私やエリクトニオスはもちろん、すべての獄卒が、あなたには感謝しております。少しは恩が返せたのなら、なによりですよ。			私やエリクトニオスはもちろん、すべての獄卒が、あなたには感謝しております。少しは恩が返せたのなら、なによりですよ。			在りし日の想いを込めて							
それでは、私も監獄内に戻るとしましょう。もう会うこともないかもしれませんが……どうか息災で。			それでは、私も監獄内に戻るとしましょう。もう会うこともないかもしれませんが……どうか息災で。			在りし日の想いを込めて							
おかえりなさい……！そのお顔を見るかぎり、魔法人形は無事に渡せたようですね！			おかえりなさい……！そのお顔を見るかぎり、魔法人形は無事に渡せたようですね！			在りし日の想いを込めて							
ああ、よかった……！彼が魔法人形から、安らぎを得てくれればいいのですが。			ああ、よかった……！彼が魔法人形から、安らぎを得てくれればいいのですが。			在りし日の想いを込めて							
冒険の最中にも拘わらず、ご協力ありがとうございました！報酬ですが……実は、製作を請け負ってくれた職人からは、テミスさんの魔法人形を、2体受け取っているのですよ。			冒険の最中にも拘わらず、ご協力ありがとうございました！報酬ですが……実は、製作を請け負ってくれた職人からは、テミスさんの魔法人形を、2体受け取っているのですよ。			在りし日の想いを込めて							
もう1体は、あなたにお渡しすべきだと思うのです。よければ、テミスさんとこの時代の旅を楽しんでください。			もう1体は、あなたにお渡しすべきだと思うのです。よければ、テミスさんとこの時代の旅を楽しんでください。			在りし日の想いを込めて							
