レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			もうひとりのガンブレイカー							
ガンブレードで大事な人を護った男の話			ガンブレードで大事な人を護った男の話			もうひとりのガンブレイカー							
な、なんだと……！！その仲間は、いつ、どこで、ガンブレイカーの技を……！？			な、なんだと……！！その仲間は、いつ、どこで、ガンブレイカーの技を……！？			もうひとりのガンブレイカー							
少し前に、帝国属州にて修得したと……。まさか……いや、それしか考えられん……。			少し前に、帝国属州にて修得したと……。まさか……いや、それしか考えられん……。			もうひとりのガンブレイカー							
ガンブレイカーとは、ボズヤ人である我が一族だけのもの。つまり、私以外にも生き残りがいたということだ！			ガンブレイカーとは、ボズヤ人である我が一族だけのもの。つまり、私以外にも生き残りがいたということだ！			もうひとりのガンブレイカー							
そういえば……。知り合った冒険者から、グリダニアのカーラインカフェで、ガンブレイカーらしきロスガル族の男を見かけたって話を聞いた。			そういえば……。知り合った冒険者から、グリダニアのカーラインカフェで、ガンブレイカーらしきロスガル族の男を見かけたって話を聞いた。			もうひとりのガンブレイカー							
てっきり、オッサンのことかと思ってたけど、もしかしたら、それが生き残りだったのかな……？			てっきり、オッサンのことかと思ってたけど、もしかしたら、それが生き残りだったのかな……？			もうひとりのガンブレイカー							
なんと、我が同胞がこのエオルゼアに……！こうしてはおれん、さっそくグリダニアに向かおう！			なんと、我が同胞がこのエオルゼアに……！こうしてはおれん、さっそくグリダニアに向かおう！			もうひとりのガンブレイカー							
悪いんだけど、キミも付き合ってもらえない？オッサンとふたりだと、華がないもんでさ……。まずは、カーラインカフェの「ミューヌ」を訪ねてみよう。			悪いんだけど、キミも付き合ってもらえない？オッサンとふたりだと、華がないもんでさ……。まずは、カーラインカフェの「ミューヌ」を訪ねてみよう。			もうひとりのガンブレイカー							
やぁ、君たちか。この間、ラドヴァンさんを探している男性が来たけど、彼とはもう出会えただろうか……？			やぁ、君たちか。この間、ラドヴァンさんを探している男性が来たけど、彼とはもう出会えただろうか……？			もうひとりのガンブレイカー							
まさか……！それは、私と同じ武器を持ったロスガル族だったか？			まさか……！それは、私と同じ武器を持ったロスガル族だったか？			もうひとりのガンブレイカー							
うん、まさしくそうだったよ、名前は聞きそびれたけどね。彼はエオルゼアに同胞がいるという話を聞いて、探しにきたと言っていた。			うん、まさしくそうだったよ、名前は聞きそびれたけどね。彼はエオルゼアに同胞がいるという話を聞いて、探しにきたと言っていた。			もうひとりのガンブレイカー							
きっとラドヴァンさんのことだろうって名前を出したら、やっぱり、君のことだったようだ。			きっとラドヴァンさんのことだろうって名前を出したら、やっぱり、君のことだったようだ。			もうひとりのガンブレイカー							
そうか、向こうも私を探しているということか……。			そうか、向こうも私を探しているということか……。			もうひとりのガンブレイカー							
(-聞き覚えのある声-)あ～！　護衛さんたちだ～！			(-聞き覚えのある声-)あ～！　護衛さんたちだ～！			もうひとりのガンブレイカー							
エディシアじゃない！相変わらず、斬新なファッションしてるねぇ……。			エディシアじゃない！相変わらず、斬新なファッションしてるねぇ……。			もうひとりのガンブレイカー							
いつぞやは、お世話になりました。おかげさまで、今日も音楽会を開いて大盛況いただき、その帰りに一服をと思い、カフェに立ち寄ったところです。			いつぞやは、お世話になりました。おかげさまで、今日も音楽会を開いて大盛況いただき、その帰りに一服をと思い、カフェに立ち寄ったところです。			もうひとりのガンブレイカー							
ちょうどよかった。ラドヴァンさんを探していた人に、護衛を依頼したラサンシューさんのことを紹介していたんだ。			ちょうどよかった。ラドヴァンさんを探していた人に、護衛を依頼したラサンシューさんのことを紹介していたんだ。			もうひとりのガンブレイカー							
ああ、ロスガル族の男性ですね。その方でしたら、あなた方はウルダハに向かったようだと、お伝えしましたが、まだお会いできてないようですね……。			ああ、ロスガル族の男性ですね。その方でしたら、あなた方はウルダハに向かったようだと、お伝えしましたが、まだお会いできてないようですね……。			もうひとりのガンブレイカー							
なるほど、同胞は私を追ってその足跡を辿っているのかも。だとすると、次はウルダハの……			なるほど、同胞は私を追ってその足跡を辿っているのかも。だとすると、次はウルダハの……			もうひとりのガンブレイカー							
元妻に付きまとっていた、「ゲラート」のところかもね。それじゃあ、彼のもとへ向かおうか。			元妻に付きまとっていた、「ゲラート」のところかもね。それじゃあ、彼のもとへ向かおうか。			もうひとりのガンブレイカー							
もう行っちゃうんだ？次こそ私の音楽会に来てね、バイビー！			もう行っちゃうんだ？次こそ私の音楽会に来てね、バイビー！			もうひとりのガンブレイカー							
ウルダハで、ラドヴァンさんの同胞と出会えるといいね。彼もモフモフだったよ。			ウルダハで、ラドヴァンさんの同胞と出会えるといいね。彼もモフモフだったよ。			もうひとりのガンブレイカー							
ゲラートから、我が同胞のことを聞こう。			ゲラートから、我が同胞のことを聞こう。			もうひとりのガンブレイカー							
お子さんが元気そうで、なによりだね。			お子さんが元気そうで、なによりだね。			もうひとりのガンブレイカー							
こないだは、助けてくれてありがとう！			こないだは、助けてくれてありがとう！			もうひとりのガンブレイカー							
よう、あんたらか……。あれから、息子とふたりで慎ましく暮らしているよ。薬物依存症の更生施設に入った妻にも、たまに面会に行ってる。			よう、あんたらか……。あれから、息子とふたりで慎ましく暮らしているよ。薬物依存症の更生施設に入った妻にも、たまに面会に行ってる。			もうひとりのガンブレイカー							
オリエルは自分のしたことを深く反省していて、まだ先にはなるが、更生に向けて一歩ずつ進んでいるようだ。			オリエルは自分のしたことを深く反省していて、まだ先にはなるが、更生に向けて一歩ずつ進んでいるようだ。			もうひとりのガンブレイカー							
お母ちゃんが悪いお香のせいで、おかしくなってたけど……僕はお母ちゃんが大好きだから、許してあげるんだ！			お母ちゃんが悪いお香のせいで、おかしくなってたけど……僕はお母ちゃんが大好きだから、許してあげるんだ！			もうひとりのガンブレイカー							
そうか、家族が前進しているようでよかった……。ところで、君のもとに、私を探している者が訪ねてこなかっただろうか？			そうか、家族が前進しているようでよかった……。ところで、君のもとに、私を探している者が訪ねてこなかっただろうか？			もうひとりのガンブレイカー							
そうそう、ちょっと前に、あんたと似たような男が訪ねてきたんだった。すぐにどこかへ行ってしまったがな……。			そうそう、ちょっと前に、あんたと似たような男が訪ねてきたんだった。すぐにどこかへ行ってしまったがな……。			もうひとりのガンブレイカー							
一足遅かったみたいだね。そうなると次は、リムサ・ロミンサか……。			一足遅かったみたいだね。そうなると次は、リムサ・ロミンサか……。			もうひとりのガンブレイカー							
雑犬一家の首領の護衛を依頼した、イエロージャケット「フタグ・ヤフタグ」さんだな。よし、急いで向かおう！			雑犬一家の首領の護衛を依頼した、イエロージャケット「フタグ・ヤフタグ」さんだな。よし、急いで向かおう！			もうひとりのガンブレイカー							
息子は、母親が帰ってくる日を心待ちにしているよ……。			息子は、母親が帰ってくる日を心待ちにしているよ……。			もうひとりのガンブレイカー							
バイバイ！			バイバイ！			もうひとりのガンブレイカー							
どうやら、同胞の姿はないようだが……。			どうやら、同胞の姿はないようだが……。			もうひとりのガンブレイカー							
グルドウェイツのその後が気になるところだね……。			グルドウェイツのその後が気になるところだね……。			もうひとりのガンブレイカー							
ご無沙汰しております。あなた方の尽力のおかげで、グルドウェイツが、法廷で証言できて、たくさんの犯罪組織が摘発されました。			ご無沙汰しております。あなた方の尽力のおかげで、グルドウェイツが、法廷で証言できて、たくさんの犯罪組織が摘発されました。			もうひとりのガンブレイカー							
そして、かねてより重い病であった彼は、役目を終えたように、静かに息を引き取りました……。			そして、かねてより重い病であった彼は、役目を終えたように、静かに息を引き取りました……。			もうひとりのガンブレイカー							
そうか……彼自身が言っていたように、悪行を重ねてきたグルドウェイツは許されはしない。だが、最後の善行が、少しでも救いになったことを願おう……。			そうか……彼自身が言っていたように、悪行を重ねてきたグルドウェイツは許されはしない。だが、最後の善行が、少しでも救いになったことを願おう……。			もうひとりのガンブレイカー							
話は変わりますが、つい先ほど、ラドヴァンさんを探しているという方が、訪ねてきました。あなたがここにいないと知ると、すぐに去っていきましたが……。			話は変わりますが、つい先ほど、ラドヴァンさんを探しているという方が、訪ねてきました。あなたがここにいないと知ると、すぐに去っていきましたが……。			もうひとりのガンブレイカー							
またも、一足遅かったか……。となると、次はイシュガルドだな。			またも、一足遅かったか……。となると、次はイシュガルドだな。			もうひとりのガンブレイカー							
亡命したカトの護衛を頼んできた、ガーロンド社の「リース」のところだね……先を急ごう！			亡命したカトの護衛を頼んできた、ガーロンド社の「リース」のところだね……先を急ごう！			もうひとりのガンブレイカー							
死んだグルドウェイツは、安らかな顔をしていました……。			死んだグルドウェイツは、安らかな顔をしていました……。			もうひとりのガンブレイカー							
おや、あなた方は……。今しがた、ラドヴァンさんを探しているという方が、いらっしゃいましたが、すれ違いでしたね……。			おや、あなた方は……。今しがた、ラドヴァンさんを探しているという方が、いらっしゃいましたが、すれ違いでしたね……。			もうひとりのガンブレイカー							
またしても、一歩手前で……。私たちの足跡を追っているとすると、今度は、レヴナンツトールに戻らねばならない……。			またしても、一歩手前で……。私たちの足跡を追っているとすると、今度は、レヴナンツトールに戻らねばならない……。			もうひとりのガンブレイカー							
その方なら、カトさんのもとへ向かいましたよ。「カト・マムラ」という名前に驚いた様子を見せ、すぐさま、休暇中の彼のもとへ行ってしまいました。			その方なら、カトさんのもとへ向かいましたよ。「カト・マムラ」という名前に驚いた様子を見せ、すぐさま、休暇中の彼のもとへ行ってしまいました。			もうひとりのガンブレイカー							
ま、まさか！これは、まずいことになったぞ……！			ま、まさか！これは、まずいことになったぞ……！			もうひとりのガンブレイカー							
我が同胞もボズヤ人であるからには、カトに恨みを抱いているに違いない！かつての私のように、凶行に走ったのかも……！			我が同胞もボズヤ人であるからには、カトに恨みを抱いているに違いない！かつての私のように、凶行に走ったのかも……！			もうひとりのガンブレイカー							
な、なんですって……！？すみません、私が軽率だったばっかりに……。			な、なんですって……！？すみません、私が軽率だったばっかりに……。			もうひとりのガンブレイカー							
いいから、休暇中のカトの居場所を教えて！アタシたちが彼のもとに急ぐわ！			いいから、休暇中のカトの居場所を教えて！アタシたちが彼のもとに急ぐわ！			もうひとりのガンブレイカー							
カトさんなら、キャンプ・ドラゴンヘッドの全景を見物するため、クルザス中央高地の神意の地に行ったはずです！			カトさんなら、キャンプ・ドラゴンヘッドの全景を見物するため、クルザス中央高地の神意の地に行ったはずです！			もうひとりのガンブレイカー							
すみません、私が軽率でした……。カトさんなら、キャンプ・ドラゴンヘッドの全景を見物するため、クルザス中央高地の神意の地に行ったはずです！			すみません、私が軽率でした……。カトさんなら、キャンプ・ドラゴンヘッドの全景を見物するため、クルザス中央高地の神意の地に行ったはずです！			もうひとりのガンブレイカー							
早く、早く～！			早く、早く～！			もうひとりのガンブレイカー							
この先から人の話し声が聞こえてきた！さあ、急いでカトを救おう……！			この先から人の話し声が聞こえてきた！さあ、急いでカトを救おう……！			もうひとりのガンブレイカー							
やめるんだ！			やめるんだ！			もうひとりのガンブレイカー							
(-謎のガンブレイカー-)ラドヴァン！やっと出会うことができた……。			(-謎のガンブレイカー-)ラドヴァン！やっと出会うことができた……。			もうひとりのガンブレイカー							
ロスティック！　お前だったのか……！とにかく、カトを殺すのはやめてくれ！			ロスティック！　お前だったのか……！とにかく、カトを殺すのはやめてくれ！			もうひとりのガンブレイカー							
それは誤解です、ラドヴァンさん……。			それは誤解です、ラドヴァンさん……。			もうひとりのガンブレイカー							
そうだ、私はもう彼を恨んでいない。復讐に意味がないことなど、わかっている……。			そうだ、私はもう彼を恨んでいない。復讐に意味がないことなど、わかっている……。			もうひとりのガンブレイカー							
カトのもとへは、蒸発したボズヤの再建の相談をしにきたのだよ……。			カトのもとへは、蒸発したボズヤの再建の相談をしにきたのだよ……。			もうひとりのガンブレイカー							
ボズヤの……再建……だと？			ボズヤの……再建……だと？			もうひとりのガンブレイカー							
そうだ……。生き残ったボズヤ人は、私とお前だけじゃない。あのとき本国にいなかった徴用兵たちは、皆、助かったのだ。			そうだ……。生き残ったボズヤ人は、私とお前だけじゃない。あのとき本国にいなかった徴用兵たちは、皆、助かったのだ。			もうひとりのガンブレイカー							
ほかにも生き残りが……！？			ほかにも生き残りが……！？			もうひとりのガンブレイカー							
ああ、私やお前の家族、そして王家も消滅してしまったが、ボズヤ人は決して滅んだわけではない。			ああ、私やお前の家族、そして王家も消滅してしまったが、ボズヤ人は決して滅んだわけではない。			もうひとりのガンブレイカー							
だから、私は生き残りを集め、国の再建を目指しているのだ。蒸発してしまった都を、建て直すことはできなくとも、いずこか安全な場所に国を興すことはできよう。			だから、私は生き残りを集め、国の再建を目指しているのだ。蒸発してしまった都を、建て直すことはできなくとも、いずこか安全な場所に国を興すことはできよう。			もうひとりのガンブレイカー							
私もイシュガルドに暖房設備を築いた後に、ボズヤの再建に協力させてもらうことになりました。それこそ、己がなすべきことだと確信しています……。			私もイシュガルドに暖房設備を築いた後に、ボズヤの再建に協力させてもらうことになりました。それこそ、己がなすべきことだと確信しています……。			もうひとりのガンブレイカー							
さあ、ラドヴァンよ、私と共にボズヤに帰り、国の再建を目指そうじゃないか！			さあ、ラドヴァンよ、私と共にボズヤに帰り、国の再建を目指そうじゃないか！			もうひとりのガンブレイカー							
……すまない。祖国も大事だが、私には仲間ができたのだ。それは家族のようなもので、もう二度と失いたくはない。			……すまない。祖国も大事だが、私には仲間ができたのだ。それは家族のようなもので、もう二度と失いたくはない。			もうひとりのガンブレイカー							
それに、このエオルゼアでは自慢の弟子もできた。私は帰ることはできない……。			それに、このエオルゼアでは自慢の弟子もできた。私は帰ることはできない……。			もうひとりのガンブレイカー							
……そうか。お前も、一族以外の者に技を継承したのだな。実は私も、とある男にガンブレイカーの技を授けた。			……そうか。お前も、一族以外の者に技を継承したのだな。実は私も、とある男にガンブレイカーの技を授けた。			もうひとりのガンブレイカー							
そういえば、彼も大切な者を二度と失いたくない、と言っていたな……。			そういえば、彼も大切な者を二度と失いたくない、と言っていたな……。			もうひとりのガンブレイカー							
わかった……。もとより、無理強いはしないつもりだった。生き残りを見つけ、計画を伝えることができたので、私は帰ろう。			わかった……。もとより、無理強いはしないつもりだった。生き残りを見つけ、計画を伝えることができたので、私は帰ろう。			もうひとりのガンブレイカー							
それでは、ラドヴァン、我が同胞よ。達者でな……。			それでは、ラドヴァン、我が同胞よ。達者でな……。			もうひとりのガンブレイカー							
ああ、ロスティック、同胞よ。再建される新生ボズヤに幸あれ……。			ああ、ロスティック、同胞よ。再建される新生ボズヤに幸あれ……。			もうひとりのガンブレイカー							
ふう……。結果、こちらの思い過ごしで済んでよかったね……。			ふう……。結果、こちらの思い過ごしで済んでよかったね……。			もうひとりのガンブレイカー							
ああ、ロスティックは昔から聡明な男だった。私とは違うということだな……。			ああ、ロスティックは昔から聡明な男だった。私とは違うということだな……。			もうひとりのガンブレイカー							
心配して駆けつけてくれたようで、ありがとうございます。あれから、暖房設備の事業は順調に進んでいますよ。			心配して駆けつけてくれたようで、ありがとうございます。あれから、暖房設備の事業は順調に進んでいますよ。			もうひとりのガンブレイカー							
ボズヤの再建という次なる目標もできたので、今後とも精一杯尽力していこうと思います。それでは、私はここで失礼します。			ボズヤの再建という次なる目標もできたので、今後とも精一杯尽力していこうと思います。それでは、私はここで失礼します。			もうひとりのガンブレイカー							
さて……アタシたちの帰る場所、第二の故郷、レヴナンツトールに戻ろっか！			さて……アタシたちの帰る場所、第二の故郷、レヴナンツトールに戻ろっか！			もうひとりのガンブレイカー							
あ～あ、またオッサンとふたりか。もう、ウンザリなんだけどなぁ……。			あ～あ、またオッサンとふたりか。もう、ウンザリなんだけどなぁ……。			もうひとりのガンブレイカー							
今回は、期せずして君を連れまわしてしまい、すまなかった。だが、我が同胞と出会い、ほかにも生き残りがいると知り、無理に後継者を探す必要もなくなった。			今回は、期せずして君を連れまわしてしまい、すまなかった。だが、我が同胞と出会い、ほかにも生き残りがいると知り、無理に後継者を探す必要もなくなった。			もうひとりのガンブレイカー							
ということで、我らは護衛稼業に専念しようと思う。私がエオルゼアのボズヤ人としてできることは、護衛で名を上げて、祖国の存在を世に知らしめることだ。			ということで、我らは護衛稼業に専念しようと思う。私がエオルゼアのボズヤ人としてできることは、護衛で名を上げて、祖国の存在を世に知らしめることだ。			もうひとりのガンブレイカー							
それは確かに、オッサンにしかできないことだね。アタシも自分の祖国、ダルマスカの現状を訴えていこうかな……。			それは確かに、オッサンにしかできないことだね。アタシも自分の祖国、ダルマスカの現状を訴えていこうかな……。			もうひとりのガンブレイカー							
あ、そういや、ちゃんと言ってなかったね。アタシはダルマスカの王都、ラバナスタの出身なんだ。			あ、そういや、ちゃんと言ってなかったね。アタシはダルマスカの王都、ラバナスタの出身なんだ。			もうひとりのガンブレイカー							
反乱に失敗し、帝国に焼き尽くされた故郷のことを、もっとエオルゼアの人に知ってもらうため、アタシもがんばるよ！			反乱に失敗し、帝国に焼き尽くされた故郷のことを、もっとエオルゼアの人に知ってもらうため、アタシもがんばるよ！			もうひとりのガンブレイカー							
Forenameも、護衛が必要だったら、いつでも言ってくれ！と言いたいところだが、そのためには私も腕を上げねばな……。			Forenameも、護衛が必要だったら、いつでも言ってくれ！と言いたいところだが、そのためには私も腕を上げねばな……。			もうひとりのガンブレイカー							
私はこれからも、技に磨きをかけるつもりなので、君もガンブレイカーとして、精進を続けてくれ！			私はこれからも、技に磨きをかけるつもりなので、君もガンブレイカーとして、精進を続けてくれ！			もうひとりのガンブレイカー							
聖バルロアイアン広場のソフィーは、ご立腹のようだ。			聖バルロアイアン広場のソフィーは、ご立腹のようだ。			真のガンブレイカー							
ソフィーによると、去ったラドヴァンはまだ戻ってないようだ。彼女とふたりで新たな仕事を探すことになった。イシュガルドの清貧の凱旋門にいる「ソフィー」と話そう。			ソフィーによると、去ったラドヴァンはまだ戻ってないようだ。彼女とふたりで新たな仕事を探すことになった。イシュガルドの清貧の凱旋門にいる「ソフィー」と話そう。			真のガンブレイカー							
ソフィーと話し、護衛の依頼を受けた。クルザス西部高地のツインプールズで「依頼人の男」と話そう。			ソフィーと話し、護衛の依頼を受けた。クルザス西部高地のツインプールズで「依頼人の男」と話そう。			真のガンブレイカー							
依頼人の男と話したところ、その正体はアラウダエの隊長、ヴィトゥス・クォ・メッサラだった。冒険者とソフィーは罠にはめられるが、間一髪でラドヴァンに救われる。3人でヴィトゥスと激戦を繰り広げ、勝利するのだった。			依頼人の男と話したところ、その正体はアラウダエの隊長、ヴィトゥス・クォ・メッサラだった。冒険者とソフィーは罠にはめられるが、間一髪でラドヴァンに救われる。3人でヴィトゥスと激戦を繰り広げ、勝利するのだった。			真のガンブレイカー							
ラドヴァンはひとりでアラウダエを探り、その狙いが冒険者だと知って、ずっと対策を講じていたという。アラウダエを壊滅させた朗報を届けるため、聖バルロアイアン広場で「カト・マムラ」と話そう。			ラドヴァンはひとりでアラウダエを探り、その狙いが冒険者だと知って、ずっと対策を講じていたという。アラウダエを壊滅させた朗報を届けるため、聖バルロアイアン広場で「カト・マムラ」と話そう。			真のガンブレイカー							
カト・マムラに朗報を届けた。ラドヴァンは冒険者を護衛稼業に巻き込むのを終えるという。冒険者は彼らをモードゥナに案内した。モードゥナのレヴナンツトールで「ラドヴァン」と話そう。			カト・マムラに朗報を届けた。ラドヴァンは冒険者を護衛稼業に巻き込むのを終えるという。冒険者は彼らをモードゥナに案内した。モードゥナのレヴナンツトールで「ラドヴァン」と話そう。			真のガンブレイカー							
ラドヴァンと話し、ガンブレイカーの使命を託された。これからも、ガンブレイカーの技に磨きをかけ、誰かを護ることに努めていこう。※以下の条件を満たすと、レヴナンツトールのラドヴァンから、新たなジョブクエストを受注することができます。1「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。2.TANKロールの「ロールクエスト 漆黒編」を完了する。			ラドヴァンと話し、ガンブレイカーの使命を託された。これからも、ガンブレイカーの技に磨きをかけ、誰かを護ることに努めていこう。※以下の条件を満たすと、レヴナンツトールのラドヴァンから、新たなジョブクエストを受注することができます。1「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。2.TANKロールの「ロールクエスト 漆黒編」を完了する。			真のガンブレイカー							
ソフィーと話す			ソフィーと話す			真のガンブレイカー							
ツインプールズの依頼人の男と話す			ツインプールズの依頼人の男と話す			真のガンブレイカー							
イシュガルドのカト・マムラと話す			イシュガルドのカト・マムラと話す			真のガンブレイカー							
レヴナンツトールのラドヴァンと話す			レヴナンツトールのラドヴァンと話す			真のガンブレイカー							
ヴィトゥス・クォ・メッサラを倒せ！			ヴィトゥス・クォ・メッサラを倒せ！			真のガンブレイカー							
Forename。あれから、めっきりアラウダエは姿を見せていない。彼らは暗殺を断念し、本国に帰ったというのが、大方の予想なの。			Forename。あれから、めっきりアラウダエは姿を見せていない。彼らは暗殺を断念し、本国に帰ったというのが、大方の予想なの。			真のガンブレイカー							
それよりも、未だにオッサンが戻ってこないんだ……。いったい、どこをほっつき歩いてんだか、あのポンコツ！			それよりも、未だにオッサンが戻ってこないんだ……。いったい、どこをほっつき歩いてんだか、あのポンコツ！			真のガンブレイカー							
こうなったら、オッサンは放っといて、アタシたちだけで、次の仕事を始めちゃおう。神殿騎士団リーヴで、護衛の依頼を探しにいこうよ！			こうなったら、オッサンは放っといて、アタシたちだけで、次の仕事を始めちゃおう。神殿騎士団リーヴで、護衛の依頼を探しにいこうよ！			真のガンブレイカー							
ちょうど、入ったばかりの護衛の依頼があったよ！依頼人はよっぽど警戒しているらしく、匿名を希望しているんだってさ。			ちょうど、入ったばかりの護衛の依頼があったよ！依頼人はよっぽど警戒しているらしく、匿名を希望しているんだってさ。			真のガンブレイカー							
待ち合わせ場所も、街の外を指定していて、クルザス西部高地の、ツインプールズに来てほしいみたい……。			待ち合わせ場所も、街の外を指定していて、クルザス西部高地の、ツインプールズに来てほしいみたい……。			真のガンブレイカー							
なんだか、大きな仕事の予感がしない？さっそく、「ツインプールズ」に向かおう！オッサンがいない間に、アタシたちで大仕事を成してやるんだ……！			なんだか、大きな仕事の予感がしない？さっそく、「ツインプールズ」に向かおう！オッサンがいない間に、アタシたちで大仕事を成してやるんだ……！			真のガンブレイカー							
(-依頼人の男-)あなたが、噂の凄腕の護衛ですか。さすがにお強そうだ……頼もしいですね。			(-依頼人の男-)あなたが、噂の凄腕の護衛ですか。さすがにお強そうだ……頼もしいですね。			真のガンブレイカー							
(-依頼人の男-)それでは、護ってほしい者を紹介しますので、どうぞこちらへ……			(-依頼人の男-)それでは、護ってほしい者を紹介しますので、どうぞこちらへ……			真のガンブレイカー							
な、なにこれっ……？動けない……！			な、なにこれっ……？動けない……！			真のガンブレイカー							
