ポルタ・プレトリアのアラミゴ解放軍の上級闘士は、冒険者を待っていたようだ。			ポルタ・プレトリアのアラミゴ解放軍の上級闘士は、冒険者を待っていたようだ。			英雄への鎮魂歌							
本クエストを進行するためには、現在のクラス・ジョブが、レベル70以上の、ファイター、もしくはソーサラーである必要があります。			本クエストを進行するためには、現在のクラス・ジョブが、レベル70以上の、ファイター、もしくはソーサラーである必要があります。			英雄への鎮魂歌							
メインクエストを進行させますか？			メインクエストを進行させますか？			英雄への鎮魂歌							
(-？？？？-)おやおや、倒れた英雄殿を見舞いにきたものの、もう、その必要もないということですかな？			(-？？？？-)おやおや、倒れた英雄殿を見舞いにきたものの、もう、その必要もないということですかな？			英雄への鎮魂歌							
戦場で倒れて運ばれたと聞いたときは、肝を冷やしましたが、意識が戻ったようで安心しましたぞ……Surname殿。			戦場で倒れて運ばれたと聞いたときは、肝を冷やしましたが、意識が戻ったようで安心しましたぞ……Surname殿。			英雄への鎮魂歌							
帝国との戦争が始まり、皇都も慌ただしくなってきました。我が長男、アルトアレールも戦場へ向かい、騎兵団の指揮をとっています。			帝国との戦争が始まり、皇都も慌ただしくなってきました。我が長男、アルトアレールも戦場へ向かい、騎兵団の指揮をとっています。			英雄への鎮魂歌							
貴殿は快復したとはいえ、病み上がりの身。あまり無理はしないように、と言いたいところですが……。			貴殿は快復したとはいえ、病み上がりの身。あまり無理はしないように、と言いたいところですが……。			英雄への鎮魂歌							
休めと言われて休む、英雄殿ではないでしょう。どうやら、次に向かうべき先も決まっている様子。			休めと言われて休む、英雄殿ではないでしょう。どうやら、次に向かうべき先も決まっている様子。			英雄への鎮魂歌							
その先に何があるのか、私にはわかりません。しかし、貴殿の行き先に常にあるのが、希望というもの。			その先に何があるのか、私にはわかりません。しかし、貴殿の行き先に常にあるのが、希望というもの。			英雄への鎮魂歌							
だからこそ、足止めするわけにはいきません。この戦火が収まったときにでも、またゆっくりお話ししましょう。……それでは、また。			だからこそ、足止めするわけにはいきません。この戦火が収まったときにでも、またゆっくりお話ししましょう。……それでは、また。			英雄への鎮魂歌							
貴殿の時間が許すときには、遠慮なく屋敷に訪ねてこられよ。この暇な隠居が、いつでも迎えてさしあげよう。			貴殿の時間が許すときには、遠慮なく屋敷に訪ねてこられよ。この暇な隠居が、いつでも迎えてさしあげよう。			英雄への鎮魂歌							
おぉ、Forename殿！意識を取り戻してくれたんだな！君が運び込まれたときは騒然としたが、とにかく無事でよかった！			おぉ、Forename殿！意識を取り戻してくれたんだな！君が運び込まれたときは騒然としたが、とにかく無事でよかった！			英雄への鎮魂歌							
これは、Surname様。ご快復されたようで、安心いたしました。旦那様がお見舞いに向かわれましたが、すれ違いでしょうか？			これは、Surname様。ご快復されたようで、安心いたしました。旦那様がお見舞いに向かわれましたが、すれ違いでしょうか？			英雄への鎮魂歌							
わっ、Forename様！あの、お目覚めのときは、ちゃんとお話できませんでしたが、意識を取り戻してくれて、本当に嬉しかったです……！			わっ、Forename様！あの、お目覚めのときは、ちゃんとお話できませんでしたが、意識を取り戻してくれて、本当に嬉しかったです……！			英雄への鎮魂歌							
オ、オマエ、Forenameじゃないか！？昏睡から目覚めたんだな！まったく……心配させやがって、この野郎！			オ、オマエ、Forenameじゃないか！？昏睡から目覚めたんだな！まったく……心配させやがって、この野郎！			英雄への鎮魂歌							
Forename様！お元気そうで何よりです、はい！			Forename様！お元気そうで何よりです、はい！			英雄への鎮魂歌							
タタルさんがいなくなったことで、随分と寂しくなったものデ～ス。何かと大変そうですが、たまには遊びにきてくだッサイ。おおっと、思わず口真似が出ちゃいマッシタ……。			タタルさんがいなくなったことで、随分と寂しくなったものデ～ス。何かと大変そうですが、たまには遊びにきてくだッサイ。おおっと、思わず口真似が出ちゃいマッシタ……。			英雄への鎮魂歌							
実は私、冒険者さんが目を覚ますように、願掛けとして新しい旅装束をこさえていたのでっす！その願いが叶ったいま、この服をぜひ着てくだっさい！			実は私、冒険者さんが目を覚ますように、願掛けとして新しい旅装束をこさえていたのでっす！その願いが叶ったいま、この服をぜひ着てくだっさい！			英雄への鎮魂歌							
さあ、クリスタルタワーの装置探しは私たちに任せて、病み上がりの冒険者さんは、英気を養ってほしいのでっす！			さあ、クリスタルタワーの装置探しは私たちに任せて、病み上がりの冒険者さんは、英気を養ってほしいのでっす！			英雄への鎮魂歌							
「メインクエスト：解放戦争 戦後編」を完了しました！続く「メインクエスト：漆黒のヴィランズ」では、クリスタルタワーが重要な役目を担います。			「メインクエスト：解放戦争 戦後編」を完了しました！続く「メインクエスト：漆黒のヴィランズ」では、クリスタルタワーが重要な役目を担います。			英雄への鎮魂歌							
メインクエストとともに、「クロニクルクエスト：クリスタルタワー」を、進めることを推奨します。			メインクエストとともに、「クロニクルクエスト：クリスタルタワー」を、進めることを推奨します。			英雄への鎮魂歌							
レヴナンツトールの「異国風の男」から、クエスト「古代アラグ文明の遺産」を受注してみましょう！			レヴナンツトールの「異国風の男」から、クエスト「古代アラグ文明の遺産」を受注してみましょう！			英雄への鎮魂歌							
なお、クロニクルクエスト：クリスタルタワーの進行状況は、ジャーナルから確認することができます。			なお、クロニクルクエスト：クリスタルタワーの進行状況は、ジャーナルから確認することができます。			英雄への鎮魂歌							
石の家のホーリー・ボルダーは、賢人たちの快復を祈っているようだ。			石の家のホーリー・ボルダーは、賢人たちの快復を祈っているようだ。			戦中見舞い							
前回までの冒険録：クルルとマトーヤの協力を得ても、賢人たちの昏倒の謎は解明できなかった。一方、ザ・バーンに防御フィールド「青龍壁」を展開することに成功するが、影の狩人が昏睡したアルフィノを抱えて現れる。彼の正体は、かつての第XIV軍団軍団長のガイウス。ガイウスは暗躍するアシエンの情報を伝えると、帝国へと去っていく。そして、停戦交渉に応じたヴァリス帝との会談が行われる。帝国がアシエンによって建国されたこと、ヴァリス帝が故意に霊災を起こそうとしていることが判明し、交渉は決裂。国境地帯ギムリトにてエオルゼア同盟軍と帝国軍との戦端が開かれる。冒険者や東方連合の活躍によって、帝国軍の第一陣は退けるが、またも謎の声が響き渡り、アリゼーが倒れてしまうのだった。　　　　　　　　　　　　*　*　*ホーリー・ボルダーと話したところ、マキシマがアルフィノの見舞いに訪れた。とある人物が冒険者に会いたがっているという。モードゥナの銀泪湖北岸にいる「マキシマ」と話そう。			前回までの冒険録：クルルとマトーヤの協力を得ても、賢人たちの昏倒の謎は解明できなかった。一方、ザ・バーンに防御フィールド「青龍壁」を展開することに成功するが、影の狩人が昏睡したアルフィノを抱えて現れる。彼の正体は、かつての第XIV軍団軍団長のガイウス。ガイウスは暗躍するアシエンの情報を伝えると、帝国へと去っていく。そして、停戦交渉に応じたヴァリス帝との会談が行われる。帝国がアシエンによって建国されたこと、ヴァリス帝が故意に霊災を起こそうとしていることが判明し、交渉は決裂。国境地帯ギムリトにてエオルゼア同盟軍と帝国軍との戦端が開かれる。冒険者や東方連合の活躍によって、帝国軍の第一陣は退けるが、またも謎の声が響き渡り、アリゼーが倒れてしまうのだった。　　　　　　　　　　　　*　*　*ホーリー・ボルダーと話したところ、マキシマがアルフィノの見舞いに訪れた。とある人物が冒険者に会いたがっているという。モードゥナの銀泪湖北岸にいる「マキシマ」と話そう。			戦中見舞い							
マキシマと話したところ、とある人物とはシドのことだった。同盟軍の伝令が来て、同盟軍本陣へと向かうことになり、エンタープライズで送ってもらった。ギラバニア湖畔地帯のポルタ・プレトリアにいる「シド」と話そう。			マキシマと話したところ、とある人物とはシドのことだった。同盟軍の伝令が来て、同盟軍本陣へと向かうことになり、エンタープライズで送ってもらった。ギラバニア湖畔地帯のポルタ・プレトリアにいる「シド」と話そう。			戦中見舞い							
シドと話し、激励してもらった。気を引き締めて、同盟軍本陣へと向かおう。			シドと話し、激励してもらった。気を引き締めて、同盟軍本陣へと向かおう。			戦中見舞い							
銀泪湖北岸のマキシマと話す			銀泪湖北岸のマキシマと話す			戦中見舞い							
シドと話す			シドと話す			戦中見舞い							
おつかれさまです、Surnameさん。せっかく、足を運んでいただいたのですが、賢人の皆さんは、相変わらずです。			おつかれさまです、Surnameさん。せっかく、足を運んでいただいたのですが、賢人の皆さんは、相変わらずです。			戦中見舞い							
クルトゥネを中心に、我らも独自に調査を進めていたものの、いまのところ、これといった成果は……。			クルトゥネを中心に、我らも独自に調査を進めていたものの、いまのところ、これといった成果は……。			戦中見舞い							
(-？？？？-)失礼いたします。こちらにアルフィノさんが運ばれたと聞き、お見舞いさせていただきたく……。			(-？？？？-)失礼いたします。こちらにアルフィノさんが運ばれたと聞き、お見舞いさせていただきたく……。			戦中見舞い							
これは、Forenameさん。先の戦闘でのご武勇、聞き及んでおります。帝国の侵攻を防いでいただき、誠にありがとうございました。			これは、Forenameさん。先の戦闘でのご武勇、聞き及んでおります。帝国の侵攻を防いでいただき、誠にありがとうございました。			戦中見舞い							
ガレアン人が、何をと思われるかもしれませんが、私は祖国を愛するがゆえに、この戦争を止めたいのです。			ガレアン人が、何をと思われるかもしれませんが、私は祖国を愛するがゆえに、この戦争を止めたいのです。			戦中見舞い							
そのために私は、同盟軍への情報提供も行うことにしました。むろん同胞からすれば、利敵行為に映るでしょうが、私なりの決意の証でもあるのです。			そのために私は、同盟軍への情報提供も行うことにしました。むろん同胞からすれば、利敵行為に映るでしょうが、私なりの決意の証でもあるのです。			戦中見舞い							
おっと、自分の話ばかり……失礼しました。ともかく、前線が膠着状態に陥ったようでしたので、その合間に、アルフィノさんの見舞いをと参った次第です。			おっと、自分の話ばかり……失礼しました。ともかく、前線が膠着状態に陥ったようでしたので、その合間に、アルフィノさんの見舞いをと参った次第です。			戦中見舞い							
Surnameさんの、お知りあいでしたか。アルフィノさんのお見舞いということですね。それでは、奥の部屋へとご案内いたしましょう。			Surnameさんの、お知りあいでしたか。アルフィノさんのお見舞いということですね。それでは、奥の部屋へとご案内いたしましょう。			戦中見舞い							
急な訪問にもかかわらず、ありがとうございました。昏睡状態とはいえ、生きて戻ってくれた姿を、どうしても、この目で確認しておきたかったのです。			急な訪問にもかかわらず、ありがとうございました。昏睡状態とはいえ、生きて戻ってくれた姿を、どうしても、この目で確認しておきたかったのです。			戦中見舞い							
アルフィノさんは、私たち民衆派を信じ、ともに手を取り合おうとしてくださいました。ザ・バーンでは、ともに戦い部下を救ってもくれたのです。			アルフィノさんは、私たち民衆派を信じ、ともに手を取り合おうとしてくださいました。ザ・バーンでは、ともに戦い部下を救ってもくれたのです。			戦中見舞い							
昏睡の原因は不明とのことですが、ともかく快復するよう、願っています……。			昏睡の原因は不明とのことですが、ともかく快復するよう、願っています……。			戦中見舞い							
ところで……。ここにはForenameさんのよく知る、とある人物に連れてきてもらいました。			ところで……。ここにはForenameさんのよく知る、とある人物に連れてきてもらいました。			戦中見舞い							
彼には、銀泪湖北岸で待ってもらっています。あなたに会いたがっていると思うので、よかったら、そこまで来ていただけませんか？			彼には、銀泪湖北岸で待ってもらっています。あなたに会いたがっていると思うので、よかったら、そこまで来ていただけませんか？			戦中見舞い							
銀泪湖北岸で待つ、お知り合いとはどなたでしょう？それにしても、帝国にもマキシマさんのような、穏やかな方がいらっしゃるんですね……。			銀泪湖北岸で待つ、お知り合いとはどなたでしょう？それにしても、帝国にもマキシマさんのような、穏やかな方がいらっしゃるんですね……。			戦中見舞い							
ご足労、感謝いたします。とある人物とは、ご存知、エンタープライズ号の船長です。			ご足労、感謝いたします。とある人物とは、ご存知、エンタープライズ号の船長です。			戦中見舞い							
よう、Forename！いろいろと大変だったようだが、俺に声をかけないなんて水臭いじゃないか。			よう、Forename！いろいろと大変だったようだが、俺に声をかけないなんて水臭いじゃないか。			戦中見舞い							
もっとも、賢人たちの原因不明の昏倒なんて、俺にとっては専門外ではあるんだが……。			もっとも、賢人たちの原因不明の昏倒なんて、俺にとっては専門外ではあるんだが……。			戦中見舞い							
シドさんのことは、以前より存じ上げていました。一方的にではありましたが……。私もずいぶんと影響を受けたものです。			シドさんのことは、以前より存じ上げていました。一方的にではありましたが……。私もずいぶんと影響を受けたものです。			戦中見舞い							
帝国内では、シドさんは裏切りの逃亡者と呼ばれていました。ですが、民衆派にとっては、侵略政策に反発して亡命し、異国で活動を続ける革命の旗手そのものでしたよ。			帝国内では、シドさんは裏切りの逃亡者と呼ばれていました。ですが、民衆派にとっては、侵略政策に反発して亡命し、異国で活動を続ける革命の旗手そのものでしたよ。			戦中見舞い							
へっ、よしてくれよ。帝国からの亡命者が来たと聞いて、力になれればと、コンタクトを取ってみたんだ。			へっ、よしてくれよ。帝国からの亡命者が来たと聞いて、力になれればと、コンタクトを取ってみたんだ。			戦中見舞い							
こうして、密かに尊敬していた人物に、亡命先で会えるなんて、不思議なものです。			こうして、密かに尊敬していた人物に、亡命先で会えるなんて、不思議なものです。			戦中見舞い							
ところで、Forename。牛親父から聞いたが、ガイウスの野郎が生きていたようだな……。			ところで、Forename。牛親父から聞いたが、ガイウスの野郎が生きていたようだな……。			戦中見舞い							
あの影の狩人が、かつての第XIV軍団の軍団長、ガイウス・ヴァン・バエサルだとは、思いもよりませんでした。何分、素顔を見たことがなかったもので……。			あの影の狩人が、かつての第XIV軍団の軍団長、ガイウス・ヴァン・バエサルだとは、思いもよりませんでした。何分、素顔を見たことがなかったもので……。			戦中見舞い							
だが、ヤツはいまや忠誠を誓った祖国を捨てて、アシエンを狩りつくすことに躍起になっていたそうだな。			だが、ヤツはいまや忠誠を誓った祖国を捨てて、アシエンを狩りつくすことに躍起になっていたそうだな。			戦中見舞い							
お前に負けたうえに、アシエンにたぶらかされていたと知って、あのクソ親父も思うところがあったか……。			お前に負けたうえに、アシエンにたぶらかされていたと知って、あのクソ親父も思うところがあったか……。			戦中見舞い							
もし、もう一度会うことがあったら……ツラを張り飛ばしてやりたいぜ。			もし、もう一度会うことがあったら……ツラを張り飛ばしてやりたいぜ。			戦中見舞い							
そしてもうひとつ。ヴァリス帝は会談の席で、帝国がアシエンによって建国され、霊災を引き起こそうとしていると語ったそうですね……。			そしてもうひとつ。ヴァリス帝は会談の席で、帝国がアシエンによって建国され、霊災を引き起こそうとしていると語ったそうですね……。			戦中見舞い							
にわかに信じられず、とても受け入れがたい話ですが……現皇帝の口から出た話ならば、残念ながら真実なのでしょう。			にわかに信じられず、とても受け入れがたい話ですが……現皇帝の口から出た話ならば、残念ながら真実なのでしょう。			戦中見舞い							
帝国の民は、そんなことは露ほども知らされておりません。世界のためにも、何も知らない同胞のためにも、アシエンの野望を打ち砕かねば……。			帝国の民は、そんなことは露ほども知らされておりません。世界のためにも、何も知らない同胞のためにも、アシエンの野望を打ち砕かねば……。			戦中見舞い							
まったく……。亡命したとはいえ、生まれ育った祖国が、化け物によって造られたなんてよ……悪い冗談だぜ。			まったく……。亡命したとはいえ、生まれ育った祖国が、化け物によって造られたなんてよ……悪い冗談だぜ。			戦中見舞い							
とにかく、エオルゼアだろうが東方だろうが、帝国の再侵攻を許すわけにはいかない。			とにかく、エオルゼアだろうが東方だろうが、帝国の再侵攻を許すわけにはいかない。			戦中見舞い							
ガーロンド・アイアンワークスとしても、「青龍壁」の件を含めて、防衛のために協力するつもりだ。「技術は自由のために」ってのが社訓なもんでね。			ガーロンド・アイアンワークスとしても、「青龍壁」の件を含めて、防衛のために協力するつもりだ。「技術は自由のために」ってのが社訓なもんでね。			戦中見舞い							
失礼いたします！「石の家」にて、Forename様が、こちらにいらっしゃると聞いて参りました！			失礼いたします！「石の家」にて、Forename様が、こちらにいらっしゃると聞いて参りました！			戦中見舞い							
折を見て、国境地帯の同盟軍本陣へご足労願いたいと、ラウバーン閣下より、要請を言付かっております！戦況について、共有したいとのこと！			折を見て、国境地帯の同盟軍本陣へご足労願いたいと、ラウバーン閣下より、要請を言付かっております！戦況について、共有したいとのこと！			戦中見舞い							
相変わらず、我らが英雄は引っ張りだこだな。確かにいまこそ、エオルゼアはお前の力を必要としている。			相変わらず、我らが英雄は引っ張りだこだな。確かにいまこそ、エオルゼアはお前の力を必要としている。			戦中見舞い							
よしきた！エンタープライズに乗ってくれ、アラミゴまでひとっ飛びだ！			よしきた！エンタープライズに乗ってくれ、アラミゴまでひとっ飛びだ！			戦中見舞い							
私も国境地帯に向かいましょう。何かできることがあるかもしれません……。			私も国境地帯に向かいましょう。何かできることがあるかもしれません……。			戦中見舞い							
ご足労いただき感謝いたします、Forenameさん！ラウバーン様がお待ちしておりますので、よきときに、お声がけください。			ご足労いただき感謝いたします、Forenameさん！ラウバーン様がお待ちしておりますので、よきときに、お声がけください。			戦中見舞い							
こうして、エンタープライズに乗せて、お前を決戦の地へ送り届けるのは、何度目だろうな……。			こうして、エンタープライズに乗せて、お前を決戦の地へ送り届けるのは、何度目だろうな……。			戦中見舞い							
その度に、お前は偉業を成し遂げてきたもんだが……いいか、無茶だけはしてくれるなよ。何より、生きて戻ってくることを願っているぜ。			その度に、お前は偉業を成し遂げてきたもんだが……いいか、無茶だけはしてくれるなよ。何より、生きて戻ってくることを願っているぜ。			戦中見舞い							
Forenameさん、どうかご無事で……。私も国境地帯へ向かい、できることをしてみます。			Forenameさん、どうかご無事で……。私も国境地帯へ向かい、できることをしてみます。			戦中見舞い							
俺は社員たちと飛空艇を使って、負傷兵の搬送でも手伝うさ。それじゃあな、Forename！			俺は社員たちと飛空艇を使って、負傷兵の搬送でも手伝うさ。それじゃあな、Forename！			戦中見舞い							
エオルゼア同盟軍本陣のリセは、開戦に備えているようだ。			エオルゼア同盟軍本陣のリセは、開戦に備えているようだ。			開戦のとき							
冒険者は、帝国軍との戦いに東方連合の部隊として参戦することになった。「境界戦線 ギムリトダーク」を攻略し、帝国軍を退けよう！※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			冒険者は、帝国軍との戦いに東方連合の部隊として参戦することになった。「境界戦線 ギムリトダーク」を攻略し、帝国軍を退けよう！※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			開戦のとき							
帝国軍を退けた。「エオルゼア同盟軍本陣」に戻ろう。			帝国軍を退けた。「エオルゼア同盟軍本陣」に戻ろう。			開戦のとき							
謎の声が響き渡り、アリゼーが倒れてしまった。エオルゼア同盟軍本陣の「ラウバーン」と話そう。一度、本陣の外に出た場合はギラバニア湖畔地帯のポルタ・プレトリアにいる「アラミゴ解放軍の上級闘士」が、エオルゼア同盟軍本陣まで案内してくれるようだ。			謎の声が響き渡り、アリゼーが倒れてしまった。エオルゼア同盟軍本陣の「ラウバーン」と話そう。一度、本陣の外に出た場合はギラバニア湖畔地帯のポルタ・プレトリアにいる「アラミゴ解放軍の上級闘士」が、エオルゼア同盟軍本陣まで案内してくれるようだ。			開戦のとき							
ラウバーンと話した。アリゼーの昏倒も、ほかの賢人たちと同じ症状のようだ。一旦、石の家に戻ることになった。レヴナンツトールの石の家にいる「ホーリー・ボルダー」と話そう。			ラウバーンと話した。アリゼーの昏倒も、ほかの賢人たちと同じ症状のようだ。一旦、石の家に戻ることになった。レヴナンツトールの石の家にいる「ホーリー・ボルダー」と話そう。			開戦のとき							
ホーリー・ボルダーと話した。ついにアリゼーまで倒れてしまったが、帝国との戦端は開かれたばかり。昏倒の調査の進展を待ちつつ、力を蓄えよう。			ホーリー・ボルダーと話した。ついにアリゼーまで倒れてしまったが、帝国との戦端は開かれたばかり。昏倒の調査の進展を待ちつつ、力を蓄えよう。			開戦のとき							
「境界戦線 ギムリトダーク」を攻略する			「境界戦線 ギムリトダーク」を攻略する			開戦のとき							
ラウバーンと話す			ラウバーンと話す			開戦のとき							
石の家のホーリー・ボルダーと話す			石の家のホーリー・ボルダーと話す			開戦のとき							
吾輩は同盟軍総司令官という立場上、この本陣を護らねばならん。すまぬが、前線は貴様たちに託したぞ！			吾輩は同盟軍総司令官という立場上、この本陣を護らねばならん。すまぬが、前線は貴様たちに託したぞ！			開戦のとき							
よろしければ、国境地帯に築かれた、エオルゼア同盟軍本陣へとご案内させていただきます。			よろしければ、国境地帯に築かれた、エオルゼア同盟軍本陣へとご案内させていただきます。			開戦のとき							
エオルゼア同盟軍本陣へ向かいますか？			エオルゼア同盟軍本陣へ向かいますか？			開戦のとき							
アリゼーは、野戦病院へと運んでおいた。どうかそなたは、気をしっかり持ってくれ。			アリゼーは、野戦病院へと運んでおいた。どうかそなたは、気をしっかり持ってくれ。			開戦のとき							
ご苦労だった！おかげで敵の第一陣を退けることができた！			ご苦労だった！おかげで敵の第一陣を退けることができた！			開戦のとき							
とはいえ帝国軍にとっては、ほんの小手調べに過ぎんはずだ。ヴァリス帝が陣中にあるとあって、決して無理はせず、着実に、こちらの戦力を削るつもりなのであろう。			とはいえ帝国軍にとっては、ほんの小手調べに過ぎんはずだ。ヴァリス帝が陣中にあるとあって、決して無理はせず、着実に、こちらの戦力を削るつもりなのであろう。			開戦のとき							
貴様の活躍と東方連合の援軍が功を奏して、戦線を支えることができたが、油断は禁物といったところだ。			貴様の活躍と東方連合の援軍が功を奏して、戦線を支えることができたが、油断は禁物といったところだ。			開戦のとき							
倒れたアリゼー嬢については、ひとまず野戦病院で治療師に診てもらっている。			倒れたアリゼー嬢については、ひとまず野戦病院で治療師に診てもらっている。			開戦のとき							
診察が終わりました。アリゼー殿の身体に異常は見受けられず、原因不明の昏睡に陥っているとのこと……。			診察が終わりました。アリゼー殿の身体に異常は見受けられず、原因不明の昏睡に陥っているとのこと……。			開戦のとき							
やはり、「暁」の賢人を次々と襲った、例の昏倒と同じ症状か。いったい、何が起きているというのだ……。			やはり、「暁」の賢人を次々と襲った、例の昏倒と同じ症状か。いったい、何が起きているというのだ……。			開戦のとき							
戦時でなければ、原因究明に協力したいところだが、すまない、今はそのような余裕もない。			戦時でなければ、原因究明に協力したいところだが、すまない、今はそのような余裕もない。			開戦のとき							
せめて、解放軍が責任を持って、アリゼー嬢の身柄を「石の家」へと運ばせてもらおう。			せめて、解放軍が責任を持って、アリゼー嬢の身柄を「石の家」へと運ばせてもらおう。			開戦のとき							
我らは、東方連合の陣地へと向かう。本隊の到着には今しばらく時間を要するゆえ、陣の備えを万全にしておきたいのだ。			我らは、東方連合の陣地へと向かう。本隊の到着には今しばらく時間を要するゆえ、陣の備えを万全にしておきたいのだ。			開戦のとき							
ああ、頼んだぞ。			ああ、頼んだぞ。			開戦のとき							
さて、帝国軍の動きから察するに、しばらくは、前線でのにらみ合いが続くことだろう。			さて、帝国軍の動きから察するに、しばらくは、前線でのにらみ合いが続くことだろう。			開戦のとき							
だから貴様も「石の家」へと戻り、身体を休めてもらいたい。昏睡状態に陥った賢人たちと、同じ幻聴を聞いてもいるのだ。不安もあるだろうが、しばし力を蓄えておいてくれ。			だから貴様も「石の家」へと戻り、身体を休めてもらいたい。昏睡状態に陥った賢人たちと、同じ幻聴を聞いてもいるのだ。不安もあるだろうが、しばし力を蓄えておいてくれ。			開戦のとき							
