レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			古代アラグ文明の遺産							
サプサ産卵地の指定地点で見渡し司祭からクリスタルを入手			サプサ産卵地の指定地点で見渡し司祭からクリスタルを入手			古代アラグ文明の遺産							
聖コイナク財団の調査地のラムブルースに超高純度クリスタルを渡す			聖コイナク財団の調査地のラムブルースに超高純度クリスタルを渡す			古代アラグ文明の遺産							
ザハラク戦陣の指定地点で見渡し司祭からクリスタルを入手			ザハラク戦陣の指定地点で見渡し司祭からクリスタルを入手			古代アラグ文明の遺産							
ナタラン入植地の指定地点で見渡し司祭からクリスタルを入手			ナタラン入植地の指定地点で見渡し司祭からクリスタルを入手			古代アラグ文明の遺産							
聖コイナク財団の調査地のラムブルースに超高純度クリスタルを渡す			聖コイナク財団の調査地のラムブルースに超高純度クリスタルを渡す			古代アラグ文明の遺産							
受注するには、進行中のクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			受注するには、進行中のクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			古代アラグ文明の遺産							
お前、帝国の将軍を倒したっていう冒険者だな。……ウマい儲け話があるンだが、乗らないか？			お前、帝国の将軍を倒したっていう冒険者だな。……ウマい儲け話があるンだが、乗らないか？			古代アラグ文明の遺産							
報酬は古代文明の遺産。かけてもらうのは、お前の命と腕前だ。……英雄なら、そういう仕事は慣れたもンだろ？			報酬は古代文明の遺産。かけてもらうのは、お前の命と腕前だ。……英雄なら、そういう仕事は慣れたもンだろ？			古代アラグ文明の遺産							
度胸と力に自信があれば、これほど儲かる話はないぜ。もちろん仲介料をせしめるつもりもない……お前の儲けは、オレの儲けになるンだからな。			度胸と力に自信があれば、これほど儲かる話はないぜ。もちろん仲介料をせしめるつもりもない……お前の儲けは、オレの儲けになるンだからな。			古代アラグ文明の遺産							
興味があるなら、今すぐ聖コイナク財団の調査地に行って、「ラムブルース」って男から話を聞きな。素晴らしい働きに期待してるぜ？			興味があるなら、今すぐ聖コイナク財団の調査地に行って、「ラムブルース」って男から話を聞きな。素晴らしい働きに期待してるぜ？			古代アラグ文明の遺産							
今すぐ聖コイナク財団の調査地に行って、「ラムブルース」って男から話を聞きな。期待してるぜ、英雄サンよ？			今すぐ聖コイナク財団の調査地に行って、「ラムブルース」って男から話を聞きな。期待してるぜ、英雄サンよ？			古代アラグ文明の遺産							
おや、君は……。噂に名高い冒険者が、なぜここへ？			おや、君は……。噂に名高い冒険者が、なぜここへ？			古代アラグ文明の遺産							
異国風の男に紹介された……。儲け話とは、恐らく我々の新たな調査計画のことだな。しかし、あれはまだ外部に伝えていないはずだが……。			異国風の男に紹介された……。儲け話とは、恐らく我々の新たな調査計画のことだな。しかし、あれはまだ外部に伝えていないはずだが……。			古代アラグ文明の遺産							
まあいい、協力の申し出は助かるよ。ただ、これは片手間にできるような計画ではない。下手をすれば命を落とす危険もあるが……本当にやるか？			まあいい、協力の申し出は助かるよ。ただ、これは片手間にできるような計画ではない。下手をすれば命を落とす危険もあるが……本当にやるか？			古代アラグ文明の遺産							
ありがたい。では同志として、改めて自己紹介をしよう。			ありがたい。では同志として、改めて自己紹介をしよう。			古代アラグ文明の遺産							
私は聖コイナク財団の調査地を任された者……シャーレアン出身のラムブルースだ。			私は聖コイナク財団の調査地を任された者……シャーレアン出身のラムブルースだ。			古代アラグ文明の遺産							
(-？？？？-)……おい、まさかForenameなのか？			(-？？？？-)……おい、まさかForenameなのか？			古代アラグ文明の遺産							
驚いたぜ、こんな場所でお前と会うとは！また依頼のために走り回ってるのか？相変わらず、ご苦労なことだ。			驚いたぜ、こんな場所でお前と会うとは！また依頼のために走り回ってるのか？相変わらず、ご苦労なことだ。			古代アラグ文明の遺産							
ほほう、ふたりは知り合いだったか。シド、彼女彼は我々の新たな計画に興味を持って、協力を申し出てくれたのだよ。			ほほう、ふたりは知り合いだったか。シド、彼女彼は我々の新たな計画に興味を持って、協力を申し出てくれたのだよ。			古代アラグ文明の遺産							
なに、本当か！それは心強い……が、その顔を見る限り、計画の内容は聞かずに来たようだな。			なに、本当か！それは心強い……が、その顔を見る限り、計画の内容は聞かずに来たようだな。			古代アラグ文明の遺産							
この聖コイナク財団の任務は、大昔に滅びた「古代アラグ文明」を調査することだ。当然、新たな調査計画も、それに関係している。			この聖コイナク財団の任務は、大昔に滅びた「古代アラグ文明」を調査することだ。当然、新たな調査計画も、それに関係している。			古代アラグ文明の遺産							
古代文明には馴染みがないと思うだろうが、お前と無縁というわけでもない。アルテマウェポン……お前が倒したデカブツを覚えてるな？			古代文明には馴染みがないと思うだろうが、お前と無縁というわけでもない。アルテマウェポン……お前が倒したデカブツを覚えてるな？			古代アラグ文明の遺産							
あれはガレマール帝国の技術すら超えた代物。ネロの手により呼び覚まされた、古代アラグ文明の遺産だったというわけさ。			あれはガレマール帝国の技術すら超えた代物。ネロの手により呼び覚まされた、古代アラグ文明の遺産だったというわけさ。			古代アラグ文明の遺産							
そしてこのモードゥナにも、いまだ手付かずの古代アラグ文明の遺産がある。……そう、「クリスタルタワー」だ。			そしてこのモードゥナにも、いまだ手付かずの古代アラグ文明の遺産がある。……そう、「クリスタルタワー」だ。			古代アラグ文明の遺産							
アルテマウェポンを生み出した、古代の超文明……その技術の結晶を放置しておくのは危険だ。誰かに悪用される前に調査し、管理する必要がある。			アルテマウェポンを生み出した、古代の超文明……その技術の結晶を放置しておくのは危険だ。誰かに悪用される前に調査し、管理する必要がある。			古代アラグ文明の遺産							
先の戦いでそれを実感した俺は、聖コイナク財団に、新たな調査計画……「クリスタルタワー」の実地調査を提案したんだ。			先の戦いでそれを実感した俺は、聖コイナク財団に、新たな調査計画……「クリスタルタワー」の実地調査を提案したんだ。			古代アラグ文明の遺産							
「クリスタルタワー」は数千年の間、地中に隠されていた。それが第七霊災の後に姿を現し、今では天を衝くほど高くそびえ立っている。			「クリスタルタワー」は数千年の間、地中に隠されていた。それが第七霊災の後に姿を現し、今では天を衝くほど高くそびえ立っている。			古代アラグ文明の遺産							
あの中には、古代アラグ文明の叡智が眠っているはずだが、魔法障壁に阻まれ、侵入すらままならない……。			あの中には、古代アラグ文明の叡智が眠っているはずだが、魔法障壁に阻まれ、侵入すらままならない……。			古代アラグ文明の遺産							
巨大な剣士像が並ぶその姿から、聖コイナク財団の連中は「八剣士の前庭」と呼んでいるが、どうやら、あれが第一の難関のようだ。			巨大な剣士像が並ぶその姿から、聖コイナク財団の連中は「八剣士の前庭」と呼んでいるが、どうやら、あれが第一の難関のようだ。			古代アラグ文明の遺産							
財団では飛空艇による接近も試みたが、「クリスタルタワー」の防衛機構に阻まれ、撃墜されてな……。つまり、あの石像を破壊しない限り、先には進めないんだ。			財団では飛空艇による接近も試みたが、「クリスタルタワー」の防衛機構に阻まれ、撃墜されてな……。つまり、あの石像を破壊しない限り、先には進めないんだ。			古代アラグ文明の遺産							
……我々は戦いには不慣れ。「クリスタルタワー」の全容を紐解くには、君のような冒険者の協力が不可欠だったのだ。			……我々は戦いには不慣れ。「クリスタルタワー」の全容を紐解くには、君のような冒険者の協力が不可欠だったのだ。			古代アラグ文明の遺産							
Surname。困難な闘いが待ち受けているだろうが、我々と共に「クリスタルタワー」に挑んでほしい。			Surname。困難な闘いが待ち受けているだろうが、我々と共に「クリスタルタワー」に挑んでほしい。			古代アラグ文明の遺産							
お前なら、そう言ってくれると思っていたぜ！久しぶりの共同作戦だ、頼りにしてるぞ。			お前なら、そう言ってくれると思っていたぜ！久しぶりの共同作戦だ、頼りにしてるぞ。			古代アラグ文明の遺産							
君にはまず、実地調査の前準備を手伝ってもらいたい。突入前から難題に直面しているものでね……。準備ができたら、声をかけてくれ。			君にはまず、実地調査の前準備を手伝ってもらいたい。突入前から難題に直面しているものでね……。準備ができたら、声をかけてくれ。			古代アラグ文明の遺産							
私たちの最初の目標は、「クリスタルタワー」の入口に到達することだ。しかし、それ以前に問題があってね。			私たちの最初の目標は、「クリスタルタワー」の入口に到達することだ。しかし、それ以前に問題があってね。			古代アラグ文明の遺産							
入口の前には、4つの属性……火、水、風、土を利用した防衛機構が築かれているんだ。迂闊に近づけば、その攻撃でひとたまりもない。			入口の前には、4つの属性……火、水、風、土を利用した防衛機構が築かれているんだ。迂闊に近づけば、その攻撃でひとたまりもない。			古代アラグ文明の遺産							
だが、シドのもたらした観測技術によって、防衛機構と同じ属性……火、水、風、土のクリスタルでその攻撃を反射できることが判明した。			だが、シドのもたらした観測技術によって、防衛機構と同じ属性……火、水、風、土のクリスタルでその攻撃を反射できることが判明した。			古代アラグ文明の遺産							
無論、ただのクリスタルではなく、不純物のない「超高純度クリスタル」でなければならん。例えば……蛮族たちが蛮神召喚に用いるような、ね。			無論、ただのクリスタルではなく、不純物のない「超高純度クリスタル」でなければならん。例えば……蛮族たちが蛮神召喚に用いるような、ね。			古代アラグ文明の遺産							
そう、屈指の冒険者である君に頼みたいのは、各蛮族の拠点から「超高純度クリスタル」を集めることだ。			そう、屈指の冒険者である君に頼みたいのは、各蛮族の拠点から「超高純度クリスタル」を集めることだ。			古代アラグ文明の遺産							
4つのクリスタルのうち、まずは2種を手に入れよう。ラノシアにあるコボルド軍の拠点「ウ・ガマロ武装鉱山」とサハギン軍の拠点「サプサ産卵地」に向かってくれ。			4つのクリスタルのうち、まずは2種を手に入れよう。ラノシアにあるコボルド軍の拠点「ウ・ガマロ武装鉱山」とサハギン軍の拠点「サプサ産卵地」に向かってくれ。			古代アラグ文明の遺産							
クリスタルは、それぞれの司祭によって守られているだろう。それを探し出して討伐し、水属性と土属性の「超高純度クリスタル」を調達するんだ。			クリスタルは、それぞれの司祭によって守られているだろう。それを探し出して討伐し、水属性と土属性の「超高純度クリスタル」を調達するんだ。			古代アラグ文明の遺産							
フスィーッ…我に何用か！			フスィーッ…我に何用か！			古代アラグ文明の遺産							
ヒトの侵入者だ～よ！			ヒトの侵入者だ～よ！			古代アラグ文明の遺産							
クリスタル調達の進捗を聞かせてくれ。蛮族拠点への潜入という難題だが、どうだろうか？			クリスタル調達の進捗を聞かせてくれ。蛮族拠点への潜入という難題だが、どうだろうか？			古代アラグ文明の遺産							
これが「超高純度クリスタル」か……！確かに、調査地周辺では、これほどの輝きを見かけない。よくぞ回収してくれた！			これが「超高純度クリスタル」か……！確かに、調査地周辺では、これほどの輝きを見かけない。よくぞ回収してくれた！			古代アラグ文明の遺産							
引き続き、残りのクリスタルの調達を頼みたい。ザナラーンにあるアマルジャ軍の「ザハラク戦陣」および、クルザスにあるイクサル軍の「ナタラン入植地」が標的だ。			引き続き、残りのクリスタルの調達を頼みたい。ザナラーンにあるアマルジャ軍の「ザハラク戦陣」および、クルザスにあるイクサル軍の「ナタラン入植地」が標的だ。			古代アラグ文明の遺産							
こちらも同様に、司祭を探し出して討伐し、火属性と風属性の「超高純度クリスタル」を調達してくれ。良い報告に期待しているぞ。			こちらも同様に、司祭を探し出して討伐し、火属性と風属性の「超高純度クリスタル」を調達してくれ。良い報告に期待しているぞ。			古代アラグ文明の遺産							
大胆不敵！我を狙うとは！			大胆不敵！我を狙うとは！			古代アラグ文明の遺産							
クリスタルを奪う気かッァ！			クリスタルを奪う気かッァ！			古代アラグ文明の遺産							
残りの「超高純度クリスタル」は調達できただろうか？			残りの「超高純度クリスタル」は調達できただろうか？			古代アラグ文明の遺産							
おお、4属性の超高純度クリスタルがそろったか……！君には大変な苦労をかけてしまったね。ありがとう、これで調査は次の一歩を踏み出せる。			おお、4属性の超高純度クリスタルがそろったか……！君には大変な苦労をかけてしまったね。ありがとう、これで調査は次の一歩を踏み出せる。			古代アラグ文明の遺産							
……とはいえ、このクリスタルはまだ原石の状態。確実に防衛機構の攻撃を反射させるには、成形して磨き上げねばならん。			……とはいえ、このクリスタルはまだ原石の状態。確実に防衛機構の攻撃を反射させるには、成形して磨き上げねばならん。			古代アラグ文明の遺産							
その作業にはまた、君の力を借りることになるだろう。防衛機構を打ち砕く「牙」を作るため、よろしく頼むぞ。			その作業にはまた、君の力を借りることになるだろう。防衛機構を打ち砕く「牙」を作るため、よろしく頼むぞ。			古代アラグ文明の遺産							
ラムブルースは、超高純度クリスタルを成形する準備をしたいようだ。			ラムブルースは、超高純度クリスタルを成形する準備をしたいようだ。			霊砂と未来を造る者							
超高純度クリスタルを成形するためには、研磨剤となる「霊砂」を集めなければならない。ラムブルースから預かった「霊砂の代金」をウルダハの彫金師ギルドにいる「セレンディピティー」に渡し、霊砂集めに協力しよう。			超高純度クリスタルを成形するためには、研磨剤となる「霊砂」を集めなければならない。ラムブルースから預かった「霊砂の代金」をウルダハの彫金師ギルドにいる「セレンディピティー」に渡し、霊砂集めに協力しよう。			霊砂と未来を造る者							
セレンディピティーに霊砂の代金を渡したところ、同じく霊砂を集めているビッグスに出会った。交渉の末、無事に「烈火の霊砂」を譲り受けた冒険者。ほかの霊砂について、彫金師ギルドにいる「ビッグス」に話を聞いてみよう。			セレンディピティーに霊砂の代金を渡したところ、同じく霊砂を集めているビッグスに出会った。交渉の末、無事に「烈火の霊砂」を譲り受けた冒険者。ほかの霊砂について、彫金師ギルドにいる「ビッグス」に話を聞いてみよう。			霊砂と未来を造る者							
ビッグスの相棒であるウェッジが、北ザナラーンで「沃土の霊砂」を追っているらしい。キャンプ・ブルーフォグへ向かい、ウェッジが雇った「熟練の冒険者」と話そう。			ビッグスの相棒であるウェッジが、北ザナラーンで「沃土の霊砂」を追っているらしい。キャンプ・ブルーフォグへ向かい、ウェッジが雇った「熟練の冒険者」と話そう。			霊砂と未来を造る者							
熟練の冒険者は、賊から「沃土の霊砂」を奪還する最中にウェッジとはぐれたという。アマジナ霊銀山跡で「ウェッジ」を探し、救出しよう。			熟練の冒険者は、賊から「沃土の霊砂」を奪還する最中にウェッジとはぐれたという。アマジナ霊銀山跡で「ウェッジ」を探し、救出しよう。			霊砂と未来を造る者							
ウェッジを見つけた。彼が逃げる最中に落としてしまった「沃土の霊砂」を、アマジナ霊銀山跡の敷地内で探そう。			ウェッジを見つけた。彼が逃げる最中に落としてしまった「沃土の霊砂」を、アマジナ霊銀山跡の敷地内で探そう。			霊砂と未来を造る者							
「沃土の霊砂」を見つけた。ウェッジに見せよう。			「沃土の霊砂」を見つけた。ウェッジに見せよう。			霊砂と未来を造る者							
ウェッジは「沃土の霊砂」の回収を喜んだが、冒険者の事情を聞いて譲ってくれた。モードゥナの聖コイナク財団の調査地に戻り、ラムブルースに「烈火の霊砂」と「沃土の霊砂」を渡そう。			ウェッジは「沃土の霊砂」の回収を喜んだが、冒険者の事情を聞いて譲ってくれた。モードゥナの聖コイナク財団の調査地に戻り、ラムブルースに「烈火の霊砂」と「沃土の霊砂」を渡そう。			霊砂と未来を造る者							
2種類の霊砂を渡した。ビッグスとウェッジの奮闘を聞いたシドは嬉しそうだ。ラムブルースは残りの霊砂の調達について手を打っていると言うが、なぜか浮かない顔をしている……。			2種類の霊砂を渡した。ビッグスとウェッジの奮闘を聞いたシドは嬉しそうだ。ラムブルースは残りの霊砂の調達について手を打っていると言うが、なぜか浮かない顔をしている……。			霊砂と未来を造る者							
彫金師ギルドのセレンディピティーに霊砂の代金を渡す			彫金師ギルドのセレンディピティーに霊砂の代金を渡す			霊砂と未来を造る者							
ビッグスと話す			ビッグスと話す			霊砂と未来を造る者							
キャンプ・ブルーフォグで熟練の冒険者と話す			キャンプ・ブルーフォグで熟練の冒険者と話す			霊砂と未来を造る者							
アマジナ霊銀山跡でウェッジを救助			アマジナ霊銀山跡でウェッジを救助			霊砂と未来を造る者							
アマジナ霊銀山跡で沃土の霊砂を探す			アマジナ霊銀山跡で沃土の霊砂を探す			霊砂と未来を造る者							
ウェッジに沃土の霊砂を見せる			ウェッジに沃土の霊砂を見せる			霊砂と未来を造る者							
聖コイナク財団の調査地のラムブルースに霊砂を渡す			聖コイナク財団の調査地のラムブルースに霊砂を渡す			霊砂と未来を造る者							
では、超高純度クリスタルの成形を……と言いたいのだが、属性の力を失わずに加工するには、クリスタルと同じ属性を持った、特別な研磨剤が必要でな。			では、超高純度クリスタルの成形を……と言いたいのだが、属性の力を失わずに加工するには、クリスタルと同じ属性を持った、特別な研磨剤が必要でな。			霊砂と未来を造る者							
その研磨剤となる「霊砂」はあまりに希少で、磨かれる宝石よりも値が張る、などと言われる代物……。4属性分そろえるのは容易ではない。			その研磨剤となる「霊砂」はあまりに希少で、磨かれる宝石よりも値が張る、などと言われる代物……。4属性分そろえるのは容易ではない。			霊砂と未来を造る者							
我々も、かねてからウルダハの彫金師ギルドに収集を要請しているのだが、いまだに吉報がない状況だ。			我々も、かねてからウルダハの彫金師ギルドに収集を要請しているのだが、いまだに吉報がない状況だ。			霊砂と未来を造る者							
そこで君は彫金師ギルドに向かい、「霊砂」の調達のために力を貸してやってほしい。君の協力は、心強い追い風となるだろう。			そこで君は彫金師ギルドに向かい、「霊砂」の調達のために力を貸してやってほしい。君の協力は、心強い追い風となるだろう。			霊砂と未来を造る者							
この「霊砂の代金」を君に託す。ギルドマスターの「セレンディピティー」に渡し、1種類でも多くの「霊砂」を集めてきてくれ。			この「霊砂の代金」を君に託す。ギルドマスターの「セレンディピティー」に渡し、1種類でも多くの「霊砂」を集めてきてくれ。			霊砂と未来を造る者							
はい、私に何かご用でしょうか？			はい、私に何かご用でしょうか？			霊砂と未来を造る者							
ああ、「霊砂」の件ですねっ！ちょうどよかった、やっと「烈火の霊砂」が見つかったのでご連絡をさしあげようと思っていたんです。			ああ、「霊砂」の件ですねっ！ちょうどよかった、やっと「烈火の霊砂」が見つかったのでご連絡をさしあげようと思っていたんです。			霊砂と未来を造る者							
残念ながら、ほかの属性の「霊砂」はありませんが……。入荷した「烈火の霊砂」は受付で預かっていますので、代金はそちらへお願いします。			残念ながら、ほかの属性の「霊砂」はありませんが……。入荷した「烈火の霊砂」は受付で預かっていますので、代金はそちらへお願いします。			霊砂と未来を造る者							
……あれっ、お客さんかな？			……あれっ、お客さんかな？			霊砂と未来を造る者							
頼む、どうか譲ってくれ！その「烈火の霊砂」が手に入らなかったら、新型飛空艇は設計からやり直しになっちまう！			頼む、どうか譲ってくれ！その「烈火の霊砂」が手に入らなかったら、新型飛空艇は設計からやり直しになっちまう！			霊砂と未来を造る者							
そう言われましても、先約がありますので。割り増しで買ってくださるなら、考えなくもないですが？			そう言われましても、先約がありますので。割り増しで買ってくださるなら、考えなくもないですが？			霊砂と未来を造る者							
くっ、さっきの額でも足りないと！？どうする……もう開発の経費で下りないぞ……。また当面メシ抜きか……！？			くっ、さっきの額でも足りないと！？どうする……もう開発の経費で下りないぞ……。また当面メシ抜きか……！？			霊砂と未来を造る者							
Surname！お前、なんだってこんなところに！			Surname！お前、なんだってこんなところに！			霊砂と未来を造る者							
あら、ずいぶん重たそうな金袋……。景気のいいギルの音がしましたわ♪			あら、ずいぶん重たそうな金袋……。景気のいいギルの音がしましたわ♪			霊砂と未来を造る者							
……もしかして、お前も「烈火の霊砂」を狙ってるのか？			……もしかして、お前も「烈火の霊砂」を狙ってるのか？			霊砂と未来を造る者							
ほう、古代アラグ文明の調査か……。親方とは少し前から別行動をとってるもんで、そんなことをしてるとは知らなかったぜ。			ほう、古代アラグ文明の調査か……。親方とは少し前から別行動をとってるもんで、そんなことをしてるとは知らなかったぜ。			霊砂と未来を造る者							
俺とウェッジは、新しい飛空艇の開発に挑んでるんだ。失敗もしたが、クリスタルを使った新型動力機関の作成までようやく漕ぎつけてな。			俺とウェッジは、新しい飛空艇の開発に挑んでるんだ。失敗もしたが、クリスタルを使った新型動力機関の作成までようやく漕ぎつけてな。			霊砂と未来を造る者							
以前、お前たちが偏属性クリスタルを用いてエンタープライズを強化したと聞いて、思いついた品さ。あとは各属性の「霊砂」で部品を整えれば完成する……。			以前、お前たちが偏属性クリスタルを用いてエンタープライズを強化したと聞いて、思いついた品さ。あとは各属性の「霊砂」で部品を整えれば完成する……。			霊砂と未来を造る者							
だから「烈火の霊砂」は譲れない。新しい時代のために、新しい技術を生み出したいんだ！			だから「烈火の霊砂」は譲れない。新しい時代のために、新しい技術を生み出したいんだ！			霊砂と未来を造る者							
コホン、意気込んでいるところに失礼ですが……。こちらの金袋は、先約した聖コイナク財団のものですわ。……技師さんのお財布よりも重たいですし。			コホン、意気込んでいるところに失礼ですが……。こちらの金袋は、先約した聖コイナク財団のものですわ。……技師さんのお財布よりも重たいですし。			霊砂と未来を造る者							
…………さすが、お前と親方はぬかりないな。			…………さすが、お前と親方はぬかりないな。			霊砂と未来を造る者							
わかった……この「烈火の霊砂」からは手を引こう。代わりといっちゃなんだが、お前たちの新しい計画ってやつに、俺も参加させてくれ。			わかった……この「烈火の霊砂」からは手を引こう。代わりといっちゃなんだが、お前たちの新しい計画ってやつに、俺も参加させてくれ。			霊砂と未来を造る者							
古代アラグ文明を調べられる機会なんて、そうないからな。せっかく掘り起こした技術を、親方だけの秘密にはしておけないぜ！			古代アラグ文明を調べられる機会なんて、そうないからな。せっかく掘り起こした技術を、親方だけの秘密にはしておけないぜ！			霊砂と未来を造る者							
さっきの話によると、お前はほかの属性の「霊砂」も集めなきゃならないんだろ？			さっきの話によると、お前はほかの属性の「霊砂」も集めなきゃならないんだろ？			霊砂と未来を造る者							
だったら、あてのない入荷を待つよりも、自分の足で探した方が早いかもしれないぞ。……実は、ちょっとした手がかりがあるんだ。			だったら、あてのない入荷を待つよりも、自分の足で探した方が早いかもしれないぞ。……実は、ちょっとした手がかりがあるんだ。			霊砂と未来を造る者							
なんでも、北ザナラーンにいる商人が、まれに「沃土の霊砂」を卸しているらしい。詳しい情報は、ウェッジが調べてるところだ。			なんでも、北ザナラーンにいる商人が、まれに「沃土の霊砂」を卸しているらしい。詳しい情報は、ウェッジが調べてるところだ。			霊砂と未来を造る者							
あいつも、お前に触発されたらしくてな。珍しく「ひとりでやるッス！」なんて張り切ってたんだ。……まあ、上手くいってればいいんだが。			あいつも、お前に触発されたらしくてな。珍しく「ひとりでやるッス！」なんて張り切ってたんだ。……まあ、上手くいってればいいんだが。			霊砂と未来を造る者							
ウェッジは「キャンプ・ブルーフォグ」にいる。雇った冒険者が同行しているはずだから、現地で探して合流してくれ。			ウェッジは「キャンプ・ブルーフォグ」にいる。雇った冒険者が同行しているはずだから、現地で探して合流してくれ。			霊砂と未来を造る者							
ウェッジと一緒に「沃土の霊砂」を探すといい。キャンプ・ブルーフォグに行けば足跡を追えるはずだ。俺も工房を片したらモードゥナへ行くさ。			ウェッジと一緒に「沃土の霊砂」を探すといい。キャンプ・ブルーフォグに行けば足跡を追えるはずだ。俺も工房を片したらモードゥナへ行くさ。			霊砂と未来を造る者							
なによ……同行者を探してるなら、ほかをあたってくれる？こっちは酷い目にあって、ボロボロなの。			なによ……同行者を探してるなら、ほかをあたってくれる？こっちは酷い目にあって、ボロボロなの。			霊砂と未来を造る者							
ララフェル族の技師に雇われて、「霊砂」とかいう品を扱う商人を訪ねたんだけど……意外に高価なものらしくて、賊に奪われたっていうのよ。			ララフェル族の技師に雇われて、「霊砂」とかいう品を扱う商人を訪ねたんだけど……意外に高価なものらしくて、賊に奪われたっていうのよ。			霊砂と未来を造る者							
取り戻すために根城へ忍び込んだけど、バレちゃってね。同行してた依頼人とも、逃げるときにはぐれちゃった……って、アナタ依頼人の知り合いなの？			取り戻すために根城へ忍び込んだけど、バレちゃってね。同行してた依頼人とも、逃げるときにはぐれちゃった……って、アナタ依頼人の知り合いなの？			霊砂と未来を造る者							
だ、だったらアナタが探しに行ってあげなさいよ！依頼人はまだ、賊の根城……「アマジナ霊銀山跡」の中かもしれないわ。			だ、だったらアナタが探しに行ってあげなさいよ！依頼人はまだ、賊の根城……「アマジナ霊銀山跡」の中かもしれないわ。			霊砂と未来を造る者							
