オールド・シャーレアンのネミングウェイは、周囲の様子を窺っているようだ。			オールド・シャーレアンのネミングウェイは、周囲の様子を窺っているようだ。			再会と、新たな計画！							
まだ見ぬ星々へと向かい、惑星を探検する……名付けて「コスモエクスプローラー計画」ッス！			まだ見ぬ星々へと向かい、惑星を探検する……名付けて「コスモエクスプローラー計画」ッス！			再会と、新たな計画！							
ネミングウェイ、キミは「名前」をつけるのが好きだったッスね？			ネミングウェイ、キミは「名前」をつけるのが好きだったッスね？			再会と、新たな計画！							
ベストウェイ・バローにハピネスキャロット……オイラたちが作ってきた、いろんなものを命名してきたッスよ。それに100年地上を見てきて、見識もオイラたちより深いはず！			ベストウェイ・バローにハピネスキャロット……オイラたちが作ってきた、いろんなものを命名してきたッスよ。それに100年地上を見てきて、見識もオイラたちより深いはず！			再会と、新たな計画！							
そのセンスと経験を、オイラのプロジェクトで活かさないッス？宇宙で出会うことになる、たくさんの「はじめて」に、名前をつけていくッスよ！			そのセンスと経験を、オイラのプロジェクトで活かさないッス？宇宙で出会うことになる、たくさんの「はじめて」に、名前をつけていくッスよ！			再会と、新たな計画！							
たくさんの「はじめて」……その全部にボクが名前を？			たくさんの「はじめて」……その全部にボクが名前を？			再会と、新たな計画！							
それが……ボクの新しい役割……いや、「やりたいこと」になるのかな……？			それが……ボクの新しい役割……いや、「やりたいこと」になるのかな……？			再会と、新たな計画！							
でも……うん、うんうん！それってとっても面白そうだよ！気合をいれて、い～っぱい名付けちゃうもんね！			でも……うん、うんうん！それってとっても面白そうだよ！気合をいれて、い～っぱい名付けちゃうもんね！			再会と、新たな計画！							
そうだ、Forenameさん！よかったらキミも、計画に参加してみないッス？			そうだ、Forenameさん！よかったらキミも、計画に参加してみないッス？			再会と、新たな計画！							
未知を求め旅するのが冒険者というものって聞いたッスよ。一緒に宇宙の大海原へと旅立って、まだ誰も見たことないものを、共に見ようじゃないかッス！			未知を求め旅するのが冒険者というものって聞いたッスよ。一緒に宇宙の大海原へと旅立って、まだ誰も見たことないものを、共に見ようじゃないかッス！			再会と、新たな計画！							
何と答える？			何と答える？			再会と、新たな計画！							
行こう、勇敢に！			行こう、勇敢に！			再会と、新たな計画！							
悪くないかもしれない			悪くないかもしれない			再会と、新たな計画！							
復興、開拓ときて……宇宙探索か！			復興、開拓ときて……宇宙探索か！			再会と、新たな計画！							
やったッス～！Forenameさんが一緒なら、心強いッスよ！			やったッス～！Forenameさんが一緒なら、心強いッスよ！			再会と、新たな計画！							
それじゃあさっそく、コスモエクスプローラー計画の本部基地にご招待を！送迎役の「ドライビングウェイ」に声をかけるッスー！			それじゃあさっそく、コスモエクスプローラー計画の本部基地にご招待を！送迎役の「ドライビングウェイ」に声をかけるッスー！			再会と、新たな計画！							
このカッコいいグラスをかけているのが、頼れる運転手、「ドライビングウェイ」ッス！			このカッコいいグラスをかけているのが、頼れる運転手、「ドライビングウェイ」ッス！			再会と、新たな計画！							
100年以上もアーテリスを彷徨っていたかと思えば、いきなり宇宙を目指すことになるなんて……！何があるかわからないもんだね！			100年以上もアーテリスを彷徨っていたかと思えば、いきなり宇宙を目指すことになるなんて……！何があるかわからないもんだね！			再会と、新たな計画！							
おう、ムーンローバーに乗ってくかい？……っと、ヒトのアンタもか？			おう、ムーンローバーに乗ってくかい？……っと、ヒトのアンタもか？			再会と、新たな計画！							
Forenameさんとネミングウェイも、計画へ参加してくれることになったッスよ！ふたりを基地まで連れていってほしいッス！			Forenameさんとネミングウェイも、計画へ参加してくれることになったッスよ！ふたりを基地まで連れていってほしいッス！			再会と、新たな計画！							
なるほどな、任されたぜ。			なるほどな、任されたぜ。			再会と、新たな計画！							
オイラは、別のマシンで先に向かってるッス！荒野の道はデコボコだからゆっくり来てもらって、向こうに着いたら歓迎するッスよ～！			オイラは、別のマシンで先に向かってるッス！荒野の道はデコボコだからゆっくり来てもらって、向こうに着いたら歓迎するッスよ～！			再会と、新たな計画！							
「コスモエクスプローラー計画」の月面拠点となる基地は、ここ嘆きの海とは異なるクレーターに位置している。道中の磁場が影響して、転送魔法では向かいにくくてな。			「コスモエクスプローラー計画」の月面拠点となる基地は、ここ嘆きの海とは異なるクレーターに位置している。道中の磁場が影響して、転送魔法では向かいにくくてな。			再会と、新たな計画！							
しばらく地面がガタつくだろうが、さっそく、このローバーに乗り込んでくれ。俺の運転で送っていってやるよ。			しばらく地面がガタつくだろうが、さっそく、このローバーに乗り込んでくれ。俺の運転で送っていってやるよ。			再会と、新たな計画！							
ようこそッス！オイラたちのコスモエクスプローラー計画、その総合本部「ムーンゲート基地」へ！			ようこそッス！オイラたちのコスモエクスプローラー計画、その総合本部「ムーンゲート基地」へ！			再会と、新たな計画！							
宇宙探索のための基地なんて、ワクワクだねー！			宇宙探索のための基地なんて、ワクワクだねー！			再会と、新たな計画！							
焦がれの入江のムーンゲート基地へ向かうのか？いいぜ、ムーンローバーに乗ってきな。			焦がれの入江のムーンゲート基地へ向かうのか？いいぜ、ムーンローバーに乗ってきな。			再会と、新たな計画！							
「ムーンゲート基地」へ移動しますか？			「ムーンゲート基地」へ移動しますか？			再会と、新たな計画！							
さぁて、仲間も増えたところッス！今こそコスモエクスプローラー計画を、本格的に進めていくッスよー！			さぁて、仲間も増えたところッス！今こそコスモエクスプローラー計画を、本格的に進めていくッスよー！			再会と、新たな計画！							
さて、宇宙を探索していくにしても、まずはその準備が大事ッス！まずは足がかりとなる基地を完成させ……			さて、宇宙を探索していくにしても、まずはその準備が大事ッス！まずは足がかりとなる基地を完成させ……			再会と、新たな計画！							
別の惑星へ向かうための、新たな宇宙船を用意するッス～！			別の惑星へ向かうための、新たな宇宙船を用意するッス～！			再会と、新たな計画！							
宇宙船自体はもちろん、メンテナンス設備や発着施設の建造……探索本部としての機能も含めて、準備してるッスよ！			宇宙船自体はもちろん、メンテナンス設備や発着施設の建造……探索本部としての機能も含めて、準備してるッスよ！			再会と、新たな計画！							
さらに、向かった先の惑星で探査や資源採掘を行うための、専用機器の開発、運用試験も必要！計画機構のなかで担当を分担して、頑張ってくつもりッス～！			さらに、向かった先の惑星で探査や資源採掘を行うための、専用機器の開発、運用試験も必要！計画機構のなかで担当を分担して、頑張ってくつもりッス～！			再会と、新たな計画！							
わわわ、忙しそう……！そんなに仕事が盛り沢山なら、人手も、いーっぱいいるんじゃない？			わわわ、忙しそう……！そんなに仕事が盛り沢山なら、人手も、いーっぱいいるんじゃない？			再会と、新たな計画！							
ふふん、それなら大丈夫ッス！レポリットの仲間たちに加えて、シャーレアンのヒトたち……魔法大学の研究者やグリーナーさんたちが参加してるッスから！			ふふん、それなら大丈夫ッス！レポリットの仲間たちに加えて、シャーレアンのヒトたち……魔法大学の研究者やグリーナーさんたちが参加してるッスから！			再会と、新たな計画！							
とはいえ、設備と宇宙船の完成までには、まだまだ多くの時間と労力が必要そうッス……。仕事も山積み、やり放題の働き放題というわけッス！			とはいえ、設備と宇宙船の完成までには、まだまだ多くの時間と労力が必要そうッス……。仕事も山積み、やり放題の働き放題というわけッス！			再会と、新たな計画！							
見てのとおり、たくさんのヒトたちの尽力で、基地の設備も宇宙船も、めでたく完成したッス！これからも試験運用を続けてく予定ッスよ！			見てのとおり、たくさんのヒトたちの尽力で、基地の設備も宇宙船も、めでたく完成したッス！これからも試験運用を続けてく予定ッスよ！			再会と、新たな計画！							
計画への参加にあたって、おふたりには、この基地を中心に周辺を自由に歩き回ってもらって構わないッス！			計画への参加にあたって、おふたりには、この基地を中心に周辺を自由に歩き回ってもらって構わないッス！			再会と、新たな計画！							
ネミングウェイは、目新しいものを見つけたら、どんどん命名してオイラたちに報告してほしいッス！ほかのメンバーにも共有して計画全体で名前を使用してくッスよ。			ネミングウェイは、目新しいものを見つけたら、どんどん命名してオイラたちに報告してほしいッス！ほかのメンバーにも共有して計画全体で名前を使用してくッスよ。			再会と、新たな計画！							
ボクにぴーったりのお仕事だねっ！みんなに使ってもらえる名前を考えるの、とっても楽しみだよ！			ボクにぴーったりのお仕事だねっ！みんなに使ってもらえる名前を考えるの、とっても楽しみだよ！			再会と、新たな計画！							
そしてForenameさんには！もしよかったら職人のひとりとして、この計画に、ガッツリ協力してほしいッス！			そしてForenameさんには！もしよかったら職人のひとりとして、この計画に、ガッツリ協力してほしいッス！			再会と、新たな計画！							
これを受け取ってほしいッスよ！計画参加者専用の、「エクスプローラータブレット」ッス！			これを受け取ってほしいッスよ！計画参加者専用の、「エクスプローラータブレット」ッス！			再会と、新たな計画！							
たくさんのヒトが参加する計画ッスからね。進捗やお願いしたい依頼の内容は、常にこのタブレット上で情報を更新し、共有していくッスよ。			たくさんのヒトが参加する計画ッスからね。進捗やお願いしたい依頼の内容は、常にこのタブレット上で情報を更新し、共有していくッスよ。			再会と、新たな計画！							
それと、協力者向けの最新ツールの開発も！試作段階のツールも渡しておくッスから、今後の開発についても、タブレットで確認してほしいッス！			それと、協力者向けの最新ツールの開発も！試作段階のツールも渡しておくッスから、今後の開発についても、タブレットで確認してほしいッス！			再会と、新たな計画！							
説明はこんなところッスかね～！どんどん探索計画のミッションに参加したりしてもらって、新たな星への旅立ちを目指し、みんなで頑張っていこうッス！			説明はこんなところッスかね～！どんどん探索計画のミッションに参加したりしてもらって、新たな星への旅立ちを目指し、みんなで頑張っていこうッス！			再会と、新たな計画！							
よーし！ボクはいっぱい見つけて、いーっぱい名前を付けるぞーーっ！			よーし！ボクはいっぱい見つけて、いーっぱい名前を付けるぞーーっ！			再会と、新たな計画！							
「エクスプローラータブレット」を入手しました。探索フィールドにいる間は、常時タブレットを介して、最新の情報を入手することができます。			「エクスプローラータブレット」を入手しました。探索フィールドにいる間は、常時タブレットを介して、最新の情報を入手することができます。			再会と、新たな計画！							
レポリットたちが主導する探索が始動しているようです。様々なミッションなどに参加し、コスモエクスプローラー計画に協力していきましょう！			レポリットたちが主導する探索が始動しているようです。様々なミッションなどに参加し、コスモエクスプローラー計画に協力していきましょう！			再会と、新たな計画！							
また、レポリットたちが月面の磁場の制御に成功したようです。ベストウェイ・バローのエーテライトからも、焦がれの入江へ、片道でのワープが可能になりました！			また、レポリットたちが月面の磁場の制御に成功したようです。ベストウェイ・バローのエーテライトからも、焦がれの入江へ、片道でのワープが可能になりました！			再会と、新たな計画！							
ムーンゲート基地のサーチングウェイは、コスモエクスプローラー計画の進捗に満足しているようだ。			ムーンゲート基地のサーチングウェイは、コスモエクスプローラー計画の進捗に満足しているようだ。			未知待つ宙へ焦がれて							
サーチングウェイと話すうちに、周囲を見回ってきていたネミングウェイが戻ってきた。焦がれの入江の各所を見にいくために、ムーンゲート基地の「ネミングウェイ」と話し、同行させよう。			サーチングウェイと話すうちに、周囲を見回ってきていたネミングウェイが戻ってきた。焦がれの入江の各所を見にいくために、ムーンゲート基地の「ネミングウェイ」と話し、同行させよう。			未知待つ宙へ焦がれて							
ネミングウェイを連れて、彼が紹介したいという焦がれの入江の各所へと向かおう。まずは完成した宇宙船「ギャラクティックウェイ号」を見に行くといいだろう。※同行状態が解除された場合、再度「ネミングウェイ」に話しかけることで同行を再開できます。			ネミングウェイを連れて、彼が紹介したいという焦がれの入江の各所へと向かおう。まずは完成した宇宙船「ギャラクティックウェイ号」を見に行くといいだろう。※同行状態が解除された場合、再度「ネミングウェイ」に話しかけることで同行を再開できます。			未知待つ宙へ焦がれて							
ネミングウェイと同行し、まずは完成した宇宙船ギャラクティックウェイ号を眺め、ネミングウェイがその名に込めた想いを聞いた。引き続きネミングウェイと同行し、「グリーミングマウンテン」へと向かおう。			ネミングウェイと同行し、まずは完成した宇宙船ギャラクティックウェイ号を眺め、ネミングウェイがその名に込めた想いを聞いた。引き続きネミングウェイと同行し、「グリーミングマウンテン」へと向かおう。			未知待つ宙へ焦がれて							
グリーミングマウンテンでネミングウェイと話し、星々への憧れからの名付けについて聞くことができた。引き続きネミングウェイと同行し、「ウェディングウェイの式園」へと向かおう。			グリーミングマウンテンでネミングウェイと話し、星々への憧れからの名付けについて聞くことができた。引き続きネミングウェイと同行し、「ウェディングウェイの式園」へと向かおう。			未知待つ宙へ焦がれて							
ネミングウェイと話し、ウェディングウェイの式園を詳しく観察してみることにした。ネミングウェイを連れた状態でウェディングウェイの式園の「指定地点」から辺りを見渡し、観察を始めよう。			ネミングウェイと話し、ウェディングウェイの式園を詳しく観察してみることにした。ネミングウェイを連れた状態でウェディングウェイの式園の「指定地点」から辺りを見渡し、観察を始めよう。			未知待つ宙へ焦がれて							
ウェディングウェイの式園を観察し、ネミングウェイから月面の様々な自然環境や名付けへの思い入れ、そしてコスモエクスプローラー計画を通して新たなものを知ることを楽しんでいきたいとの考えを聞いた。「サーチングウェイ」の待つムーンゲート基地へと帰り、散策を楽しんだことを伝えよう。			ウェディングウェイの式園を観察し、ネミングウェイから月面の様々な自然環境や名付けへの思い入れ、そしてコスモエクスプローラー計画を通して新たなものを知ることを楽しんでいきたいとの考えを聞いた。「サーチングウェイ」の待つムーンゲート基地へと帰り、散策を楽しんだことを伝えよう。			未知待つ宙へ焦がれて							
サーチングウェイにとっておきの場所へと案内され、コスモエクスプローラー計画にかける想いを聞くことができた。宇宙船ギャラクティックウェイ号が完成した今、いよいよ異星に向けて出発することになる。その準備が整うまで、しばらく待つこととしよう。また、計画実績「月面のコスモミッションを100回達成する」を取得すれば、新たなサブクエストを受注することができるようだ。コスモエクスプローラー計画に携わる人々とさらに関わるべく、これからもエクスプローラータブレットからミッションなどに積極的に参加していこう。			サーチングウェイにとっておきの場所へと案内され、コスモエクスプローラー計画にかける想いを聞くことができた。宇宙船ギャラクティックウェイ号が完成した今、いよいよ異星に向けて出発することになる。その準備が整うまで、しばらく待つこととしよう。また、計画実績「月面のコスモミッションを100回達成する」を取得すれば、新たなサブクエストを受注することができるようだ。コスモエクスプローラー計画に携わる人々とさらに関わるべく、これからもエクスプローラータブレットからミッションなどに積極的に参加していこう。			未知待つ宙へ焦がれて							
ネミングウェイと話して同行させる			ネミングウェイと話して同行させる			未知待つ宙へ焦がれて							
ネミングウェイを連れて宇宙船を見に行き、ネミングウェイと話す			ネミングウェイを連れて宇宙船を見に行き、ネミングウェイと話す			未知待つ宙へ焦がれて							
連れているネミングウェイとグリーミングマウンテンで話す			連れているネミングウェイとグリーミングマウンテンで話す			未知待つ宙へ焦がれて							
連れているネミングウェイとウェディングウェイの式園で話す			連れているネミングウェイとウェディングウェイの式園で話す			未知待つ宙へ焦がれて							
ネミングウェイを連れて指定地点で観察する			ネミングウェイを連れて指定地点で観察する			未知待つ宙へ焦がれて							
サーチングウェイと話す			サーチングウェイと話す			未知待つ宙へ焦がれて							
Forenameさん、ご協力感謝ッス！ところで……ここに建設されたいろんな施設について、じっくり見て回ったこと、あるッスか？			Forenameさん、ご協力感謝ッス！ところで……ここに建設されたいろんな施設について、じっくり見て回ったこと、あるッスか？			未知待つ宙へ焦がれて							
何と言う？			何と言う？			未知待つ宙へ焦がれて							
ひととおり眺めたかも			ひととおり眺めたかも			未知待つ宙へ焦がれて							
夢中で作業してたからあんまり……			夢中で作業してたからあんまり……			未知待つ宙へ焦がれて							
それはそれは、頑張ってくれてありがとうッス～！この基地で用意した設備や機器は、今後も活用する予定ッスから、その経験は大いに役立つはずッスよ！			それはそれは、頑張ってくれてありがとうッス～！この基地で用意した設備や機器は、今後も活用する予定ッスから、その経験は大いに役立つはずッスよ！			未知待つ宙へ焦がれて							
ただいまー！立派な基地だねぇ、ボクも見惚れちゃったや！			ただいまー！立派な基地だねぇ、ボクも見惚れちゃったや！			未知待つ宙へ焦がれて							
そのとおりッス！計画が進行したのも大勢のヒトたちが協力してくれたおかげ……！オイラたちレポリット一同、とっても感謝してるッスよー！			そのとおりッス！計画が進行したのも大勢のヒトたちが協力してくれたおかげ……！オイラたちレポリット一同、とっても感謝してるッスよー！			未知待つ宙へ焦がれて							
うんうん、それに面白いものもいっぱいだね！しばらくぶりの月で懐かしいし、レポリットの仲間もがんばってるみたいで、嬉しかったな！			うんうん、それに面白いものもいっぱいだね！しばらくぶりの月で懐かしいし、レポリットの仲間もがんばってるみたいで、嬉しかったな！			未知待つ宙へ焦がれて							
