シャバーブチェのブルケブは、冒険者に頼みがあるようだ。			シャバーブチェのブルケブは、冒険者に頼みがあるようだ。			超常の力、宿りし祭器							
その中には悪意を持つ連中もいるってのが問題さ。今回は、そういった異邦人が起こした事件の解決に、協力してもらいたい。			その中には悪意を持つ連中もいるってのが問題さ。今回は、そういった異邦人が起こした事件の解決に、協力してもらいたい。			超常の力、宿りし祭器							
事の始まりは、そこの席に着いた客たちの会話だ。			事の始まりは、そこの席に着いた客たちの会話だ。			超常の力、宿りし祭器							
(-？？？？-)諸君……。はるばるトラル大陸まで、よくぞ集まってくれた。			(-？？？？-)諸君……。はるばるトラル大陸まで、よくぞ集まってくれた。			超常の力、宿りし祭器							
(-優雅に笑う女-)我々6人の同志がこうして一堂に会するのは、これが初めて。だから自己紹介をしておこう。			(-優雅に笑う女-)我々6人の同志がこうして一堂に会するのは、これが初めて。だから自己紹介をしておこう。			超常の力、宿りし祭器							
(-優雅に笑う女-)私は……。			(-優雅に笑う女-)私は……。			超常の力、宿りし祭器							
はい、よろこんでー！ご注文は？			はい、よろこんでー！ご注文は？			超常の力、宿りし祭器							
(-優雅に笑う女-)えっ、あ、これはその……			(-優雅に笑う女-)えっ、あ、これはその……			超常の力、宿りし祭器							
(-優雅に笑う女-)今いいところだから、ちょーっと待っててねぇ！			(-優雅に笑う女-)今いいところだから、ちょーっと待っててねぇ！			超常の力、宿りし祭器							
(-優雅に笑う女-)ゴホン、それでは改めて……			(-優雅に笑う女-)ゴホン、それでは改めて……			超常の力、宿りし祭器							
私の名はアパーヒ。悪の秘密組織「自由の扉」の首領よ。			私の名はアパーヒ。悪の秘密組織「自由の扉」の首領よ。			超常の力、宿りし祭器							
(-呆れた様子の女-)悪の秘密組織って……自分で言うかね、普通。			(-呆れた様子の女-)悪の秘密組織って……自分で言うかね、普通。			超常の力、宿りし祭器							
(-呆れた様子の女-)それに、秘密の組織なら、なんでこんなとこで大っぴらに会合開いてるんだよ。			(-呆れた様子の女-)それに、秘密の組織なら、なんでこんなとこで大っぴらに会合開いてるんだよ。			超常の力、宿りし祭器							
おだまりッ！こういうのはノリが大事なのよ、ノリがッ！組織の敬礼ポーズや、キメ台詞だって考え中なんだから。			おだまりッ！こういうのはノリが大事なのよ、ノリがッ！組織の敬礼ポーズや、キメ台詞だって考え中なんだから。			超常の力、宿りし祭器							
……それに「自由の扉」の目的は、世界中に混乱を巻き起こし、国家を転覆させること。それが悪でなくて、何だというの？			……それに「自由の扉」の目的は、世界中に混乱を巻き起こし、国家を転覆させること。それが悪でなくて、何だというの？			超常の力、宿りし祭器							
(-卑屈そうな男-)この僕を虐げる連中に痛い目を見せてやれるなら、自ら悪を名乗りもしよう！			(-卑屈そうな男-)この僕を虐げる連中に痛い目を見せてやれるなら、自ら悪を名乗りもしよう！			超常の力、宿りし祭器							
(-卑屈そうな男-)権力者も、金持ちも、筋肉質の力持ちも……みんな、みーんな不幸になればいい！			(-卑屈そうな男-)権力者も、金持ちも、筋肉質の力持ちも……みんな、みーんな不幸になればいい！			超常の力、宿りし祭器							
(-寡黙な男-)……しかし、たった6人で何ができる？各地で手駒を増やすにしても、限界はあろう。			(-寡黙な男-)……しかし、たった6人で何ができる？各地で手駒を増やすにしても、限界はあろう。			超常の力、宿りし祭器							
残念ながら、今の私たちは無力で不自由な存在。国家を相手に戦いを挑むならば、より強大な力を手に入れなくてはならない。			残念ながら、今の私たちは無力で不自由な存在。国家を相手に戦いを挑むならば、より強大な力を手に入れなくてはならない。			超常の力、宿りし祭器							
そう……あの鳥のように、束縛を振り払い、青空を自由に羽ばたくための翼を！			そう……あの鳥のように、束縛を振り払い、青空を自由に羽ばたくための翼を！			超常の力、宿りし祭器							
……まぁ、ときには雲行きも怪しくなるし、鳥だって羽を休めることもあるでしょう。			……まぁ、ときには雲行きも怪しくなるし、鳥だって羽を休めることもあるでしょう。			超常の力、宿りし祭器							
(-高級そうな装備の男-)もしかして……わざわざトラル大陸にまで来たのは、その強大な力を手に入れるため？			(-高級そうな装備の男-)もしかして……わざわざトラル大陸にまで来たのは、その強大な力を手に入れるため？			超常の力、宿りし祭器							
(-高級そうな装備の男-)だったらすごいぞ！そんな力があったら、目立ちまくって人気者になれる！			(-高級そうな装備の男-)だったらすごいぞ！そんな力があったら、目立ちまくって人気者になれる！			超常の力、宿りし祭器							
いい反応をありがとう。そのとおり、このトラル大陸にはあるのよ……私たちに超常の力を与えてくれるお宝、「祭器」が！			いい反応をありがとう。そのとおり、このトラル大陸にはあるのよ……私たちに超常の力を与えてくれるお宝、「祭器」が！			超常の力、宿りし祭器							
(-楽し気な声の女-)察するに……それは強大な力を秘めた魔具といったところ？			(-楽し気な声の女-)察するに……それは強大な力を秘めた魔具といったところ？			超常の力、宿りし祭器							
(-楽し気な声の女-)ふふっ、私のイタズラ心がくすぐられるわぁ！それを使ってどんなことをしてやろうかしら？			(-楽し気な声の女-)ふふっ、私のイタズラ心がくすぐられるわぁ！それを使ってどんなことをしてやろうかしら？			超常の力、宿りし祭器							
祭器は、トラル大陸に住まう一部の部族に、先祖代々受け継がれているのだとか。			祭器は、トラル大陸に住まう一部の部族に、先祖代々受け継がれているのだとか。			超常の力、宿りし祭器							
トラルヴィドラールと呼ばれる、化け物の魂を封じたと言われているシロモノ……。それを手にすれば、化け物と同じ力が得られるそうよ。			トラルヴィドラールと呼ばれる、化け物の魂を封じたと言われているシロモノ……。それを手にすれば、化け物と同じ力が得られるそうよ。			超常の力、宿りし祭器							
私たちはその祭器を頂戴し、エオルゼアへ持ち帰る。手に入れた力を使って何をするかは各自に委ねるから、おのおの、自分がやりたいように好きに振る舞えばいい。			私たちはその祭器を頂戴し、エオルゼアへ持ち帰る。手に入れた力を使って何をするかは各自に委ねるから、おのおの、自分がやりたいように好きに振る舞えばいい。			超常の力、宿りし祭器							
……ま、話はこんなところかしらね？			……ま、話はこんなところかしらね？			超常の力、宿りし祭器							
さあ、「自由の扉」は開かれた！早速奪いに行きましょう！			さあ、「自由の扉」は開かれた！早速奪いに行きましょう！			超常の力、宿りし祭器							
あのぉ、ご注文は……？			あのぉ、ご注文は……？			超常の力、宿りし祭器							
……とまぁ、そんなわけだ。			……とまぁ、そんなわけだ。			超常の力、宿りし祭器							
何と言う？			何と言う？			超常の力、宿りし祭器							
悪の秘密組織……手ごわそうだ			悪の秘密組織……手ごわそうだ			超常の力、宿りし祭器							
何も注文しないで帰ったのか……			何も注文しないで帰ったのか……			超常の力、宿りし祭器							
その名のとおり、自由な奴らだったよ。あんたは気にせず、好きにくつろいでくれ。			その名のとおり、自由な奴らだったよ。あんたは気にせず、好きにくつろいでくれ。			超常の力、宿りし祭器							
マヌケな連中に見えたが、話の内容が内容だけに、一応はトラル勇連隊に報告したんだけどな……実際に被害が出ちまった。			マヌケな連中に見えたが、話の内容が内容だけに、一応はトラル勇連隊に報告したんだけどな……実際に被害が出ちまった。			超常の力、宿りし祭器							
しばらくして辺境の集落から、祭器を取り戻すため、次々と被害者たちが集まってきたのさ。			しばらくして辺境の集落から、祭器を取り戻すため、次々と被害者たちが集まってきたのさ。			超常の力、宿りし祭器							
だがそのころには、犯人どもは、もう船に飛び乗ってエオルゼアへと逃げたあとだった。			だがそのころには、犯人どもは、もう船に飛び乗ってエオルゼアへと逃げたあとだった。			超常の力、宿りし祭器							
各集落からの有志が連中を追って旅立ったんだが、見知らぬ土地での追跡には困難が伴う。そこで、外つ国に詳しい協力者を求めてたってわけだ。			各集落からの有志が連中を追って旅立ったんだが、見知らぬ土地での追跡には困難が伴う。そこで、外つ国に詳しい協力者を求めてたってわけだ。			超常の力、宿りし祭器							
もちろん、あんたもやることがあってトラル大陸まで来たはず。それでも引き受けてくれるって言うんなら、そこにいる「ラマジュン」に声をかけてくれ。			もちろん、あんたもやることがあってトラル大陸まで来たはず。それでも引き受けてくれるって言うんなら、そこにいる「ラマジュン」に声をかけてくれ。			超常の力、宿りし祭器							
あんたにも事情があるだろうから無理強いはできない。それでも引き受けてくれるって言うんなら、「ラマジュン」に伝えてくれ。			あんたにも事情があるだろうから無理強いはできない。それでも引き受けてくれるって言うんなら、「ラマジュン」に伝えてくれ。			超常の力、宿りし祭器							
例の件に協力していただけるんですね？ありがとうございますー！			例の件に協力していただけるんですね？ありがとうございますー！			超常の力、宿りし祭器							
やあ、ラマジュン。例の件、なにか進展はあったかね？			やあ、ラマジュン。例の件、なにか進展はあったかね？			超常の力、宿りし祭器							
あっ、ラホージャさん！ちょうどこちらのForenameさんが、祭器奪還にご協力いただけるそうで！			あっ、ラホージャさん！ちょうどこちらのForenameさんが、祭器奪還にご協力いただけるそうで！			超常の力、宿りし祭器							
おお、それはありがたい……！わしらの集落の平和は、祭器あってのもの。			おお、それはありがたい……！わしらの集落の平和は、祭器あってのもの。			超常の力、宿りし祭器							
そればかりか、盗んだ犯人が悪用すれば、外つ国に混乱が起きる可能性もある。だから、一刻も早く取り戻さねばならないのです。			そればかりか、盗んだ犯人が悪用すれば、外つ国に混乱が起きる可能性もある。だから、一刻も早く取り戻さねばならないのです。			超常の力、宿りし祭器							
では、ここに集まった被害者一同について、軽く紹介させておくれ。			では、ここに集まった被害者一同について、軽く紹介させておくれ。			超常の力、宿りし祭器							
あちらのローデニケは、かなり北の土地から来たそうじゃ。彼女が祀る祭器が持つ力には、単独で立ち向かうのが困難で、背中を預けられる盾役を必要としていると言っておった。			あちらのローデニケは、かなり北の土地から来たそうじゃ。彼女が祀る祭器が持つ力には、単独で立ち向かうのが困難で、背中を預けられる盾役を必要としていると言っておった。			超常の力、宿りし祭器							
向こうのニーピネの部族が祀る祭器は、身体に厄介な異常を引き起こせるらしい。そこで彼らは、優秀な癒やし手を探しておる。			向こうのニーピネの部族が祀る祭器は、身体に厄介な異常を引き起こせるらしい。そこで彼らは、優秀な癒やし手を探しておる。			超常の力、宿りし祭器							
シャトナ族のシャシェパが祀る祭器は、腕のいい弓使いが奪還に向かっているようじゃ。なので、前衛を任せられる猛者を求めてるのだとか。			シャトナ族のシャシェパが祀る祭器は、腕のいい弓使いが奪還に向かっているようじゃ。なので、前衛を任せられる猛者を求めてるのだとか。			超常の力、宿りし祭器							
向こうのズーヘは、自分たちの祭器の力について、あまり詳しくは知らないみたいじゃった。ただ、魔法に精通した者の手を借りたい、とだけ……。			向こうのズーヘは、自分たちの祭器の力について、あまり詳しくは知らないみたいじゃった。ただ、魔法に精通した者の手を借りたい、とだけ……。			超常の力、宿りし祭器							
ちょっとラホージャさん。肝心な、ご自分のことを紹介し忘れてますよ！			ちょっとラホージャさん。肝心な、ご自分のことを紹介し忘れてますよ！			超常の力、宿りし祭器							
こちらのラホージャさんは、マムークより、さらに南方の辺境のご出身で……。祭器の特性上、遠距離から攻撃できる方を探してるんですよね？			こちらのラホージャさんは、マムークより、さらに南方の辺境のご出身で……。祭器の特性上、遠距離から攻撃できる方を探してるんですよね？			超常の力、宿りし祭器							
ああ、そのとおり。ありがとうラマジュン。			ああ、そのとおり。ありがとうラマジュン。			超常の力、宿りし祭器							
……以上、5つの部族の人間が集まっておる。いつでも店内にいるので、声をかけておくれ。			……以上、5つの部族の人間が集まっておる。いつでも店内にいるので、声をかけておくれ。			超常の力、宿りし祭器							
この件に関し、詳細を確認したくなったら、私から補足しますので、お気軽にお尋ねください。			この件に関し、詳細を確認したくなったら、私から補足しますので、お気軽にお尋ねください。			超常の力、宿りし祭器							
まずはあなたの能力に適した仕事だけで構いません。ぜひ、彼らにご協力をお願いしますー！			まずはあなたの能力に適した仕事だけで構いません。ぜひ、彼らにご協力をお願いしますー！			超常の力、宿りし祭器							
「ロールクエスト 黄金編」が解放されました！TANK、HEALER、近接物理DPS、遠隔物理DPS、遠隔魔法DPSの、5つのロール別に特別な物語が進行します。			「ロールクエスト 黄金編」が解放されました！TANK、HEALER、近接物理DPS、遠隔物理DPS、遠隔魔法DPSの、5つのロール別に特別な物語が進行します。			超常の力、宿りし祭器							
「シャバーブチェ」に集う各部族の人々に話しかけ、盗まれた祭器の奪還に協力しましょう！			「シャバーブチェ」に集う各部族の人々に話しかけ、盗まれた祭器の奪還に協力しましょう！			超常の力、宿りし祭器							
シャバーブチェのラマジュンは、冒険者に新たな頼みがあるようだ。			シャバーブチェのラマジュンは、冒険者に新たな頼みがあるようだ。			2期生オーディションの真相							
ラマジュンと話し、「自由の扉」に潜入することになった。ウルダハのザル回廊で、幹部選考会に関する情報を集めよう。			ラマジュンと話し、「自由の扉」に潜入することになった。ウルダハのザル回廊で、幹部選考会に関する情報を集めよう。			2期生オーディションの真相							
ウルダハの市民たちと話し、不審な人物がいることを聞いた。ウルダハのマーケットボード付近に向かい、印の上でエモート「不満を表す」をしよう。			ウルダハの市民たちと話し、不審な人物がいることを聞いた。ウルダハのマーケットボード付近に向かい、印の上でエモート「不満を表す」をしよう。			2期生オーディションの真相							
怪しい男から、「自由の扉」の幹部2期生オーディションに誘われた。ウルダハのゴールドコートにいる「自由の扉の構成員」に「オーディションのチラシ」を渡そう。			怪しい男から、「自由の扉」の幹部2期生オーディションに誘われた。ウルダハのゴールドコートにいる「自由の扉の構成員」に「オーディションのチラシ」を渡そう。			2期生オーディションの真相							
オーディションに参加する意思を示した。「自由の扉の構成員」に仮設オーディション会場に案内してもらおう。			オーディションに参加する意思を示した。「自由の扉の構成員」に仮設オーディション会場に案内してもらおう。			2期生オーディションの真相							
オーディションに参加し、1次審査を通過した。ゴールドコートにいる「自由の扉の構成員」と話そう。			オーディションに参加し、1次審査を通過した。ゴールドコートにいる「自由の扉の構成員」と話そう。			2期生オーディションの真相							
どうやら、オーディションはまだ続くようだ。自由の扉の構成員から次の審査について聞いてみよう。			どうやら、オーディションはまだ続くようだ。自由の扉の構成員から次の審査について聞いてみよう。			2期生オーディションの真相							
ウルダハで情報を集める			ウルダハで情報を集める			2期生オーディションの真相							
マーケット付近の印の上で「不満を表す」をする			マーケット付近の印の上で「不満を表す」をする			2期生オーディションの真相							
自由の扉の構成員にオーディションのチラシを渡す			自由の扉の構成員にオーディションのチラシを渡す			2期生オーディションの真相							
自由の扉の構成員と話す			自由の扉の構成員と話す			2期生オーディションの真相							
Forenameさん、よくぞお戻りで！			Forenameさん、よくぞお戻りで！			2期生オーディションの真相							
盗まれた祭器の奪還、本当にありがとうございます！あなたが顔を見せたら、各地のその後の状況について、共有しておいてほしいと勇連隊から頼まれていたんですよ。			盗まれた祭器の奪還、本当にありがとうございます！あなたが顔を見せたら、各地のその後の状況について、共有しておいてほしいと勇連隊から頼まれていたんですよ。			2期生オーディションの真相							
戦いのあと行方不明になった者も含めて、5人の幹部は全員、当局に捕らえられたそうですよ。各国の法に基づき、然るべき裁きを受けることになるかと。			戦いのあと行方不明になった者も含めて、5人の幹部は全員、当局に捕らえられたそうですよ。各国の法に基づき、然るべき裁きを受けることになるかと。			2期生オーディションの真相							
ですが……先ごろ、店内のお客さんが、またしても「自由の扉」について話すのが聞こえたんです。しかも、「新たな幹部が」とかなんとか……！			ですが……先ごろ、店内のお客さんが、またしても「自由の扉」について話すのが聞こえたんです。しかも、「新たな幹部が」とかなんとか……！			2期生オーディションの真相							
残念ながら、そのときはお店がとても混雑していて、詳しい話を聞こうと思ったときにはもう姿がなくて……。一応、勇連隊には通報しておきました。			残念ながら、そのときはお店がとても混雑していて、詳しい話を聞こうと思ったときにはもう姿がなくて……。一応、勇連隊には通報しておきました。			2期生オーディションの真相							
たしか、かの組織にはアパーヒという名の首領がいたはずだ。そいつが残っているかぎり、組織は活動を続け、祭器がふたたび狙われる可能性もあるだろう。			たしか、かの組織にはアパーヒという名の首領がいたはずだ。そいつが残っているかぎり、組織は活動を続け、祭器がふたたび狙われる可能性もあるだろう。			2期生オーディションの真相							
祭器奪還の折、あんたが手に入れた情報の中で、首領や組織の成り立ちに迫るような手がかりはあったか？			祭器奪還の折、あんたが手に入れた情報の中で、首領や組織の成り立ちに迫るような手がかりはあったか？			2期生オーディションの真相							
何と言う？			何と言う？			2期生オーディションの真相							
幹部は各地から集められていたようだ			幹部は各地から集められていたようだ			2期生オーディションの真相							
首領には最終目的というのがあるらしい			首領には最終目的というのがあるらしい			2期生オーディションの真相							
組織の資金源はヴィラザーンだった			組織の資金源はヴィラザーンだった			2期生オーディションの真相							
あまりよく覚えていない……			あまりよく覚えていない……			2期生オーディションの真相							
ほう、幹部は選考会を通じて集められていたと……。ならば、同様の手法で増員を図っている可能性もありそうだな。			ほう、幹部は選考会を通じて集められていたと……。ならば、同様の手法で増員を図っている可能性もありそうだな。			2期生オーディションの真相							
そういえば勇連隊の方が言ってました。なんでも逮捕者の証言によれば、彼らの資金源となる商会が、ウルダハという国にこっそり存在してるのだとか。			そういえば勇連隊の方が言ってました。なんでも逮捕者の証言によれば、彼らの資金源となる商会が、ウルダハという国にこっそり存在してるのだとか。			2期生オーディションの真相							
ほう、幹部のひとりが、そんなことを口走っていたのか。あの首領はかなり迂闊そうだったから、大事な秘密もあけすけに話していたんだろうな。			ほう、幹部のひとりが、そんなことを口走っていたのか。あの首領はかなり迂闊そうだったから、大事な秘密もあけすけに話していたんだろうな。			2期生オーディションの真相							
とはいえ、そんなマヌケな奴でも、ある程度の活動資金があれば、また騒動を引き起こせるわけだ。			とはいえ、そんなマヌケな奴でも、ある程度の活動資金があれば、また騒動を引き起こせるわけだ。			2期生オーディションの真相							
そういえば勇連隊の方が言ってました。なんでも逮捕者の証言によれば、彼らの資金源となる商会が、ウルダハという国にこっそり存在してるのだとか。			そういえば勇連隊の方が言ってました。なんでも逮捕者の証言によれば、彼らの資金源となる商会が、ウルダハという国にこっそり存在してるのだとか。			2期生オーディションの真相							
そういえば勇連隊の方も言ってました。なんでも逮捕者の証言によれば、彼らの資金源となる商会が、ウルダハという国にこっそり存在してるのだとか。			そういえば勇連隊の方も言ってました。なんでも逮捕者の証言によれば、彼らの資金源となる商会が、ウルダハという国にこっそり存在してるのだとか。			2期生オーディションの真相							
首領とやらが、いまだに活動資金を持っているなら、また幹部となる人材を集めて、悪巧みをするかもしれねぇな。			首領とやらが、いまだに活動資金を持っているなら、また幹部となる人材を集めて、悪巧みをするかもしれねぇな。			2期生オーディションの真相							
そういえば勇連隊の方が言ってました。なんでも逮捕者の証言によれば、彼らの資金源となる商会が、ウルダハという国にこっそり存在してるのだとか。			そういえば勇連隊の方が言ってました。なんでも逮捕者の証言によれば、彼らの資金源となる商会が、ウルダハという国にこっそり存在してるのだとか。			2期生オーディションの真相							
首領とやらが、いまだに活動資金を持っているなら、また幹部となる人材を集めて、悪巧みをするかもしれねぇってことか……。			首領とやらが、いまだに活動資金を持っているなら、また幹部となる人材を集めて、悪巧みをするかもしれねぇってことか……。			2期生オーディションの真相							
あの……仮に首領のアパーヒが組織の再編を狙っているなら、幹部志願者を装って、接近することはできないでしょうか？			あの……仮に首領のアパーヒが組織の再編を狙っているなら、幹部志願者を装って、接近することはできないでしょうか？			2期生オーディションの真相							
彼女と直接対面していない人物……Forenameなら、顔も知られていない。妙案だな。			彼女と直接対面していない人物……Forenameなら、顔も知られていない。妙案だな。			2期生オーディションの真相							
連中から情報を引き出すため、適当に話を合わせるだけで、お前さんに悪党になれってことじゃない。……どうだ？			連中から情報を引き出すため、適当に話を合わせるだけで、お前さんに悪党になれってことじゃない。……どうだ？			2期生オーディションの真相							
何と言う？			何と言う？			2期生オーディションの真相							
いいだろう			いいだろう			2期生オーディションの真相							
首領を捕まえるためなら仕方ない……			首領を捕まえるためなら仕方ない……			2期生オーディションの真相							
ありがとうございます！……ただ、ひとつ気がかりなことが。			ありがとうございます！……ただ、ひとつ気がかりなことが。			2期生オーディションの真相							
私たちが知る「盗まれた祭器」は5つでしたが、それで全部とはかぎりません。アパーヒに危険な力があることも想定しておくべきでしょう。			私たちが知る「盗まれた祭器」は5つでしたが、それで全部とはかぎりません。アパーヒに危険な力があることも想定しておくべきでしょう。			2期生オーディションの真相							
だから、祭器の有無を確認しつつ、相手の目的を調べて組織を一網打尽にしないと……。詳しいことが判明するまで、手出しは控えた方がよさそうです。			だから、祭器の有無を確認しつつ、相手の目的を調べて組織を一網打尽にしないと……。詳しいことが判明するまで、手出しは控えた方がよさそうです。			2期生オーディションの真相							
そういえば、お前さんが力を貸して祭器を取り戻した連中も、「自由の扉」の動向は気にかけていた。首領の行方を追うことを、彼らにも共有しておこう。			そういえば、お前さんが力を貸して祭器を取り戻した連中も、「自由の扉」の動向は気にかけていた。首領の行方を追うことを、彼らにも共有しておこう。			2期生オーディションの真相							
それでは、ウルダハという国に向かっていただけますか？幹部に勧誘されそうな、不満を抱えた人に聞き込みをすれば、アパーヒが暗躍してないかわかるかもしれません！			それでは、ウルダハという国に向かっていただけますか？幹部に勧誘されそうな、不満を抱えた人に聞き込みをすれば、アパーヒが暗躍してないかわかるかもしれません！			2期生オーディションの真相							
国家転覆を企む悪の組織の首領……？そんな過激な連中のことは知りませんが、誰しも多かれ少なかれ、国への不満は抱えてるものでしょう。			国家転覆を企む悪の組織の首領……？そんな過激な連中のことは知りませんが、誰しも多かれ少なかれ、国への不満は抱えてるものでしょう。			2期生オーディションの真相							
たとえば、マーケットの手数料が高いだなんて、愚痴をこぼしてる姿はよく見かけますよ。そういう人が、関係していたりするんですかねぇ？			たとえば、マーケットの手数料が高いだなんて、愚痴をこぼしてる姿はよく見かけますよ。そういう人が、関係していたりするんですかねぇ？			2期生オーディションの真相							
怪しい奴から勧誘を受けたことはないかって？この前、銅刃団の振る舞いが横暴だと思うことがあって、人目を憚らずついつい愚痴をこぼしてしまったんだ。			怪しい奴から勧誘を受けたことはないかって？この前、銅刃団の振る舞いが横暴だと思うことがあって、人目を憚らずついつい愚痴をこぼしてしまったんだ。			2期生オーディションの真相							
そうしたら、怪しい男から声をかけられて、自由を求める奴が集う会合だかなんだかに誘われたんだ。もちろん、行かなかったがね。			そうしたら、怪しい男から声をかけられて、自由を求める奴が集う会合だかなんだかに誘われたんだ。もちろん、行かなかったがね。			2期生オーディションの真相							
そのアパーヒって人のことは知らないけど、最近、街を歩いてる人をじっと観察してる男がいるの。そいつが悪の秘密組織の一員かもしれないよ。			そのアパーヒって人のことは知らないけど、最近、街を歩いてる人をじっと観察してる男がいるの。そいつが悪の秘密組織の一員かもしれないよ。			2期生オーディションの真相							
さっきもマーケットボードの方で姿を見かけたわ。まったく、気味が悪いったらない……。			さっきもマーケットボードの方で姿を見かけたわ。まったく、気味が悪いったらない……。			2期生オーディションの真相							
不満を抱える人々に声をかけてくる怪しい男がいるようだ。マーケットボード付近で「不満を表し」、注意を引いてみよう。			不満を抱える人々に声をかけてくる怪しい男がいるようだ。マーケットボード付近で「不満を表し」、注意を引いてみよう。			2期生オーディションの真相							
悪の組織の首領ともなれば、国家に対して抱く不満も、相当なものなんでしょうなあ。			悪の組織の首領ともなれば、国家に対して抱く不満も、相当なものなんでしょうなあ。			2期生オーディションの真相							
往来で不満を口にしたら、怪しい男から声をかけられてさ。もちろん、ついて行かなかったがね。			往来で不満を口にしたら、怪しい男から声をかけられてさ。もちろん、ついて行かなかったがね。			2期生オーディションの真相							
怪しい男が、街を歩いてる人をじっと観察してるの。さっきもマーケットボードの方で見かけたわ。			怪しい男が、街を歩いてる人をじっと観察してるの。さっきもマーケットボードの方で見かけたわ。			2期生オーディションの真相							
マーケットボードの周辺で、不満をあらわにすれば、「自由の扉」の関心を惹けるかもしれない。エモート「不満を表す」をしてみよう。			マーケットボードの周辺で、不満をあらわにすれば、「自由の扉」の関心を惹けるかもしれない。エモート「不満を表す」をしてみよう。			2期生オーディションの真相							
なあ君、ちょっといいかな？			なあ君、ちょっといいかな？			2期生オーディションの真相							
もしかして、国家や富裕層に不満があるのかい？だったら我々「自由の扉」に加わり、一緒に戦わないか？			もしかして、国家や富裕層に不満があるのかい？だったら我々「自由の扉」に加わり、一緒に戦わないか？			2期生オーディションの真相							
最近、各国で連続した不可思議な事件。あれは我々の同胞が、自由を阻む国家を転覆するために、祭器と呼ばれる魔具を使って、引き起こしたものなんだよ。			最近、各国で連続した不可思議な事件。あれは我々の同胞が、自由を阻む国家を転覆するために、祭器と呼ばれる魔具を使って、引き起こしたものなんだよ。			2期生オーディションの真相							
そんな「自由の扉」が、さらに飛躍を遂げるために、追加人員を募集してるというわけさ。			そんな「自由の扉」が、さらに飛躍を遂げるために、追加人員を募集してるというわけさ。			2期生オーディションの真相							
何と言う？			何と言う？			2期生オーディションの真相							
幹部になりたい！			幹部になりたい！			2期生オーディションの真相							
その祭器をもらえるのなら			その祭器をもらえるのなら			2期生オーディションの真相							
へぇ……大きく出たねぇ。その胆力なら、たしかに幹部になれる器かもしれない。			へぇ……大きく出たねぇ。その胆力なら、たしかに幹部になれる器かもしれない。			2期生オーディションの真相							
ならば是非、受けてみるべきだね。幹部2期生のオーディションを！			ならば是非、受けてみるべきだね。幹部2期生のオーディションを！			2期生オーディションの真相							
ゴールドコートに我々の仲間が立っている。彼を見つけてこのチラシを見せれば、オーディション会場まで案内してもらえるよ。			ゴールドコートに我々の仲間が立っている。彼を見つけてこのチラシを見せれば、オーディション会場まで案内してもらえるよ。			2期生オーディションの真相							
……私に何か御用ですか？			……私に何か御用ですか？			2期生オーディションの真相							
ほう、悪の花道を進もうというのですね？			ほう、悪の花道を進もうというのですね？			2期生オーディションの真相							
