円蓋の座の真面目そうな衛兵は、冒険者に聞きたいことがあるようだ。			円蓋の座の真面目そうな衛兵は、冒険者に聞きたいことがあるようだ。			始まりの「楽園」							
あなたがエメトセルクと戦い、ノルヴラントに夜の闇が取り戻されたあと……私は、強大な光の力を秘めた「何か」の気配を感じました。			あなたがエメトセルクと戦い、ノルヴラントに夜の闇が取り戻されたあと……私は、強大な光の力を秘めた「何か」の気配を感じました。			始まりの「楽園」							
場所は、アム・アレーンのはるか南。そう……「光の氾濫」によって一切が消滅した、「無の大地」のただ中に……。			場所は、アム・アレーンのはるか南。そう……「光の氾濫」によって一切が消滅した、「無の大地」のただ中に……。			始まりの「楽園」							
私の感じたそれが、何なのか……確証はありません。ですが、強大な罪喰いという可能性もあるので、放置しておくわけにはいかないと思っています。			私の感じたそれが、何なのか……確証はありません。ですが、強大な罪喰いという可能性もあるので、放置しておくわけにはいかないと思っています。			始まりの「楽園」							
それに……恐れずに強大な敵に立ち向かうことで、新たな道が拓けることもあるって、あなたが示してくれた……。だったら、私は……。			それに……恐れずに強大な敵に立ち向かうことで、新たな道が拓けることもあるって、あなたが示してくれた……。だったら、私は……。			始まりの「楽園」							
あ……ご、ごめんなさい……。とにかく、その「何か」の調査に乗り出すことになったので、協力をお願いしたくて、探していたんです。			あ……ご、ごめんなさい……。とにかく、その「何か」の調査に乗り出すことになったので、協力をお願いしたくて、探していたんです。			始まりの「楽園」							
あんなことがあったあとですし、本当はもう、罪喰いにまつわる案件に、あなたを巻き込むべきではないのでしょうが……。			あんなことがあったあとですし、本当はもう、罪喰いにまつわる案件に、あなたを巻き込むべきではないのでしょうが……。			始まりの「楽園」							
罪喰いと確定したわけでも、戦うことが決まったわけでもないのだから、素直に話して頼ってみろ……とサンクレッドに諭されました。			罪喰いと確定したわけでも、戦うことが決まったわけでもないのだから、素直に話して頼ってみろ……とサンクレッドに諭されました。			始まりの「楽園」							
だから、その……頼れる仲間として……そして、私の目指す「英雄」として……「無の大地」での調査に、同行してはいただけませんか……！？			だから、その……頼れる仲間として……そして、私の目指す「英雄」として……「無の大地」での調査に、同行してはいただけませんか……！？			始まりの「楽園」							
何と言う？			何と言う？			始まりの「楽園」							
望むところだ！			望むところだ！			始まりの「楽園」							
仕方ないな……			仕方ないな……			始まりの「楽園」							
ありがとうございます……！必ず、実りのある調査にしたいと思います！			ありがとうございます……！必ず、実りのある調査にしたいと思います！			始まりの「楽園」							
お手数をおかけして、ごめんなさい……。もし相手が罪喰いなら、今度こそあなたひとりにはさせません。もう、あんな悲しい思いは、こりごりですから……！			お手数をおかけして、ごめんなさい……。もし相手が罪喰いなら、今度こそあなたひとりにはさせません。もう、あんな悲しい思いは、こりごりですから……！			始まりの「楽園」							
では、アム・アレーンの「旅立ちの宿」近くにある、「物見櫓」へ向かいましょう。そこで、サンクレッドたちと合流する手はずになってるんです。			では、アム・アレーンの「旅立ちの宿」近くにある、「物見櫓」へ向かいましょう。そこで、サンクレッドたちと合流する手はずになってるんです。			始まりの「楽園」							
お前なら、合流してくれると思っていたさ。			お前なら、合流してくれると思っていたさ。			始まりの「楽園」							
お呼び立てしてしまって、申し訳ございません……。私も、此度の調査に参加させていただきます。			お呼び立てしてしまって、申し訳ございません……。私も、此度の調査に参加させていただきます。			始まりの「楽園」							
来てくれてありがとうございます、Forenameさん。			来てくれてありがとうございます、Forenameさん。			始まりの「楽園」							
手間を掛けて悪いな……。だが、「無の大地」に強烈な光を帯びた存在となれば、一筋縄でいく話にはならないだろう。			手間を掛けて悪いな……。だが、「無の大地」に強烈な光を帯びた存在となれば、一筋縄でいく話にはならないだろう。			始まりの「楽園」							
あとから泣きつくくらいなら、最初からきちんと話をして、頼らせてもらおうと思ってな。……俺からも、協力に感謝するよ。			あとから泣きつくくらいなら、最初からきちんと話をして、頼らせてもらおうと思ってな。……俺からも、協力に感謝するよ。			始まりの「楽園」							
同感です……。この調査は恐らく、再び世界の理に挑まんとするものかと。しかれば、あなたには必ずや役目がありましょう……。			同感です……。この調査は恐らく、再び世界の理に挑まんとするものかと。しかれば、あなたには必ずや役目がありましょう……。			始まりの「楽園」							
かく言う私も、リーンから調査について相談された際に、己が成すべき事柄であると直感し、同行を申し出たのです。			かく言う私も、リーンから調査について相談された際に、己が成すべき事柄であると直感し、同行を申し出たのです。			始まりの「楽園」							
私が何を気にかけているのかについては、また後ほど……標的を、この目で確認してからといたしましょう。……それでよろしいでしょうか？			私が何を気にかけているのかについては、また後ほど……標的を、この目で確認してからといたしましょう。……それでよろしいでしょうか？			始まりの「楽園」							
だったら、ひとまず予定していた全員がそろったことですし、さっそく調査に出発しましょう。			だったら、ひとまず予定していた全員がそろったことですし、さっそく調査に出発しましょう。			始まりの「楽園」							
サンクレッド、「ホバー船」の準備は大丈夫ですか……？			サンクレッド、「ホバー船」の準備は大丈夫ですか……？			始まりの「楽園」							
ああ、問題ない。こいつでなら、「無の大地」のどこまででも旅できる。			ああ、問題ない。こいつでなら、「無の大地」のどこまででも旅できる。			始まりの「楽園」							
あなたのおかげで、ノルヴラントからは光が払われましたが、その周辺を取り囲む「無の大地」は、今もなお、極端に光に偏った土地になっています。			あなたのおかげで、ノルヴラントからは光が払われましたが、その周辺を取り囲む「無の大地」は、今もなお、極端に光に偏った土地になっています。			始まりの「楽園」							
「光の氾濫」に呑まれたことで、人の造りし街はおろか、草木や海原、生命を抱く土壌までもが消失……。			「光の氾濫」に呑まれたことで、人の造りし街はおろか、草木や海原、生命を抱く土壌までもが消失……。			始まりの「楽園」							
環境エーテルが正しく循環しないため、この100年、それらが復活する兆しすら、一切観測されていないそうです。			環境エーテルが正しく循環しないため、この100年、それらが復活する兆しすら、一切観測されていないそうです。			始まりの「楽園」							
無論、生物が立ち入れば、悪影響を受ける。俺たちの事前調査で、数日なら問題ないとわかったが、長期に渡って滞在すれば……それこそ、罪喰いになりかねない。			無論、生物が立ち入れば、悪影響を受ける。俺たちの事前調査で、数日なら問題ないとわかったが、長期に渡って滞在すれば……それこそ、罪喰いになりかねない。			始まりの「楽園」							
今回の調査も、適度なところで切り上げるが、念のために騎乗獣の使用は避けて、この「ホバー船」を用意したというわけだ。			今回の調査も、適度なところで切り上げるが、念のために騎乗獣の使用は避けて、この「ホバー船」を用意したというわけだ。			始まりの「楽園」							
こいつは、クリスタルタワー内で発見された遺物を、ミーン工芸館の職人たちが修復した特別製でな。運転は俺に任せてくれ。			こいつは、クリスタルタワー内で発見された遺物を、ミーン工芸館の職人たちが修復した特別製でな。運転は俺に任せてくれ。			始まりの「楽園」							
そういえば、ホバー船の搬入を手伝ってくれた商人さんが、「商売柄、物騒な話はむしろ大歓迎」だとかで、引き続き協力すると申し出てくださって……。			そういえば、ホバー船の搬入を手伝ってくれた商人さんが、「商売柄、物騒な話はむしろ大歓迎」だとかで、引き続き協力すると申し出てくださって……。			始まりの「楽園」							
モルド・スークにいらっしゃるので、一段落したらご紹介しますね。			モルド・スークにいらっしゃるので、一段落したらご紹介しますね。			始まりの「楽園」							
では……Forenameさんの準備がよければ、私に声をかけてください。調査に出発しましょう……！			では……Forenameさんの準備がよければ、私に声をかけてください。調査に出発しましょう……！			始まりの「楽園」							
ホバー船の運転は任せてくれ。「無の大地」の旅が爽快なものになるかは、保証しかねるがな。			ホバー船の運転は任せてくれ。「無の大地」の旅が爽快なものになるかは、保証しかねるがな。			始まりの「楽園」							
「無の大地」に入ったあと、もし不調を感じるようなことがあれば、すぐに報告を……。あなたの身体はもう心配ないと、わかってはおりますが……。			「無の大地」に入ったあと、もし不調を感じるようなことがあれば、すぐに報告を……。あなたの身体はもう心配ないと、わかってはおりますが……。			始まりの「楽園」							
準備は大丈夫でしょうか……？よければ、「無の大地」の調査に出発しましょう。			準備は大丈夫でしょうか……？よければ、「無の大地」の調査に出発しましょう。			始まりの「楽園」							
「無の大地」の調査に出発しますか？			「無の大地」の調査に出発しますか？			始まりの「楽園」							
やれやれ、行けども行けども殺風景だな……。こうも続くと気が滅入る……。			やれやれ、行けども行けども殺風景だな……。こうも続くと気が滅入る……。			始まりの「楽園」							
「光の氾濫」によって、世界の約9割が、このような「無の大地」へと変容しました。			「光の氾濫」によって、世界の約9割が、このような「無の大地」へと変容しました。			始まりの「楽園」							
ある意味では、この光景こそが、第一世界の真なる姿とも言えましょう……。			ある意味では、この光景こそが、第一世界の真なる姿とも言えましょう……。			始まりの「楽園」							
ノルヴラントから光を退けてなお、この世界は崩壊の縁にあるという事実を痛感するな。			ノルヴラントから光を退けてなお、この世界は崩壊の縁にあるという事実を痛感するな。			始まりの「楽園」							
ところでリーン……方角は、こっちで合っているのか？			ところでリーン……方角は、こっちで合っているのか？			始まりの「楽園」							
はい……間違いないかと……。今も、何か大きな力が脈動するのを感じます。			はい……間違いないかと……。今も、何か大きな力が脈動するのを感じます。			始まりの「楽園」							
なら、今は信じて進むのみか……。乗客の皆は、仮眠を取ってくれても構わないぞ。少しばかり時間がかかりそうだからな。			なら、今は信じて進むのみか……。乗客の皆は、仮眠を取ってくれても構わないぞ。少しばかり時間がかかりそうだからな。			始まりの「楽園」							
さて、やっと目的地に到着だが……まさか、こんなデカブツが眠ってるとはな……。			さて、やっと目的地に到着だが……まさか、こんなデカブツが眠ってるとはな……。			始まりの「楽園」							
眠ってなんかいない。もう、目覚めてる……。			眠ってなんかいない。もう、目覚めてる……。			始まりの「楽園」							
あれが何か、わかるのか？			あれが何か、わかるのか？			始まりの「楽園」							
多分、強力な罪喰いだと思うのですが……大罪喰いとも、どこか違っているんです。光を有しているというより、光そのものが集まったような……。			多分、強力な罪喰いだと思うのですが……大罪喰いとも、どこか違っているんです。光を有しているというより、光そのものが集まったような……。			始まりの「楽園」							
光そのもの……。なれば、これこそが「最初の一体」なのかもしれません。			光そのもの……。なれば、これこそが「最初の一体」なのかもしれません。			始まりの「楽園」							
常々、私は考えていたのです。「光の氾濫」とは、いかなる現象だったのか。闇が果て、光が急激に高まった瞬間に、何が起きたのか……。			常々、私は考えていたのです。「光の氾濫」とは、いかなる現象だったのか。闇が果て、光が急激に高まった瞬間に、何が起きたのか……。			始まりの「楽園」							
その答えは、罪喰いの「最初の一体」が、生じたということではないでしょうか……？			その答えは、罪喰いの「最初の一体」が、生じたということではないでしょうか……？			始まりの「楽園」							
こいつが生まれ、氾濫を……世界中に、光の波を放ったっていうのか……！？			こいつが生まれ、氾濫を……世界中に、光の波を放ったっていうのか……！？			始まりの「楽園」							
ええ、おそらくは……。当時、ミンフィリアがナバスアレンで氾濫を迎え撃てたのも、「最初の一体」の接近を感知したからと考えられます。			ええ、おそらくは……。当時、ミンフィリアがナバスアレンで氾濫を迎え撃てたのも、「最初の一体」の接近を感知したからと考えられます。			始まりの「楽園」							
彼女が、こいつを……。			彼女が、こいつを……。			始まりの「楽園」							
だが、その推論が正しければ、いよいよただごとじゃないぞ。再び「光の氾濫」を起こし得る存在が、残ってるということになる……！			だが、その推論が正しければ、いよいよただごとじゃないぞ。再び「光の氾濫」を起こし得る存在が、残ってるということになる……！			始まりの「楽園」							
はい、恐ろしい危機であることは間違いありません。……しかし、窮地こそが最大の好機になることもある。			はい、恐ろしい危機であることは間違いありません。……しかし、窮地こそが最大の好機になることもある。			始まりの「楽園」							
リーン……あれの力を直接感じ取っているあなたならば、この意味がわかるのではないですか？			リーン……あれの力を直接感じ取っているあなたならば、この意味がわかるのではないですか？			始まりの「楽園」							
あれは、怪物というより、力そのものです。それも、世界を塗り替えるほど強大な……。だったら、うまく使えば、すべてを元通りにすることも……。			あれは、怪物というより、力そのものです。それも、世界を塗り替えるほど強大な……。だったら、うまく使えば、すべてを元通りにすることも……。			始まりの「楽園」							
どうやら、落ち着いて考えてみる必要があるようだな。なら、まずはこのデカブツに名を付けようじゃないか……。呼び名がなければ話もしにくい。			どうやら、落ち着いて考えてみる必要があるようだな。なら、まずはこのデカブツに名を付けようじゃないか……。呼び名がなければ話もしにくい。			始まりの「楽園」							
エデン……。			エデン……。			始まりの「楽園」							
妖精語で、理想郷を意味する言葉ですね。……なるほど、よい願いを掛けたものです。			妖精語で、理想郷を意味する言葉ですね。……なるほど、よい願いを掛けたものです。			始まりの「楽園」							
よし、決まったな。なら少しばかり、作戦会議に相応しい場を用意しよう。テントを張るから、皆、手伝ってくれ！			よし、決まったな。なら少しばかり、作戦会議に相応しい場を用意しよう。テントを張るから、皆、手伝ってくれ！			始まりの「楽園」							
あまり長くは滞在できませんが、過酷な環境だからこそ、こうした休息の場が必要かと……。拠点があるというのは、それだけで頼もしいものです。			あまり長くは滞在できませんが、過酷な環境だからこそ、こうした休息の場が必要かと……。拠点があるというのは、それだけで頼もしいものです。			始まりの「楽園」							
ふう……ひととおり設営できましたね。エデンを前にして、気持ちが落ち着かなかったのですが……少し、冷静になれた気がします。			ふう……ひととおり設営できましたね。エデンを前にして、気持ちが落ち着かなかったのですが……少し、冷静になれた気がします。			始まりの「楽園」							
サンクレッドが、この周辺の偵察に出て行ったので、戻ってき次第、作戦会議を開きましょう！			サンクレッドが、この周辺の偵察に出て行ったので、戻ってき次第、作戦会議を開きましょう！			始まりの「楽園」							
「エデン」の調査がはじまったことで、協力者が、装備を交換してくれるようになりました。			「エデン」の調査がはじまったことで、協力者が、装備を交換してくれるようになりました。			始まりの「楽園」							
モルド・スークの「グールグル」か、ユールモアの「ヤールヤル」にアイテムを渡すことで、装備を入手できます。			モルド・スークの「グールグル」か、ユールモアの「ヤールヤル」にアイテムを渡すことで、装備を入手できます。			始まりの「楽園」							
無の大地のリーンは、サンクレッドの帰りを待っているようだ。			無の大地のリーンは、サンクレッドの帰りを待っているようだ。			エデンの支配者							
サンクレッドの帰りを待って、作戦会議を始めた。世界を変異させた力を使って世界を再生すべく、エデンを支配することになった。具体的には、エデンの中枢に制御魔器を設置し、それを利用してリーンが支配する作戦だ。まずは冒険者が中枢へ侵入し、待ち受けるものを倒さねばならない。しっかりと準備を整えて、エデンコアへ乗り込もう！※コンテンツファインダーから攻略に参加できます。			サンクレッドの帰りを待って、作戦会議を始めた。世界を変異させた力を使って世界を再生すべく、エデンを支配することになった。具体的には、エデンの中枢に制御魔器を設置し、それを利用してリーンが支配する作戦だ。まずは冒険者が中枢へ侵入し、待ち受けるものを倒さねばならない。しっかりと準備を整えて、エデンコアへ乗り込もう！※コンテンツファインダーから攻略に参加できます。			エデンの支配者							
エデンコアに現れた守護者、エデン・プライムを撃破した。無の大地の「リーン」と話そう。			エデンコアに現れた守護者、エデン・プライムを撃破した。無の大地の「リーン」と話そう。			エデンの支配者							
リーンと話した。彼女たちはさっそく、エデンの支配を試みるようだ。エデンコアの「リーン」と話そう。			リーンと話した。彼女たちはさっそく、エデンの支配を試みるようだ。エデンコアの「リーン」と話そう。			エデンの支配者							
リーンと話した。彼女の干渉に対し、エデンは強く拒絶する。両者の攻防は、どちらの勝利で終わったのだろうか……？			リーンと話した。彼女の干渉に対し、エデンは強く拒絶する。両者の攻防は、どちらの勝利で終わったのだろうか……？			エデンの支配者							
「希望の園エデン：覚醒編1」を攻略			「希望の園エデン：覚醒編1」を攻略			エデンの支配者							
リーンと話す			リーンと話す			エデンの支配者							
エデンコアのリーンと話す			エデンコアのリーンと話す			エデンの支配者							
あまり長くは滞在できませんが、過酷な環境だからこそ、こうした休息の場が必要かと……。拠点があるというのは、それだけで頼もしいものです。			あまり長くは滞在できませんが、過酷な環境だからこそ、こうした休息の場が必要かと……。拠点があるというのは、それだけで頼もしいものです。			エデンの支配者							
サンクレッドも、あまり遠くには行かないと言っていたので、そろそろ帰ってくるはずなんですが……。			サンクレッドも、あまり遠くには行かないと言っていたので、そろそろ帰ってくるはずなんですが……。			エデンの支配者							
あっ、帰ってきました……！			あっ、帰ってきました……！			エデンの支配者							
待たせたな。エデンと、その周辺を見てきたぞ。			待たせたな。エデンと、その周辺を見てきたぞ。			エデンの支配者							
様子はどうでしたか……？			様子はどうでしたか……？			エデンの支配者							
どうやら、エデンはまだ寝ぼけ眼らしい。俺が近づいても反応なし。周囲にも、これといって変わったものはなかった。			どうやら、エデンはまだ寝ぼけ眼らしい。俺が近づいても反応なし。周囲にも、これといって変わったものはなかった。			エデンの支配者							
よかった……。完全に目覚めていない今なら、私でも、きっと……。			よかった……。完全に目覚めていない今なら、私でも、きっと……。			エデンの支配者							
……さっき言っていたことだな。何を思いついたのか、ちゃんと話してくれ。			……さっき言っていたことだな。何を思いついたのか、ちゃんと話してくれ。			エデンの支配者							
光の力は、いわば、停滞をもたらすものです……。だったら「無の大地」も、何もかもが消えた場所ではなく、「何もかもが停滞した場所」であるはず……。			光の力は、いわば、停滞をもたらすものです……。だったら「無の大地」も、何もかもが消えた場所ではなく、「何もかもが停滞した場所」であるはず……。			エデンの支配者							
もちろん、生物なんかは、エーテルのバランスを欠いたことによって、完全に崩壊してしまっているでしょうが……。			もちろん、生物なんかは、エーテルのバランスを欠いたことによって、完全に崩壊してしまっているでしょうが……。			エデンの支配者							
水や火、土や風……そういった属性の環境エーテルは、停滞しているだけで残っているんじゃないかと考えた……ううん、ここに立って、そう感じているんです。			水や火、土や風……そういった属性の環境エーテルは、停滞しているだけで残っているんじゃないかと考えた……ううん、ここに立って、そう感じているんです。			エデンの支配者							
エデンがその停滞をもたらしたのならば、元に戻すことだって、できるかもしれません。			エデンがその停滞をもたらしたのならば、元に戻すことだって、できるかもしれません。			エデンの支配者							
私は、その可能性に賭けてみたい。エデンを支配して、その力で、「無の大地」をもう一度塗り替えるんです……！			私は、その可能性に賭けてみたい。エデンを支配して、その力で、「無の大地」をもう一度塗り替えるんです……！			エデンの支配者							
あれを支配する……そんなことが、できるものなのか？			あれを支配する……そんなことが、できるものなのか？			エデンの支配者							
……理論上は可能かと。エデンがこの地で停止したままになっていたのが、そう断言できる理由です。			……理論上は可能かと。エデンがこの地で停止したままになっていたのが、そう断言できる理由です。			エデンの支配者							
ミンフィリアがナバスアレンを護って以来、「光の氾濫」は起こっていない……。それは、彼女が発生源たるエデンを止めたからでしょう。			ミンフィリアがナバスアレンを護って以来、「光の氾濫」は起こっていない……。それは、彼女が発生源たるエデンを止めたからでしょう。			エデンの支配者							
そして、エデンは消えずにここで停止していた……。ならば用いた手段は、破壊ではなく、何らかの干渉……制御だったと考えるのが妥当です。			そして、エデンは消えずにここで停止していた……。ならば用いた手段は、破壊ではなく、何らかの干渉……制御だったと考えるのが妥当です。			エデンの支配者							
……これもまた、彼女が燃やし続けてきた、希望の灯火というわけか。			……これもまた、彼女が燃やし続けてきた、希望の灯火というわけか。			エデンの支配者							
罪喰いを従えた、ドン・ヴァウスリーという前例もあります。ミンフィリアの意志と力を継ぐリーンであれば、試してみる価値はあると思いますが……いかがでしょうか？			罪喰いを従えた、ドン・ヴァウスリーという前例もあります。ミンフィリアの意志と力を継ぐリーンであれば、試してみる価値はあると思いますが……いかがでしょうか？			エデンの支配者							
何と言う？			何と言う？			エデンの支配者							
本当にできるのか？			本当にできるのか？			エデンの支配者							
危険すぎる……			危険すぎる……			エデンの支配者							
……やってみないと、わかりません。でも、世界を取り戻せる可能性があるなら、私は試してみたいです……！			……やってみないと、わかりません。でも、世界を取り戻せる可能性があるなら、私は試してみたいです……！			エデンの支配者							
そうかもしれません……。でも、世界を取り戻せる可能性があるなら、危険を冒すだけの意味が、あると思うんです……！			そうかもしれません……。でも、世界を取り戻せる可能性があるなら、危険を冒すだけの意味が、あると思うんです……！			エデンの支配者							
リーンの想いはわかった。が、具体的な手法まで思い描けているのか？			リーンの想いはわかった。が、具体的な手法まで思い描けているのか？			エデンの支配者							
とりあえず……エデンの持つ光は、ある点を中心に巡っているように感じ取れるんです。心核というか……中枢というか……そういう場所だと思います。			とりあえず……エデンの持つ光は、ある点を中心に巡っているように感じ取れるんです。心核というか……中枢というか……そういう場所だと思います。			エデンの支配者							
どうにかそこに行くことができれば、タロースにエーテルを流し込んで起動したときのように、制御できるんじゃないかなって……。			どうにかそこに行くことができれば、タロースにエーテルを流し込んで起動したときのように、制御できるんじゃないかなって……。			エデンの支配者							
ふむ……。それであれば、いくらかお手伝いできるかもしれません。			ふむ……。それであれば、いくらかお手伝いできるかもしれません。			エデンの支配者							
リーンの感じている、エデンの核……「エデンコア」への力の流れを地脈に見立て、転移装置での侵入経路を拓くのです。			リーンの感じている、エデンの核……「エデンコア」への力の流れを地脈に見立て、転移装置での侵入経路を拓くのです。			エデンの支配者							
幸い、水晶公の指示のもと、クリスタリウムの自治組織「セツルメント」の協力を受けて、いくつかの魔器を提供していただいております……。			幸い、水晶公の指示のもと、クリスタリウムの自治組織「セツルメント」の協力を受けて、いくつかの魔器を提供していただいております……。			エデンの支配者							
少しばかりの時間と、リーンの力を貸していただければ、エデンコアまで移動できるようにいたしましょう。			少しばかりの時間と、リーンの力を貸していただければ、エデンコアまで移動できるようにいたしましょう。			エデンの支配者							
制御に際しても、あなたのエーテルを増幅、拡散できるような、魔器を設置することにいたしましょう。操縦桿のようなものだと思っていただいて構いません。			制御に際しても、あなたのエーテルを増幅、拡散できるような、魔器を設置することにいたしましょう。操縦桿のようなものだと思っていただいて構いません。			エデンの支配者							
すごい……！ウリエンジェは、そんなこともできるんですね……！？			すごい……！ウリエンジェは、そんなこともできるんですね……！？			エデンの支配者							
エーテル学や、魔器の扱いについて大変詳しい、幼馴染がいたのです。こちらが別のことをしていても、熱く語ってくるような……。			エーテル学や、魔器の扱いについて大変詳しい、幼馴染がいたのです。こちらが別のことをしていても、熱く語ってくるような……。			エデンの支配者							
私にもまた、希望の灯火で導いてくれる女性がいた……ということですね。			私にもまた、希望の灯火で導いてくれる女性がいた……ということですね。			エデンの支配者							
となれば、次は誰が突入するかだが……。エデンの中には、守護者なり、防衛機構なりが、待ち構えていると想定しておいた方がいい。			となれば、次は誰が突入するかだが……。エデンの中には、守護者なり、防衛機構なりが、待ち構えていると想定しておいた方がいい。			エデンの支配者							
その上で、Forename……お前に先陣を任せられないか？			その上で、Forename……お前に先陣を任せられないか？			エデンの支配者							
サンクレッド！？駄目です、あれが罪喰いに近い存在であるならば、Forenameさんは関わるべきじゃ……！			サンクレッド！？駄目です、あれが罪喰いに近い存在であるならば、Forenameさんは関わるべきじゃ……！			エデンの支配者							
わかってる……。俺だって、こいつが光をため込んでどうなったか、もちろん忘れたわけじゃない……。			わかってる……。俺だって、こいつが光をため込んでどうなったか、もちろん忘れたわけじゃない……。			エデンの支配者							
だが、アリゼーも言っていただろう。できもしないことを約束するのは優しさではない……とな。相手が大罪喰い級である以上、ほかに誰がやり遂げられる？			だが、アリゼーも言っていただろう。できもしないことを約束するのは優しさではない……とな。相手が大罪喰い級である以上、ほかに誰がやり遂げられる？			エデンの支配者							
だったら私が……！			だったら私が……！			エデンの支配者							
……ああそうだ。お前だって、がんばらなくちゃならない。自身の望みで進もうというなら、なおさらだ。			……ああそうだ。お前だって、がんばらなくちゃならない。自身の望みで進もうというなら、なおさらだ。			エデンの支配者							
いいか、お前は何があっても冷静に、周囲すべての光を感知しつづけろ。エデン自体や、俺たち全員のな……。			いいか、お前は何があっても冷静に、周囲すべての光を感知しつづけろ。エデン自体や、俺たち全員のな……。			エデンの支配者							
そして、もし異変があったら、すぐに報せるんだ。この調査は、下手をすれば、一瞬で全滅する危険性がある。それを察知し、回避を促せるとしたら、お前しかいない。			そして、もし異変があったら、すぐに報せるんだ。この調査は、下手をすれば、一瞬で全滅する危険性がある。それを察知し、回避を促せるとしたら、お前しかいない。			エデンの支配者							
Forenameさんが、それでいいなら……。			Forenameさんが、それでいいなら……。			エデンの支配者							
何と言う？			何と言う？			エデンの支配者							
任せとけ！			任せとけ！			エデンの支配者							
危険を感知してくれるなら……			危険を感知してくれるなら……			エデンの支配者							
ありがとうございます。それなら私は、何に代えても、みなさんの安全を護ってみせます……！			ありがとうございます。それなら私は、何に代えても、みなさんの安全を護ってみせます……！			エデンの支配者							
では、さっそく準備にとりかかると致しましょう。その後、Forenameさんの戦闘準備ができ次第、転移装置からエデンコアへと突入を……。			では、さっそく準備にとりかかると致しましょう。その後、Forenameさんの戦闘準備ができ次第、転移装置からエデンコアへと突入を……。			エデンの支配者							
中と外でも連絡がとれるよう、クリスタリウムで借りた、リンクパールをお渡ししておきます。			中と外でも連絡がとれるよう、クリスタリウムで借りた、リンクパールをお渡ししておきます。			エデンの支配者							
例によって、塔内の遺物を修繕したものなので、あまり精度はよくありませんが……ないよりは良いでしょう。			例によって、塔内の遺物を修繕したものなので、あまり精度はよくありませんが……ないよりは良いでしょう。			エデンの支配者							
転移装置の設置は、完了いたしました。サンクレッドの言うとおり、障害が待つ可能性は高い……くれぐれも気をつけて、突入なさってください。			転移装置の設置は、完了いたしました。サンクレッドの言うとおり、障害が待つ可能性は高い……くれぐれも気をつけて、突入なさってください。			エデンの支配者							
火がつかないな……。これが、属性が停滞しているということか……。			火がつかないな……。これが、属性が停滞しているということか……。			エデンの支配者							
こんな世界を、再生させようだなんて、リーンも大きく出たものだ。……一緒に手を貸してくれ、Forename。			こんな世界を、再生させようだなんて、リーンも大きく出たものだ。……一緒に手を貸してくれ、Forename。			エデンの支配者							
