モルド・スークのケリッグは、テイナーの様子が気にかかるようだ。			モルド・スークのケリッグは、テイナーの様子が気にかかるようだ。			やっと、また会えたね							
ぼく、この戦いに勝って、ふたりと、ナイルベルトに証明してみせます！もう、ひとりで大丈夫だよって！			ぼく、この戦いに勝って、ふたりと、ナイルベルトに証明してみせます！もう、ひとりで大丈夫だよって！			やっと、また会えたね							
……よし、気合も入りました！それじゃあ、ぼく、「ケリッグ」さんのところに戻ります。Forenameさんも来てくださいね！			……よし、気合も入りました！それじゃあ、ぼく、「ケリッグ」さんのところに戻ります。Forenameさんも来てくださいね！			やっと、また会えたね							
ちなみに、ケリッグさん……。「戦いの前から勝利後のことなんて考えるな」って、プロネーシスを倒した後のことは話してくれないんです。			ちなみに、ケリッグさん……。「戦いの前から勝利後のことなんて考えるな」って、プロネーシスを倒した後のことは話してくれないんです。			やっと、また会えたね							
本当は、ケリッグさんも寂しいんだってこと……気づいているのは内緒です。			本当は、ケリッグさんも寂しいんだってこと……気づいているのは内緒です。			やっと、また会えたね							
ふたりとも、戻ったか。テイナーの顔を見るかぎり……覚悟はできたらしいな。			ふたりとも、戻ったか。テイナーの顔を見るかぎり……覚悟はできたらしいな。			やっと、また会えたね							
はい！プロネーシスを倒して、すべてに決着をつけましょう！			はい！プロネーシスを倒して、すべてに決着をつけましょう！			やっと、また会えたね							
ああ……！それじゃ、戦闘も可能な広い荒野……。「中央アンバーヒル」でプロネーシスをおびき出すぞ。			ああ……！それじゃ、戦闘も可能な広い荒野……。「中央アンバーヒル」でプロネーシスをおびき出すぞ。			やっと、また会えたね							
プロネーシスは、テイナーを探し求めている……。以前予測したように、荒野で「虚ろ」を生み出せば、姿を現すはずだ。			プロネーシスは、テイナーを探し求めている……。以前予測したように、荒野で「虚ろ」を生み出せば、姿を現すはずだ。			やっと、また会えたね							
テイナーの奴……本当に頼もしくなったな。……って、感傷的になるのは早すぎる。さあ、決戦に挑もうぜ！			テイナーの奴……本当に頼もしくなったな。……って、感傷的になるのは早すぎる。さあ、決戦に挑もうぜ！			やっと、また会えたね							
それじゃあ、「虚ろ」を生み出しますね……！			それじゃあ、「虚ろ」を生み出しますね……！			やっと、また会えたね							
ふたりとも、あそこです！			ふたりとも、あそこです！			やっと、また会えたね							
やっぱり、ぼくの作った「虚ろ」に引き寄せられて現れた。なら、もうこれは不要ですね……。			やっぱり、ぼくの作った「虚ろ」に引き寄せられて現れた。なら、もうこれは不要ですね……。			やっと、また会えたね							
その手は通じないよ。「虚ろ」を操れるのは、きみだけじゃないんだ……！			その手は通じないよ。「虚ろ」を操れるのは、きみだけじゃないんだ……！			やっと、また会えたね							
ぼくの大切な人たちを、決して傷つけさせはしない……。来い、ナイルベルト……いや、罪喰い、プロネーシス！			ぼくの大切な人たちを、決して傷つけさせはしない……。来い、ナイルベルト……いや、罪喰い、プロネーシス！			やっと、また会えたね							
(-ナイルベルトの幻影-)……私は、アルバートたちと出会い、英雄として、この世界を救うために数多の冒険をしたが、結局、大切な友……テイナーを救う方法は見つけられなかった。			(-ナイルベルトの幻影-)……私は、アルバートたちと出会い、英雄として、この世界を救うために数多の冒険をしたが、結局、大切な友……テイナーを救う方法は見つけられなかった。			やっと、また会えたね							
(-ナイルベルトの幻影-)アルバートたちと出会ったあのときに諦めた魔光石。あれを使って、テイナーを救えたのかはわからない……。だが、あれが最後の機会だったかと思うと……心が痛むんだ。			(-ナイルベルトの幻影-)アルバートたちと出会ったあのときに諦めた魔光石。あれを使って、テイナーを救えたのかはわからない……。だが、あれが最後の機会だったかと思うと……心が痛むんだ。			やっと、また会えたね							
(-ナイルベルトの幻影-)とはいえ、私の苦しみなど……。			(-ナイルベルトの幻影-)とはいえ、私の苦しみなど……。			やっと、また会えたね							
(-ナイルベルトの幻影-)自分から機会を逃した馬鹿な私のことを、テイナーは、次元の狭間の中で恨んでいるだろう……。			(-ナイルベルトの幻影-)自分から機会を逃した馬鹿な私のことを、テイナーは、次元の狭間の中で恨んでいるだろう……。			やっと、また会えたね							
そんな……そんなことない！！			そんな……そんなことない！！			やっと、また会えたね							
(-ナイルベルトの幻影-)だが、もし恨まれていたとしても……また会いたい。			(-ナイルベルトの幻影-)だが、もし恨まれていたとしても……また会いたい。			やっと、また会えたね							
(-ナイルベルトの幻影-)罵られてもいい……蔑まれても、傷つけられても……何をされようと構わないから、またテイナーに会いたい。私の……生涯の願いだ。			(-ナイルベルトの幻影-)罵られてもいい……蔑まれても、傷つけられても……何をされようと構わないから、またテイナーに会いたい。私の……生涯の願いだ。			やっと、また会えたね							
馬鹿だよ、きみは……。			馬鹿だよ、きみは……。			やっと、また会えたね							
罪喰いになってしまっても、心を失ってしまっても、きみは、ぼくを探し続けてくれたじゃないか……。			罪喰いになってしまっても、心を失ってしまっても、きみは、ぼくを探し続けてくれたじゃないか……。			やっと、また会えたね							
そんなきみを恨んだりなんて、できるもんか。			そんなきみを恨んだりなんて、できるもんか。			やっと、また会えたね							
きみのおかげで戻ってこれたよ。会いたいって願い続けてくれて、探し続けてくれて……ありがとう。			きみのおかげで戻ってこれたよ。会いたいって願い続けてくれて、探し続けてくれて……ありがとう。			やっと、また会えたね							
ぼくは、もう大丈夫。この世界で、大切だと思える人たちにも会えた……。だから……ゆっくり休んで。			ぼくは、もう大丈夫。この世界で、大切だと思える人たちにも会えた……。だから……ゆっくり休んで。			やっと、また会えたね							
テイナーの言葉……。きっと、ナイルベルトに届いたよな。			テイナーの言葉……。きっと、ナイルベルトに届いたよな。			やっと、また会えたね							
…………終わりました、ね。			…………終わりました、ね。			やっと、また会えたね							
今のは、あのクリスタルに残ったナイルベルトの一部。彼本人は、とっくに死んでいる……。			今のは、あのクリスタルに残ったナイルベルトの一部。彼本人は、とっくに死んでいる……。			やっと、また会えたね							
でも……彼の心の内を聞けて、言いたいことも言えて、よかったです。			でも……彼の心の内を聞けて、言いたいことも言えて、よかったです。			やっと、また会えたね							
……あっ、こんなところで立ち話は危険ですね。集落に戻りましょうか。			……あっ、こんなところで立ち話は危険ですね。集落に戻りましょうか。			やっと、また会えたね							
そうだな、さすがに俺も疲れたぜ。Forenameもそうだろ？「モルド・スーク」に戻ろうや。			そうだな、さすがに俺も疲れたぜ。Forenameもそうだろ？「モルド・スーク」に戻ろうや。			やっと、また会えたね							
やり切りました……もう、心残りはありません。			やり切りました……もう、心残りはありません。			やっと、また会えたね							
お前が来るまでに、商人たちに報告を済ませといたぜ。みんな喜んでいたし……賞金の方も弾んでくれるとよ！			お前が来るまでに、商人たちに報告を済ませといたぜ。みんな喜んでいたし……賞金の方も弾んでくれるとよ！			やっと、また会えたね							
ぼくも……お礼を言わせてください。			ぼくも……お礼を言わせてください。			やっと、また会えたね							
ふたりのおかげで、決着をつけられました。「虚ろ」の中から、ぼくを救い出してくれたのが、Forenameさんとケリッグさんで、本当によかった……。			ふたりのおかげで、決着をつけられました。「虚ろ」の中から、ぼくを救い出してくれたのが、Forenameさんとケリッグさんで、本当によかった……。			やっと、また会えたね							
こちらこそ、だ……。「虚ろ」から出てきたのが、お前でよかったよ。			こちらこそ、だ……。「虚ろ」から出てきたのが、お前でよかったよ。			やっと、また会えたね							
それで、お前……過去との決着はついたが、これからの未来にやりたいことはあるのか？			それで、お前……過去との決着はついたが、これからの未来にやりたいことはあるのか？			やっと、また会えたね							
……ふたりのおかげで、それなりに戦える自信もつきました。その力を活かして、生きていけたらと思っています。			……ふたりのおかげで、それなりに戦える自信もつきました。その力を活かして、生きていけたらと思っています。			やっと、また会えたね							
さすが、しっかり考えていたわけだ。だが、俺もちょいと胸の中に秘めていた案があってな……。			さすが、しっかり考えていたわけだ。だが、俺もちょいと胸の中に秘めていた案があってな……。			やっと、また会えたね							
まずはForenameに、ひとつ相談なんだが……。			まずはForenameに、ひとつ相談なんだが……。			やっと、また会えたね							
プロネーシス討伐で得られる賞金。これを、俺たちの大事な「仲間」が生きていくために、譲ってもいいか……？			プロネーシス討伐で得られる賞金。これを、俺たちの大事な「仲間」が生きていくために、譲ってもいいか……？			やっと、また会えたね							
何と答える？			何と答える？			やっと、また会えたね							
もちろん賛成！			もちろん賛成！			やっと、また会えたね							
ひとつ、貸しだ			ひとつ、貸しだ			やっと、また会えたね							
お前なら、そう言ってくれると思ったぜ……！この勝利は、テイナーあってのものだしな。お前には、俺の懐から多少なりとも報酬を払わせてくれ。			お前なら、そう言ってくれると思ったぜ……！この勝利は、テイナーあってのものだしな。お前には、俺の懐から多少なりとも報酬を払わせてくれ。			やっと、また会えたね							
ああ……！お前に報いられることがあるなら、いくらでも手を貸すさ。とりあえずは俺の懐から、少ないがお前に報酬を払わせてくれ。			ああ……！お前に報いられることがあるなら、いくらでも手を貸すさ。とりあえずは俺の懐から、少ないがお前に報酬を払わせてくれ。			やっと、また会えたね							
そんな……そこまでしてもらって、いいんですか？			そんな……そこまでしてもらって、いいんですか？			やっと、また会えたね							
こんな世界で、子どもが生きていくには、少しでも後ろ盾になるものが必要だ。お前を世話してきた者たちの、最後の餞別だと思ってくれ。			こんな世界で、子どもが生きていくには、少しでも後ろ盾になるものが必要だ。お前を世話してきた者たちの、最後の餞別だと思ってくれ。			やっと、また会えたね							
……わかりました。最後の最後まで、ありがとう……！			……わかりました。最後の最後まで、ありがとう……！			やっと、また会えたね							
……さて、これでお前の世話は終わった。それじゃ、一人前の魔道士であるテイナーに、ひとつ、提案がある。			……さて、これでお前の世話は終わった。それじゃ、一人前の魔道士であるテイナーに、ひとつ、提案がある。			やっと、また会えたね							
弓の腕には自信ありだが、魔法には疎い賞金稼ぎがいてね。そいつが相棒を探しているんだが……興味はないか？			弓の腕には自信ありだが、魔法には疎い賞金稼ぎがいてね。そいつが相棒を探しているんだが……興味はないか？			やっと、また会えたね							
それって……！　ケリッグさん……いいんですか？			それって……！　ケリッグさん……いいんですか？			やっと、また会えたね							
提案してるのは、こっちだぜ？もちろん、お前さえよければ、だが。			提案してるのは、こっちだぜ？もちろん、お前さえよければ、だが。			やっと、また会えたね							
はい……とっても、とっても嬉しいです！			はい……とっても、とっても嬉しいです！			やっと、また会えたね							
話は決まった……これからよろしくな。新しい相棒。			話は決まった……これからよろしくな。新しい相棒。			やっと、また会えたね							
……さて、俺は、別の仕事を探しに「クリスタリウム」へ戻る。もちろんテイナーも連れてな。			……さて、俺は、別の仕事を探しに「クリスタリウム」へ戻る。もちろんテイナーも連れてな。			やっと、また会えたね							
悪いが、お前も一度「クリスタリウム」へ来られるか？そこで最後に報酬を渡して、お別れといこうぜ。俺の現在の相棒である、お前とな……。			悪いが、お前も一度「クリスタリウム」へ来られるか？そこで最後に報酬を渡して、お別れといこうぜ。俺の現在の相棒である、お前とな……。			やっと、また会えたね							
この世界にどう慣れていくか……実は、不安だったんです。だから、ぼく、今とっても幸せです！			この世界にどう慣れていくか……実は、不安だったんです。だから、ぼく、今とっても幸せです！			やっと、また会えたね							
待ってたぜ、Forename。お前がいたから、テイナーとも出会えたし、仕事も完了できた。			待ってたぜ、Forename。お前がいたから、テイナーとも出会えたし、仕事も完了できた。			やっと、また会えたね							
俺は、これからテイナーにこの世界のことを教えつつ、ふたりで賞金稼ぎを続けていくよ。			俺は、これからテイナーにこの世界のことを教えつつ、ふたりで賞金稼ぎを続けていくよ。			やっと、また会えたね							
だが……この世界には、ふたりだけでは立ち向かえない、たくさんの脅威がある。そんなときには、またお前の力を貸してほしい。			だが……この世界には、ふたりだけでは立ち向かえない、たくさんの脅威がある。そんなときには、またお前の力を貸してほしい。			やっと、また会えたね							
100年に渡る因縁に決着をつけてみせたお前は、俺にとって最高の相棒だった。いずれまた、大量の報酬を得られる仕事に挑もうぜ！			100年に渡る因縁に決着をつけてみせたお前は、俺にとって最高の相棒だった。いずれまた、大量の報酬を得られる仕事に挑もうぜ！			やっと、また会えたね							
ぼくは、「虚ろ」を消滅させます！Forenameさんとケリッグさんは、プロネーシスを！			ぼくは、「虚ろ」を消滅させます！Forenameさんとケリッグさんは、プロネーシスを！			やっと、また会えたね							
よし、「虚ろ」はテイナーに任せた……！俺たちは、本体を叩くぞ！			よし、「虚ろ」はテイナーに任せた……！俺たちは、本体を叩くぞ！			やっと、また会えたね							
プロネーシスが、「虚ろ」を生み出そうとしています！			プロネーシスが、「虚ろ」を生み出そうとしています！			やっと、また会えたね							
Forename、「虚ろ」には近づくなよ！俺たちじゃ、歯がたたないからな！			Forename、「虚ろ」には近づくなよ！俺たちじゃ、歯がたたないからな！			やっと、また会えたね							
ふぅ……「虚ろ」を消滅させました！			ふぅ……「虚ろ」を消滅させました！			やっと、また会えたね							
よくやった、テイナー！次の「虚ろ」に備えていてくれ！			よくやった、テイナー！次の「虚ろ」に備えていてくれ！			やっと、また会えたね							
プロネーシスの奴、さらに「虚ろ」を生み出すつもりだ。テイナー、頼んだぞ！			プロネーシスの奴、さらに「虚ろ」を生み出すつもりだ。テイナー、頼んだぞ！			やっと、また会えたね							
はいっ！　「虚ろ」は、ぼくが消滅させます！			はいっ！　「虚ろ」は、ぼくが消滅させます！			やっと、また会えたね							
Forenameさんを狙って魔力が……！ひとりで攻撃を受けるのは危険です、ケリッグさんのところへ！			Forenameさんを狙って魔力が……！ひとりで攻撃を受けるのは危険です、ケリッグさんのところへ！			やっと、また会えたね							
俺たちふたり、まとめて攻撃しようとしてるぞ！Forename、俺から離れるんだ！			俺たちふたり、まとめて攻撃しようとしてるぞ！Forename、俺から離れるんだ！			やっと、また会えたね							
はぁ、はぁ……。「虚ろ」を……消滅……させました……！			はぁ、はぁ……。「虚ろ」を……消滅……させました……！			やっと、また会えたね							
テイナー、大丈夫か！？無茶だけはするなよ……！			テイナー、大丈夫か！？無茶だけはするなよ……！			やっと、また会えたね							
くっ……すみま、せん。少し、力を……使いすぎました……！			くっ……すみま、せん。少し、力を……使いすぎました……！			やっと、また会えたね							
Forename、テイナーが消耗してる……。しばらくは「虚ろ」を避けながら戦うぞ！			Forename、テイナーが消耗してる……。しばらくは「虚ろ」を避けながら戦うぞ！			やっと、また会えたね							
また、危なそうなモンを生み出しやがって！……待てよ、いっそ奴が出した「虚ろ」を利用できねぇか！？			また、危なそうなモンを生み出しやがって！……待てよ、いっそ奴が出した「虚ろ」を利用できねぇか！？			やっと、また会えたね							
あの野郎、さらに「虚ろ」を出そうとしてやがる。テイナー、まだ頼りにしても大丈夫か……！？			あの野郎、さらに「虚ろ」を出そうとしてやがる。テイナー、まだ頼りにしても大丈夫か……！？			やっと、また会えたね							
はい……！　ぼくが……消してみせます！！			はい……！　ぼくが……消してみせます！！			やっと、また会えたね							
「魔人」と呼ばれた、大魔道士の肉体は伊達じゃねえか。これほど多彩な魔法を使えたとはな……！			「魔人」と呼ばれた、大魔道士の肉体は伊達じゃねえか。これほど多彩な魔法を使えたとはな……！			やっと、また会えたね							
奴さん、だいぶ弱ってる！　このまま倒すぞ！			奴さん、だいぶ弱ってる！　このまま倒すぞ！			やっと、また会えたね							
……ナイルベルト、もう少しだよ。			……ナイルベルト、もう少しだよ。			やっと、また会えたね							
ごめんなさい……制御に、限界が……。「虚ろ」を生み出す速度が……早すぎる……！			ごめんなさい……制御に、限界が……。「虚ろ」を生み出す速度が……早すぎる……！			やっと、また会えたね							
テイナーに、これ以上無理はさせられねえか……！Forename、あと少し……俺たちで押し切るぞ！			テイナーに、これ以上無理はさせられねえか……！Forename、あと少し……俺たちで押し切るぞ！			やっと、また会えたね							
さらに、「虚ろ」を！？逃げ場をなくす……つもり……？			さらに、「虚ろ」を！？逃げ場をなくす……つもり……？			やっと、また会えたね							
こちらのスキを、好機と見たか……？ふざけんじゃねえ……ここが踏ん張りどころだ、行くぞ！			こちらのスキを、好機と見たか……？ふざけんじゃねえ……ここが踏ん張りどころだ、行くぞ！			やっと、また会えたね							
こんなにも「虚ろ」が……！Forenameさん、ケリッグさん、お願い……勝って！！			こんなにも「虚ろ」が……！Forenameさん、ケリッグさん、お願い……勝って！！			やっと、また会えたね							
クソ……すまねえ……。			クソ……すまねえ……。			やっと、また会えたね							
彷徨う階段亭のケリッグは、はぐれ罪喰いをともに打倒する相棒を探しているようだ。			彷徨う階段亭のケリッグは、はぐれ罪喰いをともに打倒する相棒を探しているようだ。			すべてを呑み込む穴							
ケリッグが狙っているのは、「光の戦士」ナイルベルトの肉体を持つ四使徒の1体「プロネーシス」だった。冒険者の腕試しを行うことになった。アム・アレーンにある隊商の野営地で「ケリッグ」と話そう。			ケリッグが狙っているのは、「光の戦士」ナイルベルトの肉体を持つ四使徒の1体「プロネーシス」だった。冒険者の腕試しを行うことになった。アム・アレーンにある隊商の野営地で「ケリッグ」と話そう。			すべてを呑み込む穴							
西の方角ではぐれ罪喰いが目撃されたらしい。アム・アレーンのカスール・シャルの「指定地点」で見渡して、現れたはぐれ罪喰いを討伐しよう。			西の方角ではぐれ罪喰いが目撃されたらしい。アム・アレーンのカスール・シャルの「指定地点」で見渡して、現れたはぐれ罪喰いを討伐しよう。			すべてを呑み込む穴							
はぐれ罪喰いを討伐した。カスール・シャルの「ケリッグ」に報告しよう。			はぐれ罪喰いを討伐した。カスール・シャルの「ケリッグ」に報告しよう。			すべてを呑み込む穴							
ケリッグは冒険者の実力に感服したようだ。アム・アレーンのモルド・スークで「ケリッグ」と話そう。			ケリッグは冒険者の実力に感服したようだ。アム・アレーンのモルド・スークで「ケリッグ」と話そう。			すべてを呑み込む穴							
プロネーシスが生み出す、すべてを吸い込む穴「虚ろ」対策のため、ケリッグは魔道士の仲間を探していたそうだ。彼が「虚ろ」に関して情報を仕入れてくれるらしい。情報が集まった頃に、また様子を見に来よう。※いずれかのソーサラー系DPSジョブのレベルが72以上になると、モルド・スークのケリッグから次のソーサラー系DPSロールクエストを受注することができます。			プロネーシスが生み出す、すべてを吸い込む穴「虚ろ」対策のため、ケリッグは魔道士の仲間を探していたそうだ。彼が「虚ろ」に関して情報を仕入れてくれるらしい。情報が集まった頃に、また様子を見に来よう。※いずれかのソーサラー系DPSジョブのレベルが72以上になると、モルド・スークのケリッグから次のソーサラー系DPSロールクエストを受注することができます。			すべてを呑み込む穴							
隊商の野営地でケリッグと話す			隊商の野営地でケリッグと話す			すべてを呑み込む穴							
指定地点で見渡して、はぐれ罪喰いを討伐			指定地点で見渡して、はぐれ罪喰いを討伐			すべてを呑み込む穴							
ケリッグに報告			ケリッグに報告			すべてを呑み込む穴							
ケリッグと話す			ケリッグと話す			すべてを呑み込む穴							
……ん、なんだい。この賞金稼ぎケリッグ様に声をかけたってことは、はぐれ罪喰い「プロネーシス」打倒に手を貸してくれるのか？			……ん、なんだい。この賞金稼ぎケリッグ様に声をかけたってことは、はぐれ罪喰い「プロネーシス」打倒に手を貸してくれるのか？			すべてを呑み込む穴							
なんと答える？			なんと答える？			すべてを呑み込む穴							
興味がある			興味がある			すべてを呑み込む穴							
「プロネーシス」って……？			「プロネーシス」って……？			すべてを呑み込む穴							
おお、いいねえ……。この街にも、無謀な挑戦を好むギラギラした奴がいたか。だが、お前は「プロネーシス」について、どこまで知っている？			おお、いいねえ……。この街にも、無謀な挑戦を好むギラギラした奴がいたか。だが、お前は「プロネーシス」について、どこまで知っている？			すべてを呑み込む穴							
おいおい……マジかよ。あんな大物の罪喰いの名を知らねえってか？			おいおい……マジかよ。あんな大物の罪喰いの名を知らねえってか？			すべてを呑み込む穴							
「プロネーシス」ってのは、はぐれ罪喰いの中でも最上級にやばい存在……。通称「四使徒」の一角だ。			「プロネーシス」ってのは、はぐれ罪喰いの中でも最上級にやばい存在……。通称「四使徒」の一角だ。			すべてを呑み込む穴							
100年前、世界をぶっ壊す元凶を創った大罪人……「光の戦士たち」の遺体が、なんの因果か罪喰いと化し、冥府の底から現れたって噂さ。			100年前、世界をぶっ壊す元凶を創った大罪人……「光の戦士たち」の遺体が、なんの因果か罪喰いと化し、冥府の底から現れたって噂さ。			すべてを呑み込む穴							
俺が追っている「プロネーシス」は、その四使徒のうち、「魔人」と呼ばれ恐れられた大魔道士、ナイルベルトの肉体を持つ罪喰いでな。			俺が追っている「プロネーシス」は、その四使徒のうち、「魔人」と呼ばれ恐れられた大魔道士、ナイルベルトの肉体を持つ罪喰いでな。			すべてを呑み込む穴							
