玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			愛しき人へ							
クロバナを見つけたところ、敵が現れたため、これを退けた。無二江流域にいる「クロバナ」を救助しよう。			クロバナを見つけたところ、敵が現れたため、これを退けた。無二江流域にいる「クロバナ」を救助しよう。			人狼族のクロバナ							
クロバナを救助した。自分には、やはり戦いの才能はないのだと、肩を落として話すクロバナ。ナマイ村の「フクド」に経緯を報告しよう。			クロバナを救助した。自分には、やはり戦いの才能はないのだと、肩を落として話すクロバナ。ナマイ村の「フクド」に経緯を報告しよう。			人狼族のクロバナ							
フクドに報告した。人狼族なので、武に長けているはずだと考えていたが、魔物退治以外のことをやらせてみようと語るフクドなのであった。			フクドに報告した。人狼族なので、武に長けているはずだと考えていたが、魔物退治以外のことをやらせてみようと語るフクドなのであった。			人狼族のクロバナ							
指定地点で待機			指定地点で待機			人狼族のクロバナ							
クロバナに「励ます」をする			クロバナに「励ます」をする			人狼族のクロバナ							
クロバナを探し、敵が現れたら討伐			クロバナを探し、敵が現れたら討伐			人狼族のクロバナ							
クロバナを救助			クロバナを救助			人狼族のクロバナ							
フクドに報告			フクドに報告			人狼族のクロバナ							
その見慣れぬ身なり、もしや旅の方か？もしそうなら、相談したいことがあるのだが、話だけでも聞いてはくれないだろうか？			その見慣れぬ身なり、もしや旅の方か？もしそうなら、相談したいことがあるのだが、話だけでも聞いてはくれないだろうか？			人狼族のクロバナ							
そなたは、「人狼族」をご存知かな？狼のような姿をした獣人でな、戦に長けた、武の民として知られているのだ。			そなたは、「人狼族」をご存知かな？狼のような姿をした獣人でな、戦に長けた、武の民として知られているのだ。			人狼族のクロバナ							
人狼族は、長くドマの殿様に仕えてきた歴史がある。もっとも、帝国の支配下となってからは、兵に取られたり、それを拒み野盗化した者がいたりと、散々な状況だがな。			人狼族は、長くドマの殿様に仕えてきた歴史がある。もっとも、帝国の支配下となってからは、兵に取られたり、それを拒み野盗化した者がいたりと、散々な状況だがな。			人狼族のクロバナ							
ところで、ここナマイ村にも、はるか昔から代々暮らしてきた人狼族の一族がいる。危険な獣や魔物から、村を守ってくれていたのだが……。			ところで、ここナマイ村にも、はるか昔から代々暮らしてきた人狼族の一族がいる。危険な獣や魔物から、村を守ってくれていたのだが……。			人狼族のクロバナ							
大黒柱だった、長兄が帝国軍に徴兵されてしまい、次男と病がちな母親のふたりが、残されることになったのだ。			大黒柱だった、長兄が帝国軍に徴兵されてしまい、次男と病がちな母親のふたりが、残されることになったのだ。			人狼族のクロバナ							
当然、村の皆は弟に、兄のような働きぶりを期待した。……ところが、その弟は、兄はおろか、ほかの人狼族とも比較にならぬ、ひ弱な者でな。			当然、村の皆は弟に、兄のような働きぶりを期待した。……ところが、その弟は、兄はおろか、ほかの人狼族とも比較にならぬ、ひ弱な者でな。			人狼族のクロバナ							
村を守るどころか、役にすら立てないでいる次第なのだ。そんな状況にあっては、人狼族特有の大食いも悪目立ちする。村の者からの視線も、厳しくなろうというものよな。			村を守るどころか、役にすら立てないでいる次第なのだ。そんな状況にあっては、人狼族特有の大食いも悪目立ちする。村の者からの視線も、厳しくなろうというものよな。			人狼族のクロバナ							
とはいえ、病弱な母を必死に支える優しい奴だから、陰口をたたかれる今の境遇が、どうにも不憫でならないのだ。			とはいえ、病弱な母を必死に支える優しい奴だから、陰口をたたかれる今の境遇が、どうにも不憫でならないのだ。			人狼族のクロバナ							
見たところ、そなたは、ただの風来坊ではなく、かなり腕の立つ武人とお見受けする。その腕で、どうか件の人狼族の力になってくれぬだろうか？			見たところ、そなたは、ただの風来坊ではなく、かなり腕の立つ武人とお見受けする。その腕で、どうか件の人狼族の力になってくれぬだろうか？			人狼族のクロバナ							
かたじけない。助けていただきたい青年の名は、「クロバナ」。彼の住まいは、西の高台の上だ……訪ねてみてほしい。			かたじけない。助けていただきたい青年の名は、「クロバナ」。彼の住まいは、西の高台の上だ……訪ねてみてほしい。			人狼族のクロバナ							
助けていただきたい青年の名は、「クロバナ」。彼の住まいは、西の高台の上だ……訪ねてみてほしい。			助けていただきたい青年の名は、「クロバナ」。彼の住まいは、西の高台の上だ……訪ねてみてほしい。			人狼族のクロバナ							
見ない顔だが……どちらさんで？うちに何か用でも？			見ない顔だが……どちらさんで？うちに何か用でも？			人狼族のクロバナ							
フクドさんが、そんな話をしてたのか？あのおっさんも、本当に世話焼きだな、まったく……。			フクドさんが、そんな話をしてたのか？あのおっさんも、本当に世話焼きだな、まったく……。			人狼族のクロバナ							
たしかに、あなたがフクドさんから聞いたとおり、俺には戦いの才能がないんだ。何度挑戦しても、うまくいった試しなんて一度もないしな。			たしかに、あなたがフクドさんから聞いたとおり、俺には戦いの才能がないんだ。何度挑戦しても、うまくいった試しなんて一度もないしな。			人狼族のクロバナ							
もちろん、兄貴のように村の役に立ちたいとは思ってるさ。けれど、戦えないんじゃ、村の役に立ちようがないだろう？			もちろん、兄貴のように村の役に立ちたいとは思ってるさ。けれど、戦えないんじゃ、村の役に立ちようがないだろう？			人狼族のクロバナ							
