マエヌは、最後にひとつ冒険者にお願いをしたいようだ。			マエヌは、最後にひとつ冒険者にお願いをしたいようだ。			歴史的邂逅							
あ、冒険者！　先にはお世話になったくぽ。にやにや、これを見てほしいくぽ……かっこいいくぽ～？			あ、冒険者！　先にはお世話になったくぽ。にやにや、これを見てほしいくぽ……かっこいいくぽ～？			聖女シヴァ像を愛でる者							
「聖女シヴァ像」の近くにいる「モグーン」から、ヒトの武具をもらったくぽ！冒険者も興味があるなら、行ってみたらいいくぽ～。			「聖女シヴァ像」の近くにいる「モグーン」から、ヒトの武具をもらったくぽ！冒険者も興味があるなら、行ってみたらいいくぽ～。			聖女シヴァ像を愛でる者							
「聖女シヴァ像」の近くにいる「モグーン」から、ヒトの武具をもらったくぽ！冒険者も興味があるなら、行ってみたらいいくぽ～。			「聖女シヴァ像」の近くにいる「モグーン」から、ヒトの武具をもらったくぽ！冒険者も興味があるなら、行ってみたらいいくぽ～。			聖女シヴァ像を愛でる者							
……ヒトの武具くぽ？少し前に、ドラゴン族の死骸の中から拾ったくぽ。モグズンはうるさいから、武具をあげて黙らせたくぽ。			……ヒトの武具くぽ？少し前に、ドラゴン族の死骸の中から拾ったくぽ。モグズンはうるさいから、武具をあげて黙らせたくぽ。			聖女シヴァ像を愛でる者							
モグは、この「聖女シヴァ像」が好きなんだくぽ。静かに愛でていたいんだくぽ～。でも最近は、ほかにもうるさいやつがいるくぽ……。			モグは、この「聖女シヴァ像」が好きなんだくぽ。静かに愛でていたいんだくぽ～。でも最近は、ほかにもうるさいやつがいるくぽ……。			聖女シヴァ像を愛でる者							
冒険者にお願いくぽ。「クラウドエイビス」を3体ほど倒して、ここを静かにさせてほしいくぽ。			冒険者にお願いくぽ。「クラウドエイビス」を3体ほど倒して、ここを静かにさせてほしいくぽ。			聖女シヴァ像を愛でる者							
「聖女シヴァ像」の近くにいる「モグーン」から、ヒトの武具をもらったくぽ！冒険者も興味があるなら、行ってみたらいいくぽ～。			「聖女シヴァ像」の近くにいる「モグーン」から、ヒトの武具をもらったくぽ！冒険者も興味があるなら、行ってみたらいいくぽ～。			聖女シヴァ像を愛でる者							
冒険者にお願いくぽ。「クラウドエイビス」を3体ほど倒して、ここを静かにさせてほしいくぽ。			冒険者にお願いくぽ。「クラウドエイビス」を3体ほど倒して、ここを静かにさせてほしいくぽ。			聖女シヴァ像を愛でる者							
「聖女シヴァ像」の近くにいる「モグーン」から、ヒトの武具をもらったくぽ！冒険者も興味があるなら、行ってみたらいいくぽ～。			「聖女シヴァ像」の近くにいる「モグーン」から、ヒトの武具をもらったくぽ！冒険者も興味があるなら、行ってみたらいいくぽ～。			聖女シヴァ像を愛でる者							
ありがとうくぽ！　少し静かになったくぽ！このおっきな像は、「聖女シヴァ」を象ったものくぽ。かつて聖竜様と恋に落ちた、女の人くぽ。			ありがとうくぽ！　少し静かになったくぽ！このおっきな像は、「聖女シヴァ」を象ったものくぽ。かつて聖竜様と恋に落ちた、女の人くぽ。			聖女シヴァ像を愛でる者							
きっと、聖竜様もきれいに保っておきたいと思っているくぽ。だからモグは、像をお掃除して、静かに愛でていたいくぽ。			きっと、聖竜様もきれいに保っておきたいと思っているくぽ。だからモグは、像をお掃除して、静かに愛でていたいくぽ。			聖女シヴァ像を愛でる者							
聖女シヴァ像付近のモグーンは、慌てているようだ。			聖女シヴァ像付近のモグーンは、慌てているようだ。			危うき鳥の巣掃除							
モグーンの話を聞いた。アンズーの巣が作られてしまったようだ。ドラヴァニア雲海のランドロード像付近で「アンズーの巣」をすべて撤去してこよう。			モグーンの話を聞いた。アンズーの巣が作られてしまったようだ。ドラヴァニア雲海のランドロード像付近で「アンズーの巣」をすべて撤去してこよう。			危うき鳥の巣掃除							
アンズーの巣をすべて撤去した。聖女シヴァ像付近の「モグーン」に渡そう。			アンズーの巣をすべて撤去した。聖女シヴァ像付近の「モグーン」に渡そう。			危うき鳥の巣掃除							
モグーンにアンズーの巣を渡した。モグーンは聖女シヴァ像をきれいに保てると喜んでいたが、像のすばらしさが渡り鳥には伝わらないことを寂しそうにしていた。			モグーンにアンズーの巣を渡した。モグーンは聖女シヴァ像をきれいに保てると喜んでいたが、像のすばらしさが渡り鳥には伝わらないことを寂しそうにしていた。			危うき鳥の巣掃除							
アンズーの巣をすべて撤去する			アンズーの巣をすべて撤去する			危うき鳥の巣掃除							
モグーンにアンズーの巣を渡す			モグーンにアンズーの巣を渡す			危うき鳥の巣掃除							
渡り怪鳥「アンズー」が、巣を作ったみたいくぽ。どうやら、水を飲みにきただけじゃなく、繁殖してたみたいくぽ……。			渡り怪鳥「アンズー」が、巣を作ったみたいくぽ。どうやら、水を飲みにきただけじゃなく、繁殖してたみたいくぽ……。			危うき鳥の巣掃除							
ランドロード像付近から、すべての「アンズーの巣」を撤去してほしいくぽ。撤去したら見せてほしいくぽ！			ランドロード像付近から、すべての「アンズーの巣」を撤去してほしいくぽ。撤去したら見せてほしいくぽ！			危うき鳥の巣掃除							
ランドロード像付近から、すべての「アンズーの巣」を撤去してほしいくぽ。撤去したら見せてほしいくぽ！			ランドロード像付近から、すべての「アンズーの巣」を撤去してほしいくぽ。撤去したら見せてほしいくぽ！			危うき鳥の巣掃除							
ランドロード像付近から、すべての「アンズーの巣」を撤去してほしいくぽ。撤去したら見せてほしいくぽ！			ランドロード像付近から、すべての「アンズーの巣」を撤去してほしいくぽ。撤去したら見せてほしいくぽ！			危うき鳥の巣掃除							
……こんなにあったくぽ！？むむ、もうタマゴまで産んでたくぽ？油断してたら危なかったくぽ……ありがとくぽ！			……こんなにあったくぽ！？むむ、もうタマゴまで産んでたくぽ？油断してたら危なかったくぽ……ありがとくぽ！			危うき鳥の巣掃除							
これで、聖女シヴァ像をきれいに保てるくぽ。渡り怪鳥には、この像のすばらしさがわからないくぽ？モグがきれいに保って、いつかわからせてやるくぽ！			これで、聖女シヴァ像をきれいに保てるくぽ。渡り怪鳥には、この像のすばらしさがわからないくぽ？モグがきれいに保って、いつかわからせてやるくぽ！			危うき鳥の巣掃除							
聖女シヴァ像付近のモグーンは、頭を悩ませているようだ。			聖女シヴァ像付近のモグーンは、頭を悩ませているようだ。			一触即発の渡り怪鳥							
モグーンの話を聞いた。アンズーが水を飲みに来ているそうだ。聖女シヴァ像の横にある水場で「アンズー」を3体追い払い、襲われたら討伐しよう。			モグーンの話を聞いた。アンズーが水を飲みに来ているそうだ。聖女シヴァ像の横にある水場で「アンズー」を3体追い払い、襲われたら討伐しよう。			一触即発の渡り怪鳥							
アンズーをすべて追い払った。聖女シヴァ像付近の「モグーン」に報告しよう。			アンズーをすべて追い払った。聖女シヴァ像付近の「モグーン」に報告しよう。			一触即発の渡り怪鳥							
モグーンに報告した。水場が貴重なのはわかるが、聖女シヴァ像をきれいに保つためには追い払うしかなかったようだ。			モグーンに報告した。水場が貴重なのはわかるが、聖女シヴァ像をきれいに保つためには追い払うしかなかったようだ。			一触即発の渡り怪鳥							
アンズーを追い払い襲われたら討伐			アンズーを追い払い襲われたら討伐			一触即発の渡り怪鳥							
モグーンに報告			モグーンに報告			一触即発の渡り怪鳥							
聖女シヴァ像の横の水場に、凶暴な渡り怪鳥の「アンズー」が来てるくぽ。すべて追い払ってほしいくぽ！			聖女シヴァ像の横の水場に、凶暴な渡り怪鳥の「アンズー」が来てるくぽ。すべて追い払ってほしいくぽ！			一触即発の渡り怪鳥							
ただ、像の近くでは、手荒なことはしたくないくぽ。なるべく追い払うだけにして、もし逆上されて襲われたら、仕方ないから実力行使してほしいくぽ！			ただ、像の近くでは、手荒なことはしたくないくぽ。なるべく追い払うだけにして、もし逆上されて襲われたら、仕方ないから実力行使してほしいくぽ！			一触即発の渡り怪鳥							
聖女シヴァ像の横の水場に、凶暴な渡り怪鳥の「アンズー」が来てるくぽ。すべて追い払ってほしいくぽ！			聖女シヴァ像の横の水場に、凶暴な渡り怪鳥の「アンズー」が来てるくぽ。すべて追い払ってほしいくぽ！			一触即発の渡り怪鳥							
アンズーは飛び去った……。			アンズーは飛び去った……。			一触即発の渡り怪鳥							
アンズーは飛び去った……。			アンズーは飛び去った……。			一触即発の渡り怪鳥							
おかえりくぽ！　ありがとうくぽ！これで聖女シヴァ像を、きれいに保てるくぽ。			おかえりくぽ！　ありがとうくぽ！これで聖女シヴァ像を、きれいに保てるくぽ。			一触即発の渡り怪鳥							
水場が貴重なのはわかるけど、あいつら周囲を汚すくぽ。だから、追い払うしかなかったくぽ……。			水場が貴重なのはわかるけど、あいつら周囲を汚すくぽ。だから、追い払うしかなかったくぽ……。			一触即発の渡り怪鳥							
飛竜泊のマエヌは、冒険者に助勢に向かってほしい場所があるようだ。			飛竜泊のマエヌは、冒険者に助勢に向かってほしい場所があるようだ。			注意を逸らせ							
マエヌに、戦場跡を調査している隊員の支援を頼まれた。ドラヴァニア雲海のサウストン・ウォールにいる「南方偵察隊の竜騎士」と話そう。			マエヌに、戦場跡を調査している隊員の支援を頼まれた。ドラヴァニア雲海のサウストン・ウォールにいる「南方偵察隊の竜騎士」と話そう。			注意を逸らせ							
南方偵察隊の竜騎士から、計測器を設置する間、敵の気を引くよう頼まれた。サウストン・ウォールで「ウェアドラゴン」を3体討伐しよう。			南方偵察隊の竜騎士から、計測器を設置する間、敵の気を引くよう頼まれた。サウストン・ウォールで「ウェアドラゴン」を3体討伐しよう。			注意を逸らせ							
ウェアドラゴンを討伐した。サウストン・ウォールの「南方偵察隊の竜騎士」に報告しよう。			ウェアドラゴンを討伐した。サウストン・ウォールの「南方偵察隊の竜騎士」に報告しよう。			注意を逸らせ							
南方偵察隊の竜騎士に報告した。計測器の設置は、無事に完了したようだ。			南方偵察隊の竜騎士に報告した。計測器の設置は、無事に完了したようだ。			注意を逸らせ							
南方偵察隊の竜騎士と話す			南方偵察隊の竜騎士と話す			注意を逸らせ							
ウェアドラゴンを討伐			ウェアドラゴンを討伐			注意を逸らせ							
南方偵察隊の竜騎士に報告			南方偵察隊の竜騎士に報告			注意を逸らせ							
仲間が見回ったところ、古戦場らしき場所を発見したそうですよ。			仲間が見回ったところ、古戦場らしき場所を発見したそうですよ。			注意を逸らせ							
Forename殿が、北東方面に赴いている間、ここより西に2ヶ所、戦場跡らしき場所があることが判明した。我々は、それらの場所でもエーテルを計測したい。			Forename殿が、北東方面に赴いている間、ここより西に2ヶ所、戦場跡らしき場所があることが判明した。我々は、それらの場所でもエーテルを計測したい。			注意を逸らせ							
すでに、それぞれの戦場跡へ部隊を向かわせてある。しかし付近に魔物が多く、計測は難航しているようだ。各部隊を支援してもらえないだろうか？			すでに、それぞれの戦場跡へ部隊を向かわせてある。しかし付近に魔物が多く、計測は難航しているようだ。各部隊を支援してもらえないだろうか？			注意を逸らせ							
まずは、「サウストンウォール」に向かい、私の部下と合流し、彼らの活動を助けてもらいたい。			まずは、「サウストンウォール」に向かい、私の部下と合流し、彼らの活動を助けてもらいたい。			注意を逸らせ							
まずは、「サウストンウォール」に向かい、私の部下と合流し、彼らの活動を助けてもらいたい。			まずは、「サウストンウォール」に向かい、私の部下と合流し、彼らの活動を助けてもらいたい。			注意を逸らせ							
おや、冒険者さん。あなたが我々を助けてくれるのですか？それは非常に助かります！			おや、冒険者さん。あなたが我々を助けてくれるのですか？それは非常に助かります！			注意を逸らせ							
ウェアドラゴンどもに追い立てられて、偵察行動を妨害されておりましてね……。			ウェアドラゴンどもに追い立てられて、偵察行動を妨害されておりましてね……。			注意を逸らせ							
私が計測器を設置する間、敵の気を引きつけてくれませんか？ウェアドラゴンを3体倒していただければ、その間に作業を終えられます！			私が計測器を設置する間、敵の気を引きつけてくれませんか？ウェアドラゴンを3体倒していただければ、その間に作業を終えられます！			注意を逸らせ							
私が計測器を設置する間、敵の気を引きつけてくれませんか？ウェアドラゴンを3体倒していただければ、その間に作業を終えられます！			私が計測器を設置する間、敵の気を引きつけてくれませんか？ウェアドラゴンを3体倒していただければ、その間に作業を終えられます！			注意を逸らせ							
ありがとうございます、助かりました！お陰で、無事に計測器を設置することができましたよ。さすがは冒険者さん、その腕前、我らの手本としたいものです。			ありがとうございます、助かりました！お陰で、無事に計測器を設置することができましたよ。さすがは冒険者さん、その腕前、我らの手本としたいものです。			注意を逸らせ							
飛竜泊のマエヌは、怪しい視線を感じているようだ。			飛竜泊のマエヌは、怪しい視線を感じているようだ。			怪しい視線							
マエヌは、怪しい視線を感じているようだ。ドラヴァニア雲海の飛竜泊を見回り、敵が現れたら討伐しよう。			マエヌは、怪しい視線を感じているようだ。ドラヴァニア雲海の飛竜泊を見回り、敵が現れたら討伐しよう。			怪しい視線							
現れたルッカリー・ウェアドラゴンを討伐した。飛竜泊の「マエヌ」に報告しよう。			現れたルッカリー・ウェアドラゴンを討伐した。飛竜泊の「マエヌ」に報告しよう。			怪しい視線							
マエヌに報告した。どうやらこちらの動きは、邪竜の眷属に知られていたようだが……？			マエヌに報告した。どうやらこちらの動きは、邪竜の眷属に知られていたようだが……？			怪しい視線							
飛竜泊を見回り、敵が現れたら討伐			飛竜泊を見回り、敵が現れたら討伐			怪しい視線							
マエヌに報告			マエヌに報告			怪しい視線							
こんな凄い場所が、雲海にあったんですね。だいぶ風化は進んでいるようですが……。			こんな凄い場所が、雲海にあったんですね。だいぶ風化は進んでいるようですが……。			怪しい視線							
到着してからというもの、何か視線を感じるな……。			到着してからというもの、何か視線を感じるな……。			怪しい視線							
我々、偵察隊がオトリとして、視線の主を引きつけよう。すまないが、少し辺りを探ってきてくれないか？			我々、偵察隊がオトリとして、視線の主を引きつけよう。すまないが、少し辺りを探ってきてくれないか？			怪しい視線							
我々、偵察隊がオトリとして、視線の主を引きつけよう。すまないが、少し辺りを探ってきてくれないか？			我々、偵察隊がオトリとして、視線の主を引きつけよう。すまないが、少し辺りを探ってきてくれないか？			怪しい視線							
ギギギギ…感付かれたかッ！			ギギギギ…感付かれたかッ！			怪しい視線							
