シャバーブチェのニーピネは、行き交う人々を眺めているようだ。			シャバーブチェのニーピネは、行き交う人々を眺めているようだ。			海都を騒がす毒の果実							
ありがとう、助かるわ！ワタシも都市内をひと巡りして調べてみるから、アナタはこの「国際街広場」周辺を重点的にお願いね。			ありがとう、助かるわ！ワタシも都市内をひと巡りして調べてみるから、アナタはこの「国際街広場」周辺を重点的にお願いね。			海都を騒がす毒の果実							
ああ、例の事件について話を聞きたいのかい？少し前、ここで売られていた果物を買った客が被害を受けてね、食べたら視界が真っ暗になったと文句を言っていた。			ああ、例の事件について話を聞きたいのかい？少し前、ここで売られていた果物を買った客が被害を受けてね、食べたら視界が真っ暗になったと文句を言っていた。			海都を騒がす毒の果実							
治療を受けるまで身動きが取れなくなったというから、怒るのは当然のことだろう。			治療を受けるまで身動きが取れなくなったというから、怒るのは当然のことだろう。			海都を騒がす毒の果実							
ただ、その店と果物の仕入先は長い付き合いみたいで、品質は保証済みだと商人も怒鳴りだして、大喧嘩さ。			ただ、その店と果物の仕入先は長い付き合いみたいで、品質は保証済みだと商人も怒鳴りだして、大喧嘩さ。			海都を騒がす毒の果実							
結局、ほかの仕入先からの商品を扱う別の店でも、同じ問題が起きたこともあって、くだんの商人は潔白を証明……。事件は未解決のまま、原因もわからないというのが現状だよ。			結局、ほかの仕入先からの商品を扱う別の店でも、同じ問題が起きたこともあって、くだんの商人は潔白を証明……。事件は未解決のまま、原因もわからないというのが現状だよ。			海都を騒がす毒の果実							
マーケットで起きた事件でしたら、私も被害を受けました。購入した果物を食べたら、急に視界が暗くなって、街中でひとり、立ち往生……。			マーケットで起きた事件でしたら、私も被害を受けました。購入した果物を食べたら、急に視界が暗くなって、街中でひとり、立ち往生……。			海都を騒がす毒の果実							
しかも、そのとき近くには誰もいなかったはずなのに、女性の笑い声が聞こえてきたんです。			しかも、そのとき近くには誰もいなかったはずなのに、女性の笑い声が聞こえてきたんです。			海都を騒がす毒の果実							
通りがかった冒険者さんに「エスナ」をかけていただいて、事なきを得たのですが……まったく、酷い目に遭いましたよ。			通りがかった冒険者さんに「エスナ」をかけていただいて、事なきを得たのですが……まったく、酷い目に遭いましたよ。			海都を騒がす毒の果実							
なんだ、マーケットで起きた事件について知りたいと？あの件なら、イエロージャケットの連中があたっているが、冒険者ギルドにも相談が行っているようだ。			なんだ、マーケットで起きた事件について知りたいと？あの件なら、イエロージャケットの連中があたっているが、冒険者ギルドにも相談が行っているようだ。			海都を騒がす毒の果実							
もっと詳しい話を聞きたければ、事件の当事者か、巡回しているイエロージャケットにでも尋ねるのだな。今しがた、見回りが漁師ギルド方面へ歩いていったぞ。			もっと詳しい話を聞きたければ、事件の当事者か、巡回しているイエロージャケットにでも尋ねるのだな。今しがた、見回りが漁師ギルド方面へ歩いていったぞ。			海都を騒がす毒の果実							
国際街広場周辺での聞き込みを終えた。事件に関するさらなる情報を得るため、漁師ギルド方面へ向かったイエロージャケットに話を聞こう。			国際街広場周辺での聞き込みを終えた。事件に関するさらなる情報を得るため、漁師ギルド方面へ向かったイエロージャケットに話を聞こう。			海都を騒がす毒の果実							
あの大喧嘩を収めるのは骨が折れたよ。			あの大喧嘩を収めるのは骨が折れたよ。			海都を騒がす毒の果実							
エスナで治る症状だったのが、せめてもの救いでした。			エスナで治る症状だったのが、せめてもの救いでした。			海都を騒がす毒の果実							
例の事件は、今のところイエロージャケットの預かりだ。漁師ギルド方面へ歩いていった見回りにでも、話を聞いてみるのだな。			例の事件は、今のところイエロージャケットの預かりだ。漁師ギルド方面へ歩いていった見回りにでも、話を聞いてみるのだな。			海都を騒がす毒の果実							
えっ、Surname殿！？英雄である貴方に声をかけていただけるなんて、光栄です！			えっ、Surname殿！？英雄である貴方に声をかけていただけるなんて、光栄です！			海都を騒がす毒の果実							
それで、なにかお困りのことでも……？私、主に都市内の巡回任務を担当しておりますので、周辺の情報をお求めであれば、お役に立てるかもしれません！			それで、なにかお困りのことでも……？私、主に都市内の巡回任務を担当しておりますので、周辺の情報をお求めであれば、お役に立てるかもしれません！			海都を騒がす毒の果実							
なるほど、なるほど。「急性視力悪化事件」について、調べておられると……。			なるほど、なるほど。「急性視力悪化事件」について、調べておられると……。			海都を騒がす毒の果実							
先ほど、「槍を背負ったヒューラン族の女性」にも、同じことを尋ねられたところでした……。もしかして、お知り合いの方ですか？			先ほど、「槍を背負ったヒューラン族の女性」にも、同じことを尋ねられたところでした……。もしかして、お知り合いの方ですか？			海都を騒がす毒の果実							
やはり、そうでしたか！その方にも教えてさしあげたのですが、実は、昨日の朝にも似た事件が起きているのです。			やはり、そうでしたか！その方にも教えてさしあげたのですが、実は、昨日の朝にも似た事件が起きているのです。			海都を騒がす毒の果実							
都市内で行商人から果物を買って食したところ、一時的に目が見えなくなったと、訴えてきた者がいまして……。			都市内で行商人から果物を買って食したところ、一時的に目が見えなくなったと、訴えてきた者がいまして……。			海都を騒がす毒の果実							
くだんの行商人が目撃されたのは「八分儀広場」の南側です。これから私も巡回で向かうところなので、気になるようでしたら、貴方もそちらへお越しください！			くだんの行商人が目撃されたのは「八分儀広場」の南側です。これから私も巡回で向かうところなので、気になるようでしたら、貴方もそちらへお越しください！			海都を騒がす毒の果実							
Forename！よかった、いいところに来てくれたわ！			Forename！よかった、いいところに来てくれたわ！			海都を騒がす毒の果実							
し、しびびび……しびれ……れれれ……。			し、しびびび……しびれ……れれれ……。			海都を騒がす毒の果実							
Surname殿、大変です！市民の方が、麻痺で倒れていまして……！			Surname殿、大変です！市民の方が、麻痺で倒れていまして……！			海都を騒がす毒の果実							
私、回復魔法は不得手なもので、どうか「エスナ」で治療していただけませんか……？			私、回復魔法は不得手なもので、どうか「エスナ」で治療していただけませんか……？			海都を騒がす毒の果実							
どうか、倒れている市民の方を、「エスナ」で治療していただけませんか……？			どうか、倒れている市民の方を、「エスナ」で治療していただけませんか……？			海都を騒がす毒の果実							
し、しびびび……しびれ……れれれ……。			し、しびびび……しびれ……れれれ……。			海都を騒がす毒の果実							
ぐったりとした市民は、麻痺しているようだ。「エスナ」を使って治療しよう。			ぐったりとした市民は、麻痺しているようだ。「エスナ」を使って治療しよう。			海都を騒がす毒の果実							
うひぃ、助かったぁ。おかげさまで、ひどい痺れもすっかり治ったよ。			うひぃ、助かったぁ。おかげさまで、ひどい痺れもすっかり治ったよ。			海都を騒がす毒の果実							
私からもお礼を……！Surname殿のご助力に感謝します！			私からもお礼を……！Surname殿のご助力に感謝します！			海都を騒がす毒の果実							
それにしても、いったい何があったんですか？こんなところで倒れているなんて……。			それにしても、いったい何があったんですか？こんなところで倒れているなんて……。			海都を騒がす毒の果実							
それがなぁ……。			それがなぁ……。			海都を騒がす毒の果実							
仕事あがりにここを歩いていたら、露店を出していた「ララフェル族の男」に声をかけられたんだ。			仕事あがりにここを歩いていたら、露店を出していた「ララフェル族の男」に声をかけられたんだ。			海都を騒がす毒の果実							
「果物を売っているのですが、おひとついかがでしょう？」……ってな。			「果物を売っているのですが、おひとついかがでしょう？」……ってな。			海都を騒がす毒の果実							
けど、最近はマーケットの果物絡みで騒動が起きてるだろ？小腹は空いてたが、不用意に食い物を買うのも心配だったから、売り物をひとつ食ってみせろって言ったんだ。			けど、最近はマーケットの果物絡みで騒動が起きてるだろ？小腹は空いてたが、不用意に食い物を買うのも心配だったから、売り物をひとつ食ってみせろって言ったんだ。			海都を騒がす毒の果実							
そうしたら、その行商人は果物をひと齧りして、「ほら、問題ないでしょう？」と返してきた。			そうしたら、その行商人は果物をひと齧りして、「ほら、問題ないでしょう？」と返してきた。			海都を騒がす毒の果実							
齧ったやつを安くしてくれるなら買ってやるっつったら、手ごろな価格で寄越してくれたんだが……。			齧ったやつを安くしてくれるなら買ってやるっつったら、手ごろな価格で寄越してくれたんだが……。			海都を騒がす毒の果実							
そいつを食ったとたん体が痺れて、俺は倒れちまった。まったく、どんな手を使ったんだか。			そいつを食ったとたん体が痺れて、俺は倒れちまった。まったく、どんな手を使ったんだか。			海都を騒がす毒の果実							
行商人には連れの女がいたみたいで、甲高い笑い声が聞こえた。あと「祭器の使い方がわかってきた」と女が言ってたが、いったい何の話だったのか……。			行商人には連れの女がいたみたいで、甲高い笑い声が聞こえた。あと「祭器の使い方がわかってきた」と女が言ってたが、いったい何の話だったのか……。			海都を騒がす毒の果実							
「祭器」と、その女は言っていたのね？			「祭器」と、その女は言っていたのね？			海都を騒がす毒の果実							
物取りにあったりはしなかったものの、騙されて麻痺させられたうえに、笑いものにされるなんて……まったく屈辱的だったぜ。			物取りにあったりはしなかったものの、騙されて麻痺させられたうえに、笑いものにされるなんて……まったく屈辱的だったぜ。			海都を騒がす毒の果実							
目が見えなくなる果物の次は、身体が痺れる果物……いったいどうなっているんでしょう？			目が見えなくなる果物の次は、身体が痺れる果物……いったいどうなっているんでしょう？			海都を騒がす毒の果実							
ともかく、私はこちらの方をご自宅までお送りします。このまま犯人を追われるのでしたら、どうかお気をつけて！			ともかく、私はこちらの方をご自宅までお送りします。このまま犯人を追われるのでしたら、どうかお気をつけて！			海都を騒がす毒の果実							
リムサ・ロミンサで騒動を起こしている人物は、祭器を盗んだ犯人と同一人物で間違いなさそうね。			リムサ・ロミンサで騒動を起こしている人物は、祭器を盗んだ犯人と同一人物で間違いなさそうね。			海都を騒がす毒の果実							
これまでは目くらましの毒を使っていたようだけど、さらに「麻痺毒」も扱えるようになったみたい。祭器の扱いに慣れてきている証拠ね。			これまでは目くらましの毒を使っていたようだけど、さらに「麻痺毒」も扱えるようになったみたい。祭器の扱いに慣れてきている証拠ね。			海都を騒がす毒の果実							
でも、犯人が何をしたいのかは掴めなかったわ。アナタのほうは、聞き込みでわかったことはある？			でも、犯人が何をしたいのかは掴めなかったわ。アナタのほうは、聞き込みでわかったことはある？			海都を騒がす毒の果実							
毒で相手の動きを封じてもそれ以上のことはせず、ただ笑って見ているだけだったと……。			毒で相手の動きを封じてもそれ以上のことはせず、ただ笑って見ているだけだったと……。			海都を騒がす毒の果実							
やっぱり、犯人の目的がはっきりしないわね。この先、どう動くつもりなのかしら？			やっぱり、犯人の目的がはっきりしないわね。この先、どう動くつもりなのかしら？			海都を騒がす毒の果実							
なんだか、習性のわからない獲物を追っている気分だわ。少なくともリムサ・ロミンサへ来たのは正しかったようだから、その点では助かったけど……。			なんだか、習性のわからない獲物を追っている気分だわ。少なくともリムサ・ロミンサへ来たのは正しかったようだから、その点では助かったけど……。			海都を騒がす毒の果実							
あの黄色い服の人たちにも協力をお願いしつつ、犯人の動きを探ってみることにするわ。情報が入ったら、また力を貸してね。			あの黄色い服の人たちにも協力をお願いしつつ、犯人の動きを探ってみることにするわ。情報が入ったら、また力を貸してね。			海都を騒がす毒の果実							
八分儀広場南のローシュカナは、冒険者に相談したいことがあるようだ。			八分儀広場南のローシュカナは、冒険者に相談したいことがあるようだ。			駆け出し冒険者の毒薬騒動							
ローシュカナたちと話した。祭器を盗んだ犯人の足取りが判明した。西ラノシアのエールポートへ向かい、「ローシュカナ」と合流しよう。			ローシュカナたちと話した。祭器を盗んだ犯人の足取りが判明した。西ラノシアのエールポートへ向かい、「ローシュカナ」と合流しよう。			駆け出し冒険者の毒薬騒動							
ローシュカナと合流した。彼女は、犯人の行方について話を聞くことができそうな人物について、船頭から教わったという。エールポートの「エールポートの商人」と話そう。			ローシュカナと合流した。彼女は、犯人の行方について話を聞くことができそうな人物について、船頭から教わったという。エールポートの「エールポートの商人」と話そう。			駆け出し冒険者の毒薬騒動							
エールポートの商人と話した。犯人と思しき行商人が、駆け出し冒険者のウィスルムとゼリグに錬金薬を売っていたという。西ラノシアのクォーターストーンで「ウィスルム」たちを探し、襲われていたら敵を討伐しよう。			エールポートの商人と話した。犯人と思しき行商人が、駆け出し冒険者のウィスルムとゼリグに錬金薬を売っていたという。西ラノシアのクォーターストーンで「ウィスルム」たちを探し、襲われていたら敵を討伐しよう。			駆け出し冒険者の毒薬騒動							
ウィスルムたちを襲う魔法人形を討伐した。クォーターストーンの「ウィスルム」を救助しよう。			ウィスルムたちを襲う魔法人形を討伐した。クォーターストーンの「ウィスルム」を救助しよう。			駆け出し冒険者の毒薬騒動							
ウィスルムを救助した。彼の相棒であるゼリグは、飲んだ錬金薬が不良品だったのか、しゃっくりが止まらないという。クォーターストーンの「ゼリグ」に「エスナ」をかけよう。			ウィスルムを救助した。彼の相棒であるゼリグは、飲んだ錬金薬が不良品だったのか、しゃっくりが止まらないという。クォーターストーンの「ゼリグ」に「エスナ」をかけよう。			駆け出し冒険者の毒薬騒動							
ゼリグにエスナをかけた。冒険者たちの前に、ローシュカナの故郷から祭器を盗み、ウィスルムとゼリグに毒を付与した錬金薬を売った犯人が現れた。エルレットとココノワと名乗った犯人たちは、煙幕を焚いて引き揚げていった。リムサ・ロミンサへ戻り、八分儀広場南の「ローシュカナ」と話そう。			ゼリグにエスナをかけた。冒険者たちの前に、ローシュカナの故郷から祭器を盗み、ウィスルムとゼリグに毒を付与した錬金薬を売った犯人が現れた。エルレットとココノワと名乗った犯人たちは、煙幕を焚いて引き揚げていった。リムサ・ロミンサへ戻り、八分儀広場南の「ローシュカナ」と話そう。			駆け出し冒険者の毒薬騒動							
ローシュカナと話した。新たな情報が入るのを待って、再び彼女のもとを訪ねよう。※いずれかのHEALERジョブのレベルが94以上になると、八分儀広場南のローシュカナから次のHEALERロールクエストを受注することができます。			ローシュカナと話した。新たな情報が入るのを待って、再び彼女のもとを訪ねよう。※いずれかのHEALERジョブのレベルが94以上になると、八分儀広場南のローシュカナから次のHEALERロールクエストを受注することができます。			駆け出し冒険者の毒薬騒動							
エールポートのローシュカナと話す			エールポートのローシュカナと話す			駆け出し冒険者の毒薬騒動							
エールポートの商人と話す			エールポートの商人と話す			駆け出し冒険者の毒薬騒動							
ウィスルムたちを探して、襲われていたら敵を討伐			ウィスルムたちを探して、襲われていたら敵を討伐			駆け出し冒険者の毒薬騒動							
ウィスルムを救助			ウィスルムを救助			駆け出し冒険者の毒薬騒動							
ゼリグにエスナをする			ゼリグにエスナをする			駆け出し冒険者の毒薬騒動							
リムサ・ロミンサのローシュカナと話す			リムサ・ロミンサのローシュカナと話す			駆け出し冒険者の毒薬騒動							
Forename、ちょっと相談してもいいかしら？			Forename、ちょっと相談してもいいかしら？			駆け出し冒険者の毒薬騒動							
実はね、ここで麻痺している人が倒れていた事件のあと、犯人たちの動きがまったくないのよ。			実はね、ここで麻痺している人が倒れていた事件のあと、犯人たちの動きがまったくないのよ。			駆け出し冒険者の毒薬騒動							
悪さが収まったと考えればいいことではあるものの、犯人探しの手がかりが途絶えたも同然……どうしたものかと、困っちゃってね。			悪さが収まったと考えればいいことではあるものの、犯人探しの手がかりが途絶えたも同然……どうしたものかと、困っちゃってね。			駆け出し冒険者の毒薬騒動							
