鍛冶師ギルドのブリサエルは、日々穏やかに過ごしているようだ。			鍛冶師ギルドのブリサエルは、日々穏やかに過ごしているようだ。			直情娘、来たる							
「船着場」の周りで、東方風の人物を探してみてください！すみませんが、よろしくお願いしますね。			「船着場」の周りで、東方風の人物を探してみてください！すみませんが、よろしくお願いしますね。			直情娘、来たる							
「船着場」の周りで、東方風の人物を探してみてください！……危なそうな人だったら、追い返しちゃってもいいですよ？			「船着場」の周りで、東方風の人物を探してみてください！……危なそうな人だったら、追い返しちゃってもいいですよ？			直情娘、来たる							
この状況、いったいどうしたものか……。			この状況、いったいどうしたものか……。			直情娘、来たる							
こ、この女が、急に斬りかかってきたんだ！			こ、この女が、急に斬りかかってきたんだ！			直情娘、来たる							
…………あら？　あなたのその出で立ち。もしや、私を出迎えに来てくださった鍛冶師ギルドの方ですか？			…………あら？　あなたのその出で立ち。もしや、私を出迎えに来てくださった鍛冶師ギルドの方ですか？			直情娘、来たる							
……おや、君は彼女のことを知っているのかい？それは助かる、どうしたものか悩んでいたところでね……。			……おや、君は彼女のことを知っているのかい？それは助かる、どうしたものか悩んでいたところでね……。			直情娘、来たる							
彼女は、先の船でリムサ・ロミンサに到着したそうなんだが……。衣服の珍しさを見て、しつこくナンパしてきたこの男を、急に、剣で斬りつけようとしたんだ！			彼女は、先の船でリムサ・ロミンサに到着したそうなんだが……。衣服の珍しさを見て、しつこくナンパしてきたこの男を、急に、剣で斬りつけようとしたんだ！			直情娘、来たる							
まあ、駆けつけた私が、慌てて武器を取り上げたので、大事には至らなかったがね……。ただ今度は、何も喋らなくなってしまい困り果てていたんだよ。			まあ、駆けつけた私が、慌てて武器を取り上げたので、大事には至らなかったがね……。ただ今度は、何も喋らなくなってしまい困り果てていたんだよ。			直情娘、来たる							
私は、鍛冶師ギルドに用があると言っているのに、勝手な行動はするなと、通せんぼしてきたからでしょう……。不埒者どもに語る言葉はありませんので。			私は、鍛冶師ギルドに用があると言っているのに、勝手な行動はするなと、通せんぼしてきたからでしょう……。不埒者どもに語る言葉はありませんので。			直情娘、来たる							
不埒者どもって……。このナンパ男はともかく、私もそう呼ばれるのは心外なんだが。			不埒者どもって……。このナンパ男はともかく、私もそう呼ばれるのは心外なんだが。			直情娘、来たる							
な、なんだよ、俺が何したってんだよ！！ちょっと声をかけただけで、斬りかかってきやがって！			な、なんだよ、俺が何したってんだよ！！ちょっと声をかけただけで、斬りかかってきやがって！			直情娘、来たる							
……君も、嘘は良くないな。生憎、私は一部始終を見ていたんだ。声をかけただけにしては、随分しつこく迫っていたね。			……君も、嘘は良くないな。生憎、私は一部始終を見ていたんだ。声をかけただけにしては、随分しつこく迫っていたね。			直情娘、来たる							
結果的に、君が斬りつけられるのを止める形にはなったが、私は、もともと君を注意するために近づいてたんだよ。			結果的に、君が斬りつけられるのを止める形にはなったが、私は、もともと君を注意するために近づいてたんだよ。			直情娘、来たる							
え、えっと…………。あんまりにも無視されたもんで……つい……。			え、えっと…………。あんまりにも無視されたもんで……つい……。			直情娘、来たる							
……ともかく、ギルドの客人なら彼女の身元確認は終了だ。もう引き止めはしないが、彼女の「剣」は君に渡しておくよ。事情はあったにせよ、また暴れられても困るんでね……。			……ともかく、ギルドの客人なら彼女の身元確認は終了だ。もう引き止めはしないが、彼女の「剣」は君に渡しておくよ。事情はあったにせよ、また暴れられても困るんでね……。			直情娘、来たる							
所詮は護身用に打った凡作、誰が持とうとお好きにどうぞ。……ただし、それは「剣」などではありません。我がひんがしの国伝統の武器、「刀」です……！			所詮は護身用に打った凡作、誰が持とうとお好きにどうぞ。……ただし、それは「剣」などではありません。我がひんがしの国伝統の武器、「刀」です……！			直情娘、来たる							
あなた、どうせなら、その「護身用の刀」を、鍛冶師ギルドの長にお渡しくださいませ。私の腕前をお見せする手間がはぶけますから。			あなた、どうせなら、その「護身用の刀」を、鍛冶師ギルドの長にお渡しくださいませ。私の腕前をお見せする手間がはぶけますから。			直情娘、来たる							
それでは、さっそくギルドの長に挨拶へと参りましょう。いざ、鍛冶師ギルドへ！			それでは、さっそくギルドの長に挨拶へと参りましょう。いざ、鍛冶師ギルドへ！			直情娘、来たる							
…………「刀」ねえ。相当の出来栄えに見えたが、まさか彼女が打ったものとは……。どうやら、かなり優秀な鍛冶師のようだね。			…………「刀」ねえ。相当の出来栄えに見えたが、まさか彼女が打ったものとは……。どうやら、かなり優秀な鍛冶師のようだね。			直情娘、来たる							
鍛冶師ギルドの長って「ブリサエル」さんだろう？……彼女と会って、胃痛が悪化しなけりゃいいがな。			鍛冶師ギルドの長って「ブリサエル」さんだろう？……彼女と会って、胃痛が悪化しなけりゃいいがな。			直情娘、来たる							
「護身用の刀」を「ブリサエル」さんに渡しに行くといい。私は、この兄さんに忠告しておくよ。無茶なナンパは身を滅ぼすぞ、ってね……。			「護身用の刀」を「ブリサエル」さんに渡しに行くといい。私は、この兄さんに忠告しておくよ。無茶なナンパは身を滅ぼすぞ、ってね……。			直情娘、来たる							
なんだってんだよぉ……！ちょっと、声をかけて肩を抱いて顔を近づけただけじゃねえか。			なんだってんだよぉ……！ちょっと、声をかけて肩を抱いて顔を近づけただけじゃねえか。			直情娘、来たる							
おや、東方からの客人はどうしました？こちらには、特に誰も来てはいませんが…………えっ、私に見てほしいものがある？			おや、東方からの客人はどうしました？こちらには、特に誰も来てはいませんが…………えっ、私に見てほしいものがある？			直情娘、来たる							
……ほう、これは相当の出来栄えですね！ひんがしの国の侍が使うという「刀」じゃないですか。しかし、これを打った職人はどこへ……？			……ほう、これは相当の出来栄えですね！ひんがしの国の侍が使うという「刀」じゃないですか。しかし、これを打った職人はどこへ……？			直情娘、来たる							
(-女性の大声-)たのもおーーーーーー！！！			(-女性の大声-)たのもおーーーーーー！！！			直情娘、来たる							
申し訳ございません、道に迷ってしまい遅れました。私は、ひんがしの国は商港「クガネ」にて、刀鍛冶を目指す者。名を「セッカ」と申します。			申し訳ございません、道に迷ってしまい遅れました。私は、ひんがしの国は商港「クガネ」にて、刀鍛冶を目指す者。名を「セッカ」と申します。			直情娘、来たる							
ブリサエル殿ですね、私の刀はご覧いただけたでしょうか。先だってお送りした書状にも記したとおり、鍛冶師ギルドにて、どうか、修行をさせてくださいませ……！			ブリサエル殿ですね、私の刀はご覧いただけたでしょうか。先だってお送りした書状にも記したとおり、鍛冶師ギルドにて、どうか、修行をさせてくださいませ……！			直情娘、来たる							
え、え～っと、セッカさん……？話が見えないのですが……刀鍛冶を目指してるのなら、うちのギルドより、あなたの故郷ひんがしの国の方が本場では？			え、え～っと、セッカさん……？話が見えないのですが……刀鍛冶を目指してるのなら、うちのギルドより、あなたの故郷ひんがしの国の方が本場では？			直情娘、来たる							
実は、ある男に刀を打つのを制限されておりまして……。ですが、私は、なんとしてもその男を見返したい……！故に、この地で修行をさせていただきたいのです。			実は、ある男に刀を打つのを制限されておりまして……。ですが、私は、なんとしてもその男を見返したい……！故に、この地で修行をさせていただきたいのです。			直情娘、来たる							
……は、はあ。では、鍛冶師ギルドへ入門するということで……？			……は、はあ。では、鍛冶師ギルドへ入門するということで……？			直情娘、来たる							
……いえ、私の最終目標はあくまでも、刀鍛冶としての腕を上げて、故郷へ錦を飾ることです。修行はしたいのですが、入門はできません。			……いえ、私の最終目標はあくまでも、刀鍛冶としての腕を上げて、故郷へ錦を飾ることです。修行はしたいのですが、入門はできません。			直情娘、来たる							
い、いやいや、流石にそれはちょっと……！入門しない人に、技術を授ける訳にはいかないんですよ。			い、いやいや、流石にそれはちょっと……！入門しない人に、技術を授ける訳にはいかないんですよ。			直情娘、来たる							
……そこをなんとか、お願いできませんでしょうか。私が、悲願を果たし、刀鍛冶として故郷へ凱旋した暁には、私にできるすべてで御礼いたしますので……！			……そこをなんとか、お願いできませんでしょうか。私が、悲願を果たし、刀鍛冶として故郷へ凱旋した暁には、私にできるすべてで御礼いたしますので……！			直情娘、来たる							
何卒、このセッカの申し出を飲んでいただきたい！なんでもしますので、どうぞ条件を仰ってくださいませ！			何卒、このセッカの申し出を飲んでいただきたい！なんでもしますので、どうぞ条件を仰ってくださいませ！			直情娘、来たる							
な、なんでもって……困ったなあ。……じゃあ……ひんがしの国の刀鍛冶と、鍛冶師ギルドで技術交流をしてもらう、とか……？			な、なんでもって……困ったなあ。……じゃあ……ひんがしの国の刀鍛冶と、鍛冶師ギルドで技術交流をしてもらう、とか……？			直情娘、来たる							
はい、それで構いません！！ありがとうございます、ブリサエル殿！			はい、それで構いません！！ありがとうございます、ブリサエル殿！			直情娘、来たる							
それでは逗留先など探さねばなりませんので、失礼しますね。今後、このセッカを、よろしくお願いいたします！			それでは逗留先など探さねばなりませんので、失礼しますね。今後、このセッカを、よろしくお願いいたします！			直情娘、来たる							
な、なんです、あの押しの強い人は……？			な、なんです、あの押しの強い人は……？			直情娘、来たる							
……なんと、到着早々に騒ぎを。なんだか、お腹に久しぶりの感覚がやってきましたよ……。この鈍痛は、懐かしくて……嬉しくないですねえ。			……なんと、到着早々に騒ぎを。なんだか、お腹に久しぶりの感覚がやってきましたよ……。この鈍痛は、懐かしくて……嬉しくないですねえ。			直情娘、来たる							
ともかく、しばらく様子見するしかないようですね……。もしよかったら、折を見てギルドを訪ねてください。何だか不吉な予感が…………ア、アイタタタ……。			ともかく、しばらく様子見するしかないようですね……。もしよかったら、折を見てギルドを訪ねてください。何だか不吉な予感が…………ア、アイタタタ……。			直情娘、来たる							
「鍛冶師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、鍛冶師ギルドのブリサエルから受注可能です。			「鍛冶師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、鍛冶師ギルドのブリサエルから受注可能です。			直情娘、来たる							
今後の「鍛冶師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「鍛冶師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			直情娘、来たる							
鍛冶師ギルドのブリサエルは、胃袋が復調した喜びを伝えたいようだ。			鍛冶師ギルドのブリサエルは、胃袋が復調した喜びを伝えたいようだ。			鍛冶と家令							
前回までの冒険録：鍛冶師ギルドマスター、ブリサエルは造船会社の副社長として事業拡大を狙っている。だが気が小さく、胃薬を手放せない彼は、ドスの利いた仲介役、フェーズアールとの商談を苦手にしていた。そんな中、冒険者はフェーズアールからの依頼を着実にこなし、その信頼を得てゆく。冒険者という名工を傘下に得たブリサエルの胃薬の量は激減し、その胃痛が完治する日は、いよいよ目前に迫りつつあった……！　　　　　　　　　　　　*　*　*ブリサエルから依頼人を紹介された。溺れた海豚亭の「フレモンダン」と話そう。			前回までの冒険録：鍛冶師ギルドマスター、ブリサエルは造船会社の副社長として事業拡大を狙っている。だが気が小さく、胃薬を手放せない彼は、ドスの利いた仲介役、フェーズアールとの商談を苦手にしていた。そんな中、冒険者はフェーズアールからの依頼を着実にこなし、その信頼を得てゆく。冒険者という名工を傘下に得たブリサエルの胃薬の量は激減し、その胃痛が完治する日は、いよいよ目前に迫りつつあった……！　　　　　　　　　　　　*　*　*ブリサエルから依頼人を紹介された。溺れた海豚亭の「フレモンダン」と話そう。			鍛冶と家令							
フレモンダンと話した。かつての名門貴族「ジェルヴァン」家の家令である彼は、冒険者に、若き当主ロリスの鍛冶師となり、お家の再興を助けてほしいという。頼みを引き受けるなら、イシュガルドの宝杖通りにいる「フレモンダン」と話そう。			フレモンダンと話した。かつての名門貴族「ジェルヴァン」家の家令である彼は、冒険者に、若き当主ロリスの鍛冶師となり、お家の再興を助けてほしいという。頼みを引き受けるなら、イシュガルドの宝杖通りにいる「フレモンダン」と話そう。			鍛冶と家令							
フレモンダンと話し、当主のロリスを紹介された。名門ジェルヴァン家は思いのほか落ちぶれているものの、ロリスは類まれなる剣技の素質の持ち主であるらしい。これからは鍛冶師として彼女の武者修行を助け、「神殿騎士団」への仕官を支援していこう。※鍛冶師のレベルが53以上になると、宝杖通りのフレモンダンから次の鍛冶師クエストを受注することができます。			フレモンダンと話し、当主のロリスを紹介された。名門ジェルヴァン家は思いのほか落ちぶれているものの、ロリスは類まれなる剣技の素質の持ち主であるらしい。これからは鍛冶師として彼女の武者修行を助け、「神殿騎士団」への仕官を支援していこう。※鍛冶師のレベルが53以上になると、宝杖通りのフレモンダンから次の鍛冶師クエストを受注することができます。			鍛冶と家令							
溺れた海豚亭のフレモンダンと話す			溺れた海豚亭のフレモンダンと話す			鍛冶と家令							
イシュガルドのフレモンダンと話す			イシュガルドのフレモンダンと話す			鍛冶と家令							
キミという名工を得て、僕の胃袋にも平穏な日々が訪れました。キミほどの腕前なら、より大きな「名声」を得てもいい頃……そういうことを考える、心の余裕も出てきたところです。			キミという名工を得て、僕の胃袋にも平穏な日々が訪れました。キミほどの腕前なら、より大きな「名声」を得てもいい頃……そういうことを考える、心の余裕も出てきたところです。			鍛冶と家令							
そんな折、キミにふさわしい、栄えある仕事が舞い込みました。なんと騎士の国、イシュガルドの名門貴族からの依頼です！			そんな折、キミにふさわしい、栄えある仕事が舞い込みました。なんと騎士の国、イシュガルドの名門貴族からの依頼です！			鍛冶と家令							
騎士道の本場で名をなす……まさに鍛冶師にとって最高の名誉！依頼人の「フレモンダン」様は、お忍びでこの街に滞在中です。「溺れた海豚亭」で、詳しい話をうかがってきてください。			騎士道の本場で名をなす……まさに鍛冶師にとって最高の名誉！依頼人の「フレモンダン」様は、お忍びでこの街に滞在中です。「溺れた海豚亭」で、詳しい話をうかがってきてください。			鍛冶と家令							
騎士道の本場で名をなす……まさに鍛冶師にとって最高の名誉！依頼人の「フレモンダン」様は、お忍びでこの街に滞在中です。「溺れた海豚亭」で、詳しい話をうかがってきてください。			騎士道の本場で名をなす……まさに鍛冶師にとって最高の名誉！依頼人の「フレモンダン」様は、お忍びでこの街に滞在中です。「溺れた海豚亭」で、詳しい話をうかがってきてください。			鍛冶と家令							
ブリサエルどのより紹介いただいた、鍛冶師どのですな？私は、山の都イシュガルドの「ジェルヴァン家」にて、家令を務めまする、フレモンダンと申す者。			ブリサエルどのより紹介いただいた、鍛冶師どのですな？私は、山の都イシュガルドの「ジェルヴァン家」にて、家令を務めまする、フレモンダンと申す者。			鍛冶と家令							
依頼とはほかでもない……わが主にして現当主、「ロリス・ド・ジェルヴァン」様を、鍛冶師として支えていただきたいのでございます！			依頼とはほかでもない……わが主にして現当主、「ロリス・ド・ジェルヴァン」様を、鍛冶師として支えていただきたいのでございます！			鍛冶と家令							
当家は過去に名だたる騎士を幾人も輩出した、名門中の名門。しかしながら、今は往時の所領を失い、先代も霊災で急逝……ひとり娘のロリスお嬢様が、再起を期して奮闘中です。			当家は過去に名だたる騎士を幾人も輩出した、名門中の名門。しかしながら、今は往時の所領を失い、先代も霊災で急逝……ひとり娘のロリスお嬢様が、再起を期して奮闘中です。			鍛冶と家令							
ロリス様は栄えある「神殿騎士」をめざし、修行に励む毎日。みごと叙任がかない、いつかお家の再興なりし暁には……「英雄の陰に名工あり」と、国中が誉めたたえましょう！			ロリス様は栄えある「神殿騎士」をめざし、修行に励む毎日。みごと叙任がかない、いつかお家の再興なりし暁には……「英雄の陰に名工あり」と、国中が誉めたたえましょう！			鍛冶と家令							
遺憾ながら、かかる事情ゆえ、お約束できる報酬は「名誉」のみ。それでもこの話、お受けいただけるならば……どうか、イシュガルドの「宝杖通り」まで、お越しください。			遺憾ながら、かかる事情ゆえ、お約束できる報酬は「名誉」のみ。それでもこの話、お受けいただけるならば……どうか、イシュガルドの「宝杖通り」まで、お越しください。			鍛冶と家令							
……さて、帰りの路銀が尽きてしまったが、どうするか。まあ、帰途は野宿でしのげば……			……さて、帰りの路銀が尽きてしまったが、どうするか。まあ、帰途は野宿でしのげば……			鍛冶と家令							
……や、聞こえておりましたか！？いやいや、これはこちらの話……ただの独りごとにございまする！			……や、聞こえておりましたか！？いやいや、これはこちらの話……ただの独りごとにございまする！			鍛冶と家令							
おお、鍛冶師どの……先のお頼み、引き受けてくださるのですな！遠方よりご足労いただき、まことに恐縮至極……！わが主、ロリス様の武具周りのご後見、何卒お願い申しまする。			おお、鍛冶師どの……先のお頼み、引き受けてくださるのですな！遠方よりご足労いただき、まことに恐縮至極……！わが主、ロリス様の武具周りのご後見、何卒お願い申しまする。			鍛冶と家令							
……実は私め、逼迫した家計を支えるため、そこの店で、副業をしておりましてな。このことはロリスお嬢様には、どうか内密にしていただきたく……			……実は私め、逼迫した家計を支えるため、そこの店で、副業をしておりましてな。このことはロリスお嬢様には、どうか内密にしていただきたく……			鍛冶と家令							
(-？？？？-)……何やら、私の名前が聞こえたようだけど？			(-？？？？-)……何やら、私の名前が聞こえたようだけど？			鍛冶と家令							
ろろろ、ロリスお嬢様！？剣術の稽古に、出かけられたはずでは……！			ろろろ、ロリスお嬢様！？剣術の稽古に、出かけられたはずでは……！			鍛冶と家令							
……もう終わったわ。ところで、そちらの御婦人御仁は……？			……もう終わったわ。ところで、そちらの御婦人御仁は……？			鍛冶と家令							
これは失礼……この方こそ、先だって、お話させていただいた敏腕鍛冶師、Surnameどのにございまする！			これは失礼……この方こそ、先だって、お話させていただいた敏腕鍛冶師、Surnameどのにございまする！			鍛冶と家令							
そう……あなたが噂の名工ね。これから、世話になるわ。			そう……あなたが噂の名工ね。これから、世話になるわ。			鍛冶と家令							
じい、私は宿に戻る。何か切らした食材があれば、途中で買っておくけれど？			じい、私は宿に戻る。何か切らした食材があれば、途中で買っておくけれど？			鍛冶と家令							
それでしたら、パンプキンをふたつばかりお願い申しまする。何しろ、じいは、まだここで副業が……いやいやいや、鍛冶師どのとの打ち合わせがありますゆえ！			それでしたら、パンプキンをふたつばかりお願い申しまする。何しろ、じいは、まだここで副業が……いやいやいや、鍛冶師どのとの打ち合わせがありますゆえ！			鍛冶と家令							
……だったら、下層の行商まで足を延ばすわ。遠まわりだけど、店じまい前を狙えば、2割も安く買えるし！			……だったら、下層の行商まで足を延ばすわ。遠まわりだけど、店じまい前を狙えば、2割も安く買えるし！			鍛冶と家令							
ジェルヴァン家の当主ともあろうお方に、食費節約の算段をさせるなど……不甲斐のうございます。			ジェルヴァン家の当主ともあろうお方に、食費節約の算段をさせるなど……不甲斐のうございます。			鍛冶と家令							
そもそもジェルヴァン家は代々、教皇庁直属の神殿騎士団に仕え、コマンドはもとより、最高位の総長をも輩出した尚武の血筋。ロリス様のお父上にあたる先代も、武名を馳せた騎士でしたが……			そもそもジェルヴァン家は代々、教皇庁直属の神殿騎士団に仕え、コマンドはもとより、最高位の総長をも輩出した尚武の血筋。ロリス様のお父上にあたる先代も、武名を馳せた騎士でしたが……			鍛冶と家令							
貴族どうしの鞘あてに足許をすくわれ、突然の失脚。再興を期すも、先の霊災にて、無念の最期を遂げられました。かつては3桁を下らなかった使用人も、今では私ひとり……。			貴族どうしの鞘あてに足許をすくわれ、突然の失脚。再興を期すも、先の霊災にて、無念の最期を遂げられました。かつては3桁を下らなかった使用人も、今では私ひとり……。			鍛冶と家令							
しかしながら、お家再興の希望は、ついえておりませぬ！ロリス様は、類まれなる剣技の素質をお持ちの方。わが眼には、救国の聖人「聖フィネア」の再来と映るほど……！			しかしながら、お家再興の希望は、ついえておりませぬ！ロリス様は、類まれなる剣技の素質をお持ちの方。わが眼には、救国の聖人「聖フィネア」の再来と映るほど……！			鍛冶と家令							
近く、神殿騎士のお歴々を前に行われる「上覧試合」……各地の有望な若者が集うこの剣術試合にて、有力騎士の目に留まれば、ロリス様にも仕官の道が拓けまする！			近く、神殿騎士のお歴々を前に行われる「上覧試合」……各地の有望な若者が集うこの剣術試合にて、有力騎士の目に留まれば、ロリス様にも仕官の道が拓けまする！			鍛冶と家令							
ロリスお嬢様は、まだ鍛えられざる鋼の原石。いつかまばゆく輝く日まで、鍛冶師どのの力をお貸しください。具体的な依頼につきましては、また、この場所にて……。			ロリスお嬢様は、まだ鍛えられざる鋼の原石。いつかまばゆく輝く日まで、鍛冶師どのの力をお貸しください。具体的な依頼につきましては、また、この場所にて……。			鍛冶と家令							
「鍛冶師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、宝杖通りのフレモンダンから受注可能です。			「鍛冶師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、宝杖通りのフレモンダンから受注可能です。			鍛冶と家令							
今後の「鍛冶師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「鍛冶師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			鍛冶と家令							
また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			鍛冶と家令							
さらに、熟練の職人だけが製作可能な、難度の高い製品の製法が記されたレシピ帳、「秘伝書」が入手できるようになります。			さらに、熟練の職人だけが製作可能な、難度の高い製品の製法が記されたレシピ帳、「秘伝書」が入手できるようになります。			鍛冶と家令							
レヴナンツトールにいる、「ガイディング・スター」を訪ねてみましょう。			レヴナンツトールにいる、「ガイディング・スター」を訪ねてみましょう。			鍛冶と家令							
鍛冶師ギルドのブリサエルは、胃痛がぶり返しているようだ。			鍛冶師ギルドのブリサエルは、胃痛がぶり返しているようだ。			直情娘、対決す							
ブリサエルから、セッカの言動を注意するよう頼まれた。リムサ・ロミンサのアンカーヤードで「セッカ」と話そう。			ブリサエルから、セッカの言動を注意するよう頼まれた。リムサ・ロミンサのアンカーヤードで「セッカ」と話そう。			直情娘、対決す							
セッカは、鍛冶師ギルドの仕事の仕方は間違っていることを証明してみせると言い、立ち去っていった。鍛冶師ギルドの「ブリサエル」と話そう。			セッカは、鍛冶師ギルドの仕事の仕方は間違っていることを証明してみせると言い、立ち去っていった。鍛冶師ギルドの「ブリサエル」と話そう。			直情娘、対決す							
鍛冶師ギルドが受けた依頼でセッカと勝負をすることになった。リムサ・ロミンサの溺れた海豚亭にいるという依頼人から、詳しい依頼内容を聞こう。			鍛冶師ギルドが受けた依頼でセッカと勝負をすることになった。リムサ・ロミンサの溺れた海豚亭にいるという依頼人から、詳しい依頼内容を聞こう。			直情娘、対決す							
依頼人は、従騎士見習いとなったロリスだった。彼女の家令フレモンダン用に、軽量な片手剣の製作を頼まれた。ロリスからもらった「短剣の材料」をもとに「軽量なショートソード」を製作し、鍛冶師ギルドの「ブリサエル」に納品しよう。※「短剣の材料」を失った場合は、ロリスに話しかけましょう。材料を入手し、再挑戦が可能になります。			依頼人は、従騎士見習いとなったロリスだった。彼女の家令フレモンダン用に、軽量な片手剣の製作を頼まれた。ロリスからもらった「短剣の材料」をもとに「軽量なショートソード」を製作し、鍛冶師ギルドの「ブリサエル」に納品しよう。※「短剣の材料」を失った場合は、ロリスに話しかけましょう。材料を入手し、再挑戦が可能になります。			直情娘、対決す							
フレモンダンが選んだのは、冒険者の製作した軽量なショートソードだった。セッカは、鍛冶師ギルドの姿勢や冒険者の実力を認め、更なる闘志を燃やしたようだ。ブリサエルの胃痛が限界を迎える前に、また様子を見に来てあげよう。※鍛冶師のレベルが65以上になると、鍛冶師ギルドのブリサエルから、次の鍛冶師クエストを受注することができます。			フレモンダンが選んだのは、冒険者の製作した軽量なショートソードだった。セッカは、鍛冶師ギルドの姿勢や冒険者の実力を認め、更なる闘志を燃やしたようだ。ブリサエルの胃痛が限界を迎える前に、また様子を見に来てあげよう。※鍛冶師のレベルが65以上になると、鍛冶師ギルドのブリサエルから、次の鍛冶師クエストを受注することができます。			直情娘、対決す							
セッカと話す			セッカと話す			直情娘、対決す							
ブリサエルと話す			ブリサエルと話す			直情娘、対決す							
溺れた海豚亭にいる依頼人と話す			溺れた海豚亭にいる依頼人と話す			直情娘、対決す							
製作手帳 クラスクエスト：軽量なショートソードを製作ブリサエルに軽量なショートソードを納品			製作手帳 クラスクエスト：軽量なショートソードを製作ブリサエルに軽量なショートソードを納品			直情娘、対決す							
