ラザハンの流星の間にいる、ドマの駐在武官は冒険者にお願いがあるようだ。			ラザハンの流星の間にいる、ドマの駐在武官は冒険者にお願いがあるようだ。			秘められし民の想い							
Forename殿、あらためて、あなたにお願いの儀がございます。			Forename殿、あらためて、あなたにお願いの儀がございます。			秘められし民の想い							
わが国にも偽神獣と思しき存在が確認されており、ヒエン様を筆頭に、急ぎその対策に乗り出しました。			わが国にも偽神獣と思しき存在が確認されており、ヒエン様を筆頭に、急ぎその対策に乗り出しました。			秘められし民の想い							
しかし、相手は高い飛翔能力を有している模様……。ドマの侍や忍者は、地上での戦いでこそ本領を発揮しますが、空を飛ばれては、いささか分が悪いのです。			しかし、相手は高い飛翔能力を有している模様……。ドマの侍や忍者は、地上での戦いでこそ本領を発揮しますが、空を飛ばれては、いささか分が悪いのです。			秘められし民の想い							
そこで、離れた敵も射貫くことができる、あなたのような遠隔攻撃の達人に、是非とも協力を頼みたい。			そこで、離れた敵も射貫くことができる、あなたのような遠隔攻撃の達人に、是非とも協力を頼みたい。			秘められし民の想い							
何と言う？			何と言う？			秘められし民の想い							
任せてくれ			任せてくれ			秘められし民の想い							
仕方ないな……			仕方ないな……			秘められし民の想い							
引き受けてくださるとは、ありがたき幸せ！では、ドマ町人地に向かい、「ユウギリ」殿にお声がけください。何卒よろしくお願いいたします。			引き受けてくださるとは、ありがたき幸せ！では、ドマ町人地に向かい、「ユウギリ」殿にお声がけください。何卒よろしくお願いいたします。			秘められし民の想い							
ドマの偽神獣対策に協力してくださるのならば、ドマ町人地に向かい、「ユウギリ」殿にお声がけください。何卒よろしくお願いいたします。			ドマの偽神獣対策に協力してくださるのならば、ドマ町人地に向かい、「ユウギリ」殿にお声がけください。何卒よろしくお願いいたします。			秘められし民の想い							
これは、Forename殿。ラザハンに送った武官から、貴殿に対して協力要請を行ったと、そう報告を受けていたが……			これは、Forename殿。ラザハンに送った武官から、貴殿に対して協力要請を行ったと、そう報告を受けていたが……			秘められし民の想い							
そうか、協力してくださると！？それは助かる、急ぎヒエン様をお連れするゆえ、しばしお待ちを……！			そうか、協力してくださると！？それは助かる、急ぎヒエン様をお連れするゆえ、しばしお待ちを……！			秘められし民の想い							
Forename！力を貸してくれるとはありがたい！まっこと、そなたがいれば頼もしいかぎりだ。			Forename！力を貸してくれるとはありがたい！まっこと、そなたがいれば頼もしいかぎりだ。			秘められし民の想い							
さっそくだが、ドマに現れた偽神獣と、こちらの状況について共有させてくれ。			さっそくだが、ドマに現れた偽神獣と、こちらの状況について共有させてくれ。			秘められし民の想い							
サベネア島の終末現象が報告されたすぐ後のこと。イサリ村でひとりの女が突如として異形の魔物に転じ、人を襲って飛び去ったという事件があった。			サベネア島の終末現象が報告されたすぐ後のこと。イサリ村でひとりの女が突如として異形の魔物に転じ、人を襲って飛び去ったという事件があった。			秘められし民の想い							
痛ましいことに、このとき犠牲になったのは、かつてガレマール帝国との捕虜交換で帰国してきた者だった。ようやく幸せを掴んだところで……むごい話よな。			痛ましいことに、このとき犠牲になったのは、かつてガレマール帝国との捕虜交換で帰国してきた者だった。ようやく幸せを掴んだところで……むごい話よな。			秘められし民の想い							
ともかく我らは件の魔物を偽神獣と認定し、対策に乗り出した。ただし相手は、高い飛翔能力を有しておってな……目撃されることはあれど、仕留めきれん。			ともかく我らは件の魔物を偽神獣と認定し、対策に乗り出した。ただし相手は、高い飛翔能力を有しておってな……目撃されることはあれど、仕留めきれん。			秘められし民の想い							
そこで、そなたのような遠距離攻撃に長けた達人を、探し求めておったというわけよ。			そこで、そなたのような遠距離攻撃に長けた達人を、探し求めておったというわけよ。			秘められし民の想い							
だが、この問題は武力だけでは解決できん。サベネア島における事例と同じく、我がドマにおいても、偽神獣の出現以来、獣に転じる者が出始めておるのだ。			だが、この問題は武力だけでは解決できん。サベネア島における事例と同じく、我がドマにおいても、偽神獣の出現以来、獣に転じる者が出始めておるのだ。			秘められし民の想い							
聞けば、獣化は絶望によって引き起こされるという。民がいかなる絶望を抱えておるのかを理解し、その対策を講じる必要もあろう。			聞けば、獣化は絶望によって引き起こされるという。民がいかなる絶望を抱えておるのかを理解し、その対策を講じる必要もあろう。			秘められし民の想い							
(-？？？？-)ヒ、ヒエン様！			(-？？？？-)ヒ、ヒエン様！			秘められし民の想い							
た、た、大変なことが……！！			た、た、大変なことが……！！			秘められし民の想い							
落ち着け……！いったいどうしたというのだ？			落ち着け……！いったいどうしたというのだ？			秘められし民の想い							
ナマイ村で、人が獣になっちまったんでさぁ。ひと暴れして村を出ていきましたが、まだ辺りに……みんな怯えてるんで、なんとかしてくだせぇ！			ナマイ村で、人が獣になっちまったんでさぁ。ひと暴れして村を出ていきましたが、まだ辺りに……みんな怯えてるんで、なんとかしてくだせぇ！			秘められし民の想い							
ええい、我らが手をこまねいておるうちに、またも獣化する者が現れようとは……。			ええい、我らが手をこまねいておるうちに、またも獣化する者が現れようとは……。			秘められし民の想い							
あいわかった……。その獣、我らが討とう。			あいわかった……。その獣、我らが討とう。			秘められし民の想い							
無念ではあるが、獣に堕ちた者は元には戻せん。人を襲う前に討ってやるのが、せめてもの情け……。			無念ではあるが、獣に堕ちた者は元には戻せん。人を襲う前に討ってやるのが、せめてもの情け……。			秘められし民の想い							
来て早々となるが、そなたにも協力してもらいたい。			来て早々となるが、そなたにも協力してもらいたい。			秘められし民の想い							
あっしが獣のところまで、案内しやす。無二江流域まで、ついて来てくだせぇ。			あっしが獣のところまで、案内しやす。無二江流域まで、ついて来てくだせぇ。			秘められし民の想い							
できることならば斬りたくはないが……放置すれば、さらなる悲劇が起こるのは必定ゆえ、な。			できることならば斬りたくはないが……放置すれば、さらなる悲劇が起こるのは必定ゆえ、な。			秘められし民の想い							
ここへ来るまでには、獣らしき姿は見つからなかった。			ここへ来るまでには、獣らしき姿は見つからなかった。			秘められし民の想い							
獣はさっきまで、この辺りをうろついてましたので、まだ、そう遠くへは……。			獣はさっきまで、この辺りをうろついてましたので、まだ、そう遠くへは……。			秘められし民の想い							
そうか、案内に感謝する。そなたの身も危険ゆえ、早く村に戻ってくれ。			そうか、案内に感謝する。そなたの身も危険ゆえ、早く村に戻ってくれ。			秘められし民の想い							
ここは、手分けして捜索した方がよさそうだ。わしは北を回るゆえ、ユウギリは東を、Forenameは西の方を頼む。			ここは、手分けして捜索した方がよさそうだ。わしは北を回るゆえ、ユウギリは東を、Forenameは西の方を頼む。			秘められし民の想い							
獣を見つけたら、迷わず討伐してくれ。かつての人を討つこと、そう簡単に割り切れるものではないが……獣に転じた者とて、同胞を手に掛けたくはないはず。			獣を見つけたら、迷わず討伐してくれ。かつての人を討つこと、そう簡単に割り切れるものではないが……獣に転じた者とて、同胞を手に掛けたくはないはず。			秘められし民の想い							
各々、抜かりなくゆこう。			各々、抜かりなくゆこう。			秘められし民の想い							
争う物音が聞こえてな。ユウギリと合流し駆けつけたのだが……			争う物音が聞こえてな。ユウギリと合流し駆けつけたのだが……			秘められし民の想い							
そちらの童は、不運にも獣に出くわしてしまったのか……ともかく貴殿がおらねば、危なかったはず。かたじけない、恩に着る。			そちらの童は、不運にも獣に出くわしてしまったのか……ともかく貴殿がおらねば、危なかったはず。かたじけない、恩に着る。			秘められし民の想い							
(-怯えた様子の少年-)よくも……。			(-怯えた様子の少年-)よくも……。			秘められし民の想い							
(-怯えた様子の少年-)よくも、兄貴を殺したな……！！			(-怯えた様子の少年-)よくも、兄貴を殺したな……！！			秘められし民の想い							
まさか、おぬし……			まさか、おぬし……			秘められし民の想い							
少年……獣化したのは、そなたの兄であったか……。獣に転化した者を討つように、彼女彼に依頼したのは、誰あろう、このわしだ。			少年……獣化したのは、そなたの兄であったか……。獣に転化した者を討つように、彼女彼に依頼したのは、誰あろう、このわしだ。			秘められし民の想い							
討伐せねば、おぬしや村の者らが危うかった、と理屈を言ったとて、納得できるものではなかろう……。恨むなら、わしを恨んでくれ。			討伐せねば、おぬしや村の者らが危うかった、と理屈を言ったとて、納得できるものではなかろう……。恨むなら、わしを恨んでくれ。			秘められし民の想い							
(-怯えた様子の少年-)お前なんか大っ嫌いだ！！			(-怯えた様子の少年-)お前なんか大っ嫌いだ！！			秘められし民の想い							
イッセではないか。ナマイ村の出であるお主なら、獣のことは知っているはず。このような場所で、何をしている？			イッセではないか。ナマイ村の出であるお主なら、獣のことは知っているはず。このような場所で、何をしている？			秘められし民の想い							
あいつ、トンボっていうんだ。獣になった兄を追って、村を飛び出したもんで、心配になって探していたんだよ……。			あいつ、トンボっていうんだ。獣になった兄を追って、村を飛び出したもんで、心配になって探していたんだよ……。			秘められし民の想い							
ヒエン様、あいつの無礼を許してやってください。			ヒエン様、あいつの無礼を許してやってください。			秘められし民の想い							
トンボたち兄弟の父親は帝国に徴兵されていて、このあいだの捕虜交換でも戻ってこなかったんです。			トンボたち兄弟の父親は帝国に徴兵されていて、このあいだの捕虜交換でも戻ってこなかったんです。			秘められし民の想い							
それだけでも辛いはずなのに……記憶を失ったヨツユが、村に現れたことがありましたよね。動揺した兄弟たちは、あの日を境にますます暗くなってしまって。			それだけでも辛いはずなのに……記憶を失ったヨツユが、村に現れたことがありましたよね。動揺した兄弟たちは、あの日を境にますます暗くなってしまって。			秘められし民の想い							
憎むべき絶対の悪がいて、誰かがそれを倒してくれる。そんな単純な話だったなら、トンボたち兄弟だって、過去に区切りをつけられたのかもしれません。			憎むべき絶対の悪がいて、誰かがそれを倒してくれる。そんな単純な話だったなら、トンボたち兄弟だって、過去に区切りをつけられたのかもしれません。			秘められし民の想い							
でも、現実は……。ふたりは、最終的にヨツユが死んだと聞かされてなお、どこに感情を向けていいのか迷って、苦しんでいる様子でした。			でも、現実は……。ふたりは、最終的にヨツユが死んだと聞かされてなお、どこに感情を向けていいのか迷って、苦しんでいる様子でした。			秘められし民の想い							
す、すみません。俺、つい出過ぎたことを……。			す、すみません。俺、つい出過ぎたことを……。			秘められし民の想い							
いや、包み隠さず話してくれて、助かった。			いや、包み隠さず話してくれて、助かった。			秘められし民の想い							
獣となったトンボの兄を討つよう依頼したのもわしならば、生きて戻ったヨツユを、斬らぬと判断したのもわしだ。			獣となったトンボの兄を討つよう依頼したのもわしならば、生きて戻ったヨツユを、斬らぬと判断したのもわしだ。			秘められし民の想い							
トンボなる少年、彼には、わしを恨む権利がある。無礼などと思うものか。			トンボなる少年、彼には、わしを恨む権利がある。無礼などと思うものか。			秘められし民の想い							
それに、おかげで獣化について見えてきたことがある。この件はわしらが必ず解決すると約束しよう。そなたは心配せずに村に戻ってくれ。			それに、おかげで獣化について見えてきたことがある。この件はわしらが必ず解決すると約束しよう。そなたは心配せずに村に戻ってくれ。			秘められし民の想い							
ひとまず、我らもドマ町人地に戻ろう。道すがら少し考えさせてくれ。			ひとまず、我らもドマ町人地に戻ろう。道すがら少し考えさせてくれ。			秘められし民の想い							
誰よりも民を思っておられるヒエン様が、民を斬らねばならず、また憎悪を向けられるとは……。何ともやるせない話だ。			誰よりも民を思っておられるヒエン様が、民を斬らねばならず、また憎悪を向けられるとは……。何ともやるせない話だ。			秘められし民の想い							
Forename、あらためて、此度の協力に感謝させてもらおう。			Forename、あらためて、此度の協力に感謝させてもらおう。			秘められし民の想い							
そして、ひとつ詫びもさせてくれ。偶然とはいえ、遺族の前で獣と化した者を討たせるなどと、損な役回りをさせてしまい、すまなかった。			そして、ひとつ詫びもさせてくれ。偶然とはいえ、遺族の前で獣と化した者を討たせるなどと、損な役回りをさせてしまい、すまなかった。			秘められし民の想い							
が、奇しくも此度のことで、獣化に至る絶望に迫れたと思う。			が、奇しくも此度のことで、獣化に至る絶望に迫れたと思う。			秘められし民の想い							
先の捕虜交換では、多数の徴用兵が戻ってきたが、当然、すべての者が生きて帰れたわけではない。大切な者と再会できなかった者も、少なくなかったのだ。			先の捕虜交換では、多数の徴用兵が戻ってきたが、当然、すべての者が生きて帰れたわけではない。大切な者と再会できなかった者も、少なくなかったのだ。			秘められし民の想い							
それでいて恨みをはらせたかというと……ヨツユは処刑されることなく、己の罪を認めることもなく、まるで「本懐を遂げた」かのように死んだ。			それでいて恨みをはらせたかというと……ヨツユは処刑されることなく、己の罪を認めることもなく、まるで「本懐を遂げた」かのように死んだ。			秘められし民の想い							
悪を悪として討たなかったのだと、わしを恨めた者は良い。しかしながら誰も恨めず、家族と再会できた者を、羨むこともできなかったとしたら……。			悪を悪として討たなかったのだと、わしを恨めた者は良い。しかしながら誰も恨めず、家族と再会できた者を、羨むこともできなかったとしたら……。			秘められし民の想い							
誰にも救われず、恨みを晴らすこともできないと感じ、心を絶望に染め上げ……獣に転化した、と。			誰にも救われず、恨みを晴らすこともできないと感じ、心を絶望に染め上げ……獣に転化した、と。			秘められし民の想い							
少なくとも、トンボの兄の事例はそうであろう。			少なくとも、トンボの兄の事例はそうであろう。			秘められし民の想い							
さらなる獣化を防ぐには、彼ら兄弟のように、絶望を抱えながらも、見逃されてきた者たちを探さねばならん。			さらなる獣化を防ぐには、彼ら兄弟のように、絶望を抱えながらも、見逃されてきた者たちを探さねばならん。			秘められし民の想い							
ゆえに、わしはドマ各地の集落を巡り、ひとりでも多くの民の声を聞いてこようと思う。			ゆえに、わしはドマ各地の集落を巡り、ひとりでも多くの民の声を聞いてこようと思う。			秘められし民の想い							
承知……。では、私は忍びたちと共に偽神獣の捜索を続けます。			承知……。では、私は忍びたちと共に偽神獣の捜索を続けます。			秘められし民の想い							
Forename、そなたも、折を見て再訪してくれると助かる。状況に進展があり次第、共有させてもらうゆえな……。			Forename、そなたも、折を見て再訪してくれると助かる。状況に進展があり次第、共有させてもらうゆえな……。			秘められし民の想い							
ドマ町人地のユウギリは、どこか心配そうにしている。			ドマ町人地のユウギリは、どこか心配そうにしている。			黄泉神降臨							
ユウギリはイサリ村に向かったヒエンの様子を見に行くという。冒険者はそれに同行することになった。紅玉海のイサリ村で「ヒエン」を探そう。			ユウギリはイサリ村に向かったヒエンの様子を見に行くという。冒険者はそれに同行することになった。紅玉海のイサリ村で「ヒエン」を探そう。			黄泉神降臨							
ヒエンを見つけた。彼はイサリ村の村人から警戒されていて話を聞けないというので、冒険者とユウギリが村人から、偽神獣やヒエンのことを聞きだすことになった。イサリ村で情報を集めよう。			ヒエンを見つけた。彼はイサリ村の村人から警戒されていて話を聞けないというので、冒険者とユウギリが村人から、偽神獣やヒエンのことを聞きだすことになった。イサリ村で情報を集めよう。			黄泉神降臨							
情報を集めたところ、キセイという者によって偽神獣は黄泉神イザナミとして崇められていて、ヒエンは避けられていることがわかった。イサリ村の「ヒエン」と話そう。			情報を集めたところ、キセイという者によって偽神獣は黄泉神イザナミとして崇められていて、ヒエンは避けられていることがわかった。イサリ村の「ヒエン」と話そう。			黄泉神降臨							
ヒエンと話した。ユウギリによるとキセイの集会が行われるというので、冒険者とともに潜り込んだ。そこでは、キセイが死者の霊魂を口寄せして、絶望を抱える民を慰めているのだった。イサリ村の「ヒエン」と再度話そう。			ヒエンと話した。ユウギリによるとキセイの集会が行われるというので、冒険者とともに潜り込んだ。そこでは、キセイが死者の霊魂を口寄せして、絶望を抱える民を慰めているのだった。イサリ村の「ヒエン」と再度話そう。			黄泉神降臨							
ヒエンと話したところ、近くで偽神獣による犠牲者が出てしまった。キセイと村人たちが現れ、黄泉神は死すべき者を黄泉国に送っていると言って、去っていった。イサリ村付近の「ヒエン」とさらに話そう。			ヒエンと話したところ、近くで偽神獣による犠牲者が出てしまった。キセイと村人たちが現れ、黄泉神は死すべき者を黄泉国に送っていると言って、去っていった。イサリ村付近の「ヒエン」とさらに話そう。			黄泉神降臨							
ヒエンと話した。ドマ町人地に戻り「ヒエン」と話そう。			ヒエンと話した。ドマ町人地に戻り「ヒエン」と話そう。			黄泉神降臨							
ヒエンと話した。彼は偽神獣の標的である捕虜交換の帰還者たちを帰燕館に匿うことにしたという。腕を磨いて、またユウギリを訪ねよう。※いずれかの遠隔物理DPSジョブのレベルが87以上になると、ドマ町人地のユウギリから次の遠隔物理DPSロールクエストを受注することができます。			ヒエンと話した。彼は偽神獣の標的である捕虜交換の帰還者たちを帰燕館に匿うことにしたという。腕を磨いて、またユウギリを訪ねよう。※いずれかの遠隔物理DPSジョブのレベルが87以上になると、ドマ町人地のユウギリから次の遠隔物理DPSロールクエストを受注することができます。			黄泉神降臨							
イサリ村でヒエンを探す			イサリ村でヒエンを探す			黄泉神降臨							
イサリ村で情報を集める			イサリ村で情報を集める			黄泉神降臨							
ヒエンと話す			ヒエンと話す			黄泉神降臨							
ヒエンと再度話す			ヒエンと再度話す			黄泉神降臨							
ヒエンとさらに話す			ヒエンとさらに話す			黄泉神降臨							
ドマ町人地のヒエンと話す			ドマ町人地のヒエンと話す			黄泉神降臨							
Forename殿。今のところ、偽神獣は発見できておらぬのだが、幸いその犠牲者や、新たに獣化する者は出ていない。			Forename殿。今のところ、偽神獣は発見できておらぬのだが、幸いその犠牲者や、新たに獣化する者は出ていない。			黄泉神降臨							
あれからヒエン様は精力的に、ドマの各地を回って、民の話に耳を傾けておられる。それが獣化を抑えることに、ひと役買っているのかもしれぬ。			あれからヒエン様は精力的に、ドマの各地を回って、民の話に耳を傾けておられる。それが獣化を抑えることに、ひと役買っているのかもしれぬ。			黄泉神降臨							
ただし、熱心なのは称えるべきではあるものの、帰りが遅くなりがちで、家臣としては心配が絶えなくてな。			ただし、熱心なのは称えるべきではあるものの、帰りが遅くなりがちで、家臣としては心配が絶えなくてな。			黄泉神降臨							
ちょうど、訪問先であるイサリ村に赴き、ヒエン様の様子を見に行こうと思っていたところ……。すまぬが、同行を願えるだろうか？			ちょうど、訪問先であるイサリ村に赴き、ヒエン様の様子を見に行こうと思っていたところ……。すまぬが、同行を願えるだろうか？			黄泉神降臨							
かたじけない。それではイサリ村に向かい、まずは「ヒエン」様を探そう。			かたじけない。それではイサリ村に向かい、まずは「ヒエン」様を探そう。			黄泉神降臨							
探すまでもなく、ヒエン様はすんなり見つかった。ご無事なようで何よりだ。			探すまでもなく、ヒエン様はすんなり見つかった。ご無事なようで何よりだ。			黄泉神降臨							
Forename、ユウギリ、いらぬ心配をかけたようで、すまない。だが、帰りが遅れたことには、少しばかり理由があってな。			Forename、ユウギリ、いらぬ心配をかけたようで、すまない。だが、帰りが遅れたことには、少しばかり理由があってな。			黄泉神降臨							
それというのも、この村の者たちがそろいもそろって、声をかけても頭を下げるばかりで、口を開いてくれぬのだ。理由は皆目わからぬがな……。			それというのも、この村の者たちがそろいもそろって、声をかけても頭を下げるばかりで、口を開いてくれぬのだ。理由は皆目わからぬがな……。			黄泉神降臨							
思えば、偽神獣が出現したのも、この村であった。これは何かあるのやもしれぬ……。			思えば、偽神獣が出現したのも、この村であった。これは何かあるのやもしれぬ……。			黄泉神降臨							
ふたりが来てくれたのは好都合だった。どうかそなたらで、村人から話を聞きだしてくれぬだろうか？偽神獣のこと、そして何故、わしを警戒するのかについてな。			ふたりが来てくれたのは好都合だった。どうかそなたらで、村人から話を聞きだしてくれぬだろうか？偽神獣のこと、そして何故、わしを警戒するのかについてな。			黄泉神降臨							
承知……。私は念のため変装して身元を隠しておきます。聞き込みを終え次第、ヒエン様のもとに戻りましょう。			承知……。私は念のため変装して身元を隠しておきます。聞き込みを終え次第、ヒエン様のもとに戻りましょう。			黄泉神降臨							
それでは、ふたりとも頼んだぞ。			それでは、ふたりとも頼んだぞ。			黄泉神降臨							
偽神獣のこと、そして何故、わしを警戒するのかについて、そなたとユウギリに、村人から聞きだしてもらいたい。聞き込みが済んだら報告を頼む。			偽神獣のこと、そして何故、わしを警戒するのかについて、そなたとユウギリに、村人から聞きだしてもらいたい。聞き込みが済んだら報告を頼む。			黄泉神降臨							
偽神獣だって？イサリ村には黄泉神(よもつかみ)イザナミ様が降臨されたのだ！決して「終末の獣」などという魔物ではない！			偽神獣だって？イサリ村には黄泉神(よもつかみ)イザナミ様が降臨されたのだ！決して「終末の獣」などという魔物ではない！			黄泉神降臨							
薄情なヒエン様とは違って、イザナミ様は我らの心を救ってくださる、慈悲深き神なのだ！			薄情なヒエン様とは違って、イザナミ様は我らの心を救ってくださる、慈悲深き神なのだ！			黄泉神降臨							
ああ、ヒエン様のことか……。俺は先の捕虜交換で帰国できた元徴用兵だからな、救ってくれた殿様には感謝しているぜ。			ああ、ヒエン様のことか……。俺は先の捕虜交換で帰国できた元徴用兵だからな、救ってくれた殿様には感謝しているぜ。			黄泉神降臨							
だが、この村は激しい弾圧を受けていたから……ヨツユを処刑しなかった殿様に、不満を抱いている者も多いんだ。特に親類縁者を強制徴用で喪った連中はな……。			だが、この村は激しい弾圧を受けていたから……ヨツユを処刑しなかった殿様に、不満を抱いている者も多いんだ。特に親類縁者を強制徴用で喪った連中はな……。			黄泉神降臨							
偽神獣についてお聞きしたいと……。あの化物になったのは、確かにこの村で暮らしていた女です。帝国に徴用された夫の帰りを、待ち続けていたんですが……。			偽神獣についてお聞きしたいと……。あの化物になったのは、確かにこの村で暮らしていた女です。帝国に徴用された夫の帰りを、待ち続けていたんですが……。			黄泉神降臨							
奇妙なのは、彼女の義母キセイの態度ですよ。もともと信心深い人だったんですが、化物になった義娘のことを、黄泉神(よもつかみ)イザナミ様になったのだと触れ回っているんです。			奇妙なのは、彼女の義母キセイの態度ですよ。もともと信心深い人だったんですが、化物になった義娘のことを、黄泉神(よもつかみ)イザナミ様になったのだと触れ回っているんです。			黄泉神降臨							
もちろん、私は信じちゃいませんよ？でも、キセイに影響されてイザナミ様と信じる者もいて……徒党を組んで、崇めたりしているんです。			もちろん、私は信じちゃいませんよ？でも、キセイに影響されてイザナミ様と信じる者もいて……徒党を組んで、崇めたりしているんです。			黄泉神降臨							
イサリ村には黄泉神イザナミ様が降臨されたのだ！薄情なヒエン様とは違って、我らの心を救ってくださる、慈悲深き神なのだ！			イサリ村には黄泉神イザナミ様が降臨されたのだ！薄情なヒエン様とは違って、我らの心を救ってくださる、慈悲深き神なのだ！			黄泉神降臨							
イサリ村には親類縁者を亡くした者が多い。そんな連中からしてみれば、ヨツユを処刑しなかった殿様は、不満の対象になっているんだろう。			イサリ村には親類縁者を亡くした者が多い。そんな連中からしてみれば、ヨツユを処刑しなかった殿様は、不満の対象になっているんだろう。			黄泉神降臨							
キセイを始め、あの化物のことを、黄泉神イザナミ様だと信じる者たちがいるんですよ。私は、信じちゃいませんけどね……。			キセイを始め、あの化物のことを、黄泉神イザナミ様だと信じる者たちがいるんですよ。私は、信じちゃいませんけどね……。			黄泉神降臨							
聞き込むほどに、由々しき事態になっていることがわかった。貴殿からも、ヒエン様に報告を頼む。			聞き込むほどに、由々しき事態になっていることがわかった。貴殿からも、ヒエン様に報告を頼む。			黄泉神降臨							
……なるほど、聞き込みに感謝する。どうりで皆、わしの前で口を閉ざすわけだ。だが、偽神獣を黄泉神イザナミとして崇めているとは……。			……なるほど、聞き込みに感謝する。どうりで皆、わしの前で口を閉ざすわけだ。だが、偽神獣を黄泉神イザナミとして崇めているとは……。			黄泉神降臨							
イザナミとは東方に伝わる、国を生んだとされる神の一柱。死者の世界である黄泉国(よもつくに)の主宰神でもあり、人に死を与えるといわれている。			イザナミとは東方に伝わる、国を生んだとされる神の一柱。死者の世界である黄泉国(よもつくに)の主宰神でもあり、人に死を与えるといわれている。			黄泉神降臨							
偽神獣を、崇めるべき神と信じる民がいるとなると、討伐にあたっての障害になりかねんな……。			偽神獣を、崇めるべき神と信じる民がいるとなると、討伐にあたっての障害になりかねんな……。			黄泉神降臨							
私は、その虚偽を広めた張本人、キセイが村々を巡り、死者の口寄せを行っていると聞きました。そして、まさにこれから、この村で集まりがあるとのこと。			私は、その虚偽を広めた張本人、キセイが村々を巡り、死者の口寄せを行っていると聞きました。そして、まさにこれから、この村で集まりがあるとのこと。			黄泉神降臨							
その集会……覗いておきたいところだが、わしが向かって、いらぬ警戒を招くのは避けたい。続けざまになってすまぬが、そなたらに調査を頼めるだろうか？			その集会……覗いておきたいところだが、わしが向かって、いらぬ警戒を招くのは避けたい。続けざまになってすまぬが、そなたらに調査を頼めるだろうか？			黄泉神降臨							
キセイの集会は村の酒場で行われる。聴衆に紛れ、潜り込むことにしよう。			キセイの集会は村の酒場で行われる。聴衆に紛れ、潜り込むことにしよう。			黄泉神降臨							
黄泉国におわす霊魂よ、わが身に降り給えーーーッ！			黄泉国におわす霊魂よ、わが身に降り給えーーーッ！			黄泉神降臨							
(-野太い男のような声-)…………アキツ。			(-野太い男のような声-)…………アキツ。			黄泉神降臨							
親父……なのか……？			親父……なのか……？			黄泉神降臨							
(-野太い男のような声-)漁網は……しっかり……手入れしているか？			(-野太い男のような声-)漁網は……しっかり……手入れしているか？			黄泉神降臨							
お、親父……！ああ、教わったように漁網は大事にしている。おかげで漁は順調だから、こっちのことは心配しないでくれ。			お、親父……！ああ、教わったように漁網は大事にしている。おかげで漁は順調だから、こっちのことは心配しないでくれ。			黄泉神降臨							
照れくさくて言えなかったけど、親父に伝えたかったことがあるんだ……。あんたの息子であること、ずっと誇りに思っているよ。			照れくさくて言えなかったけど、親父に伝えたかったことがあるんだ……。あんたの息子であること、ずっと誇りに思っているよ。			黄泉神降臨							
(-野太い男のような声-)俺もだ、アキツ……どうかお前は……俺のぶんまで……海とともに……暮らしてくれ……。			(-野太い男のような声-)俺もだ、アキツ……どうかお前は……俺のぶんまで……海とともに……暮らしてくれ……。			黄泉神降臨							
