不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			黎明の死闘							
シャーレアンからの要請に対する返答は、私からグランドカンパニー・エオルゼアに共有しましょう。「暁」の皆様は……。			シャーレアンからの要請に対する返答は、私からグランドカンパニー・エオルゼアに共有しましょう。「暁」の皆様は……。			黎明の死闘							
(-？？？？-)た、たたたたた、大変でふっち～！			(-？？？？-)た、たたたたた、大変でふっち～！			黎明の死闘							
あなたは……仮宿からの使いですね？			あなたは……仮宿からの使いですね？			黎明の死闘							
イクサル族のもとへ向かった仲間から、さっそく緊急の報せが入ったのでふっち……！ゼルファトルにテロフォロイの軍勢が現れたのでふっち！			イクサル族のもとへ向かった仲間から、さっそく緊急の報せが入ったのでふっち……！ゼルファトルにテロフォロイの軍勢が現れたのでふっち！			黎明の死闘							
しかも、敵には帝国兵だけじゃなく、誘拐されていた子たちや、「異形の蛮神」までが含まれていて、イクサル族の迎撃部隊は、あっという間に、蹴散らされてしまったそうでふっち！			しかも、敵には帝国兵だけじゃなく、誘拐されていた子たちや、「異形の蛮神」までが含まれていて、イクサル族の迎撃部隊は、あっという間に、蹴散らされてしまったそうでふっち！			黎明の死闘							
なんてこと……。それじゃあ、ゼルファトルのイクサル族は……！			なんてこと……。それじゃあ、ゼルファトルのイクサル族は……！			黎明の死闘							
いや、居留地に残っていた子たちは、無事でふっち……！どういうわけか、敵の軍勢はゼルファトルを素通りして、そのまま西に抜けていったそうなのでふっち！			いや、居留地に残っていた子たちは、無事でふっち……！どういうわけか、敵の軍勢はゼルファトルを素通りして、そのまま西に抜けていったそうなのでふっち！			黎明の死闘							
ゼルファトルの西方というと……クルザスか？			ゼルファトルの西方というと……クルザスか？			黎明の死闘							
カヌ・エ様……まさにそのテロフォロイの軍勢について、イシュガルドから報告が！敵軍は、クルザス東部高地も通過し、現在も進軍中だそうです。			カヌ・エ様……まさにそのテロフォロイの軍勢について、イシュガルドから報告が！敵軍は、クルザス東部高地も通過し、現在も進軍中だそうです。			黎明の死闘							
進軍方向から、目指すはおそらく「カルテノー平原」とのこと！敵の目的は不明なれど、アイメリク様はすでに、軍の派遣を決断されたと……。			進軍方向から、目指すはおそらく「カルテノー平原」とのこと！敵の目的は不明なれど、アイメリク様はすでに、軍の派遣を決断されたと……。			黎明の死闘							
双蛇党も、すぐに兵を送ると返答を。今こそ、グランドカンパニー・エオルゼアの真価を、発揮するときです！			双蛇党も、すぐに兵を送ると返答を。今こそ、グランドカンパニー・エオルゼアの真価を、発揮するときです！			黎明の死闘							
こんなときに……などと言っていられないね。どれだけ心挫けようと、それを理由に足を止めてはいけない。「暁」も戦闘準備を整え、カルテノー平原へ向かおう……！			こんなときに……などと言っていられないね。どれだけ心挫けようと、それを理由に足を止めてはいけない。「暁」も戦闘準備を整え、カルテノー平原へ向かおう……！			黎明の死闘							
その前に、もうひとつ情報があるでふっち！なんでも敵の軍勢を率いていたのは、ローブの男だったそうでふっち！			その前に、もうひとつ情報があるでふっち！なんでも敵の軍勢を率いていたのは、ローブの男だったそうでふっち！			黎明の死闘							
テロフォロイの軍勢を操る、ローブの男……まず間違いなく、ファダニエルだろうな。			テロフォロイの軍勢を操る、ローブの男……まず間違いなく、ファダニエルだろうな。			黎明の死闘							
あいつ、また性懲りもなく……！			あいつ、また性懲りもなく……！			黎明の死闘							
皆様、カルテノー平原に向かうようでしたら、双蛇党の飛空艇をご利用ください……！ランディングに準備させます。			皆様、カルテノー平原に向かうようでしたら、双蛇党の飛空艇をご利用ください……！ランディングに準備させます。			黎明の死闘							
それでは私たちは、ランディングのそば……カーラインカフェで、飛空艇の出港準備が整うのを待とう！			それでは私たちは、ランディングのそば……カーラインカフェで、飛空艇の出港準備が整うのを待とう！			黎明の死闘							
カルテノー平原へは、双蛇党の飛空艇をご利用ください。急ぎ準備を整えますので、カーラインカフェなどでお待ちを……。			カルテノー平原へは、双蛇党の飛空艇をご利用ください。急ぎ準備を整えますので、カーラインカフェなどでお待ちを……。			黎明の死闘							
石の家にも連絡しておいた。サンクレッドたちも、現地に向かうそうだ。			石の家にも連絡しておいた。サンクレッドたちも、現地に向かうそうだ。			黎明の死闘							
カフェの入口で、アルフィノが待ってるわ。それから、もうひとり……アルフィノとForenameに大事な用があるそうよ。			カフェの入口で、アルフィノが待ってるわ。それから、もうひとり……アルフィノとForenameに大事な用があるそうよ。			黎明の死闘							
…………出立の前に、少し顔を貸せ。			…………出立の前に、少し顔を貸せ。			黎明の死闘							
ああ、Forename……。私も驚いたのだが……フォルドラが私たちを探して、グリダニアまで来てくれたらしい。			ああ、Forename……。私も驚いたのだが……フォルドラが私たちを探して、グリダニアまで来てくれたらしい。			黎明の死闘							
こちらの状況は伝えたのだが、どうも、至急の用件があるらしく……。			こちらの状況は伝えたのだが、どうも、至急の用件があるらしく……。			黎明の死闘							
……時間は取らせない。すぐに済むから、ついてこい。			……時間は取らせない。すぐに済むから、ついてこい。			黎明の死闘							
パガルザンのときのように居住地を狙うんじゃなく、カルテノー平原を目指しているのには、何か目的があるはず……戦場での敵軍全体の動きにも、注意を払っておかないとな。			パガルザンのときのように居住地を狙うんじゃなく、カルテノー平原を目指しているのには、何か目的があるはず……戦場での敵軍全体の動きにも、注意を払っておかないとな。			黎明の死闘							
フォルドラだけを付き添いにしていたところを見ると、医師の許可も取らず、病院を抜け出してきたのだろうね。まったく、無茶をする……。			フォルドラだけを付き添いにしていたところを見ると、医師の許可も取らず、病院を抜け出してきたのだろうね。まったく、無茶をする……。			黎明の死闘							
……そうまでして、アレンヴァルドが、友と見込んだ私に言葉を届けてくれたんだ……。私は、私が信じる戦いをして……私だけの答えを見つけてみせる。			……そうまでして、アレンヴァルドが、友と見込んだ私に言葉を届けてくれたんだ……。私は、私が信じる戦いをして……私だけの答えを見つけてみせる。			黎明の死闘							
…………うん。何があったかは、あとでゆっくり聞かせて。それだけ良い顔をしているなら、戦いの準備は万端そうね。			…………うん。何があったかは、あとでゆっくり聞かせて。それだけ良い顔をしているなら、戦いの準備は万端そうね。			黎明の死闘							
サンクレッドたちも、現地に向かうと言っていたわ。双蛇党の伝令によれば、アマルジャ族やコボルド族なんかも、各国の軍勢とともに、カルテノーを目指しているそうよ。			サンクレッドたちも、現地に向かうと言っていたわ。双蛇党の伝令によれば、アマルジャ族やコボルド族なんかも、各国の軍勢とともに、カルテノーを目指しているそうよ。			黎明の死闘							
彼らはアラミゴでの誓いを守ってくれた。その信頼に応えるためにも、ひとりでも多く、テンパードにされた誘拐の被害者たちを救い出さなくちゃね。			彼らはアラミゴでの誓いを守ってくれた。その信頼に応えるためにも、ひとりでも多く、テンパードにされた誘拐の被害者たちを救い出さなくちゃね。			黎明の死闘							
飛空艇も、すぐに飛び立てるそうよ。さあ、カルテノー平原へと向かいましょう！			飛空艇も、すぐに飛び立てるそうよ。さあ、カルテノー平原へと向かいましょう！			黎明の死闘							
これより物語が大きく進展するため、クエストバトルに続けて、カットシーンが連続して再生されます。十分にプレイ時間を確保して進めることを、お勧めいたします。			これより物語が大きく進展するため、クエストバトルに続けて、カットシーンが連続して再生されます。十分にプレイ時間を確保して進めることを、お勧めいたします。			黎明の死闘							
なお、このクエストバトルでは進行度が保存され、ある程度まで進めてから敗北した場合、途中から再挑戦することができます。			なお、このクエストバトルでは進行度が保存され、ある程度まで進めてから敗北した場合、途中から再挑戦することができます。			黎明の死闘							
ほかのクエストバトルに挑戦したり、ログアウトすると、保存された進行度は破棄されますので、ご注意ください。			ほかのクエストバトルに挑戦したり、ログアウトすると、保存された進行度は破棄されますので、ご注意ください。			黎明の死闘							
本クエストを進行するためには、現在のクラス・ジョブが、レベル80以上の、ファイター、もしくはソーサラーである必要があります。			本クエストを進行するためには、現在のクラス・ジョブが、レベル80以上の、ファイター、もしくはソーサラーである必要があります。			黎明の死闘							
「暁」が散開していく中  アリゼーたちは帝国軍と  戦闘を続けていた――			「暁」が散開していく中  アリゼーたちは帝国軍と  戦闘を続けていた――			黎明の死闘							
みんな、見えているわね？			みんな、見えているわね？			黎明の死闘							
ええ、まるで何かの目印みたい。あの柱は、いったい……？			ええ、まるで何かの目印みたい。あの柱は、いったい……？			黎明の死闘							
この目が……より深くエーテルを見通せるようになってから、カルテノー平原へと赴いたことはなかったけど。今この地に立ってみて、気づいたことがあるの。			この目が……より深くエーテルを見通せるようになってから、カルテノー平原へと赴いたことはなかったけど。今この地に立ってみて、気づいたことがあるの。			黎明の死闘							
ここは、アジムステップにあった「楔石の虚」と同じ。いえ、あれ以上に各地の地脈が集まっている、エーテルの流れの結節点よ！			ここは、アジムステップにあった「楔石の虚」と同じ。いえ、あれ以上に各地の地脈が集まっている、エーテルの流れの結節点よ！			黎明の死闘							
ファダニエルが埋め込んだ、あの光の柱は……地脈にまで伸び、結節点に食い込んでいる。			ファダニエルが埋め込んだ、あの光の柱は……地脈にまで伸び、結節点に食い込んでいる。			黎明の死闘							
敵の狙いが読めたわ……。光の柱を、異形の蛮神たちに破壊させることで、連鎖的に結節点を破壊するつもりよ！			敵の狙いが読めたわ……。光の柱を、異形の蛮神たちに破壊させることで、連鎖的に結節点を破壊するつもりよ！			黎明の死闘							
そうなると、地脈の流れが乱れてしまう。大地震が起きたり、この一帯が死の大地になる可能性も……！みんな、何としても破壊を食い止めて！			そうなると、地脈の流れが乱れてしまう。大地震が起きたり、この一帯が死の大地になる可能性も……！みんな、何としても破壊を食い止めて！			黎明の死闘							
いかなる企みによって、結節点を破壊するのか……。見通せぬことも多いですが、今はただ阻止するのみ。地脈の結節点を破壊されぬよう、守り抜きましょう……！			いかなる企みによって、結節点を破壊するのか……。見通せぬことも多いですが、今はただ阻止するのみ。地脈の結節点を破壊されぬよう、守り抜きましょう……！			黎明の死闘							
一方  そのころグ・ラハ・ティアたちは異形の蛮神  ルナラーヴァナと対峙していた――			一方  そのころグ・ラハ・ティアたちは異形の蛮神  ルナラーヴァナと対峙していた――			黎明の死闘							
一方  そのころ冒険者たちは異形の蛮神  ルナイフリートと対峙していた――			一方  そのころ冒険者たちは異形の蛮神  ルナイフリートと対峙していた――			黎明の死闘							
正気に戻った人たちは、各国の術士が様子を見てくれるそうよ。念のため、しばらく経過を観察してから、それぞれの種族のもとに送り返すって。			正気に戻った人たちは、各国の術士が様子を見てくれるそうよ。念のため、しばらく経過を観察してから、それぞれの種族のもとに送り返すって。			黎明の死闘							
すべての者が、おなじ月を見上げた……。あの光景を、私は決して忘れないよ。			すべての者が、おなじ月を見上げた……。あの光景を、私は決して忘れないよ。			黎明の死闘							
どうにも、ファダニエルの狙いが読めないな。戦場に出てきたと思えば、大した介入をするわけでもなく、あっさりと引き下がって……。			どうにも、ファダニエルの狙いが読めないな。戦場に出てきたと思えば、大した介入をするわけでもなく、あっさりと引き下がって……。			黎明の死闘							
とてもじゃないが、作戦の成功にこだわってるようには見えなかった。ここでの戦いがどうなろうが、大局は変わらない……か？			とてもじゃないが、作戦の成功にこだわってるようには見えなかった。ここでの戦いがどうなろうが、大局は変わらない……か？			黎明の死闘							
ボナンザ号に、この人数が乗ると、ぎゅうぎゅう詰めになるからな……。イシュガルドの飛空艇に乗せてもらえて助かった。			ボナンザ号に、この人数が乗ると、ぎゅうぎゅう詰めになるからな……。イシュガルドの飛空艇に乗せてもらえて助かった。			黎明の死闘							
敵が、再度カルテノー平原に進軍してこないとも限らないわ。結節点のことも気になるし、同盟軍にはたらきかけて、しばらく監視をすべきでしょうね。			敵が、再度カルテノー平原に進軍してこないとも限らないわ。結節点のことも気になるし、同盟軍にはたらきかけて、しばらく監視をすべきでしょうね。			黎明の死闘							
カルテノー平原の地下といえば、オメガが封じられていた場所。アラグ帝国は、平原に結節点があることを知って、オメガ封印の地とすることを決めたのでしょう……。			カルテノー平原の地下といえば、オメガが封じられていた場所。アラグ帝国は、平原に結節点があることを知って、オメガ封印の地とすることを決めたのでしょう……。			黎明の死闘							
……エオルゼアから誘拐したテンパード、そして異形の蛮神が、敵軍の主力を占めていた。規模こそ大きかったが、帝国軍の被害は少ないといえる。			……エオルゼアから誘拐したテンパード、そして異形の蛮神が、敵軍の主力を占めていた。規模こそ大きかったが、帝国軍の被害は少ないといえる。			黎明の死闘							
信徒は「使い捨て」ってか……気に食わない連中だ。			信徒は「使い捨て」ってか……気に食わない連中だ。			黎明の死闘							
皆さん、ご無事で何よりでっす！しかし……盟主の方が石の家にいるのを見ると、なんだか緊張しまっすね。			皆さん、ご無事で何よりでっす！しかし……盟主の方が石の家にいるのを見ると、なんだか緊張しまっすね。			黎明の死闘							
君たちを護送する役目は、無事に果たせたようだな。牽引してきた「暁」の飛空艇も、都市の外れに停泊させてある。後ほど、回収してくれ。			君たちを護送する役目は、無事に果たせたようだな。牽引してきた「暁」の飛空艇も、都市の外れに停泊させてある。後ほど、回収してくれ。			黎明の死闘							
ああ、イシュガルドの飛空艇に乗せてくれたおかげで、帰路の間、ゆっくりと休むことができた……。しかも、議長自ら帯同してくれるとはな。			ああ、イシュガルドの飛空艇に乗せてくれたおかげで、帰路の間、ゆっくりと休むことができた……。しかも、議長自ら帯同してくれるとはな。			黎明の死闘							
帰還の方向も一緒だからな。それに何より、勝手気ままな放浪生活を辞めて、まっとうな仕事に就くことになった、友人の様子が気になってね。			帰還の方向も一緒だからな。それに何より、勝手気ままな放浪生活を辞めて、まっとうな仕事に就くことになった、友人の様子が気になってね。			黎明の死闘							
新たな職場に、だいぶ馴染んでいる様子で安心したよ。			新たな職場に、だいぶ馴染んでいる様子で安心したよ。			黎明の死闘							
フン……東方での旅暮らしに飽きただけだ……。			フン……東方での旅暮らしに飽きただけだ……。			黎明の死闘							
カルテノーでは、我らの勝利に終わったが、敵が、手持ちの兵力のすべてを使い切ったとは思えない。さらなる拉致の企みや異形の蛮神召喚の危険は、まだあるだろう。			カルテノーでは、我らの勝利に終わったが、敵が、手持ちの兵力のすべてを使い切ったとは思えない。さらなる拉致の企みや異形の蛮神召喚の危険は、まだあるだろう。			黎明の死闘							
……だが、それらの対処は、私たちグランドカンパニー・エオルゼアに任せてほしい。これは、エオルゼア統合司令部の総意だ。			……だが、それらの対処は、私たちグランドカンパニー・エオルゼアに任せてほしい。これは、エオルゼア統合司令部の総意だ。			黎明の死闘							
我々は、全力をもって異形の蛮神を抑えてみせる。その間に「暁の血盟」には、「終末の塔」の攻略方法そのものを探ってもらいたいのだ。			我々は、全力をもって異形の蛮神を抑えてみせる。その間に「暁の血盟」には、「終末の塔」の攻略方法そのものを探ってもらいたいのだ。			黎明の死闘							
たしかに、あの塔をどうにかしないかぎり、異形の蛮神という脅威を、完全に拭い去れないわ……。			たしかに、あの塔をどうにかしないかぎり、異形の蛮神という脅威を、完全に拭い去れないわ……。			黎明の死闘							
そして「暁」には、エーテル学に通じた者も多い。何らかの方法でエーテルを集める塔の機構を解明するには、私たちが適役かもしれないわね。			そして「暁」には、エーテル学に通じた者も多い。何らかの方法でエーテルを集める塔の機構を解明するには、私たちが適役かもしれないわね。			黎明の死闘							
加えて、身軽だしな。エオルゼア統合司令部や東方連合に有効な情報がないなら、必然、それ以外の地域や機関をあたることになる。			加えて、身軽だしな。エオルゼア統合司令部や東方連合に有効な情報がないなら、必然、それ以外の地域や機関をあたることになる。			黎明の死闘							
各国直轄の兵士が乗り込むより、俺たちだけの方が、やりやすいだろう。			各国直轄の兵士が乗り込むより、俺たちだけの方が、やりやすいだろう。			黎明の死闘							
ああ、私たちも、まさにそういった理由で決断した。このあと、どれほどの激戦が待ち受けていようとも、君たちに託すのならば……信じて待てる、とね。			ああ、私たちも、まさにそういった理由で決断した。このあと、どれほどの激戦が待ち受けていようとも、君たちに託すのならば……信じて待てる、とね。			黎明の死闘							
ありがとう……。これで皆、憂いなく戦い抜けるだろう。			ありがとう……。これで皆、憂いなく戦い抜けるだろう。			黎明の死闘							
それでは、私はイシュガルドへと戻る。グランドカンパニー・エオルゼアの助力が必要なときは、いつでも申し付けてくれ。			それでは、私はイシュガルドへと戻る。グランドカンパニー・エオルゼアの助力が必要なときは、いつでも申し付けてくれ。			黎明の死闘							
……テロフォロイが何を企んでいるにせよ、「終末の塔」が、鍵のひとつであることは間違いないだろう。			……テロフォロイが何を企んでいるにせよ、「終末の塔」が、鍵のひとつであることは間違いないだろう。			黎明の死闘							
塔の攻略が叶えば、いよいよテロフォロイも、本気で、我らに牙を向いてくるに違いない。			塔の攻略が叶えば、いよいよテロフォロイも、本気で、我らに牙を向いてくるに違いない。			黎明の死闘							
そのときから、きっと始まるのだろう。私たち……いや、「君」と、帝都の最奥にいるであろう「奴」との、最後の戦いが。			そのときから、きっと始まるのだろう。私たち……いや、「君」と、帝都の最奥にいるであろう「奴」との、最後の戦いが。			黎明の死闘							
あるいは……「終末」の災厄、そのものとの死闘が……！			あるいは……「終末」の災厄、そのものとの死闘が……！			黎明の死闘							
それで、具体的にはどうしましょうか？サンクレッドのいうとおり、知ってる範囲に答えがないなら、私たちが行くべきは……			それで、具体的にはどうしましょうか？サンクレッドのいうとおり、知ってる範囲に答えがないなら、私たちが行くべきは……			黎明の死闘							
……シャーレアン本国。			……シャーレアン本国。			黎明の死闘							
哲学者議会の不可解な言動が、本当に今回の件と関連しているのかは、まだわからない。			哲学者議会の不可解な言動が、本当に今回の件と関連しているのかは、まだわからない。			黎明の死闘							
だが、ただならない事態が進行してるのは確実だろう。じゃなきゃ……アルフィノとアリゼーが信頼してる父親が、あんな突き放し方をしないと思うんだ。			だが、ただならない事態が進行してるのは確実だろう。じゃなきゃ……アルフィノとアリゼーが信頼してる父親が、あんな突き放し方をしないと思うんだ。			黎明の死闘							
……同意いたします。我らが故郷は、あまねく知識の集積者。今、常ならぬ動きをしているのであれば、必ずや意味がある。			……同意いたします。我らが故郷は、あまねく知識の集積者。今、常ならぬ動きをしているのであれば、必ずや意味がある。			黎明の死闘							
そうでなくとも、かの地はエーテル研究の最前線です。塔を分析するにあたって有用な情報も手に入りましょう。			そうでなくとも、かの地はエーテル研究の最前線です。塔を分析するにあたって有用な情報も手に入りましょう。			黎明の死闘							
お前らがそう決めたなら、従うさ。どこであれ、俺は自分の思うように槍を振るうだけだ。			お前らがそう決めたなら、従うさ。どこであれ、俺は自分の思うように槍を振るうだけだ。			黎明の死闘							
お前もそれでいいか？			お前もそれでいいか？			黎明の死闘							
何と言う？			何と言う？			黎明の死闘							
行こう、シャーレアン本国に！			行こう、シャーレアン本国に！			黎明の死闘							
フルシュノは許さない……			フルシュノは許さない……			黎明の死闘							
ほかの場所がいいなぁ			ほかの場所がいいなぁ			黎明の死闘							
ああ……！そしてきっと、テロフォロイの陰謀を砕く方法を見つけるんだ！			ああ……！そしてきっと、テロフォロイの陰謀を砕く方法を見つけるんだ！			黎明の死闘							
ふふ、なによそれ！……でも、心配してくれて、ありがとね。			ふふ、なによそれ！……でも、心配してくれて、ありがとね。			黎明の死闘							
ええそうよ……あっちがとことん引きこもる気なら、こっちから勢いよく乗り込んでやろうじゃない！			ええそうよ……あっちがとことん引きこもる気なら、こっちから勢いよく乗り込んでやろうじゃない！			黎明の死闘							
順番にな。せっかくクルルが機会を作ってくれそうなんだ、シャーレアンで情報を集めてから、ほかを調べるとしよう。			順番にな。せっかくクルルが機会を作ってくれそうなんだ、シャーレアンで情報を集めてから、ほかを調べるとしよう。			黎明の死闘							
それじゃあ、ひとまずはクルルからの連絡を待つとして……ひとつ、今のうちに調べておきたいことがあるの。つきあってもらえるかしら？			それじゃあ、ひとまずはクルルからの連絡を待つとして……ひとつ、今のうちに調べておきたいことがあるの。つきあってもらえるかしら？			黎明の死闘							
……「終末の塔」がらみか？			……「終末の塔」がらみか？			黎明の死闘							
ええ、ちょっと嫌な予想があって。なるべく早く実態を把握しておきたいのよ……。			ええ、ちょっと嫌な予想があって。なるべく早く実態を把握しておきたいのよ……。			黎明の死闘							
エモートアクション「静寂を促す」を覚えた！			エモートアクション「静寂を促す」を覚えた！			黎明の死闘							
カストルム・オリエンスのアルフィノは、アリゼーたちと合流したいようだ。			カストルム・オリエンスのアルフィノは、アリゼーたちと合流したいようだ。			知の集積者							
グリダニアのアリゼーと話す			グリダニアのアリゼーと話す			知の集積者							
シルフの仮宿のフリクシオと話す			シルフの仮宿のフリクシオと話す			知の集積者							
豊穣神祭壇の物静かな道士と話す			豊穣神祭壇の物静かな道士と話す			知の集積者							
カヌ・エ・センナと話す			カヌ・エ・センナと話す			知の集積者							
アリゼーと話す			アリゼーと話す			知の集積者							
海雄旅団の解散後、俺はフリーの傭兵をやっていたんだが、それも、何と戦うべきかを自分で決めたかったからだ。組織に属しながら、希望が叶うってのはありがたいぜ。			海雄旅団の解散後、俺はフリーの傭兵をやっていたんだが、それも、何と戦うべきかを自分で決めたかったからだ。組織に属しながら、希望が叶うってのはありがたいぜ。			知の集積者							
元クリスタルブレイブの仲間といえば……エルグムスもいたわね。遠方の任務ばかりで、なかなか石の家に顔を出さないけど、彼の話も聞いてみたかったわ。			元クリスタルブレイブの仲間といえば……エルグムスもいたわね。遠方の任務ばかりで、なかなか石の家に顔を出さないけど、彼の話も聞いてみたかったわ。			知の集積者							
さて、ふたりの話も聞けたことだし……約束どおりグリダニアへ向かって、アリゼーたちと合流しよう。			さて、ふたりの話も聞けたことだし……約束どおりグリダニアへ向かって、アリゼーたちと合流しよう。			知の集積者							
リオルとアリアヌから聞かせてもらった話は、道中、意見書にまとめておいた。あとは、アリゼーたちの報告が聞ければ……。			リオルとアリアヌから聞かせてもらった話は、道中、意見書にまとめておいた。あとは、アリゼーたちの報告が聞ければ……。			知の集積者							
アリゼーが、すごく張り切って、クリスタルブレイブ離脱者の捜索を進めてくれたんだよ。当事者でなくても、彼女なりに思うところがあったんだろうな。			アリゼーが、すごく張り切って、クリスタルブレイブ離脱者の捜索を進めてくれたんだよ。当事者でなくても、彼女なりに思うところがあったんだろうな。			知の集積者							
ちょうどよかった、こっちも今着いたところよ。タタルから情報をもらえたし、頼れるツテもあったから、意外と早く、元クリスタルブレイブの人たちを見つけられたわ。			ちょうどよかった、こっちも今着いたところよ。タタルから情報をもらえたし、頼れるツテもあったから、意外と早く、元クリスタルブレイブの人たちを見つけられたわ。			知の集積者							
聞き出せた内容は、メモにまとめてあるけど……。アルフィノにとっては、かなり厳しい意見も、混じってると思う。			聞き出せた内容は、メモにまとめてあるけど……。アルフィノにとっては、かなり厳しい意見も、混じってると思う。			知の集積者							
……それも、まぎれもない私の過去だよ。そこから目を背けていては、前には進めない。気にせず、渡してくれ。			……それも、まぎれもない私の過去だよ。そこから目を背けていては、前には進めない。気にせず、渡してくれ。			知の集積者							
私は、意見書のまとめに入ろう。すぐに完成させるので、皆は先に「シルフの仮宿」にいる、フリクシオ長老のもとへと向かってくれ。			私は、意見書のまとめに入ろう。すぐに完成させるので、皆は先に「シルフの仮宿」にいる、フリクシオ長老のもとへと向かってくれ。			知の集積者							
先に「シルフの仮宿」の長である、フリクシオ長老のもとへと向かってくれ。私も、すぐに意見書をまとめて向かうよ。			先に「シルフの仮宿」の長である、フリクシオ長老のもとへと向かってくれ。私も、すぐに意見書をまとめて向かうよ。			知の集積者							
長老とはアラミゴの会談でも顔を合わせてるが、直接、話をさせてもらうのは初めてだ。シルフ族との交流……楽しみだな！			長老とはアラミゴの会談でも顔を合わせてるが、直接、話をさせてもらうのは初めてだ。シルフ族との交流……楽しみだな！			知の集積者							
