イディルシャイアのロウェナは、帰り支度をしているようだ。			イディルシャイアのロウェナは、帰り支度をしているようだ。			その名をアニマウェポン							
長年の研究の末、俺たちは、ついに「人造精霊」を創造することができたんです。			長年の研究の末、俺たちは、ついに「人造精霊」を創造することができたんです。			その名をアニマウェポン							
……でも、生まれた命は育つことなく消え、残されるのは輝きを失ったクズ石ばかり……。実らぬ成果に絶望したのか、師匠は失踪しました……。			……でも、生まれた命は育つことなく消え、残されるのは輝きを失ったクズ石ばかり……。実らぬ成果に絶望したのか、師匠は失踪しました……。			その名をアニマウェポン							
でも、俺は諦めたくなかった……。だから故郷を出て、この身ひとつでエオルゼアまでやってきた！この崇高な研究を成功させるために！			でも、俺は諦めたくなかった……。だから故郷を出て、この身ひとつでエオルゼアまでやってきた！この崇高な研究を成功させるために！			その名をアニマウェポン							
魔法生物の権威の助けがあれば、今度こそ……！酒臭いオジサンよりも、はるかに価値のある美しい命を創りだすことができる！			魔法生物の権威の助けがあれば、今度こそ……！酒臭いオジサンよりも、はるかに価値のある美しい命を創りだすことができる！			その名をアニマウェポン							
ペラペラペラペラ話が長げェンだよ！何が人命より重要だ？　何が崇高な研究だ……？黙って聞いてりゃなンのこたぁねェ、ガキの泣き言じゃねェか！			ペラペラペラペラ話が長げェンだよ！何が人命より重要だ？　何が崇高な研究だ……？黙って聞いてりゃなンのこたぁねェ、ガキの泣き言じゃねェか！			その名をアニマウェポン							
オレがオレがと一丁前に語ってやがるが、困難にブチ当たると、すぐに他人を頼りやがる……。最近の若造にゃ、ヘドが出るぜ。			オレがオレがと一丁前に語ってやがるが、困難にブチ当たると、すぐに他人を頼りやがる……。最近の若造にゃ、ヘドが出るぜ。			その名をアニマウェポン							
自分の力で、新しい手法を考えようとは思わねェのか！？オレだったら他人のマネゴトなんかしねぇ。			自分の力で、新しい手法を考えようとは思わねェのか！？オレだったら他人のマネゴトなんかしねぇ。			その名をアニマウェポン							
……例えば、武器を触媒にして、「人造精霊」とやらの命が散る前に、封じ込めるってのはどうだ。そいつの自由はなくなるが、死にもしねェ。			……例えば、武器を触媒にして、「人造精霊」とやらの命が散る前に、封じ込めるってのはどうだ。そいつの自由はなくなるが、死にもしねェ。			その名をアニマウェポン							
それに、事が上手くいって「人造精霊」が育ちでもしたら、その武器は「自ら考えて使い手を助ける武器」となる……！命を創りだすことだけじゃねぇ、こういうのが創造ってヤツだろ！			それに、事が上手くいって「人造精霊」が育ちでもしたら、その武器は「自ら考えて使い手を助ける武器」となる……！命を創りだすことだけじゃねぇ、こういうのが創造ってヤツだろ！			その名をアニマウェポン							
なっ、なんて、発想なんだ……。自ら思考する武器だなんて、考えたことすら……。			なっ、なんて、発想なんだ……。自ら思考する武器だなんて、考えたことすら……。			その名をアニマウェポン							
……儲かりそうね、それ。			……儲かりそうね、それ。			その名をアニマウェポン							
面白そうな話じゃない。完成したら、間違いなく大儲けできるわよ。……ゲロルト、あんたアルダシールを手伝いなさい。			面白そうな話じゃない。完成したら、間違いなく大儲けできるわよ。……ゲロルト、あんたアルダシールを手伝いなさい。			その名をアニマウェポン							
はァ！？　ふ……ふざけンじゃねェぞ！なンでオレが、クソガキの面倒をみなきゃならねェンだ！それに、さっきのは例えだ、例え！			はァ！？　ふ……ふざけンじゃねェぞ！なンでオレが、クソガキの面倒をみなきゃならねェンだ！それに、さっきのは例えだ、例え！			その名をアニマウェポン							
借金のこと、忘れたわけじゃないんでしょうね？あんたたちが見事に「人造精霊」を武器に込めて商品化できれば、借金をチャラにしてあげてもいいわ。			借金のこと、忘れたわけじゃないんでしょうね？あんたたちが見事に「人造精霊」を武器に込めて商品化できれば、借金をチャラにしてあげてもいいわ。			その名をアニマウェポン							
……いいこと、アルダシール。このハゲはね、これでもエオルゼア随一の武具職人なの。きっと「人造精霊」を込めることができる武器を作れるはず。			……いいこと、アルダシール。このハゲはね、これでもエオルゼア随一の武具職人なの。きっと「人造精霊」を込めることができる武器を作れるはず。			その名をアニマウェポン							
そして、こっちの冒険者……Forenameは、現代の英雄と呼ばれる逸材。できた武器を振るって確かめるにはもってこいよ。			そして、こっちの冒険者……Forenameは、現代の英雄と呼ばれる逸材。できた武器を振るって確かめるにはもってこいよ。			その名をアニマウェポン							
ふたりの逸材の力を借りれば、新たな武器……そうね、「アニマウェポン」とでも名付けましょうか。それを完成させることも夢じゃないわ。			ふたりの逸材の力を借りれば、新たな武器……そうね、「アニマウェポン」とでも名付けましょうか。それを完成させることも夢じゃないわ。			その名をアニマウェポン							
観念なさいな、ここに居合わせたのも運命よ。それに「自ら考えて使い手を助ける武器」が手に入れば、あんた自身にとっても、これ以上ない報酬になるでしょう？			観念なさいな、ここに居合わせたのも運命よ。それに「自ら考えて使い手を助ける武器」が手に入れば、あんた自身にとっても、これ以上ない報酬になるでしょう？			その名をアニマウェポン							
オジ……ゲロルトさん、失礼な物言いを謝罪します……。俺の研究を手伝っていただけないでしょうか？			オジ……ゲロルトさん、失礼な物言いを謝罪します……。俺の研究を手伝っていただけないでしょうか？			その名をアニマウェポン							
俺はどうしても「人造精霊」を育て上げたいんです！ゲロルトさん、Forenameさん……どうか、お願いします！			俺はどうしても「人造精霊」を育て上げたいんです！ゲロルトさん、Forenameさん……どうか、お願いします！			その名をアニマウェポン							
チッ……。借金がチャラになるってンなら仕方ねェ。テメェの「人造精霊」の研究につきあってやンよ。			チッ……。借金がチャラになるってンなら仕方ねェ。テメェの「人造精霊」の研究につきあってやンよ。			その名をアニマウェポン							
……乗りかかった船だ、テメェも付き合えよ？			……乗りかかった船だ、テメェも付き合えよ？			その名をアニマウェポン							
あ、ありがとうございます！			あ、ありがとうございます！			その名をアニマウェポン							
……話はまとまったようね。必要な人材が集まったとなれば、次は研究場所だけど……あたしに提案があるわ。			……話はまとまったようね。必要な人材が集まったとなれば、次は研究場所だけど……あたしに提案があるわ。			その名をアニマウェポン							
最近、発見されたっていう噂の魔大陸「アジス・ラー」。古代アラグ文明が誇った、未知の技術が眠るあそこなら、研究にも良い刺激になると思うの。			最近、発見されたっていう噂の魔大陸「アジス・ラー」。古代アラグ文明が誇った、未知の技術が眠るあそこなら、研究にも良い刺激になると思うの。			その名をアニマウェポン							
ハイウィンド飛空社から、飛空艇を一隻借りておくから、アルダシールとゲロルトは、それに乗っていきなさい。ほら、行った行った。			ハイウィンド飛空社から、飛空艇を一隻借りておくから、アルダシールとゲロルトは、それに乗っていきなさい。ほら、行った行った。			その名をアニマウェポン							
では、Forenameさん！その「アジス・ラー」とやらで合流しましょう！			では、Forenameさん！その「アジス・ラー」とやらで合流しましょう！			その名をアニマウェポン							
さてと、忙しくなってきたわ。こっちの店でもやることがいっぱいね。ふふ、「アニマウェポン」の完成が今から楽しみよ……。			さてと、忙しくなってきたわ。こっちの店でもやることがいっぱいね。ふふ、「アニマウェポン」の完成が今から楽しみよ……。			その名をアニマウェポン							
……ったく、妙な成り行きになっちまったな。ヤカン作りや何やら、普段の仕事は「ハーストミル」で、「アニマウェポン」の研究はこっちでやるしかねぇか……。			……ったく、妙な成り行きになっちまったな。ヤカン作りや何やら、普段の仕事は「ハーストミル」で、「アニマウェポン」の研究はこっちでやるしかねぇか……。			その名をアニマウェポン							
……ったく、妙な成り行きになっちまったな。「アニマウェポン」の研究は「アジス・ラー」で、ヤカン作りや何やら、普段の仕事はこっちでやるしかねぇか……。			……ったく、妙な成り行きになっちまったな。「アニマウェポン」の研究は「アジス・ラー」で、ヤカン作りや何やら、普段の仕事はこっちでやるしかねぇか……。			その名をアニマウェポン							
アルダシールの研究は、ゲロルトの借金をチャラにする価値がありそうよ。あんたも「アジス・ラー」に行って、彼らと合流しなさい。			アルダシールの研究は、ゲロルトの借金をチャラにする価値がありそうよ。あんたも「アジス・ラー」に行って、彼らと合流しなさい。			その名をアニマウェポン							
伝説の「魔大陸」が実在していただなんて……。こんな場所で、研究を行えると師匠が知ったら、転げまわって、うらやましがるでしょう。			伝説の「魔大陸」が実在していただなんて……。こんな場所で、研究を行えると師匠が知ったら、転げまわって、うらやましがるでしょう。			その名をアニマウェポン							
よし、Forenameさん！さっそく研究を始めますよ！			よし、Forenameさん！さっそく研究を始めますよ！			その名をアニマウェポン							
特殊ルール： クラス・ジョブ固定アルダシールは、さっそく研究を進めたいようだ。			特殊ルール： クラス・ジョブ固定アルダシールは、さっそく研究を進めたいようだ。			新たな武器の創造を							
※本クエストには「 クラス・ジョブ固定」が、　設定されています。　受注時と同じクラス・ジョブでのみ進行できます。アルダシールから「人造精霊」を生み出すために必要な「エーテル結晶」である、「星極のクリスタル」と「霊極のクリスタル」を入手するよう依頼された。モードゥナのレヴナンツトールにいる「ロウェナ」に入手方法を相談してみよう。			※本クエストには「 クラス・ジョブ固定」が、　設定されています。　受注時と同じクラス・ジョブでのみ進行できます。アルダシールから「人造精霊」を生み出すために必要な「エーテル結晶」である、「星極のクリスタル」と「霊極のクリスタル」を入手するよう依頼された。モードゥナのレヴナンツトールにいる「ロウェナ」に入手方法を相談してみよう。			新たな武器の創造を							
ロウェナから、「星極のクリスタル」と「霊極のクリスタル」の入手方法を聞いた。どうやら、宝石職人のシンドニーが何か知っているようだ。ロウェナ記念会館にいる「シンドニー」から、話を聞こう。			ロウェナから、「星極のクリスタル」と「霊極のクリスタル」の入手方法を聞いた。どうやら、宝石職人のシンドニーが何か知っているようだ。ロウェナ記念会館にいる「シンドニー」から、話を聞こう。			新たな武器の創造を							
シンドニーから話を聞いた。「魂の欠片」である「星極のクリスタル」と「霊極のクリスタル」を手に入れるには、「ゾディアックウェポン・ゼータ」か「発光性クリスタル」を用意しなければならないようだ。　　　　　　　　　---------------------------◆「ゾディアックウェポン・ゼータ」を交換に用いる場合。「シンドニー」に「ゾディアックウェポン・ゼータ」を渡そう。交換を行うと、該当装備を消費するため注意しよう。　　　　　　　　　---------------------------◆「発光性クリスタル」を交換に用いる場合。以下の場所で発生しているいずれかのF.A.T.E.に参加して、「発光性クリスタル」を得よう。アジス・ラーで「発光性ファイアクリスタル」、アバラシア雲海で「発光性ウィンドクリスタル」、ドラヴァニア雲海で「発光性ライトニングクリスタル」、クルザス西部高地で「発光性アイスクリスタル」、高地ドラヴァニアで「発光性アースクリスタル」、低地ドラヴァニアで「発光性ウォータークリスタル」が見つかるらしい。なお、各「発光性クリスタル」は、F.A.T.E.に参加するファイター・ソーサラー・レベルに関わらず、F.A.T.E.に一定以上の貢献をすることで、稀に得られる可能性があるようだ。「星極のクリスタル」との交換には、発光性ファイアクリスタル、発光性ウィンドクリスタル、発光性ライトニングクリスタルが、1個ずつ必要だ。「霊極のクリスタル」との交換には、発光性アイスクリスタル、発光性アースクリスタル、発光性ウォータークリスタルが、1個ずつ必要だ。必要な「発光性クリスタル」を集めたら、レヴナンツトールの「シンドニー」に渡そう。　　　　　　　　　---------------------------いずれかの方法で手に入れた「星極のクリスタル」と「霊極のクリスタル」を、アジス・ラーのポート・ヘリックスにいる「アルダシール」に渡そう。			シンドニーから話を聞いた。「魂の欠片」である「星極のクリスタル」と「霊極のクリスタル」を手に入れるには、「ゾディアックウェポン・ゼータ」か「発光性クリスタル」を用意しなければならないようだ。　　　　　　　　　---------------------------◆「ゾディアックウェポン・ゼータ」を交換に用いる場合。「シンドニー」に「ゾディアックウェポン・ゼータ」を渡そう。交換を行うと、該当装備を消費するため注意しよう。　　　　　　　　　---------------------------◆「発光性クリスタル」を交換に用いる場合。以下の場所で発生しているいずれかのF.A.T.E.に参加して、「発光性クリスタル」を得よう。アジス・ラーで「発光性ファイアクリスタル」、アバラシア雲海で「発光性ウィンドクリスタル」、ドラヴァニア雲海で「発光性ライトニングクリスタル」、クルザス西部高地で「発光性アイスクリスタル」、高地ドラヴァニアで「発光性アースクリスタル」、低地ドラヴァニアで「発光性ウォータークリスタル」が見つかるらしい。なお、各「発光性クリスタル」は、F.A.T.E.に参加するファイター・ソーサラー・レベルに関わらず、F.A.T.E.に一定以上の貢献をすることで、稀に得られる可能性があるようだ。「星極のクリスタル」との交換には、発光性ファイアクリスタル、発光性ウィンドクリスタル、発光性ライトニングクリスタルが、1個ずつ必要だ。「霊極のクリスタル」との交換には、発光性アイスクリスタル、発光性アースクリスタル、発光性ウォータークリスタルが、1個ずつ必要だ。必要な「発光性クリスタル」を集めたら、レヴナンツトールの「シンドニー」に渡そう。　　　　　　　　　---------------------------いずれかの方法で手に入れた「星極のクリスタル」と「霊極のクリスタル」を、アジス・ラーのポート・ヘリックスにいる「アルダシール」に渡そう。			新たな武器の創造を							
アルダシールに「星極のクリスタル」と「霊極のクリスタル」を渡した。アルダシールが素材を使って「人造精霊」を生み出すと、ゲロルトがそれを武器に打ち込み「アニマウェポン」を完成させた。ゲロルトは、「人造精霊」に経験を積ませるため、「アニマウェポン」を持って数々の戦いを乗り越えろと言う。準備ができたら、アルダシールに声をかけよう。			アルダシールに「星極のクリスタル」と「霊極のクリスタル」を渡した。アルダシールが素材を使って「人造精霊」を生み出すと、ゲロルトがそれを武器に打ち込み「アニマウェポン」を完成させた。ゲロルトは、「人造精霊」に経験を積ませるため、「アニマウェポン」を持って数々の戦いを乗り越えろと言う。準備ができたら、アルダシールに声をかけよう。			新たな武器の創造を							
レヴナンツトールのロウェナと話す			レヴナンツトールのロウェナと話す			新たな武器の創造を							
シンドニーと話す			シンドニーと話す			新たな武器の創造を							
ポート・ヘリックスのアルダシールに星極のクリスタルと霊極のクリスタルを渡す			ポート・ヘリックスのアルダシールに星極のクリスタルと霊極のクリスタルを渡す			新たな武器の創造を							
クエスト「新たな武器の創造を」にて入手できる武器は、現在のジョブ「[Job]」のアニマウェポンとなります。「新たな武器の創造を」を「[Job]」で受注しますか？			クエスト「新たな武器の創造を」にて入手できる武器は、現在のジョブ「[Job]」のアニマウェポンとなります。「新たな武器の創造を」を「[Job]」で受注しますか？			新たな武器の創造を							
[Job]のアニマウェポンを創造しますか？			[Job]のアニマウェポンを創造しますか？			新たな武器の創造を							
もう少し悩んでみる			もう少し悩んでみる			新たな武器の創造を							
[Job]のアニマウェポンを創造する			[Job]のアニマウェポンを創造する			新たな武器の創造を							
「新たな武器の創造を」を受注した場合、クエストを完了、あるいは破棄するまで、ほかのジョブで「新たな武器の創造を」を受注できません。			「新たな武器の創造を」を受注した場合、クエストを完了、あるいは破棄するまで、ほかのジョブで「新たな武器の創造を」を受注できません。			新たな武器の創造を							
創造したいアニマウェポンに応じたジョブとなり、再度、アルダシールに話しかけてください。			創造したいアニマウェポンに応じたジョブとなり、再度、アルダシールに話しかけてください。			新たな武器の創造を							
「[???]」および、「[???]」はすでに取得済みです。			「[???]」および、「[???]」はすでに取得済みです。			新たな武器の創造を							
「[???]」はすでに取得済みです。			「[???]」はすでに取得済みです。			新たな武器の創造を							
取得済みのアニマウェポンを、さらに強化したい場合は、再度アルダシールに話をかけ、クエスト「英雄の軌跡」を受注してください。			取得済みのアニマウェポンを、さらに強化したい場合は、再度アルダシールに話をかけ、クエスト「英雄の軌跡」を受注してください。			新たな武器の創造を							
ほかのアニマウェポンを新たに創造したい場合は、創造したいアニマウェポンに応じたジョブとなり、再度アルダシールに話しかけてください。			ほかのアニマウェポンを新たに創造したい場合は、創造したいアニマウェポンに応じたジョブとなり、再度アルダシールに話しかけてください。			新たな武器の創造を							
武器に「人造精霊」を込めた「アニマウェポン」……。そのためには、身体となる武器と、そもそもの「人造精霊」が必要です。			武器に「人造精霊」を込めた「アニマウェポン」……。そのためには、身体となる武器と、そもそもの「人造精霊」が必要です。			新たな武器の創造を							
武器の方は、ゲロルトさんに制作をお願いするとして……。「人造精霊」については、魂が霧散しないよう、武器へ込める直前に創りださなければなりません。			武器の方は、ゲロルトさんに制作をお願いするとして……。「人造精霊」については、魂が霧散しないよう、武器へ込める直前に創りださなければなりません。			新たな武器の創造を							
「人造精霊」の誕生に必要な素材のうち、核となるソウルストーンは、故郷から持ってきたものがあります。これを武器に合うように、俺が調整しておきましょう。			「人造精霊」の誕生に必要な素材のうち、核となるソウルストーンは、故郷から持ってきたものがあります。これを武器に合うように、俺が調整しておきましょう。			新たな武器の創造を							
問題は、もうひとつの素材である「エーテル結晶」……このエオルゼアには、各所にクリスタルがあるようですが、並みのものではだめなのです。			問題は、もうひとつの素材である「エーテル結晶」……このエオルゼアには、各所にクリスタルがあるようですが、並みのものではだめなのです。			新たな武器の創造を							
「人造精霊」を創るには、星極性と霊極性の力を帯びた高純度の結晶……すなわち、「星極のクリスタル」と「霊極のクリスタル」が必要となります。			「人造精霊」を創るには、星極性と霊極性の力を帯びた高純度の結晶……すなわち、「星極のクリスタル」と「霊極のクリスタル」が必要となります。			新たな武器の創造を							
ただ、ラザハンに居た頃は、ある商人から調達していたもので、エオルゼアでは、どこで手に入るか俺にはさっぱり……ロウェナさんなら、何か心当たりがあるかもしれませんね。			ただ、ラザハンに居た頃は、ある商人から調達していたもので、エオルゼアでは、どこで手に入るか俺にはさっぱり……ロウェナさんなら、何か心当たりがあるかもしれませんね。			新たな武器の創造を							
すみませんが、Forenameさん。「星極のクリスタル」と「霊極のクリスタル」を、手に入れてきてもらえないでしょうか？			すみませんが、Forenameさん。「星極のクリスタル」と「霊極のクリスタル」を、手に入れてきてもらえないでしょうか？			新たな武器の創造を							
その間、俺はソウルストーンを調整して、ゲロルトさんと「アニマウェポン」を準備しておきます！どうか、よろしくお願いします！			その間、俺はソウルストーンを調整して、ゲロルトさんと「アニマウェポン」を準備しておきます！どうか、よろしくお願いします！			新たな武器の創造を							
再び「アニマウェポン」を造るのですね！では、さっそく「人造精霊」の準備をしなければ……。			再び「アニマウェポン」を造るのですね！では、さっそく「人造精霊」の準備をしなければ……。			新たな武器の創造を							
「人造精霊」の創造に必要な物は、以前と変わりません。「シンドニー」さんにご尽力いただけるか、ロウェナさんに相談してみましょう。			「人造精霊」の創造に必要な物は、以前と変わりません。「シンドニー」さんにご尽力いただけるか、ロウェナさんに相談してみましょう。			新たな武器の創造を							
あら、英雄様じゃない。今日はどんな面白い取引をしてくれるのかしら？			あら、英雄様じゃない。今日はどんな面白い取引をしてくれるのかしら？			新たな武器の創造を							
……「星極のクリスタル」と「霊極のクリスタル」ですって？そうね、宝石職人の「シンドニー」であれば、何か知っているかもしれない。			……「星極のクリスタル」と「霊極のクリスタル」ですって？そうね、宝石職人の「シンドニー」であれば、何か知っているかもしれない。			新たな武器の創造を							
彼女は、単なる「宝石職人」ではないのよ。絶妙なバランスで、エーテルから美しい結晶を創りだす……ある意味「宝石魔道士」とも呼べるような人なの。 			彼女は、単なる「宝石職人」ではないのよ。絶妙なバランスで、エーテルから美しい結晶を創りだす……ある意味「宝石魔道士」とも呼べるような人なの。 			新たな武器の創造を							
特に「光り輝くもの」に目がない変わり者でもあるけれど……「光」の戦士であるあんたなら、大丈夫そうね。			特に「光り輝くもの」に目がない変わり者でもあるけれど……「光」の戦士であるあんたなら、大丈夫そうね。			新たな武器の創造を							
シンドニーなら今頃、この記念会館のテラス席でお茶をしているはず。会いに行ってみなさいな。			シンドニーなら今頃、この記念会館のテラス席でお茶をしているはず。会いに行ってみなさいな。			新たな武器の創造を							
あら、英雄様じゃない。また「星極のクリスタル」と「霊極のクリスタル」かしら？			あら、英雄様じゃない。また「星極のクリスタル」と「霊極のクリスタル」かしら？			新たな武器の創造を							
シンドニーなら今ごろ、この記念会館のテラス席でお茶をしているはず。会いに行ってみなさいな。			シンドニーなら今ごろ、この記念会館のテラス席でお茶をしているはず。会いに行ってみなさいな。			新たな武器の創造を							
あら、もしかして、あなたは「光」の戦士さまでは？フフフ、光り物好きの私の目は、ごまかせませんわよ。それで……輝ける英雄さまが、何の用かしら？			あら、もしかして、あなたは「光」の戦士さまでは？フフフ、光り物好きの私の目は、ごまかせませんわよ。それで……輝ける英雄さまが、何の用かしら？			新たな武器の創造を							
星極性と霊極性の力を強く帯びた、「エーテル結晶」……。……もう少し、詳しく話を聞かせてくださらない？			星極性と霊極性の力を強く帯びた、「エーテル結晶」……。……もう少し、詳しく話を聞かせてくださらない？			新たな武器の創造を							
「人造精霊」……ずいぶんと面白い研究をしているのね。美しい輝きを求めて、クリスタルの創造に命を賭けてきた、私の技術であれば、確かに「エーテル結晶」も創れるでしょう。			「人造精霊」……ずいぶんと面白い研究をしているのね。美しい輝きを求めて、クリスタルの創造に命を賭けてきた、私の技術であれば、確かに「エーテル結晶」も創れるでしょう。			新たな武器の創造を							
ただ、「星極のクリスタル」と「霊極のクリスタル」の輝きは、数ある高純度クリスタルの中でも特に大きく、星々の煌めきにも例えられるほど……。			ただ、「星極のクリスタル」と「霊極のクリスタル」の輝きは、数ある高純度クリスタルの中でも特に大きく、星々の煌めきにも例えられるほど……。			新たな武器の創造を							
そんなクリスタルを創りだすには、当然のことだけれど、材料となるための膨大な、しかも特別なエーテルが必要なの。			そんなクリスタルを創りだすには、当然のことだけれど、材料となるための膨大な、しかも特別なエーテルが必要なの。			新たな武器の創造を							
死の果てに散った命のエーテルが、付近のクリスタルに宿り、偶然にも生じると言われる美しく輝く結晶……その名を「発光性クリスタル」。			死の果てに散った命のエーテルが、付近のクリスタルに宿り、偶然にも生じると言われる美しく輝く結晶……その名を「発光性クリスタル」。			新たな武器の創造を							
「星極のクリスタル」と「霊極のクリスタル」を創るには、「発光性クリスタル」に宿った、6つの属性のエーテルを用いるほかないわ。			「星極のクリスタル」と「霊極のクリスタル」を創るには、「発光性クリスタル」に宿った、6つの属性のエーテルを用いるほかないわ。			新たな武器の創造を							
さて、あなたに集めることができるかしら……？			さて、あなたに集めることができるかしら……？			新たな武器の創造を							
……そうか、もうひとつだけ、方法があったわね。でもこれは、「発光性クリスタル」よりも、さらに希少なもの……。			……そうか、もうひとつだけ、方法があったわね。でもこれは、「発光性クリスタル」よりも、さらに希少なもの……。			新たな武器の創造を							
あなたはご存知かしら？高純度の魂を込めた輝きを放つ武器……「ゾディアックウェポン・ゼータ」と呼ばれる存在を。			あなたはご存知かしら？高純度の魂を込めた輝きを放つ武器……「ゾディアックウェポン・ゼータ」と呼ばれる存在を。			新たな武器の創造を							
かつて伝説の英雄が使ったと言われるこの武器を、現在に蘇らせた英雄と研究者がいると噂に聞いたの。その武器は、血を吐くような努力と、戦いの賜物だとも……。			かつて伝説の英雄が使ったと言われるこの武器を、現在に蘇らせた英雄と研究者がいると噂に聞いたの。その武器は、血を吐くような努力と、戦いの賜物だとも……。			新たな武器の創造を							
もしも…………。もしも、あなたがそれを持っていて、私に任せてくれるというのなら……。			もしも…………。もしも、あなたがそれを持っていて、私に任せてくれるというのなら……。			新たな武器の創造を							
その核にある莫大なエネルギーのエーテルを抽出し、「星極のクリスタル」と「霊極のクリスタル」を、必ずや、創りだしてみせましょう。			その核にある莫大なエネルギーのエーテルを抽出し、「星極のクリスタル」と「霊極のクリスタル」を、必ずや、創りだしてみせましょう。			新たな武器の創造を							
……「光の戦士」さまをお手伝いできるのは、とても光栄なこと。でも、それには材料が必要よ。			……「光の戦士」さまをお手伝いできるのは、とても光栄なこと。でも、それには材料が必要よ。			新たな武器の創造を							
どちらの方法を選ぶかは、最高の輝きを放つあなた次第……。私はここで、あなたをお待ちしているわ。			どちらの方法を選ぶかは、最高の輝きを放つあなた次第……。私はここで、あなたをお待ちしているわ。			新たな武器の創造を							
あら、光の戦士さまじゃない。相変わらず、最高に輝いているわね。			あら、光の戦士さまじゃない。相変わらず、最高に輝いているわね。			新たな武器の創造を							
フフフ、わかっているわ。また、「星極のクリスタル」と「霊極のクリスタル」が、必要になったのでしょう？			フフフ、わかっているわ。また、「星極のクリスタル」と「霊極のクリスタル」が、必要になったのでしょう？			新たな武器の創造を							
