格闘士ギルドのハモンは、強くなった冒険者と共に修行したいようだ。			格闘士ギルドのハモンは、強くなった冒険者と共に修行したいようだ。			拳の聖人							
ハモンと話す			ハモンと話す			拳の聖人							
ハモンに崩拳を3回叩き込め！			ハモンに崩拳を3回叩き込め！			拳の聖人							
ハモンを倒せ！			ハモンを倒せ！			拳の聖人							
大斧のヴェッグファルたちを倒せ！			大斧のヴェッグファルたちを倒せ！			拳の聖人							
まったく、お主が前回置いてきた木人、どこもかしこも、ひどい場所じゃった……。じゃが、おかげでワシもかなり鍛えられたぞ！			まったく、お主が前回置いてきた木人、どこもかしこも、ひどい場所じゃった……。じゃが、おかげでワシもかなり鍛えられたぞ！			拳の聖人							
さて、そろそろワシの完全復活も近い。Forenameと再び手合わせすることで、最後の感覚を取り戻したいのじゃ！			さて、そろそろワシの完全復活も近い。Forenameと再び手合わせすることで、最後の感覚を取り戻したいのじゃ！			拳の聖人							
場所は、かつてワシが修行を積んだ、サゴリー砂漠！その砂漠にある、セクシーなミコッテ族が住む集落……「忘れられたオアシス」で、最後の特訓をしようぞ。			場所は、かつてワシが修行を積んだ、サゴリー砂漠！その砂漠にある、セクシーなミコッテ族が住む集落……「忘れられたオアシス」で、最後の特訓をしようぞ。			拳の聖人							
最後の特訓じゃ。「忘れられたオアシス」で、待っておるぞ。			最後の特訓じゃ。「忘れられたオアシス」で、待っておるぞ。			拳の聖人							
私は今回ここでお留守番。師匠がどうしても、あなたと二人で集中したいそうよ。Forename、頑張ってね！			私は今回ここでお留守番。師匠がどうしても、あなたと二人で集中したいそうよ。Forename、頑張ってね！			拳の聖人							
この辺りの景色は、懐かしいのう。かつて、砂漠を駆けずり回って修行したあの砂の感触……そして水浴びを楽しむ、セクシーギャルの笑顔……。			この辺りの景色は、懐かしいのう。かつて、砂漠を駆けずり回って修行したあの砂の感触……そして水浴びを楽しむ、セクシーギャルの笑顔……。			拳の聖人							
じゃが、ひとつだけ思い出せぬ、技の呼吸があるのじゃ。それをどうしても思い出したいのじゃがのう……。			じゃが、ひとつだけ思い出せぬ、技の呼吸があるのじゃ。それをどうしても思い出したいのじゃがのう……。			拳の聖人							
そのためにも、Forenameよ、お主と今すぐにでも手合わせをしたいところじゃが……その前に、お主にクリアして欲しい課題がひとつある。			そのためにも、Forenameよ、お主と今すぐにでも手合わせをしたいところじゃが……その前に、お主にクリアして欲しい課題がひとつある。			拳の聖人							
それは、サンドウォームを5匹倒すことじゃ。手合わせの前の、肩慣らしじゃよ。			それは、サンドウォームを5匹倒すことじゃ。手合わせの前の、肩慣らしじゃよ。			拳の聖人							
フォッフォッフォ、この程度余裕じゃろ？じゃって、ワシはもう、お主が来る前に……サンドウォーム倒しちゃったもんね！！			フォッフォッフォ、この程度余裕じゃろ？じゃって、ワシはもう、お主が来る前に……サンドウォーム倒しちゃったもんね！！			拳の聖人							
ヒョッヒョッヒョ！ジジイ、一歩リードじゃっ！Forenameよ、お主も早く倒してくるのじゃー！			ヒョッヒョッヒョ！ジジイ、一歩リードじゃっ！Forenameよ、お主も早く倒してくるのじゃー！			拳の聖人							
サンドウォームを五匹じゃ。お主の成長を、ワシに確認させてくれ。			サンドウォームを五匹じゃ。お主の成長を、ワシに確認させてくれ。			拳の聖人							
インスタンスバトルを始めますか？			インスタンスバトルを始めますか？			拳の聖人							
成功したか！さすが若き日のワシ……いや、Forenameじゃ！簡単に前には行かせてくれぬのう！			成功したか！さすが若き日のワシ……いや、Forenameじゃ！簡単に前には行かせてくれぬのう！			拳の聖人							
じゃが、痛みに耐えても戦い続ける闘志を思い出さねば、奴を……ヴェッグファルを倒すことはできん！さあ、ワシに連続攻撃を打ち込んでくれ！！			じゃが、痛みに耐えても戦い続ける闘志を思い出さねば、奴を……ヴェッグファルを倒すことはできん！さあ、ワシに連続攻撃を打ち込んでくれ！！			拳の聖人							
今、お主の連続攻撃を我が身に受ければ、勘を……無限の闘魂を取り戻せる気がするのじゃぁ！			今、お主の連続攻撃を我が身に受ければ、勘を……無限の闘魂を取り戻せる気がするのじゃぁ！			拳の聖人							
はぁ、はぁ……。わかった、わかったぞ……！			はぁ、はぁ……。わかった、わかったぞ……！			拳の聖人							
打たれても打たれても、折れない気持ち。困難な状況であればこそ、奮い立つ闘魂。10発殴り込まれても、20発返す気合じゃ！			打たれても打たれても、折れない気持ち。困難な状況であればこそ、奮い立つ闘魂。10発殴り込まれても、20発返す気合じゃ！			拳の聖人							
Forename、ありがとう。お主と戦って、お主の戦い方を見て……全てを思い出すことができた！！			Forename、ありがとう。お主と戦って、お主の戦い方を見て……全てを思い出すことができた！！			拳の聖人							
師匠、Forename！ヴェッグファルが、ウルダハに来たわ！師匠を探してる！！			師匠、Forename！ヴェッグファルが、ウルダハに来たわ！師匠を探してる！！			拳の聖人							
Forename、チュチュト、ウルダハに戻るぞ！この「拳聖のハモン」が……ヴェッグファルを、返り討ちにしてくれるわ！！			Forename、チュチュト、ウルダハに戻るぞ！この「拳聖のハモン」が……ヴェッグファルを、返り討ちにしてくれるわ！！			拳の聖人							
どうだい拳聖のハモンさんよぉ！！俺も大人だ、負けを認めて逃げ出せば、老いぼれジジイの命まではとらねぇぜ？			どうだい拳聖のハモンさんよぉ！！俺も大人だ、負けを認めて逃げ出せば、老いぼれジジイの命まではとらねぇぜ？			拳の聖人							
決闘を申し込んだ者が不戦勝を狙うとは、滑稽じゃのう。力を取り戻したワシと戦うのがそんなに嫌なら、やめてもいいんじゃよ？			決闘を申し込んだ者が不戦勝を狙うとは、滑稽じゃのう。力を取り戻したワシと戦うのがそんなに嫌なら、やめてもいいんじゃよ？			拳の聖人							
おい、あの格闘士ギルドの「拳聖のハモン」が、久しぶりにその技を披露するらしいぞ！？			おい、あの格闘士ギルドの「拳聖のハモン」が、久しぶりにその技を披露するらしいぞ！？			拳の聖人							
なにそれ、やばい！コロセウムのカードより熱いじゃん！！			なにそれ、やばい！コロセウムのカードより熱いじゃん！！			拳の聖人							
ぎゃっはっは！拳聖のハモンも、さすがに老いがきているなぁ！ボケが進行しちまってるようだぜ？			ぎゃっはっは！拳聖のハモンも、さすがに老いがきているなぁ！ボケが進行しちまってるようだぜ？			拳の聖人							
さぁ、始めようぜ？俺の大斧で、老いぼれジジイの首をはねてやるよ！			さぁ、始めようぜ？俺の大斧で、老いぼれジジイの首をはねてやるよ！			拳の聖人							
……懐かしいだろ、昔お前に打ち込んだのと同じ拳だ。だから「やめてもいい」って言ってやったんだぜ？			……懐かしいだろ、昔お前に打ち込んだのと同じ拳だ。だから「やめてもいい」って言ってやったんだぜ？			拳の聖人							
(-沸き立つ観衆-)うおおおおおおおおおおおおおおおおお！！！			(-沸き立つ観衆-)うおおおおおおおおおおおおおおおおお！！！			拳の聖人							
さすが拳聖のハモン！！目にも留まらぬスピードで技を繰り出したぜ！			さすが拳聖のハモン！！目にも留まらぬスピードで技を繰り出したぜ！			拳の聖人							
くそっ！　くそっ！　くそぉぉぉぉ！俺の大斧が、老いたジジイにまで負けるなんてことが……！			くそっ！　くそっ！　くそぉぉぉぉ！俺の大斧が、老いたジジイにまで負けるなんてことが……！			拳の聖人							
野郎どもぉ！　でてこいぃいいいいいい！！			野郎どもぉ！　でてこいぃいいいいいい！！			拳の聖人							
こいつはなぁぁぁぁ！！「ソムヌス香」を応用した新薬、「プルトー香」だぁ！			こいつはなぁぁぁぁ！！「ソムヌス香」を応用した新薬、「プルトー香」だぁ！			拳の聖人							
吸ったが最後ぉおおおおおぉおおお！刃も通さぬ強靭な肉体でぇええぇええ、てめぇらをなぎ倒してやんよぉおおおぉぉ！！！！			吸ったが最後ぉおおおおおぉおおお！刃も通さぬ強靭な肉体でぇええぇええ、てめぇらをなぎ倒してやんよぉおおおぉぉ！！！！			拳の聖人							
フン、往生際の悪いやつじゃな。			フン、往生際の悪いやつじゃな。			拳の聖人							
ルルクタ！			ルルクタ！			拳の聖人							
卑怯者の肩を持つ主義は、ない。俺はこっちに、つかせてもらう。			卑怯者の肩を持つ主義は、ない。俺はこっちに、つかせてもらう。			拳の聖人							
ぎゃーっはっはっはっはっはっはっは！！てめぇら全んんんんいぃいいいんんんん！！！			ぎゃーっはっはっはっはっはっはっは！！てめぇら全んんんんいぃいいいんんんん！！！			拳の聖人							
ぶっっっ潰してやるよぉおおおおお！！！			ぶっっっ潰してやるよぉおおおおお！！！			拳の聖人							
はぁ、はぁ、はぁ……師匠、勝ちましたね！！師匠ならできるって、私ずっと……！			はぁ、はぁ、はぁ……師匠、勝ちましたね！！師匠ならできるって、私ずっと……！			拳の聖人							
師匠……。			師匠……。			拳の聖人							
ワシの勝利、という言葉は適切ではないな。これはいわゆる「皆の勝利」ってやつじゃぞ？			ワシの勝利、という言葉は適切ではないな。これはいわゆる「皆の勝利」ってやつじゃぞ？			拳の聖人							
すげぇ！　格闘士ギルドの連中が、悪そうな奴らをみんなぶっ飛ばしちまったぜ！			すげぇ！　格闘士ギルドの連中が、悪そうな奴らをみんなぶっ飛ばしちまったぜ！			拳の聖人							
さすが拳聖のハモン率いる、格闘士ギルドの連中だ！			さすが拳聖のハモン率いる、格闘士ギルドの連中だ！			拳の聖人							
さぁ、お前ら！格闘士ギルドに戻るぞい！　凱旋じゃっ！			さぁ、お前ら！格闘士ギルドに戻るぞい！　凱旋じゃっ！			拳の聖人							
……ココは何も、変わってないな。			……ココは何も、変わってないな。			拳の聖人							
Forename、まずはありがとうと言わせてくれ。お主のおかげで、ワシはかつての闘魂を取り戻すことができたのじゃ。			Forename、まずはありがとうと言わせてくれ。お主のおかげで、ワシはかつての闘魂を取り戻すことができたのじゃ。			拳の聖人							
それだけじゃない、愛すべき元弟子まで帰ってきて、チュチュトも元気になった。			それだけじゃない、愛すべき元弟子まで帰ってきて、チュチュトも元気になった。			拳の聖人							
……師匠、チュチュト、迷惑を……かけた。俺はアラクランを抜けて、修行の旅に出る。「拳聖のハモン」みたいに、各地に伝説を残すんだ。			……師匠、チュチュト、迷惑を……かけた。俺はアラクランを抜けて、修行の旅に出る。「拳聖のハモン」みたいに、各地に伝説を残すんだ。			拳の聖人							
やだやだ、かっこつけちゃって。……ま、男のロマンってやつなんでしょ？寂しくなったら、いつでもここに帰ってきなさいよ。			やだやだ、かっこつけちゃって。……ま、男のロマンってやつなんでしょ？寂しくなったら、いつでもここに帰ってきなさいよ。			拳の聖人							
フォッフォッフォ、若いもんはええのう。未来を、夢を追うスタミナがいっぱいあるのう！			フォッフォッフォ、若いもんはええのう。未来を、夢を追うスタミナがいっぱいあるのう！			拳の聖人							
Forenameもじゃ！お主の連続攻撃は、非常に素晴らしかった！Forenameの未来にはワシ、超期待しちゃうぞい？			Forenameもじゃ！お主の連続攻撃は、非常に素晴らしかった！Forenameの未来にはワシ、超期待しちゃうぞい？			拳の聖人							
しかし、いくらお主が強くなったとはいえ、お主の格闘士としての道が、平易になったわけではない。新たな敵や、困難が待ち受けるじゃろう。			しかし、いくらお主が強くなったとはいえ、お主の格闘士としての道が、平易になったわけではない。新たな敵や、困難が待ち受けるじゃろう。			拳の聖人							
じゃが、Forenameなら大丈夫じゃ。すべての困難を打ち砕くことができる、最高の連続攻撃が、お主にはもうあるからのう。			じゃが、Forenameなら大丈夫じゃ。すべての困難を打ち砕くことができる、最高の連続攻撃が、お主にはもうあるからのう。			拳の聖人							
妬むな、恨むな、卑下するな！Forenameはただ、主の闘魂を信じ、スタミナの限り、ひたすら前に進むが良い。			妬むな、恨むな、卑下するな！Forenameはただ、主の闘魂を信じ、スタミナの限り、ひたすら前に進むが良い。			拳の聖人							
その結果、お主が新たな「拳聖」として、世に名を知られる存在になることを、ワシは楽しみにしておるぞ。			その結果、お主が新たな「拳聖」として、世に名を知られる存在になることを、ワシは楽しみにしておるぞ。			拳の聖人							
さあ！　ワシをどーんと殴るんじゃ！			さあ！　ワシをどーんと殴るんじゃ！			拳の聖人							
遠慮はいらぬ！　存分に崩拳を打ち込むが良い！			遠慮はいらぬ！　存分に崩拳を打ち込むが良い！			拳の聖人							
はうっ！　痛い！　だが、もっと……もっとじゃ！			はうっ！　痛い！　だが、もっと……もっとじゃ！			拳の聖人							
これじゃ！　この痛み……何かを思い出しそうっ！			これじゃ！　この痛み……何かを思い出しそうっ！			拳の聖人							
この感覚……この闘魂……！　これじゃーーー！！			この感覚……この闘魂……！　これじゃーーー！！			拳の聖人							
ヒョヒョヒョー！　ワシ、まだまだ成長期！！			ヒョヒョヒョー！　ワシ、まだまだ成長期！！			拳の聖人							
今度は試合じゃ、手合わせじゃ！　次は、勝つぞい！！			今度は試合じゃ、手合わせじゃ！　次は、勝つぞい！！			拳の聖人							
……まだじゃ！　ワシはまだ倒れぬぞ！！			……まだじゃ！　ワシはまだ倒れぬぞ！！			拳の聖人							
イタタタタ……次は……次こそは、勝ぁつ！！			イタタタタ……次は……次こそは、勝ぁつ！！			拳の聖人							
ヒョッヒョッヒョ！　何度でもワシは、立ち上がるぞい！			ヒョッヒョッヒョ！　何度でもワシは、立ち上がるぞい！			拳の聖人							
今度こそは本当に……お主に勝ちにいくぞい！！			今度こそは本当に……お主に勝ちにいくぞい！！			拳の聖人							
拳聖のハモンの粘りは、ここからじゃーい！！			拳聖のハモンの粘りは、ここからじゃーい！！			拳の聖人							
はぁはぁ……わ、わかった……わかったぞい！			はぁはぁ……わ、わかった……わかったぞい！			拳の聖人							
クエスト「ClsPgl300」のバトルを開始しますか？			クエスト「ClsPgl300」のバトルを開始しますか？			拳の聖人							
はい			はい			拳の聖人							
いいえ			いいえ			拳の聖人							
ぎゃっはっはっはっは！　殺す！　全員殺す！！！			ぎゃっはっはっはっは！　殺す！　全員殺す！！！			拳の聖人							
ヴェッグファルは、ワシに任せるのじゃ！			ヴェッグファルは、ワシに任せるのじゃ！			拳の聖人							
Forename、俺たちは雑魚を片付けよう。			Forename、俺たちは雑魚を片付けよう。			拳の聖人							
サポートは私に任せてっ！			サポートは私に任せてっ！			拳の聖人							
ヴェッグファル……こいつ仲間まで殺すなんて……！			ヴェッグファル……こいつ仲間まで殺すなんて……！			拳の聖人							
完っ全にイカれてるわね！			完っ全にイカれてるわね！			拳の聖人							
ヴェッグファルに近づくと危険だわ、離れて戦いましょう！			ヴェッグファルに近づくと危険だわ、離れて戦いましょう！			拳の聖人							
ギャッハッハッハッハ！老いぼれの分際で、しぶてぇジジイだなぁあ！！			ギャッハッハッハッハ！老いぼれの分際で、しぶてぇジジイだなぁあ！！			拳の聖人							
だが、テメェの大事な弟子を殺しちまったらどうだ！？俺ぁちょうど、癇に障る小蝿が気になっててねぇ！！！			だが、テメェの大事な弟子を殺しちまったらどうだ！？俺ぁちょうど、癇に障る小蝿が気になっててねぇ！！！			拳の聖人							
ヴェッグファルよ、お主の敵はワシじゃろう！！！			ヴェッグファルよ、お主の敵はワシじゃろう！！！			拳の聖人							
Forename！　ヴェッグファルが来るわ！　注意して！			Forename！　ヴェッグファルが来るわ！　注意して！			拳の聖人							
格闘士ギルドのハモンは、修行に張り切りすぎているようだ。			格闘士ギルドのハモンは、修行に張り切りすぎているようだ。			燃える明星、駆ける流星							
ハモンは修行を張り切りすぎて、体を痛めているそうだ。新たな課題は「チュチュト」に与えてもらおう。			ハモンは修行を張り切りすぎて、体を痛めているそうだ。新たな課題は「チュチュト」に与えてもらおう。			燃える明星、駆ける流星							
今日の修行について、チュチュトに考えがあるらしい。「リトルアラミゴ」へ向かい、「チュチュト」と合流しよう。			今日の修行について、チュチュトに考えがあるらしい。「リトルアラミゴ」へ向かい、「チュチュト」と合流しよう。			燃える明星、駆ける流星							
今日の修行は、ハモンの修行の準備だ。ブロークンウォーター近辺に4体の「木人」を設置しよう。			今日の修行は、ハモンの修行の準備だ。ブロークンウォーター近辺に4体の「木人」を設置しよう。			燃える明星、駆ける流星							
無事に修行用の木人を設置することができた。「リトルアラミゴ」の「チュチュト」に報告しよう。			無事に修行用の木人を設置することができた。「リトルアラミゴ」の「チュチュト」に報告しよう。			燃える明星、駆ける流星							
ルルクタは、ハモンにヴェッグファルとの決闘を諦め、逃げてほしかったという。しかし、チュチュトの諦めない意思を受け、彼は去っていった。「格闘士ギルド」に戻り、「ハモン」に報告しよう。			ルルクタは、ハモンにヴェッグファルとの決闘を諦め、逃げてほしかったという。しかし、チュチュトの諦めない意思を受け、彼は去っていった。「格闘士ギルド」に戻り、「ハモン」に報告しよう。			燃える明星、駆ける流星							
ハモンはすでにチュチュトからルルクタのことを聞いていた。ルルクタのためにも、彼は強さを取り戻す修行をするようだ。彼を強くするため、冒険者も今まで以上に強くなろう。※格闘士のレベルが30以上になると、ハモンから次の格闘士クエストを受注することができます。			ハモンはすでにチュチュトからルルクタのことを聞いていた。ルルクタのためにも、彼は強さを取り戻す修行をするようだ。彼を強くするため、冒険者も今まで以上に強くなろう。※格闘士のレベルが30以上になると、ハモンから次の格闘士クエストを受注することができます。			燃える明星、駆ける流星							
チュチュトと話す			チュチュトと話す			燃える明星、駆ける流星							
リトルアラミゴのチュチュトと話す			リトルアラミゴのチュチュトと話す			燃える明星、駆ける流星							
指定地点に木人を設置する			指定地点に木人を設置する			燃える明星、駆ける流星							
リトルアラミゴのチュチュトに報告			リトルアラミゴのチュチュトに報告			燃える明星、駆ける流星							
格闘士ギルドのハモンに報告			格闘士ギルドのハモンに報告			燃える明星、駆ける流星							
ルルクタたちを倒せ！			ルルクタたちを倒せ！			燃える明星、駆ける流星							
フォッフォッフォ！昔のワシ……いや、Forenameよ！さらなる鍛錬をつんできたようじゃなぁ！			フォッフォッフォ！昔のワシ……いや、Forenameよ！さらなる鍛錬をつんできたようじゃなぁ！			燃える明星、駆ける流星							
しかし、気を抜くでないぞ。お主だけではなく、ワシだって鍛錬を続けておる！でなければ、お主にもヴェッグファルにも勝てんからのう！			しかし、気を抜くでないぞ。お主だけではなく、ワシだって鍛錬を続けておる！でなければ、お主にもヴェッグファルにも勝てんからのう！			燃える明星、駆ける流星							
今日の修行もチュチュトに指示を貰うのじゃ。久々に修行をしすぎて、身体の節々が痛くてのぅ……イタタタタタタ……。			今日の修行もチュチュトに指示を貰うのじゃ。久々に修行をしすぎて、身体の節々が痛くてのぅ……イタタタタタタ……。			燃える明星、駆ける流星							
師匠ったら、Forenameの存在と、ヴェッグファルとの決闘が、かなり刺激になったみたいね！			師匠ったら、Forenameの存在と、ヴェッグファルとの決闘が、かなり刺激になったみたいね！			燃える明星、駆ける流星							
フフフ……今日のあなたの修行については、ちょっと私に考えがあるの！「リトルアラミゴ」で待ち合わせよ！			フフフ……今日のあなたの修行については、ちょっと私に考えがあるの！「リトルアラミゴ」で待ち合わせよ！			燃える明星、駆ける流星							
来たわね、Forename。今回あなたにしてもらう修行は……「師匠の修行の準備」にしようと思うの！			来たわね、Forename。今回あなたにしてもらう修行は……「師匠の修行の準備」にしようと思うの！			燃える明星、駆ける流星							
修行といったらこれよね、「木人」！これを、いろいろな場所に設置してほしいの！……後で師匠の修行に使うために、ね♪			修行といったらこれよね、「木人」！これを、いろいろな場所に設置してほしいの！……後で師匠の修行に使うために、ね♪			燃える明星、駆ける流星							
危険な場所に設置しなきゃいけないから、Forenameの修行にもなるわよっ！これぞチュチュトちゃんの、一石二鳥アイデアだっ！			危険な場所に設置しなきゃいけないから、Forenameの修行にもなるわよっ！これぞチュチュトちゃんの、一石二鳥アイデアだっ！			燃える明星、駆ける流星							
危険な敵に近づく必要があるときは、慎重に立ち回るようにして。			危険な敵に近づく必要があるときは、慎重に立ち回るようにして。			燃える明星、駆ける流星							
うまく敵をあしらって、木人を立ててきてね♪それじゃあ、頑張っていってらっしゃい！			うまく敵をあしらって、木人を立ててきてね♪それじゃあ、頑張っていってらっしゃい！			燃える明星、駆ける流星							
師匠のために、危険な場所に木人を設置してきてね！			師匠のために、危険な場所に木人を設置してきてね！			燃える明星、駆ける流星							
クエスト「ClsPgl250」のバトルを開始しますか？			クエスト「ClsPgl250」のバトルを開始しますか？			燃える明星、駆ける流星							
はい			はい			燃える明星、駆ける流星							
いいえ			いいえ			燃える明星、駆ける流星							
凄いわForename、ありがとう！Forenameが設置した木人を、師匠が全部倒せたら……師匠はもっともっと強くなるはずよ！			凄いわForename、ありがとう！Forenameが設置した木人を、師匠が全部倒せたら……師匠はもっともっと強くなるはずよ！			燃える明星、駆ける流星							
……あら、裏切り者がなんの用かしら。			……あら、裏切り者がなんの用かしら。			燃える明星、駆ける流星							
……お前らが余計なことをすると、師匠が、強くなる。そう、Forenameさえいなければ……。			……お前らが余計なことをすると、師匠が、強くなる。そう、Forenameさえいなければ……。			燃える明星、駆ける流星							
アンタって……心まで腐っちゃったのね！そんなこと、させるわけないでしょ！			アンタって……心まで腐っちゃったのね！そんなこと、させるわけないでしょ！			燃える明星、駆ける流星							
ルルクタ……教えて。ヴェッグファルから命令されて、こんなことしてるの？そこまでして師匠を、格闘士ギルドを台無しにしたいわけ？			ルルクタ……教えて。ヴェッグファルから命令されて、こんなことしてるの？そこまでして師匠を、格闘士ギルドを台無しにしたいわけ？			燃える明星、駆ける流星							
……違う！　これは全て、俺の意志！たしかに俺は、師匠の弱さにショックを受け、格闘士ギルドを、飛び出した……。			……違う！　これは全て、俺の意志！たしかに俺は、師匠の弱さにショックを受け、格闘士ギルドを、飛び出した……。			燃える明星、駆ける流星							
飛び出した後……金も、身よりも、学もない俺を受け入れてくれたのは、裏社会だけだった。確かに今の俺は、裏社会の人間だ……けど……			飛び出した後……金も、身よりも、学もない俺を受け入れてくれたのは、裏社会だけだった。確かに今の俺は、裏社会の人間だ……けど……			燃える明星、駆ける流星							
貧民街で、ゴミみたいに扱われてた俺たちに、初めて優しくしてくれた、師匠への感謝……それを忘れたわけじゃない！			貧民街で、ゴミみたいに扱われてた俺たちに、初めて優しくしてくれた、師匠への感謝……それを忘れたわけじゃない！			燃える明星、駆ける流星							
俺は知っている、ヴェッグファルは強い。奴と戦ったら、師匠もケガだけではすまない……。			俺は知っている、ヴェッグファルは強い。奴と戦ったら、師匠もケガだけではすまない……。			燃える明星、駆ける流星							
だから……だからせめて……師匠には、弱いままでいてほしい。戦うのを諦めて、逃げてほしいから……。			だから……だからせめて……師匠には、弱いままでいてほしい。戦うのを諦めて、逃げてほしいから……。			燃える明星、駆ける流星							
……まったく。あんたって相変わらず不器用なのねっ。			……まったく。あんたって相変わらず不器用なのねっ。			燃える明星、駆ける流星							
師匠なら大丈夫。Forenameが強くなればなるほどね、師匠はどんどん元気になっていくの！			師匠なら大丈夫。Forenameが強くなればなるほどね、師匠はどんどん元気になっていくの！			燃える明星、駆ける流星							
Forenameの成長のペースなら、師匠は決闘の日までに、完全復活できるはずよ！だから安心して、真っ向勝負なら師匠は絶対に負けないわ！			Forenameの成長のペースなら、師匠は決闘の日までに、完全復活できるはずよ！だから安心して、真っ向勝負なら師匠は絶対に負けないわ！			燃える明星、駆ける流星							
…………俺の立場では何もできない……だから。チュチュト、Forename……師匠を、頼む。			…………俺の立場では何もできない……だから。チュチュト、Forename……師匠を、頼む。			燃える明星、駆ける流星							
……ぷはー！！ルルクタと久々に拳を交えて、本心も聞けてよかった！心のつっかえがとれたって感じ！			……ぷはー！！ルルクタと久々に拳を交えて、本心も聞けてよかった！心のつっかえがとれたって感じ！			燃える明星、駆ける流星							
さーて、スッキリしたところで、早く師匠に木人を壊してもらいにいかなきゃね♪Forename、ギルドに帰りましょ！			さーて、スッキリしたところで、早く師匠に木人を壊してもらいにいかなきゃね♪Forename、ギルドに帰りましょ！			燃える明星、駆ける流星							
Forename、おかえり。先に帰ってきたチュチュトに聞いたぞい、ワシのために木人を設置してくれたらしいのう！			Forename、おかえり。先に帰ってきたチュチュトに聞いたぞい、ワシのために木人を設置してくれたらしいのう！			燃える明星、駆ける流星							
しかしのう、よりによって危険な場所に……。しかも、全ての木人を倒してくるまで、夕飯はお預けじゃとチュチュトが言いよる……。			しかしのう、よりによって危険な場所に……。しかも、全ての木人を倒してくるまで、夕飯はお預けじゃとチュチュトが言いよる……。			燃える明星、駆ける流星							
まったく、本当余計なこ……ゴホン、本当に師匠想いの弟子たちじゃのう！			まったく、本当余計なこ……ゴホン、本当に師匠想いの弟子たちじゃのう！			燃える明星、駆ける流星							
……それと、ルルクタのことも聞いた。			……それと、ルルクタのことも聞いた。			燃える明星、駆ける流星							
ルルクタは心根が良い子じゃからのう、奴なりに、ワシのことを心配してくれたのじゃろう……。			ルルクタは心根が良い子じゃからのう、奴なりに、ワシのことを心配してくれたのじゃろう……。			燃える明星、駆ける流星							
じゃが、ワシはまだまだ逃げるわけにはいかん！！不屈の闘魂、沸き上がるスタミナを、Forenameが思い出させてくれたからのう！			じゃが、ワシはまだまだ逃げるわけにはいかん！！不屈の闘魂、沸き上がるスタミナを、Forenameが思い出させてくれたからのう！			燃える明星、駆ける流星							
さあて、ちょっくら木人を倒しに行ってくるかのう！Forename、うかうかしてると、ワシがお主を抜いちゃうぞーい！！			さあて、ちょっくら木人を倒しに行ってくるかのう！Forename、うかうかしてると、ワシがお主を抜いちゃうぞーい！！			燃える明星、駆ける流星							
どけ、チュチュト！　俺はForenameを……殺す！			どけ、チュチュト！　俺はForenameを……殺す！			燃える明星、駆ける流星							
いやよ！　Forenameは私が守る！			いやよ！　Forenameは私が守る！			燃える明星、駆ける流星							
ブラッドハウンド達よ……Forenameを噛み殺せ！			ブラッドハウンド達よ……Forenameを噛み殺せ！			燃える明星、駆ける流星							
