流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			自由が生みしアラミゴの獣							
くそっ、油断した……！こんなところでラウバーン隊長にご迷惑をかけるわけには……。			くそっ、油断した……！こんなところでラウバーン隊長にご迷惑をかけるわけには……。			自由が生みしアラミゴの獣							
あいつら……人だったと思うと……体が動かなくて……。もう、いやだ……いずれ俺もああなっちまうのかな……。			あいつら……人だったと思うと……体が動かなくて……。もう、いやだ……いずれ俺もああなっちまうのかな……。			自由が生みしアラミゴの獣							
すごい、あっという間に傷が癒えた……！ありがとうございます！			すごい、あっという間に傷が癒えた……！ありがとうございます！			自由が生みしアラミゴの獣							
あのう、Forenameさんですよね？あなたが戦場に立つ姿をみて、解放軍に志願したんです！治療していただけて、光栄です……！			あのう、Forenameさんですよね？あなたが戦場に立つ姿をみて、解放軍に志願したんです！治療していただけて、光栄です……！			自由が生みしアラミゴの獣							
人が目の前で……獣に……ううっ……。俺は……俺が殺したのは……。			人が目の前で……獣に……ううっ……。俺は……俺が殺したのは……。			自由が生みしアラミゴの獣							
取り乱してすみません……。でも、あなたや隊長が来てくれたおかげで落ち着いてきました。帰還して隊に報告してきます……。			取り乱してすみません……。でも、あなたや隊長が来てくれたおかげで落ち着いてきました。帰還して隊に報告してきます……。			自由が生みしアラミゴの獣							
よお、来てくれると信じてたぜ。			よお、来てくれると信じてたぜ。			自由が生みしアラミゴの獣							
またしてもこの国の危機に手を差し伸べてくれるのか……。本当に、お前には頭が上がらぬな。			またしてもこの国の危機に手を差し伸べてくれるのか……。本当に、お前には頭が上がらぬな。			自由が生みしアラミゴの獣							
負傷兵の治療、改めて感謝する。周辺を捜索してみたが、あれ以上の獣の姿はなかった。ひとまず近隣の安全は確保されたと考えてよかろう。			負傷兵の治療、改めて感謝する。周辺を捜索してみたが、あれ以上の獣の姿はなかった。ひとまず近隣の安全は確保されたと考えてよかろう。			自由が生みしアラミゴの獣							
それから目撃者の件だが、彼らから、獣化の瞬間を見たと申し出てくれてな……。			それから目撃者の件だが、彼らから、獣化の瞬間を見たと申し出てくれてな……。			自由が生みしアラミゴの獣							
よお、Forename。グリダニアで会ったとき以来だな。			よお、Forename。グリダニアで会ったとき以来だな。			自由が生みしアラミゴの獣							
あれから、車椅子の使い方には慣れてきたんだぜ！コイツがあれば、結構どこにだっていけるもんだ。			あれから、車椅子の使い方には慣れてきたんだぜ！コイツがあれば、結構どこにだっていけるもんだ。			自由が生みしアラミゴの獣							
今はアラミゴで、とある団体の手伝いをやっていてな。その活動の一環で、アラガーナを訪れていたんだが、無情にも獣化が起きちまった……。			今はアラミゴで、とある団体の手伝いをやっていてな。その活動の一環で、アラガーナを訪れていたんだが、無情にも獣化が起きちまった……。			自由が生みしアラミゴの獣							
最も近くで目撃したのが、ラガンフリッドだったそうだな。アラガーナで獣化が発生したという話、そのときの様子を詳しく聞かせてくれ。			最も近くで目撃したのが、ラガンフリッドだったそうだな。アラガーナで獣化が発生したという話、そのときの様子を詳しく聞かせてくれ。			自由が生みしアラミゴの獣							
無念だよ……。獣となった人物は、私たちが手助けを申し出ていた者だったのでな。			無念だよ……。獣となった人物は、私たちが手助けを申し出ていた者だったのでな。			自由が生みしアラミゴの獣							
話は少しばかり長くなるが、順を追って説明させてほしい。			話は少しばかり長くなるが、順を追って説明させてほしい。			自由が生みしアラミゴの獣							
王宮でラクシュミが召喚された、あの代表者会議の後……私は「白羽根の会」という団体を立ち上げてな。有志のボランティアを集い、活動していたのだ。			王宮でラクシュミが召喚された、あの代表者会議の後……私は「白羽根の会」という団体を立ち上げてな。有志のボランティアを集い、活動していたのだ。			自由が生みしアラミゴの獣							
その目的は、帝国に近しい立場にあった、いわゆる「アラミゴ系帝国人」たちの社会復帰を支援すること。たとえばフォルドラたち髑髏連隊の、遺族のような者たちだ。			その目的は、帝国に近しい立場にあった、いわゆる「アラミゴ系帝国人」たちの社会復帰を支援すること。たとえばフォルドラたち髑髏連隊の、遺族のような者たちだ。			自由が生みしアラミゴの獣							
何と言う？			何と言う？			自由が生みしアラミゴの獣							
髑髏連隊が憎いはずでは？			髑髏連隊が憎いはずでは？			自由が生みしアラミゴの獣							
今になってなぜ？			今になってなぜ？			自由が生みしアラミゴの獣							
髑髏連隊がしたことは、たしかに許せぬ。だが、代表者会議でフォルドラに助けられたとき、去り際に見せた彼女の背中が、忘れられなくてな……。			髑髏連隊がしたことは、たしかに許せぬ。だが、代表者会議でフォルドラに助けられたとき、去り際に見せた彼女の背中が、忘れられなくてな……。			自由が生みしアラミゴの獣							
それから、私は彼女たちの生き様を知ろうと、調べ始めたのだ。結果、明らかになったのは、彼らとて家族や愛する者のため、必死で生きていたという、当たり前の事実だけだった。			それから、私は彼女たちの生き様を知ろうと、調べ始めたのだ。結果、明らかになったのは、彼らとて家族や愛する者のため、必死で生きていたという、当たり前の事実だけだった。			自由が生みしアラミゴの獣							
私たちは弾圧で受けた苦しみと怒りを、それに加担した者のみならず、彼らの親類縁者にまで広げていた。その歪みが、髑髏連隊を生んだのだと気づいたのだ。			私たちは弾圧で受けた苦しみと怒りを、それに加担した者のみならず、彼らの親類縁者にまで広げていた。その歪みが、髑髏連隊を生んだのだと気づいたのだ。			自由が生みしアラミゴの獣							
……そして、今に目を向けて愕然とした。罪を犯した者が、その罪を裁かれるのは理解できるが、その親類との間にまで、溝が広がっていたのだ。			……そして、今に目を向けて愕然とした。罪を犯した者が、その罪を裁かれるのは理解できるが、その親類との間にまで、溝が広がっていたのだ。			自由が生みしアラミゴの獣							
このままでは、また同じ悲劇が繰り返される。そう危機感を抱いた私は、「白羽根の会」を立ち上げた。社会から取り残された人々に、手を差し伸べるための団体だよ。			このままでは、また同じ悲劇が繰り返される。そう危機感を抱いた私は、「白羽根の会」を立ち上げた。社会から取り残された人々に、手を差し伸べるための団体だよ。			自由が生みしアラミゴの獣							
俺もその考えに共感してさ。できる範囲で、「白羽根の会」を手伝わせてもらっているんだ。具体的には、仕事の斡旋だとか、交流会なんかをやっている。			俺もその考えに共感してさ。できる範囲で、「白羽根の会」を手伝わせてもらっているんだ。具体的には、仕事の斡旋だとか、交流会なんかをやっている。			自由が生みしアラミゴの獣							
彼のような有志の協力もあって、活動は概ね順調にいっていた。だが……髑髏連隊の遺族への支援だけは、難航していてな……。彼らはどういうわけか、私たちを頑なに拒むのだ。			彼のような有志の協力もあって、活動は概ね順調にいっていた。だが……髑髏連隊の遺族への支援だけは、難航していてな……。彼らはどういうわけか、私たちを頑なに拒むのだ。			自由が生みしアラミゴの獣							
話が見えてきた。件の獣化した者もまた、髑髏連隊の遺族だったのだな？			話が見えてきた。件の獣化した者もまた、髑髏連隊の遺族だったのだな？			自由が生みしアラミゴの獣							
そうか……言葉は悪いが、彼らは言わば、身内から「同胞殺し」を生んでしまった者たちだ。その罪悪感や無念さたるや、察するに余りある。			そうか……言葉は悪いが、彼らは言わば、身内から「同胞殺し」を生んでしまった者たちだ。その罪悪感や無念さたるや、察するに余りある。			自由が生みしアラミゴの獣							
……なあ、彼らが支援を拒む理由に、実は心当たりがあるんだ。それで、悪いが少し移動に付き合ってくれないか？下手な噂が広まらないように、場所を移したいんだ。			……なあ、彼らが支援を拒む理由に、実は心当たりがあるんだ。それで、悪いが少し移動に付き合ってくれないか？下手な噂が広まらないように、場所を移したいんだ。			自由が生みしアラミゴの獣							
実は俺、視たんだよ……。今回、終末の獣と化した男の「過去」をな。			実は俺、視たんだよ……。今回、終末の獣と化した男の「過去」をな。			自由が生みしアラミゴの獣							
そうか、貴様も「超える力」の持ち主だったな。絶望のきっかけを知る一端となるやもしれん。……聞かせてくれ。			そうか、貴様も「超える力」の持ち主だったな。絶望のきっかけを知る一端となるやもしれん。……聞かせてくれ。			自由が生みしアラミゴの獣							
俺が視たのは、獣化した男の記憶の、ほんの断片にすぎないが……順を追って話すよ。			俺が視たのは、獣化した男の記憶の、ほんの断片にすぎないが……順を追って話すよ。			自由が生みしアラミゴの獣							
属州時代、彼は男手ひとつで、ひとり息子を育てていたようだ。その過程で大切な息子を守るため、帝国軍に従う道を選んだ。同胞から、どう見られるかを承知でな……。			属州時代、彼は男手ひとつで、ひとり息子を育てていたようだ。その過程で大切な息子を守るため、帝国軍に従う道を選んだ。同胞から、どう見られるかを承知でな……。			自由が生みしアラミゴの獣							
だが、売国奴と罵られる父を見てきた息子は……少しでも父にいい暮らしをさせたいと、髑髏連隊に入ってしまった。父親は酷く嘆いた……息子にそんな選択をさせたことをな。			だが、売国奴と罵られる父を見てきた息子は……少しでも父にいい暮らしをさせたいと、髑髏連隊に入ってしまった。父親は酷く嘆いた……息子にそんな選択をさせたことをな。			自由が生みしアラミゴの獣							
……そして、息子は同胞殺しに手を染めた末、命を落とした。裏切り者と呼ばれてまで、守ろうとした息子を喪い、男は最期まで、自分を責め続けていたよ……。			……そして、息子は同胞殺しに手を染めた末、命を落とした。裏切り者と呼ばれてまで、守ろうとした息子を喪い、男は最期まで、自分を責め続けていたよ……。			自由が生みしアラミゴの獣							
それで、絶望が積もり積もって、獣と成り果てたか……。自由を勝ち得てなお、そのような悲劇が起ころうとはな……。自分を責める……自責の念、か……。			それで、絶望が積もり積もって、獣と成り果てたか……。自由を勝ち得てなお、そのような悲劇が起ころうとはな……。自分を責める……自責の念、か……。			自由が生みしアラミゴの獣							
そうか……遺族らが、我々の支援を拒む理由はこれか……。己に救われる資格がないと、自責の念に囚われておったのだな。……なんということだ。			そうか……遺族らが、我々の支援を拒む理由はこれか……。己に救われる資格がないと、自責の念に囚われておったのだな。……なんということだ。			自由が生みしアラミゴの獣							
なあ、獣だか偽神獣だか、正直よくわからないが……俺は獣となった彼らを、ただ倒すんじゃなくて、救いたいんだ。			なあ、獣だか偽神獣だか、正直よくわからないが……俺は獣となった彼らを、ただ倒すんじゃなくて、救いたいんだ。			自由が生みしアラミゴの獣							
Forenameには前に話したよな。俺はアラミゴ人だが、ガレアン族の血も入っているってさ。だから、差別される側の苦しみも、多少はわかるつもりだ。			Forenameには前に話したよな。俺はアラミゴ人だが、ガレアン族の血も入っているってさ。だから、差別される側の苦しみも、多少はわかるつもりだ。			自由が生みしアラミゴの獣							
俺はアルフィノみたいに頭も良くないし、弁も立たないが、皆に話を聞いて、苦しみを分かち合うことなら、今の俺にだってできるはずさ。			俺はアルフィノみたいに頭も良くないし、弁も立たないが、皆に話を聞いて、苦しみを分かち合うことなら、今の俺にだってできるはずさ。			自由が生みしアラミゴの獣							
……もう、剣は持てなくなっちまった。それでも、アバとオリとの約束があるからな。誰かのために戦うことを、俺は辞めるわけにはいかない。			……もう、剣は持てなくなっちまった。それでも、アバとオリとの約束があるからな。誰かのために戦うことを、俺は辞めるわけにはいかない。			自由が生みしアラミゴの獣							
今回の件だって、この「白羽根の会」の活動を通して、誰かを救うことができると思うんだ！ラウバーン隊長、どうか協力させてくれませんか？			今回の件だって、この「白羽根の会」の活動を通して、誰かを救うことができると思うんだ！ラウバーン隊長、どうか協力させてくれませんか？			自由が生みしアラミゴの獣							
うむ、それは頼もしい。吾輩も「白羽根の会」の活動には、獣化に至る絶望を抑え込む力があると期待している。			うむ、それは頼もしい。吾輩も「白羽根の会」の活動には、獣化に至る絶望を抑え込む力があると期待している。			自由が生みしアラミゴの獣							
此度の戦いは、ただ武力で優れば良いというものではない。我らの敵は、人々の心に潜む、絶望なのだ。			此度の戦いは、ただ武力で優れば良いというものではない。我らの敵は、人々の心に潜む、絶望なのだ。			自由が生みしアラミゴの獣							
これを払うのに、「白羽根の会」ほど心強い友はおらぬだろう。代表たるラガンフリッドの同意さえ得られるならば、正式に協力を要請させてもらいたい。			これを払うのに、「白羽根の会」ほど心強い友はおらぬだろう。代表たるラガンフリッドの同意さえ得られるならば、正式に協力を要請させてもらいたい。			自由が生みしアラミゴの獣							
そして解放者たるForenameも合流し、アラミゴの偽神獣に対抗するための役者は揃った。			そして解放者たるForenameも合流し、アラミゴの偽神獣に対抗するための役者は揃った。			自由が生みしアラミゴの獣							
偽神獣の討伐と、遺族らの救済。その両方を解決するために、どうか力を貸してほしい。			偽神獣の討伐と、遺族らの救済。その両方を解決するために、どうか力を貸してほしい。			自由が生みしアラミゴの獣							
では、我らは一度アラミガン・クォーターに戻るとしよう。			では、我らは一度アラミガン・クォーターに戻るとしよう。			自由が生みしアラミゴの獣							
「自責の念」を抱く者は、決して心弱き者ではない。それだけ、己よりも案じるべきものがあったということだ。			「自責の念」を抱く者は、決して心弱き者ではない。それだけ、己よりも案じるべきものがあったということだ。			自由が生みしアラミゴの獣							
吾輩もかつて、女王陛下暗殺未遂事件の折、ナナモ様を守れなかったと、激しく自責の念にかられたものだ。あのときの絶望は筆舌に尽くしがたいものだった。			吾輩もかつて、女王陛下暗殺未遂事件の折、ナナモ様を守れなかったと、激しく自責の念にかられたものだ。あのときの絶望は筆舌に尽くしがたいものだった。			自由が生みしアラミゴの獣							
それでも今の吾輩があるのは、Forenameや仲間たちに救われたからだ。そして皆が、帰る場所を取り戻してくれた。			それでも今の吾輩があるのは、Forenameや仲間たちに救われたからだ。そして皆が、帰る場所を取り戻してくれた。			自由が生みしアラミゴの獣							
今こそ、本当の意味でアラミゴが変わらねばならぬとき。すべてのアラミゴの民にとっての故郷を、取り戻したい。			今こそ、本当の意味でアラミゴが変わらねばならぬとき。すべてのアラミゴの民にとっての故郷を、取り戻したい。			自由が生みしアラミゴの獣							
その上で「白羽根の会」の協力は不可欠となるだろう。彼らのような存在が、民衆の中から現れ始めたという事実に、吾輩は、未来への希望を感じているのだ。			その上で「白羽根の会」の協力は不可欠となるだろう。彼らのような存在が、民衆の中から現れ始めたという事実に、吾輩は、未来への希望を感じているのだ。			自由が生みしアラミゴの獣							
偽神獣に関しては、引き続き解放軍で足取りを追う。何か進展があれば、そこにいる偽神獣対策部隊の闘士から報せよう。引き続きよろしく頼むぞ、Forename。			偽神獣に関しては、引き続き解放軍で足取りを追う。何か進展があれば、そこにいる偽神獣対策部隊の闘士から報せよう。引き続きよろしく頼むぞ、Forename。			自由が生みしアラミゴの獣							
ご協力に感謝です！			ご協力に感謝です！			自由が生みしアラミゴの獣							
アラミガン・クォーターの偽神獣対策部隊の闘士は、冒険者に伝えたいことがあるようだ。			アラミガン・クォーターの偽神獣対策部隊の闘士は、冒険者に伝えたいことがあるようだ。			髑髏の処刑人							
フォルドラに同行し、癒し手として獣化対応のフォローをすることになった。ギラバニア山岳地帯のアラガーナで「フォルドラ」と話そう。			フォルドラに同行し、癒し手として獣化対応のフォローをすることになった。ギラバニア山岳地帯のアラガーナで「フォルドラ」と話そう。			髑髏の処刑人							
