再会の市のアダルキム族の男は、腕の立つ武人を探しているようだ。			再会の市のアダルキム族の男は、腕の立つ武人を探しているようだ。			アダルキムの後継者							
コトタに様々な「行動」を示していたところ、ガスコットが乱入してきた。ガスコットの「行動」は、コトタには受け入れてもらえなかったようだ。再会の市の「ガスコット」と話そう。			コトタに様々な「行動」を示していたところ、ガスコットが乱入してきた。ガスコットの「行動」は、コトタには受け入れてもらえなかったようだ。再会の市の「ガスコット」と話そう。			行動による証明							
ガスコットは、懇親の踊りが受け入れてもらえなかったことが不思議でならないらしい。ケスティル族には、どんな「行動」を示せばいいか悩むガスコットに、引き続き協力していこう。			ガスコットは、懇親の踊りが受け入れてもらえなかったことが不思議でならないらしい。ケスティル族には、どんな「行動」を示せばいいか悩むガスコットに、引き続き協力していこう。			行動による証明							
再会の市にいる者たちから話を聞く			再会の市にいる者たちから話を聞く			行動による証明							
ガスコットに報告			ガスコットに報告			行動による証明							
コトタに「アピール」をする			コトタに「アピール」をする			行動による証明							
ガスコットと話す			ガスコットと話す			行動による証明							
さて、ケスティル族について、私が知りたいのは、言葉を好まない彼らと、どうやって親睦を深めればいいのかです。それがわからないと、門前払いの繰り返しですからね。			さて、ケスティル族について、私が知りたいのは、言葉を好まない彼らと、どうやって親睦を深めればいいのかです。それがわからないと、門前払いの繰り返しですからね。			行動による証明							
さっそく、あなたにお願いです！再会の市の人たちに、ケスティル族について、彼らの好みや性格、風習などなど、聞き込んでみてください！			さっそく、あなたにお願いです！再会の市の人たちに、ケスティル族について、彼らの好みや性格、風習などなど、聞き込んでみてください！			行動による証明							
もちろん、私も聞いてはみますが……どうも私は、この市の人たちに嫌われているようでして……。あなたのことを、頼りにさせてもらいますよ！			もちろん、私も聞いてはみますが……どうも私は、この市の人たちに嫌われているようでして……。あなたのことを、頼りにさせてもらいますよ！			行動による証明							
いやぁ、お喋りは得意なつもりだったんですが、この市では、どうにも上手くいきませんねえ……。あなたも、聞き込みをよろしくお願いします！			いやぁ、お喋りは得意なつもりだったんですが、この市では、どうにも上手くいきませんねえ……。あなたも、聞き込みをよろしくお願いします！			行動による証明							
……ガスコットを手伝ってるの？あの男、声は大きいし、やり口も強引だし……異邦人ってだけで同一視されて、迷惑してるのよね。			……ガスコットを手伝ってるの？あの男、声は大きいし、やり口も強引だし……異邦人ってだけで同一視されて、迷惑してるのよね。			行動による証明							
郷に入っては郷に従え、っていうのができないのよ。ここで商売するには、ケスティル族の決定が絶対なのに。			郷に入っては郷に従え、っていうのができないのよ。ここで商売するには、ケスティル族の決定が絶対なのに。			行動による証明							
んー、ケスティル族について知りたいって？そんなの、ここで数日も暮せばすぐわかるんじゃない？あの商人は、別のようだけどねー。			んー、ケスティル族について知りたいって？そんなの、ここで数日も暮せばすぐわかるんじゃない？あの商人は、別のようだけどねー。			行動による証明							
彼らは、決して言葉に惑わされず、行動がすべてと考える部族。ケスティル族から信頼を得たいなら、「行動」で示すんだねー。自分の行いを振り返れば、きっと答えがあるはずだよ。			彼らは、決して言葉に惑わされず、行動がすべてと考える部族。ケスティル族から信頼を得たいなら、「行動」で示すんだねー。自分の行いを振り返れば、きっと答えがあるはずだよ。			行動による証明							
……彼らについて知りたいなら、ここが何故「再会の市」と名づけられたか考えてみることね。			……彼らについて知りたいなら、ここが何故「再会の市」と名づけられたか考えてみることね。			行動による証明							
部族ごとに争い散らばってしまった、アウラ・ゼラ族だけど、ここでだけは、ひとつに戻ろうという願いが込められてるの。だから、彼らは、ここでの争いの一切を禁じているのよ。			部族ごとに争い散らばってしまった、アウラ・ゼラ族だけど、ここでだけは、ひとつに戻ろうという願いが込められてるの。だから、彼らは、ここでの争いの一切を禁じているのよ。			行動による証明							
ここで商売したいんなら、ケスティル族の許可が必要よ。彼らに嫌われちゃ商売は無理だって、あの商人に伝えてやって。			ここで商売したいんなら、ケスティル族の許可が必要よ。彼らに嫌われちゃ商売は無理だって、あの商人に伝えてやって。			行動による証明							
彼らは、決して言葉に惑わされず、行動がすべてと考える部族。ケスティル族から信頼を得たいなら、「行動」で示すんだねー。自分の行いを振り返れば、きっと答えがあるはずだよ。			彼らは、決して言葉に惑わされず、行動がすべてと考える部族。ケスティル族から信頼を得たいなら、「行動」で示すんだねー。自分の行いを振り返れば、きっと答えがあるはずだよ。			行動による証明							
ここは、散らばってしまったアウラ・ゼラ族が、ふたたび、ひとつになれるよう願いが込められた場所……。だから、ケスティル族はここでの争いを禁じているのよ。			ここは、散らばってしまったアウラ・ゼラ族が、ふたたび、ひとつになれるよう願いが込められた場所……。だから、ケスティル族はここでの争いを禁じているのよ。			行動による証明							
いや、ケスティル族にかぎらず、ここは無口な方が多い。皆さん、私を睨んでばかりでして……。そちらはどうでした？			いや、ケスティル族にかぎらず、ここは無口な方が多い。皆さん、私を睨んでばかりでして……。そちらはどうでした？			行動による証明							
……ふむ、言葉ではなく「行動」で示せ、と。やはり言葉のみに頼ってはいけないのですね……。本当に、不思議な人たちですなあ。			……ふむ、言葉ではなく「行動」で示せ、と。やはり言葉のみに頼ってはいけないのですね……。本当に、不思議な人たちですなあ。			行動による証明							
では、彼らに対して行動を起こし、親睦を深めましょう！友好の気持ちを示すため、私たちが不審な者ではないと、「アピール」するんです！			では、彼らに対して行動を起こし、親睦を深めましょう！友好の気持ちを示すため、私たちが不審な者ではないと、「アピール」するんです！			行動による証明							
そうですね……。私は、市を見回っているケスティル族の人に、「アピール」してみましょう！			そうですね……。私は、市を見回っているケスティル族の人に、「アピール」してみましょう！			行動による証明							
あなたは、先ほどの「コトタ」さんに、「アピール」をしていただけますか？彼女が、この市の出店許可を取りまとめていますので！			あなたは、先ほどの「コトタ」さんに、「アピール」をしていただけますか？彼女が、この市の出店許可を取りまとめていますので！			行動による証明							
やあ、私たち、ずいぶん心が通じ合ったようですよ！そちらも、市の出店許可を取りまとめる「コトタ」さんに、「アピール」をお願いしますね！			やあ、私たち、ずいぶん心が通じ合ったようですよ！そちらも、市の出店許可を取りまとめる「コトタ」さんに、「アピール」をお願いしますね！			行動による証明							
……………………。			……………………。			行動による証明							
顔をしかめ、胡散臭そうにガスコットを見ている……。			顔をしかめ、胡散臭そうにガスコットを見ている……。			行動による証明							
…………？			…………？			行動による証明							
首をかしげ、冒険者をジッと見ている。「コトタ」に「アピール」をして、友好の気持ちを示そう。			首をかしげ、冒険者をジッと見ている。「コトタ」に「アピール」をして、友好の気持ちを示そう。			行動による証明							
コトタは、冒険者の「アピール」に戸惑っているようだ。つづけて、どんな態度をとるべきだろうか……。			コトタは、冒険者の「アピール」に戸惑っているようだ。つづけて、どんな態度をとるべきだろうか……。			行動による証明							
どんな態度をとる？			どんな態度をとる？			行動による証明							
強めの態度に出る			強めの態度に出る			行動による証明							
友好的な態度を取る			友好的な態度を取る			行動による証明							
さらに戸惑わせてみる			さらに戸惑わせてみる			行動による証明							
…………！？			…………！？			行動による証明							
どうやら、コトタを困らせてしまったようだ。関係を改善するため、どんな態度をとるべきだろう……。			どうやら、コトタを困らせてしまったようだ。関係を改善するため、どんな態度をとるべきだろう……。			行動による証明							
…………？			…………？			行動による証明							
冒険者の行動をどう受け取るか、悩んでいるようだ。良好な関係を築くため、どんな態度をとるべきだろう……。			冒険者の行動をどう受け取るか、悩んでいるようだ。良好な関係を築くため、どんな態度をとるべきだろう……。			行動による証明							
…………！！？			…………！！？			行動による証明							
どうやら、コトタを怖がらせてしまったようだ。早急に誤解を解くため、どんな態度をとるべきだろう……。			どうやら、コトタを怖がらせてしまったようだ。早急に誤解を解くため、どんな態度をとるべきだろう……。			行動による証明							
次は、どんな態度をとる？			次は、どんな態度をとる？			行動による証明							
淑女らしい紳士的な態度を取る			淑女らしい紳士的な態度を取る			行動による証明							
より親しみを込めた態度を取る			より親しみを込めた態度を取る			行動による証明							
全力で意表を突く			全力で意表を突く			行動による証明							
…………。			…………。			行動による証明							
コトタは、冒険者に笑い返してくれた。どうやら、怪しい者ではないということは伝わったらしい。			コトタは、冒険者に笑い返してくれた。どうやら、怪しい者ではないということは伝わったらしい。			行動による証明							
…………。			…………。			行動による証明							
コトタは、笑って許してくれたようだ。どうやら、怪しい者ではないということは伝わったらしい。			コトタは、笑って許してくれたようだ。どうやら、怪しい者ではないということは伝わったらしい。			行動による証明							
…………！！！！？			…………！！！！？			行動による証明							
コトタは、返すべき行動が思いつかないようだ。どうやら、冒険者は奇っ怪な人物として認識されたらしい……。			コトタは、返すべき行動が思いつかないようだ。どうやら、冒険者は奇っ怪な人物として認識されたらしい……。			行動による証明							
コトタさ～ん！冒険者さんだけではなく、私の思いも受け取ってください！さぁ、クガネで覚えたボム踊りを、ご一緒に！			コトタさ～ん！冒険者さんだけではなく、私の思いも受け取ってください！さぁ、クガネで覚えたボム踊りを、ご一緒に！			行動による証明							
さぁさぁ、皆でおなじ踊りをすることで親睦を深め、お互いのことを知り合いましょう～！			さぁさぁ、皆でおなじ踊りをすることで親睦を深め、お互いのことを知り合いましょう～！			行動による証明							
……って、あ、あら？どうやら、お呼びでない……ようですね……。こりゃまた、失礼いたしました……。			……って、あ、あら？どうやら、お呼びでない……ようですね……。こりゃまた、失礼いたしました……。			行動による証明							
……それじゃあ、冒険者さん、私は外で待ってますねっ。			……それじゃあ、冒険者さん、私は外で待ってますねっ。			行動による証明							
……………………。			……………………。			行動による証明							
「ガスコット」の行動に、呆れ果てているようだ……。			「ガスコット」の行動に、呆れ果てているようだ……。			行動による証明							
う～ん、コトタさんには、私の「行動」は受け入れてもらえなかったようですね……。			う～ん、コトタさんには、私の「行動」は受け入れてもらえなかったようですね……。			行動による証明							
さっき、別のケスティル族の男性に踊ってみせたときは、みんな私の周りを取り囲んで、注目してくれてたんですが。こちらを見て、ひそひそ囁きあったり、指差して笑ったり……。			さっき、別のケスティル族の男性に踊ってみせたときは、みんな私の周りを取り囲んで、注目してくれてたんですが。こちらを見て、ひそひそ囁きあったり、指差して笑ったり……。			行動による証明							
あんなに反響があったんだから、コトタさんも、喜んで、一緒に踊ってくれると思ったんですけどねえ。何故、あんなに怒ったんでしょう……。			あんなに反響があったんだから、コトタさんも、喜んで、一緒に踊ってくれると思ったんですけどねえ。何故、あんなに怒ったんでしょう……。			行動による証明							
でも、ケスティル族のことは大分わかってきました。あとは、どういった「行動」で彼らに訴えかけるか……。踊りが駄目だとすると……う～ん、後は……。			でも、ケスティル族のことは大分わかってきました。あとは、どういった「行動」で彼らに訴えかけるか……。踊りが駄目だとすると……う～ん、後は……。			行動による証明							
再会の市のタマチャグは、苛立っているようだ。			再会の市のタマチャグは、苛立っているようだ。			沈黙の民							
ケスティル族を困らせている商人を止めるよう頼まれた。再会の市にある族長の天幕に向かい、商人「ガスコット」と話そう。			ケスティル族を困らせている商人を止めるよう頼まれた。再会の市にある族長の天幕に向かい、商人「ガスコット」と話そう。			沈黙の民							
ガスコットは、ひとまず冒険者の言葉を受け入れ天幕を出ていった。再度、再会の市の「ガスコット」と話そう。			ガスコットは、ひとまず冒険者の言葉を受け入れ天幕を出ていった。再度、再会の市の「ガスコット」と話そう。			沈黙の民							
ガスコットから、彼がケスティル族について知る手助けを頼まれた。沈黙の民とも呼ばれるケスティル族の風習を学ぶことで、ここでの出店許可を得るのが目的のようだ。			ガスコットから、彼がケスティル族について知る手助けを頼まれた。沈黙の民とも呼ばれるケスティル族の風習を学ぶことで、ここでの出店許可を得るのが目的のようだ。			沈黙の民							
ガスコットと話す			ガスコットと話す			沈黙の民							
ガスコットと再度話す			ガスコットと再度話す			沈黙の民							
……あんた、この辺の部族のものじゃないね。ちょっといいかい、「余所者」のあんたに頼みがある……。			……あんた、この辺の部族のものじゃないね。ちょっといいかい、「余所者」のあんたに頼みがある……。			沈黙の民							
ここ「再会の市」は、ケスティル族という部族が仕切ってるんだがね……。異国から来た商人が、彼らを困らせてるんだ。			ここ「再会の市」は、ケスティル族という部族が仕切ってるんだがね……。異国から来た商人が、彼らを困らせてるんだ。			沈黙の民							
ケスティル族は、沈黙の民とも呼ばれる部族。言葉こそが嘘の温床と考える彼らは、言葉ではなく、行動で意思を示すため、ほとんど喋ることはない……。			ケスティル族は、沈黙の民とも呼ばれる部族。言葉こそが嘘の温床と考える彼らは、言葉ではなく、行動で意思を示すため、ほとんど喋ることはない……。			沈黙の民							
……だってのに、そんなケスティル族に向かって、「言葉」を尽くして、商売の許可を得ようとしている男がいる。それも、ひどく強引にな。			……だってのに、そんなケスティル族に向かって、「言葉」を尽くして、商売の許可を得ようとしている男がいる。それも、ひどく強引にな。			沈黙の民							
そいつの弁舌には、いい加減我々もウンザリなんだが、どうも、ケスティル族の信念が理解できないらしい……。我々が何を言っても、聞く耳もたん。			そいつの弁舌には、いい加減我々もウンザリなんだが、どうも、ケスティル族の信念が理解できないらしい……。我々が何を言っても、聞く耳もたん。			沈黙の民							
恐らく今も、族長の天幕で無駄な口上を述べているだろう。その商人「ガスコット」が、どれだけ無駄なことをしてるか、あんたからも言ってやってくれないか？			恐らく今も、族長の天幕で無駄な口上を述べているだろう。その商人「ガスコット」が、どれだけ無駄なことをしてるか、あんたからも言ってやってくれないか？			沈黙の民							
「ガスコット」という商人に、言って聞かせてやってくれ。族長の天幕で、余計な言葉をまくし立てているはずだ。			「ガスコット」という商人に、言って聞かせてやってくれ。族長の天幕で、余計な言葉をまくし立てているはずだ。			沈黙の民							
……………………。			……………………。			沈黙の民							
眉をひそめ、ガスコットを睨みつけている……。彼女が、再会の市の出店許可を取りまとめているようだ。			眉をひそめ、ガスコットを睨みつけている……。彼女が、再会の市の出店許可を取りまとめているようだ。			沈黙の民							
いい加減、喋ってもらいたいんですがねえ……。言葉をかわすことで、とける誤解もありましょう？さあ、直接、あなたの口から……って、ん？			いい加減、喋ってもらいたいんですがねえ……。言葉をかわすことで、とける誤解もありましょう？さあ、直接、あなたの口から……って、ん？			沈黙の民							
なんです、あなた？商売の交渉に来たんなら、順番は私が先ですよ。それとも……私になにかご用件でもあるんで？			なんです、あなた？商売の交渉に来たんなら、順番は私が先ですよ。それとも……私になにかご用件でもあるんで？			沈黙の民							
……なんだ、あなた、同業者じゃなかったんですか。ケスティル族には、言葉ではなく行動で示さないと無駄、ねえ。			……なんだ、あなた、同業者じゃなかったんですか。ケスティル族には、言葉ではなく行動で示さないと無駄、ねえ。			沈黙の民							
ほかのアウラ族の方にも、同じことを言われましたが……。まったく喋らずに、市を取り仕切ることができるのか、どうにも、私は納得できませんよ……。			ほかのアウラ族の方にも、同じことを言われましたが……。まったく喋らずに、市を取り仕切ることができるのか、どうにも、私は納得できませんよ……。			沈黙の民							
……まあ、これ以上駄々をこねても無駄なようですね。この市の関係者でもない、あなたにも同じことを言われたんだ。ケスティル族の風習とやら、信じることにいたしましょう。			……まあ、これ以上駄々をこねても無駄なようですね。この市の関係者でもない、あなたにも同じことを言われたんだ。ケスティル族の風習とやら、信じることにいたしましょう。			沈黙の民							
……ところで、あなた。冒険者ということは、ここで商売するわけではないですよね？それなら……ちょっと外で話をさせてもらえませんか？			……ところで、あなた。冒険者ということは、ここで商売するわけではないですよね？それなら……ちょっと外で話をさせてもらえませんか？			沈黙の民							
……………………。			……………………。			沈黙の民							
「ガスコット」を追い返したことを感謝しているようだ……。			「ガスコット」を追い返したことを感謝しているようだ……。			沈黙の民							
いやあ、旅のお方との会話なんて久方ぶりですよ！私は、東アルデナード商会の東方支店に勤める者です。先ごろまで、クガネの商館で働いておったんですがね。			いやあ、旅のお方との会話なんて久方ぶりですよ！私は、東アルデナード商会の東方支店に勤める者です。先ごろまで、クガネの商館で働いておったんですがね。			沈黙の民							
先のドマの反乱からも1年が経ちましたし、アジムステップでの商取引も、再び活発化してくると睨みまして。そうなれば、ここにも異国の商人が続々とやってくるでしょう。			先のドマの反乱からも1年が経ちましたし、アジムステップでの商取引も、再び活発化してくると睨みまして。そうなれば、ここにも異国の商人が続々とやってくるでしょう。			沈黙の民							
ドマを支配していた帝国の連中も撤退したでしょう？とすれば、ここにも、商機を嗅ぎつけた異国の商人が、まもなく続々とやってくるはずです。			ドマを支配していた帝国の連中も撤退したでしょう？とすれば、ここにも、商機を嗅ぎつけた異国の商人が、まもなく続々とやってくるはずです。			沈黙の民							
そいつらに商機を奪われる前に、再会の市の市場を、私らが独占しようと考えましてね。どっさりと異国の便利な道具や嗜好品を持ち込んだんですよ！			そいつらに商機を奪われる前に、再会の市の市場を、私らが独占しようと考えましてね。どっさりと異国の便利な道具や嗜好品を持ち込んだんですよ！			沈黙の民							
……なのに、そもそも商売の許可すらもらえないとは。海賊衆に帆別銭をはずみ、野盗や魔物の目を盗み、数多くの艱難辛苦を乗り越えて、はるばるやって来たのに……。			……なのに、そもそも商売の許可すらもらえないとは。海賊衆に帆別銭をはずみ、野盗や魔物の目を盗み、数多くの艱難辛苦を乗り越えて、はるばるやって来たのに……。			沈黙の民							
得られたのは、ケスティル族の冷たい視線だけ。弁舌さわやかで人当たりもいい、この私が、あんな目を向けられたのは、生まれて初めてですよ……。			得られたのは、ケスティル族の冷たい視線だけ。弁舌さわやかで人当たりもいい、この私が、あんな目を向けられたのは、生まれて初めてですよ……。			沈黙の民							
そこで、あなた、ものは相談なのですが……私が商売の許可を得るのに、協力してくれませんか！？許可を得た暁には、永続割引の権利を差し上げますので！			そこで、あなた、ものは相談なのですが……私が商売の許可を得るのに、協力してくれませんか！？許可を得た暁には、永続割引の権利を差し上げますので！			沈黙の民							
なに、商売を手伝えとか、彼らを脅してこいなんて言いません。ケスティル族の風習を知るのに、手を貸してほしいんですよ。			なに、商売を手伝えとか、彼らを脅してこいなんて言いません。ケスティル族の風習を知るのに、手を貸してほしいんですよ。			沈黙の民							
連中は、ほかの地域とは違う神話、風習の中に生きている。商売の許可を得るには、それを知らねばならないようだ……。その手伝いを、あなたにお願いしたいんです！			連中は、ほかの地域とは違う神話、風習の中に生きている。商売の許可を得るには、それを知らねばならないようだ……。その手伝いを、あなたにお願いしたいんです！			沈黙の民							
それに、ケスティル族の風習を知ることは、あなたの冒険にとっても有益なのではないですか？さあ、連中の暮らしを一緒に学びましょうよ！			それに、ケスティル族の風習を知ることは、あなたの冒険にとっても有益なのではないですか？さあ、連中の暮らしを一緒に学びましょうよ！			沈黙の民							
再会の市のコトタは、ゲシ族のジェベイについて考え込んでいるようだ。			再会の市のコトタは、ゲシ族のジェベイについて考え込んでいるようだ。			言葉がなくても							
コトタから、「ベタついた獣脂」を返された。再会の市にある族長の天幕で、族長の「イトゥルゲン」に「ベタついた獣脂」を渡して、事態を説明しよう。			コトタから、「ベタついた獣脂」を返された。再会の市にある族長の天幕で、族長の「イトゥルゲン」に「ベタついた獣脂」を渡して、事態を説明しよう。			言葉がなくても							
