裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			老舗呉服店「大天屋」どす							
東方の裁縫技術に触れる、いい機会でしょ？なにより、最高の裁縫師であるForenameちゃんが、いてくれれば、あたしも心強いわ！			東方の裁縫技術に触れる、いい機会でしょ？なにより、最高の裁縫師であるForenameちゃんが、いてくれれば、あたしも心強いわ！			老舗呉服店「大天屋」どす							
助かるわ～！それじゃあ、まずは先方を迎えに行きましょう！すでにウルダハに到着して、街を視察しているはずよ。			助かるわ～！それじゃあ、まずは先方を迎えに行きましょう！すでにウルダハに到着して、街を視察しているはずよ。			老舗呉服店「大天屋」どす							
ルビーロード国際市場で合流することになっているの。東方風の装束を着た「大天屋の若旦那」を探して、見つけたら、声をかけてちょうだい。			ルビーロード国際市場で合流することになっているの。東方風の装束を着た「大天屋の若旦那」を探して、見つけたら、声をかけてちょうだい。			老舗呉服店「大天屋」どす							
先方とは、ルビーロード国際市場で合流することになっているの。東方風の装束を着た「大天屋の若旦那」を探して、見つけたら、声をかけてちょうだい。			先方とは、ルビーロード国際市場で合流することになっているの。東方風の装束を着た「大天屋の若旦那」を探して、見つけたら、声をかけてちょうだい。			老舗呉服店「大天屋」どす							
ごめんやす。わては、旦那はんに随行させてもろてるんどす。よろしゅうおたのもうします。			ごめんやす。わては、旦那はんに随行させてもろてるんどす。よろしゅうおたのもうします。			老舗呉服店「大天屋」どす							
(-ケイメイ-)いかにも、わたしは「ひんがしの国」は、クガネより参りました呉服問屋「大天屋」のケイメイです。もしや、裁縫師ギルドの方ですか？			(-ケイメイ-)いかにも、わたしは「ひんがしの国」は、クガネより参りました呉服問屋「大天屋」のケイメイです。もしや、裁縫師ギルドの方ですか？			老舗呉服店「大天屋」どす							
さすがは、Forenameちゃん！もう、若旦那さんを見つけちゃったのね！			さすがは、Forenameちゃん！もう、若旦那さんを見つけちゃったのね！			老舗呉服店「大天屋」どす							
ようこそ、ウルダハへ！あたしが裁縫師ギルドマスターのレドレント・ローズよ。こっちが、ギルドいちの裁縫師Forenameちゃん。			ようこそ、ウルダハへ！あたしが裁縫師ギルドマスターのレドレント・ローズよ。こっちが、ギルドいちの裁縫師Forenameちゃん。			老舗呉服店「大天屋」どす							
ウルダハのお洋服、たくさん視察できたかしら？気になることがあったら、何でも聞いてね。丁寧にお答えするわ、Forenameちゃんが。			ウルダハのお洋服、たくさん視察できたかしら？気になることがあったら、何でも聞いてね。丁寧にお答えするわ、Forenameちゃんが。			老舗呉服店「大天屋」どす							
(-ケイメイ-)港からここに至るまでだけでも、初めて見る美しい「べべ」……こちらの言葉でいう「装束」に圧倒され、この随行者とともに感動しておりました。			(-ケイメイ-)港からここに至るまでだけでも、初めて見る美しい「べべ」……こちらの言葉でいう「装束」に圧倒され、この随行者とともに感動しておりました。			老舗呉服店「大天屋」どす							
わては見聞を広めるため、随行させてもろてます。特に踊り子さんのはんなりしたべべが、舞を引き立てはって、よろすおした。			わては見聞を広めるため、随行させてもろてます。特に踊り子さんのはんなりしたべべが、舞を引き立てはって、よろすおした。			老舗呉服店「大天屋」どす							
(-ケイメイ-)ただ……気温の高い土地柄のせいでしょうか、肌の露出が多く、目のやり場に困りました。			(-ケイメイ-)ただ……気温の高い土地柄のせいでしょうか、肌の露出が多く、目のやり場に困りました。			老舗呉服店「大天屋」どす							
(-ケイメイ-)「ひんがしの国」は、つつましさを良しとする国柄……。クガネで売り出すには、もう少し肌を覆うものでないと、受け入れられないかもしれませんね。			(-ケイメイ-)「ひんがしの国」は、つつましさを良しとする国柄……。クガネで売り出すには、もう少し肌を覆うものでないと、受け入れられないかもしれませんね。			老舗呉服店「大天屋」どす							
確かに、気候の問題は大きいわね。そうねぇ……露出をおさえた華麗な装束なら、イシュガルド様式のドレスなんてどうかしら？			確かに、気候の問題は大きいわね。そうねぇ……露出をおさえた華麗な装束なら、イシュガルド様式のドレスなんてどうかしら？			老舗呉服店「大天屋」どす							
(-ケイメイ-)イシュガルド……氷雪に閉ざされた都市と聞きます。寒冷地の装束ならば、露出は控えめでしょうね。ですが、想像もつかないので、判断しかねます……。			(-ケイメイ-)イシュガルド……氷雪に閉ざされた都市と聞きます。寒冷地の装束ならば、露出は控えめでしょうね。ですが、想像もつかないので、判断しかねます……。			老舗呉服店「大天屋」どす							
だったら、現物を見てみるといいわ！ちょうど、王宮で舞踏会が開催される予定があって、イシュガルドからの訪問団が来ているのよ！			だったら、現物を見てみるといいわ！ちょうど、王宮で舞踏会が開催される予定があって、イシュガルドからの訪問団が来ているのよ！			老舗呉服店「大天屋」どす							
(-ケイメイ-)イシュガルドへ出向かずに、実物を見れるなど、なんたる幸運。ぜひとも、案内をお願いします。			(-ケイメイ-)イシュガルドへ出向かずに、実物を見れるなど、なんたる幸運。ぜひとも、案内をお願いします。			老舗呉服店「大天屋」どす							
それじゃ、Forenameちゃん、お願い。あなたは、イシュガルドの装束にも詳しいし、うってつけでしょ？			それじゃ、Forenameちゃん、お願い。あなたは、イシュガルドの装束にも詳しいし、うってつけでしょ？			老舗呉服店「大天屋」どす							
ロイヤル・プロムナードで、待ってるといいわ。王宮へ向かう訪問団が、通りかかるはずよ。			ロイヤル・プロムナードで、待ってるといいわ。王宮へ向かう訪問団が、通りかかるはずよ。			老舗呉服店「大天屋」どす							
(-ケイメイ-)Forenameさん、さっそく向かいましょう。			(-ケイメイ-)Forenameさん、さっそく向かいましょう。			老舗呉服店「大天屋」どす							
Forenameちゃん、うまいこと若旦那の心を掴んで、商談に結びつけるのよ！			Forenameちゃん、うまいこと若旦那の心を掴んで、商談に結びつけるのよ！			老舗呉服店「大天屋」どす							
この取引が成立すれば、ウルダハ製の生地や装束を輸出して、東方の珍しい生地なんかを輸入できるようになっちゃうの！			この取引が成立すれば、ウルダハ製の生地や装束を輸出して、東方の珍しい生地なんかを輸入できるようになっちゃうの！			老舗呉服店「大天屋」どす							
ああ、想像しただけで、お洋服のデザインが溢れちゃう～。書き留めておきたいから、あたしはギルドに戻るわね。それじゃ、頼んだわよ！			ああ、想像しただけで、お洋服のデザインが溢れちゃう～。書き留めておきたいから、あたしはギルドに戻るわね。それじゃ、頼んだわよ！			老舗呉服店「大天屋」どす							
Forenameはん、イシュガルドの皆さんは、まだ来やはらへんどす。西方のべべがどんなんか、楽しみどすわ～。			Forenameはん、イシュガルドの皆さんは、まだ来やはらへんどす。西方のべべがどんなんか、楽しみどすわ～。			老舗呉服店「大天屋」どす							
うまいこと若旦那の心を掴んで、商談に結びつけるのよ！			うまいこと若旦那の心を掴んで、商談に結びつけるのよ！			老舗呉服店「大天屋」どす							
Forenameさん、お待ちしてました。もしや、あちらの一行が、イシュガルドの訪問団でしょうか？			Forenameさん、お待ちしてました。もしや、あちらの一行が、イシュガルドの訪問団でしょうか？			老舗呉服店「大天屋」どす							
やれやれ、この暑さ、どうにかならないのか？こんな中で礼服を着るなんて、正気の沙汰じゃないぜ……。			やれやれ、この暑さ、どうにかならないのか？こんな中で礼服を着るなんて、正気の沙汰じゃないぜ……。			老舗呉服店「大天屋」どす							
エマネラン様、今しばらくご辛抱です、はい。アルトアレール様の代理としてウルダハ王家主催の舞踏会に、出席されるのですから、立派にお勤めを果たさなければ。			エマネラン様、今しばらくご辛抱です、はい。アルトアレール様の代理としてウルダハ王家主催の舞踏会に、出席されるのですから、立派にお勤めを果たさなければ。			老舗呉服店「大天屋」どす							
わかってるさ、兄貴の顔に泥は塗れねぇもんな。ところで、我が愛しの薔薇の騎士はまだか……？			わかってるさ、兄貴の顔に泥は塗れねぇもんな。ところで、我が愛しの薔薇の騎士はまだか……？			老舗呉服店「大天屋」どす							
みなまで言うな、似合わぬのは自覚している……。			みなまで言うな、似合わぬのは自覚している……。			老舗呉服店「大天屋」どす							
おお、さすがは麗しの薔薇の騎士……。ドレス姿も、凜として美しいな！			おお、さすがは麗しの薔薇の騎士……。ドレス姿も、凜として美しいな！			老舗呉服店「大天屋」どす							
さあ、レディ・ラニエット……不肖、このエマネラン・ド・フォルタンが、エスコートさせて頂きましょう！			さあ、レディ・ラニエット……不肖、このエマネラン・ド・フォルタンが、エスコートさせて頂きましょう！			老舗呉服店「大天屋」どす							
クッ……エマネランめ。舞踏会となると、堂々としおって……。			クッ……エマネランめ。舞踏会となると、堂々としおって……。			老舗呉服店「大天屋」どす							
……ん、何か言ったか？ははぁ～ん、なるほど……ダンスが心配なんだな？大丈夫、ちゃんとオレがフォローするからよ。			……ん、何か言ったか？ははぁ～ん、なるほど……ダンスが心配なんだな？大丈夫、ちゃんとオレがフォローするからよ。			老舗呉服店「大天屋」どす							
ラニエット様、ご安心を……。皇都の舞踏会という舞踏会すべてに出席なされる、エマネラン様にとって、ダンスは数少ない特技なのです、はい。			ラニエット様、ご安心を……。皇都の舞踏会という舞踏会すべてに出席なされる、エマネラン様にとって、ダンスは数少ない特技なのです、はい。			老舗呉服店「大天屋」どす							
そ、それが屈辱だというのだ……。剣の腕なら、負けぬというのに…………。			そ、それが屈辱だというのだ……。剣の腕なら、負けぬというのに…………。			老舗呉服店「大天屋」どす							
やはり、あれがイシュガルド様式の礼装ですか。華やかでありながら重厚で、気品があります。長い歴史と文化の香りを感じますね。			やはり、あれがイシュガルド様式の礼装ですか。華やかでありながら重厚で、気品があります。長い歴史と文化の香りを感じますね。			老舗呉服店「大天屋」どす							
あのような衣装を身にまとえば、どんな者でも、生まれながらの貴人に見えそうです。			あのような衣装を身にまとえば、どんな者でも、生まれながらの貴人に見えそうです。			老舗呉服店「大天屋」どす							
(-若旦那の連れ-)いっやー……。おかっぱ頭の姉さんのべべ、うつやかでうっとりしてまうわ。あれは、何といいますやろか、Forenameはん？			(-若旦那の連れ-)いっやー……。おかっぱ頭の姉さんのべべ、うつやかでうっとりしてまうわ。あれは、何といいますやろか、Forenameはん？			老舗呉服店「大天屋」どす							
(-若旦那の連れ-)「ばっするどれす」……わても、あんなはんなりしたべべ着てみたいどす。			(-若旦那の連れ-)「ばっするどれす」……わても、あんなはんなりしたべべ着てみたいどす。			老舗呉服店「大天屋」どす							
おや、君がそういうなら、前向きに考えなければね。さっそくレドレント・ローズさんと交渉を進めるとしよう。			おや、君がそういうなら、前向きに考えなければね。さっそくレドレント・ローズさんと交渉を進めるとしよう。			老舗呉服店「大天屋」どす							
Forenameさん、解説していただき、ありがとうございました！では、レドレント・ローズさんのもとへ向かいます。			Forenameさん、解説していただき、ありがとうございました！では、レドレント・ローズさんのもとへ向かいます。			老舗呉服店「大天屋」どす							
(-若旦那の連れ-)まだまだ、わての知らないべべがぎょうさんあるのやろな？ほんなら、Forenameはん、いつかわてにも、「どれす」こさえておくれやす。			(-若旦那の連れ-)まだまだ、わての知らないべべがぎょうさんあるのやろな？ほんなら、Forenameはん、いつかわてにも、「どれす」こさえておくれやす。			老舗呉服店「大天屋」どす							
(-若旦那の連れ-)だって、あんさん、相当な腕前の裁縫師さんなんやろ？丁寧で詳しい説明聞いてれば、すぐにわかりますわ。ほな、おおきに、はばかりさんどした。			(-若旦那の連れ-)だって、あんさん、相当な腕前の裁縫師さんなんやろ？丁寧で詳しい説明聞いてれば、すぐにわかりますわ。ほな、おおきに、はばかりさんどした。			老舗呉服店「大天屋」どす							
Forenameさん、今回の訪問では、大変お世話になりました。貴方の説明のおかげで、円滑に交渉が進みました。			Forenameさん、今回の訪問では、大変お世話になりました。貴方の説明のおかげで、円滑に交渉が進みました。			老舗呉服店「大天屋」どす							
お疲れさんどす。あんさんと、お話できて楽しおした。いつかクガネにも、いらしておくれやす。			お疲れさんどす。あんさんと、お話できて楽しおした。いつかクガネにも、いらしておくれやす。			老舗呉服店「大天屋」どす							
Forenameちゃん、でかしたわ！！おかげさまで、大天屋さんとの取引が決まったわよ！			Forenameちゃん、でかしたわ！！おかげさまで、大天屋さんとの取引が決まったわよ！			老舗呉服店「大天屋」どす							
Forenameさん！今回の訪問は、大変お世話になりました。貴方の説明のおかげで、円滑に交渉が進みました。			Forenameさん！今回の訪問は、大変お世話になりました。貴方の説明のおかげで、円滑に交渉が進みました。			老舗呉服店「大天屋」どす							
おふたりとも、あなたのことをとっても気に入っていたわ。Forenameちゃんには、大天屋さん向けのお洋服、たくさん作ってもらわなきゃね！			おふたりとも、あなたのことをとっても気に入っていたわ。Forenameちゃんには、大天屋さん向けのお洋服、たくさん作ってもらわなきゃね！			老舗呉服店「大天屋」どす							
レドレント・ローズさんからは、貴方のこれまでの功績について、熱く説明していただきました。ここ一番の依頼は、ぜひとも貴方にお願いしたく思います。			レドレント・ローズさんからは、貴方のこれまでの功績について、熱く説明していただきました。ここ一番の依頼は、ぜひとも貴方にお願いしたく思います。			老舗呉服店「大天屋」どす							
楽しみにしてますわ。いつかクガネにも、いらしておくれやす。			楽しみにしてますわ。いつかクガネにも、いらしておくれやす。			老舗呉服店「大天屋」どす							
では、我々は、ここで引きあげます。今後とも、末永くよろしくお願いいたします。			では、我々は、ここで引きあげます。今後とも、末永くよろしくお願いいたします。			老舗呉服店「大天屋」どす							
さあ、裁縫師ギルドの新しい挑戦が始まるわ！Forenameちゃん、さらに腕を磨いて、たくさんお手伝いをお願いね！			さあ、裁縫師ギルドの新しい挑戦が始まるわ！Forenameちゃん、さらに腕を磨いて、たくさんお手伝いをお願いね！			老舗呉服店「大天屋」どす							
「裁縫師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、裁縫師ギルドのレドレント・ローズから受注可能です。			「裁縫師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、裁縫師ギルドのレドレント・ローズから受注可能です。			老舗呉服店「大天屋」どす							
今後の「裁縫師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「裁縫師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			老舗呉服店「大天屋」どす							
裁縫師ギルドのレドレント・ローズは、冒険者が羨ましいようだ。			裁縫師ギルドのレドレント・ローズは、冒険者が羨ましいようだ。			皇都の母娘							
前回までの冒険録：裁縫師ギルドに入門した冒険者は、金持ちだが性格に難アリのママジャル、男気はあるがガサツな採掘師のワワルッカというふたりの若者と知り合う。冒険者はギルドマスターのレドレント・ローズとともに、ワワルッカの衣装を仕立て、宝石商の令嬢「ココモ」に想いを寄せる彼の恋を応援する。ところがある日、ココモがママジャルにデートに連れ出されてしまった。意気消沈するワワルッカだが、冒険者の仕立てた衣装に勇気を得て、ココモに自分の想いを告げる。見事ふたりは両想いの仲となり、縁を結んだ冒険者を、レドロント・ローズは「最高の裁縫師」と絶賛するのだった……。　　　　　　　　　　　　*　*　*レドレント・ローズから、イシュガルドのファッションを勉強してくるよう頼まれた。裁縫の仕事を紹介してもらうため、イシュガルドのアインハルト伯爵邸に向かい、門前に立つ衛兵に相談しよう。			前回までの冒険録：裁縫師ギルドに入門した冒険者は、金持ちだが性格に難アリのママジャル、男気はあるがガサツな採掘師のワワルッカというふたりの若者と知り合う。冒険者はギルドマスターのレドレント・ローズとともに、ワワルッカの衣装を仕立て、宝石商の令嬢「ココモ」に想いを寄せる彼の恋を応援する。ところがある日、ココモがママジャルにデートに連れ出されてしまった。意気消沈するワワルッカだが、冒険者の仕立てた衣装に勇気を得て、ココモに自分の想いを告げる。見事ふたりは両想いの仲となり、縁を結んだ冒険者を、レドロント・ローズは「最高の裁縫師」と絶賛するのだった……。　　　　　　　　　　　　*　*　*レドレント・ローズから、イシュガルドのファッションを勉強してくるよう頼まれた。裁縫の仕事を紹介してもらうため、イシュガルドのアインハルト伯爵邸に向かい、門前に立つ衛兵に相談しよう。			皇都の母娘							
衛兵のバーテロットと話した。裁縫の仕事はないようだ。代わりに紹介された、イシュガルドのデュランデル伯爵邸に向かい、門前に立つ衛兵に相談しよう。			衛兵のバーテロットと話した。裁縫の仕事はないようだ。代わりに紹介された、イシュガルドのデュランデル伯爵邸に向かい、門前に立つ衛兵に相談しよう。			皇都の母娘							
衛兵のフラモンシスと話した。裁縫師を探している貴族の婦人がいるようだ。イシュガルドの聖レマノ―大聖堂にいる「グレンダ」と話そう。			衛兵のフラモンシスと話した。裁縫師を探している貴族の婦人がいるようだ。イシュガルドの聖レマノ―大聖堂にいる「グレンダ」と話そう。			皇都の母娘							
グレンダと話した。冒険者に裁縫師として娘の手本になってほしいようだ。イシュガルドの尊者の凱旋門にいる「アヴェリル」と話そう。			グレンダと話した。冒険者に裁縫師として娘の手本になってほしいようだ。イシュガルドの尊者の凱旋門にいる「アヴェリル」と話そう。			皇都の母娘							
アヴェリルと話した。どうやら、アヴェリルは、グレンダに無理やり裁縫を教えられているようだ。だが、アヴェリルも、服は嫌いではないという。母娘を見守りつつ、依頼を待とう。※裁縫師のレベルが53以上になると、尊者の凱旋門のアヴェリルから次の裁縫師クエストを受注することができます。			アヴェリルと話した。どうやら、アヴェリルは、グレンダに無理やり裁縫を教えられているようだ。だが、アヴェリルも、服は嫌いではないという。母娘を見守りつつ、依頼を待とう。※裁縫師のレベルが53以上になると、尊者の凱旋門のアヴェリルから次の裁縫師クエストを受注することができます。			皇都の母娘							
イシュガルドのアインハルト伯爵邸の衛兵と話す			イシュガルドのアインハルト伯爵邸の衛兵と話す			皇都の母娘							
デュランデル伯爵邸の衛兵と話す			デュランデル伯爵邸の衛兵と話す			皇都の母娘							
グレンダと話す			グレンダと話す			皇都の母娘							
アヴェリルと話す			アヴェリルと話す			皇都の母娘							
いらっしゃい、Forenameちゃん。お裁縫の方はどうかしら、ちゃんと美を追究してる？			いらっしゃい、Forenameちゃん。お裁縫の方はどうかしら、ちゃんと美を追究してる？			皇都の母娘							
私のほうは、相変わらず忙しくってね……。もっとファッションの勉強をしたいのに、外出の時間もないわ。ギルドマスターとして情けないかぎりよ。			私のほうは、相変わらず忙しくってね……。もっとファッションの勉強をしたいのに、外出の時間もないわ。ギルドマスターとして情けないかぎりよ。			皇都の母娘							
そうだ、私の代わりといっちゃなんだけど……。イシュガルドのファッションを、お勉強してきてくれない？閉ざされた国で、どんなお洋服が流行っているか知りたいの。			そうだ、私の代わりといっちゃなんだけど……。イシュガルドのファッションを、お勉強してきてくれない？閉ざされた国で、どんなお洋服が流行っているか知りたいの。			皇都の母娘							
……そうね、イシュガルドで裁縫のお仕事をしてみれば、きっと、なにか学べるはずだわ……習うより慣れろ、よ。			……そうね、イシュガルドで裁縫のお仕事をしてみれば、きっと、なにか学べるはずだわ……習うより慣れろ、よ。			皇都の母娘							
でも私、あの国にはなんのツテもなくてね……。有力な貴族にでも、お仕事を紹介してもらえればいいんだけど、そうねぇ……「アインハルト家」なんかどうかしら？			でも私、あの国にはなんのツテもなくてね……。有力な貴族にでも、お仕事を紹介してもらえればいいんだけど、そうねぇ……「アインハルト家」なんかどうかしら？			皇都の母娘							
あの名家の紋章は、「黒地に赤い薔薇」……。レッド・ローズなんて、中々いいセンスしてるでしょ？「アインハルト伯爵邸」前で、衛兵さんを口説いてみてよ。			あの名家の紋章は、「黒地に赤い薔薇」……。レッド・ローズなんて、中々いいセンスしてるでしょ？「アインハルト伯爵邸」前で、衛兵さんを口説いてみてよ。			皇都の母娘							
「アインハルト家」の紋章は、「黒地に赤い薔薇」……。レッド・ローズなんて、中々いいセンスしてるでしょ？「アインハルト伯爵邸」前で、衛兵さんを口説いてみてよ。			「アインハルト家」の紋章は、「黒地に赤い薔薇」……。レッド・ローズなんて、中々いいセンスしてるでしょ？「アインハルト伯爵邸」前で、衛兵さんを口説いてみてよ。			皇都の母娘							
……裁縫の仕事を紹介してほしい？アインハルト家は懐事情が厳しいのだ、それどころではない。			……裁縫の仕事を紹介してほしい？アインハルト家は懐事情が厳しいのだ、それどころではない。			皇都の母娘							
目下、羽振りがいいのは「デュランデル家」だろう。「デュランデル伯爵邸」に押しかけて、衛兵に売り込んでみることだな。			目下、羽振りがいいのは「デュランデル家」だろう。「デュランデル伯爵邸」に押しかけて、衛兵に売り込んでみることだな。			皇都の母娘							
「デュランデル伯爵邸」に押しかけて、衛兵に売り込んでみることだな。			「デュランデル伯爵邸」に押しかけて、衛兵に売り込んでみることだな。			皇都の母娘							
裁縫師の仕事だと……？一介の衛兵に過ぎない私が、紹介できる訳がない。……いや、ちょっと待てよ。			裁縫師の仕事だと……？一介の衛兵に過ぎない私が、紹介できる訳がない。……いや、ちょっと待てよ。			皇都の母娘							
そういえば、「グレンダ」さんが裁縫師を探していたな……。彼女は貴族のご婦人でね、信心深い方だから、「聖レマノー大聖堂」で会えるはずさ。			そういえば、「グレンダ」さんが裁縫師を探していたな……。彼女は貴族のご婦人でね、信心深い方だから、「聖レマノー大聖堂」で会えるはずさ。			皇都の母娘							
そういえば、「グレンダ」さんが裁縫師を探していたな……。彼女は貴族のご婦人でね、信心深い方だから、「聖レマノー大聖堂」で会えるはずさ。			そういえば、「グレンダ」さんが裁縫師を探していたな……。彼女は貴族のご婦人でね、信心深い方だから、「聖レマノー大聖堂」で会えるはずさ。			皇都の母娘							
はい、私がグレンダですが……。……えっ、裁縫師としての仕事を求めているですって！？			はい、私がグレンダですが……。……えっ、裁縫師としての仕事を求めているですって！？			皇都の母娘							
戦神「ハルオーネ」よ、御心に感謝いたします！ここ数か月、毎日、捧げてきた祈りが届いたのですね！			戦神「ハルオーネ」よ、御心に感謝いたします！ここ数か月、毎日、捧げてきた祈りが届いたのですね！			皇都の母娘							
……私ね、娘に裁縫を教えているのだけど、これがまったく上達しなくて、ほとほと困り果てていたの。			……私ね、娘に裁縫を教えているのだけど、これがまったく上達しなくて、ほとほと困り果てていたの。			皇都の母娘							
だからこうして、「裁縫の教師」を遣わしてくださるよう、ここで祈りを捧げていたというわけ……。まさしくあなたこそ、女神様の使徒に違いないわ！			だからこうして、「裁縫の教師」を遣わしてくださるよう、ここで祈りを捧げていたというわけ……。まさしくあなたこそ、女神様の使徒に違いないわ！			皇都の母娘							
さっそく、娘の「アヴェリル」と話してみてくださる？本当は家にいてほしいのだけれど、お転婆なあの娘は、きっと「尊者の凱旋門」あたりにいると思うわ……。			さっそく、娘の「アヴェリル」と話してみてくださる？本当は家にいてほしいのだけれど、お転婆なあの娘は、きっと「尊者の凱旋門」あたりにいると思うわ……。			皇都の母娘							
さっそく、娘の「アヴェリル」と話してみてくださる？本当は家にいてほしいのだけれど、お転婆なあの娘は、きっと「尊者の凱旋門」あたりにいると思うわ……。			さっそく、娘の「アヴェリル」と話してみてくださる？本当は家にいてほしいのだけれど、お転婆なあの娘は、きっと「尊者の凱旋門」あたりにいると思うわ……。			皇都の母娘							
あなたは……母が雇った裁縫師さんですね……。初めまして、私がアヴェリルです……。			あなたは……母が雇った裁縫師さんですね……。初めまして、私がアヴェリルです……。			皇都の母娘							
家の中は息苦しくて気が滅入ってしまうので、よくここで、外の空気を吸っているんです。			家の中は息苦しくて気が滅入ってしまうので、よくここで、外の空気を吸っているんです。			皇都の母娘							
私の母は、私が生まれる前に、父を戦争で亡くしました。それから、すがるようにイシュガルド正教への信仰心を強め、今では、大聖堂と家を往復するだけの生活です。			私の母は、私が生まれる前に、父を戦争で亡くしました。それから、すがるようにイシュガルド正教への信仰心を強め、今では、大聖堂と家を往復するだけの生活です。			皇都の母娘							
私は幻術を学び、治療師として戦場で働きたかったのですが、母に止められ、裁縫を学ぶように強要されてきました。			私は幻術を学び、治療師として戦場で働きたかったのですが、母に止められ、裁縫を学ぶように強要されてきました。			皇都の母娘							
母は、私を失いたくないがために……家に縛り付けようとしているのです。			母は、私を失いたくないがために……家に縛り付けようとしているのです。			皇都の母娘							
やっぱり、ここだったのね……。これからは、こちらの裁縫師さんに何でも注文して、それを手本にしながら、練習しなさい。			やっぱり、ここだったのね……。これからは、こちらの裁縫師さんに何でも注文して、それを手本にしながら、練習しなさい。			皇都の母娘							
それとね……何度も言ってるけど、こんな場所に、出歩くものじゃありません！貴族の女は、家で祈りとともに裁縫を続ければいいの。			それとね……何度も言ってるけど、こんな場所に、出歩くものじゃありません！貴族の女は、家で祈りとともに裁縫を続ければいいの。			皇都の母娘							
