ユールモアのカイ・シルは冒険者に話を聞いてほしいようだ。			ユールモアのカイ・シルは冒険者に話を聞いてほしいようだ。			お得意様カイ・シル							
ふむ……確かにチャイ・ヌズ殿も、外部からの観光客誘致を検討しているようでした。ならば、試してみる価値はある……か……。			ふむ……確かにチャイ・ヌズ殿も、外部からの観光客誘致を検討しているようでした。ならば、試してみる価値はある……か……。			お得意様カイ・シル							
よろしい……カイ・シル君と言いましたか、君を雇い、宣伝をお任せしましょう。			よろしい……カイ・シル君と言いましたか、君を雇い、宣伝をお任せしましょう。			お得意様カイ・シル							
であれば、私どもが協力者に対する報酬を融通しましょう。「キャバレー・ビーハイヴ」を目当てに訪れる人が増えれば、モーエン商会にとっても商機となりますから。			であれば、私どもが協力者に対する報酬を融通しましょう。「キャバレー・ビーハイヴ」を目当てに訪れる人が増えれば、モーエン商会にとっても商機となりますから。			お得意様カイ・シル							
さて、そうと決まれば……まずはカイ・シル君の服装を、どうにかせねばなりませんね。仕事には、それに相応しい格好があるものです。			さて、そうと決まれば……まずはカイ・シル君の服装を、どうにかせねばなりませんね。仕事には、それに相応しい格好があるものです。			お得意様カイ・シル							
アンフリッグとボスタ・ジアは仕事に戻りなさい。君たちが将来を危ぶまずに済むよう、給料はしっかりと払おう。だから可能な限り、カイ・シル君にも協力するように。			アンフリッグとボスタ・ジアは仕事に戻りなさい。君たちが将来を危ぶまずに済むよう、給料はしっかりと払おう。だから可能な限り、カイ・シル君にも協力するように。			お得意様カイ・シル							
わ、わかりました！			わ、わかりました！			お得意様カイ・シル							
協力者のあなたは、後ほど、「カイ・シル」君に声をかけていただけますか？協力内容について、彼から詳しくお聞きください。			協力者のあなたは、後ほど、「カイ・シル」君に声をかけていただけますか？協力内容について、彼から詳しくお聞きください。			お得意様カイ・シル							
「キャバレー・ビーハイヴ」が存続できるなら、微力ですが、私もお手伝いいたしましょう。これからよろしくお願いします、職人さん。			「キャバレー・ビーハイヴ」が存続できるなら、微力ですが、私もお手伝いいたしましょう。これからよろしくお願いします、職人さん。			お得意様カイ・シル							
カイ・シルがどこまでやれるかわからないけど、アタシたちがついてれば、きっと大丈夫よ。アナタも協力よろしくね！			カイ・シルがどこまでやれるかわからないけど、アタシたちがついてれば、きっと大丈夫よ。アナタも協力よろしくね！			お得意様カイ・シル							
Forenameさん。お待たせしました。			Forenameさん。お待たせしました。			お得意様カイ・シル							
こ、こんな綺麗な服を着るのは初めてだから、なんだか落ち着かないですね……。			こ、こんな綺麗な服を着るのは初めてだから、なんだか落ち着かないですね……。			お得意様カイ・シル							
まあ、俺のことはいいです、置いときましょう。重要なのは「キャバレー・ビーハイヴ」の宣伝です！			まあ、俺のことはいいです、置いときましょう。重要なのは「キャバレー・ビーハイヴ」の宣伝です！			お得意様カイ・シル							
といっても、手ぶらで宣伝なんてできません。だから、ビーハイヴのチラシを作って、いろんなところに配って歩こうと思うんです。			といっても、手ぶらで宣伝なんてできません。だから、ビーハイヴのチラシを作って、いろんなところに配って歩こうと思うんです。			お得意様カイ・シル							
ユールモアには「キャバレー・ビーハイヴ」という楽しいところが、あるってこと、知ってもらえなければ話になりませんから！			ユールモアには「キャバレー・ビーハイヴ」という楽しいところが、あるってこと、知ってもらえなければ話になりませんから！			お得意様カイ・シル							
あなたにお願いしたいのは、そのチラシの製作に必要な物の調達です。実際にチラシを刷ったり、配ったりは俺に任せてください！			あなたにお願いしたいのは、そのチラシの製作に必要な物の調達です。実際にチラシを刷ったり、配ったりは俺に任せてください！			お得意様カイ・シル							
あっ、それから……報酬についてはご安心を！さっきモーエンさんと話して、スクリップを支払えるように、調整してきましたから。			あっ、それから……報酬についてはご安心を！さっきモーエンさんと話して、スクリップを支払えるように、調整してきましたから。			お得意様カイ・シル							
あと話さなきゃいけないことは……えっと……もう、大丈夫、ですよね……？			あと話さなきゃいけないことは……えっと……もう、大丈夫、ですよね……？			お得意様カイ・シル							
良かった……。すみません、こういうこと初めてだから、なんだか緊張しちゃって……。			良かった……。すみません、こういうこと初めてだから、なんだか緊張しちゃって……。			お得意様カイ・シル							
それじゃあ、Forenameさん。「チラシ製作必需品」の調達、よろしくお願いします！			それじゃあ、Forenameさん。「チラシ製作必需品」の調達、よろしくお願いします！			お得意様カイ・シル							
キャバレー・ビーハイヴのボスタ・ジアは冒険者に話があるようだ。			キャバレー・ビーハイヴのボスタ・ジアは冒険者に話があるようだ。			カイ・シルのインバウンド戦略							
カイ・シルと話す			カイ・シルと話す			カイ・シルのインバウンド戦略							
コルデンと話す			コルデンと話す			カイ・シルのインバウンド戦略							
カイ・シルと話す			カイ・シルと話す			カイ・シルのインバウンド戦略							
あら、職人さん。来てくれたのね、ありがとう！			あら、職人さん。来てくれたのね、ありがとう！			カイ・シルのインバウンド戦略							
Forenameさんと、俺たちに話があるって言ってたけれど……歌の準備が終わったのかい？			Forenameさんと、俺たちに話があるって言ってたけれど……歌の準備が終わったのかい？			カイ・シルのインバウンド戦略							
そういうこと。……来て頂戴！			そういうこと。……来て頂戴！			カイ・シルのインバウンド戦略							
この子が、カイ・シルの見つけてきた歌手よ。短い特訓期間だったけど、支配人のお墨付きをもらえたわ。……正直なところ、ここまでやってくれるとは思わなかった。			この子が、カイ・シルの見つけてきた歌手よ。短い特訓期間だったけど、支配人のお墨付きをもらえたわ。……正直なところ、ここまでやってくれるとは思わなかった。			カイ・シルのインバウンド戦略							
なるほど……。つまり、逸材を見つけてきたわけですね。お手柄ではないですか、カイ・シル。			なるほど……。つまり、逸材を見つけてきたわけですね。お手柄ではないですか、カイ・シル。			カイ・シルのインバウンド戦略							
え、俺？			え、俺？			カイ・シルのインバウンド戦略							
……いやいや、俺なんかより、本人の才能と努力の方が、すごいって！それにForenameさんの協力も……。			……いやいや、俺なんかより、本人の才能と努力の方が、すごいって！それにForenameさんの協力も……。			カイ・シルのインバウンド戦略							
もちろん、素敵な衣装にも感謝してます。でも……カイ・シルさんに見出してもらえなければ、舞台に立つことなんて……だから、ありがとうございます！			もちろん、素敵な衣装にも感謝してます。でも……カイ・シルさんに見出してもらえなければ、舞台に立つことなんて……だから、ありがとうございます！			カイ・シルのインバウンド戦略							
私……お客様をもっとお呼びできるよう、貴方のためにも精一杯、心を込めて歌いますから、見ていてください！			私……お客様をもっとお呼びできるよう、貴方のためにも精一杯、心を込めて歌いますから、見ていてください！			カイ・シルのインバウンド戦略							
ふうん？良かったじゃない、カイ・シル？			ふうん？良かったじゃない、カイ・シル？			カイ・シルのインバウンド戦略							
え、あ、うん、そうだな。これで、ドワーフ族のお客さんも、満足してくれるはずだよな。			え、あ、うん、そうだな。これで、ドワーフ族のお客さんも、満足してくれるはずだよな。			カイ・シルのインバウンド戦略							
とはいえ、ここで俺たちが満足しちゃ駄目だ！もっと多くのお客さんを呼び込まないと！			とはいえ、ここで俺たちが満足しちゃ駄目だ！もっと多くのお客さんを呼び込まないと！			カイ・シルのインバウンド戦略							
ふむ、さらなるお客様、ですか……。しかし、ドワーフ族を含めると、コルシア島での宣伝は、ほぼ全域で行っていますよ。			ふむ、さらなるお客様、ですか……。しかし、ドワーフ族を含めると、コルシア島での宣伝は、ほぼ全域で行っていますよ。			カイ・シルのインバウンド戦略							
そうよねえ……。これ以上、お客様を増やすのって難しくないかしら？			そうよねえ……。これ以上、お客様を増やすのって難しくないかしら？			カイ・シルのインバウンド戦略							
その件で、Forenameさんに、相談したいことがあるんです。このあとで、俺に声をかけてもらえませんか？			その件で、Forenameさんに、相談したいことがあるんです。このあとで、俺に声をかけてもらえませんか？			カイ・シルのインバウンド戦略							
ありがとうございます！それじゃ、よろしくお願いします。			ありがとうございます！それじゃ、よろしくお願いします。			カイ・シルのインバウンド戦略							
いまのカイ・シルが見ているのは、この狭いユールモアだけではなく、もっと広い世界なのでしょう。			いまのカイ・シルが見ているのは、この狭いユールモアだけではなく、もっと広い世界なのでしょう。			カイ・シルのインバウンド戦略							
少しばかり離れていた間に、彼の視点は、大きく変わっていたようです。……きっと、あなたと出会えたおかげでしょうね。			少しばかり離れていた間に、彼の視点は、大きく変わっていたようです。……きっと、あなたと出会えたおかげでしょうね。			カイ・シルのインバウンド戦略							
実はこの歌、アルフィノさんって人から聞いたの。何でも遠い場所にある街では、歌姫って人たちが、この歌で人々を魅了しているんですって。			実はこの歌、アルフィノさんって人から聞いたの。何でも遠い場所にある街では、歌姫って人たちが、この歌で人々を魅了しているんですって。			カイ・シルのインバウンド戦略							
この歌って、アタシたちの踊りとも相性いいし、もっともっと頑張って、お客様たちを魅了しなくっちゃ！カイ・シルになんて、負けてられないもの！			この歌って、アタシたちの踊りとも相性いいし、もっともっと頑張って、お客様たちを魅了しなくっちゃ！カイ・シルになんて、負けてられないもの！			カイ・シルのインバウンド戦略							
さっそくですが、さらなる顧客の開拓で生じている、問題について聞いてください……！			さっそくですが、さらなる顧客の開拓で生じている、問題について聞いてください……！			カイ・シルのインバウンド戦略							
アンフリッグたちも言っていたとおり、すでにコルシア島のほぼ全域で、宣伝してきました。なので、次に目を向けるべきは、島の外だと思うんです。			アンフリッグたちも言っていたとおり、すでにコルシア島のほぼ全域で、宣伝してきました。なので、次に目を向けるべきは、島の外だと思うんです。			カイ・シルのインバウンド戦略							
ただ、クリスタリウムなどで宣伝したとしても、海を越えてまで、お客さんが来てくれるとは思えない。			ただ、クリスタリウムなどで宣伝したとしても、海を越えてまで、お客さんが来てくれるとは思えない。			カイ・シルのインバウンド戦略							
もっと気軽に島の外の人たちが、ユールモアに来れるようにしたいんです。でも、具体的な方法となると……。			もっと気軽に島の外の人たちが、ユールモアに来れるようにしたいんです。でも、具体的な方法となると……。			カイ・シルのインバウンド戦略							
何と言う？			何と言う？			カイ・シルのインバウンド戦略							
アマロを使えばいい			アマロを使えばいい			カイ・シルのインバウンド戦略							
飛空艇を使えばいい			飛空艇を使えばいい			カイ・シルのインバウンド戦略							
アマロ、ですか……。少人数ならそれでいいと思うんですけど、多くのお客さんを呼び込むには、不向きだと思います。			アマロ、ですか……。少人数ならそれでいいと思うんですけど、多くのお客さんを呼び込むには、不向きだと思います。			カイ・シルのインバウンド戦略							
それに、飛行獣を操るにも技術が必要ですし……。なら、飛空艇の方が、お客さんを運ぶのに、合ってるんじゃないかって……。			それに、飛行獣を操るにも技術が必要ですし……。なら、飛空艇の方が、お客さんを運ぶのに、合ってるんじゃないかって……。			カイ・シルのインバウンド戦略							
やっぱり、そうですよね！俺も飛空艇を使えばいいって考えてました！			やっぱり、そうですよね！俺も飛空艇を使えばいいって考えてました！			カイ・シルのインバウンド戦略							
ただ、飛空艇にも問題があります。昔は都市間を行き来する定期便があったそうですが、「光の氾濫」以後は飛行型罪喰いの脅威のせいで……。			ただ、飛空艇にも問題があります。昔は都市間を行き来する定期便があったそうですが、「光の氾濫」以後は飛行型罪喰いの脅威のせいで……。			カイ・シルのインバウンド戦略							
そこで俺、チャイ・ヌズさんに提案したんです。クリスタリウムとの間に飛空艇航路を開いてもらえませんかって。			そこで俺、チャイ・ヌズさんに提案したんです。クリスタリウムとの間に飛空艇航路を開いてもらえませんかって。			カイ・シルのインバウンド戦略							
これから、その件でチャイ・ヌズさんと会う約束があるんです。あなたも、一緒に来てくださいませんか？			これから、その件でチャイ・ヌズさんと会う約束があるんです。あなたも、一緒に来てくださいませんか？			カイ・シルのインバウンド戦略							
ありがとうございます！ユールモア軍司令本部の「コルデン」さんが、取り次いでくれるそうなので、声をかけてみましょう！			ありがとうございます！ユールモア軍司令本部の「コルデン」さんが、取り次いでくれるそうなので、声をかけてみましょう！			カイ・シルのインバウンド戦略							
ユールモア軍司令本部の「コルデン」さんに声をかけて、チャイ・ヌズさんと、飛空艇航路の話をしましょう！			ユールモア軍司令本部の「コルデン」さんに声をかけて、チャイ・ヌズさんと、飛空艇航路の話をしましょう！			カイ・シルのインバウンド戦略							
むっ、君たちは……？			むっ、君たちは……？			カイ・シルのインバウンド戦略							
俺たちは、チャイ・ヌズさんに話があって来たんですが……。			俺たちは、チャイ・ヌズさんに話があって来たんですが……。			カイ・シルのインバウンド戦略							
おお、飛空艇の件だな。それならこちらの調査は完了している。元首代行もすぐ来るゆえ、しばし待ってくれ。			おお、飛空艇の件だな。それならこちらの調査は完了している。元首代行もすぐ来るゆえ、しばし待ってくれ。			カイ・シルのインバウンド戦略							
もう来ていたか、カイ・シル。待たせてしまって、すまない。			もう来ていたか、カイ・シル。待たせてしまって、すまない。			カイ・シルのインバウンド戦略							
なんだ、お前も一緒に来ていたのか！カイ・シルとともに「キャバレー・ビーハイヴ」の改革に、協力しているとは、支配人から聞いていたが……。			なんだ、お前も一緒に来ていたのか！カイ・シルとともに「キャバレー・ビーハイヴ」の改革に、協力しているとは、支配人から聞いていたが……。			カイ・シルのインバウンド戦略							
あ、あの、チャイ・ヌズさん！それで、飛空艇の話ですけど……。			あ、あの、チャイ・ヌズさん！それで、飛空艇の話ですけど……。			カイ・シルのインバウンド戦略							
おお、その話だな！実は、関係改善のために、クリスタリウムとの外交交渉がすでに始まっていてな。			おお、その話だな！実は、関係改善のために、クリスタリウムとの外交交渉がすでに始まっていてな。			カイ・シルのインバウンド戦略							
その流れで、飛空艇の定期便就航を提案してみたのだ。喜ぶといい、この話、先方は大いに乗り気だぞ！			その流れで、飛空艇の定期便就航を提案してみたのだ。喜ぶといい、この話、先方は大いに乗り気だぞ！			カイ・シルのインバウンド戦略							
そ、そうなんですか！？やった！			そ、そうなんですか！？やった！			カイ・シルのインバウンド戦略							
だが、問題がないわけではない……。			だが、問題がないわけではない……。			カイ・シルのインバウンド戦略							
コルデン、頼んでいた調査の結果はどうだ？			コルデン、頼んでいた調査の結果はどうだ？			カイ・シルのインバウンド戦略							
はっ！我が軍の飛空艇を、定期便に流用したいとのご提案、性能的には問題ないとの結論に達しました。			はっ！我が軍の飛空艇を、定期便に流用したいとのご提案、性能的には問題ないとの結論に達しました。			カイ・シルのインバウンド戦略							
ですが、あくまで我が軍の飛空艇は軍用ですので、乗り心地を含めて、旅客用の水準にふさわしいかは疑問です。多少なりとも改装が必要となるでしょうが……。			ですが、あくまで我が軍の飛空艇は軍用ですので、乗り心地を含めて、旅客用の水準にふさわしいかは疑問です。多少なりとも改装が必要となるでしょうが……。			カイ・シルのインバウンド戦略							
仕様書をまとめたものの、我が軍だけでは手が足りません。外部の職人から協力を得られなければ、改装の実施は難しいでしょう。			仕様書をまとめたものの、我が軍だけでは手が足りません。外部の職人から協力を得られなければ、改装の実施は難しいでしょう。			カイ・シルのインバウンド戦略							
やはり、そうか……。			やはり、そうか……。			カイ・シルのインバウンド戦略							
……と、言うわけだ。とにもかくにも、改装にまわせる職人が足りなくてな。定期便の就航など、とてもとても……。			……と、言うわけだ。とにもかくにも、改装にまわせる職人が足りなくてな。定期便の就航など、とてもとても……。			カイ・シルのインバウンド戦略							
そういうことなら、俺に任せてください！足を使って、職人を集めてみせます！			そういうことなら、俺に任せてください！足を使って、職人を集めてみせます！			カイ・シルのインバウンド戦略							
ほう、何か当てがあるのか？			ほう、何か当てがあるのか？			カイ・シルのインバウンド戦略							
……たとえば、ヴェンモント造船所の人たちに、声をかけてみるのはどうですか？			……たとえば、ヴェンモント造船所の人たちに、声をかけてみるのはどうですか？			カイ・シルのインバウンド戦略							
船大工の技術を継承してきた彼らの腕は、飛空艇の改装にだって、絶対に役立つと思うんです。何より、仕事がもらえるなら、喜んで協力してくれるでしょう。			船大工の技術を継承してきた彼らの腕は、飛空艇の改装にだって、絶対に役立つと思うんです。何より、仕事がもらえるなら、喜んで協力してくれるでしょう。			カイ・シルのインバウンド戦略							
ううむ……良いじゃないか。冴えてるぞ、カイ・シル！			ううむ……良いじゃないか。冴えてるぞ、カイ・シル！			カイ・シルのインバウンド戦略							
それに、Forenameさんにも、協力してもらえれば、改装なんてあっという間ですよ！			それに、Forenameさんにも、協力してもらえれば、改装なんてあっという間ですよ！			カイ・シルのインバウンド戦略							
うん？なんでそこで、お前が出てくるのだ？			うん？なんでそこで、お前が出てくるのだ？			カイ・シルのインバウンド戦略							
何と言う？			何と言う？			カイ・シルのインバウンド戦略							
熟練の職人だから			熟練の職人だから			カイ・シルのインバウンド戦略							
カイ・シル、教えてあげて			カイ・シル、教えてあげて			カイ・シルのインバウンド戦略							
え、あ、はい！Forenameさんは、モーエン商会と取引できる、超一流の職人なんですよ！			え、あ、はい！Forenameさんは、モーエン商会と取引できる、超一流の職人なんですよ！			カイ・シルのインバウンド戦略							
何ぃ！？そんなの、初耳だぞ！			何ぃ！？そんなの、初耳だぞ！			カイ・シルのインバウンド戦略							
ランジート将軍に勝るとも劣らない実力者だと、知ってはいたが……。それが職人でもあるだと？			ランジート将軍に勝るとも劣らない実力者だと、知ってはいたが……。それが職人でもあるだと？			カイ・シルのインバウンド戦略							
これほど優秀だとは……。なあ、お前、我が新生ダイダロス社と、専属契約を結ぶ気はないか？			これほど優秀だとは……。なあ、お前、我が新生ダイダロス社と、専属契約を結ぶ気はないか？			カイ・シルのインバウンド戦略							
ま、待ってくださいチャイ・ヌズさん！Forenameさんは、俺たちのお得意様……！いくら、元首だって横取りはさせませんよ！			ま、待ってくださいチャイ・ヌズさん！Forenameさんは、俺たちのお得意様……！いくら、元首だって横取りはさせませんよ！			カイ・シルのインバウンド戦略							
な、なんという気迫……！契約済みの職人を、引き抜きから守ろうというこの姿、すでに一端の企業家のようだ……！			な、なんという気迫……！契約済みの職人を、引き抜きから守ろうというこの姿、すでに一端の企業家のようだ……！			カイ・シルのインバウンド戦略							
よ、よかろう、専属契約の提案は撤回する。その代わりにカイ・シルよ、コルデンと協力し、飛空艇の改修計画を進めてくれ。			よ、よかろう、専属契約の提案は撤回する。その代わりにカイ・シルよ、コルデンと協力し、飛空艇の改修計画を進めてくれ。			カイ・シルのインバウンド戦略							
これが改装の仕様書だ。このとおりに、部材を用意してもらえれば、あとは、軍の整備兵を中心に作業が進められるだろう。			これが改装の仕様書だ。このとおりに、部材を用意してもらえれば、あとは、軍の整備兵を中心に作業が進められるだろう。			カイ・シルのインバウンド戦略							
では、私も自分の役目を果たさなければな。定期便の就航に向けた諸々の手続きを進めておこう。吉報を待っていてくれ、小さな企業家よ。			では、私も自分の役目を果たさなければな。定期便の就航に向けた諸々の手続きを進めておこう。吉報を待っていてくれ、小さな企業家よ。			カイ・シルのインバウンド戦略							
わかりました。よろしくお願いします！			わかりました。よろしくお願いします！			カイ・シルのインバウンド戦略							
しかし、Forenameよ……お前という女男は、なんという人たらしなのだ。その調子で、方々で……いや、これ以上は聞くまい。			しかし、Forenameよ……お前という女男は、なんという人たらしなのだ。その調子で、方々で……いや、これ以上は聞くまい。			カイ・シルのインバウンド戦略							
とにかく、皆、頼んだぞ。ではな……。			とにかく、皆、頼んだぞ。ではな……。			カイ・シルのインバウンド戦略							
それじゃ、Forenameさん、「キャバレー・ビーハイヴ」に戻って、詳細を詰めましょう。			それじゃ、Forenameさん、「キャバレー・ビーハイヴ」に戻って、詳細を詰めましょう。			カイ・シルのインバウンド戦略							
しかし、我が軍の輸送用飛空艇が、旅客用になるとは……。時代の変化というものを感じるよ。			しかし、我が軍の輸送用飛空艇が、旅客用になるとは……。時代の変化というものを感じるよ。			カイ・シルのインバウンド戦略							
まずは、チャイ・ヌズさんとの話し合いに同席してくれて、ありがとうございました！			まずは、チャイ・ヌズさんとの話し合いに同席してくれて、ありがとうございました！			カイ・シルのインバウンド戦略							
その中で出てきた飛空艇の改装についてですが、仕様書を見ると、いろいろな部材が必要みたいです。			その中で出てきた飛空艇の改装についてですが、仕様書を見ると、いろいろな部材が必要みたいです。			カイ・シルのインバウンド戦略							
