園芸師ギルドのフフチャは、冒険者に聞きたいことがあるようだ。			園芸師ギルドのフフチャは、冒険者に聞きたいことがあるようだ。			彼女はダメダメ園芸師							
……じゃなくて、お仕事の話ですよね！えっと、来ていただいてありがとうございます！あと、もうひと方、来てくれると聞いてますが……？			……じゃなくて、お仕事の話ですよね！えっと、来ていただいてありがとうございます！あと、もうひと方、来てくれると聞いてますが……？			彼女はダメダメ園芸師							
(-？？？？-)ふうむ……なるほど、これは……。基本に忠実、といったところでしょうか。園芸師たちの勤勉さが見てとれる、よい菜園です。			(-？？？？-)ふうむ……なるほど、これは……。基本に忠実、といったところでしょうか。園芸師たちの勤勉さが見てとれる、よい菜園です。			彼女はダメダメ園芸師							
それだけに疑問ですね。この菜園を作れる園芸師たちであれば、私たちギルドの支援は不要だと思いますが？			それだけに疑問ですね。この菜園を作れる園芸師たちであれば、私たちギルドの支援は不要だと思いますが？			彼女はダメダメ園芸師							
えっ、あの……あなたも協力してくださる方ですか？到着していることに気がつかないで、失礼しました！その、こ、この菜園の作物では、ぜんぜん足りないんです！			えっ、あの……あなたも協力してくださる方ですか？到着していることに気がつかないで、失礼しました！その、こ、この菜園の作物では、ぜんぜん足りないんです！			彼女はダメダメ園芸師							
足りない、ですか？都市の規模から考えて、供給に問題がでるほど、収穫量が少ないようには見えませんが。			足りない、ですか？都市の規模から考えて、供給に問題がでるほど、収穫量が少ないようには見えませんが。			彼女はダメダメ園芸師							
あ、いや、そうじゃないんです。自給自足するには、言われるとおり十分なんですけど、ほかの都市との貿易に使うには、品質がダメダメなんです……。			あ、いや、そうじゃないんです。自給自足するには、言われるとおり十分なんですけど、ほかの都市との貿易に使うには、品質がダメダメなんです……。			彼女はダメダメ園芸師							
シャーレアンの園芸師が品種改良した作物の種を使い、この菜園を作ってはみたんですけど、ウチらみたいな未熟者では、これ以上の品質は難しくて……。			シャーレアンの園芸師が品種改良した作物の種を使い、この菜園を作ってはみたんですけど、ウチらみたいな未熟者では、これ以上の品質は難しくて……。			彼女はダメダメ園芸師							
イディルシャイアに新しい産業を作りだす計画の一環で、この菜園を作ってはみたんですけど、ウチらみたいな未熟者では、これ以上の品質は難しくて……。			イディルシャイアに新しい産業を作りだす計画の一環で、この菜園を作ってはみたんですけど、ウチらみたいな未熟者では、これ以上の品質は難しくて……。			彼女はダメダメ園芸師							
……事情はわかりました。しかし、この菜園を作った園芸師が未熟とは、いささか謙遜が過ぎるのでは？			……事情はわかりました。しかし、この菜園を作った園芸師が未熟とは、いささか謙遜が過ぎるのでは？			彼女はダメダメ園芸師							
いえいえ！ウチらは、しょせんは独学の、ダメダメな園芸師で、正式な園芸師さんの前で名乗るのも恥ずかしいくらいです……。			いえいえ！ウチらは、しょせんは独学の、ダメダメな園芸師で、正式な園芸師さんの前で名乗るのも恥ずかしいくらいです……。			彼女はダメダメ園芸師							
なので、交易に使える特産品を作ろうと、いろいろ試したけど、やっぱりダメダメで……。			なので、交易に使える特産品を作ろうと、いろいろ試したけど、やっぱりダメダメで……。			彼女はダメダメ園芸師							
……だから、グリダニアの園芸師ギルドを頼った、と。わかりました、この都市に特産品を作りだすお手伝い、やらせていただきましょう。			……だから、グリダニアの園芸師ギルドを頼った、と。わかりました、この都市に特産品を作りだすお手伝い、やらせていただきましょう。			彼女はダメダメ園芸師							
本当ですか！？ありがとうございます！！			本当ですか！？ありがとうございます！！			彼女はダメダメ園芸師							
ふふふ……クルザスでの植林事業を思い出しますね。土地に合った自然を育て、その恵みを得る仲介を行う。これぞ園芸師の本懐であり、醍醐味です。			ふふふ……クルザスでの植林事業を思い出しますね。土地に合った自然を育て、その恵みを得る仲介を行う。これぞ園芸師の本懐であり、醍醐味です。			彼女はダメダメ園芸師							
ああ、年甲斐もなく、ワクワクしてきました！土のサンプルは頂いたので、さっそくギルドに戻り、どうすればいいか考えてみましょう……それでは、また。			ああ、年甲斐もなく、ワクワクしてきました！土のサンプルは頂いたので、さっそくギルドに戻り、どうすればいいか考えてみましょう……それでは、また。			彼女はダメダメ園芸師							
おや、あなたも戻ってきたのですか？「エドギス」さんの様子は、いかがでしたか？			おや、あなたも戻ってきたのですか？「エドギス」さんの様子は、いかがでしたか？			彼女はダメダメ園芸師							
ふう……協力してもらえることになって、一安心です。……ところで、さきほどの園芸師さんのお名前は？			ふう……協力してもらえることになって、一安心です。……ところで、さきほどの園芸師さんのお名前は？			彼女はダメダメ園芸師							
はえ！？　グリダニア筆頭園芸師のフフチャ様！？どうりで、あんなに素敵だったんですね……。ああ……フフチャさま……。			はえ！？　グリダニア筆頭園芸師のフフチャ様！？どうりで、あんなに素敵だったんですね……。ああ……フフチャさま……。			彼女はダメダメ園芸師							
……はっ！　すみません、意識が飛んでました！とにかく、超一流の園芸師である冒険者さんとフフチャ様が、特産品作りに協力してくれるなんて、もう成功したも同然です！			……はっ！　すみません、意識が飛んでました！とにかく、超一流の園芸師である冒険者さんとフフチャ様が、特産品作りに協力してくれるなんて、もう成功したも同然です！			彼女はダメダメ園芸師							
あの……もうひとつ聞きたいんですけど、もしかして冒険者さんって、モシャーヌ植物園の件で協力してくれた人ですか？			あの……もうひとつ聞きたいんですけど、もしかして冒険者さんって、モシャーヌ植物園の件で協力してくれた人ですか？			彼女はダメダメ園芸師							
やっぱり！責任者のソーニーさんから、ご活躍は聞いていました！その節は、どうもありがとうございます！			やっぱり！責任者のソーニーさんから、ご活躍は聞いていました！その節は、どうもありがとうございます！			彼女はダメダメ園芸師							
おかげで、これだけの菜園を作ることができて、イディルシャイアの食糧事情が、かなり改善したんです。「冒険者さまさまだ」って、ソーニーさんも言ってましたよ。			おかげで、これだけの菜園を作ることができて、イディルシャイアの食糧事情が、かなり改善したんです。「冒険者さまさまだ」って、ソーニーさんも言ってましたよ。			彼女はダメダメ園芸師							
まあでも、現場のウチがダメダメだったせいで、都市の特産を作るのには、失敗したんですが……。			まあでも、現場のウチがダメダメだったせいで、都市の特産を作るのには、失敗したんですが……。			彼女はダメダメ園芸師							
……ひとまず今回はここまで、ですね。フフチャ様の連絡を待って、何をするか決めたいので、お暇なときにでも、様子を見にきてもらえると、嬉しいです！			……ひとまず今回はここまで、ですね。フフチャ様の連絡を待って、何をするか決めたいので、お暇なときにでも、様子を見にきてもらえると、嬉しいです！			彼女はダメダメ園芸師							
「園芸師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、グリーングラブ菜園のエドギスから受注可能です。			「園芸師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、グリーングラブ菜園のエドギスから受注可能です。			彼女はダメダメ園芸師							
今後の「園芸師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「園芸師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			彼女はダメダメ園芸師							
園芸師ギルドのフフチャは冒険者を歓迎しているようだ。			園芸師ギルドのフフチャは冒険者を歓迎しているようだ。			連載準備回「雲海から届いた依頼」							
前回までの冒険録：園芸師ギルドマスター、フフチャは心を痛めていた。グリダニアでイクサル族との紛争が続くなか、園芸師自身も戦の備えに加担し、結果として森を傷つけているのではないか、と……。そんななか冒険者は、ドラゴン族との戦が続くクルザスの森で、かつてフフチャ自身が植林した木々が大きく育ち、傷ついた集落の復興にも貢献していることを知る。冒険者の機転で、その様子を間近で見たフフチャの心は大いに救われ、彼女は園芸師としての情熱を取り戻すのだった。　　　　　　　　　　　　*　*　*フフチャと話していると、そこに記者のムジ・ミュリラーがやってきた。園芸師の仕事を長期的に取材したいという。フフチャから、ロアトゥロアンからの依頼と取材への協力を頼まれた。クルザス中央高地のアートボルグ砦群にいる「ロアトゥロアン」に、「フフチャの書状」を渡そう。			前回までの冒険録：園芸師ギルドマスター、フフチャは心を痛めていた。グリダニアでイクサル族との紛争が続くなか、園芸師自身も戦の備えに加担し、結果として森を傷つけているのではないか、と……。そんななか冒険者は、ドラゴン族との戦が続くクルザスの森で、かつてフフチャ自身が植林した木々が大きく育ち、傷ついた集落の復興にも貢献していることを知る。冒険者の機転で、その様子を間近で見たフフチャの心は大いに救われ、彼女は園芸師としての情熱を取り戻すのだった。　　　　　　　　　　　　*　*　*フフチャと話していると、そこに記者のムジ・ミュリラーがやってきた。園芸師の仕事を長期的に取材したいという。フフチャから、ロアトゥロアンからの依頼と取材への協力を頼まれた。クルザス中央高地のアートボルグ砦群にいる「ロアトゥロアン」に、「フフチャの書状」を渡そう。			連載準備回「雲海から届いた依頼」							
ロアトゥロアンにフフチャの書状を渡した。友人がイシュガルドで園芸師の協力を求めているらしい。イシュガルドのエーテライト・プラザで「ムジ・ミュリラー」と話そう。			ロアトゥロアンにフフチャの書状を渡した。友人がイシュガルドで園芸師の協力を求めているらしい。イシュガルドのエーテライト・プラザで「ムジ・ミュリラー」と話そう。			連載準備回「雲海から届いた依頼」							
イシュガルドの園芸師バジールは、具体的に依頼したいことができたら、ムジ・ミュリラーに伝えておくらしい。依頼された仕事をこなせるよう、園芸師の腕を磨いておこう。※園芸師のレベルが53以上になると、イシュガルドのエーテライト・プラザにいるムジ・ミュリラーから次の園芸師クエストを受注することができます。			イシュガルドの園芸師バジールは、具体的に依頼したいことができたら、ムジ・ミュリラーに伝えておくらしい。依頼された仕事をこなせるよう、園芸師の腕を磨いておこう。※園芸師のレベルが53以上になると、イシュガルドのエーテライト・プラザにいるムジ・ミュリラーから次の園芸師クエストを受注することができます。			連載準備回「雲海から届いた依頼」							
アートボルグ砦群のロアトゥロアンにフフチャの書状を渡す			アートボルグ砦群のロアトゥロアンにフフチャの書状を渡す			連載準備回「雲海から届いた依頼」							
イシュガルドのムジ・ミュリラーと話す			イシュガルドのムジ・ミュリラーと話す			連載準備回「雲海から届いた依頼」							
Forename、いつもお世話さまです。あなたに感化されて、私も、森との共生について、いろいろと思索をめぐらすように……って、おや？			Forename、いつもお世話さまです。あなたに感化されて、私も、森との共生について、いろいろと思索をめぐらすように……って、おや？			連載準備回「雲海から届いた依頼」							
(-？？？？-)フフチャさ～ん！　お久しぶりで～す！例の件、考えていただけましたでしょうかっ？			(-？？？？-)フフチャさ～ん！　お久しぶりで～す！例の件、考えていただけましたでしょうかっ？			連載準備回「雲海から届いた依頼」							
(-活発な女性-)おおっと、先客とは失礼しました！その出で立ち……あなたも園芸師さんですか？			(-活発な女性-)おおっと、先客とは失礼しました！その出で立ち……あなたも園芸師さんですか？			連載準備回「雲海から届いた依頼」							
また、あなたですか……答えは変わりません。あなたの取材に応えられる園芸師はいませんよ。			また、あなたですか……答えは変わりません。あなたの取材に応えられる園芸師はいませんよ。			連載準備回「雲海から届いた依頼」							
(-活発な女性-)仕事の合間にでも、取材を受けてくだされば結構です！希望に合う園芸師さんは、いないとのことですが……こちらの冒険者さんなんて、かなり腕利きの雰囲気ですよ？			(-活発な女性-)仕事の合間にでも、取材を受けてくだされば結構です！希望に合う園芸師さんは、いないとのことですが……こちらの冒険者さんなんて、かなり腕利きの雰囲気ですよ？			連載準備回「雲海から届いた依頼」							
Forenameのことですか！？確かに園芸師としての腕前は申し分なしですが……ふむ……。			Forenameのことですか！？確かに園芸師としての腕前は申し分なしですが……ふむ……。			連載準備回「雲海から届いた依頼」							
こちらは、週刊レイヴンの記者、ムジ・ミュリラーさん。なんでも、新たな連載企画として、私たち園芸師のことを取材したいそうなのです。			こちらは、週刊レイヴンの記者、ムジ・ミュリラーさん。なんでも、新たな連載企画として、私たち園芸師のことを取材したいそうなのです。			連載準備回「雲海から届いた依頼」							
ただし、主だった園芸師は、日々の仕事に追われるばかり。長期的な大仕事に取り組める方を探しているそうなんですが、たしかに、Forenameなら……！			ただし、主だった園芸師は、日々の仕事に追われるばかり。長期的な大仕事に取り組める方を探しているそうなんですが、たしかに、Forenameなら……！			連載準備回「雲海から届いた依頼」							
おおお～！　ついに救世主の登場です！となると、あとは題材を決めるだけですねっ！			おおお～！　ついに救世主の登場です！となると、あとは題材を決めるだけですねっ！			連載準備回「雲海から届いた依頼」							
そのことなんですが……実はクルザス中央高地に住む、ロアトゥロアンという園芸師から、人をよこしてほしいという頼みが来ているのです。			そのことなんですが……実はクルザス中央高地に住む、ロアトゥロアンという園芸師から、人をよこしてほしいという頼みが来ているのです。			連載準備回「雲海から届いた依頼」							
「イシュガルド在住の友人に、力をお貸しください」と……。あちらでは、高地の開拓を進めているようなのですが、よい野菜が根づかず、苦労しているようなのです。			「イシュガルド在住の友人に、力をお貸しください」と……。あちらでは、高地の開拓を進めているようなのですが、よい野菜が根づかず、苦労しているようなのです。			連載準備回「雲海から届いた依頼」							
開拓計画とは素晴らしい……！「未開の地で奮闘する異邦の園芸師」なんて、最高の見出しになりそう！			開拓計画とは素晴らしい……！「未開の地で奮闘する異邦の園芸師」なんて、最高の見出しになりそう！			連載準備回「雲海から届いた依頼」							
これは、ナイスな記事が書けそうですっ！先に、その方のところへ行っていますね～！			これは、ナイスな記事が書けそうですっ！先に、その方のところへ行っていますね～！			連載準備回「雲海から届いた依頼」							
やれやれ、気の早い方ですね……。ともかく、彼女から話を聞いてもらえませんか？取材はともかく、よい経験になる仕事だと思うのです。			やれやれ、気の早い方ですね……。ともかく、彼女から話を聞いてもらえませんか？取材はともかく、よい経験になる仕事だと思うのです。			連載準備回「雲海から届いた依頼」							
私からも、一筆、紹介状を書いておきましょう。クルザス中央高地の「アートボルグ砦群」にいる、「ロアトゥロアン」に、この書状を渡してください。			私からも、一筆、紹介状を書いておきましょう。クルザス中央高地の「アートボルグ砦群」にいる、「ロアトゥロアン」に、この書状を渡してください。			連載準備回「雲海から届いた依頼」							
私からも、一筆、紹介状を書いておきましょう。クルザス中央高地の「アートボルグ砦群」にいる、「ロアトゥロアン」に、この書状を渡してください。			私からも、一筆、紹介状を書いておきましょう。クルザス中央高地の「アートボルグ砦群」にいる、「ロアトゥロアン」に、この書状を渡してください。			連載準備回「雲海から届いた依頼」							
も～、遅いですよ？待ちきれなくて、取材、始めちゃってますよ！			も～、遅いですよ？待ちきれなくて、取材、始めちゃってますよ！			連載準備回「雲海から届いた依頼」							
大体の話は、こちらの女性から聞きましたよ。というか、勝手にドンドンと話してきて……。			大体の話は、こちらの女性から聞きましたよ。というか、勝手にドンドンと話してきて……。			連載準備回「雲海から届いた依頼」							
……おお、これはフフチャ様からの紹介状ですね。あなたの腕前は、私も存じておりますから、もちろん大歓迎ですよ。			……おお、これはフフチャ様からの紹介状ですね。あなたの腕前は、私も存じておりますから、もちろん大歓迎ですよ。			連載準備回「雲海から届いた依頼」							
人をよこしてほしいと言ってきているのは、「アバラシア雲海」にて、浮島の開拓に従事する友人……。つまり、はるか空の彼方に赴いての、長期の仕事になります。			人をよこしてほしいと言ってきているのは、「アバラシア雲海」にて、浮島の開拓に従事する友人……。つまり、はるか空の彼方に赴いての、長期の仕事になります。			連載準備回「雲海から届いた依頼」							
そこは、アインハルト家の騎兵団の拠点がありまして。将来的には、現地での自給自足体制を確立したいと、さまざまな作物の栽培を試しているようです。			そこは、アインハルト家の騎兵団の拠点がありまして。将来的には、現地での自給自足体制を確立したいと、さまざまな作物の栽培を試しているようです。			連載準備回「雲海から届いた依頼」							
さて、さっそく友人に会っていただきたいのですが、ひとつ問題がありまして……。排外的なお国柄のイシュガルドに、どう入国したものか。			さて、さっそく友人に会っていただきたいのですが、ひとつ問題がありまして……。排外的なお国柄のイシュガルドに、どう入国したものか。			連載準備回「雲海から届いた依頼」							
あなたは確か、熟練の冒険者でしたね。貴族たちに傭兵や客人として取りいれば、あるいは……。ですが、他国の記者も同行するのは、流石に無理かと……。			あなたは確か、熟練の冒険者でしたね。貴族たちに傭兵や客人として取りいれば、あるいは……。ですが、他国の記者も同行するのは、流石に無理かと……。			連載準備回「雲海から届いた依頼」							
……なんと、フォルタン家の客人として招かれていると！でしたら、あなたの入国には問題なさそうですね！ですが、他国の記者も同行するのは、流石に無理かと……。			……なんと、フォルタン家の客人として招かれていると！でしたら、あなたの入国には問題なさそうですね！ですが、他国の記者も同行するのは、流石に無理かと……。			連載準備回「雲海から届いた依頼」							
心配無用です～、わたしの情熱は誰にも阻めません！どんな手を使っても、イシュガルドに入国してみせます！			心配無用です～、わたしの情熱は誰にも阻めません！どんな手を使っても、イシュガルドに入国してみせます！			連載準備回「雲海から届いた依頼」							
は、はあ……。まあ、あまり無理はなさらず……。			は、はあ……。まあ、あまり無理はなさらず……。			連載準備回「雲海から届いた依頼」							
友人の園芸師「バジール」は、あなた方に会うため、イシュガルドに逗留しているはず。「エーテライト・プラザ」の付近で待っているそうです。			友人の園芸師「バジール」は、あなた方に会うため、イシュガルドに逗留しているはず。「エーテライト・プラザ」の付近で待っているそうです。			連載準備回「雲海から届いた依頼」							
よーし、それではForenameさん！イシュガルドの「エーテライト・プラザ」で落ち合いましょう！			よーし、それではForenameさん！イシュガルドの「エーテライト・プラザ」で落ち合いましょう！			連載準備回「雲海から届いた依頼」							
友人の園芸師「バジール」は、あなた方に会うため、イシュガルドに逗留しているはず。「エーテライト・プラザ」の付近で待っているそうです。			友人の園芸師「バジール」は、あなた方に会うため、イシュガルドに逗留しているはず。「エーテライト・プラザ」の付近で待っているそうです。			連載準備回「雲海から届いた依頼」							
おお、ロアトゥロアンの言っていた園芸師の方ですか！いやはや、元気な従者さんをお連れですね……。			おお、ロアトゥロアンの言っていた園芸師の方ですか！いやはや、元気な従者さんをお連れですね……。			連載準備回「雲海から届いた依頼」							
も～、のんびり屋さんですねえ。依頼主さんも待ちくたびれてますよっ。			も～、のんびり屋さんですねえ。依頼主さんも待ちくたびれてますよっ。			連載準備回「雲海から届いた依頼」							
……どうやって入国したか、ですって？いちおう、あなたの従者ってことになってます！文書のでっちあげは得意ですからっ！			……どうやって入国したか、ですって？いちおう、あなたの従者ってことになってます！文書のでっちあげは得意ですからっ！			連載準備回「雲海から届いた依頼」							
あなたがForenameさんですか……。ずいぶん強引……いえ、活動的な方がお供なんですね……。			あなたがForenameさんですか……。ずいぶん強引……いえ、活動的な方がお供なんですね……。			連載準備回「雲海から届いた依頼」							
私の任地である浮島では、飛空艇での物資輸送が頼りです。なんとか、自給自足体制を構築したいのですが……栽培がうまくいかず、行き詰まっているんですよ。			私の任地である浮島では、飛空艇での物資輸送が頼りです。なんとか、自給自足体制を構築したいのですが……栽培がうまくいかず、行き詰まっているんですよ。			連載準備回「雲海から届いた依頼」							
今後、Forenameさんには、ご意見を伺ったり、私では採集の難しい作物の調達などを、お願いできたらと思っています。			今後、Forenameさんには、ご意見を伺ったり、私では採集の難しい作物の調達などを、お願いできたらと思っています。			連載準備回「雲海から届いた依頼」							
ひとまず本日は顔合わせということで……。具体的に依頼したい事柄ができたら、こちらの方に、お伝えすればいいのですね？			ひとまず本日は顔合わせということで……。具体的に依頼したい事柄ができたら、こちらの方に、お伝えすればいいのですね？			連載準備回「雲海から届いた依頼」							
はーい！　というわけでForenameさん！わたしは連絡係を務めさせていただきます！			はーい！　というわけでForenameさん！わたしは連絡係を務めさせていただきます！			連載準備回「雲海から届いた依頼」							
本当にお元気な方ですね……。では、何かありましたら、よろしくお願いします。			本当にお元気な方ですね……。では、何かありましたら、よろしくお願いします。			連載準備回「雲海から届いた依頼」							
依頼に備えて、わたしはイシュガルドで待機します！冒険の合間で結構ですので、折を見て訪ねてくださいね！			依頼に備えて、わたしはイシュガルドで待機します！冒険の合間で結構ですので、折を見て訪ねてくださいね！			連載準備回「雲海から届いた依頼」							
「園芸師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、イシュガルドのムジ・ミュリラーから受注可能です。			「園芸師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、イシュガルドのムジ・ミュリラーから受注可能です。			連載準備回「雲海から届いた依頼」							
今後の「園芸師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「園芸師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			連載準備回「雲海から届いた依頼」							
また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			連載準備回「雲海から届いた依頼」							
エーテライト・プラザのムジ・ミュリラーは冒険者の来訪を歓迎しているようだ。			エーテライト・プラザのムジ・ミュリラーは冒険者の来訪を歓迎しているようだ。			連載最終回「種は国境を越えて」							
ムジ・ミュリラーと話していると、バジールから、ムジ・ミュリラーの記事がキッカケで、罪に問われてしまったと通信がきた。アバラシア雲海のキャンプ・クラウドトップにいる「バジール」と話そう。			ムジ・ミュリラーと話していると、バジールから、ムジ・ミュリラーの記事がキッカケで、罪に問われてしまったと通信がきた。アバラシア雲海のキャンプ・クラウドトップにいる「バジール」と話そう。			連載最終回「種は国境を越えて」							
バジールのもとに来ていた騎士ヴァンクトロワと司祭オビエロによると、国外のギサールの野菜を栽培していることが罪に問われた原因らしい。バジールの罪に対する反論の論拠を探すため、グリダニアの園芸師ギルドにいる「フフチャ」に相談しよう。			バジールのもとに来ていた騎士ヴァンクトロワと司祭オビエロによると、国外のギサールの野菜を栽培していることが罪に問われた原因らしい。バジールの罪に対する反論の論拠を探すため、グリダニアの園芸師ギルドにいる「フフチャ」に相談しよう。			連載最終回「種は国境を越えて」							
フフチャによると、バジールに提供したギサールの野菜こそが、真の「クルザス原産の純粋種」に近いらしい。フフチャから園芸師ギルドの野菜を受け取った。「カベイジの野菜」を3個調達し、イシュガルドの聖レマノー大聖堂にいる本草学者「マルティノー」に見せて、2種の野菜を比較してもらおう。カベイジの野菜は、クルザス西部高地のあまり人の立ち入らない草刈場で草刈できるようだ。			フフチャによると、バジールに提供したギサールの野菜こそが、真の「クルザス原産の純粋種」に近いらしい。フフチャから園芸師ギルドの野菜を受け取った。「カベイジの野菜」を3個調達し、イシュガルドの聖レマノー大聖堂にいる本草学者「マルティノー」に見せて、2種の野菜を比較してもらおう。カベイジの野菜は、クルザス西部高地のあまり人の立ち入らない草刈場で草刈できるようだ。			連載最終回「種は国境を越えて」							
マルティノーに園芸師ギルドの野菜とカベイジの野菜を見せて、2種の野菜が同系統のものだというお墨付きと、その旨をしたためたマルティノーの書状を預かった。キャンプ・クラウドトップの「バジール」にカベイジの野菜を3個納品しよう。			マルティノーに園芸師ギルドの野菜とカベイジの野菜を見せて、2種の野菜が同系統のものだというお墨付きと、その旨をしたためたマルティノーの書状を預かった。キャンプ・クラウドトップの「バジール」にカベイジの野菜を3個納品しよう。			連載最終回「種は国境を越えて」							
