砂の家のウリエンジェは、冒険者に「新たな蛮神」の話をしたいようだ。			砂の家のウリエンジェは、冒険者に「新たな蛮神」の話をしたいようだ。			新たな蛮神							
今回、あなたを呼んだのは、帝国基地「カストルム・オクシデンス」を調べるためよ。			今回、あなたを呼んだのは、帝国基地「カストルム・オクシデンス」を調べるためよ。			新たな蛮神							
5年前、第七霊災を引き起こした「メテオ」……。その衝撃は地脈を傷つけ、あの基地の地下にも、迷宮のような空間を作っているというわ。			5年前、第七霊災を引き起こした「メテオ」……。その衝撃は地脈を傷つけ、あの基地の地下にも、迷宮のような空間を作っているというわ。			新たな蛮神							
敵将ガイウスが、リットアティンをあの基地に置いたのは、基地の地下を調べさせるためでもあった……オクシデンスは、侵攻拠点ではなかったってことね。			敵将ガイウスが、リットアティンをあの基地に置いたのは、基地の地下を調べさせるためでもあった……オクシデンスは、侵攻拠点ではなかったってことね。			新たな蛮神							
あなたが「蛮神」の討伐に奔走していた丁度その頃、正体不明のエーテル反応が活発化したわ。そして、オクシデンスも急に騒がしくなった。			あなたが「蛮神」の討伐に奔走していた丁度その頃、正体不明のエーテル反応が活発化したわ。そして、オクシデンスも急に騒がしくなった。			新たな蛮神							
基地の地下に眠る「メテオの痕跡」と、そのエーテル反応……おそらく未知なる蛮神と関係がある。			基地の地下に眠る「メテオの痕跡」と、そのエーテル反応……おそらく未知なる蛮神と関係がある。			新たな蛮神							
私のお祖父様……賢人ルイゾワ・ルヴェユールは、5年前の「カルテノーの戦い」でメテオを止めるために「神降ろし」を行ったわ。			私のお祖父様……賢人ルイゾワ・ルヴェユールは、5年前の「カルテノーの戦い」でメテオを止めるために「神降ろし」を行ったわ。			新たな蛮神							
そして、メテオ……月の衛星「ダラガブ」から生まれた古の蛮神「バハムート」とともに、光の中へと消えてしまった……。			そして、メテオ……月の衛星「ダラガブ」から生まれた古の蛮神「バハムート」とともに、光の中へと消えてしまった……。			新たな蛮神							
私は、真実を知りたいの。お祖父様の行方や、世界の新生に秘められた謎……第七霊災の隠された真実を、必ず見つけてみせる。			私は、真実を知りたいの。お祖父様の行方や、世界の新生に秘められた謎……第七霊災の隠された真実を、必ず見つけてみせる。			新たな蛮神							
……それが、私なりのエオルゼアの守り方だから。			……それが、私なりのエオルゼアの守り方だから。			新たな蛮神							
「カストルム・オクシデンス」の最深部に直接乗りこみ、「メテオの痕跡」の謎を探ります。あなたには、それに協力してほしいの！			「カストルム・オクシデンス」の最深部に直接乗りこみ、「メテオの痕跡」の謎を探ります。あなたには、それに協力してほしいの！			新たな蛮神							
……自分で見ないと気がすまないのよ。例の委員会や、各国のグランドカンパニーなんて、私にしてみれば、そんなものに頼る方がどうかしてるもの。			……自分で見ないと気がすまないのよ。例の委員会や、各国のグランドカンパニーなんて、私にしてみれば、そんなものに頼る方がどうかしてるもの。			新たな蛮神							
私は、私のやり方でエオルゼアを守ると誓ったの。危険を恐れないのなら、どうか私に力を貸してほしい。……あなたは、私の剣になる覚悟がある？			私は、私のやり方でエオルゼアを守ると誓ったの。危険を恐れないのなら、どうか私に力を貸してほしい。……あなたは、私の剣になる覚悟がある？			新たな蛮神							
……いい返事ね、さすがは英雄だわ。誰かさんみたいに政治に動く人より、よっぽど信頼できる。			……いい返事ね、さすがは英雄だわ。誰かさんみたいに政治に動く人より、よっぽど信頼できる。			新たな蛮神							
さあ、調査に乗り出すわよ。まずは「カストルム・オクシデンス」に侵入して、地下への経路を確保する必要があるわ。			さあ、調査に乗り出すわよ。まずは「カストルム・オクシデンス」に侵入して、地下への経路を確保する必要があるわ。			新たな蛮神							
経路を確保できたら、このワインポートにいる「ジャ・ブロッカ一等甲兵」に報告してもらえるかしら。			経路を確保できたら、このワインポートにいる「ジャ・ブロッカ一等甲兵」に報告してもらえるかしら。			新たな蛮神							
敵将ガイウスを下したあなたなら、できるはずよ。エオルゼアが誇る、冒険者の力……その真価を私に見せて。			敵将ガイウスを下したあなたなら、できるはずよ。エオルゼアが誇る、冒険者の力……その真価を私に見せて。			新たな蛮神							
まずは「カストルム・オクシデンス」に侵入して、地下への経路を確保してほしいの。英雄であるあなたなら、きっとできるはずよ。			まずは「カストルム・オクシデンス」に侵入して、地下への経路を確保してほしいの。英雄であるあなたなら、きっとできるはずよ。			新たな蛮神							
カストルム・オクシデンスの調査、大変ご苦労！さすが噂のSurname……帝国の要塞など、もはや恐るるに足らないか！			カストルム・オクシデンスの調査、大変ご苦労！さすが噂のSurname……帝国の要塞など、もはや恐るるに足らないか！			新たな蛮神							
おっと、失礼。私はアリゼーお嬢様の手の者。今は訳あって「黒渦団」の一員ということになっているが、お嬢様より話は伺っているから安心してくれ。			おっと、失礼。私はアリゼーお嬢様の手の者。今は訳あって「黒渦団」の一員ということになっているが、お嬢様より話は伺っているから安心してくれ。			新たな蛮神							
……ふむふむ、お嬢様が探していらした、地下への経路を確保できたようだ。次からは、私が先導しよう。			……ふむふむ、お嬢様が探していらした、地下への経路を確保できたようだ。次からは、私が先導しよう。			新たな蛮神							
アリゼーお嬢様も、出立の準備を整えてお待ちだ。君の準備ができ次第、お嬢様と君たち一行を、私がオクシデンスの地下へと送り届ける。			アリゼーお嬢様も、出立の準備を整えてお待ちだ。君の準備ができ次第、お嬢様と君たち一行を、私がオクシデンスの地下へと送り届ける。			新たな蛮神							
地下に広がる「メテオの痕跡」は未知の領域だ。帝国の拠点以上の危険も予想される。強い仲間を集め、しっかりと準備を整えてくれ！			地下に広がる「メテオの痕跡」は未知の領域だ。帝国の拠点以上の危険も予想される。強い仲間を集め、しっかりと準備を整えてくれ！			新たな蛮神							
「大迷宮バハムート：邂逅編」に挑戦可能になりました。このコンテンツは、コンテンツファインダーからではなく、ジャ・ブロッカ一等甲兵に話しかけることで開始できます。			「大迷宮バハムート：邂逅編」に挑戦可能になりました。このコンテンツは、コンテンツファインダーからではなく、ジャ・ブロッカ一等甲兵に話しかけることで開始できます。			新たな蛮神							
なお、「大迷宮バハムート：邂逅編」の詳しい開始条件は、ジャ・ブロッカ一等甲兵から聞くことができます。			なお、「大迷宮バハムート：邂逅編」の詳しい開始条件は、ジャ・ブロッカ一等甲兵から聞くことができます。			新たな蛮神							
メテオの傷痕……内側は、こんな風になっていたのね。			メテオの傷痕……内側は、こんな風になっていたのね。			新たな蛮神							
まるでクリスタルの洞窟だわ。エーテルが濃くて、息が詰まりそう……。			まるでクリスタルの洞窟だわ。エーテルが濃くて、息が詰まりそう……。			新たな蛮神							
冒険者なら、これと同じ橙色のクリスタル……偏属性クリスタルを目にしたことがあるでしょう？			冒険者なら、これと同じ橙色のクリスタル……偏属性クリスタルを目にしたことがあるでしょう？			新たな蛮神							
大地から吹き上がるように輝くクリスタルは、5年前、ある物が地脈を貫き、エーテルが噴出した証……。			大地から吹き上がるように輝くクリスタルは、5年前、ある物が地脈を貫き、エーテルが噴出した証……。			新たな蛮神							
その地脈を裂いたものこそ、私たちの目の前にある古代アラグ文明の遺物……月の衛星「ダラガブ」の破片。			その地脈を裂いたものこそ、私たちの目の前にある古代アラグ文明の遺物……月の衛星「ダラガブ」の破片。			新たな蛮神							
第七霊災をもたらした「メテオ」の正体にして、その内に蛮神「バハムート」を有していた巨大な拘束具よ。			第七霊災をもたらした「メテオ」の正体にして、その内に蛮神「バハムート」を有していた巨大な拘束具よ。			新たな蛮神							
偏属性クリスタルは「ダラガブ」の破片に傷つけられた星の悲鳴なのかもしれない。それは、世界が新生しても消えないまま……。			偏属性クリスタルは「ダラガブ」の破片に傷つけられた星の悲鳴なのかもしれない。それは、世界が新生しても消えないまま……。			新たな蛮神							
……すごい、こんな状況になっても、ダラガブの防衛機構はまだ機能しているのね。古代アラグ文明は、数千年前に滅んだというのに。			……すごい、こんな状況になっても、ダラガブの防衛機構はまだ機能しているのね。古代アラグ文明は、数千年前に滅んだというのに。			新たな蛮神							
そうか……帝国軍はこれを求めてたんだ……。古代アラグ文明の超越した技術力を、我が物にしようとしたんだわ……。			そうか……帝国軍はこれを求めてたんだ……。古代アラグ文明の超越した技術力を、我が物にしようとしたんだわ……。			新たな蛮神							
私たちは、古の秘密に踏み入ろうとしている。危険な戦いは避けられないけれど……第七霊災の真実をつかむまで諦めるわけにはいかない。			私たちは、古の秘密に踏み入ろうとしている。危険な戦いは避けられないけれど……第七霊災の真実をつかむまで諦めるわけにはいかない。			新たな蛮神							
さあ、ここからが本番よ。……あなたたちの力で、道を拓いて！			さあ、ここからが本番よ。……あなたたちの力で、道を拓いて！			新たな蛮神							
あれは……翼……？なんていう大きさなの……！			あれは……翼……？なんていう大きさなの……！			新たな蛮神							
空を覆うような、漆黒の翼……。……間違いないわ。			空を覆うような、漆黒の翼……。……間違いないわ。			新たな蛮神							
あれは蛮神「バハムート」の翼……5年前にエオルゼアを焼き払った、あいつの翼よ！			あれは蛮神「バハムート」の翼……5年前にエオルゼアを焼き払った、あいつの翼よ！			新たな蛮神							
カルテノーの戦いの最中……ダラガブから解放された「バハムート」を再封印するため、お祖父様は「エオルゼア十二神」の力を顕現させたわ。			カルテノーの戦いの最中……ダラガブから解放された「バハムート」を再封印するため、お祖父様は「エオルゼア十二神」の力を顕現させたわ。			新たな蛮神							
けれど「バハムート」は、十二神の力を打ち砕き、最後はお祖父様もろとも閃光の中に消えた……。			けれど「バハムート」は、十二神の力を打ち砕き、最後はお祖父様もろとも閃光の中に消えた……。			新たな蛮神							
その後の行方はわかっていなかったけれど、まさか、こんな場所にあったなんて……。			その後の行方はわかっていなかったけれど、まさか、こんな場所にあったなんて……。			新たな蛮神							
でも「バハムート」が伝承のとおりに蛮神だったなら、倒されたときにエーテルに還るはず……。			でも「バハムート」が伝承のとおりに蛮神だったなら、倒されたときにエーテルに還るはず……。			新たな蛮神							
お祖父様は勝ったの？それとも……。			お祖父様は勝ったの？それとも……。			新たな蛮神							
……先へ進みましょう。お祖父様の意思を無駄にしないためにも、真実を確かめないと。			……先へ進みましょう。お祖父様の意思を無駄にしないためにも、真実を確かめないと。			新たな蛮神							
おかげさまで順調ね。ふふ……思ってたより、余裕じゃない？さすがは私の剣ってところかしら。			おかげさまで順調ね。ふふ……思ってたより、余裕じゃない？さすがは私の剣ってところかしら。			新たな蛮神							
さて、ずいぶん深くまで潜ってきたけれど……。ここはやけに広いのね。			さて、ずいぶん深くまで潜ってきたけれど……。ここはやけに広いのね。			新たな蛮神							
変な形。まるで指みたいな……。			変な形。まるで指みたいな……。			新たな蛮神							
うそ……ここは「バハムート」の掌なの！？まいったわ、さすがにすごい迫力ね……。			うそ……ここは「バハムート」の掌なの！？まいったわ、さすがにすごい迫力ね……。			新たな蛮神							
やっぱり活動は止まっているようだけど、エーテルに還らず残り続けている……。いったいどういうこと？			やっぱり活動は止まっているようだけど、エーテルに還らず残り続けている……。いったいどういうこと？			新たな蛮神							
「バハムート」が大量のエーテルに還ったことが、エオルゼアが新生する動因になったと思っていたのに……これでは説明がつかないわ。			「バハムート」が大量のエーテルに還ったことが、エオルゼアが新生する動因になったと思っていたのに……これでは説明がつかないわ。			新たな蛮神							
だとしたら、何がエオルゼアを蘇らせたというの？5年前の戦いを、もっと深く知る必要がありそうね……。			だとしたら、何がエオルゼアを蘇らせたというの？5年前の戦いを、もっと深く知る必要がありそうね……。			新たな蛮神							
いいわ、先へ進みましょう。まだ調べていない区画があるようだけど、いったいどこまで続いてるのかしら……？			いいわ、先へ進みましょう。まだ調べていない区画があるようだけど、いったいどこまで続いてるのかしら……？			新たな蛮神							
見たことのない装置だけど……エーテルを奔らせて……制御すれば……。			見たことのない装置だけど……エーテルを奔らせて……制御すれば……。			新たな蛮神							
いいわ、私がやってみる。			いいわ、私がやってみる。			新たな蛮神							
……ところで、気がついた？あなたが倒したドラゴンに装置がついていたわ。おそらくあれは制御装置ね。			……ところで、気がついた？あなたが倒したドラゴンに装置がついていたわ。おそらくあれは制御装置ね。			新たな蛮神							
つまり、何者かに操られていたってこと。そうね……さながら、竜の防衛機構ってところかしら。			つまり、何者かに操られていたってこと。そうね……さながら、竜の防衛機構ってところかしら。			新たな蛮神							
ドラゴン族をも支配する術を持っているなんて、さすがは古のアラグ文明。イシュガルドの民が聞いたら歓喜しそうね。			ドラゴン族をも支配する術を持っているなんて、さすがは古のアラグ文明。イシュガルドの民が聞いたら歓喜しそうね。			新たな蛮神							
使いようによっては、あの国をどうとでも転がせる。ああ、帝国軍は案外それを狙っていたのかも……。			使いようによっては、あの国をどうとでも転がせる。ああ、帝国軍は案外それを狙っていたのかも……。			新たな蛮神							
なんにせよ、妙なものを作ってくれたものね。遥か昔に栄華を誇ったといわれる「魔科学」か……。			なんにせよ、妙なものを作ってくれたものね。遥か昔に栄華を誇ったといわれる「魔科学」か……。			新たな蛮神							
見て！あ、あれは……！			見て！あ、あれは……！			新たな蛮神							
蛮神「バハムート」……！？			蛮神「バハムート」……！？			新たな蛮神							
あれは心臓……いえ、クリスタル……？そんな……「バハムート」は生きているというの……！？未知なる蛮神の正体は、やっぱり……ッ！			あれは心臓……いえ、クリスタル……？そんな……「バハムート」は生きているというの……！？未知なる蛮神の正体は、やっぱり……ッ！			新たな蛮神							
嫌よ……認めない……認めたくない……！「バハムート」が生きてるのなら、お祖父様の死に、どんな意味があったというの！？			嫌よ……認めない……認めたくない……！「バハムート」が生きてるのなら、お祖父様の死に、どんな意味があったというの！？			新たな蛮神							
くっ、脱出しましょう。このまま準備もなく挑める相手じゃないわ……！			くっ、脱出しましょう。このまま準備もなく挑める相手じゃないわ……！			新たな蛮神							
待って！　誰かいる！！あれは…………そんな……ッ！			待って！　誰かいる！！あれは…………そんな……ッ！			新たな蛮神							
お、お祖父様……？まさか、ルイゾワお祖父様なの！？			お、お祖父様……？まさか、ルイゾワお祖父様なの！？			新たな蛮神							
どうして……どうして行ってしまうの……？ずっとずっと、探していたのに……。			どうして……どうして行ってしまうの……？ずっとずっと、探していたのに……。			新たな蛮神							
お祖父様ぁぁぁぁぁッ！			お祖父様ぁぁぁぁぁッ！			新たな蛮神							
……わかってる。とにかく一度、ここから出ましょう……。			……わかってる。とにかく一度、ここから出ましょう……。			新たな蛮神							
ここは……？			ここは……？			新たな蛮神							
北ザナラーンのようだけど……。信じられない、東ラノシアにいたはずなのに。			北ザナラーンのようだけど……。信じられない、東ラノシアにいたはずなのに。			新たな蛮神							
今の転送装置のせい？それとも、本当にこれだけの距離を移動して……いえ、そんなことよりも！			今の転送装置のせい？それとも、本当にこれだけの距離を移動して……いえ、そんなことよりも！			新たな蛮神							
あなたも、大空洞にいた人影を見たでしょう！？あれはお祖父様……ルイゾワお祖父様よ！			あなたも、大空洞にいた人影を見たでしょう！？あれはお祖父様……ルイゾワお祖父様よ！			新たな蛮神							
お祖父様は生きていたの！蛮神なんかに、負けてなかったのよ……！			お祖父様は生きていたの！蛮神なんかに、負けてなかったのよ……！			新たな蛮神							
……だったらなぜ、帰ってきてくれないの……。ルイゾワお祖父様……。			……だったらなぜ、帰ってきてくれないの……。ルイゾワお祖父様……。			新たな蛮神							
……とにかく、今回の調査は終了ね。驚くことばっかりで、頭が悲鳴を上げそうよ。			……とにかく、今回の調査は終了ね。驚くことばっかりで、頭が悲鳴を上げそうよ。			新たな蛮神							
そうね、「砂の家」で調査結果を整理しましょう。ウリエンジェに話もあるし、ちょうどいいわ。			そうね、「砂の家」で調査結果を整理しましょう。ウリエンジェに話もあるし、ちょうどいいわ。			新たな蛮神							
あなたたちがいてくれて、本当に助かったわ。やっぱり強いのね、エオルゼアの冒険者は。……ありがとう。			あなたたちがいてくれて、本当に助かったわ。やっぱり強いのね、エオルゼアの冒険者は。……ありがとう。			新たな蛮神							
砂の家のウリエンジェは、大迷宮バハムートについて冒険者と話したいようだ。			砂の家のウリエンジェは、大迷宮バハムートについて冒険者と話したいようだ。			第七霊災の真実を求めて							
ウリエンジェと話すことができた。冒険者たちが大迷宮バハムートで見たものについて「砂の家」の「アリゼー」と話そう。			ウリエンジェと話すことができた。冒険者たちが大迷宮バハムートで見たものについて「砂の家」の「アリゼー」と話そう。			第七霊災の真実を求めて							
アリゼー、ウリエンジェと話した。第七霊災でエオルゼアを焼き尽くした「バハムート」は、カルテノー平原の地中深くで、エーテルを吸い上げながら復活のときを待っていた。迷宮の奥へ消えた賢者ルイゾワに会うためにも、次なる大迷宮の手がかりを探すというアリゼー。第七霊災と真の決着をつけるため、新たな戦いへ身を投じよう。			アリゼー、ウリエンジェと話した。第七霊災でエオルゼアを焼き尽くした「バハムート」は、カルテノー平原の地中深くで、エーテルを吸い上げながら復活のときを待っていた。迷宮の奥へ消えた賢者ルイゾワに会うためにも、次なる大迷宮の手がかりを探すというアリゼー。第七霊災と真の決着をつけるため、新たな戦いへ身を投じよう。			第七霊災の真実を求めて							
砂の家のアリゼーと話す			砂の家のアリゼーと話す			第七霊災の真実を求めて							
英雄の凱旋……よく戻られました……。アリゼー様から、ご報告は受けています……。			英雄の凱旋……よく戻られました……。アリゼー様から、ご報告は受けています……。			第七霊災の真実を求めて							
アリゼー様は、我が師ルイゾワ様の令孫……。御身に災厄がかからぬかと、案じておりましたが、すべては私の、浅はかな杞憂だったようです……。			アリゼー様は、我が師ルイゾワ様の令孫……。御身に災厄がかからぬかと、案じておりましたが、すべては私の、浅はかな杞憂だったようです……。			第七霊災の真実を求めて							
さあ、あなたの手に入れた鍵で、さらなる世界の真理を、解き明かしましょう……。			さあ、あなたの手に入れた鍵で、さらなる世界の真理を、解き明かしましょう……。			第七霊災の真実を求めて							
砂の家か……少し雰囲気が変わった気がするわ。ウリエンジェにも概要を伝えてあるから、さっそく調査結果を整理しましょう。			砂の家か……少し雰囲気が変わった気がするわ。ウリエンジェにも概要を伝えてあるから、さっそく調査結果を整理しましょう。			第七霊災の真実を求めて							
……では、調査結果を整理しましょう。ウリエンジェ、あなたからも報告があるそうね？			……では、調査結果を整理しましょう。ウリエンジェ、あなたからも報告があるそうね？			第七霊災の真実を求めて							
みなさんが脱出してきたのと同じ頃に、蛮神の予兆とおぼしき地震が観測されています。			みなさんが脱出してきたのと同じ頃に、蛮神の予兆とおぼしき地震が観測されています。			第七霊災の真実を求めて							
場所はザナラーン北部や、モードゥナ地方……しかるに震源は……運命の地「カルテノー平原」。			場所はザナラーン北部や、モードゥナ地方……しかるに震源は……運命の地「カルテノー平原」。			第七霊災の真実を求めて							
おかしいわね……。あの周辺で蛮神が召喚された報告はなかったはずよ。			おかしいわね……。あの周辺で蛮神が召喚された報告はなかったはずよ。			第七霊災の真実を求めて							
まさか、私たちが「バハムート」を見たのが、カルテノー平原の地下だったということ？			まさか、私たちが「バハムート」を見たのが、カルテノー平原の地下だったということ？			第七霊災の真実を求めて							
可能性は、高いかと……。			可能性は、高いかと……。			第七霊災の真実を求めて							
そう……5年前に消えたはずの蛮神「バハムート」は、平原の地下深くに潜伏し、再生が果たされる日を待ち続けていたということね……。			そう……5年前に消えたはずの蛮神「バハムート」は、平原の地下深くに潜伏し、再生が果たされる日を待ち続けていたということね……。			第七霊災の真実を求めて							
私たちが追ってきた、エーテルの乱れ……それも、かの蛮神が地に奔る力を奪っていたと思えば、合点のいく話でしょう……。			私たちが追ってきた、エーテルの乱れ……それも、かの蛮神が地に奔る力を奪っていたと思えば、合点のいく話でしょう……。			第七霊災の真実を求めて							
古の蛮神「バハムート」……。エオルゼアの命を啜り、いずれ地上に舞い戻る……。そのときこそ……真なる終わりが訪れん……。			古の蛮神「バハムート」……。エオルゼアの命を啜り、いずれ地上に舞い戻る……。そのときこそ……真なる終わりが訪れん……。			第七霊災の真実を求めて							
……ええ、私だって諦めてはいないわ。生きていたのは、ルイゾワお祖父様も同じこと。			……ええ、私だって諦めてはいないわ。生きていたのは、ルイゾワお祖父様も同じこと。			第七霊災の真実を求めて							
ああ、そうか……だから……。お祖父様はきっと、独りあの場所にこもってバハムートを封じ続けてきたんだわ……。			ああ、そうか……だから……。お祖父様はきっと、独りあの場所にこもってバハムートを封じ続けてきたんだわ……。			第七霊災の真実を求めて							
ルイゾワ様が……？それは望むべくもない話。我が師はもう……。			ルイゾワ様が……？それは望むべくもない話。我が師はもう……。			第七霊災の真実を求めて							
私がお祖父様を見間違えるはずはない！あの場所にいたのは、確かにルイゾワお祖父様だった。			私がお祖父様を見間違えるはずはない！あの場所にいたのは、確かにルイゾワお祖父様だった。			第七霊災の真実を求めて							
迷宮の奥へ消えてしまったけれど……大地に突き刺さったダラガブの破片なら、まだ2本ある。きっとまた会えるはずよ。			迷宮の奥へ消えてしまったけれど……大地に突き刺さったダラガブの破片なら、まだ2本ある。きっとまた会えるはずよ。			第七霊災の真実を求めて							
何としてでも侵入方法を調べ上げて、必ず、お祖父様と再会してみせるわ！			何としてでも侵入方法を調べ上げて、必ず、お祖父様と再会してみせるわ！			第七霊災の真実を求めて							
……では、私は各国のグランドカンパニーに伝達を。不用意に事実が知れれば、混乱が起きましょう……第七霊災を呼び戻さぬよう、民の統率が必要です。			……では、私は各国のグランドカンパニーに伝達を。不用意に事実が知れれば、混乱が起きましょう……第七霊災を呼び戻さぬよう、民の統率が必要です。			第七霊災の真実を求めて							
そんなもの、放っておいてもアルフィノが勝手にやるわ。……もっとも、今はエオルゼアの統一組織を作るのにご執心なようだけど。			そんなもの、放っておいてもアルフィノが勝手にやるわ。……もっとも、今はエオルゼアの統一組織を作るのにご執心なようだけど。			第七霊災の真実を求めて							
ウリエンジェ、あなたは私とともに、蛮神「バハムート」に関する調査を続行よ。			ウリエンジェ、あなたは私とともに、蛮神「バハムート」に関する調査を続行よ。			第七霊災の真実を求めて							
あの迷宮からお祖父様を連れ戻し、第七霊災の真実を、白日のもとにしてみせる！			あの迷宮からお祖父様を連れ戻し、第七霊災の真実を、白日のもとにしてみせる！			第七霊災の真実を求めて							
あなたは、その時がくるまで準備を怠らないで。……これから先も、あなたの力が必要になる。			あなたは、その時がくるまで準備を怠らないで。……これから先も、あなたの力が必要になる。			第七霊災の真実を求めて							
それも、私の剣ではなく、「バハムート」と向き合う、エオルゼアの剣としてね。エオルゼアはまだ、真の危機を脱していないのだから。			それも、私の剣ではなく、「バハムート」と向き合う、エオルゼアの剣としてね。エオルゼアはまだ、真の危機を脱していないのだから。			第七霊災の真実を求めて							
本クエストを受注する前に、「大迷宮バハムート：邂逅編」初回攻略時に、再生されたカットシーンを確認することができます。			本クエストを受注する前に、「大迷宮バハムート：邂逅編」初回攻略時に、再生されたカットシーンを確認することができます。			第七霊災の真実を求めて							
カットシーンを再生しますか？			カットシーンを再生しますか？			第七霊災の真実を求めて							
砂の家のウリエンジェは、大迷宮バハムートの調査を進めたいようだ。			砂の家のウリエンジェは、大迷宮バハムートの調査を進めたいようだ。			再び深き淵へ							
