カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			軋む歯車							
噂に違わぬ腕前だったそうだな。追跡の達人であるドドグン闘軍曹も、彼にしては珍しく、手放しで褒め称えていたぞ。			噂に違わぬ腕前だったそうだな。追跡の達人であるドドグン闘軍曹も、彼にしては珍しく、手放しで褒め称えていたぞ。			巨大モルボルを追え							
次に会ったら一杯奢らせてくれ、とも言っていた。東岸の高台での監視任務に就いているゆえ、なかなか会う機会も少ないとは思うがな。			次に会ったら一杯奢らせてくれ、とも言っていた。東岸の高台での監視任務に就いているゆえ、なかなか会う機会も少ないとは思うがな。			巨大モルボルを追え							
私からも、あらためて礼を言わせてくれ。君のような冒険者を同盟軍に迎えられて、我々は幸運だった。感謝する、そして今後とも、よろしく頼むぞ！			私からも、あらためて礼を言わせてくれ。君のような冒険者を同盟軍に迎えられて、我々は幸運だった。感謝する、そして今後とも、よろしく頼むぞ！			巨大モルボルを追え							
カストルム・オリエンスのルシヌ准牙士は、冒険者に頼みたいことがあるようだ。			カストルム・オリエンスのルシヌ准牙士は、冒険者に頼みたいことがあるようだ。			戦火の爪痕							
土壌サンプルを入手			土壌サンプルを入手			戦火の爪痕							
水質サンプルを入手			水質サンプルを入手			戦火の爪痕							
ルシヌ准牙士にサンプルを渡す			ルシヌ准牙士にサンプルを渡す			戦火の爪痕							
私は双蛇党で工兵をしている、ルシヌ准牙士……。20年続いた帝国の支配が、森にもたらした影響を調査しています。			私は双蛇党で工兵をしている、ルシヌ准牙士……。20年続いた帝国の支配が、森にもたらした影響を調査しています。			戦火の爪痕							
ですが、双蛇党は人手不足でして、この任務に割り当てられたのは、なんと私ひとりだけ……！			ですが、双蛇党は人手不足でして、この任務に割り当てられたのは、なんと私ひとりだけ……！			戦火の爪痕							
園芸師上がりの工兵ひとりでは、満足にサンプルを集めてくることすらできません！どうか後生ですから、お手伝いいただけませんか？			園芸師上がりの工兵ひとりでは、満足にサンプルを集めてくることすらできません！どうか後生ですから、お手伝いいただけませんか？			戦火の爪痕							
イーストエンド混交林に放棄された魔導兵器付近3か所の「土」、それからベロジナ川の「水」を、採ってきていただきたいのです。よろしくお願い致します！！			イーストエンド混交林に放棄された魔導兵器付近3か所の「土」、それからベロジナ川の「水」を、採ってきていただきたいのです。よろしくお願い致します！！			戦火の爪痕							
イーストエンド混交林に放棄された魔導兵器付近3か所の「土」、それからベロジナ川の「水」を、採ってきていただきたいのです。よろしくお願い致します！！			イーストエンド混交林に放棄された魔導兵器付近3か所の「土」、それからベロジナ川の「水」を、採ってきていただきたいのです。よろしくお願い致します！！			戦火の爪痕							
あの……サンプルは、取ってきていただけましたか？			あの……サンプルは、取ってきていただけましたか？			戦火の爪痕							
あ、ありがとうございます！誰にも手伝ってもらえなくて……！わ、私……嬉しいです！			あ、ありがとうございます！誰にも手伝ってもらえなくて……！わ、私……嬉しいです！			戦火の爪痕							
私が志願しなければ、森の調査は後回しにされたことでしょう。ですが、度重なる争いは、必ず自然にも影響を与えます。			私が志願しなければ、森の調査は後回しにされたことでしょう。ですが、度重なる争いは、必ず自然にも影響を与えます。			戦火の爪痕							
それでも、戦わなければならないのは、理解しているつもりです。しかし……我々には森を元通りにする義務があり、それを忘れてはいけないと思います。			それでも、戦わなければならないのは、理解しているつもりです。しかし……我々には森を元通りにする義務があり、それを忘れてはいけないと思います。			戦火の爪痕							
ありがとうございました、冒険者さん。いただいたサンプルは、きちんと調査します。そして、私にもできることを探していくつもりです。			ありがとうございました、冒険者さん。いただいたサンプルは、きちんと調査します。そして、私にもできることを探していくつもりです。			戦火の爪痕							
カストルム・オリエンスの熟練の下士は、冒険者に助けを求めたいようだ。			カストルム・オリエンスの熟練の下士は、冒険者に助けを求めたいようだ。			穴の先に待つモノ							
熟練の下士と話す			熟練の下士と話す			穴の先に待つモノ							
指定地点に手製の爆竹を使う			指定地点に手製の爆竹を使う			穴の先に待つモノ							
熟練の下士と話す			熟練の下士と話す			穴の先に待つモノ							
印に向かって飛び降りて、現れたゴージド・スピナーを討伐			印に向かって飛び降りて、現れたゴージド・スピナーを討伐			穴の先に待つモノ							
熟練の下士と話す			熟練の下士と話す			穴の先に待つモノ							
熟練の下士と再度話す			熟練の下士と再度話す			穴の先に待つモノ							
熟練の下士と話す			熟練の下士と話す			穴の先に待つモノ							
指定地点に手製の爆竹を使う			指定地点に手製の爆竹を使う			穴の先に待つモノ							
熟練の下士と話す			熟練の下士と話す			穴の先に待つモノ							
印に向かって飛び降りて、現れたゴージド・スピナーを討伐			印に向かって飛び降りて、現れたゴージド・スピナーを討伐			穴の先に待つモノ							
熟練の下士と話す			熟練の下士と話す			穴の先に待つモノ							
熟練の下士と再度話す			熟練の下士と再度話す			穴の先に待つモノ							
すまない、手を貸してくれないか？実は新兵がひとり、定期巡回に行ったきり、連絡が取れなくなってしまったんだ。			すまない、手を貸してくれないか？実は新兵がひとり、定期巡回に行ったきり、連絡が取れなくなってしまったんだ。			穴の先に待つモノ							
予定では、南東の「流星の尾」辺りを、一巡りして、戻ってくるはずだったんだが……。頼む……あいつを助けるために一緒に来てくれ。			予定では、南東の「流星の尾」辺りを、一巡りして、戻ってくるはずだったんだが……。頼む……あいつを助けるために一緒に来てくれ。			穴の先に待つモノ							
冒険者殿、よく来てくれた。新米は見つかったんだが……ひとつ問題が発生してな。おい、もう一度さっきの話をしてくれ。			冒険者殿、よく来てくれた。新米は見つかったんだが……ひとつ問題が発生してな。おい、もう一度さっきの話をしてくれ。			穴の先に待つモノ							
ハ、ハイ……巡回中に巨大なスピナーに襲われたんです。どうにか応戦して、逃げ出すことはできたものの、その際に機密情報である作戦図が入った背嚢を奪われまして……。			ハ、ハイ……巡回中に巨大なスピナーに襲われたんです。どうにか応戦して、逃げ出すことはできたものの、その際に機密情報である作戦図が入った背嚢を奪われまして……。			穴の先に待つモノ							
取り返そうとは思ったんですが、奴は地中に潜ってしまって、手も足も出せません。それに、あんな化け物……もう一度戦っても勝てるかどうか……。			取り返そうとは思ったんですが、奴は地中に潜ってしまって、手も足も出せません。それに、あんな化け物……もう一度戦っても勝てるかどうか……。			穴の先に待つモノ							
「ゴージド・スピナー」は、大きな音が苦手だったはずだな……よし、まずは「手製の爆竹」を崖上からばら撒くんだ。それが完了したら、また話を聞きに来てくれ。			「ゴージド・スピナー」は、大きな音が苦手だったはずだな……よし、まずは「手製の爆竹」を崖上からばら撒くんだ。それが完了したら、また話を聞きに来てくれ。			穴の先に待つモノ							
……あんな、でかいスピナー……初めて見た……。			……あんな、でかいスピナー……初めて見た……。			穴の先に待つモノ							
「ゴージド・スピナー」は、大きな音が苦手だったはずだな……よし、まずは「手製の爆竹」を崖上からばら撒くんだ。それが完了したら、また話を聞きに来てくれ。			「ゴージド・スピナー」は、大きな音が苦手だったはずだな……よし、まずは「手製の爆竹」を崖上からばら撒くんだ。それが完了したら、また話を聞きに来てくれ。			穴の先に待つモノ							
手製の爆竹は、穴の底へと落ちていった。再度、熟練の下士と話そう。			手製の爆竹は、穴の底へと落ちていった。再度、熟練の下士と話そう。			穴の先に待つモノ							
手製の爆竹を撒き終わったようだな。			手製の爆竹を撒き終わったようだな。			穴の先に待つモノ							
次は、崖上から手製の爆竹を撒いた地点へ飛び降りるんだ！落下の衝撃で手製の爆竹を爆発させ、ゴージド・スピナーを誘い出すのさ！			次は、崖上から手製の爆竹を撒いた地点へ飛び降りるんだ！落下の衝撃で手製の爆竹を爆発させ、ゴージド・スピナーを誘い出すのさ！			穴の先に待つモノ							
マウントから降りた状態で、崖上から印に向かって飛び降り、手製の爆竹を爆発させましょう。			マウントから降りた状態で、崖上から印に向かって飛び降り、手製の爆竹を爆発させましょう。			穴の先に待つモノ							
次は、崖上から手製の爆竹を撒いた地点へ飛び降りるんだ！落下の衝撃で手製の爆竹を爆発させ、ゴージド・スピナーを誘い出すのさ！			次は、崖上から手製の爆竹を撒いた地点へ飛び降りるんだ！落下の衝撃で手製の爆竹を爆発させ、ゴージド・スピナーを誘い出すのさ！			穴の先に待つモノ							
マウントから降りた状態で、崖上から印に向かって飛び降り、手製の爆竹を爆発させましょう。			マウントから降りた状態で、崖上から印に向かって飛び降り、手製の爆竹を爆発させましょう。			穴の先に待つモノ							
周囲にゴージド・スピナーの姿はない。どうやら接近を悟られ、隠れられてしまったらしい。高い場所から飛び降りて、一気に近づこう。			周囲にゴージド・スピナーの姿はない。どうやら接近を悟られ、隠れられてしまったらしい。高い場所から飛び降りて、一気に近づこう。			穴の先に待つモノ							
まさか、本当に飛び降りるとは思わなかったが……と、とにかくありがとう。			まさか、本当に飛び降りるとは思わなかったが……と、とにかくありがとう。			穴の先に待つモノ							
すごい勇気ですね！でも、おかげでスピナーの死骸から、奪われた背嚢を回収できそうです！			すごい勇気ですね！でも、おかげでスピナーの死骸から、奪われた背嚢を回収できそうです！			穴の先に待つモノ							
いやはや、さすがは冒険者……だな。基地に戻ったら、礼をさせてほしい。……待っているよ。			いやはや、さすがは冒険者……だな。基地に戻ったら、礼をさせてほしい。……待っているよ。			穴の先に待つモノ							
君のおかげで、新兵も無事に戻り、そして、機密情報の流出も未然に防ぐことができた。急な応援要請に応えてくれて、ありがとう。			君のおかげで、新兵も無事に戻り、そして、機密情報の流出も未然に防ぐことができた。急な応援要請に応えてくれて、ありがとう。			穴の先に待つモノ							
実は、私はここイーストエンド混交林の出身でね。手製の爆竹で引っ張り出す方法は、20年前、猟師をしていた頃に学んだのさ。			実は、私はここイーストエンド混交林の出身でね。手製の爆竹で引っ張り出す方法は、20年前、猟師をしていた頃に学んだのさ。			穴の先に待つモノ							
地元じゃ有名な魔物だったが、まだ生きていたとは驚きだ。腹の辺りに、傷痕があっただろ？あれは、俺がつけたんだ。			地元じゃ有名な魔物だったが、まだ生きていたとは驚きだ。腹の辺りに、傷痕があっただろ？あれは、俺がつけたんだ。			穴の先に待つモノ							
結局仕留めきれなかったわけだから、褒められたもんじゃない。アイツを倒してくれた君には、感謝しても仕切れないな。これが礼だ、受け取ってくれ。			結局仕留めきれなかったわけだから、褒められたもんじゃない。アイツを倒してくれた君には、感謝しても仕切れないな。これが礼だ、受け取ってくれ。			穴の先に待つモノ							
カストルム・オリエンスのカンコンペー二等牙兵は、冒険者を探しているようだ。			カストルム・オリエンスのカンコンペー二等牙兵は、冒険者を探しているようだ。			同盟軍の台所事情							
兵士たちと話す			兵士たちと話す			同盟軍の台所事情							
カンコンペー二等牙兵と話す			カンコンペー二等牙兵と話す			同盟軍の台所事情							
ベロジナ・サルコスクスからサルコスクスの肉を入手			ベロジナ・サルコスクスからサルコスクスの肉を入手			同盟軍の台所事情							
ベロジナダケを入手			ベロジナダケを入手			同盟軍の台所事情							
カンコンペー二等牙兵と話す			カンコンペー二等牙兵と話す			同盟軍の台所事情							
冒険者殿、これはよいところに……。最近、同盟軍全体で、兵士同士の諍いが絶えないのです。訓練の合間の食事時でさえ、喧嘩が起こることも……。			冒険者殿、これはよいところに……。最近、同盟軍全体で、兵士同士の諍いが絶えないのです。訓練の合間の食事時でさえ、喧嘩が起こることも……。			同盟軍の台所事情							
原因を調査するため話を聞こうにも、皆、言葉を濁すだけで……。ですが……第三者にでしたら、話しやすいかもしれません。よろしければ、皆から話を聞いてきていただけませんか？			原因を調査するため話を聞こうにも、皆、言葉を濁すだけで……。ですが……第三者にでしたら、話しやすいかもしれません。よろしければ、皆から話を聞いてきていただけませんか？			同盟軍の台所事情							
第三者にでしたら、話しやすいかもしれません。よろしければ、兵士たちから話を聞いてきていただけませんか？			第三者にでしたら、話しやすいかもしれません。よろしければ、兵士たちから話を聞いてきていただけませんか？			同盟軍の台所事情							
カストルム・オリエンスでの炊事は、双蛇党の担当なのだがな……ここだけの話、口に合わんのだ。野菜や果物中心で、食っても食っても力が湧いてこない。			カストルム・オリエンスでの炊事は、双蛇党の担当なのだがな……ここだけの話、口に合わんのだ。野菜や果物中心で、食っても食っても力が湧いてこない。			同盟軍の台所事情							
ここはリムサ・ロミンサではないのだから、海の幸は無理でも、たまには違うものが食べたくなるものさ。まあ、ただのわがままだがな……。			ここはリムサ・ロミンサではないのだから、海の幸は無理でも、たまには違うものが食べたくなるものさ。まあ、ただのわがままだがな……。			同盟軍の台所事情							
ここはリムサ・ロミンサではないのだから、海の幸は無理でも、たまには違うものが食べたくなるものさ。まあ、ただのわがままだがな……。			ここはリムサ・ロミンサではないのだから、海の幸は無理でも、たまには違うものが食べたくなるものさ。まあ、ただのわがままだがな……。			同盟軍の台所事情							
確かにみんな、最近はピリピリしてるように見えますね。帝国軍がいつここを取り返しにくるかわからないから、神経質になってるんでしょうか。			確かにみんな、最近はピリピリしてるように見えますね。帝国軍がいつここを取り返しにくるかわからないから、神経質になってるんでしょうか。			同盟軍の台所事情							
確かにみんな、食事時はピリピリしてるように見えますね。いつ帝国軍がここを取り返しにくるかわからないから、それで神経質になってるんでしょうか。			確かにみんな、食事時はピリピリしてるように見えますね。いつ帝国軍がここを取り返しにくるかわからないから、それで神経質になってるんでしょうか。			同盟軍の台所事情							
はぁ……故郷の料理が懐かしいな。			はぁ……故郷の料理が懐かしいな。			同盟軍の台所事情							
……いえ、炊事を担当する双蛇党の方には、感謝しております。グリダニアの負担が最も大きいのは、理解していますから。			……いえ、炊事を担当する双蛇党の方には、感謝しております。グリダニアの負担が最も大きいのは、理解していますから。			同盟軍の台所事情							
……いえ、炊事を担当する双蛇党の方には、感謝しております。グリダニアの負担が最も大きいのは、理解していますから。			……いえ、炊事を担当する双蛇党の方には、感謝しております。グリダニアの負担が最も大きいのは、理解していますから。			同盟軍の台所事情							
な、なるほど……野戦食が原因でしたか……。確かに、双蛇党の私には、訴え辛かったんですね。			な、なるほど……野戦食が原因でしたか……。確かに、双蛇党の私には、訴え辛かったんですね。			同盟軍の台所事情							
異郷での任務となれば、故郷の味が懐かしくなるのも頷けます。原因がわかれば、対処のしようもありそうですね……。冒険者殿、引き続きご協力をお願いできますか？			異郷での任務となれば、故郷の味が懐かしくなるのも頷けます。原因がわかれば、対処のしようもありそうですね……。冒険者殿、引き続きご協力をお願いできますか？			同盟軍の台所事情							
すべての国の郷土料理は出せずとも、たまには趣向を変え、ギラバニア料理をふるまってみようかと……。そこで、食材集めを依頼したいのです。			すべての国の郷土料理は出せずとも、たまには趣向を変え、ギラバニア料理をふるまってみようかと……。そこで、食材集めを依頼したいのです。			同盟軍の台所事情							
必要な食材は、ふたつ……。ひとつ目は、北東に生息する「サルコスクスの肉」を3塊。			必要な食材は、ふたつ……。ひとつ目は、北東に生息する「サルコスクスの肉」を3塊。			同盟軍の台所事情							
ふたつ目は、「イーストエンド混交林」に自生する、「ベロジナダケ」というキノコを3つです。お手数をおかけしますが、よろしくお願いしますね。			ふたつ目は、「イーストエンド混交林」に自生する、「ベロジナダケ」というキノコを3つです。お手数をおかけしますが、よろしくお願いしますね。			同盟軍の台所事情							
必要な食材は、ふたつ……。ひとつ目は、北東に生息する「サルコスクスの肉」を3塊。			必要な食材は、ふたつ……。ひとつ目は、北東に生息する「サルコスクスの肉」を3塊。			同盟軍の台所事情							
ふたつ目は、「イーストエンド混交林」に自生する、「ベロジナダケ」というキノコを3つです。お手数をおかけしますが、よろしくお願いしますね。			ふたつ目は、「イーストエンド混交林」に自生する、「ベロジナダケ」というキノコを3つです。お手数をおかけしますが、よろしくお願いしますね。			同盟軍の台所事情							
食材の調達は、いかがでしょうか？			食材の調達は、いかがでしょうか？			同盟軍の台所事情							
本当に、助かりました。そういえば、どこからか話が伝わったのか、そわそわした兵士たちが、何人か聞きに来ましたよ。			本当に、助かりました。そういえば、どこからか話が伝わったのか、そわそわした兵士たちが、何人か聞きに来ましたよ。			同盟軍の台所事情							
食は軍の士気にも関わるのだと、気づかされました。毎日は難しいでしょうが、輜重(しちょう)担当とも相談して、味付けを変えてみたり、いろいろ試していこうかと思います。			食は軍の士気にも関わるのだと、気づかされました。毎日は難しいでしょうが、輜重(しちょう)担当とも相談して、味付けを変えてみたり、いろいろ試していこうかと思います。			同盟軍の台所事情							
ありがとうございました、冒険者殿。			ありがとうございました、冒険者殿。			同盟軍の台所事情							
カストルム・オリエンスのルーツキルツ大甲士は、頼みごとがあるようだ。			カストルム・オリエンスのルーツキルツ大甲士は、頼みごとがあるようだ。			魔導兵器は暴走する							
グ・ニブニパ少甲士と話す			グ・ニブニパ少甲士と話す			魔導兵器は暴走する							
鹵獲魔導アーマーに騎乗してイーストエンド混交林東へ向かい現れたオーバーライド・スラッシャーを討伐			鹵獲魔導アーマーに騎乗してイーストエンド混交林東へ向かい現れたオーバーライド・スラッシャーを討伐			魔導兵器は暴走する							
鹵獲魔導アーマーに騎乗してベロジナ川北西へ向かい現れたオーバーライド・スラッシャーを討伐			鹵獲魔導アーマーに騎乗してベロジナ川北西へ向かい現れたオーバーライド・スラッシャーを討伐			魔導兵器は暴走する							
ルーツキルツ大甲士と話す			ルーツキルツ大甲士と話す			魔導兵器は暴走する							
