リサーチA4のジャミングウェイは、考えごとをしているようだ。			リサーチA4のジャミングウェイは、考えごとをしているようだ。			希望と夢をカートに詰めて							
ワークショップもいろいろあるようなので、ひとつずつ見学していくとしましょう！			ワークショップもいろいろあるようなので、ひとつずつ見学していくとしましょう！			希望と夢をカートに詰めて							
このワークショップでは、絵を描いているんデスか！みんなで大きな作品を作るというのは、ワクワクしてきますねぇ。			このワークショップでは、絵を描いているんデスか！みんなで大きな作品を作るというのは、ワクワクしてきますねぇ。			希望と夢をカートに詰めて							
でも、カフェにはいろいろな文明のお客さんが来ますから、感性の違いで、いらぬ対立を招くおそれが……。喧嘩の火種にならないか、ちょっと心配デス。			でも、カフェにはいろいろな文明のお客さんが来ますから、感性の違いで、いらぬ対立を招くおそれが……。喧嘩の火種にならないか、ちょっと心配デス。			希望と夢をカートに詰めて							
あっ！N-7000と耳がお揃いの、新型マシンが置いてありますね！持って帰れるなら、カフェで使うのも……？			あっ！N-7000と耳がお揃いの、新型マシンが置いてありますね！持って帰れるなら、カフェで使うのも……？			希望と夢をカートに詰めて							
ただ、N-7000とスティグマ・フォーのおかげで、マシンに事欠かないこともあって、新鮮さがないのが難点デス。			ただ、N-7000とスティグマ・フォーのおかげで、マシンに事欠かないこともあって、新鮮さがないのが難点デス。			希望と夢をカートに詰めて							
奥にあるステージ、とっても盛り上がっていますよ！このノリノリな音楽は、あそこから流れていたわけデスね。			奥にあるステージ、とっても盛り上がっていますよ！このノリノリな音楽は、あそこから流れていたわけデスね。			希望と夢をカートに詰めて							
カフェで音楽鑑賞をするのはありかもしれませんけど、やはり好みの問題がでてくるような……。			カフェで音楽鑑賞をするのはありかもしれませんけど、やはり好みの問題がでてくるような……。			希望と夢をカートに詰めて							
おお、こちらは商品が充実してますねぇ。飲食のみならず、多彩な品ぞろえでお客さんを魅了……というのは、ありかもしれません！			おお、こちらは商品が充実してますねぇ。飲食のみならず、多彩な品ぞろえでお客さんを魅了……というのは、ありかもしれません！			希望と夢をカートに詰めて							
とはいえ、取引に使っている「オミクロン暗号貨」って、マイニングするのに、かなりの雷力を食うんデスよね。流通量の増加で、価値が大暴落する危険もありますし……。			とはいえ、取引に使っている「オミクロン暗号貨」って、マイニングするのに、かなりの雷力を食うんデスよね。流通量の増加で、価値が大暴落する危険もありますし……。			希望と夢をカートに詰めて							
おっと、もしかしてクッキングウェイのお店デスか！ここでレシピを習っておけば、カフェ「ラストレムナント」の、メニューを増やせるかも！？			おっと、もしかしてクッキングウェイのお店デスか！ここでレシピを習っておけば、カフェ「ラストレムナント」の、メニューを増やせるかも！？			希望と夢をカートに詰めて							
しかし、キャロットのメニューばかり増やさないようにとは、N-7000にも釘を刺されているところデスよ……。			しかし、キャロットのメニューばかり増やさないようにとは、N-7000にも釘を刺されているところデスよ……。			希望と夢をカートに詰めて							
おやおや、中央のワークショップにあるのは通信機器では？「魔導船ラグナロク」の通信担当としては、俄然、気になっちゃいます！			おやおや、中央のワークショップにあるのは通信機器では？「魔導船ラグナロク」の通信担当としては、俄然、気になっちゃいます！			希望と夢をカートに詰めて							
通信基地のようにも見えますけど、ここでは何をやっているデスか？			通信基地のようにも見えますけど、ここでは何をやっているデスか？			希望と夢をカートに詰めて							
何と言う？			何と言う？			希望と夢をカートに詰めて							
アーテリスに向けて放送している			アーテリスに向けて放送している			希望と夢をカートに詰めて							
トーキングウェイたちがラジオをやっている			トーキングウェイたちがラジオをやっている			希望と夢をカートに詰めて							
そんな面白そうな試みをしていたとは……！受信機の普及は大変そうデスけど、なんだか夢がありますねぇ！			そんな面白そうな試みをしていたとは……！受信機の普及は大変そうデスけど、なんだか夢がありますねぇ！			希望と夢をカートに詰めて							
「ラグナロク」経由で受信できますし、カフェにも受信機を置いてみるというのはどうでしょう？まぁ、それだけでイベントにはなりませんけど……。			「ラグナロク」経由で受信できますし、カフェにも受信機を置いてみるというのはどうでしょう？まぁ、それだけでイベントにはなりませんけど……。			希望と夢をカートに詰めて							
うーん、どれも素敵なワークショップでしたね！ただ、オイラたちのカフェへの転用はひと工夫いりそうデス！			うーん、どれも素敵なワークショップでしたね！ただ、オイラたちのカフェへの転用はひと工夫いりそうデス！			希望と夢をカートに詰めて							
見学はそろそろ切り上げて、ほかにもいいアイデアがないか、今度は「ドリーミングウェイ」に聞いてみましょう！			見学はそろそろ切り上げて、ほかにもいいアイデアがないか、今度は「ドリーミングウェイ」に聞いてみましょう！			希望と夢をカートに詰めて							
ドリーミングウェイと会うのは、久しぶりデス！			ドリーミングウェイと会うのは、久しぶりデス！			希望と夢をカートに詰めて							
あれっ、Forenameさん！ジャミングウェイと一緒だなんて、何かあったんですかぁ～？			あれっ、Forenameさん！ジャミングウェイと一緒だなんて、何かあったんですかぁ～？			希望と夢をカートに詰めて							
え～っ！？ウルティマ・トゥーレでカフェを開いたなんて、ジャミングウェイ、すごいねぇ～！			え～っ！？ウルティマ・トゥーレでカフェを開いたなんて、ジャミングウェイ、すごいねぇ～！			希望と夢をカートに詰めて							
フフーン、それほどでも！			フフーン、それほどでも！			希望と夢をカートに詰めて							
それに、イベントのアイデア探しで、ぼくたちのところへ来てくれるなんて、嬉しいなぁ～！			それに、イベントのアイデア探しで、ぼくたちのところへ来てくれるなんて、嬉しいなぁ～！			希望と夢をカートに詰めて							
ワークショップはもう見学してくれたみたいだし、あとは、トーキングウェイと話してみるのはどうだろう？			ワークショップはもう見学してくれたみたいだし、あとは、トーキングウェイと話してみるのはどうだろう？			希望と夢をカートに詰めて							
ラジオのパーソナリティをやっている子だから、リスナーさんからの情報とか、いろいろ知ってると思うよっ！ちょっと呼んでくるねぇ～！			ラジオのパーソナリティをやっている子だから、リスナーさんからの情報とか、いろいろ知ってると思うよっ！ちょっと呼んでくるねぇ～！			希望と夢をカートに詰めて							
トーキングウェイを連れてきましたよ～っ！			トーキングウェイを連れてきましたよ～っ！			希望と夢をカートに詰めて							
どうも、Forenameさん。力になれるかわからないが、相談に乗らせてもらうよ。			どうも、Forenameさん。力になれるかわからないが、相談に乗らせてもらうよ。			希望と夢をカートに詰めて							
あれれ？トーキングウェイとは、初めましてデス……？			あれれ？トーキングウェイとは、初めましてデス……？			希望と夢をカートに詰めて							
ジャミングウェイに、改めて自己紹介をしておくとだな……。私は以前、カウンセリングウェイという名前だったのだが、今はトーキングウェイと名乗っている、よろしく頼む。			ジャミングウェイに、改めて自己紹介をしておくとだな……。私は以前、カウンセリングウェイという名前だったのだが、今はトーキングウェイと名乗っている、よろしく頼む。			希望と夢をカートに詰めて							
なるほど、名前を変えたんデスか！それじゃあトーキングウェイ、改めてよろしくデス！			なるほど、名前を変えたんデスか！それじゃあトーキングウェイ、改めてよろしくデス！			希望と夢をカートに詰めて							
さて、ドリーミングウェイから聞いたところ、カフェで開催する刺激的なイベントを求めているようだね。それなら、ひとつ心当たりがあるんだ。			さて、ドリーミングウェイから聞いたところ、カフェで開催する刺激的なイベントを求めているようだね。それなら、ひとつ心当たりがあるんだ。			希望と夢をカートに詰めて							
リスナーさんから届いた投書で知ったのだが、サベネア島では「ヒッポカートレース」という競技が、人々を大興奮させていて話題になっているらしい。			リスナーさんから届いた投書で知ったのだが、サベネア島では「ヒッポカートレース」という競技が、人々を大興奮させていて話題になっているらしい。			希望と夢をカートに詰めて							
レース……！ウルティマ・トゥーレで出張レースなんてしてもらえれば、カフェのみんなと飲食をしながら観戦できそうデスね！			レース……！ウルティマ・トゥーレで出張レースなんてしてもらえれば、カフェのみんなと飲食をしながら観戦できそうデスね！			希望と夢をカートに詰めて							
これが実現できたら、ニビラーンだって盛り上がってくれるかも……！			これが実現できたら、ニビラーンだって盛り上がってくれるかも……！			希望と夢をカートに詰めて							
Forename殿は、サベネア島のヒッポカートレースについて知ってますデスか？			Forename殿は、サベネア島のヒッポカートレースについて知ってますデスか？			希望と夢をカートに詰めて							
レースの主催者さんとお知り合いだなんて、さすが顔が広い……！そういうことなら、ぜひ紹介してもらいたいデス！			レースの主催者さんとお知り合いだなんて、さすが顔が広い……！そういうことなら、ぜひ紹介してもらいたいデス！			希望と夢をカートに詰めて							
ねぇねぇ！ウルティマ・トゥーレでレースをやるなら、ぼくたちがそれをラジオで実況放送する、なんてどうかなぁ～？			ねぇねぇ！ウルティマ・トゥーレでレースをやるなら、ぼくたちがそれをラジオで実況放送する、なんてどうかなぁ～？			希望と夢をカートに詰めて							
それ、いいアイデアじゃないデスか！魔導船を中継すれば、こちらと通信できるので、同じ要領で、ラジオだって放送できると思いますよ！			それ、いいアイデアじゃないデスか！魔導船を中継すれば、こちらと通信できるので、同じ要領で、ラジオだって放送できると思いますよ！			希望と夢をカートに詰めて							
リスナーさんが教えてくれたレースを実際に見られて、アーテリスのヒトにも楽しんでもらえる……。そんなことが実現できるなら、私に異論はない。			リスナーさんが教えてくれたレースを実際に見られて、アーテリスのヒトにも楽しんでもらえる……。そんなことが実現できるなら、私に異論はない。			希望と夢をカートに詰めて							
それじゃあ、決まりだねぇ～！ラジオ中継の準備は、ぼくらで進めておくから、レースをしているおヒトさまとの相談は頼めるかなぁ？			それじゃあ、決まりだねぇ～！ラジオ中継の準備は、ぼくらで進めておくから、レースをしているおヒトさまとの相談は頼めるかなぁ？			希望と夢をカートに詰めて							
Forename殿、オイラたちはさっそく、サベネア島へ出発デスね！			Forename殿、オイラたちはさっそく、サベネア島へ出発デスね！			希望と夢をカートに詰めて							
スワルナの大蔵まで行って、レースを主催しているという「トルナ」殿と話してみましょう！			スワルナの大蔵まで行って、レースを主催しているという「トルナ」殿と話してみましょう！			希望と夢をカートに詰めて							
中継の準備は進めておくので、サベネア島で「トルナ」さんと相談してみてくださいっ！出張レース、してもらえるといいなぁ～！			中継の準備は進めておくので、サベネア島で「トルナ」さんと相談してみてくださいっ！出張レース、してもらえるといいなぁ～！			希望と夢をカートに詰めて							
ラジオの設備を運ぶのに、ムーンホッパーが必要か。インベンティングウェイに来てもらえたら、設営も頼めそうだ……あとは……。			ラジオの設備を運ぶのに、ムーンホッパーが必要か。インベンティングウェイに来てもらえたら、設営も頼めそうだ……あとは……。			希望と夢をカートに詰めて							
アルカソーダラ族の方とお話しするの、オイラ初めてデス！			アルカソーダラ族の方とお話しするの、オイラ初めてデス！			希望と夢をカートに詰めて							
よう、Forename！このちっこいヤツが、アタイをじっと見てくるんだけどよ、もしかして、おまえの連れなのか？			よう、Forename！このちっこいヤツが、アタイをじっと見てくるんだけどよ、もしかして、おまえの連れなのか？			希望と夢をカートに詰めて							
ああ、ラジオのことならアタイも知ってるぜ！最近オールド・シャーレアンから戻ってきたヤツが、そのラジオが聞けるっていう受信機を見せてくれたんだ。			ああ、ラジオのことならアタイも知ってるぜ！最近オールド・シャーレアンから戻ってきたヤツが、そのラジオが聞けるっていう受信機を見せてくれたんだ。			希望と夢をカートに詰めて							
ヒッポカートレースの話を投稿したのも、そいつかもしれねぇな。			ヒッポカートレースの話を投稿したのも、そいつかもしれねぇな。			希望と夢をカートに詰めて							
レースが楽しくて大盛況って聞いたので、オイラたちのカフェがある場所でやってもらえないかなと！ウルティマ・トゥーレという、少し遠いところなのデスが……。			レースが楽しくて大盛況って聞いたので、オイラたちのカフェがある場所でやってもらえないかなと！ウルティマ・トゥーレという、少し遠いところなのデスが……。			希望と夢をカートに詰めて							
そのウル……なんとかって場所がどこかは知らねぇけど、島を出るってことになると、さすがに厳しいな。			そのウル……なんとかって場所がどこかは知らねぇけど、島を出るってことになると、さすがに厳しいな。			希望と夢をカートに詰めて							
レースをするならアタイとアチャラが一緒に行くことになるが、ふたりしてここを離れるとなると仕事が滞っちまう。せっかく興味を持ってくれたってのに、悪いな。			レースをするならアタイとアチャラが一緒に行くことになるが、ふたりしてここを離れるとなると仕事が滞っちまう。せっかく興味を持ってくれたってのに、悪いな。			希望と夢をカートに詰めて							
そ、そんなぁ～！			そ、そんなぁ～！			希望と夢をカートに詰めて							
でも、お仕事じゃあ無理は言えないし、悩ましいデスね……。			でも、お仕事じゃあ無理は言えないし、悩ましいデスね……。			希望と夢をカートに詰めて							
協力できなくて悪いな。			協力できなくて悪いな。			希望と夢をカートに詰めて							
うーん、どうしましょう。ドリーミングウェイとトーキングウェイも乗り気だから、ウルティマ・トゥーレでレースを実現したいところデスが……。			うーん、どうしましょう。ドリーミングウェイとトーキングウェイも乗り気だから、ウルティマ・トゥーレでレースを実現したいところデスが……。			希望と夢をカートに詰めて							
Forename殿、ちょっと場所を移動して、作戦会議といきましょう！			Forename殿、ちょっと場所を移動して、作戦会議といきましょう！			希望と夢をカートに詰めて							
トルナ殿は、とても仕事熱心な方なんデスね。役目や使命を大切にしてきたレポリットのひとりとしては、そのお気持ちは、よ～くわかりますデス。			トルナ殿は、とても仕事熱心な方なんデスね。役目や使命を大切にしてきたレポリットのひとりとしては、そのお気持ちは、よ～くわかりますデス。			希望と夢をカートに詰めて							
うーん……。レースをみんなで観戦するのはいいアイデアなので、トルナ殿を頼らない方法を考えるしかなさそうデスねぇ。			うーん……。レースをみんなで観戦するのはいいアイデアなので、トルナ殿を頼らない方法を考えるしかなさそうデスねぇ。			希望と夢をカートに詰めて							
(-？？？？-)オデ、トルナに、レース参加してほしい。			(-？？？？-)オデ、トルナに、レース参加してほしい。			希望と夢をカートに詰めて							
さっき話してたこと、聞いた。トルナ、少しは仕事より自分の楽しみ、優先してほしい。オデ、一緒に行って、トルナとレースしたい。			さっき話してたこと、聞いた。トルナ、少しは仕事より自分の楽しみ、優先してほしい。オデ、一緒に行って、トルナとレースしたい。			希望と夢をカートに詰めて							
一緒にレース、ということは……アナタがアチャラ殿デスか？			一緒にレース、ということは……アナタがアチャラ殿デスか？			希望と夢をカートに詰めて							
トルナ、仕事終わったあとも、オデたちの世話焼く。オデたちがここに馴染めるように、読み書きや話し方、礼儀作法、取引のコツ、教えてくれてる。			トルナ、仕事終わったあとも、オデたちの世話焼く。オデたちがここに馴染めるように、読み書きや話し方、礼儀作法、取引のコツ、教えてくれてる。			希望と夢をカートに詰めて							
おかげで、少し話すの、うまくなった。でも、トルナ、仕事やオデたちの面倒見るのに時間使って、趣味の走り、控えてる。			おかげで、少し話すの、うまくなった。でも、トルナ、仕事やオデたちの面倒見るのに時間使って、趣味の走り、控えてる。			希望と夢をカートに詰めて							
トルナ、そこまでがんばるの、運送サービス、仲間の居場所、大事にしてるから。でも、アイツひとりでやる必要、ない。			トルナ、そこまでがんばるの、運送サービス、仲間の居場所、大事にしてるから。でも、アイツひとりでやる必要、ない。			希望と夢をカートに詰めて							
「仲間を頼る」、トルナに教わったこと。なのにアイツ、忘れてる……よくない、もっと頼るべき。			「仲間を頼る」、トルナに教わったこと。なのにアイツ、忘れてる……よくない、もっと頼るべき。			希望と夢をカートに詰めて							
なるほど……。トルナ殿は素敵なリーダーだけど、ひとりで背負い込みすぎちゃっているんデスね。			なるほど……。トルナ殿は素敵なリーダーだけど、ひとりで背負い込みすぎちゃっているんデスね。			希望と夢をカートに詰めて							
オマエ、ここの「助言役」。トルナも、助言役の言葉、聞くはず……説得、頼む。			オマエ、ここの「助言役」。トルナも、助言役の言葉、聞くはず……説得、頼む。			希望と夢をカートに詰めて							
オイラからもお願いしますデス！お忙しいなら自分たちでレースをと考えていましたけど、このままだと、トルナ殿がハッピーになれない気がして……。			オイラからもお願いしますデス！お忙しいなら自分たちでレースをと考えていましたけど、このままだと、トルナ殿がハッピーになれない気がして……。			希望と夢をカートに詰めて							
アナタを頼ってばかりで申し訳ないのデスが、どうか、説得していただけませんか……？			アナタを頼ってばかりで申し訳ないのデスが、どうか、説得していただけませんか……？			希望と夢をカートに詰めて							
トルナ殿の説得、どうかどうか、よろしくお願いしますデス！			トルナ殿の説得、どうかどうか、よろしくお願いしますデス！			希望と夢をカートに詰めて							
オデ、トルナと走りたい。説得、頼む。			オデ、トルナと走りたい。説得、頼む。			希望と夢をカートに詰めて							
Forename、やっほー！トルナに用があって来たんだけど、何かあったのか？			Forename、やっほー！トルナに用があって来たんだけど、何かあったのか？			希望と夢をカートに詰めて							
揃いも揃って、なんだ？まさか、アタイを説き伏せようってのか？			揃いも揃って、なんだ？まさか、アタイを説き伏せようってのか？			希望と夢をカートに詰めて							
このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			希望と夢をカートに詰めて							
レースに参加してもらうため、トルナの説得を始めますか？			レースに参加してもらうため、トルナの説得を始めますか？			希望と夢をカートに詰めて							
Forenameの協力もあって、ようやくこの仕事も軌道にのってきたところなんだ。それなのに、アタイが手を止めちまうわけにはいかねぇだろ。			Forenameの協力もあって、ようやくこの仕事も軌道にのってきたところなんだ。それなのに、アタイが手を止めちまうわけにはいかねぇだろ。			希望と夢をカートに詰めて							
何と言う？			何と言う？			希望と夢をカートに詰めて							
そこをどうにか！			そこをどうにか！			希望と夢をカートに詰めて							
せっかくの機会だし、仕事は明日に回そう！			せっかくの機会だし、仕事は明日に回そう！			希望と夢をカートに詰めて							
島よりも広い場所に興味はない？			島よりも広い場所に興味はない？			希望と夢をカートに詰めて							
おいおい、それで大人しく折れるぐらいなら、ハナから引き受けてると思わねぇか？			おいおい、それで大人しく折れるぐらいなら、ハナから引き受けてると思わねぇか？			希望と夢をカートに詰めて							
アタイらのウリが「速さ」だってこと、もう忘れちまったのか？明日に回すなんて、ダメに決まってんだろうが。			アタイらのウリが「速さ」だってこと、もう忘れちまったのか？明日に回すなんて、ダメに決まってんだろうが。			希望と夢をカートに詰めて							
そりゃあ……いくらでも爆走できるぐらい広い場所があるなら、走り屋としちゃあ興味あるけど、仕事ばっかりはなぁ。			そりゃあ……いくらでも爆走できるぐらい広い場所があるなら、走り屋としちゃあ興味あるけど、仕事ばっかりはなぁ。			希望と夢をカートに詰めて							
何と言う？			何と言う？			希望と夢をカートに詰めて							
仕事を忘れてかっ飛ばそうぜ！			仕事を忘れてかっ飛ばそうぜ！			希望と夢をカートに詰めて							
最近トルナが走っていないと、アチャラが気にしていた			最近トルナが走っていないと、アチャラが気にしていた			希望と夢をカートに詰めて							
相棒のヒッポが退屈しているのでは？			相棒のヒッポが退屈しているのでは？			希望と夢をカートに詰めて							
だーから、そんな無責任なことしたら、これまでやってきたことが全部台無しだろうが。			だーから、そんな無責任なことしたら、これまでやってきたことが全部台無しだろうが。			希望と夢をカートに詰めて							
レースに参加する時間がねぇってのは、事実だ。けど、ヒッポライダーズを今後も続けていくために、頭であるアタイが、やることやらねぇとだろ？			レースに参加する時間がねぇってのは、事実だ。けど、ヒッポライダーズを今後も続けていくために、頭であるアタイが、やることやらねぇとだろ？			希望と夢をカートに詰めて							
シャオリリヤは配達するときに走らせてるから、さすがに退屈してるってことはねぇな。			シャオリリヤは配達するときに走らせてるから、さすがに退屈してるってことはねぇな。			希望と夢をカートに詰めて							
何と言う？			何と言う？			希望と夢をカートに詰めて							
ここは助言役の顔に免じて……			ここは助言役の顔に免じて……			希望と夢をカートに詰めて							
1日ぐらい、なんとかならない？			1日ぐらい、なんとかならない？			希望と夢をカートに詰めて							
もっとみんなを頼ろう、あのレースのときみたいに！			もっとみんなを頼ろう、あのレースのときみたいに！			希望と夢をカートに詰めて							
おまえに助けられて、アタイらは居場所を得られたんだ。顔を立てるって意味ならなおのこと、仕事を優先するのがスジってもんだろうよ。			おまえに助けられて、アタイらは居場所を得られたんだ。顔を立てるって意味ならなおのこと、仕事を優先するのがスジってもんだろうよ。			希望と夢をカートに詰めて							
せっかくヒッポライダーズの活動が順調だってのに、アタイがレースを楽しんでる場合じゃねぇって。			せっかくヒッポライダーズの活動が順調だってのに、アタイがレースを楽しんでる場合じゃねぇって。			希望と夢をカートに詰めて							
アチャラとやりあった、あのレースのことか……。			アチャラとやりあった、あのレースのことか……。			希望と夢をカートに詰めて							
「自分や舎弟の居場所を守るためなら、　使えるものは使うし、頼れるヤツには頼る。　ヒトひとりでどうにかなることなんて、限界があるから」			「自分や舎弟の居場所を守るためなら、　使えるものは使うし、頼れるヤツには頼る。　ヒトひとりでどうにかなることなんて、限界があるから」			希望と夢をカートに詰めて							
そう言ったのはアタイだ。でも、今の自分にはそれができてねぇってことか……あのときのアチャラみたいに、独りよがりになってよ。			そう言ったのはアタイだ。でも、今の自分にはそれができてねぇってことか……あのときのアチャラみたいに、独りよがりになってよ。			希望と夢をカートに詰めて							
もっとほかの連中を信じて、アタイは仕事を任せることを覚えるべきか……。			もっとほかの連中を信じて、アタイは仕事を任せることを覚えるべきか……。			希望と夢をカートに詰めて							
……まったく、助言役にはかなわねぇな！わかったよ、久々のレースで思う存分走ってやるぜ。			……まったく、助言役にはかなわねぇな！わかったよ、久々のレースで思う存分走ってやるぜ。			希望と夢をカートに詰めて							
やれやれ、降参だ、降参！マルルゥとガーサに、仕事の調整を相談してみるよ。			やれやれ、降参だ、降参！マルルゥとガーサに、仕事の調整を相談してみるよ。			希望と夢をカートに詰めて							
トルナと走る、楽しみ。説得、ありがとう。			トルナと走る、楽しみ。説得、ありがとう。			希望と夢をカートに詰めて							
要するに、島の外でレースをするってことだろ？面白そうだし、私も護衛としてついていこうかなぁ……。			要するに、島の外でレースをするってことだろ？面白そうだし、私も護衛としてついていこうかなぁ……。			希望と夢をカートに詰めて							
トルナ殿を説得してくれて、ありがとうございました！これでカフェのみんなと、レース観戦を……			トルナ殿を説得してくれて、ありがとうございました！これでカフェのみんなと、レース観戦を……			希望と夢をカートに詰めて							
おっと、N-7000から通信デス。			おっと、N-7000から通信デス。			希望と夢をカートに詰めて							
