ミーン工芸館のベスリクは、何かの匂いを感じ取ったようだ。			ミーン工芸館のベスリクは、何かの匂いを感じ取ったようだ。			獣医師ベスリク							
スンスン…………スン。んん…………？この香りは……			スンスン…………スン。んん…………？この香りは……			獣医師ベスリク							
失礼。あなたの身体から漂う、微かな薬品の香り……。見かけない方ですが、もしや……錬金術師さんでは？			失礼。あなたの身体から漂う、微かな薬品の香り……。見かけない方ですが、もしや……錬金術師さんでは？			獣医師ベスリク							
失礼。あなたの身体から漂う、微かな香辛料の香り……。見かけない方ですが、もしや……調理師さんでは？			失礼。あなたの身体から漂う、微かな香辛料の香り……。見かけない方ですが、もしや……調理師さんでは？			獣医師ベスリク							
おお、あなたでしたか！水晶公様と同郷の一流職人さんというのは。いやあ、お会いできて至極光栄です！			おお、あなたでしたか！水晶公様と同郷の一流職人さんというのは。いやあ、お会いできて至極光栄です！			獣医師ベスリク							
私は、このミーン工芸館の食薬科所属。「獣医師」なんかをやっている、ベスリクと申します。			私は、このミーン工芸館の食薬科所属。「獣医師」なんかをやっている、ベスリクと申します。			獣医師ベスリク							
強面なので誤解されがちですが、私はいたって温厚な男でしてね。この顔の傷も、発情期のアマロを治療していたときに、ガリッとね……いやあ参りましたよ！			強面なので誤解されがちですが、私はいたって温厚な男でしてね。この顔の傷も、発情期のアマロを治療していたときに、ガリッとね……いやあ参りましたよ！			獣医師ベスリク							
そうだ！ここで出会ったのも、何かのご縁。			そうだ！ここで出会ったのも、何かのご縁。			獣医師ベスリク							
Forenameさん、アマロの回診を見学してみませんか？ちょうど、先日治療したばかりのアマロを診にいくところなのです。			Forenameさん、アマロの回診を見学してみませんか？ちょうど、先日治療したばかりのアマロを診にいくところなのです。			獣医師ベスリク							
もし興味があれば、「アマロ桟橋」までお越しください。それでは、私はお先に失礼！			もし興味があれば、「アマロ桟橋」までお越しください。それでは、私はお先に失礼！			獣医師ベスリク							
あなたなら来てくださると、予感がしていました。私、勘がいいんですよ……ンッフフ、内なる獣性の勘が！			あなたなら来てくださると、予感がしていました。私、勘がいいんですよ……ンッフフ、内なる獣性の勘が！			獣医師ベスリク							
このアマロは、運搬任務中に負った傷が化膿していましてね……。傷口の洗浄と錬金薬の投与を行い、経過を観察していたのです。			このアマロは、運搬任務中に負った傷が化膿していましてね……。傷口の洗浄と錬金薬の投与を行い、経過を観察していたのです。			獣医師ベスリク							
さあて、傷の具合はどうかな？			さあて、傷の具合はどうかな？			獣医師ベスリク							
……うん、きれいに治っています！炎症も起きていないし、バッチリですね！			……うん、きれいに治っています！炎症も起きていないし、バッチリですね！			獣医師ベスリク							
これで思う存分、大空を羽ばたけます。			これで思う存分、大空を羽ばたけます。			獣医師ベスリク							
どうです、うっとりするほど美人なアマロでしょう？ンッフフ……私にはわかりますよ。「このアマロをなで回したい」……そう、お顔に書いてございます。			どうです、うっとりするほど美人なアマロでしょう？ンッフフ……私にはわかりますよ。「このアマロをなで回したい」……そう、お顔に書いてございます。			獣医師ベスリク							
いえいえ、ご遠慮なく！あなたがアマロに興味津々なこと、私にはわかります！興味がないなら、今、すぐ、ここで、興味を持つとよろしい！			いえいえ、ご遠慮なく！あなたがアマロに興味津々なこと、私にはわかります！興味がないなら、今、すぐ、ここで、興味を持つとよろしい！			獣医師ベスリク							
さあ、さあ、さあああッ！！このアマロを思う存分、「なでて」あげてください！			さあ、さあ、さあああッ！！このアマロを思う存分、「なでて」あげてください！			獣医師ベスリク							
さあ、さあ、ご遠慮なくッ！！このアマロを思う存分、「なでて」あげてください！			さあ、さあ、ご遠慮なくッ！！このアマロを思う存分、「なでて」あげてください！			獣医師ベスリク							
……キュル？			……キュル？			獣医師ベスリク							
治療を受けたアマロは期待に満ちた目でこちらを見ている。ベスリクの言う通り、「なでて」みようか……？			治療を受けたアマロは期待に満ちた目でこちらを見ている。ベスリクの言う通り、「なでて」みようか……？			獣医師ベスリク							
キュルゥゥ……。			キュルゥゥ……。			獣医師ベスリク							
治療を受けたアマロは少し不満気だ……。ベスリクの言う通り、「なでて」みようか……？			治療を受けたアマロは少し不満気だ……。ベスリクの言う通り、「なでて」みようか……？			獣医師ベスリク							
おぉ、これは……驚きました。この子が初対面の人に、これほど早く懐くとは……！			おぉ、これは……驚きました。この子が初対面の人に、これほど早く懐くとは……！			獣医師ベスリク							
あなたはもしかすると、アマロに心を開かせる才能があるのかもしれませんね……。うん、百年……いや、千年にひとりの天才です！			あなたはもしかすると、アマロに心を開かせる才能があるのかもしれませんね……。うん、百年……いや、千年にひとりの天才です！			獣医師ベスリク							
いやあ、私とあなた……「アマロ好き同士」が偶然に出会うなんて……運命ですね！お近付きの印に、アマロの起源とその魅力をご説明しましょう！			いやあ、私とあなた……「アマロ好き同士」が偶然に出会うなんて……運命ですね！お近付きの印に、アマロの起源とその魅力をご説明しましょう！			獣医師ベスリク							
アマロは、チョコボと同じく「騎乗獣」として活躍する家畜ですが、魔法によって生み出されたという点において、大きく異なります。			アマロは、チョコボと同じく「騎乗獣」として活躍する家畜ですが、魔法によって生み出されたという点において、大きく異なります。			獣医師ベスリク							
その起源は、古の時代……古代ロンカ帝国の魔法使いが、原種となる生物に魔法をかけ、品種改良した存在……それが「アマロ」です。			その起源は、古の時代……古代ロンカ帝国の魔法使いが、原種となる生物に魔法をかけ、品種改良した存在……それが「アマロ」です。			獣医師ベスリク							
当時のアマロには、人語を操るほどの知性があったそうですが、ロンカ帝国の崩壊と共に、強化魔法の継承者は次第に減っていき……今では、その技法は完全に失われました、なんというロマンッ！！			当時のアマロには、人語を操るほどの知性があったそうですが、ロンカ帝国の崩壊と共に、強化魔法の継承者は次第に減っていき……今では、その技法は完全に失われました、なんというロマンッ！！			獣医師ベスリク							
ただ、人を背に乗せ、空をも翔ぶという長所は、今を生きるアマロたちにも、しっかり受け継がれています！この飛行能力こそ、チョコボよりも優れた点といえ、マサシクゥ……			ただ、人を背に乗せ、空をも翔ぶという長所は、今を生きるアマロたちにも、しっかり受け継がれています！この飛行能力こそ、チョコボよりも優れた点といえ、マサシクゥ……			獣医師ベスリク							
はああぁぁぁぁぁぁ……！			はああぁぁぁぁぁぁ……！			獣医師ベスリク							
とにかく、アマロこそ至高の騎獣ッ！魂が震えるほど、その魅力に病み付きになるぜえッ！！！！			とにかく、アマロこそ至高の騎獣ッ！魂が震えるほど、その魅力に病み付きになるぜえッ！！！！			獣医師ベスリク							
あっ、失礼。大好きなアマロのことになると、ついつい興奮してしまいます。			あっ、失礼。大好きなアマロのことになると、ついつい興奮してしまいます。			獣医師ベスリク							
(-ドラン族の衛兵-)ベスリク！こんなところにいたのか！			(-ドラン族の衛兵-)ベスリク！こんなところにいたのか！			獣医師ベスリク							
おや、リサーナ。あなたもアマロの魅力について語りますか？			おや、リサーナ。あなたもアマロの魅力について語りますか？			獣医師ベスリク							
バカなこと言ってないで、急いで牧場に来てくれ！野生のアマロを保護したんだ！負傷していて……しかも毒に侵されている可能性が高い！			バカなこと言ってないで、急いで牧場に来てくれ！野生のアマロを保護したんだ！負傷していて……しかも毒に侵されている可能性が高い！			獣医師ベスリク							
…………！わかりました、すぐに向かいます。厩務員のネムから状況を聞きましょう。			…………！わかりました、すぐに向かいます。厩務員のネムから状況を聞きましょう。			獣医師ベスリク							
Forenameさん、[Job]としてのあなたの力をお借りするかもしれません。「テメノスルカリー牧場」まで来ていただけませんか？			Forenameさん、[Job]としてのあなたの力をお借りするかもしれません。「テメノスルカリー牧場」まで来ていただけませんか？			獣医師ベスリク							
キュル！			キュル！			獣医師ベスリク							
チッ……！胸糞悪い事件が続くものだ……。			チッ……！胸糞悪い事件が続くものだ……。			獣医師ベスリク							
いったい、誰がこんな酷いことを！			いったい、誰がこんな酷いことを！			獣医師ベスリク							
キュルゥゥ………………。			キュルゥゥ………………。			獣医師ベスリク							
Forenameさん……！来てくださりありがとうございます。今しがた、応急処置は終わったところでしてね。			Forenameさん……！来てくださりありがとうございます。今しがた、応急処置は終わったところでしてね。			獣医師ベスリク							
怪我の状態はそれほど悪くありませんが、毒が回っています。可哀想に……自力で立ち上がることもできず、呼吸も苦しそうです。使用された毒物を特定して、解毒を急がなくては……。			怪我の状態はそれほど悪くありませんが、毒が回っています。可哀想に……自力で立ち上がることもできず、呼吸も苦しそうです。使用された毒物を特定して、解毒を急がなくては……。			獣医師ベスリク							
いったい、誰がこんな酷いことを！			いったい、誰がこんな酷いことを！			獣医師ベスリク							
ネム、コイツを襲っていたのは、野盗のふたり組だ。最近「アマロの舌」を狙った襲撃事件が、数件報告されていてな。クリスタリウム近辺で、警戒を強めていたところだ。			ネム、コイツを襲っていたのは、野盗のふたり組だ。最近「アマロの舌」を狙った襲撃事件が、数件報告されていてな。クリスタリウム近辺で、警戒を強めていたところだ。			獣医師ベスリク							
なぜ「舌」を狙うのかまではわからんが、このアマロに関しては、間一髪切り取られずに済んだ。野盗には逃げられてしまったがな……チッ。			なぜ「舌」を狙うのかまではわからんが、このアマロに関しては、間一髪切り取られずに済んだ。野盗には逃げられてしまったがな……チッ。			獣医師ベスリク							
罪のないアマロが救われたのだ、感謝する。回復するまでは、我々で面倒をみよう。			罪のないアマロが救われたのだ、感謝する。回復するまでは、我々で面倒をみよう。			獣医師ベスリク							
ベスリク、治療は任せたぞ。			ベスリク、治療は任せたぞ。			獣医師ベスリク							
…………ベスリク？大丈夫か？			…………ベスリク？大丈夫か？			獣医師ベスリク							
え、ええ……もちろんです。野生のアマロとはいえ、人が傷つけてしまった以上は、同じ「人」として治療にあたることが道理でしょう。			え、ええ……もちろんです。野生のアマロとはいえ、人が傷つけてしまった以上は、同じ「人」として治療にあたることが道理でしょう。			獣医師ベスリク							
それに、この子の傍に落ちていたという、毒入りの餌。一般的なアマロの餌と、見た目はよく似ていました。きっと、人を信じて食べてしまったのでしょう……。			それに、この子の傍に落ちていたという、毒入りの餌。一般的なアマロの餌と、見た目はよく似ていました。きっと、人を信じて食べてしまったのでしょう……。			獣医師ベスリク							
Forenameさん、この子を助けるために、あなたの力をお借りしたい。「ミーン工芸館」の私の工房まで足を運んでいただけませんか？			Forenameさん、この子を助けるために、あなたの力をお借りしたい。「ミーン工芸館」の私の工房まで足を運んでいただけませんか？			獣医師ベスリク							
「ミーン工芸館」の工房へ向かったベスリクに付いて行って、治療の手伝いをしてくれると助かる。早く元気になるといいんだが……。			「ミーン工芸館」の工房へ向かったベスリクに付いて行って、治療の手伝いをしてくれると助かる。早く元気になるといいんだが……。			獣医師ベスリク							
キュルゥゥ………………。			キュルゥゥ………………。			獣医師ベスリク							
Forenameさん……！ご足労をおかけしてすみません。			Forenameさん……！ご足労をおかけしてすみません。			獣医師ベスリク							
ちょうど今、毒の種類を特定できたところです。あとは流動食に解毒薬を混ぜた薬餌を製作して、自力で動けないあの子の口に投与してやればいいのですが……。			ちょうど今、毒の種類を特定できたところです。あとは流動食に解毒薬を混ぜた薬餌を製作して、自力で動けないあの子の口に投与してやればいいのですが……。			獣医師ベスリク							
問題は、あの子の品種なのです。			問題は、あの子の品種なのです。			獣医師ベスリク							
我々が飼育している個体も、レイクランドの野生種も、元はズン族が持ち込んだグレイテールという品種なのですが……			我々が飼育している個体も、レイクランドの野生種も、元はズン族が持ち込んだグレイテールという品種なのですが……			獣医師ベスリク							
あの子には、「光の氾濫」で消滅したベルベ地方原産の、絶滅したはずの品種、ベルベ・スキッパーの特徴がありました。ンッフフ……普段の私なら、大発見だと吠えているところですよ！			あの子には、「光の氾濫」で消滅したベルベ地方原産の、絶滅したはずの品種、ベルベ・スキッパーの特徴がありました。ンッフフ……普段の私なら、大発見だと吠えているところですよ！			獣医師ベスリク							
ですが、浮かれてばかりではいられません。品種が異なれば、当然、体質も異なるわけですから。薬餌を調合するにあたっては、慎重さが求められます。			ですが、浮かれてばかりではいられません。品種が異なれば、当然、体質も異なるわけですから。薬餌を調合するにあたっては、慎重さが求められます。			獣医師ベスリク							
もちろん配合法の考案は、私が責任をもって担当します。そして普段なら、ほかの職人をとっ捕まえて依頼するところですが、今回は一流の技術と……並外れたアマロ愛が必要……。			もちろん配合法の考案は、私が責任をもって担当します。そして普段なら、ほかの職人をとっ捕まえて依頼するところですが、今回は一流の技術と……並外れたアマロ愛が必要……。			獣医師ベスリク							
Forenameさん、あなたが私の元にいらしたことは、やはり運命かもしれません！どうか、ご協力いただけないでしょうか！			Forenameさん、あなたが私の元にいらしたことは、やはり運命かもしれません！どうか、ご協力いただけないでしょうか！			獣医師ベスリク							
何としてでも、あの子を救ってやりたいのです……！			何としてでも、あの子を救ってやりたいのです……！			獣医師ベスリク							
ああ……ありがとうございます！さすが、私が嗅ぎ付けた職人さんです！			ああ……ありがとうございます！さすが、私が嗅ぎ付けた職人さんです！			獣医師ベスリク							
薬餌の製作には、私が作成した処方箋を参考にしてください。採取した血液や体重から、必要な素材や量を選定してあります！「解毒の薬餌」の製作、お願いいたします！			薬餌の製作には、私が作成した処方箋を参考にしてください。採取した血液や体重から、必要な素材や量を選定してあります！「解毒の薬餌」の製作、お願いいたします！			獣医師ベスリク							
「食薬科」のミーン工芸館取引が開放されました！依頼されたアイテムをベスリクに納品し、貢献していきましょう！			「食薬科」のミーン工芸館取引が開放されました！依頼されたアイテムをベスリクに納品し、貢献していきましょう！			獣医師ベスリク							
ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			生きるべき場所							
テメノスルカリー牧場のスキップと話す			テメノスルカリー牧場のスキップと話す			生きるべき場所							
チャットの「Say」モードで『よしよし』を含む言葉を入力し、スキップを安心させる			チャットの「Say」モードで『よしよし』を含む言葉を入力し、スキップを安心させる			生きるべき場所							
製作手帳 ミーン工芸館取引：妖精への贈り物を製作ベスリクに妖精への贈り物を納品			製作手帳 ミーン工芸館取引：妖精への贈り物を製作ベスリクに妖精への贈り物を納品			生きるべき場所							
リダ・ラーンのベスリクと話す			リダ・ラーンのベスリクと話す			生きるべき場所							
ヴォレクドルフのベスリクと話す			ヴォレクドルフのベスリクと話す			生きるべき場所							
ミーン工芸館のベスリクと話す			ミーン工芸館のベスリクと話す			生きるべき場所							
本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「アクトラ・オルワ・イン」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「アクトラ・オルワ・イン」を完了する必要があります。			生きるべき場所							
声をかけてくださって、ありがとうございます。それで、相談のことなのですが……まずはスキップの現状から、お伝えさせてください。			声をかけてくださって、ありがとうございます。それで、相談のことなのですが……まずはスキップの現状から、お伝えさせてください。			生きるべき場所							
あなたやネム・シェリミンたち厩務員の尽力のおかげで、ほぼ全快といっていいほど、改善がみられています！			あなたやネム・シェリミンたち厩務員の尽力のおかげで、ほぼ全快といっていいほど、改善がみられています！			生きるべき場所							
ですが、心の傷はまだまだ……。毒入りの餌を与えられたショックが抜けきれないのか、常にオドオドと周囲を警戒し、牧場内で孤立しているのです。			ですが、心の傷はまだまだ……。毒入りの餌を与えられたショックが抜けきれないのか、常にオドオドと周囲を警戒し、牧場内で孤立しているのです。			生きるべき場所							
野生に返すにしろ、牧場で飼育するにしろ、神経過敏な状態が続けば、いずれにせよ良い結果になりません。つまり、スキップは恐怖を克服する必要があるのです。			野生に返すにしろ、牧場で飼育するにしろ、神経過敏な状態が続けば、いずれにせよ良い結果になりません。つまり、スキップは恐怖を克服する必要があるのです。			生きるべき場所							
そこで、Forenameさんに、ご協力いただきたいのです！			そこで、Forenameさんに、ご協力いただきたいのです！			生きるべき場所							
決して嫉妬などしておりませんが、あの子、あなたにだけは、とても強い関心を示しているのです！決して嫉妬などしておりませんがね！			決して嫉妬などしておりませんが、あの子、あなたにだけは、とても強い関心を示しているのです！決して嫉妬などしておりませんがね！			生きるべき場所							
普通の餌には、決して口を付けないスキップも、不思議なことに、あなたが作った薬餌だけは食べます。それに、この前なんて、じっと見つめあって……うっ、うっ……。			普通の餌には、決して口を付けないスキップも、不思議なことに、あなたが作った薬餌だけは食べます。それに、この前なんて、じっと見つめあって……うっ、うっ……。			生きるべき場所							
と、とにかく、実際に試してみるのが早いでしょう。テメノスルカリー牧場の「スキップ」に近付き、そっと、声をかけてみてください！			と、とにかく、実際に試してみるのが早いでしょう。テメノスルカリー牧場の「スキップ」に近付き、そっと、声をかけてみてください！			生きるべき場所							
さあ、「スキップ」に近付き、そっと声をかけてみてください！			さあ、「スキップ」に近付き、そっと声をかけてみてください！			生きるべき場所							
スキップの様子を気にかけてくれて感謝する。Forenameが牧場に来てくれると、スキップは嬉しそうにするよ。			スキップの様子を気にかけてくれて感謝する。Forenameが牧場に来てくれると、スキップは嬉しそうにするよ。			生きるべき場所							
キュル？キュルルルル！！			キュル？キュルルルル！！			生きるべき場所							
キュル？キュルルルル！！			キュル？キュルルルル！！			生きるべき場所							
な、なにぃ！？声をかけられて、喜んでいる……だと……！？			な、なにぃ！？声をかけられて、喜んでいる……だと……！？			生きるべき場所							
ふむ……Forenameさん、さらにこの子を安心させるように、「よしよし」と声をかけてあげてくれませんか？			ふむ……Forenameさん、さらにこの子を安心させるように、「よしよし」と声をかけてあげてくれませんか？			生きるべき場所							
よしよし			よしよし			生きるべき場所							
スキップを安心させるように、「よしよし」と声をかけてあげてください！			スキップを安心させるように、「よしよし」と声をかけてあげてください！			生きるべき場所							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『よしよし』を含む、好きな言葉を入力し、スキップを安心させましょう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『よしよし』を含む、好きな言葉を入力し、スキップを安心させましょう。			生きるべき場所							
これは……何ということでしょう……！完全に打ち解けているように見えます！！			これは……何ということでしょう……！完全に打ち解けているように見えます！！			生きるべき場所							
よぉーし、今なら私も！			よぉーし、今なら私も！			生きるべき場所							
スキッ～～…………			スキッ～～…………			生きるべき場所							
………………。			………………。			生きるべき場所							
うぐぐ……しかしこれはいったい、どういうことでしょうね。一緒に過ごす時間が長い厩務員にさえ、こうはならないというのに。なぜ、Forenameさんにだけ……？			うぐぐ……しかしこれはいったい、どういうことでしょうね。一緒に過ごす時間が長い厩務員にさえ、こうはならないというのに。なぜ、Forenameさんにだけ……？			生きるべき場所							
これはあくまでも憶測ですが……あなたがスキップの回復を強く願って薬餌を作ってきたから、ということが大きいのかもしれません……。			これはあくまでも憶測ですが……あなたがスキップの回復を強く願って薬餌を作ってきたから、ということが大きいのかもしれません……。			生きるべき場所							
以前にお話ししたように、アマロは魔法の影響を受けた生物。ゆえに、エーテルを敏感に感じ取る性質があると言われています。			以前にお話ししたように、アマロは魔法の影響を受けた生物。ゆえに、エーテルを敏感に感じ取る性質があると言われています。			生きるべき場所							
ほら、長年ペアを組んだ人を背に乗せたアマロが、乗り手の気持ちを察知したかのように動くことがありますよね！？いわゆる「人獣一体」現象ですが、このあたりにもエーテ……			ほら、長年ペアを組んだ人を背に乗せたアマロが、乗り手の気持ちを察知したかのように動くことがありますよね！？いわゆる「人獣一体」現象ですが、このあたりにもエーテ……			生きるべき場所							
ややっ……また夢中になってしまいましたァ！とにかく、スキップは薬餌に込められた愛情を察知し、それゆえに、あなたという存在に、心安らいでいるのではないかと！			ややっ……また夢中になってしまいましたァ！とにかく、スキップは薬餌に込められた愛情を察知し、それゆえに、あなたという存在に、心安らいでいるのではないかと！			生きるべき場所							
今回のあなたとの触れ合いを通して、心の傷を回復させてくれると期待しましょう。			今回のあなたとの触れ合いを通して、心の傷を回復させてくれると期待しましょう。			生きるべき場所							
では、そろそろ本題に戻りますが、この子の今後のことを考えねばなりません。野生に返すか、牧場で飼育を続けるかという選択です。			では、そろそろ本題に戻りますが、この子の今後のことを考えねばなりません。野生に返すか、牧場で飼育を続けるかという選択です。			生きるべき場所							
もちろん、スキップ自身の気持ちがいちばん大切ですが、直接、言葉を交わして確認するわけにもいかず……。			もちろん、スキップ自身の気持ちがいちばん大切ですが、直接、言葉を交わして確認するわけにもいかず……。			生きるべき場所							
ああ……喋るアマロが現代にもいればっ！ンッフフ、そんな夢を見ちゃいかんぞ、ベスリク！			ああ……喋るアマロが現代にもいればっ！ンッフフ、そんな夢を見ちゃいかんぞ、ベスリク！			生きるべき場所							
何と言う？			何と言う？			生きるべき場所							
言葉を話すアマロなら知り合いだ			言葉を話すアマロなら知り合いだ			生きるべき場所							
紹介してあげるよ			紹介してあげるよ			生きるべき場所							
な、な、な、な、なんとぉーーーーーーッ！？なんという奇跡！！			な、な、な、な、なんとぉーーーーーーッ！？なんという奇跡！！			生きるべき場所							
人語を話すアマロが現存していて、しかも知り合いだなんて！その存在は「トゥパク・アマロ」、すなわちロンカ語で、「偉大なるアマロ」と意味する尊称でも語られているトオリッ……			人語を話すアマロが現存していて、しかも知り合いだなんて！その存在は「トゥパク・アマロ」、すなわちロンカ語で、「偉大なるアマロ」と意味する尊称でも語られているトオリッ……			生きるべき場所							
はああぁぁぁぁぁぁ……！			はああぁぁぁぁぁぁ……！			生きるべき場所							
居ても立っても居られないぜえッ！俺を、その楽園へ……ヴォレクドルフとやらに連れて行ってくれ！！			居ても立っても居られないぜえッ！俺を、その楽園へ……ヴォレクドルフとやらに連れて行ってくれ！！			生きるべき場所							
あっ……またやってしまいましたァ！とにかく、スキップをヴォレクドルフに連れて行って、何を望んでいるか、喋るアマロに尋ねてもらいましょう！			あっ……またやってしまいましたァ！とにかく、スキップをヴォレクドルフに連れて行って、何を望んでいるか、喋るアマロに尋ねてもらいましょう！			生きるべき場所							
しかし、冷静になって考えてみれば、イタズラ好きの妖精が棲まうイル・メグは危険地帯……。私やスキップが立ち入っても、大丈夫なものでしょうか？			しかし、冷静になって考えてみれば、イタズラ好きの妖精が棲まうイル・メグは危険地帯……。私やスキップが立ち入っても、大丈夫なものでしょうか？			生きるべき場所							
ふむ……あなたの付き添いがあれば大丈夫だと……。とはいえ、ここはスキップも連れて行くことになりますし、安全策を採って「妖精への贈り物」を用意し……			ふむ……あなたの付き添いがあれば大丈夫だと……。とはいえ、ここはスキップも連れて行くことになりますし、安全策を採って「妖精への贈り物」を用意し……			生きるべき場所							
……てください！！！お願いしますううううっ！！！！			……てください！！！お願いしますううううっ！！！！			生きるべき場所							
Forename様……！後生ですから、製作していただけないでしょうかァ！？万が一、妖精さんたちに受け入れられなかったらと思うと不安でッ！			Forename様……！後生ですから、製作していただけないでしょうかァ！？万が一、妖精さんたちに受け入れられなかったらと思うと不安でッ！			生きるべき場所							
ありがとうございます！ベスリク、この御恩は決して忘れません……！「妖精への贈り物」の製作、よろしくお願いします！			ありがとうございます！ベスリク、この御恩は決して忘れません……！「妖精への贈り物」の製作、よろしくお願いします！			生きるべき場所							
もし材料が不足した場合は、「ネム・シェリミン」から受け取ってくださいね！			もし材料が不足した場合は、「ネム・シェリミン」から受け取ってくださいね！			生きるべき場所							
慌てることはない。材料が不足したら、こちらを使ってくれ。			慌てることはない。材料が不足したら、こちらを使ってくれ。			生きるべき場所							
「妖精への贈り物」が完成したようだな。ベスリクに渡してやるといい。			「妖精への贈り物」が完成したようだな。ベスリクに渡してやるといい。			生きるべき場所							
「妖精への贈り物」の製作、よろしくお願いします！			「妖精への贈り物」の製作、よろしくお願いします！			生きるべき場所							
これはすごい……なんと贅沢な贈り物！これほどの贈り物であれば、妖精さんも大満足でしょう！私もひとつまみ、いただきたいくらいです！			これはすごい……なんと贅沢な贈り物！これほどの贈り物であれば、妖精さんも大満足でしょう！私もひとつまみ、いただきたいくらいです！			生きるべき場所							
冗談ですよォ！ンッフフ……では、さっそくですが、まずは妖精の集落に向かいましょう！			冗談ですよォ！ンッフフ……では、さっそくですが、まずは妖精の集落に向かいましょう！			生きるべき場所							
心配いりませんよ。Forenameさんが行くところであれば、この子もきっと、付いていくことを承諾するでしょう。			心配いりませんよ。Forenameさんが行くところであれば、この子もきっと、付いていくことを承諾するでしょう。			生きるべき場所							
さあ、「リダ・ラーン」に向かって出発しましょう！			さあ、「リダ・ラーン」に向かって出発しましょう！			生きるべき場所							
キュル……………。			キュル……………。			生きるべき場所							
ヴォレクドルフに行くのだな。我も行ってみたいが、他の家畜の世話がある。スキップをよろしく頼むぞ。			ヴォレクドルフに行くのだな。我も行ってみたいが、他の家畜の世話がある。スキップをよろしく頼むぞ。			生きるべき場所							
あ、Forenameさん！さっそく、贈り物を捧げてみたのですが効果バツグンでしたよ！無事に妖精さんたちのオモチャにされずに済みました！			あ、Forenameさん！さっそく、贈り物を捧げてみたのですが効果バツグンでしたよ！無事に妖精さんたちのオモチャにされずに済みました！			生きるべき場所							
