エーテライト・プラザ付近の使いのフビゴ族は、冒険者を探していたようだ。			エーテライト・プラザ付近の使いのフビゴ族は、冒険者を探していたようだ。			交わる世界							
来てくれてありがとう、Forenameさん。旅人であるあなたを呼ぶべきか、随分と迷ったのだけれど……私たちだけでは、どう対処すべきか判断がつかなくてね。			来てくれてありがとう、Forenameさん。旅人であるあなたを呼ぶべきか、随分と迷ったのだけれど……私たちだけでは、どう対処すべきか判断がつかなくてね。			交わる世界							
ことの始まりは、天深きセノーテのそばで、気を失って倒れていた男性を見つけたことよ。			ことの始まりは、天深きセノーテのそばで、気を失って倒れていた男性を見つけたことよ。			交わる世界							
幸い命に別状はなかったのだけど、その人というのが、細身で長身、横に長い耳をしていてね。ちょうどあなたのように、細身で長身、横に長い耳をしていてね。この辺りでは、まず見かけない特徴よ。			幸い命に別状はなかったのだけど、その人というのが、細身で長身、横に長い耳をしていてね。ちょうどあなたのように、細身で長身、横に長い耳をしていてね。この辺りでは、まず見かけない特徴よ。			交わる世界							
うわごとのように何かを呟いていて、いまにも意識が戻りそうなのだけど……口にする単語が、どれも聞きなれないものばかりなの。			うわごとのように何かを呟いていて、いまにも意識が戻りそうなのだけど……口にする単語が、どれも聞きなれないものばかりなの。			交わる世界							
多くの土地を旅してきたあなたなら、何かわかることがあるかもしれない。彼が目を覚ましたら、会ってみてもらえないかしら？			多くの土地を旅してきたあなたなら、何かわかることがあるかもしれない。彼が目を覚ましたら、会ってみてもらえないかしら？			交わる世界							
ミーラジャ様、例の男が意識を取り戻しました。起きてすぐ、周囲を気にして歩き回っておりまして、あれならば身体に問題はなさそうです。			ミーラジャ様、例の男が意識を取り戻しました。起きてすぐ、周囲を気にして歩き回っておりまして、あれならば身体に問題はなさそうです。			交わる世界							
Forenameさんを、待たせずに済んだわね。元気もあるようだし、彼をここへ連れてきてもらえる？			Forenameさんを、待たせずに済んだわね。元気もあるようだし、彼をここへ連れてきてもらえる？			交わる世界							
目を覚ましてくれて安心したわ。起きがけに悪いのだけど、あなたの名前を教えてもらえるかしら？			目を覚ましてくれて安心したわ。起きがけに悪いのだけど、あなたの名前を教えてもらえるかしら？			交わる世界							
(-甲冑姿の男性-)名前……。			(-甲冑姿の男性-)名前……。			交わる世界							
(-甲冑姿の男性-)すまない、何も思い出せない……。			(-甲冑姿の男性-)すまない、何も思い出せない……。			交わる世界							
どうやら記憶を失っているようね……これは思ったより厄介だわ。せめて外見から、何かわかることがあるといいのだけれど……。			どうやら記憶を失っているようね……これは思ったより厄介だわ。せめて外見から、何かわかることがあるといいのだけれど……。			交わる世界							
何と言う？			何と言う？			交わる世界							
冒険者のように見えるが……？			冒険者のように見えるが……？			交わる世界							
エレゼン族か、エレダイト族か……？			エレゼン族か、エレダイト族か……？			交わる世界							
(-甲冑姿の男性-)冒険者……私が……？			(-甲冑姿の男性-)冒険者……私が……？			交わる世界							
(-甲冑姿の男性-)エレゼン族……エレダイト族……？いや、違う……私は……！			(-甲冑姿の男性-)エレゼン族……エレダイト族……？いや、違う……私は……！			交わる世界							
(-甲冑姿の男性-)……ぐっ！！			(-甲冑姿の男性-)……ぐっ！！			交わる世界							
(-甲冑姿の男性-)そ、そうだ……。私は冒険者を生業とする「エルヴァーン族」……。常に未知を求めて旅をしていた……。			(-甲冑姿の男性-)そ、そうだ……。私は冒険者を生業とする「エルヴァーン族」……。常に未知を求めて旅をしていた……。			交わる世界							
(-甲冑姿の男性-)そして、お前たちはマムージャ族、だな。まさかここは……マムーク？			(-甲冑姿の男性-)そして、お前たちはマムージャ族、だな。まさかここは……マムーク？			交わる世界							
(-甲冑姿の男性-)マムージャ蕃国の蕃都マムーク……！つまり私は、かの皇国の防衛戦に敗れたのち、捕虜にされたと……なんたる不覚！			(-甲冑姿の男性-)マムージャ蕃国の蕃都マムーク……！つまり私は、かの皇国の防衛戦に敗れたのち、捕虜にされたと……なんたる不覚！			交わる世界							
捕虜にしたつもりはないのだけれど……。外つ国では、この街をマムージャ蕃国と呼ぶと聞いたことがある。ということは、この人はあなたと同じ大陸から来たのかしら？			捕虜にしたつもりはないのだけれど……。外つ国では、この街をマムージャ蕃国と呼ぶと聞いたことがある。ということは、この人はあなたと同じ大陸から来たのかしら？			交わる世界							
何と言う？			何と言う？			交わる世界							
エオルゼア出身かもしれない			エオルゼア出身かもしれない			交わる世界							
そうではないかもしれない			そうではないかもしれない			交わる世界							
ドームから来た人かもしれない			ドームから来た人かもしれない			交わる世界							
あなたの知識をもってしても、今すぐに断定することは難しいようね。だとすると……			あなたの知識をもってしても、今すぐに断定することは難しいようね。だとすると……			交わる世界							
ミーラジャ、すぐに戦える者を集めてくれ！			ミーラジャ、すぐに戦える者を集めてくれ！			交わる世界							
あなた……いったい何事だというの？			あなた……いったい何事だというの？			交わる世界							
ゴクドラーク岩窟付近で、グルージャジャ様の幻影を発見してな。敵意を向けてきたため、バクージャジャが応戦しているが、厳しい状況だ……。			ゴクドラーク岩窟付近で、グルージャジャ様の幻影を発見してな。敵意を向けてきたため、バクージャジャが応戦しているが、厳しい状況だ……。			交わる世界							
お前は「友の試練」のときの……ウクラマト様の協力者だったな。			お前は「友の試練」のときの……ウクラマト様の協力者だったな。			交わる世界							
ヤクテル樹海では少し前から、前連王の姿を見たという報告が相次いでいた。間違いなく、「友の試練」でも用いた前連王の幻影だろう。			ヤクテル樹海では少し前から、前連王の姿を見たという報告が相次いでいた。間違いなく、「友の試練」でも用いた前連王の幻影だろう。			交わる世界							
むろん私が紡いだ幻影ではないが……あの呪法は、ブネワ族の高位賢士にしか使えないもの。何者かはわからぬが、同族の関与が疑われておる状況だ。			むろん私が紡いだ幻影ではないが……あの呪法は、ブネワ族の高位賢士にしか使えないもの。何者かはわからぬが、同族の関与が疑われておる状況だ。			交わる世界							
とにかく今は、バクージャジャの救援が先決だ。私は勇連隊の応援を要請しに向かう！			とにかく今は、バクージャジャの救援が先決だ。私は勇連隊の応援を要請しに向かう！			交わる世界							
前連王の幻影が相手では、あの子が応援の到着まで耐えられるかどうか……			前連王の幻影が相手では、あの子が応援の到着まで耐えられるかどうか……			交わる世界							
……立て続けのお願いになってしまうけれど、「友の試練」で幻影に打ち勝ったあなたを頼らせてほしい。どうか、息子の救援に向かってもらえないかしら！			……立て続けのお願いになってしまうけれど、「友の試練」で幻影に打ち勝ったあなたを頼らせてほしい。どうか、息子の救援に向かってもらえないかしら！			交わる世界							
ありがとう、あなたが協力してくれるなら本当に心強いわ。「ゴクドラーク岩窟」は、マムークから西に向かった先よ。バクージャジャを見つけて、加勢してちょうだい！			ありがとう、あなたが協力してくれるなら本当に心強いわ。「ゴクドラーク岩窟」は、マムークから西に向かった先よ。バクージャジャを見つけて、加勢してちょうだい！			交わる世界							
(-甲冑姿の男性-)うぅ……グルー……ジャジャ……？			(-甲冑姿の男性-)うぅ……グルー……ジャジャ……？			交わる世界							
バクージャジャは、「ゴクドラーク岩窟」付近で、前連王の幻影を相手にしているらしいわ。あなたも、無事に戻ってきてちょうだい！			バクージャジャは、「ゴクドラーク岩窟」付近で、前連王の幻影を相手にしているらしいわ。あなたも、無事に戻ってきてちょうだい！			交わる世界							
私は、いったい……。			私は、いったい……。			交わる世界							
(-？？？？-)ぐわァーッ！！			(-？？？？-)ぐわァーッ！！			交わる世界							
(-武のグルージャジャ？-)グルルゥルルルッ！貴様も、同族のようだが、その程度じゃ、僭主は務まらない、なぁ～？			(-武のグルージャジャ？-)グルルゥルルルッ！貴様も、同族のようだが、その程度じゃ、僭主は務まらない、なぁ～？			交わる世界							
(-戦のバクージャジャ-)ハァ……ハァ……クソッ！幻影とはいえ、さすがの強さだぜ……！！			(-戦のバクージャジャ-)ハァ……ハァ……クソッ！幻影とはいえ、さすがの強さだぜ……！！			交わる世界							
(-魔のバクージャジャ-)まさか、キミが来てくれるなんてね……気をつけて、敵はひとりじゃないよ……！			(-魔のバクージャジャ-)まさか、キミが来てくれるなんてね……気をつけて、敵はひとりじゃないよ……！			交わる世界							
(-荒っぽい口調の少女-)なんだ、新手の「魔物」か？なら、そっちのやつは俺がブッ飛ばしてやる！			(-荒っぽい口調の少女-)なんだ、新手の「魔物」か？なら、そっちのやつは俺がブッ飛ばしてやる！			交わる世界							
(-荒っぽい口調の少女-)いくぜ！			(-荒っぽい口調の少女-)いくぜ！			交わる世界							
(-甲冑姿の男性-)やらせない……センチネル！			(-甲冑姿の男性-)やらせない……センチネル！			交わる世界							
(-荒っぽい口調の少女-)崑崙八象脚(こんろんはっしょうきゃく)！！			(-荒っぽい口調の少女-)崑崙八象脚(こんろんはっしょうきゃく)！！			交わる世界							
(-甲冑姿の男性-)なぜだかわからないが、行かなければならない気がしてね。君のあとを追いかけてきたんだ。			(-甲冑姿の男性-)なぜだかわからないが、行かなければならない気がしてね。君のあとを追いかけてきたんだ。			交わる世界							
(-荒っぽい口調の少女-)へへっ、この魔物は結構やりそうだ。			(-荒っぽい口調の少女-)へへっ、この魔物は結構やりそうだ。			交わる世界							
(-甲冑姿の男性-)魔物だと？少女よ、君は何を言っているんだ？			(-甲冑姿の男性-)魔物だと？少女よ、君は何を言っているんだ？			交わる世界							
(-荒っぽい口調の少女-)おおっ、喋るのかよ！？それにしたって、少女なんて変な呼び方するんじゃねぇ！			(-荒っぽい口調の少女-)おおっ、喋るのかよ！？それにしたって、少女なんて変な呼び方するんじゃねぇ！			交わる世界							
俺は、プリッシュってんだ！！覚えとけよな。			俺は、プリッシュってんだ！！覚えとけよな。			交わる世界							
(-甲冑姿の男性-)プリッ……シュ……？			(-甲冑姿の男性-)プリッ……シュ……？			交わる世界							
へへへ、俺の勝ちだ。にしても、おかしな魔物だったなー。			へへへ、俺の勝ちだ。にしても、おかしな魔物だったなー。			交わる世界							
残りの魔物も、さっさと片付けるぜ！			残りの魔物も、さっさと片付けるぜ！			交わる世界							
(-理のグルージャジャ？-)ゲッグッグッグッ……そこまで、だ。目的の奴は、おびき出せ、た。いったん、戻る、ぞ。			(-理のグルージャジャ？-)ゲッグッグッグッ……そこまで、だ。目的の奴は、おびき出せ、た。いったん、戻る、ぞ。			交わる世界							
わかったよ、「ウルミア」。			わかったよ、「ウルミア」。			交わる世界							
(-魔のバクージャジャ-)ウルミア……って、何？			(-魔のバクージャジャ-)ウルミア……って、何？			交わる世界							
(-甲冑姿の男性-)ま、待て……行くな……プリッシュ……！			(-甲冑姿の男性-)ま、待て……行くな……プリッシュ……！			交わる世界							
(-戦のバクージャジャ-)何者かが前連王の幻影を呼び出したって話は聞いてるか？さっき戦った嬢ちゃんについちゃ、正体もなにもわからねェが……幻影とともに行動してるのはたしかだ。			(-戦のバクージャジャ-)何者かが前連王の幻影を呼び出したって話は聞いてるか？さっき戦った嬢ちゃんについちゃ、正体もなにもわからねェが……幻影とともに行動してるのはたしかだ。			交わる世界							
(-魔のバクージャジャ-)奴らは、あの光の柱へと入っていった。きっとあれは、転移するためのものなんだ。どこへ繋がっているのかは……わからないけどね。			(-魔のバクージャジャ-)奴らは、あの光の柱へと入っていった。きっとあれは、転移するためのものなんだ。どこへ繋がっているのかは……わからないけどね。			交わる世界							
(-戦のバクージャジャ-)武王ウクラマトから、ヤクテル樹海を任された者として……双頭を利用しようとする連中を、見過ごせるかってんだ！			(-戦のバクージャジャ-)武王ウクラマトから、ヤクテル樹海を任された者として……双頭を利用しようとする連中を、見過ごせるかってんだ！			交わる世界							
(-戦のバクージャジャ-)オレサマたちは急ぎ奴らのあとを追う。そっちの怪我した男のことは任せたぜ。			(-戦のバクージャジャ-)オレサマたちは急ぎ奴らのあとを追う。そっちの怪我した男のことは任せたぜ。			交わる世界							
(-甲冑姿の男性-)プリッシュ……いったい何が起きているんだ……。			(-甲冑姿の男性-)プリッシュ……いったい何が起きているんだ……。			交わる世界							
おぼろげにだが、彼女と共に戦った記憶が蘇ってきてな。プリッシュは、私の戦友……そう呼んでいい存在のはずだ。			おぼろげにだが、彼女と共に戦った記憶が蘇ってきてな。プリッシュは、私の戦友……そう呼んでいい存在のはずだ。			交わる世界							
だが、彼女の様子は普通ではなかった。私を「魔物」扱いした上、あの頭のふたつあるマムージャ族を、「ウルミア」と呼んだのだからね……。			だが、彼女の様子は普通ではなかった。私を「魔物」扱いした上、あの頭のふたつあるマムージャ族を、「ウルミア」と呼んだのだからね……。			交わる世界							
ウルミアというのはプリッシュの親友であり、私と同じエルヴァーン族の女性なんだ。とても、マムージャ族とは似ても似つかない。			ウルミアというのはプリッシュの親友であり、私と同じエルヴァーン族の女性なんだ。とても、マムージャ族とは似ても似つかない。			交わる世界							
もしかすると……プリッシュは、何者かに、操られているのかもしれない……。あとを、追わなければ……！			もしかすると……プリッシュは、何者かに、操られているのかもしれない……。あとを、追わなければ……！			交わる世界							
ぐっ……！			ぐっ……！			交わる世界							
何と言う？			何と言う？			交わる世界							
その様子では無理だ			その様子では無理だ			交わる世界							
プリッシュという少女は、自分が追おう			プリッシュという少女は、自分が追おう			交わる世界							
だが私が行かねば、彼女が……！			だが私が行かねば、彼女が……！			交わる世界							
君がプリッシュを追ってくれると……？			君がプリッシュを追ってくれると……？			交わる世界							
君がプリッシュを追ってくれると……？			君がプリッシュを追ってくれると……？			交わる世界							
その風格……これまで多くの戦いを越えてきたのだろうね。君ならば、彼女を救い出すことができるかもしれない。			その風格……これまで多くの戦いを越えてきたのだろうね。君ならば、彼女を救い出すことができるかもしれない。			交わる世界							
プリッシュを、よろしく頼むよ。とても……大切な戦友なんだ。			プリッシュを、よろしく頼むよ。とても……大切な戦友なんだ。			交わる世界							
彼女は、あの光の柱に触れて消えていった。くれぐれも万全の備えをしてから突入してくれ！			彼女は、あの光の柱に触れて消えていった。くれぐれも万全の備えをしてから突入してくれ！			交わる世界							
この剣と盾は、マムージャ族から借り受けたものさ。彼らは人間に敵対的な獣人だと思っていたが、中には話が通じる者もいるのだな。			この剣と盾は、マムージャ族から借り受けたものさ。彼らは人間に敵対的な獣人だと思っていたが、中には話が通じる者もいるのだな。			交わる世界							
ともあれ、今はプリッシュを追うとき……私も回復次第、すぐに追いかけるよ。			ともあれ、今はプリッシュを追うとき……私も回復次第、すぐに追いかけるよ。			交わる世界							
(-戦のバクージャジャ-)おい、無事か？			(-戦のバクージャジャ-)おい、無事か？			交わる世界							
(-魔のバクージャジャ-)心配いらないよ、疲れて眠ってるだけさ。目が覚めたら話を聞きたいけど、また暴れたら厄介……			(-魔のバクージャジャ-)心配いらないよ、疲れて眠ってるだけさ。目が覚めたら話を聞きたいけど、また暴れたら厄介……			交わる世界							
ん……。			ん……。			交わる世界							
(-戦のバクージャジャ-)気がついたみてェだな。			(-戦のバクージャジャ-)気がついたみてェだな。			交わる世界							
うわぁぁぁ！？			うわぁぁぁ！？			交わる世界							
頭がふたつあるトカゲの……獣人！？俺様を食おうってのか！			頭がふたつあるトカゲの……獣人！？俺様を食おうってのか！			交わる世界							
(-戦のバクージャジャ-)オマエみてェな小っこい嬢ちゃんを食ったところで、腹の足しにもならねェ！			(-戦のバクージャジャ-)オマエみてェな小っこい嬢ちゃんを食ったところで、腹の足しにもならねェ！			交わる世界							
(-魔のバクージャジャ-)っていうか、そもそも食べないし！			(-魔のバクージャジャ-)っていうか、そもそも食べないし！			交わる世界							
すまねぇ、いきなりでびっくりしちまった。化け物に襲われて、気を失ったあとだったから……。			すまねぇ、いきなりでびっくりしちまった。化け物に襲われて、気を失ったあとだったから……。			交わる世界							
(-戦のバクージャジャ-)安心しな。嬢ちゃんから襲ってこねェなら、こっちも戦う気はねェよ。			(-戦のバクージャジャ-)安心しな。嬢ちゃんから襲ってこねェなら、こっちも戦う気はねェよ。			交わる世界							
(-魔のバクージャジャ-)だからさ、話を聞かせてくれないかなァ？			(-魔のバクージャジャ-)だからさ、話を聞かせてくれないかなァ？			交わる世界							
おまえらのこと、信じていいのか？			おまえらのこと、信じていいのか？			交わる世界							
悪かった、謝らせてくれ……！誰だって見た目で決めつけられたら、嫌だよな……。			悪かった、謝らせてくれ……！誰だって見た目で決めつけられたら、嫌だよな……。			交わる世界							
(-戦のバクージャジャ-)なぁに、気にしちゃいねェよ。			(-戦のバクージャジャ-)なぁに、気にしちゃいねェよ。			交わる世界							
俺はプリッシュ。おまえらの名前も教えてくれよ。			俺はプリッシュ。おまえらの名前も教えてくれよ。			交わる世界							
突然のことで、つい驚いちまったぜ……。			突然のことで、つい驚いちまったぜ……。			交わる世界							
(-戦のバクージャジャ-)わけのわからねェことばかりだが、戦いは一段落したと思っていいみてェだな。			(-戦のバクージャジャ-)わけのわからねェことばかりだが、戦いは一段落したと思っていいみてェだな。			交わる世界							
(-戦のバクージャジャ-)それにしても、グルージャジャ様の幻影どころか、こんな嬢ちゃんにまでボコられるなんてよ……。命拾いしたのはオマエのおかげだし、まァ……言っとくぜ。			(-戦のバクージャジャ-)それにしても、グルージャジャ様の幻影どころか、こんな嬢ちゃんにまでボコられるなんてよ……。命拾いしたのはオマエのおかげだし、まァ……言っとくぜ。			交わる世界							
(-戦のバクージャジャ-)ありがとよ、Forename。			(-戦のバクージャジャ-)ありがとよ、Forename。			交わる世界							
ジュノ下層のプリッシュは、状況を確認したいようだ。			ジュノ下層のプリッシュは、状況を確認したいようだ。			すべての起こりは「石」							
プリッシュと話した。ジュノ下層にいる「プリッシュ」と話そう。一度外に出た場合は、ヤクテル樹海のゴクドラーク岩窟付近から再び向かえるようだ。			プリッシュと話した。ジュノ下層にいる「プリッシュ」と話そう。一度外に出た場合は、ヤクテル樹海のゴクドラーク岩窟付近から再び向かえるようだ。			すべての起こりは「石」							
プリッシュとふたりでジュノ下層を調べることになった。プリッシュを連れてジュノ下層を見て回ろう。※同行状態が解除された場合、再度「プリッシュ」に話しかけることで同行を再開できます。			プリッシュとふたりでジュノ下層を調べることになった。プリッシュを連れてジュノ下層を見て回ろう。※同行状態が解除された場合、再度「プリッシュ」に話しかけることで同行を再開できます。			すべての起こりは「石」							
ジュノ下層で情報を集めた。プリッシュを連れてジュノ下層の空間の裂け目付近にいる「バクージャジャ」と話そう。			ジュノ下層で情報を集めた。プリッシュを連れてジュノ下層の空間の裂け目付近にいる「バクージャジャ」と話そう。			すべての起こりは「石」							
このジュノという街やプリッシュは「エコーズの残滓」という存在らしい。ジュノ下層の空間の裂け目付近にいる「バクージャジャ」と再度話そう。			このジュノという街やプリッシュは「エコーズの残滓」という存在らしい。ジュノ下層の空間の裂け目付近にいる「バクージャジャ」と再度話そう。			すべての起こりは「石」							
バクージャジャと再度話した。自身が再現された存在と知ったプリッシュは、少なからず衝撃を受けてしまったようだった。			バクージャジャと再度話した。自身が再現された存在と知ったプリッシュは、少なからず衝撃を受けてしまったようだった。			すべての起こりは「石」							
プリッシュと話して同行させる			プリッシュと話して同行させる			すべての起こりは「石」							
プリッシュを連れてジュノ下層で情報を集める			プリッシュを連れてジュノ下層で情報を集める			すべての起こりは「石」							
プリッシュを連れてバクージャジャと話す			プリッシュを連れてバクージャジャと話す			すべての起こりは「石」							
バクージャジャと話す			バクージャジャと話す			すべての起こりは「石」							
(-戦のバクージャジャ-)ったく、わからねェことばかりだ。まずはこの嬢ちゃんから話を聞いてみようぜ。			(-戦のバクージャジャ-)ったく、わからねェことばかりだ。まずはこの嬢ちゃんから話を聞いてみようぜ。			すべての起こりは「石」							
あらためて、教えてくれよ？おまえらの名前をさ。			あらためて、教えてくれよ？おまえらの名前をさ。			すべての起こりは「石」							
Forenameとバクージャジャってんだな。よろしく頼むぜ。			Forenameとバクージャジャってんだな。よろしく頼むぜ。			すべての起こりは「石」							
見たとこおまえは、ヒューム族か。まぁ、いかにも冒険者って感じの雰囲気だ。			見たとこおまえは、ヒューム族か。まぁ、いかにも冒険者って感じの雰囲気だ。			すべての起こりは「石」							
見たとこおまえは、俺と同じエルヴァーン族か。まぁ、いかにも冒険者って感じの雰囲気だ。			見たとこおまえは、俺と同じエルヴァーン族か。まぁ、いかにも冒険者って感じの雰囲気だ。			すべての起こりは「石」							
おまえはタルタル族……じゃねぇよな。あいつらはもっとちびっこくて、頭がデカくて、でも魔法が得意って感じの雰囲気だし……。			おまえはタルタル族……じゃねぇよな。あいつらはもっとちびっこくて、頭がデカくて、でも魔法が得意って感じの雰囲気だし……。			すべての起こりは「石」							
おまえはミスラ族……か？なんか雰囲気違うけど……ひとまず冒険者みてぇだな。			おまえはミスラ族……か？なんか雰囲気違うけど……ひとまず冒険者みてぇだな。			すべての起こりは「石」							
うおッ、もしかしておまえ、ミスラ族の男か！？すげぇ、珍しい冒険者だな……！			うおッ、もしかしておまえ、ミスラ族の男か！？すげぇ、珍しい冒険者だな……！			すべての起こりは「石」							
ガルカ族みてぇにいかつい体格だけど、尻尾もねぇし、別の種族だよな……？冒険者らしいのは、なんとなくわかるけどよ。			ガルカ族みてぇにいかつい体格だけど、尻尾もねぇし、別の種族だよな……？冒険者らしいのは、なんとなくわかるけどよ。			すべての起こりは「石」							
んんー？おまえ、見覚えのない種族の冒険者だな……。珍しいってよく言われねぇか？			んんー？おまえ、見覚えのない種族の冒険者だな……。珍しいってよく言われねぇか？			すべての起こりは「石」							
(-戦のバクージャジャ-)んなことよりも、なんで嬢ちゃんはオレサマたちを襲ったんだ？こっちは危うく殺されかけたぜ。			(-戦のバクージャジャ-)んなことよりも、なんで嬢ちゃんはオレサマたちを襲ったんだ？こっちは危うく殺されかけたぜ。			すべての起こりは「石」							
襲ったって……何の話だ？			襲ったって……何の話だ？			すべての起こりは「石」							
(-魔のバクージャジャ-)とぼけないでくれるかい？キミはオイラたちを「魔物」呼ばわりしたあげく、割って入った甲冑姿の男をぶん殴っていたじゃないか。			(-魔のバクージャジャ-)とぼけないでくれるかい？キミはオイラたちを「魔物」呼ばわりしたあげく、割って入った甲冑姿の男をぶん殴っていたじゃないか。			すべての起こりは「石」							
魔物……たしかに、さっきまで魔物と戦ってたことは覚えてるけどよ。それは「ウルミア」を守るためで……。			魔物……たしかに、さっきまで魔物と戦ってたことは覚えてるけどよ。それは「ウルミア」を守るためで……。			すべての起こりは「石」							
(-魔のバクージャジャ-)ウルミア……？			(-魔のバクージャジャ-)ウルミア……？			すべての起こりは「石」							
(-魔のバクージャジャ-)ふーん……ウルミアというのは、お嬢ちゃんの友達の名なんだね。けど、どうしてグルージャジャ様の幻影をその名で……			(-魔のバクージャジャ-)ふーん……ウルミアというのは、お嬢ちゃんの友達の名なんだね。けど、どうしてグルージャジャ様の幻影をその名で……			すべての起こりは「石」							
(-魔のバクージャジャ-)そういえば……幻影を紡ぐ呪法は、人を欺くための魔法を発展させたものだって聞いたことがある。相手が呪法の使い手なら、幻惑魔法を扱えても不思議じゃないよ。			(-魔のバクージャジャ-)そういえば……幻影を紡ぐ呪法は、人を欺くための魔法を発展させたものだって聞いたことがある。相手が呪法の使い手なら、幻惑魔法を扱えても不思議じゃないよ。			すべての起こりは「石」							
(-戦のバクージャジャ-)つまりだ、弟よ。オレサマたちが魔物に、前連王の幻影がダチに見えるように、嬢ちゃんは幻惑魔法をかけられてたってことか。			(-戦のバクージャジャ-)つまりだ、弟よ。オレサマたちが魔物に、前連王の幻影がダチに見えるように、嬢ちゃんは幻惑魔法をかけられてたってことか。			すべての起こりは「石」							
あのウルミアが錯覚だって……？			あのウルミアが錯覚だって……？			すべての起こりは「石」							
けど、そういえば……誰かに「あなたの大切な存在を守るのです」とか、言われたような……			けど、そういえば……誰かに「あなたの大切な存在を守るのです」とか、言われたような……			すべての起こりは「石」							
だんだん思い出してきたぞ！そいつは、バクージャジャの青い方の頭に似たやつで、見たこともねぇ、武器を与えられたんだ！			だんだん思い出してきたぞ！そいつは、バクージャジャの青い方の頭に似たやつで、見たこともねぇ、武器を与えられたんだ！			すべての起こりは「石」							
(-魔のバクージャジャ-)オイラに似たマムージャ族……？			(-魔のバクージャジャ-)オイラに似たマムージャ族……？			すべての起こりは「石」							
普段の俺なら、戦いのときはこの拳しか使わねぇ。使い慣れてねぇ武器を、ホイホイ受け入れちまったのも、幻惑されてたからってことか……！			普段の俺なら、戦いのときはこの拳しか使わねぇ。使い慣れてねぇ武器を、ホイホイ受け入れちまったのも、幻惑されてたからってことか……！			すべての起こりは「石」							
ま、何にしても、このわけのわからねぇ状況に、ウルミアが巻きこまれてなくてよかったぜ。			ま、何にしても、このわけのわからねぇ状況に、ウルミアが巻きこまれてなくてよかったぜ。			すべての起こりは「石」							
