スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			師を選ばば冒険者							
へえ、自警団を率いているヒルダと、知り合いだったのか！いやいや、それなら話は早い。			へえ、自警団を率いているヒルダと、知り合いだったのか！いやいや、それなら話は早い。			師を選ばば冒険者							
イシュガルドの変革以降、公的組織として活動を始めた自警団に、銃と機工兵装の導入計画があってね……。その一環として、指南役の派遣を頼まれたんだ。			イシュガルドの変革以降、公的組織として活動を始めた自警団に、銃と機工兵装の導入計画があってね……。その一環として、指南役の派遣を頼まれたんだ。			師を選ばば冒険者							
ヒルダとは知らぬ仲でもなし、要請に応えてやりたいが、指南役をやれる技量の機工士は動かせなくてね。			ヒルダとは知らぬ仲でもなし、要請に応えてやりたいが、指南役をやれる技量の機工士は動かせなくてね。			師を選ばば冒険者							
ほら、アラミゴが奪還されたとはいえ、外も騒がしいだろう？その影響で、機工房への発注が激増していて、ジョイを含め、ウチの人員は手一杯なんだよ。			ほら、アラミゴが奪還されたとはいえ、外も騒がしいだろう？その影響で、機工房への発注が激増していて、ジョイを含め、ウチの人員は手一杯なんだよ。			師を選ばば冒険者							
ほら、この国もアラミゴの遠征に参加してるだろ？その影響で、機工房への発注が激増していて、ジョイを含め、ウチの人員は手一杯なんだよ。			ほら、この国もアラミゴの遠征に参加してるだろ？その影響で、機工房への発注が激増していて、ジョイを含め、ウチの人員は手一杯なんだよ。			師を選ばば冒険者							
だから、Forenameに、自警団の指南役をお願いしたいんだ。ほかでもない、腕利きの機工士である君にね。			だから、Forenameに、自警団の指南役をお願いしたいんだ。ほかでもない、腕利きの機工士である君にね。			師を選ばば冒険者							
もちろん、君が忙しい身の上だってのは理解してるよ。自警団にかかりきりには、なれないだろうから、ロスティンスタルにも、指南を頼もうと思ってるんだ。			もちろん、君が忙しい身の上だってのは理解してるよ。自警団にかかりきりには、なれないだろうから、ロスティンスタルにも、指南を頼もうと思ってるんだ。			師を選ばば冒険者							
彼はかつて海都の治安維持組織、バラクーダ騎士団の団長だった。組織運営の指南もできると考えれば、頼まない手はない！			彼はかつて海都の治安維持組織、バラクーダ騎士団の団長だった。組織運営の指南もできると考えれば、頼まない手はない！			師を選ばば冒険者							
……というわけで、これから依頼に行くので一緒に来てくれ。どうやら彼はイディルシャイアという新興集落に、滞在しているらしいから、現地で落ち合おう。			……というわけで、これから依頼に行くので一緒に来てくれ。どうやら彼はイディルシャイアという新興集落に、滞在しているらしいから、現地で落ち合おう。			師を選ばば冒険者							
さて、指南役に会うのも久しぶりだな。素直に依頼を受けてくれると、いいんだけど……。			さて、指南役に会うのも久しぶりだな。素直に依頼を受けてくれると、いいんだけど……。			師を選ばば冒険者							
Forename、ここはすごいぞ！初めて来たんだが、見慣れないものばかりだ！ゴブリン族の技術に、俺の計測器がガンガン反応してるよ！			Forename、ここはすごいぞ！初めて来たんだが、見慣れないものばかりだ！ゴブリン族の技術に、俺の計測器がガンガン反応してるよ！			師を選ばば冒険者							
……すまない、仕事が先だな。まずは、情報を集めようか。ロスティンスタルの居場所について、住人に聞いてみてくれ。			……すまない、仕事が先だな。まずは、情報を集めようか。ロスティンスタルの居場所について、住人に聞いてみてくれ。			師を選ばば冒険者							
ちょっと聞きたいんだが、銃を持ったルガディン族の男を見ていないか？			ちょっと聞きたいんだが、銃を持ったルガディン族の男を見ていないか？			師を選ばば冒険者							
……銃を持ったルガディン族の男だって？俺がしたいのは、情報提供じゃなくて道案内なんだけどな……。まあいいや、ソイツならさっき、この道を歩いていったぜ。			……銃を持ったルガディン族の男だって？俺がしたいのは、情報提供じゃなくて道案内なんだけどな……。まあいいや、ソイツならさっき、この道を歩いていったぜ。			師を選ばば冒険者							
ふうむ、あの活きのよさそうなルガディン族だね？奴さんなら、この婆の前を通りすぎていったよ。			ふうむ、あの活きのよさそうなルガディン族だね？奴さんなら、この婆の前を通りすぎていったよ。			師を選ばば冒険者							
……眼帯をしたルガディン族の男かい？その人なら、崖っぷち亭に入っていったのを見たよ。苦みばしったいい男だったねえ……はあ……。			……眼帯をしたルガディン族の男かい？その人なら、崖っぷち亭に入っていったのを見たよ。苦みばしったいい男だったねえ……はあ……。			師を選ばば冒険者							
ソイツならさっき、この道を歩いていったのを見たぜ。よければ、1000ギルで案内して……え、いらない？			ソイツならさっき、この道を歩いていったのを見たぜ。よければ、1000ギルで案内して……え、いらない？			師を選ばば冒険者							
奴さんなら、この婆の前を通りすぎていったよ。……ところであの男、モブハントに興味はないかねえ？			奴さんなら、この婆の前を通りすぎていったよ。……ところであの男、モブハントに興味はないかねえ？			師を選ばば冒険者							
その人なら、崖っぷち亭に入っていったのを見たよ。……あとでアタイも、飲みにいってみようかね。いや、別に他意はないよ、うん。			その人なら、崖っぷち亭に入っていったのを見たよ。……あとでアタイも、飲みにいってみようかね。いや、別に他意はないよ、うん。			師を選ばば冒険者							
さすが冒険者、そっちの方が早かったか。しかし、今回はずいぶん簡単に発見できたな。前回とは、えらい違いだよ。			さすが冒険者、そっちの方が早かったか。しかし、今回はずいぶん簡単に発見できたな。前回とは、えらい違いだよ。			師を選ばば冒険者							
聞いたことのある声だと思ったら、Forenameと工房長か。こんなところで会うとは、俺を探しにきたのか？			聞いたことのある声だと思ったら、Forenameと工房長か。こんなところで会うとは、俺を探しにきたのか？			師を選ばば冒険者							
ああ、そのとおりだよ指南役。ぜひあんたに受けてほしい仕事があってさ……。			ああ、そのとおりだよ指南役。ぜひあんたに受けてほしい仕事があってさ……。			師を選ばば冒険者							
Forenameとともに、銃術の指南だと？そんなの、ジョイにでもやらせろ。俺が出る幕じゃあない。			Forenameとともに、銃術の指南だと？そんなの、ジョイにでもやらせろ。俺が出る幕じゃあない。			師を選ばば冒険者							
彼女は、性格的に指南役向きじゃないし、そもそも機工房の仕事が忙しくて、手が離せない。それに、あんたなら治安維持部隊のイロハも指南できるだろ？			彼女は、性格的に指南役向きじゃないし、そもそも機工房の仕事が忙しくて、手が離せない。それに、あんたなら治安維持部隊のイロハも指南できるだろ？			師を選ばば冒険者							
おいおい、忘れちまったのか？俺はその騎士団で失態をやらかして、追放されたんだぞ。そんな者に指南ができると、本気で思ってるのか？			おいおい、忘れちまったのか？俺はその騎士団で失態をやらかして、追放されたんだぞ。そんな者に指南ができると、本気で思ってるのか？			師を選ばば冒険者							
何と答える？			何と答える？			師を選ばば冒険者							
ロスティンスタルならできる			ロスティンスタルならできる			師を選ばば冒険者							
指南する自信がないのか			指南する自信がないのか			師を選ばば冒険者							
……ずいぶんと高く買われたもんだな。これほど真っ直ぐ見込まれたのを、無視しちまったら、こびりついた錆が、より酷くなりそうだ。			……ずいぶんと高く買われたもんだな。これほど真っ直ぐ見込まれたのを、無視しちまったら、こびりついた錆が、より酷くなりそうだ。			師を選ばば冒険者							
……それは挑発のつもりか？どうやっても俺に仕事を押しつけたいらしいな。やれやれ、錆つくひまもありゃしない。			……それは挑発のつもりか？どうやっても俺に仕事を押しつけたいらしいな。やれやれ、錆つくひまもありゃしない。			師を選ばば冒険者							
……ってことは、指南してくれるってことだよな！？			……ってことは、指南してくれるってことだよな！？			師を選ばば冒険者							
気が早すぎるぞ、工房長。まずは団長のヒルダって女に会おう。指南するかしないかは、その後だ。			気が早すぎるぞ、工房長。まずは団長のヒルダって女に会おう。指南するかしないかは、その後だ。			師を選ばば冒険者							
Forename、悪いんだが指南役を、雲霧街にいる「ヒルダ」に紹介してくれないか？			Forename、悪いんだが指南役を、雲霧街にいる「ヒルダ」に紹介してくれないか？			師を選ばば冒険者							
助かる！実は発注された訓練用爆弾の納期が、結構、厳しくてさ……。それじゃ、頼んだよ！			助かる！実は発注された訓練用爆弾の納期が、結構、厳しくてさ……。それじゃ、頼んだよ！			師を選ばば冒険者							
やれやれ、それじゃあイシュガルドへ行くとするか。紹介は頼んだぞ。			やれやれ、それじゃあイシュガルドへ行くとするか。紹介は頼んだぞ。			師を選ばば冒険者							
「ヒルダ」との顔合わせは、任せた！こっちは訓練用爆弾の納期に向けて、ちょっと身動きが取れなくてさ……。			「ヒルダ」との顔合わせは、任せた！こっちは訓練用爆弾の納期に向けて、ちょっと身動きが取れなくてさ……。			師を選ばば冒険者							
……これは英雄殿。申し訳ないが、取り込み中だ。しばしの間、待っていただきたい。			……これは英雄殿。申し訳ないが、取り込み中だ。しばしの間、待っていただきたい。			師を選ばば冒険者							
……よ、よう、こんなときに来るなんて、アンタもツいてないな。			……よ、よう、こんなときに来るなんて、アンタもツいてないな。			師を選ばば冒険者							
すまないが、ちょっと待っててもらえるか？姐さんは、いま取り込み中でな……。			すまないが、ちょっと待っててもらえるか？姐さんは、いま取り込み中でな……。			師を選ばば冒険者							
(-冷たい瞳の神殿騎士-)いいか、最後にもう一度言っておく。平民でしかないお前たちに、期待はしない。分をわきまえ、我々の邪魔だけはしてくれるな。			(-冷たい瞳の神殿騎士-)いいか、最後にもう一度言っておく。平民でしかないお前たちに、期待はしない。分をわきまえ、我々の邪魔だけはしてくれるな。			師を選ばば冒険者							
けっ、クソ貴族が……。自分のところの上官を、少しは見習えってんだッ！			けっ、クソ貴族が……。自分のところの上官を、少しは見習えってんだッ！			師を選ばば冒険者							
おう、Forename。ステファニヴィアンから、話は聞いてる。英雄の指南を受けられるってんで、士気も上がってるよ。			おう、Forename。ステファニヴィアンから、話は聞いてる。英雄の指南を受けられるってんで、士気も上がってるよ。			師を選ばば冒険者							
で、そっちがロスティンスタルか。自警団は、正式な訓練を受けたことのないヤツばかりだ。使い物になるまで、ビシバシしごいてやってくれ。			で、そっちがロスティンスタルか。自警団は、正式な訓練を受けたことのないヤツばかりだ。使い物になるまで、ビシバシしごいてやってくれ。			師を選ばば冒険者							
ほう、言ったな？俺の指南は、リムサ・ロミンサの海賊式だ……。泣こうが喚こうが、一切容赦はせんぞ。			ほう、言ったな？俺の指南は、リムサ・ロミンサの海賊式だ……。泣こうが喚こうが、一切容赦はせんぞ。			師を選ばば冒険者							
へっ、上等じゃないか！あいにく雲霧街の連中も、海賊並みに育ちが悪いんでね。根性だけはあるってところを、見せてやるさ！			へっ、上等じゃないか！あいにく雲霧街の連中も、海賊並みに育ちが悪いんでね。根性だけはあるってところを、見せてやるさ！			師を選ばば冒険者							
いい返事だ、気に入った！……ところで、くわしい事情は聞いていなかったが、自警団を国が抱えるとは、いったいどういうわけだ？			いい返事だ、気に入った！……ところで、くわしい事情は聞いていなかったが、自警団を国が抱えるとは、いったいどういうわけだ？			師を選ばば冒険者							
イシュガルドが、エオルゼア都市軍事同盟に復帰したろ？有事の際は、神殿騎士団が動かざるを得ないってんで、国内の治安維持に回す手が足りなくなってるのさ。			イシュガルドが、エオルゼア都市軍事同盟に復帰したろ？有事の際は、神殿騎士団が動かざるを得ないってんで、国内の治安維持に回す手が足りなくなってるのさ。			師を選ばば冒険者							
イシュガルドが、エオルゼア都市軍事同盟に復帰したろ？神殿騎士団の一部が、アラミゴに派兵されるってんで、国内の治安維持に回す手が足りなくなってるのさ。			イシュガルドが、エオルゼア都市軍事同盟に復帰したろ？神殿騎士団の一部が、アラミゴに派兵されるってんで、国内の治安維持に回す手が足りなくなってるのさ。			師を選ばば冒険者							
その穴を塞ぐために、選ばれたのがアタシら自警団だ。公的組織に昇格させて、皇都の守りの一部を任せようってね。			その穴を塞ぐために、選ばれたのがアタシら自警団だ。公的組織に昇格させて、皇都の守りの一部を任せようってね。			師を選ばば冒険者							
おかげで、「ヨサン」ってヤツがついたもんで、ロハだった自警団活動に、給料が出るようになったんだぜ！これで食いっぱぐれがなくなったって、全員大喜びよ！			おかげで、「ヨサン」ってヤツがついたもんで、ロハだった自警団活動に、給料が出るようになったんだぜ！これで食いっぱぐれがなくなったって、全員大喜びよ！			師を選ばば冒険者							
その代わり、「政治」という面倒事に巻き込まれたがな。異端審問官やら貴族やらが、何かにつけて抗議してくる。平民が力を持つことに、まだ抵抗してる連中がいるのさ。			その代わり、「政治」という面倒事に巻き込まれたがな。異端審問官やら貴族やらが、何かにつけて抗議してくる。平民が力を持つことに、まだ抵抗してる連中がいるのさ。			師を選ばば冒険者							
そういうヤツらをねじ伏せるためには、自警団が「使える」ってところを見せつけなきゃならねえ。それにはまず、力が必要だ。			そういうヤツらをねじ伏せるためには、自警団が「使える」ってところを見せつけなきゃならねえ。それにはまず、力が必要だ。			師を選ばば冒険者							
だから、少ない予算を使って、ステファニヴィアンに頭下げて、自警団に銃を導入したし、アンタらに来てもらったわけさ。			だから、少ない予算を使って、ステファニヴィアンに頭下げて、自警団に銃を導入したし、アンタらに来てもらったわけさ。			師を選ばば冒険者							
……治安維持組織が舐められちゃ、守るものも守れん、か。いいだろう、「使える」ようになるまで、俺たちが面倒を見てやる。			……治安維持組織が舐められちゃ、守るものも守れん、か。いいだろう、「使える」ようになるまで、俺たちが面倒を見てやる。			師を選ばば冒険者							
では、最初の指南だ。お前たちの中から精鋭を集めて、特別な名前を付けろ。その名を轟かせて、ハクを付けてビビらせるんだ。			では、最初の指南だ。お前たちの中から精鋭を集めて、特別な名前を付けろ。その名を轟かせて、ハクを付けてビビらせるんだ。			師を選ばば冒険者							
竜騎士団やら蒼天騎士団みたいなもんか。確かに、貴族連中には権威に弱いヤツらもいるが……名前っつっても、アタシら学がないからねぇ……。			竜騎士団やら蒼天騎士団みたいなもんか。確かに、貴族連中には権威に弱いヤツらもいるが……名前っつっても、アタシら学がないからねぇ……。			師を選ばば冒険者							
ふむ、それなら……銃を手に皇都を守る、平民兵士の部隊……「イシュガルド銃士隊」ってのはどうだ？			ふむ、それなら……銃を手に皇都を守る、平民兵士の部隊……「イシュガルド銃士隊」ってのはどうだ？			師を選ばば冒険者							
銃士隊……いいねぇ、なんだか燃えてくるじゃないか！よし、これからアタシらは「イシュガルド銃士隊」だ！			銃士隊……いいねぇ、なんだか燃えてくるじゃないか！よし、これからアタシらは「イシュガルド銃士隊」だ！			師を選ばば冒険者							
銃士隊に選抜した連中は、俺が銃術の基礎を叩きこむ。お前は頃合いを見て、仕上がりを評価してくれ。役割分担した方が、上手く回るだろう。			銃士隊に選抜した連中は、俺が銃術の基礎を叩きこむ。お前は頃合いを見て、仕上がりを評価してくれ。役割分担した方が、上手く回るだろう。			師を選ばば冒険者							
よし、ではお前に失望されないよう、しっかりと、育ちの悪い荒くれどもをしごいてやるか……。訓練の成果を、楽しみに待っていてくれ。			よし、ではお前に失望されないよう、しっかりと、育ちの悪い荒くれどもをしごいてやるか……。訓練の成果を、楽しみに待っていてくれ。			師を選ばば冒険者							
「機工士」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、雲霧街のヒルダから受注可能です。			「機工士」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、雲霧街のヒルダから受注可能です。			師を選ばば冒険者							
今後の「機工士」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「機工士」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			師を選ばば冒険者							
スカイスチール機工房のステファニヴィアンは、冒険者に伝えたいことがあるようだ。			スカイスチール機工房のステファニヴィアンは、冒険者に伝えたいことがあるようだ。			照準！ 俺たちの未来							
「ヴェリシェレン」討伐の審査の日が確定したため、ステファニヴィアンは、決起の宴を開こうとしている。イシュガルドの下層にいる「ロスティンスタル」、「ジョイ」、「セレスト」、「ボランドゥアン・ド・アインハルト伯爵」と話そう。			「ヴェリシェレン」討伐の審査の日が確定したため、ステファニヴィアンは、決起の宴を開こうとしている。イシュガルドの下層にいる「ロスティンスタル」、「ジョイ」、「セレスト」、「ボランドゥアン・ド・アインハルト伯爵」と話そう。			照準！ 俺たちの未来							
スカイスチール機工房の関係者に声をかけた。スカイスチール機工房の「ステファニヴィアン」と話そう。			スカイスチール機工房の関係者に声をかけた。スカイスチール機工房の「ステファニヴィアン」と話そう。			照準！ 俺たちの未来							
ステファニヴィアンと話した。クルザス西部高地のツインプールズにいる「ステファニヴィアン」と話そう。			ステファニヴィアンと話した。クルザス西部高地のツインプールズにいる「ステファニヴィアン」と話そう。			照準！ 俺たちの未来							
ステファニヴィアンと話して、「ヴェリシェレン」を討伐した。スカイスチール機工房の「ステファニヴィアン」と話そう。			ステファニヴィアンと話して、「ヴェリシェレン」を討伐した。スカイスチール機工房の「ステファニヴィアン」と話そう。			照準！ 俺たちの未来							
ステファニヴィアンと話した。テダルグランシュも、ついにスカイスチール機工房を認めた。一方、ロスティンスタルは工房を去り、冒険者も工房から卒業することになった。これまで身に着けた技術を駆使して活躍することで、機工士の存在を世に広めていこう。※以下の条件を満たすと、スカイスチール機工房のステファニヴィアンから、新たなジョブクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			ステファニヴィアンと話した。テダルグランシュも、ついにスカイスチール機工房を認めた。一方、ロスティンスタルは工房を去り、冒険者も工房から卒業することになった。これまで身に着けた技術を駆使して活躍することで、機工士の存在を世に広めていこう。※以下の条件を満たすと、スカイスチール機工房のステファニヴィアンから、新たなジョブクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			照準！ 俺たちの未来							
ロスティンスタルと話す			ロスティンスタルと話す			照準！ 俺たちの未来							
ジョイと話す			ジョイと話す			照準！ 俺たちの未来							
セレストと話す			セレストと話す			照準！ 俺たちの未来							
アインハルト伯爵と話す			アインハルト伯爵と話す			照準！ 俺たちの未来							
ステファニヴィアンと話す			ステファニヴィアンと話す			照準！ 俺たちの未来							
ツインプールズのステファニヴィアンと話す			ツインプールズのステファニヴィアンと話す			照準！ 俺たちの未来							
スカイスチール機工房のステファニヴィアンと話す			スカイスチール機工房のステファニヴィアンと話す			照準！ 俺たちの未来							
ドラゴン族を倒せ！			ドラゴン族を倒せ！			照準！ 俺たちの未来							
テダルグランシュを護り、ドラゴン族を倒せ！			テダルグランシュを護り、ドラゴン族を倒せ！			照準！ 俺たちの未来							
Forename……。「ヴェリシェレン」討伐の審査の日が確定した。これは、工房の命運を決める重要な戦いだ。			Forename……。「ヴェリシェレン」討伐の審査の日が確定した。これは、工房の命運を決める重要な戦いだ。			照準！ 俺たちの未来							
そこで出陣の前に、これまでの労いも兼ねて決起会を催す。皇都を探して、ジョイ、ロスティンスタル、セレスト……そして、父上を呼んできてくれないか。			そこで出陣の前に、これまでの労いも兼ねて決起会を催す。皇都を探して、ジョイ、ロスティンスタル、セレスト……そして、父上を呼んできてくれないか。			照準！ 俺たちの未来							
皇都を探して、ジョイ、ロスティンスタル、セレスト……そして、父上を呼んできてくれないか。			皇都を探して、ジョイ、ロスティンスタル、セレスト……そして、父上を呼んできてくれないか。			照準！ 俺たちの未来							
……決起会だと？先の祝賀会も流れたというのに、懲りないやつだ。			……決起会だと？先の祝賀会も流れたというのに、懲りないやつだ。			照準！ 俺たちの未来							
お前が初めて銃を持つ姿を見て、こいつは化けると直感した。直感に従い、工房に残って本当に良かったと思ってる。お前のおかげで、この戦いに参加できるんだからな……。			お前が初めて銃を持つ姿を見て、こいつは化けると直感した。直感に従い、工房に残って本当に良かったと思ってる。お前のおかげで、この戦いに参加できるんだからな……。			照準！ 俺たちの未来							
この戦いは、工房のためであり、俺のためでもある……。お前には、感謝してもしきれないな。			この戦いは、工房のためであり、俺のためでもある……。お前には、感謝してもしきれないな。			照準！ 俺たちの未来							
……工房ですね、はい、向かいます。あっ、そうだ、Forename様。いい機会ですから、お伝えしておきます……。			……工房ですね、はい、向かいます。あっ、そうだ、Forename様。いい機会ですから、お伝えしておきます……。			照準！ 俺たちの未来							
せっかくForename様のお陰で、工房に戻れたのに……また、失う訳にはいきません。もう選んだ道を閉ざしたくありませんから、がんばります！			せっかくForename様のお陰で、工房に戻れたのに……また、失う訳にはいきません。もう選んだ道を閉ざしたくありませんから、がんばります！			照準！ 俺たちの未来							
……工房で決起会ですって？こりゃ、身が引き締まりますなぁ……。			……工房で決起会ですって？こりゃ、身が引き締まりますなぁ……。			照準！ 俺たちの未来							
あの工房は、あっしら平民の居場所なんです。だから必ず討伐を成し遂げますさぁ……。それが、工房長への恩返しでもありますからね。			あの工房は、あっしら平民の居場所なんです。だから必ず討伐を成し遂げますさぁ……。それが、工房長への恩返しでもありますからね。			照準！ 俺たちの未来							
……なんと私まで決起会に招くとは、息子も変わったものだ。せっかくの申し入れだが、今回は辞退しておこう。もう工房は、息子に任せると決めたのでね。			……なんと私まで決起会に招くとは、息子も変わったものだ。せっかくの申し入れだが、今回は辞退しておこう。もう工房は、息子に任せると決めたのでね。			照準！ 俺たちの未来							
「スカイスチール機工房」の行く末は、作戦の成否で決まる。戦いに勝利し、未来を掴むことができるよう祈っている……息子に、そう伝えてくれ。			「スカイスチール機工房」の行く末は、作戦の成否で決まる。戦いに勝利し、未来を掴むことができるよう祈っている……息子に、そう伝えてくれ。			照準！ 俺たちの未来							
こんな風に、酒を酌み交わすのは久しぶりだ。昔を思い出すが……同じ過ちは繰り返すまい……。			こんな風に、酒を酌み交わすのは久しぶりだ。昔を思い出すが……同じ過ちは繰り返すまい……。			照準！ 俺たちの未来							
Forename様も、たんとおあがりください！お料理もお酒も、運ぶそばから消えてしまいます。全部、旦那様が手配してくださったそうですよ。			Forename様も、たんとおあがりください！お料理もお酒も、運ぶそばから消えてしまいます。全部、旦那様が手配してくださったそうですよ。			照準！ 俺たちの未来							
ああ、うまいなぁ……こんな料理、ひさしぶりでさあ……。おかげで、不安や緊張もやわらぎます……。			ああ、うまいなぁ……こんな料理、ひさしぶりでさあ……。おかげで、不安や緊張もやわらぎます……。			照準！ 俺たちの未来							
Forename、みんなを呼んでくれてありがとう。父上の気持ちは、確かに受け取った……！			Forename、みんなを呼んでくれてありがとう。父上の気持ちは、確かに受け取った……！			照準！ 俺たちの未来							
さあ、みんな、今日は思う存分、楽しんでくれ！そして、「ヴェリシェレン」を必ず討伐しよう！			さあ、みんな、今日は思う存分、楽しんでくれ！そして、「ヴェリシェレン」を必ず討伐しよう！			照準！ 俺たちの未来							
(-工房の機工士たち-)うおーーーー！！			(-工房の機工士たち-)うおーーーー！！			照準！ 俺たちの未来							
皆が、いい目つきをしていてな。君を迎えにやって正解だったみたいだ。			皆が、いい目つきをしていてな。君を迎えにやって正解だったみたいだ。			照準！ 俺たちの未来							
Forename、君という存在はいつだって、工房にいい影響をあたえている……。君が「機工士」となる決意をしてくれたことに、感謝しないとな。			Forename、君という存在はいつだって、工房にいい影響をあたえている……。君が「機工士」となる決意をしてくれたことに、感謝しないとな。			照準！ 俺たちの未来							
次の作戦は、厳しい戦いになるだろうけど、同時に好機だ。君に大いに頼ることになるだろうけど、よろしく頼むよ。……準備を整えたら、クルザス西部高地に向かうとしよう。			次の作戦は、厳しい戦いになるだろうけど、同時に好機だ。君に大いに頼ることになるだろうけど、よろしく頼むよ。……準備を整えたら、クルザス西部高地に向かうとしよう。			照準！ 俺たちの未来							
……準備を整えたら、クルザス西部高地に向かうとしよう。			……準備を整えたら、クルザス西部高地に向かうとしよう。			照準！ 俺たちの未来							
テダルグランシュ、これで「機工士」は揃った。後は、「ヴェリシェレン」の出現を待つばかりだ！			テダルグランシュ、これで「機工士」は揃った。後は、「ヴェリシェレン」の出現を待つばかりだ！			照準！ 俺たちの未来							
こちらが、今回の審査に立ち会う教皇庁の司祭様です。標的を誘き寄せる手はずも、整っていますよ。			こちらが、今回の審査に立ち会う教皇庁の司祭様です。標的を誘き寄せる手はずも、整っていますよ。			照準！ 俺たちの未来							
アドネール占星台の予測によれば、「ヴェリシェレン」は、ほどなく動き出すはず……。囮の輸送部隊を見つければ、必ずや襲ってくるでしょう。			アドネール占星台の予測によれば、「ヴェリシェレン」は、ほどなく動き出すはず……。囮の輸送部隊を見つければ、必ずや襲ってくるでしょう。			照準！ 俺たちの未来							
(-教皇庁の司祭-)「スカイスチール機工房」のみなさんが命がけで戦えば、例え死したとしても、不穏分子ではないと証明されましょう。ただし、無様に逃げ出せば……おわかりですね？			(-教皇庁の司祭-)「スカイスチール機工房」のみなさんが命がけで戦えば、例え死したとしても、不穏分子ではないと証明されましょう。ただし、無様に逃げ出せば……おわかりですね？			照準！ 俺たちの未来							
