シャバーブチェのローデニケは、不安げな表情を浮かべている。			シャバーブチェのローデニケは、不安げな表情を浮かべている。			根雪に包まれて							
ああ、これもイッカクが、片時も眠らずにワタシたちを見守ってくれてるおかげね。その導きに、感謝を！			ああ、これもイッカクが、片時も眠らずにワタシたちを見守ってくれてるおかげね。その導きに、感謝を！			根雪に包まれて							
ワタシはローデニケ。サカ・トラルの北の果てにある、風さえ凍る土地から来たんだ。			ワタシはローデニケ。サカ・トラルの北の果てにある、風さえ凍る土地から来たんだ。			根雪に包まれて							
うちの部族の宝は、「イッカクの祭器」。イッカクは、悠然と海にたゆたいながらも、周囲への警戒を怠らない用心深い動物でね。			うちの部族の宝は、「イッカクの祭器」。イッカクは、悠然と海にたゆたいながらも、周囲への警戒を怠らない用心深い動物でね。			根雪に包まれて							
そのトラルヴィドラールともなると特異な力を持っていて……自分の眠気を他者に移すことで、決して眠ることなく外敵を撃退しつづけたと言われているんだよ。			そのトラルヴィドラールともなると特異な力を持っていて……自分の眠気を他者に移すことで、決して眠ることなく外敵を撃退しつづけたと言われているんだよ。			根雪に包まれて							
つまりね、イッカクの祭器を所持する者は、他人を強制的に眠らせることができるの！			つまりね、イッカクの祭器を所持する者は、他人を強制的に眠らせることができるの！			根雪に包まれて							
その力を悪事に使われたら、大変なことになる。それで、部族イチの勇士「テントーワ」が、祭器を取り返すため、ひとりで海の向こうに渡ったんだ。			その力を悪事に使われたら、大変なことになる。それで、部族イチの勇士「テントーワ」が、祭器を取り返すため、ひとりで海の向こうに渡ったんだ。			根雪に包まれて							
ワタシもついていきたかったんだけど……足手まといになりそうだから、ここで連絡役を。			ワタシもついていきたかったんだけど……足手まといになりそうだから、ここで連絡役を。			根雪に包まれて							
テントーワは昔から向こう見ずで、突っ走ってばかりで。ワタシ、とても心配……。			テントーワは昔から向こう見ずで、突っ走ってばかりで。ワタシ、とても心配……。			根雪に包まれて							
だから向こうのことに詳しくて、戦いにおいても彼を護れる、そういう人に協力を頼めたらって、ブルケブに話してたの。			だから向こうのことに詳しくて、戦いにおいても彼を護れる、そういう人に協力を頼めたらって、ブルケブに話してたの。			根雪に包まれて							
そうそう！向こうと往復してる船乗りが、彼からの手紙を届けてくれたの。犯人は「イシュガルド」という国へ向かったようだ、って……。			そうそう！向こうと往復してる船乗りが、彼からの手紙を届けてくれたの。犯人は「イシュガルド」という国へ向かったようだ、って……。			根雪に包まれて							
いざ犯人と対決することになったとき、独りでは、眠気をもたらされたときに太刀打ちできない……。どうか、彼を追ってイシュガルドへ向かってくれないかな！			いざ犯人と対決することになったとき、独りでは、眠気をもたらされたときに太刀打ちできない……。どうか、彼を追ってイシュガルドへ向かってくれないかな！			根雪に包まれて							
何と言う？			何と言う？			根雪に包まれて							
イシュガルドなら知っている場所だ			イシュガルドなら知っている場所だ			根雪に包まれて							
危険な祭器を放置するわけにはいかない			危険な祭器を放置するわけにはいかない			根雪に包まれて							
ありがとう！よろしくね、Forename！			ありがとう！よろしくね、Forename！			根雪に包まれて							
トライヨラが大変な状況の中、心苦しかったんだけど……引き受けてくれてありがとう！よろしくね、Forename！			トライヨラが大変な状況の中、心苦しかったんだけど……引き受けてくれてありがとう！よろしくね、Forename！			根雪に包まれて							
テントーワはイシュガルドのこと、ほとんど知らないはずだから、まず情報を集めるため、この店みたいな場所に行くと思う。だから、そこに行けば彼の足取りがわかるかも。			テントーワはイシュガルドのこと、ほとんど知らないはずだから、まず情報を集めるため、この店みたいな場所に行くと思う。だから、そこに行けば彼の足取りがわかるかも。			根雪に包まれて							
テントーワの特徴は、ええと……青い髪に、私と同じ部族の装いで、それから剣を差してる。彼が来なかったか、イシュガルドの「酒場」の人に聞いてみて！			テントーワの特徴は、ええと……青い髪に、私と同じ部族の装いで、それから剣を差してる。彼が来なかったか、イシュガルドの「酒場」の人に聞いてみて！			根雪に包まれて							
よう、姉さん兄さん。一杯ひっかけていくかい？			よう、姉さん兄さん。一杯ひっかけていくかい？			根雪に包まれて							
西方の大陸から来た旅人ね……。そう簡単に客の情報を漏らしちゃ酒場の信用に関わるんだが……			西方の大陸から来た旅人ね……。そう簡単に客の情報を漏らしちゃ酒場の信用に関わるんだが……			根雪に包まれて							
ほかならぬお前さんだし、話を聞くかぎり、今回は教えてやってもよさそうだ。			ほかならぬお前さんだし、話を聞くかぎり、今回は教えてやってもよさそうだ。			根雪に包まれて							
元気のいい異国の青年がひとり、たしかにウチへ来た。宝を盗んだ奴を探してるとかで、手当たり次第に客を捕まえては、犯人の風体を説明して、見かけてないか聞いてまわってたよ。			元気のいい異国の青年がひとり、たしかにウチへ来た。宝を盗んだ奴を探してるとかで、手当たり次第に客を捕まえては、犯人の風体を説明して、見かけてないか聞いてまわってたよ。			根雪に包まれて							
あいにく、ここでは空振りだったようで、ほかに人が集まる場所はどこかと尋ねられてな。			あいにく、ここでは空振りだったようで、ほかに人が集まる場所はどこかと尋ねられてな。			根雪に包まれて							
だから「宝杖通り」のことを教えてやったんだ。そいつに会いたいなら、お前さんも向かってみるといい。			だから「宝杖通り」のことを教えてやったんだ。そいつに会いたいなら、お前さんも向かってみるといい。			根雪に包まれて							
西方の大陸から来たらしい青年なら、「宝杖通り」にいるかもな。そいつに会いたいなら、お前さんも向かってみるといい。			西方の大陸から来たらしい青年なら、「宝杖通り」にいるかもな。そいつに会いたいなら、お前さんも向かってみるといい。			根雪に包まれて							
(-異国風の青年-)クソッ、犯人の目撃情報を聞きたいだけなのに。レイギだとかなんとかって、頭が固い人が多いな……。			(-異国風の青年-)クソッ、犯人の目撃情報を聞きたいだけなのに。レイギだとかなんとかって、頭が固い人が多いな……。			根雪に包まれて							
えっ？オレがテントーワだけど……オマエ、なんでオレの名前を知ってるんだ？			えっ？オレがテントーワだけど……オマエ、なんでオレの名前を知ってるんだ？			根雪に包まれて							
ローデニケから協力を頼まれたって？うわ、すごい助かるよ！			ローデニケから協力を頼まれたって？うわ、すごい助かるよ！			根雪に包まれて							
実はさ、聞き込みがあんまりうまくいってなかったんだ。「それが人にものを尋ねる態度か」って怒る人もいて……ウチの集落じゃ、これが普通なんだけどな～。			実はさ、聞き込みがあんまりうまくいってなかったんだ。「それが人にものを尋ねる態度か」って怒る人もいて……ウチの集落じゃ、これが普通なんだけどな～。			根雪に包まれて							
犯人がイシュガルドまで来たのは間違いない。盗んだ祭器で何か事件を起こすと思ってたんだけど、今のところ、特に被害は出てないみたいだ。			犯人がイシュガルドまで来たのは間違いない。盗んだ祭器で何か事件を起こすと思ってたんだけど、今のところ、特に被害は出てないみたいだ。			根雪に包まれて							
だから手がかりと言えば、その外見くらいで……って、そうだ、オマエにも教えておかなきゃ。			だから手がかりと言えば、その外見くらいで……って、そうだ、オマエにも教えておかなきゃ。			根雪に包まれて							
犯人は、エレゼンっていう種族の女性だ。赤い髪と鳶色の瞳が印象的で、額に目立つ傷がひとつ……あとは口元にほくろがあったな。			犯人は、エレゼンっていう種族の女性だ。赤い髪と鳶色の瞳が印象的で、額に目立つ傷がひとつ……あとは口元にほくろがあったな。			根雪に包まれて							
ソイツは、オレの故郷を訪れて、祭器を研究してる学者だとか言って近づいてきた。名前は言わなかったから知らない。			ソイツは、オレの故郷を訪れて、祭器を研究してる学者だとか言って近づいてきた。名前は言わなかったから知らない。			根雪に包まれて							
うちの部族は、昨年の大寒波のせいで食料が不足しててさ。大量の肉や野菜、果実を手土産に渡されたもんだから、ついつい受け容れちゃったんだよ。			うちの部族は、昨年の大寒波のせいで食料が不足しててさ。大量の肉や野菜、果実を手土産に渡されたもんだから、ついつい受け容れちゃったんだよ。			根雪に包まれて							
けど実際は、祭器を狙う盗人だったってわけ。思えば、学者を名乗っておきながら、ずいぶん隙のない身のこなしで、剣術に長けてそうではあった。			けど実際は、祭器を狙う盗人だったってわけ。思えば、学者を名乗っておきながら、ずいぶん隙のない身のこなしで、剣術に長けてそうではあった。			根雪に包まれて							
辺境をひとりで旅するためには、必要な力ではあるのかと、そのときは気にも留めなかったんだけど……。さすがに、もっと警戒しておくべきだったな。			辺境をひとりで旅するためには、必要な力ではあるのかと、そのときは気にも留めなかったんだけど……。さすがに、もっと警戒しておくべきだったな。			根雪に包まれて							
犯人の情報は、そんなところ。今の話から、どこへ当たりをつけて探せばいいのか、思い浮かぶことはないか？			犯人の情報は、そんなところ。今の話から、どこへ当たりをつけて探せばいいのか、思い浮かぶことはないか？			根雪に包まれて							
何と言う？			何と言う？			根雪に包まれて							
学者なら聖ガンリオル占星院に関わりがあるかも			学者なら聖ガンリオル占星院に関わりがあるかも			根雪に包まれて							
罪を犯したなら聖レマノー大聖堂で懺悔を……			罪を犯したなら聖レマノー大聖堂で懺悔を……			根雪に包まれて							
剣術に長けた者なら神殿騎士団が知っているかも			剣術に長けた者なら神殿騎士団が知っているかも			根雪に包まれて							
ああ、たしかに学者と名乗ってはいたんだけど、それはオレたちを油断させるための嘘だったと思ってる。だからきっと、関係ないと思うんだよな。			ああ、たしかに学者と名乗ってはいたんだけど、それはオレたちを油断させるための嘘だったと思ってる。だからきっと、関係ないと思うんだよな。			根雪に包まれて							
ザンゲって……後悔とか、反省とかってことだろ？どう見てもアイツはそんなことする人間じゃなかったぞ……			ザンゲって……後悔とか、反省とかってことだろ？どう見てもアイツはそんなことする人間じゃなかったぞ……			根雪に包まれて							
キシって、街のあちこちにいる剣の使い手たちのことか。たくさんいるけど、誰に聞けばいいんだ？			キシって、街のあちこちにいる剣の使い手たちのことか。たくさんいるけど、誰に聞けばいいんだ？			根雪に包まれて							
さっきの酒場のすぐ隣に、そいつらの詰所があったって？ありがとう、それじゃそこに行ってみよう！			さっきの酒場のすぐ隣に、そいつらの詰所があったって？ありがとう、それじゃそこに行ってみよう！			根雪に包まれて							
ここが神殿騎士たちの詰所だよな？この人に話を聞いてみよう！			ここが神殿騎士たちの詰所だよな？この人に話を聞いてみよう！			根雪に包まれて							
これは、Forename殿。神殿騎士団に何か御用でしょうか？			これは、Forename殿。神殿騎士団に何か御用でしょうか？			根雪に包まれて							
「自由の扉」なる組織の一員が、西方の大陸で、危険な力を秘めた祭器という宝を盗んだ。そして今、イシュガルドに潜伏しているかもしれない、と……。			「自由の扉」なる組織の一員が、西方の大陸で、危険な力を秘めた祭器という宝を盗んだ。そして今、イシュガルドに潜伏しているかもしれない、と……。			根雪に包まれて							
貴重な情報提供、誠に感謝いたします。皇都に脅威が迫っているというのであれば、我々神殿騎士団も、犯人確保に協力しないわけにはいきませんね。			貴重な情報提供、誠に感謝いたします。皇都に脅威が迫っているというのであれば、我々神殿騎士団も、犯人確保に協力しないわけにはいきませんね。			根雪に包まれて							
ありがとう！それで、犯人について何か心当たりはないか？			ありがとう！それで、犯人について何か心当たりはないか？			根雪に包まれて							
赤毛のエレゼン族の女性、でしたか。それに、鳶色の瞳と……			赤毛のエレゼン族の女性、でしたか。それに、鳶色の瞳と……			根雪に包まれて							
待てよ、額に傷があって、口元にほくろ？もしや……。			待てよ、額に傷があって、口元にほくろ？もしや……。			根雪に包まれて							
知ってるのか！？			知ってるのか！？			根雪に包まれて							
いや、その……我々の面子に関わる問題がありまして。外の方に話して良いものかどうか……。			いや、その……我々の面子に関わる問題がありまして。外の方に話して良いものかどうか……。			根雪に包まれて							
メンツってなんだ……？それって、皆の命よりも大事にしなきゃいけないものなのか？			メンツってなんだ……？それって、皆の命よりも大事にしなきゃいけないものなのか？			根雪に包まれて							
オレのことは信用してくれなくてもいい。けど、それで皆が危険な目に遭うのはイヤだ！			オレのことは信用してくれなくてもいい。けど、それで皆が危険な目に遭うのはイヤだ！			根雪に包まれて							
何と言う？			何と言う？			根雪に包まれて							
彼に協力する自分を信じてもらえないか？			彼に協力する自分を信じてもらえないか？			根雪に包まれて							
「自由の扉」の活動は危険だ			「自由の扉」の活動は危険だ			根雪に包まれて							
かつて竜詩戦争を終結に導き、人と竜がともに歩む世をもたらした英雄殿がそうまで仰るとは。			かつて竜詩戦争を終結に導き、人と竜がともに歩む世をもたらした英雄殿がそうまで仰るとは。			根雪に包まれて							
テントーワ殿、でしたね。互いの文化は違えど、他者を思いやるその心は本物。我々も、あなたを信じましょう。			テントーワ殿、でしたね。互いの文化は違えど、他者を思いやるその心は本物。我々も、あなたを信じましょう。			根雪に包まれて							
面子にこだわっている状況ではない、と……。幾度もの危機を乗り越えてきた貴殿がそうまで仰るとは。			面子にこだわっている状況ではない、と……。幾度もの危機を乗り越えてきた貴殿がそうまで仰るとは。			根雪に包まれて							
えっと……それで犯人のこと、何か知ってるのか？			えっと……それで犯人のこと、何か知ってるのか？			根雪に包まれて							
先ほどの話を聞いて、思い浮かぶ人物がひとり……。元神殿騎士の「レオフィーヌ」です。			先ほどの話を聞いて、思い浮かぶ人物がひとり……。元神殿騎士の「レオフィーヌ」です。			根雪に包まれて							
誇り高き神殿騎士団にとって、彼女の存在はまさに汚点。数年前に不名誉除隊をして以来、その行方はようとして知れず……。			誇り高き神殿騎士団にとって、彼女の存在はまさに汚点。数年前に不名誉除隊をして以来、その行方はようとして知れず……。			根雪に包まれて							
今や国家転覆を目論む危険な組織に身を寄せているとあらば、神殿騎士団の威信にかけて、彼女を逮捕する必要がありましょう。			今や国家転覆を目論む危険な組織に身を寄せているとあらば、神殿騎士団の威信にかけて、彼女を逮捕する必要がありましょう。			根雪に包まれて							
騎士団の上層部にもこの件を共有し、今後の対策について協議するようにいたします。何かわかりましたら早急にお報せしますので、しばしお待ちを。			騎士団の上層部にもこの件を共有し、今後の対策について協議するようにいたします。何かわかりましたら早急にお報せしますので、しばしお待ちを。			根雪に包まれて							
うわ、ホントに？ぜひ頼むよ、ありがとな！			うわ、ホントに？ぜひ頼むよ、ありがとな！			根雪に包まれて							
それじゃForename。今後のこと、ちょっとあっちで話そう。			それじゃForename。今後のこと、ちょっとあっちで話そう。			根雪に包まれて							
すぐに騎士団上層部にも情報を共有し、今後の対策について協議するようにいたします！			すぐに騎士団上層部にも情報を共有し、今後の対策について協議するようにいたします！			根雪に包まれて							
犯人の正体が、レオフィーヌとかいう、この国出身の騎士だったってことはさぁ……。隠れ場所にも詳しいだろうから、闇雲に探してもダメそうだ。			犯人の正体が、レオフィーヌとかいう、この国出身の騎士だったってことはさぁ……。隠れ場所にも詳しいだろうから、闇雲に探してもダメそうだ。			根雪に包まれて							
オレはまだこっちの事情に疎い。だから、神殿騎士団から情報が入るまで、できるかぎり街の中を回って勉強しておくよ。			オレはまだこっちの事情に疎い。だから、神殿騎士団から情報が入るまで、できるかぎり街の中を回って勉強しておくよ。			根雪に包まれて							
オマエはいつでも動けるように準備をしておいてくれ。これからよろしくな！			オマエはいつでも動けるように準備をしておいてくれ。これからよろしくな！			根雪に包まれて							
聖バルロアイアン広場のテントーワは、人々を観察しているようだ。			聖バルロアイアン広場のテントーワは、人々を観察しているようだ。			眠らずの勇士							
テントーワと話した。レオフィーヌらしき人物が目撃されたという情報が入った。クルザス中央高地のキャンプ・ドラゴンヘッドにいる「ウジェノア」と話そう。			テントーワと話した。レオフィーヌらしき人物が目撃されたという情報が入った。クルザス中央高地のキャンプ・ドラゴンヘッドにいる「ウジェノア」と話そう。			眠らずの勇士							
ウジェノアと話した。移動中の補給部隊が魔物に襲われたらしい。クルザス中央高地のアドネール占星台から西の街道沿いにいる「テントーワ」と話そう。			ウジェノアと話した。移動中の補給部隊が魔物に襲われたらしい。クルザス中央高地のアドネール占星台から西の街道沿いにいる「テントーワ」と話そう。			眠らずの勇士							
テントーワと話した。アドネール占星台から西の街道沿いを探し、「ハングリー・シルバーウルフ」を討伐しよう。			テントーワと話した。アドネール占星台から西の街道沿いを探し、「ハングリー・シルバーウルフ」を討伐しよう。			眠らずの勇士							
ハングリー・シルバーウルフを討伐した。アドネール占星台から西の街道沿いにいる「フォルタン家の騎兵」を救助しよう。			ハングリー・シルバーウルフを討伐した。アドネール占星台から西の街道沿いにいる「フォルタン家の騎兵」を救助しよう。			眠らずの勇士							
フォルタン家の騎兵を救助した。イシュガルドの神殿騎士団本部付近にいる「フィルマルベル」と話そう。			フォルタン家の騎兵を救助した。イシュガルドの神殿騎士団本部付近にいる「フィルマルベル」と話そう。			眠らずの勇士							
フィルマルベルと話した。聖バルロアイアン広場の「テントーワ」と話そう。			フィルマルベルと話した。聖バルロアイアン広場の「テントーワ」と話そう。			眠らずの勇士							
テントーワと話した。補給部隊が襲われた一件には、イッカクの祭器が関係している可能性が高そうだ。神殿騎士団からレオフィーヌに関する続報が入るのを待とう。※いずれかのTANKジョブのレベルが94以上になると、聖バルロアイアン広場のテントーワから次のTANKロールクエストを受注することができます。			テントーワと話した。補給部隊が襲われた一件には、イッカクの祭器が関係している可能性が高そうだ。神殿騎士団からレオフィーヌに関する続報が入るのを待とう。※いずれかのTANKジョブのレベルが94以上になると、聖バルロアイアン広場のテントーワから次のTANKロールクエストを受注することができます。			眠らずの勇士							
キャンプ・ドラゴンヘッドのウジェノアと話す			キャンプ・ドラゴンヘッドのウジェノアと話す			眠らずの勇士							
テントーワと話す			テントーワと話す			眠らずの勇士							
補給部隊を探し、ハングリー・シルバーウルフを討伐			補給部隊を探し、ハングリー・シルバーウルフを討伐			眠らずの勇士							
フォルタン家の騎兵を救助			フォルタン家の騎兵を救助			眠らずの勇士							
イシュガルドのフィルマルベルと話す			イシュガルドのフィルマルベルと話す			眠らずの勇士							
テントーワと話す			テントーワと話す			眠らずの勇士							
すぐに騎士団上層部にも情報を共有し、今後の対策について協議するようにいたします！			すぐに騎士団上層部にも情報を共有し、今後の対策について協議するようにいたします！			眠らずの勇士							
ああ、Forename。街の人々の様子を観察して、寝てる人がいないかなって探してたんだ。			ああ、Forename。街の人々の様子を観察して、寝てる人がいないかなって探してたんだ。			眠らずの勇士							
もっとも、こんな寒空の下、道端で居眠りする人なんていない。酔っぱらった酒場の客でさえ、きちんと家に帰ってる。			もっとも、こんな寒空の下、道端で居眠りする人なんていない。酔っぱらった酒場の客でさえ、きちんと家に帰ってる。			眠らずの勇士							
だからこそ、表で寝っ転がってる人がいたら異常事態！イッカクの祭器の力で眠らされたと考えていいと思う。			だからこそ、表で寝っ転がってる人がいたら異常事態！イッカクの祭器の力で眠らされたと考えていいと思う。			眠らずの勇士							
宝を盗むような悪党が、その力を使わずにいるだなんて思えない。犠牲者が出る前に捕まえられたらいいんだけど……。			宝を盗むような悪党が、その力を使わずにいるだなんて思えない。犠牲者が出る前に捕まえられたらいいんだけど……。			眠らずの勇士							
Forename殿、テントーワ殿！			Forename殿、テントーワ殿！			眠らずの勇士							
レオフィーヌの人相書きを作成し、各地に手配したところ、さっそく目撃情報が寄せられました。			レオフィーヌの人相書きを作成し、各地に手配したところ、さっそく目撃情報が寄せられました。			眠らずの勇士							
本当か！どこ、どこ！？			本当か！どこ、どこ！？			眠らずの勇士							
場所は、キャンプ・ドラゴンヘッドの付近です。巡回中の歩哨が、赤髪で額に傷があるという、よく似た特徴の女とすれ違ったのだとか。			場所は、キャンプ・ドラゴンヘッドの付近です。巡回中の歩哨が、赤髪で額に傷があるという、よく似た特徴の女とすれ違ったのだとか。			眠らずの勇士							
キャンプ・ドラゴンヘッドは、聖徒門を出て、東に向かったところにあります。詳しくは、現地にいる「ウジェノア」にお尋ねください。			キャンプ・ドラゴンヘッドは、聖徒門を出て、東に向かったところにあります。詳しくは、現地にいる「ウジェノア」にお尋ねください。			眠らずの勇士							
やっぱりこの近辺にいたんだな。すぐに向かおう！			やっぱりこの近辺にいたんだな。すぐに向かおう！			眠らずの勇士							
レオフィーヌらしき人物が目撃されたのは、キャンプ・ドラゴンヘッドの付近です。詳しくは、当直の「ウジェノア」にお尋ねください。			レオフィーヌらしき人物が目撃されたのは、キャンプ・ドラゴンヘッドの付近です。詳しくは、当直の「ウジェノア」にお尋ねください。			眠らずの勇士							
なあ、この人がそうだろ？早く話を聞こう！			なあ、この人がそうだろ？早く話を聞こう！			眠らずの勇士							
む、貴殿は……。ああ、神殿騎士団より回ってきた人相書きの件だな。			む、貴殿は……。ああ、神殿騎士団より回ってきた人相書きの件だな。			眠らずの勇士							
よく似た人物が、街道沿いに南へ向かっていたと報告があった。それ以降の足取りについてはわかっていないが……。			よく似た人物が、街道沿いに南へ向かっていたと報告があった。それ以降の足取りについてはわかっていないが……。			眠らずの勇士							
こちらキャンプ・ドラゴンヘッド。			こちらキャンプ・ドラゴンヘッド。			眠らずの勇士							
なにッ！？わかった、なんとか持ちこたえてくれ！			なにッ！？わかった、なんとか持ちこたえてくれ！			眠らずの勇士							
何かあったのか？			何かあったのか？			眠らずの勇士							
移動中の補給部隊が、魔物に襲われて窮地に陥っているようだ。本件は神殿騎士が直々に護衛についているのだが、いったいなぜそのようなことに……。			移動中の補給部隊が、魔物に襲われて窮地に陥っているようだ。本件は神殿騎士が直々に護衛についているのだが、いったいなぜそのようなことに……。			眠らずの勇士							
今はレオフィーヌのことは後だ、オレたちが助けにいこう！			今はレオフィーヌのことは後だ、オレたちが助けにいこう！			眠らずの勇士							
それはありがたい！連絡があったのはアドネール占星台から西の街道沿い……救助部隊に先行して向かってもらえると助かる！			それはありがたい！連絡があったのはアドネール占星台から西の街道沿い……救助部隊に先行して向かってもらえると助かる！			眠らずの勇士							
現場はアドネール占星台から西の街道沿いのようだ。我々もすぐに救助部隊を編成して現場へ駆けつけるので、ひと足先に向かってくれると助かる！			現場はアドネール占星台から西の街道沿いのようだ。我々もすぐに救助部隊を編成して現場へ駆けつけるので、ひと足先に向かってくれると助かる！			眠らずの勇士							
魔物に襲われてるのは、このあたりだよな？			魔物に襲われてるのは、このあたりだよな？			眠らずの勇士							
オレは川の向こう側まで行ってみるから、オマエはこのまま街道沿いを進んで探してみてくれ！			オレは川の向こう側まで行ってみるから、オマエはこのまま街道沿いを進んで探してみてくれ！			眠らずの勇士							
た、助かりました。あなたが来てくださらなければ、どうなっていたことか……。			た、助かりました。あなたが来てくださらなければ、どうなっていたことか……。			眠らずの勇士							
とおりゃああああ！			とおりゃああああ！			眠らずの勇士							
よっし、間に合ったー！			よっし、間に合ったー！			眠らずの勇士							
「眠らずの勇士」が、オマエに安らかなる眠りを与えん……。			「眠らずの勇士」が、オマエに安らかなる眠りを与えん……。			眠らずの勇士							
何と言う？			何と言う？			眠らずの勇士							
手遅れだったみたいだ			手遅れだったみたいだ			眠らずの勇士							
護れなかった……			護れなかった……			眠らずの勇士							
あ、いえ、そこの彼らは……ただ、眠ってるだけです。			あ、いえ、そこの彼らは……ただ、眠ってるだけです。			眠らずの勇士							
やっぱりそうか……。			やっぱりそうか……。			眠らずの勇士							
街道を走行中、突如チョコボがフラフラと蛇行してしまい、事故を起こしてしまって。ここで自分がキャリッジの修理を行っておりました。			街道を走行中、突如チョコボがフラフラと蛇行してしまい、事故を起こしてしまって。ここで自分がキャリッジの修理を行っておりました。			眠らずの勇士							
その間、神殿騎士に周囲を見張ってもらっていたのですが、いつの間にか彼らは居眠りをしていたようなのです。そんな折に魔物に襲われたものだから、一人では応戦できず……。			その間、神殿騎士に周囲を見張ってもらっていたのですが、いつの間にか彼らは居眠りをしていたようなのです。そんな折に魔物に襲われたものだから、一人では応戦できず……。			眠らずの勇士							
お～い、起きろ～。こんなとこで寝たら死ぬぞ～。			お～い、起きろ～。こんなとこで寝たら死ぬぞ～。			眠らずの勇士							
うっ……な、なんだ……？			うっ……な、なんだ……？			眠らずの勇士							
うーむ……。我らが護衛中に居眠りをしていた、と？			うーむ……。我らが護衛中に居眠りをしていた、と？			眠らずの勇士							
いや、栄えある神殿騎士の称号を賜りし我らにかぎって、そのような恥ずべき振る舞いをするなど、考えられん……。			いや、栄えある神殿騎士の称号を賜りし我らにかぎって、そのような恥ずべき振る舞いをするなど、考えられん……。			眠らずの勇士							
そうは仰るが！現に、貴殿らは魔物を前にして眠っておったのです！			そうは仰るが！現に、貴殿らは魔物を前にして眠っておったのです！			眠らずの勇士							
私からの救援要請を受けた本隊が、英雄殿たちを寄越してくれたからよかったものの……。この件は、厳重に抗議させていただく！			私からの救援要請を受けた本隊が、英雄殿たちを寄越してくれたからよかったものの……。この件は、厳重に抗議させていただく！			眠らずの勇士							
ちょっと、待ってくれよ。ふたりが寝てたのは祭器のせいで……			ちょっと、待ってくれよ。ふたりが寝てたのは祭器のせいで……			眠らずの勇士							
いや、今言っても混乱させるだけか。ゴメン、なんでもない。			いや、今言っても混乱させるだけか。ゴメン、なんでもない。			眠らずの勇士							
チョコボもすっかり落ち着いた様子なので、修理が完了し次第、輸送を再開します。あとは大丈夫でしょうから、英雄殿はお戻りを。			チョコボもすっかり落ち着いた様子なので、修理が完了し次第、輸送を再開します。あとは大丈夫でしょうから、英雄殿はお戻りを。			眠らずの勇士							
突然フラフラしたケモノに、居眠りをした見張り。……イッカクの祭器が使われたのは間違いない。			突然フラフラしたケモノに、居眠りをした見張り。……イッカクの祭器が使われたのは間違いない。			眠らずの勇士							
けど、レオフィーヌはもう近くにはいないみたいだ。まずは街に帰ろう。			けど、レオフィーヌはもう近くにはいないみたいだ。まずは街に帰ろう。			眠らずの勇士							
本隊からの応援もこちらに向かっているそうです。あとは大丈夫でしょうから、英雄殿はお戻りを。			本隊からの応援もこちらに向かっているそうです。あとは大丈夫でしょうから、英雄殿はお戻りを。			眠らずの勇士							
