ミーン工芸館のケシ・レイは、調達科の受付をしているようだ。			ミーン工芸館のケシ・レイは、調達科の受付をしているようだ。			幻の巨大生物を追え！							
調達科の仕事は、資源を集めることだけじゃない。ノルヴラント中のすべての資源を把握し、これ以上永遠に失われないように、管理するのも仕事なんだよ。			調達科の仕事は、資源を集めることだけじゃない。ノルヴラント中のすべての資源を把握し、これ以上永遠に失われないように、管理するのも仕事なんだよ。			幻の巨大生物を追え！							
なにせこんな世界で、誰も彼も、好き勝手に採集をしていたら、あっという間に資源が枯渇してしまうからね。			なにせこんな世界で、誰も彼も、好き勝手に採集をしていたら、あっという間に資源が枯渇してしまうからね。			幻の巨大生物を追え！							
資源を把握するっていう点では……「光の氾濫」以前の文献にあった、「博物学」って学問に近いかもね。			資源を把握するっていう点では……「光の氾濫」以前の文献にあった、「博物学」って学問に近いかもね。			幻の巨大生物を追え！							
今も昔も、未知の動植物や鉱石に出会うと、胸の高鳴りを抑えられないのが、人の性ってことさ……！うぇへへ、うぇへへへへ！			今も昔も、未知の動植物や鉱石に出会うと、胸の高鳴りを抑えられないのが、人の性ってことさ……！うぇへへ、うぇへへへへ！			幻の巨大生物を追え！							
科長は熱中すると変な笑い声をあげるし、すぐサボるのに……調達科からも、園芸館の研究員からも、資源の取引先からも、人望が厚いみたいなんですよね。			科長は熱中すると変な笑い声をあげるし、すぐサボるのに……調達科からも、園芸館の研究員からも、資源の取引先からも、人望が厚いみたいなんですよね。			幻の巨大生物を追え！							
まあ、たしかに、このクリスタリウムの物資が、どうにか工面できているのは、資源への知識が豊富な科長のおかげですけど……			まあ、たしかに、このクリスタリウムの物資が、どうにか工面できているのは、資源への知識が豊富な科長のおかげですけど……			幻の巨大生物を追え！							
私からしてみれば、珍しい動植物や鉱石を集めては、分析を丸投げしてくる……わがまますぎる、ダメな大人ですよ。			私からしてみれば、珍しい動植物や鉱石を集めては、分析を丸投げしてくる……わがまますぎる、ダメな大人ですよ。			幻の巨大生物を追え！							
さっきだって、分析結果を届けにいこうとしたら、外に飛び出していこうとしてるし……戦闘員じゃないのにひとりで外へ出るなんて、危険ですよね！			さっきだって、分析結果を届けにいこうとしたら、外に飛び出していこうとしてるし……戦闘員じゃないのにひとりで外へ出るなんて、危険ですよね！			幻の巨大生物を追え！							
最近は「シムーン」という古代生物にお熱で……。幻の生物なのに、調べにいきたいって聞かないんですよ。まったく、子どもじゃないんだから……。			最近は「シムーン」という古代生物にお熱で……。幻の生物なのに、調べにいきたいって聞かないんですよ。まったく、子どもじゃないんだから……。			幻の巨大生物を追え！							
もうっ、ヤラーナは私のお母さんじゃないんだからさ！そんなに口うるさくしてると、シワができるよ！			もうっ、ヤラーナは私のお母さんじゃないんだからさ！そんなに口うるさくしてると、シワができるよ！			幻の巨大生物を追え！							
Forename、「ミーン工芸館」へ逃げよう！ここにいたら、ヤラーナの実験材料にされちゃうよ！			Forename、「ミーン工芸館」へ逃げよう！ここにいたら、ヤラーナの実験材料にされちゃうよ！			幻の巨大生物を追え！							
あーーーー！　また逃げるーーーーーー！せめて工芸館の方では、ちゃんと仕事してくださいよー！？			あーーーー！　また逃げるーーーーーー！せめて工芸館の方では、ちゃんと仕事してくださいよー！？			幻の巨大生物を追え！							
わ、私は知り合いを実験材料になんてしませんよっ！？「ミーン工芸館」の「ケシ・レイ」科長にも、あとでちゃんと訂正しないとっ！			わ、私は知り合いを実験材料になんてしませんよっ！？「ミーン工芸館」の「ケシ・レイ」科長にも、あとでちゃんと訂正しないとっ！			幻の巨大生物を追え！							
あははっ！　よかった、逃げ切れたみたいね！まったくヤラーナは、頭がちょっと硬いんだよな。古代生物のロマンってものが、わかってない！			あははっ！　よかった、逃げ切れたみたいね！まったくヤラーナは、頭がちょっと硬いんだよな。古代生物のロマンってものが、わかってない！			幻の巨大生物を追え！							
そうだ、君は「シムーン」を知らないんだっけ。シムーンは、モルド族の間で伝わる、巨大な生物の名前だよ。			そうだ、君は「シムーン」を知らないんだっけ。シムーンは、モルド族の間で伝わる、巨大な生物の名前だよ。			幻の巨大生物を追え！							
アム・アレーンのあたりに、巨大な骨があってね。それの持ち主じゃないかって言われているんだが……なんと、誰も姿を見たことがないのさ！			アム・アレーンのあたりに、巨大な骨があってね。それの持ち主じゃないかって言われているんだが……なんと、誰も姿を見たことがないのさ！			幻の巨大生物を追え！							
踏みつぶされそうになったとか、舌でなめられたとか、目撃証言はたまに耳に入るけど、どれも怪談めいたものばかりでね……。			踏みつぶされそうになったとか、舌でなめられたとか、目撃証言はたまに耳に入るけど、どれも怪談めいたものばかりでね……。			幻の巨大生物を追え！							
でも最近、園芸館の研究員のひとりが採掘に同行したときに、その骨の近くで、「シムーン」らしき巨大生物を、見たって言うんだよ！			でも最近、園芸館の研究員のひとりが採掘に同行したときに、その骨の近くで、「シムーン」らしき巨大生物を、見たって言うんだよ！			幻の巨大生物を追え！							
誰も姿を見たことのない謎の巨大生物なんて、ロマンの塊だよね、君も見つけたいに決まってるよね！うんうん、わかるわかる！			誰も姿を見たことのない謎の巨大生物なんて、ロマンの塊だよね、君も見つけたいに決まってるよね！うんうん、わかるわかる！			幻の巨大生物を追え！							
よしでは、君をシムーン捜索隊の隊長に任命しよう！見たところ、腕っぷしも採集の知識もありそうだしね！			よしでは、君をシムーン捜索隊の隊長に任命しよう！見たところ、腕っぷしも採集の知識もありそうだしね！			幻の巨大生物を追え！							
これは断じて、趣味でも遊びでもない……。生態調査は資源管理にとっても重要だと断言しよう！もちろん私も、捜索隊の参謀として協力するから安心して！			これは断じて、趣味でも遊びでもない……。生態調査は資源管理にとっても重要だと断言しよう！もちろん私も、捜索隊の参謀として協力するから安心して！			幻の巨大生物を追え！							
さあ、「アム・アレーン」に向かい、「野生生物の痕跡」をいくつか集めてきてくれたまえ！冒険の片手間でもいいから、ねっ、よろしく頼んだよ！			さあ、「アム・アレーン」に向かい、「野生生物の痕跡」をいくつか集めてきてくれたまえ！冒険の片手間でもいいから、ねっ、よろしく頼んだよ！			幻の巨大生物を追え！							
「調達科」のミーン工芸館取引が開放されました！依頼されたアイテムをケシ・レイに納品し、貢献していきましょう！			「調達科」のミーン工芸館取引が開放されました！依頼されたアイテムをケシ・レイに納品し、貢献していきましょう！			幻の巨大生物を追え！							
ミーン工芸館のケシ・レイは、シムーンについて考察したいようだ。			ミーン工芸館のケシ・レイは、シムーンについて考察したいようだ。			幻の生物シムーンは実在した！？							
リダ・ラーンでマオ・ラッドの目撃情報を集める			リダ・ラーンでマオ・ラッドの目撃情報を集める			幻の生物シムーンは実在した！？							
ケシ・レイと話す			ケシ・レイと話す			幻の生物シムーンは実在した！？							
マオ・ラッドを探す			マオ・ラッドを探す			幻の生物シムーンは実在した！？							
ティム・グースで古代生物の皮膚片を採集古代生物の皮膚片をケシ・レイに納品			ティム・グースで古代生物の皮膚片を採集古代生物の皮膚片をケシ・レイに納品			幻の生物シムーンは実在した！？							
ミーン工芸館のケシ・レイと話す			ミーン工芸館のケシ・レイと話す			幻の生物シムーンは実在した！？							
本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「アクトラ・オルワ・イン」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「アクトラ・オルワ・イン」を完了する必要があります。			幻の生物シムーンは実在した！？							
よーし、痕跡は順調に集まっているのに、相変わらずシムーンの本体が、見つからない理由を、改めて考えてみようか！			よーし、痕跡は順調に集まっているのに、相変わらずシムーンの本体が、見つからない理由を、改めて考えてみようか！			幻の生物シムーンは実在した！？							
はぁ、はぁ……ケ、ケシ・レイ科長……！大変です……！			はぁ、はぁ……ケ、ケシ・レイ科長……！大変です……！			幻の生物シムーンは実在した！？							
ヤラーナ、大丈夫かい……！頭脳労働者が全力疾走なんて、自殺行為だよ……！			ヤラーナ、大丈夫かい……！頭脳労働者が全力疾走なんて、自殺行為だよ……！			幻の生物シムーンは実在した！？							
だ、だめですが……それどころではないんです……！マオ・ラッドが、ひとりでシムーンを探しに、イル・メグへ向かってしまったんです！			だ、だめですが……それどころではないんです……！マオ・ラッドが、ひとりでシムーンを探しに、イル・メグへ向かってしまったんです！			幻の生物シムーンは実在した！？							
なんだってー！？			なんだってー！？			幻の生物シムーンは実在した！？							
ほかの研究員がマオに対して、「お前がシムーンなど非現実的なことを吹聴したせいで、　ケシ・レイ科長まで愚かになってしまった」と言ったんです。			ほかの研究員がマオに対して、「お前がシムーンなど非現実的なことを吹聴したせいで、　ケシ・レイ科長まで愚かになってしまった」と言ったんです。			幻の生物シムーンは実在した！？							
それにマオはひどく反発して、飛び出していって……。でも、身を護る心得のない研究員が、ひとりで外に出るなんて、無謀すぎます……！			それにマオはひどく反発して、飛び出していって……。でも、身を護る心得のない研究員が、ひとりで外に出るなんて、無謀すぎます……！			幻の生物シムーンは実在した！？							
よりにもよって、イル・メグだなんて……！妖精たちに惑わされて、命を落とす危険だってあるんだぞ！すぐにでも連れ戻しに行かないと！			よりにもよって、イル・メグだなんて……！妖精たちに惑わされて、命を落とす危険だってあるんだぞ！すぐにでも連れ戻しに行かないと！			幻の生物シムーンは実在した！？							
待ってください、科長！そんなことしたら、我々まで妖精に惑わされる可能性も……！			待ってください、科長！そんなことしたら、我々まで妖精に惑わされる可能性も……！			幻の生物シムーンは実在した！？							
Forenameくんがいるから、大丈夫。君は、イル・メグの妖精とも親しいんだよね？案内を頼めるかい？			Forenameくんがいるから、大丈夫。君は、イル・メグの妖精とも親しいんだよね？案内を頼めるかい？			幻の生物シムーンは実在した！？							
なるほど、イル・メグの南にある集落、「リダ・ラーン」のピクシーたちと親交があると……。それならマオの姿を見てないか、聞き込みをお願いしたいです！			なるほど、イル・メグの南にある集落、「リダ・ラーン」のピクシーたちと親交があると……。それならマオの姿を見てないか、聞き込みをお願いしたいです！			幻の生物シムーンは実在した！？							
じゃあ私たちはイル・メグの入口あたりでマオを探そう。すまないけど、情報が集まったら合流してくれるかな？マオの命がかかってるから……よろしく頼むよ！			じゃあ私たちはイル・メグの入口あたりでマオを探そう。すまないけど、情報が集まったら合流してくれるかな？マオの命がかかってるから……よろしく頼むよ！			幻の生物シムーンは実在した！？							
お耳のおっきい男のヒト？さっき「姿見の湖」の西で見たけど、見失っちゃった……。			お耳のおっきい男のヒト？さっき「姿見の湖」の西で見たけど、見失っちゃった……。			幻の生物シムーンは実在した！？							
次に見つけたら、かっわいい草人になってもらうんだー♪			次に見つけたら、かっわいい草人になってもらうんだー♪			幻の生物シムーンは実在した！？							
えっ！？　ヒトが遊びにきてたなんて、知らなかった！ずるいー！　ヒト見たいー！　あそびたいー！つまんないー！　つまんないのやだー！			えっ！？　ヒトが遊びにきてたなんて、知らなかった！ずるいー！　ヒト見たいー！　あそびたいー！つまんないー！　つまんないのやだー！			幻の生物シムーンは実在した！？							
なぁに？　さっきのヒト、あなたのお友だちだったの？じゃあ、背中をとんって押して、遊んであげればよかった！「姿見の湖」の際を歩いていたから……フフフ！			なぁに？　さっきのヒト、あなたのお友だちだったの？じゃあ、背中をとんって押して、遊んであげればよかった！「姿見の湖」の際を歩いていたから……フフフ！			幻の生物シムーンは実在した！？							
マオ・ラッドは、「姿見の湖」辺りで目撃されていたようだ……。「ティム・グース」入口付近のケシ・レイたちにも、目撃情報を伝えよう。			マオ・ラッドは、「姿見の湖」辺りで目撃されていたようだ……。「ティム・グース」入口付近のケシ・レイたちにも、目撃情報を伝えよう。			幻の生物シムーンは実在した！？							
イル・メグは数回しか足を踏み入れたことがないけれど……あいかわらず、魅力的かつ恐ろしい場所だね……。			イル・メグは数回しか足を踏み入れたことがないけれど……あいかわらず、魅力的かつ恐ろしい場所だね……。			幻の生物シムーンは実在した！？							
マオー！　どこですかー！怒らないから出てきてくださいよー！			マオー！　どこですかー！怒らないから出てきてくださいよー！			幻の生物シムーンは実在した！？							
お耳のおっきい男のヒト？さっき「姿見の湖」の西で見たけど、見失っちゃった……。			お耳のおっきい男のヒト？さっき「姿見の湖」の西で見たけど、見失っちゃった……。			幻の生物シムーンは実在した！？							
次に見つけたら、かっわいい草人になってもらうんだー♪			次に見つけたら、かっわいい草人になってもらうんだー♪			幻の生物シムーンは実在した！？							
ヒトが遊びにきてたなんて、知らなかった！ずるいー！　ヒト見たいー！　あそびたいー！つまんないー！　つまんないのやだー！			ヒトが遊びにきてたなんて、知らなかった！ずるいー！　ヒト見たいー！　あそびたいー！つまんないー！　つまんないのやだー！			幻の生物シムーンは実在した！？							
なぁに？　さっきのヒト、あなたのお友だちだったの？じゃあ、背中をとんって押して、遊んであげればよかった！「姿見の湖」の際を歩いていたから……フフフ！			なぁに？　さっきのヒト、あなたのお友だちだったの？じゃあ、背中をとんって押して、遊んであげればよかった！「姿見の湖」の際を歩いていたから……フフフ！			幻の生物シムーンは実在した！？							
やあやあ、マオの手がかりについて、なにかわかったことはあったかい？			やあやあ、マオの手がかりについて、なにかわかったことはあったかい？			幻の生物シムーンは実在した！？							
なんと！もうマオの居場所を聞き出せたのかい！？君に案内を頼んで、正解だったよ……！			なんと！もうマオの居場所を聞き出せたのかい！？君に案内を頼んで、正解だったよ……！			幻の生物シムーンは実在した！？							
「姿見の湖」だったっけ？よし、じゃあみんなでそっちに移動しよう！妖精に襲われないように、はぐれずについてきてね！			「姿見の湖」だったっけ？よし、じゃあみんなでそっちに移動しよう！妖精に襲われないように、はぐれずについてきてね！			幻の生物シムーンは実在した！？							
マオ！よかった、無事だったんだね……！			マオ！よかった、無事だったんだね……！			幻の生物シムーンは実在した！？							
こんなところまで、ひとりで来ていたなんて……。奇跡的に無事だったから、よかったものの……。			こんなところまで、ひとりで来ていたなんて……。奇跡的に無事だったから、よかったものの……。			幻の生物シムーンは実在した！？							
Forenameさん！すみません、ご心配をかけたようで……！			Forenameさん！すみません、ご心配をかけたようで……！			幻の生物シムーンは実在した！？							
本当ですよ、まったくもう！ケシ・レイ科長だけじゃなく、あなたまで飛び出し癖がついたら、私ひとりでは対処しきれません！			本当ですよ、まったくもう！ケシ・レイ科長だけじゃなく、あなたまで飛び出し癖がついたら、私ひとりでは対処しきれません！			幻の生物シムーンは実在した！？							
だって、ほかのやつらに、ケシ・レイ科長を侮辱されたような気がして……許せなかったんです。			だって、ほかのやつらに、ケシ・レイ科長を侮辱されたような気がして……許せなかったんです。			幻の生物シムーンは実在した！？							
でも、おかげで、シムーンの体の一部と思われるものを見つけたんですよ！			でも、おかげで、シムーンの体の一部と思われるものを見つけたんですよ！			幻の生物シムーンは実在した！？							
ただ僕、採集道具を忘れちゃってて……。Forenameさん、どうか、採ってきてくれませんか……！			ただ僕、採集道具を忘れちゃってて……。Forenameさん、どうか、採ってきてくれませんか……！			幻の生物シムーンは実在した！？							
ここ周辺、「ティム・グース」の岩肌や樹木に、体をこすりつけたような痕があったんです！その近くで「古代生物の皮膚片」の採集をお願いします！			ここ周辺、「ティム・グース」の岩肌や樹木に、体をこすりつけたような痕があったんです！その近くで「古代生物の皮膚片」の採集をお願いします！			幻の生物シムーンは実在した！？							
ここ周辺、「ティム・グース」の岩肌や樹木に、体をこすりつけたような痕があったんです！その近くで「古代生物の皮膚片」の採集をお願いします！			ここ周辺、「ティム・グース」の岩肌や樹木に、体をこすりつけたような痕があったんです！その近くで「古代生物の皮膚片」の採集をお願いします！			幻の生物シムーンは実在した！？							
本当にシムーンの体の一部が発見されたら……特定作業が、ぐんとはかどりますね……！			本当にシムーンの体の一部が発見されたら……特定作業が、ぐんとはかどりますね……！			幻の生物シムーンは実在した！？							
なになに？「古代生物の皮膚片」が見つかったかい！？			なになに？「古代生物の皮膚片」が見つかったかい！？			幻の生物シムーンは実在した！？							
ふむふむ、これは……！確かに皮膚片のようだけど、古くてしなびているな……。出血の形跡もないから、脱皮したと考えてよさそうだ。			ふむふむ、これは……！確かに皮膚片のようだけど、古くてしなびているな……。出血の形跡もないから、脱皮したと考えてよさそうだ。			幻の生物シムーンは実在した！？							
ということは、脱皮の習性を持つ生物……！特定にも一役買いそうですね！早く持って帰って、分析したいです！			ということは、脱皮の習性を持つ生物……！特定にも一役買いそうですね！早く持って帰って、分析したいです！			幻の生物シムーンは実在した！？							
ケシ・レイ科長、ヤラーナさん！！うしろ、うしろ……うしろにシムーンらしきものが……！！			ケシ・レイ科長、ヤラーナさん！！うしろ、うしろ……うしろにシムーンらしきものが……！！			幻の生物シムーンは実在した！？							
いないよ？			いないよ？			幻の生物シムーンは実在した！？							
いませんね。			いませんね。			幻の生物シムーンは実在した！？							
あ、あれ？でも本当に、さっきはいたんですよ！アム・アレーンで見かけた影と、形も一緒でした！			あ、あれ？でも本当に、さっきはいたんですよ！アム・アレーンで見かけた影と、形も一緒でした！			幻の生物シムーンは実在した！？							
で、でも、目を離したら、一瞬のうちにいなくなってしまって……潜ってしまったのかもしれません……。			で、でも、目を離したら、一瞬のうちにいなくなってしまって……潜ってしまったのかもしれません……。			幻の生物シムーンは実在した！？							
僕、嘘ついてないですよね！？Forenameさん、あなたも見ましたよね！？			僕、嘘ついてないですよね！？Forenameさん、あなたも見ましたよね！？			幻の生物シムーンは実在した！？							
ほんとなの！？　ぐううう、悔しいなぁ！			ほんとなの！？　ぐううう、悔しいなぁ！			幻の生物シムーンは実在した！？							
私も見たかったよ、どんな姿をしてた！？なにか、既知の生物に似ていたりしてた！？色は！？　匂いは！？　大きさは！？			私も見たかったよ、どんな姿をしてた！？なにか、既知の生物に似ていたりしてた！？色は！？　匂いは！？　大きさは！？			幻の生物シムーンは実在した！？							
科長、その話は長くなりそうだから、ひとまずここを離れましょう……。はやく園芸館に戻りたいです。			科長、その話は長くなりそうだから、ひとまずここを離れましょう……。はやく園芸館に戻りたいです。			幻の生物シムーンは実在した！？							
そうだね……せっかく手に入れた痕跡を、妖精にいたずらされちゃたまらないもんな！じゃあ、みんなで「ミーン工芸館」へ戻ろう！			そうだね……せっかく手に入れた痕跡を、妖精にいたずらされちゃたまらないもんな！じゃあ、みんなで「ミーン工芸館」へ戻ろう！			幻の生物シムーンは実在した！？							
Forenameさん、うちの研究員を助けてくださって……本当にありがとうございました！			Forenameさん、うちの研究員を助けてくださって……本当にありがとうございました！			幻の生物シムーンは実在した！？							
怒りに身を任せて飛び出したはいいものの……イル・メグにひとりでいるのは、本当に恐ろしかったです……。助けに来てくれて、ありがとうございました……！			怒りに身を任せて飛び出したはいいものの……イル・メグにひとりでいるのは、本当に恐ろしかったです……。助けに来てくれて、ありがとうございました……！			幻の生物シムーンは実在した！？							
いやぁー、大変だったね！でもマオが見つかってよかったよ！			いやぁー、大変だったね！でもマオが見つかってよかったよ！			幻の生物シムーンは実在した！？							
おかげで有力な検体も手に入ったしね！観察して頬ずりして、匂いを嗅いで味見しようとしたけど……ヤラーナに没収されちゃった。			おかげで有力な検体も手に入ったしね！観察して頬ずりして、匂いを嗅いで味見しようとしたけど……ヤラーナに没収されちゃった。			幻の生物シムーンは実在した！？							
いまは、彼女たちに分析を任せているよ。必ずやシムーンの正体を絞り込んでみせるから、少しの間だけ、待っていてほしいな……！			いまは、彼女たちに分析を任せているよ。必ずやシムーンの正体を絞り込んでみせるから、少しの間だけ、待っていてほしいな……！			幻の生物シムーンは実在した！？							
