キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			一石二鳥の鳥退治							
突然で申し訳ないが、貴公に救援を頼みたい。部隊が向かったのは、「ブンド・オク・ベンド」……その近辺で奪還部隊の騎兵と合流し、状況を聞いてくれ。			突然で申し訳ないが、貴公に救援を頼みたい。部隊が向かったのは、「ブンド・オク・ベンド」……その近辺で奪還部隊の騎兵と合流し、状況を聞いてくれ。			奪還部隊の窮地							
あなたは……？ああ、ラニエット様が送ってくださった援軍ですね、よかった。「テルミオ」隊長はこの奥にいます、どうか手遅れになる前に！			あなたは……？ああ、ラニエット様が送ってくださった援軍ですね、よかった。「テルミオ」隊長はこの奥にいます、どうか手遅れになる前に！			奪還部隊の窮地							
「テルミオ」隊長はこの奥にいます、どうか手遅れになる前に！			「テルミオ」隊長はこの奥にいます、どうか手遅れになる前に！			奪還部隊の窮地							
くそっ……！次から次へと沸いてきおって！このままでは、任務を果たすどころか……。			くそっ……！次から次へと沸いてきおって！このままでは、任務を果たすどころか……。			奪還部隊の窮地							
……むっ、君は冒険者か？　なぜ、ここに……そうか！ラニエット様が援軍をよこしてくれたのか！名はForename、だな。			……むっ、君は冒険者か？　なぜ、ここに……そうか！ラニエット様が援軍をよこしてくれたのか！名はForename、だな。			奪還部隊の窮地							
我が名は「テルミオ」……戦況は、かなりの劣勢だ。だが、貴重な物資を奪われたままになど、できようものか！……頼りにしているぞ、冒険者！			我が名は「テルミオ」……戦況は、かなりの劣勢だ。だが、貴重な物資を奪われたままになど、できようものか！……頼りにしているぞ、冒険者！			奪還部隊の窮地							
ブンド・オク・ベンドのテルミオは、冒険者の手を借りたいようだ。			ブンド・オク・ベンドのテルミオは、冒険者の手を借りたいようだ。			奪還部隊の後退							
テルミオから、彼の部下に退避するよう伝えてくれと頼まれた。ブンド・オク・ベンドの薔薇騎兵団の騎兵たちを探そう。			テルミオから、彼の部下に退避するよう伝えてくれと頼まれた。ブンド・オク・ベンドの薔薇騎兵団の騎兵たちを探そう。			奪還部隊の後退							
すべての騎兵を退避させた。ブンド・オク・ベンドの「テルミオ」に報告しよう。			すべての騎兵を退避させた。ブンド・オク・ベンドの「テルミオ」に報告しよう。			奪還部隊の後退							
テルミオに報告した。最悪の事態は免れたが、まだ肝心の任務が残っていると、彼は言う。協力して、任務を遂行しよう。			テルミオに報告した。最悪の事態は免れたが、まだ肝心の任務が残っていると、彼は言う。協力して、任務を遂行しよう。			奪還部隊の後退							
薔薇騎兵団の騎兵を探す			薔薇騎兵団の騎兵を探す			奪還部隊の後退							
テルミオに報告			テルミオに報告			奪還部隊の後退							
門番を蹴散らして突入したはいいものの、敵の数が多い上に、対応が早くてな……。物資の奪還だけだと、甘く見たかもしれない……。			門番を蹴散らして突入したはいいものの、敵の数が多い上に、対応が早くてな……。物資の奪還だけだと、甘く見たかもしれない……。			奪還部隊の後退							
Forename、さっそく協力を頼む。まずは、敵に分断され、散り散りになった部下を集める。このままでは各個撃破されてしまうからな。			Forename、さっそく協力を頼む。まずは、敵に分断され、散り散りになった部下を集める。このままでは各個撃破されてしまうからな。			奪還部隊の後退							
すまないが、敵拠点内で孤立しているであろう、我が3人の部下を探し、退避するよう伝えてくれないか？俺は退路を確保しておく！			すまないが、敵拠点内で孤立しているであろう、我が3人の部下を探し、退避するよう伝えてくれないか？俺は退路を確保しておく！			奪還部隊の後退							
すまないが、敵拠点内で孤立しているであろう、我が3人の部下を探し、待避するよう伝えてくれないか？俺は退路を確保しておく！			すまないが、敵拠点内で孤立しているであろう、我が3人の部下を探し、待避するよう伝えてくれないか？俺は退路を確保しておく！			奪還部隊の後退							
そのような状況だったとは……。どうか、テルミオに手を貸し、兵の退避を支援してやってほしい。			そのような状況だったとは……。どうか、テルミオに手を貸し、兵の退避を支援してやってほしい。			奪還部隊の後退							
敵拠点から退避……？なら、私は皆が来るまで待機してましょう。			敵拠点から退避……？なら、私は皆が来るまで待機してましょう。			奪還部隊の後退							
お前は……？隊長からの命令……退避か、了解した。			お前は……？隊長からの命令……退避か、了解した。			奪還部隊の後退							
うわぁっ！？　って人か、びっくりさせないでよ！一時後退？　隊長から？わ、わかったよ、このままじゃヤバイもんね！			うわぁっ！？　って人か、びっくりさせないでよ！一時後退？　隊長から？わ、わかったよ、このままじゃヤバイもんね！			奪還部隊の後退							
貴公は……えっ、隊長命令で砦の外に退避？りょ、了解した！			貴公は……えっ、隊長命令で砦の外に退避？りょ、了解した！			奪還部隊の後退							
助かったぞ、冒険者。部下全員が無事に退避することができた。これで最悪の事態は、免れたということだな。			助かったぞ、冒険者。部下全員が無事に退避することができた。これで最悪の事態は、免れたということだな。			奪還部隊の後退							
我らも長居は無用……と、言いたいところだが、まだ肝心の任務が残っている……。最後まで付き合ってくれるだろうか？			我らも長居は無用……と、言いたいところだが、まだ肝心の任務が残っている……。最後まで付き合ってくれるだろうか？			奪還部隊の後退							
ローズハウスのギルドンは、バヌバヌ族の落とした骨について頭を悩ませている。			ローズハウスのギルドンは、バヌバヌ族の落とした骨について頭を悩ませている。			雲海の騎兵と望んだ答え							
バヌバヌ族が落とした骨について、意見を聞いて回るよう、ギルドンに頼まれた。アバラシア雲海のキャンプ・クラウドトップとローズハウスにいる騎兵たちに、「傷だらけの骨」を見せよう。			バヌバヌ族が落とした骨について、意見を聞いて回るよう、ギルドンに頼まれた。アバラシア雲海のキャンプ・クラウドトップとローズハウスにいる騎兵たちに、「傷だらけの骨」を見せよう。			雲海の騎兵と望んだ答え							
騎兵から情報を集めた。ローズハウスの「ギルドン」に、「傷だらけの骨」を渡し、結果を報告しよう。			騎兵から情報を集めた。ローズハウスの「ギルドン」に、「傷だらけの骨」を渡し、結果を報告しよう。			雲海の騎兵と望んだ答え							
ギルドンに結果を報告した。今回の補給物資が狙われるかもしれないというギルドンの懸念を、キャンプ・クラウドトップの「ファブルレー」に伝えよう。			ギルドンに結果を報告した。今回の補給物資が狙われるかもしれないというギルドンの懸念を、キャンプ・クラウドトップの「ファブルレー」に伝えよう。			雲海の騎兵と望んだ答え							
ファブルレーから、補給物資の確認を頼まれた。キャンプ・クラウドトップのプロテクトゥール号で、「騎兵団の物資」を探そう。			ファブルレーから、補給物資の確認を頼まれた。キャンプ・クラウドトップのプロテクトゥール号で、「騎兵団の物資」を探そう。			雲海の騎兵と望んだ答え							
プロテクトゥール号で補給物資を見つけたが、バヌバヌ族が襲ってきた。妨害を退けて、「騎兵団の物資」を調べよう。			プロテクトゥール号で補給物資を見つけたが、バヌバヌ族が襲ってきた。妨害を退けて、「騎兵団の物資」を調べよう。			雲海の騎兵と望んだ答え							
騎兵団の物資を調べ、無事を確認した。キャンプ・クラウドトップの「ファブルレー」に報告しよう。			騎兵団の物資を調べ、無事を確認した。キャンプ・クラウドトップの「ファブルレー」に報告しよう。			雲海の騎兵と望んだ答え							
バヌバヌ族を撃退したことについて、ラニエットから礼を言われた。栄転の申し出を断り、現在の所属部隊への忠誠を誓ったギルドンは、これからも熱意を持って働き続けることだろう。			バヌバヌ族を撃退したことについて、ラニエットから礼を言われた。栄転の申し出を断り、現在の所属部隊への忠誠を誓ったギルドンは、これからも熱意を持って働き続けることだろう。			雲海の騎兵と望んだ答え							
騎兵に傷だらけの骨を見せる			騎兵に傷だらけの骨を見せる			雲海の騎兵と望んだ答え							
ギルドンに傷だらけの骨を渡す			ギルドンに傷だらけの骨を渡す			雲海の騎兵と望んだ答え							
ファブルレーと話す			ファブルレーと話す			雲海の騎兵と望んだ答え							
妨害を退け騎兵団の物資を調べる			妨害を退け騎兵団の物資を調べる			雲海の騎兵と望んだ答え							
ファブルレーに報告			ファブルレーに報告			雲海の騎兵と望んだ答え							
ああ、御客人……う～む、まいった。バヌバヌ族が持っていた「骨の傷」が意味するところ……いろいろと考えてはみたものの、さっぱりなのであ～る！			ああ、御客人……う～む、まいった。バヌバヌ族が持っていた「骨の傷」が意味するところ……いろいろと考えてはみたものの、さっぱりなのであ～る！			雲海の騎兵と望んだ答え							
刻まれた傷は、タテ線が14本ずつ、全部で3列……。その内の2列は、ヨコ線で消されているが、3列目は、半分ほどまでヨコ線が止まってい～る。			刻まれた傷は、タテ線が14本ずつ、全部で3列……。その内の2列は、ヨコ線で消されているが、3列目は、半分ほどまでヨコ線が止まってい～る。			雲海の騎兵と望んだ答え							
やはり、自分にはわからぬな。すまぬが、この「傷だらけの骨」をほかの騎兵に見せて、意見を聞いてきてもらえぬ～か？			やはり、自分にはわからぬな。すまぬが、この「傷だらけの骨」をほかの騎兵に見せて、意見を聞いてきてもらえぬ～か？			雲海の騎兵と望んだ答え							
やはり、自分にはわからぬな。すまぬが、この「傷だらけの骨」を他の騎兵に見せて、意見を聞いてきてもらえぬ～か？			やはり、自分にはわからぬな。すまぬが、この「傷だらけの骨」を他の騎兵に見せて、意見を聞いてきてもらえぬ～か？			雲海の騎兵と望んだ答え							
あら、Forenameさん。私にご用ですか？			あら、Forenameさん。私にご用ですか？			雲海の騎兵と望んだ答え							
バヌバヌ族が落とした骨ですって？ふむ、規則的な傷がついていますね……。			バヌバヌ族が落とした骨ですって？ふむ、規則的な傷がついていますね……。			雲海の騎兵と望んだ答え							
うーん……私にも、意味はわかりません。お役に立てず、申し訳ないです。			うーん……私にも、意味はわかりません。お役に立てず、申し訳ないです。			雲海の騎兵と望んだ答え							
うーん……私にも、傷の意味はわかりません。お役に立てず、申し訳ないです。			うーん……私にも、傷の意味はわかりません。お役に立てず、申し訳ないです。			雲海の騎兵と望んだ答え							
Surname殿、壮健なようでなによりだ。して、今回は何用かな？			Surname殿、壮健なようでなによりだ。して、今回は何用かな？			雲海の騎兵と望んだ答え							
ふむ、この骨についた傷は……数を数える時の印に見えるが……わからんな。確かに、意味があるように思えるが……。			ふむ、この骨についた傷は……数を数える時の印に見えるが……わからんな。確かに、意味があるように思えるが……。			雲海の騎兵と望んだ答え							
数を数える時の印に見えるが……わからんな。確かに、意味があるように思えるが……。			数を数える時の印に見えるが……わからんな。確かに、意味があるように思えるが……。			雲海の騎兵と望んだ答え							
忙しいんだ、用があるなら手短にしてくれよ。			忙しいんだ、用があるなら手短にしてくれよ。			雲海の騎兵と望んだ答え							
見たことのない骨だな……俺にはさっぱりだ。お前さん、またギルドンに言われて走り回ってるのか？			見たことのない骨だな……俺にはさっぱりだ。お前さん、またギルドンに言われて走り回ってるのか？			雲海の騎兵と望んだ答え							
ああ、ギルドンのところに行くなら、ついでに伝えてくれ。そろそろ、「補給物資」を積んだ飛空艇が来るってな。明日の食事は、期待できるぞ！			ああ、ギルドンのところに行くなら、ついでに伝えてくれ。そろそろ、「補給物資」を積んだ飛空艇が来るってな。明日の食事は、期待できるぞ！			雲海の騎兵と望んだ答え							
ああ、ギルドンのところに行くなら、ついでに伝えてくれ。そろそろ、「補給物資」を積んだ飛空艇が来るってな。明日の食事は、期待できるぞ！			ああ、ギルドンのところに行くなら、ついでに伝えてくれ。そろそろ、「補給物資」を積んだ飛空艇が来るってな。明日の食事は、期待できるぞ！			雲海の騎兵と望んだ答え							
待っていたぞ！まずは「傷だらけの骨」を、預かろう。それで……情報はあったか！？			待っていたぞ！まずは「傷だらけの骨」を、預かろう。それで……情報はあったか！？			雲海の騎兵と望んだ答え							
おお、補給物資を積んだ飛空艇が来るのであれば、久々に干し肉じゃない、美味い肉にありつけそうだな！！			おお、補給物資を積んだ飛空艇が来るのであれば、久々に干し肉じゃない、美味い肉にありつけそうだな！！			雲海の騎兵と望んだ答え							
って、ちが～う！！自分は武勲を立て、兵の士気をあげたいのだ！補給物資の情報などで、一喜一憂するなど……！！			って、ちが～う！！自分は武勲を立て、兵の士気をあげたいのだ！補給物資の情報などで、一喜一憂するなど……！！			雲海の騎兵と望んだ答え							
……待てよ、何か引っかかるぞ。「補給物資」を積んだ飛空艇の情報……？			……待てよ、何か引っかかるぞ。「補給物資」を積んだ飛空艇の情報……？			雲海の騎兵と望んだ答え							
そうか、それだ……！バヌバヌ族は、「補給物資」を狙って襲撃するつもりだ！「骨の傷」は14本……補給の周期と一致するのであ～る！			そうか、それだ……！バヌバヌ族は、「補給物資」を狙って襲撃するつもりだ！「骨の傷」は14本……補給の周期と一致するのであ～る！			雲海の騎兵と望んだ答え							
「補給物資」には、飛空艇整備用の「クリスタル」もある！彼らの目的は、蛮神「ビスマルク」へ捧げるために、クリスタルを強奪することであろ～う！			「補給物資」には、飛空艇整備用の「クリスタル」もある！彼らの目的は、蛮神「ビスマルク」へ捧げるために、クリスタルを強奪することであろ～う！			雲海の騎兵と望んだ答え							
さっそく、今回の「補給物資」が狙われるかもしれん。「ファブルレー」殿に、このことを伝えてくれ！自分は、ラニエット様と共に迎撃態勢を整え～る！			さっそく、今回の「補給物資」が狙われるかもしれん。「ファブルレー」殿に、このことを伝えてくれ！自分は、ラニエット様と共に迎撃態勢を整え～る！			雲海の騎兵と望んだ答え							
さっそく、今回の「補給物資」が狙われるかもしれん。「ファブルレー」殿に、このことを伝えてくれ！自分は、ラニエット様と共に迎撃態勢を整え～る！			さっそく、今回の「補給物資」が狙われるかもしれん。「ファブルレー」殿に、このことを伝えてくれ！自分は、ラニエット様と共に迎撃態勢を整え～る！			雲海の騎兵と望んだ答え							
焦った様子でどうしたんだ？なにか、問題でも起きたのか？			焦った様子でどうしたんだ？なにか、問題でも起きたのか？			雲海の騎兵と望んだ答え							
バヌバヌ族が、「補給物資」を狙ってる？あの太っちょ鳥どもが、どうやって襲撃するんだ。……いや、でも「プロテクトゥール号」の方が騒がしいな。			バヌバヌ族が、「補給物資」を狙ってる？あの太っちょ鳥どもが、どうやって襲撃するんだ。……いや、でも「プロテクトゥール号」の方が騒がしいな。			雲海の騎兵と望んだ答え							
お前さん、悪いんだが「プロテクトゥール号」へ行って、集積してる「騎兵団の物資」が無事か、確認してくれないか？もしも敵に襲われたら、倒してくれ……もしも、の話だがな。			お前さん、悪いんだが「プロテクトゥール号」へ行って、集積してる「騎兵団の物資」が無事か、確認してくれないか？もしも敵に襲われたら、倒してくれ……もしも、の話だがな。			雲海の騎兵と望んだ答え							
お前さん、悪いんだが「プロテクトゥール号」へ行って、集積してる「騎兵団の物資」が無事か、確認してくれないか？もしも敵に襲われたら、倒してくれ……もしも、の話だがな。			お前さん、悪いんだが「プロテクトゥール号」へ行って、集積してる「騎兵団の物資」が無事か、確認してくれないか？もしも敵に襲われたら、倒してくれ……もしも、の話だがな。			雲海の騎兵と望んだ答え							
まだ、まだ、抵抗するか！			まだ、まだ、抵抗するか！			雲海の騎兵と望んだ答え							
変な生き物に乗って、バヌバヌ族が空から……っ！頼む、「騎兵団の物資」を守ってくれ！			変な生き物に乗って、バヌバヌ族が空から……っ！頼む、「騎兵団の物資」を守ってくれ！			雲海の騎兵と望んだ答え							
バヌバヌ族に荒らされているが、補給物資に問題はなさそうだ……。			バヌバヌ族に荒らされているが、補給物資に問題はなさそうだ……。			雲海の騎兵と望んだ答え							
「騎兵団の物資」が無事か、確かめてもらえるか？			「騎兵団の物資」が無事か、確かめてもらえるか？			雲海の騎兵と望んだ答え							
話は、退避してきた騎兵から聞いたよ。お前さん、補給物資を狙ったバヌバヌ族を撃退したらしいな。ちょっと待っててくれ、いまラニエット様がいらっしゃるから。			話は、退避してきた騎兵から聞いたよ。お前さん、補給物資を狙ったバヌバヌ族を撃退したらしいな。ちょっと待っててくれ、いまラニエット様がいらっしゃるから。			雲海の騎兵と望んだ答え							
Surname殿、援軍が遅れて申し訳ない。そして、補給物資を守り切っていただき感謝する。前回といい、今回といい、貴公の働きには頭が下がる思いだ。			Surname殿、援軍が遅れて申し訳ない。そして、補給物資を守り切っていただき感謝する。前回といい、今回といい、貴公の働きには頭が下がる思いだ。			雲海の騎兵と望んだ答え							
Surname殿の言うとおり、今回の一件は、ギルドンの働きが大きかった。お前の熱意が、物資を守る大きな要因となったのは間違いない。			Surname殿の言うとおり、今回の一件は、ギルドンの働きが大きかった。お前の熱意が、物資を守る大きな要因となったのは間違いない。			雲海の騎兵と望んだ答え							
斜陽のアインハルト家でも、その熱意を活かせる場所へ、お前ひとり、ねじ込んでやることぐらいはできる。吉報を、楽しみに待っているといい。			斜陽のアインハルト家でも、その熱意を活かせる場所へ、お前ひとり、ねじ込んでやることぐらいはできる。吉報を、楽しみに待っているといい。			雲海の騎兵と望んだ答え							
栄転じゃないか！よかったな、ギルドン！			栄転じゃないか！よかったな、ギルドン！			雲海の騎兵と望んだ答え							
……いえ、せっかくのお話ですが、転属の件は、お断りしたいのであります！			……いえ、せっかくのお話ですが、転属の件は、お断りしたいのであります！			雲海の騎兵と望んだ答え							
自分は、ラニエット様を尊敬しております！ファブルレー殿は文句をいいながらも優しくしてくれる御方！部隊の仲間だって、本来は素晴らしい騎兵ばかり！			自分は、ラニエット様を尊敬しております！ファブルレー殿は文句をいいながらも優しくしてくれる御方！部隊の仲間だって、本来は素晴らしい騎兵ばかり！			雲海の騎兵と望んだ答え							
自分は己の栄転のために武勲をあげたのでなく、この部隊の、皆の士気を高めたかったのであります！！			自分は己の栄転のために武勲をあげたのでなく、この部隊の、皆の士気を高めたかったのであります！！			雲海の騎兵と望んだ答え							
し……しかし、ラニエット様。僭越ながら、ひとつだけよろしいでしょうか。			し……しかし、ラニエット様。僭越ながら、ひとつだけよろしいでしょうか。			雲海の騎兵と望んだ答え							
久しぶりに駆けまわったので腹が減りました！奪い返した補給物資を使い、そろそろ飯にしませんか？			久しぶりに駆けまわったので腹が減りました！奪い返した補給物資を使い、そろそろ飯にしませんか？			雲海の騎兵と望んだ答え							
お、お前なぁ、何も今それを言わなくても……。			お、お前なぁ、何も今それを言わなくても……。			雲海の騎兵と望んだ答え							
……ファブルレー。備蓄物資の開放を許可する。ワイン樽も開けてやれ。美味い飯と酒を囲み、ギルドンの心意気を共有しよう。			……ファブルレー。備蓄物資の開放を許可する。ワイン樽も開けてやれ。美味い飯と酒を囲み、ギルドンの心意気を共有しよう。			雲海の騎兵と望んだ答え							
さすれば彼の熱意は広まり、皆の士気も高まるだろう。なに、宴の予算ぐらい、私が都合をつけるさ。……そのかわり、今後も頼むぞ、ギルドン？			さすれば彼の熱意は広まり、皆の士気も高まるだろう。なに、宴の予算ぐらい、私が都合をつけるさ。……そのかわり、今後も頼むぞ、ギルドン？			雲海の騎兵と望んだ答え							
ありがとうございます！！これからも粉骨砕身、努力していく所存でありま～す！			ありがとうございます！！これからも粉骨砕身、努力していく所存でありま～す！			雲海の騎兵と望んだ答え							
……補給物資を守っていただき、感謝する。すまないが、「ファブルレー」にも物資の無事を伝えてほしい。			……補給物資を守っていただき、感謝する。すまないが、「ファブルレー」にも物資の無事を伝えてほしい。			雲海の騎兵と望んだ答え							
ブンド・オク・ベンドのテルミオは、任務を果たそうとしている。			ブンド・オク・ベンドのテルミオは、任務を果たそうとしている。			奪還部隊の奪還							
テルミオから物資の奪還を頼まれた。ブンド・オク・ベンドの「薔薇騎兵団の武具」を3つ入手しよう。			テルミオから物資の奪還を頼まれた。ブンド・オク・ベンドの「薔薇騎兵団の武具」を3つ入手しよう。			奪還部隊の奪還							
薔薇騎兵団の武具を奪還した。ブンド・オク・ベンド入口付近にいる「テルミオ」と話そう。			薔薇騎兵団の武具を奪還した。ブンド・オク・ベンド入口付近にいる「テルミオ」と話そう。			奪還部隊の奪還							
状況を見て帰還するテルミオたちに代わり、薔薇騎兵団の武具を届けるよう頼まれた。アバラシア雲海のローズハウスにいる「ラニエット」に「薔薇騎兵団の武具」を渡そう。			状況を見て帰還するテルミオたちに代わり、薔薇騎兵団の武具を届けるよう頼まれた。アバラシア雲海のローズハウスにいる「ラニエット」に「薔薇騎兵団の武具」を渡そう。			奪還部隊の奪還							
ラニエットに薔薇騎兵団の武具を渡した。彼女は薔薇騎兵団の武具を取り戻し、失態を挽回してくれた冒険者に深く感謝した。			ラニエットに薔薇騎兵団の武具を渡した。彼女は薔薇騎兵団の武具を取り戻し、失態を挽回してくれた冒険者に深く感謝した。			奪還部隊の奪還							
薔薇騎兵団の武具を入手			薔薇騎兵団の武具を入手			奪還部隊の奪還							
テルミオと話す			テルミオと話す			奪還部隊の奪還							
ラニエットに薔薇騎兵団の武具を渡す			ラニエットに薔薇騎兵団の武具を渡す			奪還部隊の奪還							
我らの目的は、奪われた補給物資の奪還……。それを成し遂げず逃げ帰るようでは、面目が立たない。どうか、任務の達成に助力を願いたい！			我らの目的は、奪われた補給物資の奪還……。それを成し遂げず逃げ帰るようでは、面目が立たない。どうか、任務の達成に助力を願いたい！			奪還部隊の奪還							
俺が派手に暴れて、奴らを引き付けるとしよう。冒険者、君はその隙を突いて物資を……「薔薇騎兵団の武具」を3つ、奪還してきてくれ！			俺が派手に暴れて、奴らを引き付けるとしよう。冒険者、君はその隙を突いて物資を……「薔薇騎兵団の武具」を3つ、奪還してきてくれ！			奪還部隊の奪還							
テルミオの支援、どうかよろしく頼む……。			テルミオの支援、どうかよろしく頼む……。			奪還部隊の奪還							
あなたが「薔薇騎兵団の武具」を……？申し訳ありませんが、よろしくお願いします。			あなたが「薔薇騎兵団の武具」を……？申し訳ありませんが、よろしくお願いします。			奪還部隊の奪還							
どうやら、奪われた武具をすべて取り戻してくれたようだな。恩に着る、Forename。我らだけでは、こうはいかなかっただろう。			どうやら、奪われた武具をすべて取り戻してくれたようだな。恩に着る、Forename。我らだけでは、こうはいかなかっただろう。			奪還部隊の奪還							
俺は状況を見ながら、キャンプに帰還する。この手柄は、君のものだ。武具は、君の手から「ラニエット」様に渡してくれ。			俺は状況を見ながら、キャンプに帰還する。この手柄は、君のものだ。武具は、君の手から「ラニエット」様に渡してくれ。			奪還部隊の奪還							
この手柄は君のものだ。武具は、君の手から「ラニエット」様に渡してくれ。			この手柄は君のものだ。武具は、君の手から「ラニエット」様に渡してくれ。			奪還部隊の奪還							
あなたのおかげで、生きて帰ることができます。ご協力に、感謝します……。			あなたのおかげで、生きて帰ることができます。ご協力に、感謝します……。			奪還部隊の奪還							
……感謝している。			……感謝している。			奪還部隊の奪還							
へへ、ありがとね！いま生きてるのは、あんたのおかげだよ！			へへ、ありがとね！いま生きてるのは、あんたのおかげだよ！			奪還部隊の奪還							
