満ちた玄関の探査隊の連絡員は、冒険者に話があるようだ。			満ちた玄関の探査隊の連絡員は、冒険者に話があるようだ。			ケテンラム、最後の冒険							
実は、この件については、当代の連王たちも承知の上なんだ。			実は、この件については、当代の連王たちも承知の上なんだ。			ケテンラム、最後の冒険							
コーナとウクラマトの後見をグルージャジャから頼まれた手前、今さら航海などできないだろうと悩んでいたんだが……そんな俺の態度を察したふたりに、事情を明かすことになってな。			コーナとウクラマトの後見をグルージャジャから頼まれた手前、今さら航海などできないだろうと悩んでいたんだが……そんな俺の態度を察したふたりに、事情を明かすことになってな。			ケテンラム、最後の冒険							
……なるほど。「死の三角海域」の謎を解き明かしたいと……。			……なるほど。「死の三角海域」の謎を解き明かしたいと……。			ケテンラム、最後の冒険							
かの海域の存在は、外つ国との交流の妨げとなっていますから、真相解明はトライヨラの今後にも役立つでしょう。			かの海域の存在は、外つ国との交流の妨げとなっていますから、真相解明はトライヨラの今後にも役立つでしょう。			ケテンラム、最後の冒険							
ああ、それに、そんな危険な場所への冒険を任せられるのは、タンカのじいさんとForenameだけ……。これは最後のチャンスとなるかもしれねぇ。			ああ、それに、そんな危険な場所への冒険を任せられるのは、タンカのじいさんとForenameだけ……。これは最後のチャンスとなるかもしれねぇ。			ケテンラム、最後の冒険							
何より、親友の冒険心を縛り付けることは、オヤジの本心じゃねぇはずだ。じいさんは、自分が今すべきと信じることをやってくれよ！			何より、親友の冒険心を縛り付けることは、オヤジの本心じゃねぇはずだ。じいさんは、自分が今すべきと信じることをやってくれよ！			ケテンラム、最後の冒険							
さて、お前もその気ならさっそく出発したい。くだんの海域までは、それなりに長い船旅になるから、より詳しい話は、船の上でしよう。			さて、お前もその気ならさっそく出発したい。くだんの海域までは、それなりに長い船旅になるから、より詳しい話は、船の上でしよう。			ケテンラム、最後の冒険							
今回の冒険にあたって、昔なじみのツテで、リムサ・ロミンサから船を寄越してもらったんだ。準備ができたら、桟橋で「オファンゲイム」に声をかけてくれ。			今回の冒険にあたって、昔なじみのツテで、リムサ・ロミンサから船を寄越してもらったんだ。準備ができたら、桟橋で「オファンゲイム」に声をかけてくれ。			ケテンラム、最後の冒険							
そんなわけで、伝説の男ケテンラムの探査隊が再結成だ。あんたも出発の準備ができたら桟橋に向かって、「オファンゲイム」の姉御に話しかけてくれ！			そんなわけで、伝説の男ケテンラムの探査隊が再結成だ。あんたも出発の準備ができたら桟橋に向かって、「オファンゲイム」の姉御に話しかけてくれ！			ケテンラム、最後の冒険							
探査隊の船までは、連絡艇で連れてくぜ！			探査隊の船までは、連絡艇で連れてくぜ！			ケテンラム、最後の冒険							
Forenameだね？ケテンラムの旦那から聞いてるよ、私が航海長のオファンゲイムだ。			Forenameだね？ケテンラムの旦那から聞いてるよ、私が航海長のオファンゲイムだ。			ケテンラム、最後の冒険							
「死の三角海域」は年中嵐が吹き荒れてるんだけど、入念に調査した結果、晴天が続く周期があるとわかってね。今がちょうどその時期、船出には絶好の機会ってわけさ。			「死の三角海域」は年中嵐が吹き荒れてるんだけど、入念に調査した結果、晴天が続く周期があるとわかってね。今がちょうどその時期、船出には絶好の機会ってわけさ。			ケテンラム、最後の冒険							
なに、この小舟が不安かい？			なに、この小舟が不安かい？			ケテンラム、最後の冒険							
ははは、安心しな！浅瀬でここまで入ってこられないってだけで、沖合に大型船が待機してるよ。			ははは、安心しな！浅瀬でここまで入ってこられないってだけで、沖合に大型船が待機してるよ。			ケテンラム、最後の冒険							
連絡艇に乗って出発する準備ができたら、もう一度声をかけな！			連絡艇に乗って出発する準備ができたら、もう一度声をかけな！			ケテンラム、最後の冒険							
ケテンラムの旦那とともに、未知の海域への探査に挑む覚悟はできたかい？			ケテンラムの旦那とともに、未知の海域への探査に挑む覚悟はできたかい？			ケテンラム、最後の冒険							
船に乗り、「死の三角海域」の探査に出発しますか？			船に乗り、「死の三角海域」の探査に出発しますか？			ケテンラム、最後の冒険							
よーし、それじゃ連絡艇に乗った乗った！「死の三角海域」に向けて、出発だよ！			よーし、それじゃ連絡艇に乗った乗った！「死の三角海域」に向けて、出発だよ！			ケテンラム、最後の冒険							
探査の進捗については、あっしが王宮との連絡役を務めます。まずは、無事な帰還報告が聞けることを祈っておりますぜ！			探査の進捗については、あっしが王宮との連絡役を務めます。まずは、無事な帰還報告が聞けることを祈っておりますぜ！			ケテンラム、最後の冒険							
ありゃ、あんただけ帰還してきたのか？探査隊にもう一度合流するんなら、海域の近くまで船を出すぜ。			ありゃ、あんただけ帰還してきたのか？探査隊にもう一度合流するんなら、海域の近くまで船を出すぜ。			ケテンラム、最後の冒険							
「大洋の船上」に移動しますか？			「大洋の船上」に移動しますか？			ケテンラム、最後の冒険							
「死の三角海域」に突入するのはこの船だけだが……ほかの船も近傍にまでは来させて、リンクパールで連絡を取り合うようにしてる。			「死の三角海域」に突入するのはこの船だけだが……ほかの船も近傍にまでは来させて、リンクパールで連絡を取り合うようにしてる。			ケテンラム、最後の冒険							
私たちに万一の事態が起こったときは、そいつらがトライヨラに報せを入れることになってるのさ。			私たちに万一の事態が起こったときは、そいつらがトライヨラに報せを入れることになってるのさ。			ケテンラム、最後の冒険							
ふむ、今のところ航海は順調だな……。ここらで、くだんの海域について説明をしておこう。			ふむ、今のところ航海は順調だな……。ここらで、くだんの海域について説明をしておこう。			ケテンラム、最後の冒険							
「死の三角海域」は、嵐が多いとされている一帯でな。消息不明の船が出るたび、きっと嵐が原因で沈んだのだろう、と考えられていたんだ。			「死の三角海域」は、嵐が多いとされている一帯でな。消息不明の船が出るたび、きっと嵐が原因で沈んだのだろう、と考えられていたんだ。			ケテンラム、最後の冒険							
ところが、この海域の突破を狙ったある船が、近傍の僚船に送った通信は、まったく異なる状況を示してたのさ。			ところが、この海域の突破を狙ったある船が、近傍の僚船に送った通信は、まったく異なる状況を示してたのさ。			ケテンラム、最後の冒険							
「晴天のもと、海域の中心に三日月形の島を発見。　嵐除けの中継地にできる可能性あり。　これより上陸を試みる」			「晴天のもと、海域の中心に三日月形の島を発見。　嵐除けの中継地にできる可能性あり。　これより上陸を試みる」			ケテンラム、最後の冒険							
そして、その通信を最後に、彼らは帰ってこなかった。晴天だったはずの海から……。			そして、その通信を最後に、彼らは帰ってこなかった。晴天だったはずの海から……。			ケテンラム、最後の冒険							
そういうわけで、「三日月島」にまつわるひとつの噂が広まった。決して辿り着けず、見たが最後引き返すこともできない、蜃気楼のような島だってな。			そういうわけで、「三日月島」にまつわるひとつの噂が広まった。決して辿り着けず、見たが最後引き返すこともできない、蜃気楼のような島だってな。			ケテンラム、最後の冒険							
この船に乗る連中も危険は承知の上。それでも参加してくれたのは、皆、探検を愛して止まないからだ。			この船に乗る連中も危険は承知の上。それでも参加してくれたのは、皆、探検を愛して止まないからだ。			ケテンラム、最後の冒険							
謎を解き明かすことも探検家の醍醐味。そこにまだ見ぬ場所があるのなら、行かない理由はない……お前も同じ気持ちなんじゃないか？			謎を解き明かすことも探検家の醍醐味。そこにまだ見ぬ場所があるのなら、行かない理由はない……お前も同じ気持ちなんじゃないか？			ケテンラム、最後の冒険							
それじゃ、海域に到着するまでの間、互いに命を預け合う仲間たちと、少し話でもしてきたらどうだ？			それじゃ、海域に到着するまでの間、互いに命を預け合う仲間たちと、少し話でもしてきたらどうだ？			ケテンラム、最後の冒険							
俺はここで針路を確認してるから、頃合いを見て戻ってきてくれ。			俺はここで針路を確認してるから、頃合いを見て戻ってきてくれ。			ケテンラム、最後の冒険							
「死の三角海域」まではまだ時間がかかる。それまで、甲板にいる探査隊の仲間たちと話してきたらどうだ？			「死の三角海域」まではまだ時間がかかる。それまで、甲板にいる探査隊の仲間たちと話してきたらどうだ？			ケテンラム、最後の冒険							
オイラは、一帯の天候の調査のため、「死の三角海域」の付近までは何度も行ったことがあってよう。晴れの日にだけ、凪いだ海の向こうに島がかすかに見えるんだ。			オイラは、一帯の天候の調査のため、「死の三角海域」の付近までは何度も行ったことがあってよう。晴れの日にだけ、凪いだ海の向こうに島がかすかに見えるんだ。			ケテンラム、最後の冒険							
遠目にパッと見るかぎりは普通の島なんだが、そう思って近づいた連中が、皆帰らなかったって話だろ？だから、もっとよく見てみたくても、毎度堪えてきたのさ。			遠目にパッと見るかぎりは普通の島なんだが、そう思って近づいた連中が、皆帰らなかったって話だろ？だから、もっとよく見てみたくても、毎度堪えてきたのさ。			ケテンラム、最後の冒険							
今回、とうとうあの海域に突入するって聞いて、ぜひとも参加させてくれって志願したんだ。あそこに何が待ち受けているのか……不安よりも興奮が勝るぜ！			今回、とうとうあの海域に突入するって聞いて、ぜひとも参加させてくれって志願したんだ。あそこに何が待ち受けているのか……不安よりも興奮が勝るぜ！			ケテンラム、最後の冒険							
今なら「死の三角海域」のあたりは晴れだよ。この日のために入念に調査してきたんだ、間違いねぇ！			今なら「死の三角海域」のあたりは晴れだよ。この日のために入念に調査してきたんだ、間違いねぇ！			ケテンラム、最後の冒険							
アタシの祖父は、昔ケテンラムの旦那と一緒に探検しててね。初めてトラル大陸に辿り着いた船の乗組員だったんだけど……			アタシの祖父は、昔ケテンラムの旦那と一緒に探検しててね。初めてトラル大陸に辿り着いた船の乗組員だったんだけど……			ケテンラム、最後の冒険							
実は、その旅の目的地はトラル大陸じゃなかったのさ。エオルゼアから、西回りでひんがしの国を目指した結果、偶然トラル大陸に到着しちまっただけだって話。			実は、その旅の目的地はトラル大陸じゃなかったのさ。エオルゼアから、西回りでひんがしの国を目指した結果、偶然トラル大陸に到着しちまっただけだって話。			ケテンラム、最後の冒険							
ただ、そこが望外に広大な土地だったもんだから、当初の目的はそっちのけで探検三昧。そのまま住み着いちまって、今じゃ移民3世というわけ。			ただ、そこが望外に広大な土地だったもんだから、当初の目的はそっちのけで探検三昧。そのまま住み着いちまって、今じゃ移民3世というわけ。			ケテンラム、最後の冒険							
祖父みたいに、ケテンラムの旦那と旅をして、人生が大きく変わった人は多いと聞くよ。			祖父みたいに、ケテンラムの旦那と旅をして、人生が大きく変わった人は多いと聞くよ。			ケテンラム、最後の冒険							
アタシもエオルゼアに行ったことはあるんだけどねぇ、自分じゃトライヨラの民だと思ってるよ。			アタシもエオルゼアに行ったことはあるんだけどねぇ、自分じゃトライヨラの民だと思ってるよ。			ケテンラム、最後の冒険							
今回の探査は、別にお宝探しとかってわけじゃない。「死の三角海域」にある蜃気楼の島……その謎を解き明かすことが目的だ。			今回の探査は、別にお宝探しとかってわけじゃない。「死の三角海域」にある蜃気楼の島……その謎を解き明かすことが目的だ。			ケテンラム、最後の冒険							
結果、安全な行き来が確立できれば、今後そこに停泊地を築いて発展させることだって可能になる。外つ国との貿易はより活発になり、経済効果は計り知れない。			結果、安全な行き来が確立できれば、今後そこに停泊地を築いて発展させることだって可能になる。外つ国との貿易はより活発になり、経済効果は計り知れない。			ケテンラム、最後の冒険							
だから、直接的に儲けが出る話じゃなくても、命を張るに値すると思うぜ。			だから、直接的に儲けが出る話じゃなくても、命を張るに値すると思うぜ。			ケテンラム、最後の冒険							
絶海の孤島ゆえに、未知の天然資源が眠ってる可能性もある。探査隊に資金提供してくれた外つ国の出資者が、そういうのを欲しがってるみたいで、多少は採掘していく予定だ。			絶海の孤島ゆえに、未知の天然資源が眠ってる可能性もある。探査隊に資金提供してくれた外つ国の出資者が、そういうのを欲しがってるみたいで、多少は採掘していく予定だ。			ケテンラム、最後の冒険							
目的の島にゃ、どんな困難が待ち受けてるかわからねぇだろ？だから、様々な分野において、探査隊の外から腕利きの人間を引っ張ってきてるんだがよ……。			目的の島にゃ、どんな困難が待ち受けてるかわからねぇだろ？だから、様々な分野において、探査隊の外から腕利きの人間を引っ張ってきてるんだがよ……。			ケテンラム、最後の冒険							
その中に、とんだ曲者がいやがった。いざ出航したら、救命艇で脱走しようとするわ、船倉に閉じ込めたら、今度は酒を勝手に呑むわ……			その中に、とんだ曲者がいやがった。いざ出航したら、救命艇で脱走しようとするわ、船倉に閉じ込めたら、今度は酒を勝手に呑むわ……			ケテンラム、最後の冒険							
仕方ねぇから、到着まで手足を縛って、テメェで空けた酒樽に詰めてやることにしたよ。			仕方ねぇから、到着まで手足を縛って、テメェで空けた酒樽に詰めてやることにしたよ。			ケテンラム、最後の冒険							
ったく、なんであんな奴を助っ人に選んだんだ？とある有名な商会からの推薦だって話だが、本当のところはどうだか……。			ったく、なんであんな奴を助っ人に選んだんだ？とある有名な商会からの推薦だって話だが、本当のところはどうだか……。			ケテンラム、最後の冒険							
探査隊の仲間たちと話してきたみたいだな。			探査隊の仲間たちと話してきたみたいだな。			ケテンラム、最後の冒険							
航海というのは、ひとりではできない。トラル大陸に到達した航海も、俺の偉業だなんだと言われてるが、実際には多くの仲間の協力があってのこと。			航海というのは、ひとりではできない。トラル大陸に到達した航海も、俺の偉業だなんだと言われてるが、実際には多くの仲間の協力があってのこと。			ケテンラム、最後の冒険							
今、この船に乗っているのも、志を同じくする仲間たち。誰ひとり欠けることなく、無事にやり遂げてみせるぞ。			今、この船に乗っているのも、志を同じくする仲間たち。誰ひとり欠けることなく、無事にやり遂げてみせるぞ。			ケテンラム、最後の冒険							
……さて、もう少ししたら、いよいよ「死の三角海域」にぶちあたる。気を引き締めてかかろう！			……さて、もう少ししたら、いよいよ「死の三角海域」にぶちあたる。気を引き締めてかかろう！			ケテンラム、最後の冒険							
前方に島が見えるぞー！			前方に島が見えるぞー！			ケテンラム、最後の冒険							
よし、針路そのまま。直進して島を目指せ！			よし、針路そのまま。直進して島を目指せ！			ケテンラム、最後の冒険							
了解だ！			了解だ！			ケテンラム、最後の冒険							
目前に見えていた島が、消えた……？			目前に見えていた島が、消えた……？			ケテンラム、最後の冒険							
南西の方角に島影あり！			南西の方角に島影あり！			ケテンラム、最後の冒険							
おいおい、どういうことだ。通り過ぎちまってるじゃないか！			おいおい、どういうことだ。通り過ぎちまってるじゃないか！			ケテンラム、最後の冒険							
急いで船を回頭させろ！			急いで船を回頭させろ！			ケテンラム、最後の冒険							
注視していたにもかかわらず、ふたたび消えたか。噂どおり、まさに蜃気楼の島だ……。			注視していたにもかかわらず、ふたたび消えたか。噂どおり、まさに蜃気楼の島だ……。			ケテンラム、最後の冒険							
巨大な島が実際に動けば、波のひとつも立つはずだが、それがない以上、俺たちの認識に狂いが生じている可能性が高い。……到底、自然現象とは思えんな。			巨大な島が実際に動けば、波のひとつも立つはずだが、それがない以上、俺たちの認識に狂いが生じている可能性が高い。……到底、自然現象とは思えんな。			ケテンラム、最後の冒険							
資格持つ者よ――我が導きに応じよ			資格持つ者よ――我が導きに応じよ			ケテンラム、最後の冒険							
何と言う？			何と言う？			ケテンラム、最後の冒険							
呼ばれずとも、向かってる！			呼ばれずとも、向かってる！			ケテンラム、最後の冒険							
誰かが、呼んでる……？			誰かが、呼んでる……？			ケテンラム、最後の冒険							
何か聞こえたのか？			何か聞こえたのか？			ケテンラム、最後の冒険							
お前を呼ぶ声が？俺には何も聞こえなかったが……			お前を呼ぶ声が？俺には何も聞こえなかったが……			ケテンラム、最後の冒険							
どうした！？			どうした！？			ケテンラム、最後の冒険							
わからねぇ、突然舵が利かなくなって……何かに引き寄せられてるみてぇだ！			わからねぇ、突然舵が利かなくなって……何かに引き寄せられてるみてぇだ！			ケテンラム、最後の冒険							
なんだと……！			なんだと……！			ケテンラム、最後の冒険							
まさか、例の島に……？			まさか、例の島に……？			ケテンラム、最後の冒険							
船体に損傷は？			船体に損傷は？			ケテンラム、最後の冒険							
今のところは問題ないが、がっしりと錨を下ろしたみたいに固定されてる。			今のところは問題ないが、がっしりと錨を下ろしたみたいに固定されてる。			ケテンラム、最後の冒険							
岩礁に激突することもなく、ものの見事に接岸か……。名のある操舵手だって、こうはいかんぞ。			岩礁に激突することもなく、ものの見事に接岸か……。名のある操舵手だって、こうはいかんぞ。			ケテンラム、最後の冒険							
船の固定具合からして、無理に動かすと、ああなっちまうかもしれないね。			船の固定具合からして、無理に動かすと、ああなっちまうかもしれないね。			ケテンラム、最後の冒険							
魔法的な干渉で、ここへ導かれた。そして、この島に閉じ込められた、というわけだな……。			魔法的な干渉で、ここへ導かれた。そして、この島に閉じ込められた、というわけだな……。			ケテンラム、最後の冒険							
フン、それならそれで好都合……探検家と冒険者の血が騒ぐってもんだろ？			フン、それならそれで好都合……探検家と冒険者の血が騒ぐってもんだろ？			ケテンラム、最後の冒険							
ここは、さしづめ「蜃気楼の町」と言ったところか。せっかくお招きにあずかったんだ、さっそく探査開始と行くぞ！			ここは、さしづめ「蜃気楼の町」と言ったところか。せっかくお招きにあずかったんだ、さっそく探査開始と行くぞ！			ケテンラム、最後の冒険							
「死の三角海域」に突入しますか？			「死の三角海域」に突入しますか？			ケテンラム、最後の冒険							
船は出せそうにない。ケテンラムの旦那とともに、周辺の様子を調べてみてくれ。			船は出せそうにない。ケテンラムの旦那とともに、周辺の様子を調べてみてくれ。			ケテンラム、最後の冒険							
謎の声に招かれるとは……お前と組んだのは大正解だったようだな。			謎の声に招かれるとは……お前と組んだのは大正解だったようだな。			ケテンラム、最後の冒険							
しかし、無人島だと思っていたこの三日月島に、こんな町が築かれていたとは、驚きだ。			しかし、無人島だと思っていたこの三日月島に、こんな町が築かれていたとは、驚きだ。			ケテンラム、最後の冒険							
どうやら、島全体を妙な結界が包みこんでいて、俺たちは出ることができないらしい。			どうやら、島全体を妙な結界が包みこんでいて、俺たちは出ることができないらしい。			ケテンラム、最後の冒険							
だが、お前なら地脈の流れを辿って、島外に転移魔法で逃れることも可能かもしれない。引き返したいときは試してみてくれ。			だが、お前なら地脈の流れを辿って、島外に転移魔法で逃れることも可能かもしれない。引き返したいときは試してみてくれ。			ケテンラム、最後の冒険							
さて、すぐにでも大規模探査を……といきたいところだが、ひとまず隊員たちは船上で待機させておこう。周囲の安全を確保するまではな。			さて、すぐにでも大規模探査を……といきたいところだが、ひとまず隊員たちは船上で待機させておこう。周囲の安全を確保するまではな。			ケテンラム、最後の冒険							
それから、お前にはこいつを渡しておく。探査の途中で発見したことを記録しておく手帳だ。			それから、お前にはこいつを渡しておく。探査の途中で発見したことを記録しておく手帳だ。			ケテンラム、最後の冒険							
旅を終えたとき、お前が歩んだ路を示すものとなるだろう。少しでも多くの事柄で埋められるよう、がんばってみてくれ。			旅を終えたとき、お前が歩んだ路を示すものとなるだろう。少しでも多くの事柄で埋められるよう、がんばってみてくれ。			ケテンラム、最後の冒険							
「地脈の奔流」に触れることでトライヨラに帰還できます。また、トライヨラの満ちた玄関にある、「地脈の奔流」を使えば、蜃気楼の町に移動できます。			「地脈の奔流」に触れることでトライヨラに帰還できます。また、トライヨラの満ちた玄関にある、「地脈の奔流」を使えば、蜃気楼の町に移動できます。			ケテンラム、最後の冒険							
メインコマンドの「コンテンツ情報」項目にある、「だいじなもの」内に「三日月島探査記録帳」が追加されました。			メインコマンドの「コンテンツ情報」項目にある、「だいじなもの」内に「三日月島探査記録帳」が追加されました。			ケテンラム、最後の冒険							
三日月島内で探査を進めることで、関連する用語や人物についての項目が追加されていきます。気になる情報を確認してみましょう。			三日月島内で探査を進めることで、関連する用語や人物についての項目が追加されていきます。気になる情報を確認してみましょう。			ケテンラム、最後の冒険							
蜃気楼の町のケテンラムは、警戒を怠っていないようだ。			蜃気楼の町のケテンラムは、警戒を怠っていないようだ。			無人の町							
周辺の様子を探る			周辺の様子を探る			無人の町							
ケテンラムと話す			ケテンラムと話す			無人の町							
私は船を預かる身としてここに残る。周辺の安全確保は、あんたらに任せたよ。			私は船を預かる身としてここに残る。周辺の安全確保は、あんたらに任せたよ。			無人の町							
見たところ、人の姿はないようだ。この町はいったい……。			見たところ、人の姿はないようだ。この町はいったい……。			無人の町							
ともかく、ここで考え込んでいても埒が明かん。船のことはオファンゲイムに任せて、俺たちは少し周辺の様子を探ってみよう。			ともかく、ここで考え込んでいても埒が明かん。船のことはオファンゲイムに任せて、俺たちは少し周辺の様子を探ってみよう。			無人の町							
なあに、船さえ無事であれば、当面の活動に必要な糧食には事欠かんからな。			なあに、船さえ無事であれば、当面の活動に必要な糧食には事欠かんからな。			無人の町							
それじゃ、何か見つかったら、俺に報せてくれ。			それじゃ、何か見つかったら、俺に報せてくれ。			無人の町							
厳重に施錠されている……。少し時間はかかるが、ほかに入口はないようだから、開けられないか試してみるか。			厳重に施錠されている……。少し時間はかかるが、ほかに入口はないようだから、開けられないか試してみるか。			無人の町							
風雨に晒され、苔がびっしりと自生している……。建てられてから、かなりの年月が経っているに違いない。周囲に足跡なども見られず、人がいる気配もないようだ。			風雨に晒され、苔がびっしりと自生している……。建てられてから、かなりの年月が経っているに違いない。周囲に足跡なども見られず、人がいる気配もないようだ。			無人の町							
凪いだ海面を見渡すと、遠くに沈没した船の舳先が見える。過去に死の三角海域に挑み、消息を絶った船だろう。			凪いだ海面を見渡すと、遠くに沈没した船の舳先が見える。過去に死の三角海域に挑み、消息を絶った船だろう。			無人の町							
船首の向きから考えると、島から離れようとして、沈んでしまったようだ。乗組員たちも、運命を共にしたのだろうか？			船首の向きから考えると、島から離れようとして、沈んでしまったようだ。乗組員たちも、運命を共にしたのだろうか？			無人の町							
魔力を帯びた石が、周囲を仄かに照らしている。明らかに人工物であり、天然由来のものではない。			魔力を帯びた石が、周囲を仄かに照らしている。明らかに人工物であり、天然由来のものではない。			無人の町							
石自体が発光しているのか、光らせるための機構があるのか……。現時点では、それを推し量るのは難しい。			石自体が発光しているのか、光らせるための機構があるのか……。現時点では、それを推し量るのは難しい。			無人の町							
ひととおり町を見て回った。わかったことを「ケテンラム」に報告しよう。			ひととおり町を見て回った。わかったことを「ケテンラム」に報告しよう。			無人の町							
謎を解く手がかりになりそうなものは、お前も見つけられなかったか。			謎を解く手がかりになりそうなものは、お前も見つけられなかったか。			無人の町							
建物の状態からして、かなり古い時代の町らしい。住人がいなくても不思議ではないが、難破船の生き残りでもいてくれればと思ったんだがな……。			建物の状態からして、かなり古い時代の町らしい。住人がいなくても不思議ではないが、難破船の生き残りでもいてくれればと思ったんだがな……。			無人の町							
