双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			手を伸ばす先の勝利							
そ、それが……今以上の人員は割けないそうです。主要な部隊は、提督および、標的となり得る要人の警護にまわっており……。			そ、それが……今以上の人員は割けないそうです。主要な部隊は、提督および、標的となり得る要人の警護にまわっており……。			手を伸ばす先の勝利							
ありえませんわ！レイナー司令は何を考えてますの……！危険な海賊が、街に侵入しているんですのよ！？			ありえませんわ！レイナー司令は何を考えてますの……！危険な海賊が、街に侵入しているんですのよ！？			手を伸ばす先の勝利							
各地のイエロージャケットをかき集めてでも、警備を強化し、市民の安全を守るべきですわ！			各地のイエロージャケットをかき集めてでも、警備を強化し、市民の安全を守るべきですわ！			手を伸ばす先の勝利							
ですが、賊が言葉どおりに襲ってくるとはかぎりません。標的がリムサ・ロミンサから逸れる場合も考慮し、ここは我々だけで守るしか……。			ですが、賊が言葉どおりに襲ってくるとはかぎりません。標的がリムサ・ロミンサから逸れる場合も考慮し、ここは我々だけで守るしか……。			手を伸ばす先の勝利							
……ッ！もういい、貴方も持ち場に戻りなさい！			……ッ！もういい、貴方も持ち場に戻りなさい！			手を伸ばす先の勝利							
失ってからじゃ、どんなに後悔したって遅いんですのよ……！			失ってからじゃ、どんなに後悔したって遅いんですのよ……！			手を伸ばす先の勝利							
……どうかしましたの？何か、困ったことでも……。			……どうかしましたの？何か、困ったことでも……。			手を伸ばす先の勝利							
……ッ！？			……ッ！？			手を伸ばす先の勝利							
(-得体の知れない男-)会いたかったぞ……。先日は、うちの大事な取引を、台無しにしてくれたそうだな。			(-得体の知れない男-)会いたかったぞ……。先日は、うちの大事な取引を、台無しにしてくれたそうだな。			手を伸ばす先の勝利							
貴方……「断罪党」の……！？アイシービルの手下ですわね……！			貴方……「断罪党」の……！？アイシービルの手下ですわね……！			手を伸ばす先の勝利							
お前は少し、こちらの世界に踏み込みすぎた。正義なんぞに取り憑かれるから、底なしの闇に堕ちるのさ……。			お前は少し、こちらの世界に踏み込みすぎた。正義なんぞに取り憑かれるから、底なしの闇に堕ちるのさ……。			手を伸ばす先の勝利							
よかったな、正義のために……殉職だ。			よかったな、正義のために……殉職だ。			手を伸ばす先の勝利							
船長、例の女を始末しました……。「黒の棺」も、そろそろ「溺れた海豚亭」前に到着します。			船長、例の女を始末しました……。「黒の棺」も、そろそろ「溺れた海豚亭」前に到着します。			手を伸ばす先の勝利							
ああ……まもなくだ……。海賊を失墜させた提督を、ご自慢の塔と支持する民もろとも、海底へ引きずりこんでやる……。			ああ……まもなくだ……。海賊を失墜させた提督を、ご自慢の塔と支持する民もろとも、海底へ引きずりこんでやる……。			手を伸ばす先の勝利							
そして俺が「断罪党」を率い、新たな海賊時代の幕を上げるのだ……！			そして俺が「断罪党」を率い、新たな海賊時代の幕を上げるのだ……！			手を伸ばす先の勝利							
ウィ～ック……飲みすぎちまった……。そろそろ戻らねぇと、カミさんに叱られるぅ……。			ウィ～ック……飲みすぎちまった……。そろそろ戻らねぇと、カミさんに叱られるぅ……。			手を伸ばす先の勝利							
……ん？　なんじゃありゃ？			……ん？　なんじゃありゃ？			手を伸ばす先の勝利							
……そうか……奴らの……狙いは…………提督室ではなく……ミズンマスト、そのもの…………。			……そうか……奴らの……狙いは…………提督室ではなく……ミズンマスト、そのもの…………。			手を伸ばす先の勝利							
都市随一の巨塔が倒れれば……倒壊に巻き込まれ……橋梁が連鎖的に崩落………………リムサ・ロミンサが……海に沈む……！？			都市随一の巨塔が倒れれば……倒壊に巻き込まれ……橋梁が連鎖的に崩落………………リムサ・ロミンサが……海に沈む……！？			手を伸ばす先の勝利							
お、ねがい……手を貸して……。このままじゃ……犠牲者が……たくさん……ッ……！			お、ねがい……手を貸して……。このままじゃ……犠牲者が……たくさん……ッ……！			手を伸ばす先の勝利							
ヒィッ！　何だこいつ！？お、お、俺は何にも知らねぇよぉ～！厄介ごとは勘弁してくれぇ……！			ヒィッ！　何だこいつ！？お、お、俺は何にも知らねぇよぉ～！厄介ごとは勘弁してくれぇ……！			手を伸ばす先の勝利							
ま、待って……！せめて……仲間に連絡……を…………！			ま、待って……！せめて……仲間に連絡……を…………！			手を伸ばす先の勝利							
……だれ……か…………。			……だれ……か…………。			手を伸ばす先の勝利							
貴方……どうして、ここが……？			貴方……どうして、ここが……？			手を伸ばす先の勝利							
さすがは「強く、正しい」イエロージャケットの装備だぜ。響いた銃声が、全部教えてくれたのさ。			さすがは「強く、正しい」イエロージャケットの装備だぜ。響いた銃声が、全部教えてくれたのさ。			手を伸ばす先の勝利							
来る途中、イエロージャケットに声をかけてきました。すぐに救護班がくるはずです。			来る途中、イエロージャケットに声をかけてきました。すぐに救護班がくるはずです。			手を伸ばす先の勝利							
わかった……。なら、俺たちのやるべきことは、ひとつだな。			わかった……。なら、俺たちのやるべきことは、ひとつだな。			手を伸ばす先の勝利							
貴方がたに……協力を頼める義理は、ありませんわ……。恥知らずと誹られても……かまいません……。			貴方がたに……協力を頼める義理は、ありませんわ……。恥知らずと誹られても……かまいません……。			手を伸ばす先の勝利							
だけど、お願い……奴らを止めて……！みんなを……助けて…………！			だけど、お願い……奴らを止めて……！みんなを……助けて…………！			手を伸ばす先の勝利							
お前も、最初から知ってただろ。掟破りに制裁を下し、不当に奪われた品を奪還するのは、俺たち双剣士の仕事だ。			お前も、最初から知ってただろ。掟破りに制裁を下し、不当に奪われた品を奪還するのは、俺たち双剣士の仕事だ。			手を伸ばす先の勝利							
……お前ら、準備はいいか？			……お前ら、準備はいいか？			手を伸ばす先の勝利							
もちろん、できてる……。			もちろん、できてる……。			手を伸ばす先の勝利							
いつでもどうぞ！			いつでもどうぞ！			手を伸ばす先の勝利							
アイシービル率いる急進派を倒し、「黒の棺」をいただく。……ぶんどりにいくぜ、野郎ども！			アイシービル率いる急進派を倒し、「黒の棺」をいただく。……ぶんどりにいくぜ、野郎ども！			手を伸ばす先の勝利							
……状況は？			……状況は？			手を伸ばす先の勝利							
「黒の棺」は動作を停止。まもなく、撤去作業が完了します。			「黒の棺」は動作を停止。まもなく、撤去作業が完了します。			手を伸ばす先の勝利							
急進派との交戦で、多少の負傷者はでたものの、命に関わるような怪我はありません。……提督からも、「よくやってくれた」と伝言が。			急進派との交戦で、多少の負傷者はでたものの、命に関わるような怪我はありません。……提督からも、「よくやってくれた」と伝言が。			手を伸ばす先の勝利							
そう……。			そう……。			手を伸ばす先の勝利							
ほらほら、あの方よ！命をかけてリムサ・ロミンサを守ってくれた、陸士長様は！			ほらほら、あの方よ！命をかけてリムサ・ロミンサを守ってくれた、陸士長様は！			手を伸ばす先の勝利							
もう、お体は大丈夫なんですか！？			もう、お体は大丈夫なんですか！？			手を伸ばす先の勝利							
聞きましたよ、ミズンマストを爆破しようとした海賊を、命がけで止めてくださったって！			聞きましたよ、ミズンマストを爆破しようとした海賊を、命がけで止めてくださったって！			手を伸ばす先の勝利							
さすが、イエロージャケットだ！あんたたちはやっぱり、正義の味方ですなぁ！			さすが、イエロージャケットだ！あんたたちはやっぱり、正義の味方ですなぁ！			手を伸ばす先の勝利							
ちょ、ちょっと……！いったい、どういうことですの？奴らを止めたのは、わたくしではなくて……。			ちょ、ちょっと……！いったい、どういうことですの？奴らを止めたのは、わたくしではなくて……。			手を伸ばす先の勝利							
双剣士たちは、どうなったんですの？彼らは、今どこに……？			双剣士たちは、どうなったんですの？彼らは、今どこに……？			手を伸ばす先の勝利							
わかりません……。我々が駆けつけたときには、縛られた海賊がいるばかりで、双剣士たちの姿は消えていました。			わかりません……。我々が駆けつけたときには、縛られた海賊がいるばかりで、双剣士たちの姿は消えていました。			手を伸ばす先の勝利							
……なるほど。これは、大きな借りを作ってしまいましたわね。			……なるほど。これは、大きな借りを作ってしまいましたわね。			手を伸ばす先の勝利							
ところで、ミリララ様。例のイヤリング……「銀の涙」をお持ちではないですか？「黒の棺」とともに引き渡すよう、上から命令が……。			ところで、ミリララ様。例のイヤリング……「銀の涙」をお持ちではないですか？「黒の棺」とともに引き渡すよう、上から命令が……。			手を伸ばす先の勝利							
ああ、それでしたら、わたくしがつけて……			ああ、それでしたら、わたくしがつけて……			手を伸ばす先の勝利							
………………ない！？どうして、さっきまでつけていましたのに！			………………ない！？どうして、さっきまでつけていましたのに！			手を伸ばす先の勝利							
ハッ……もしやあのとき……！？斬られたわたくしを助けるふりをして、ジャックが持ち去った……！？			ハッ……もしやあのとき……！？斬られたわたくしを助けるふりをして、ジャックが持ち去った……！？			手を伸ばす先の勝利							
身につけろと言ったのも、最初からそれが狙い……！やってくれましたわね、あの双剣士～～～～ッ！			身につけろと言ったのも、最初からそれが狙い……！やってくれましたわね、あの双剣士～～～～ッ！			手を伸ばす先の勝利							
まったく、もう！さすがですわっ……！			まったく、もう！さすがですわっ……！			手を伸ばす先の勝利							
いいんですか？「黒の棺」をイエロージャケットに渡しちゃって。			いいんですか？「黒の棺」をイエロージャケットに渡しちゃって。			手を伸ばす先の勝利							
……ま、あいつの正義に免じて、置き土産ってところだ。俺たちの方も、いただくものはいただいたしな。			……ま、あいつの正義に免じて、置き土産ってところだ。俺たちの方も、いただくものはいただいたしな。			手を伸ばす先の勝利							
（★未使用／削除予定★） 			（★未使用／削除予定★） 			手を伸ばす先の勝利							
ふふ……。やっぱり、ジャックには似合わない。			ふふ……。やっぱり、ジャックには似合わない。			手を伸ばす先の勝利							
うるせぇ、ほっとけ！			うるせぇ、ほっとけ！			手を伸ばす先の勝利							
「黒の棺」はイエロージャケットの手に、「青の星」と「銀の涙」は俺たちの手にある……。つまり秘宝奪還の勝負は、双剣士ギルドの大勝利だ！			「黒の棺」はイエロージャケットの手に、「青の星」と「銀の涙」は俺たちの手にある……。つまり秘宝奪還の勝負は、双剣士ギルドの大勝利だ！			手を伸ばす先の勝利							
ミリララさんは、あきらめてくれますかね？なんだか、また絡まれそうな気がするんですけど。			ミリララさんは、あきらめてくれますかね？なんだか、また絡まれそうな気がするんですけど。			手を伸ばす先の勝利							
さあ、どうだかな。……だが、表あるところに裏がある。裏の世界があるかぎり、俺たちの仕事はなくならねぇさ。			さあ、どうだかな。……だが、表あるところに裏がある。裏の世界があるかぎり、俺たちの仕事はなくならねぇさ。			手を伸ばす先の勝利							
……そうですね！はぁー、次はどんな依頼が飛び込んでくるやら。			……そうですね！はぁー、次はどんな依頼が飛び込んでくるやら。			手を伸ばす先の勝利							
Forename、今回は大活躍でしたね！いつかまた一緒に仕事をするの、楽しみにしてますよ。			Forename、今回は大活躍でしたね！いつかまた一緒に仕事をするの、楽しみにしてますよ。			手を伸ばす先の勝利							
私も、おなかがすいたから帰る……。Forename、よく食べて休んでね……。			私も、おなかがすいたから帰る……。Forename、よく食べて休んでね……。			手を伸ばす先の勝利							
そんじゃ、俺たちもギルドに帰るとするか。……ここにいて、派手女に見つかっても面倒だしな。			そんじゃ、俺たちもギルドに帰るとするか。……ここにいて、派手女に見つかっても面倒だしな。			手を伸ばす先の勝利							
おつかれ、Forename。また、あとでな。			おつかれ、Forename。また、あとでな。			手を伸ばす先の勝利							
よう、Forename。お互い、やっと一息つけそうだな。俺もさすがに今回はクタクタだぜ……はは……。			よう、Forename。お互い、やっと一息つけそうだな。俺もさすがに今回はクタクタだぜ……はは……。			手を伸ばす先の勝利							
お前は冒険者としての本分もあるのに、ずいぶん大きな事件につきあわせちまったな……。だが、おかげで今回の仕事は大成功だ！			お前は冒険者としての本分もあるのに、ずいぶん大きな事件につきあわせちまったな……。だが、おかげで今回の仕事は大成功だ！			手を伸ばす先の勝利							
仕事で身に着けた技術を、お前なら正しく使っていける。その足が向かうのが「掟」のない場所だとしたら、自分の中の譲れないものを「掟」にして、双剣を振るうんだ。			仕事で身に着けた技術を、お前なら正しく使っていける。その足が向かうのが「掟」のない場所だとしたら、自分の中の譲れないものを「掟」にして、双剣を振るうんだ。			手を伸ばす先の勝利							
双剣士の扱う技は、どんな状況の中だって、お前の「掟」を守るための力になるはずだぜ。			双剣士の扱う技は、どんな状況の中だって、お前の「掟」を守るための力になるはずだぜ。			手を伸ばす先の勝利							
……じゃ、今回はそろそろお開きにしとくが、お前の協力なら、いつだって大歓迎だ。無事でまた会おうぜ、Forename！			……じゃ、今回はそろそろお開きにしとくが、お前の協力なら、いつだって大歓迎だ。無事でまた会おうぜ、Forename！			手を伸ばす先の勝利							
アイシービルたちを倒し、爆発を阻止しろ！			アイシービルたちを倒し、爆発を阻止しろ！			手を伸ばす先の勝利							
起爆装置の破壊			起爆装置の破壊			手を伸ばす先の勝利							
制限時間内に、起爆装置を探して破壊しろ！			制限時間内に、起爆装置を探して破壊しろ！			手を伸ばす先の勝利							
アイシービルたちを倒せ！			アイシービルたちを倒せ！			手を伸ばす先の勝利							
アイシービルを追って、ミズンマストへ向かうぞ！			アイシービルを追って、ミズンマストへ向かうぞ！			手を伸ばす先の勝利							
Forename、起爆装置を探して壊せ！　全部だ！こいつらは、俺たちが引き受ける……！			Forename、起爆装置を探して壊せ！　全部だ！こいつらは、俺たちが引き受ける……！			手を伸ばす先の勝利							
しまった、爆発が……くそぉぉぉッ…………！			しまった、爆発が……くそぉぉぉッ…………！			手を伸ばす先の勝利							
よし！　あとは、掟破りに制裁を下すのみ！……全員でいくぜ、お前ら！			よし！　あとは、掟破りに制裁を下すのみ！……全員でいくぜ、お前ら！			手を伸ばす先の勝利							
う……ぐっ……あと一歩だってのによ……！			う……ぐっ……あと一歩だってのによ……！			手を伸ばす先の勝利							
ちょうどいい、全員まとめてシメてやる！			ちょうどいい、全員まとめてシメてやる！			手を伸ばす先の勝利							
くっ、数が多い……。急進派も、総力戦ってわけですか……！			くっ、数が多い……。急進派も、総力戦ってわけですか……！			手を伸ばす先の勝利							
諦めないで！　「起爆装置」を壊せばいいんです！近くに、いくつか設置してあるはずだ……！			諦めないで！　「起爆装置」を壊せばいいんです！近くに、いくつか設置してあるはずだ……！			手を伸ばす先の勝利							
「黒の棺」のランプが消えた……！？			「黒の棺」のランプが消えた……！？			手を伸ばす先の勝利							
っ……すみません……足手纏いだったみたいです……。			っ……すみません……足手纏いだったみたいです……。			手を伸ばす先の勝利							
そんな……もう止められないの……！？			そんな……もう止められないの……！？			手を伸ばす先の勝利							
Forenameが、起爆装置を壊してくれたんだ……！			Forenameが、起爆装置を壊してくれたんだ……！			手を伸ばす先の勝利							
ごめんなさい……私、もう…………。			ごめんなさい……私、もう…………。			手を伸ばす先の勝利							
双剣士か……諦めろ、もはや手遅れだ。あと3分で、「黒の棺」がミズンマストを吹き飛ばす！			双剣士か……諦めろ、もはや手遅れだ。あと3分で、「黒の棺」がミズンマストを吹き飛ばす！			手を伸ばす先の勝利							
おのれ双剣士ィィッ！貴様ら全員、我が野望とともに死ねェェェッ！			おのれ双剣士ィィッ！貴様ら全員、我が野望とともに死ねェェェッ！			手を伸ばす先の勝利							
グァァッ……まさか、双剣士ごときに……！俺は……「断罪党」を……手にするはずの…………。			グァァッ……まさか、双剣士ごときに……！俺は……「断罪党」を……手にするはずの…………。			手を伸ばす先の勝利							
双剣士ギルドのジャックは、最後の「秘宝」について突き止めたようだ。			双剣士ギルドのジャックは、最後の「秘宝」について突き止めたようだ。			闇黒の死							
ジャックたちの調べにより、秘宝「黒の棺」が爆雷であることが判明した。話し合いの最中、根なしの闇商人から呼び出しの手紙が届いたが……。高地ラノシアのサラオスの亡骸付近で「根なしの闇商人」を探そう。			ジャックたちの調べにより、秘宝「黒の棺」が爆雷であることが判明した。話し合いの最中、根なしの闇商人から呼び出しの手紙が届いたが……。高地ラノシアのサラオスの亡骸付近で「根なしの闇商人」を探そう。			闇黒の死							
倒れている根なしの闇商人に近づいたところ、「断罪党」の海賊が襲ってきた。サラオスの亡骸付近の「根なしの闇商人」を救助しよう。			倒れている根なしの闇商人に近づいたところ、「断罪党」の海賊が襲ってきた。サラオスの亡骸付近の「根なしの闇商人」を救助しよう。			闇黒の死							
根なしの闇商人は「断罪党」急進派の海賊によって殺されていた。彼らはメルウィブ提督をも「黒の棺」で抹殺するつもりらしい。サラオスの亡骸付近の「ジャック」と話そう。			根なしの闇商人は「断罪党」急進派の海賊によって殺されていた。彼らはメルウィブ提督をも「黒の棺」で抹殺するつもりらしい。サラオスの亡骸付近の「ジャック」と話そう。			闇黒の死							
ジャックと話し、ミリララへの伝言を頼まれた。中央ラノシアのフォアマストにいる「ミリララ」と話そう。			ジャックと話し、ミリララへの伝言を頼まれた。中央ラノシアのフォアマストにいる「ミリララ」と話そう。			闇黒の死							
ミリララに事情を伝えた。双剣士ギルドの「ジャック」と話そう。			ミリララに事情を伝えた。双剣士ギルドの「ジャック」と話そう。			闇黒の死							
ジャックと話した。「黒の棺」は、爆発させることなく奪還しなければならない。ジャックから託された技を活用して、急進派に挑もう。			ジャックと話した。「黒の棺」は、爆発させることなく奪還しなければならない。ジャックから託された技を活用して、急進派に挑もう。			闇黒の死							
サラオスの亡骸付近で根なしの闇商人を探す			サラオスの亡骸付近で根なしの闇商人を探す			闇黒の死							
根なしの闇商人を救助する			根なしの闇商人を救助する			闇黒の死							
サラオスの亡骸付近のジャックと話す			サラオスの亡骸付近のジャックと話す			闇黒の死							
フォアマストのミリララと話す			フォアマストのミリララと話す			闇黒の死							
双剣士ギルドのジャックと話す			双剣士ギルドのジャックと話す			闇黒の死							
待ってたぜ、Forename。腕もしっかり鍛え上げて、万全って感じじゃねぇか。			待ってたぜ、Forename。腕もしっかり鍛え上げて、万全って感じじゃねぇか。			闇黒の死							
こっちも、最後の「秘宝」について突き止めた。イエロージャケットの派手女との勝負は、今のところ1対1……奪還を成功させて、勝ちにいくぞ。			こっちも、最後の「秘宝」について突き止めた。イエロージャケットの派手女との勝負は、今のところ1対1……奪還を成功させて、勝ちにいくぞ。			闇黒の死							
それじゃ、あいつらも呼んで、最後の作戦会議だ！			それじゃ、あいつらも呼んで、最後の作戦会議だ！			闇黒の死							
さて、残る「秘宝」は、「黒の棺」ただひとつだ。……ペリム・ハウリム、こいつの正体がわかったんだな？			さて、残る「秘宝」は、「黒の棺」ただひとつだ。……ペリム・ハウリム、こいつの正体がわかったんだな？			闇黒の死							
ええ、どうにか。「秘宝」って呼び名に、ずいぶん踊らされましたけどね。てっきり、ほかの2つみたいな年代物かと……。			ええ、どうにか。「秘宝」って呼び名に、ずいぶん踊らされましたけどね。てっきり、ほかの2つみたいな年代物かと……。			闇黒の死							
最後の秘宝「黒の棺」……こいつの正体は、帝国の輸送船から略奪された試作兵器、「LI式魔導爆雷」だったんです！			最後の秘宝「黒の棺」……こいつの正体は、帝国の輸送船から略奪された試作兵器、「LI式魔導爆雷」だったんです！			闇黒の死							
しかも、ただの爆雷じゃありませんよ。小型ながら、伝説の魔獣ベヒーモスすら一撃で爆砕するという、超高威力の兵器だとか……。			しかも、ただの爆雷じゃありませんよ。小型ながら、伝説の魔獣ベヒーモスすら一撃で爆砕するという、超高威力の兵器だとか……。			闇黒の死							
ラノシアにある帝国基地で製作され、洋上の補給基地を通じて、配備するつもりだったんでしょう。……確かに、ある意味では「秘められた宝」ってわけですね。			ラノシアにある帝国基地で製作され、洋上の補給基地を通じて、配備するつもりだったんでしょう。……確かに、ある意味では「秘められた宝」ってわけですね。			闇黒の死							
リムサ・ロミンサ政庁はきっと、軍事的な研究のために、「黒の棺」を落札したのね……。どうりで、私たちにさえ詳細を告げないはずだ……。			リムサ・ロミンサ政庁はきっと、軍事的な研究のために、「黒の棺」を落札したのね……。どうりで、私たちにさえ詳細を告げないはずだ……。			闇黒の死							
……で、肝心の「黒の棺」の在り処ですが、「断罪党」の急進派に渡ったところまでは確認がとれました。			……で、肝心の「黒の棺」の在り処ですが、「断罪党」の急進派に渡ったところまでは確認がとれました。			闇黒の死							
でも、それ以降はさっぱり！今のところ、使われた形跡こそありませんが、連中の手元にあるのか、売り払ったのかは不明です……。			でも、それ以降はさっぱり！今のところ、使われた形跡こそありませんが、連中の手元にあるのか、売り払ったのかは不明です……。			闇黒の死							
「断罪党」の急進派は、反メルウィブ提督を掲げる過激な連中だ。何にせよ、ろくな使い方には期待できねぇな……。			「断罪党」の急進派は、反メルウィブ提督を掲げる過激な連中だ。何にせよ、ろくな使い方には期待できねぇな……。			闇黒の死							
……どうした？			……どうした？			闇黒の死							
取り込み中に、すまない。お前たちの仕事に関する手紙が届いてるぞ。			取り込み中に、すまない。お前たちの仕事に関する手紙が届いてるぞ。			闇黒の死							
……手紙ぃ？覚えがねぇな、いったい誰からだ？			……手紙ぃ？覚えがねぇな、いったい誰からだ？			闇黒の死							
爺……根なしの闇商人からのようだ。「エーデルワイス商会」宛の荷物に、いつの間にか紛れていた。			爺……根なしの闇商人からのようだ。「エーデルワイス商会」宛の荷物に、いつの間にか紛れていた。			闇黒の死							
なになに……。「至急、サラオスの亡骸に来られたし」だって……？			なになに……。「至急、サラオスの亡骸に来られたし」だって……？			闇黒の死							
おお、爺から呼び出しなんて珍しいですね！ここのところ、どこに行っても会えなかったので、とっておきの情報を仕入れて待ってるのかもしれませんよ？			おお、爺から呼び出しなんて珍しいですね！ここのところ、どこに行っても会えなかったので、とっておきの情報を仕入れて待ってるのかもしれませんよ？			闇黒の死							
とっておき情報ね…………。……本当にそうだといいんだがな。			とっておき情報ね…………。……本当にそうだといいんだがな。			闇黒の死							
Forename、俺とお前で「サラオスの亡骸」へ行くぞ。ペリム・ハウリムとヴァ・ケビは、俺たちが戻るまで、もう一度「黒の棺」の在り処を追ってくれ。			Forename、俺とお前で「サラオスの亡骸」へ行くぞ。ペリム・ハウリムとヴァ・ケビは、俺たちが戻るまで、もう一度「黒の棺」の在り処を追ってくれ。			闇黒の死							
俺とお前で「サラオスの亡骸」へ行くぞ。爺からの呼び出し……嫌な予感が当たらなきゃいいが。			俺とお前で「サラオスの亡骸」へ行くぞ。爺からの呼び出し……嫌な予感が当たらなきゃいいが。			闇黒の死							
かかったぞ、双剣士だ！			かかったぞ、双剣士だ！			闇黒の死							
叩き潰せ…！			叩き潰せ…！			闇黒の死							
愚かですねぇ			愚かですねぇ			闇黒の死							
(-？？？？-)ウフフ……助けようとしても無駄よぉ？だってそいつ、とっくにあたしたちが殺したものぉ……。			(-？？？？-)ウフフ……助けようとしても無駄よぉ？だってそいつ、とっくにあたしたちが殺したものぉ……。			闇黒の死							
「断罪党」……中でも、急進派って呼ばれてるあたしたちを敵に回すと、こういうことになっちゃうんだから。			「断罪党」……中でも、急進派って呼ばれてるあたしたちを敵に回すと、こういうことになっちゃうんだから。			闇黒の死							
あなたたちに送った手紙も偽物だったわけ。ウフフフ……まんまと偽の誘いに乗っちゃったわねぇ、お邪魔虫の双剣士さん……？			あなたたちに送った手紙も偽物だったわけ。ウフフフ……まんまと偽の誘いに乗っちゃったわねぇ、お邪魔虫の双剣士さん……？			闇黒の死							
やだ、怖い顔しないでぇ？あたしたち急進派を率いる御方……「アイシービル」船長が、双剣士と遊んでやれって言ったから、仕方ないのよぉ。			やだ、怖い顔しないでぇ？あたしたち急進派を率いる御方……「アイシービル」船長が、双剣士と遊んでやれって言ったから、仕方ないのよぉ。			闇黒の死							
