魔導船の設計技師は、知神の港で休憩をしているようだ。			魔導船の設計技師は、知神の港で休憩をしているようだ。			心を持たぬ者は思考する							
恐らくは、未知言語による音声通信だろう。しかし、シャーレアンの有識者をもってしても解析できず、何を伝えたいのかわからない……。			恐らくは、未知言語による音声通信だろう。しかし、シャーレアンの有識者をもってしても解析できず、何を伝えたいのかわからない……。			心を持たぬ者は思考する							
ほかに打つ手はないかと唸っていたんだが、ついに今日、「ある方法」で成果が出せるかもしれないんだ。			ほかに打つ手はないかと唸っていたんだが、ついに今日、「ある方法」で成果が出せるかもしれないんだ。			心を持たぬ者は思考する							
魔導船に乗っていたキミにも、よければ一緒に報告を聞いてもらいたい。ラヴィリンソスのタウマゼインまで、ご足労いただけるかな？			魔導船に乗っていたキミにも、よければ一緒に報告を聞いてもらいたい。ラヴィリンソスのタウマゼインまで、ご足労いただけるかな？			心を持たぬ者は思考する							
やあ、来てくれて感謝するよ。この場所で、「謎の通信」の調査に協力してくれている、ガーロンド社の社員と待ち合わせているんだ。			やあ、来てくれて感謝するよ。この場所で、「謎の通信」の調査に協力してくれている、ガーロンド社の社員と待ち合わせているんだ。			心を持たぬ者は思考する							
彼らも、間もなく来るはずなんだが……。			彼らも、間もなく来るはずなんだが……。			心を持たぬ者は思考する							
(-？？？？-)悪い、少し遅れた。……って、どうしてSurnameが！？			(-？？？？-)悪い、少し遅れた。……って、どうしてSurnameが！？			心を持たぬ者は思考する							
街で休憩を満喫していたら、偶然にも出会ってね。せっかくだし、ご同行いただいたのさ。			街で休憩を満喫していたら、偶然にも出会ってね。せっかくだし、ご同行いただいたのさ。			心を持たぬ者は思考する							
ほほーう。さすがだな、運がいいというか、勘がいいというか……。			ほほーう。さすがだな、運がいいというか、勘がいいというか……。			心を持たぬ者は思考する							
確かに、いろんな意味で、お前にも関係する話だ。用事が立て込んでいないなら、是非聞いていってくれ。			確かに、いろんな意味で、お前にも関係する話だ。用事が立て込んでいないなら、是非聞いていってくれ。			心を持たぬ者は思考する							
それじゃあ、さっきの話の続きといこうか。			それじゃあ、さっきの話の続きといこうか。			心を持たぬ者は思考する							
魔導船ラグナロクが傍受した「謎の通信」は、未知の言語によるメッセージだと推測された……。			魔導船ラグナロクが傍受した「謎の通信」は、未知の言語によるメッセージだと推測された……。			心を持たぬ者は思考する							
加えて、受け取ったのが宇宙空間だったわけだから、どこか異星の言葉であると考えるのが妥当だろう。			加えて、受け取ったのが宇宙空間だったわけだから、どこか異星の言葉であると考えるのが妥当だろう。			心を持たぬ者は思考する							
残念ながら、我々には異星の友人が少ない……今のところはね。というわけで、メッセージの内容を把握するのは、不可能に近いと思われていたんだ。			残念ながら、我々には異星の友人が少ない……今のところはね。というわけで、メッセージの内容を把握するのは、不可能に近いと思われていたんだ。			心を持たぬ者は思考する							
どうしても諦められなかった仲間のひとりが、魔導船を造るときに意気投合したガーロンド社の技術者に、無理を承知で助言を求めるまではね。			どうしても諦められなかった仲間のひとりが、魔導船を造るときに意気投合したガーロンド社の技術者に、無理を承知で助言を求めるまではね。			心を持たぬ者は思考する							
俺たちのところに話がまわってきたとき、ウェッジが、とんでもないことを言い出したんだ。			俺たちのところに話がまわってきたとき、ウェッジが、とんでもないことを言い出したんだ。			心を持たぬ者は思考する							
「アルファと一緒にいる玩具のオメガなら、　その言葉、わかったりしないッス？」ってな。			「アルファと一緒にいる玩具のオメガなら、　その言葉、わかったりしないッス？」ってな。			心を持たぬ者は思考する							
もちろん、オメガは次元の狭間でお前が倒した。今アルファと一緒にいるのは、俺たちの作った模型にすぎない。			もちろん、オメガは次元の狭間でお前が倒した。今アルファと一緒にいるのは、俺たちの作った模型にすぎない。			心を持たぬ者は思考する							
……が、本来なら対象を追従する程度しかできないはずが、まるで意志を持っているかのような動きをすることについて、説明がつかないのも確かなんだよ。			……が、本来なら対象を追従する程度しかできないはずが、まるで意志を持っているかのような動きをすることについて、説明がつかないのも確かなんだよ。			心を持たぬ者は思考する							
そして、親方のもとに届いた、「暁」からの終末に関する報告書……			そして、親方のもとに届いた、「暁」からの終末に関する報告書……			心を持たぬ者は思考する							
それによれば、オメガたちの文明では、精神を信号化して体外に保存することまで、できていたそうじゃないか。			それによれば、オメガたちの文明では、精神を信号化して体外に保存することまで、できていたそうじゃないか。			心を持たぬ者は思考する							
だとすれば、消滅に瀕したオメガが、自身の精神をあの玩具に入れた可能性だってあるはずだ。			だとすれば、消滅に瀕したオメガが、自身の精神をあの玩具に入れた可能性だってあるはずだ。			心を持たぬ者は思考する							
真相を確かめるため……そしてもしオメガの精神がそこに宿っているのなら、「謎の通信」について聞くために、俺たちは準備を整えた。			真相を確かめるため……そしてもしオメガの精神がそこに宿っているのなら、「謎の通信」について聞くために、俺たちは準備を整えた。			心を持たぬ者は思考する							
ラヴィリンソスの研究者や技術者と協力して、あの模型に、発声機構を取りつけたのさ！			ラヴィリンソスの研究者や技術者と協力して、あの模型に、発声機構を取りつけたのさ！			心を持たぬ者は思考する							
お待たせしたッス！オメガに、例の通信を聞かせてきたッス！			お待たせしたッス！オメガに、例の通信を聞かせてきたッス！			心を持たぬ者は思考する							
何と言う？			何と言う？			心を持たぬ者は思考する							
本当に、あのオメガなのか？			本当に、あのオメガなのか？			心を持たぬ者は思考する							
ええと……ハロー……？			ええと……ハロー……？			心を持たぬ者は思考する							
……肯定。もっとも、アナタの言う「あのオメガ」が、機体ではなく精神を指すのであればですが。			……肯定。もっとも、アナタの言う「あのオメガ」が、機体ではなく精神を指すのであればですが。			心を持たぬ者は思考する							
……ハロー。挨拶からコミュニケーションを図るのは妥当な判断ですが、この場合、アナタは先に事実を確認すべきでした。			……ハロー。挨拶からコミュニケーションを図るのは妥当な判断ですが、この場合、アナタは先に事実を確認すべきでした。			心を持たぬ者は思考する							
もしワタシの精神が移されていなければ、「ただの模型に挨拶をしたヒト」になっていたのですから。個体名Forename。			もしワタシの精神が移されていなければ、「ただの模型に挨拶をしたヒト」になっていたのですから。個体名Forename。			心を持たぬ者は思考する							
訂正……ワタシについて、予想される誤認を先に否定しておきます。			訂正……ワタシについて、予想される誤認を先に否定しておきます。			心を持たぬ者は思考する							
ひとつ、このボディは、個体名ビッグスおよびウェッジに製造された模型のまま。戦闘能力は、ヒトの幼体以下と推定されます。			ひとつ、このボディは、個体名ビッグスおよびウェッジに製造された模型のまま。戦闘能力は、ヒトの幼体以下と推定されます。			心を持たぬ者は思考する							
ふたつ、緊急時の精神移植は、もとの機体に搭載されていた機能です。あれが消滅している以上、再使用は不可能となっています。			ふたつ、緊急時の精神移植は、もとの機体に搭載されていた機能です。あれが消滅している以上、再使用は不可能となっています。			心を持たぬ者は思考する							
現在のボディが停止、ないし破壊されれば、今度こそワタシの精神も終わりを迎えるでしょう。			現在のボディが停止、ないし破壊されれば、今度こそワタシの精神も終わりを迎えるでしょう。			心を持たぬ者は思考する							
結論……ワタシにアナタがたを害する能力はなく、その必要性も算出されていません。			結論……ワタシにアナタがたを害する能力はなく、その必要性も算出されていません。			心を持たぬ者は思考する							
……ワタシはただ、考えたのです。次元の狭間で敗北し、消滅しきる、およそ0.5秒前に。			……ワタシはただ、考えたのです。次元の狭間で敗北し、消滅しきる、およそ0.5秒前に。			心を持たぬ者は思考する							
進化する兵器ならば、可能なかぎり探求を続けるべきだと。アナタがたが持つ強さ……「心」というものについて。			進化する兵器ならば、可能なかぎり探求を続けるべきだと。アナタがたが持つ強さ……「心」というものについて。			心を持たぬ者は思考する							
ま、そういうわけだ。確かに模型には戦闘能力なんてないし、こいつはもう、人に危害を及ぼす存在じゃないと俺たちは考えてる。			ま、そういうわけだ。確かに模型には戦闘能力なんてないし、こいつはもう、人に危害を及ぼす存在じゃないと俺たちは考えてる。			心を持たぬ者は思考する							
それで、肝心の「謎の通信」については、何かわかったか？ウェッジと一緒に聞いてきたんだろ？			それで、肝心の「謎の通信」については、何かわかったか？ウェッジと一緒に聞いてきたんだろ？			心を持たぬ者は思考する							
はい……あれは、汎銀河ベーシック共通語によるメッセージです。			はい……あれは、汎銀河ベーシック共通語によるメッセージです。			心を持たぬ者は思考する							
はんぎんが……べーしっく……？			はんぎんが……べーしっく……？			心を持たぬ者は思考する							
汎銀河ベーシック共通語。多くの「開かれた惑星」で用いられていた、有効範囲が比較的広い言語です。			汎銀河ベーシック共通語。多くの「開かれた惑星」で用いられていた、有効範囲が比較的広い言語です。			心を持たぬ者は思考する							
そこまで特定できているなんて、すごいじゃないか！ということは、内容についても……？			そこまで特定できているなんて、すごいじゃないか！ということは、内容についても……？			心を持たぬ者は思考する							
当然、完璧に理解しています。ワタシの習得言語は、600万を超えていますので……ガガ。			当然、完璧に理解しています。ワタシの習得言語は、600万を超えていますので……ガガ。			心を持たぬ者は思考する							
ですが……それをアナタがたに伝えるにあたり、ひとつ、条件を提示させてください。			ですが……それをアナタがたに伝えるにあたり、ひとつ、条件を提示させてください。			心を持たぬ者は思考する							
ワタシは、個体名シドがうかつにも放置していた、終末に関する報告書を読みました。			ワタシは、個体名シドがうかつにも放置していた、終末に関する報告書を読みました。			心を持たぬ者は思考する							
母星……仮にアルファトロンと翻訳された星が、マスターとメーティオンの邂逅により滅びたことも、知っています。			母星……仮にアルファトロンと翻訳された星が、マスターとメーティオンの邂逅により滅びたことも、知っています。			心を持たぬ者は思考する							
デュナミスの存在……その作用による終わり……。それらは予想外でしたが、理論としては理解できます。			デュナミスの存在……その作用による終わり……。それらは予想外でしたが、理論としては理解できます。			心を持たぬ者は思考する							
ただ……ワタシにはわからない。オミクロンには「心」がありません。デュナミスに干渉できるはずがないのです。			ただ……ワタシにはわからない。オミクロンには「心」がありません。デュナミスに干渉できるはずがないのです。			心を持たぬ者は思考する							
けれど、マスターは終わりを望み、メーティオンに伝播させた……。これはいったい、どういうことなのでしょう？			けれど、マスターは終わりを望み、メーティオンに伝播させた……。これはいったい、どういうことなのでしょう？			心を持たぬ者は思考する							
真実を正しく認識するために、ワタシは知らなければなりません。終末のことを……心のことを……もっと……。			真実を正しく認識するために、ワタシは知らなければなりません。終末のことを……心のことを……もっと……。			心を持たぬ者は思考する							
だから、アナタがたに要求します。終末の報告書において、ワタシが理解不能だった点を、解説してください。			だから、アナタがたに要求します。終末の報告書において、ワタシが理解不能だった点を、解説してください。			心を持たぬ者は思考する							
Forename Surnameなら適任でしょう。終末の最前線を経験しているだけでなく、心を用いてワタシを倒したこともあるのですから。			Forename Surnameなら適任でしょう。終末の最前線を経験しているだけでなく、心を用いてワタシを倒したこともあるのですから。			心を持たぬ者は思考する							
それが、通信の内容を教える条件ってわけか……。			それが、通信の内容を教える条件ってわけか……。			心を持たぬ者は思考する							
悪い、手間をかけちまうな。応じるかどうかは、もちろんお前に任せるが、よければ都合のいいときにでも付き合ってやってくれ。			悪い、手間をかけちまうな。応じるかどうかは、もちろんお前に任せるが、よければ都合のいいときにでも付き合ってやってくれ。			心を持たぬ者は思考する							
ありゃ、アルファがおねむッス？難しい話だったから仕方ないッス……。			ありゃ、アルファがおねむッス？難しい話だったから仕方ないッス……。			心を持たぬ者は思考する							
ガガガ……起きなさい、アルファ。ワタシが聞く話をアナタも聞き、ワタシが考えるとき、アナタも考えるのです。			ガガガ……起きなさい、アルファ。ワタシが聞く話をアナタも聞き、ワタシが考えるとき、アナタも考えるのです。			心を持たぬ者は思考する							
クェ～……。			クェ～……。			心を持たぬ者は思考する							
どうせなら、オメガの知りたいことに関係する場所に行って、現地で話をしたらどうッス？			どうせなら、オメガの知りたいことに関係する場所に行って、現地で話をしたらどうッス？			心を持たぬ者は思考する							
その方がわかりやすいだろうし……アルファも寝落ちしないッス！			その方がわかりやすいだろうし……アルファも寝落ちしないッス！			心を持たぬ者は思考する							
オメガには散々な目にあわされたわけだが、自分でも不思議なほど、今のあいつは怖くないんだ。			オメガには散々な目にあわされたわけだが、自分でも不思議なほど、今のあいつは怖くないんだ。			心を持たぬ者は思考する							
お手製の模型に入っているからか、アルファと旅できていたって事実があるからか……。			お手製の模型に入っているからか、アルファと旅できていたって事実があるからか……。			心を持たぬ者は思考する							
もしかしたら、親方が教えてくれた次元の狭間での最期を、まるで迷子のチビみたいだって、感じたからかもしれないな。			もしかしたら、親方が教えてくれた次元の狭間での最期を、まるで迷子のチビみたいだって、感じたからかもしれないな。			心を持たぬ者は思考する							
親方も、オメガの状態を知ったら驚くはずッス。でも、壊せとは言わないと思うッス！			親方も、オメガの状態を知ったら驚くはずッス。でも、壊せとは言わないと思うッス！			心を持たぬ者は思考する							
ネロは……変な研究に利用しそうだから、しばらく黙っておくッス！			ネロは……変な研究に利用しそうだから、しばらく黙っておくッス！			心を持たぬ者は思考する							
オメガ……事前に話を聞いてはいたが、実に興味深いね。言語についてだけじゃなく、質問したいことがたくさんだ。こうして話せる状態になって、本当によかったよ。			オメガ……事前に話を聞いてはいたが、実に興味深いね。言語についてだけじゃなく、質問したいことがたくさんだ。こうして話せる状態になって、本当によかったよ。			心を持たぬ者は思考する							
「謎の通信」を解明する手段としては、ほかに、ウルティマ・トゥーレの住民に問うことも、考えられていたんだ。			「謎の通信」を解明する手段としては、ほかに、ウルティマ・トゥーレの住民に問うことも、考えられていたんだ。			心を持たぬ者は思考する							
だが、彼らはデュナミスによる再現体……想いを介してキミたちと会話できていたということは、逆に、「想いを伴わない言葉」は認知できるか怪しいところだ。			だが、彼らはデュナミスによる再現体……想いを介してキミたちと会話できていたということは、逆に、「想いを伴わない言葉」は認知できるか怪しいところだ。			心を持たぬ者は思考する							
録音された音声なんて、まさにそういう部類だろう？だからまずは、地上から手の届く範囲で、解明を試みたかった。これほど上出来な結果になるとは思っていなかったけれどね。			録音された音声なんて、まさにそういう部類だろう？だからまずは、地上から手の届く範囲で、解明を試みたかった。これほど上出来な結果になるとは思っていなかったけれどね。			心を持たぬ者は思考する							
クェ～……クエクエ……？			クェ～……クエクエ……？			心を持たぬ者は思考する							
ワタシとの取引に応じてくれるのですね。賢明……アナタの判断を支持します。			ワタシとの取引に応じてくれるのですね。賢明……アナタの判断を支持します。			心を持たぬ者は思考する							
終末に関する報告書で理解できなかった点は、マスターのことを除くと、大まかに3つあります。			終末に関する報告書で理解できなかった点は、マスターのことを除くと、大まかに3つあります。			心を持たぬ者は思考する							
第一の疑問は、終末下のラザハンに関することです。獣に転じた者とそうでない者の差が、ワタシには理解できませんでした。			第一の疑問は、終末下のラザハンに関することです。獣に転じた者とそうでない者の差が、ワタシには理解できませんでした。			心を持たぬ者は思考する							
そいつを現地で話すとなると、ちと遠いな。うちの飛空艇を手配しようか？			そいつを現地で話すとなると、ちと遠いな。うちの飛空艇を手配しようか？			心を持たぬ者は思考する							
それには及びません。Forenameがテレポを用いるのが、いちばん早い。			それには及びません。Forenameがテレポを用いるのが、いちばん早い。			心を持たぬ者は思考する							
いいですか、Forename。ワタシのボディは模型、つまり玩具です。アルファも、ぬいぐるみと呼ばれる玩具に酷似しています。			いいですか、Forename。ワタシのボディは模型、つまり玩具です。アルファも、ぬいぐるみと呼ばれる玩具に酷似しています。			心を持たぬ者は思考する							
よって、ワタシたちはアナタの携行品となる資格がある。さあ、「玩具」を抱えてテレポしなさい……！			よって、ワタシたちはアナタの携行品となる資格がある。さあ、「玩具」を抱えてテレポしなさい……！			心を持たぬ者は思考する							
オメガの疑問に答える旅に出発しますか？			オメガの疑問に答える旅に出発しますか？			心を持たぬ者は思考する							
クエ、クエエクエッ！			クエ、クエエクエッ！			心を持たぬ者は思考する							
ガガ……ここがラザハンですね。では、獣に転じた者とそうでない者の差について、アナタに同行し、学習したいと思います。			ガガ……ここがラザハンですね。では、獣に転じた者とそうでない者の差について、アナタに同行し、学習したいと思います。			心を持たぬ者は思考する							
論理的に考えれば、現在まで生存している個体は、獣に転じなかった「心強き者」であるはず。			論理的に考えれば、現在まで生存している個体は、獣に転じなかった「心強き者」であるはず。			心を持たぬ者は思考する							
まずは彼らに面会し、特徴の把握を試みたい。この街で、ヒトが居住に使用している区画はどこですか？			まずは彼らに面会し、特徴の把握を試みたい。この街で、ヒトが居住に使用している区画はどこですか？			心を持たぬ者は思考する							
了解……目的地を「カーマ区」に設定します。面会の対象は、アナタが選定してください。出撃しましょう、アルファ、Forename。			了解……目的地を「カーマ区」に設定します。面会の対象は、アナタが選定してください。出撃しましょう、アルファ、Forename。			心を持たぬ者は思考する							
何をする？			何をする？			心を持たぬ者は思考する							
話す			話す			心を持たぬ者は思考する							
同行状態を解除する			同行状態を解除する			心を持たぬ者は思考する							
キャンセル			キャンセル			心を持たぬ者は思考する							
「階段」について話す			「階段」について話す			心を持たぬ者は思考する							
目的地「カーマ区」へと向かってください。なお、今のワタシでは地形のスキャンができません。よって、ナビは不可能です。			目的地「カーマ区」へと向かってください。なお、今のワタシでは地形のスキャンができません。よって、ナビは不可能です。			心を持たぬ者は思考する							
このまま聴取を続けてください。収音マイクの性能は高くありませんが、会話は鮮明に聞こえていますので。			このまま聴取を続けてください。収音マイクの性能は高くありませんが、会話は鮮明に聞こえていますので。			心を持たぬ者は思考する							
クエクエ？			クエクエ？			心を持たぬ者は思考する							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			心を持たぬ者は思考する							
了解……エーテライト・プラザで待機します。可能なかぎり迅速に、合流を試みてください。			了解……エーテライト・プラザで待機します。可能なかぎり迅速に、合流を試みてください。			心を持たぬ者は思考する							
クエー！			クエー！			心を持たぬ者は思考する							
アルファは、エーテライト・プラザに向けて、走り去っていった。			アルファは、エーテライト・プラザに向けて、走り去っていった。			心を持たぬ者は思考する							
ガガ……出撃ですね。待機状態を解除します。			ガガ……出撃ですね。待機状態を解除します。			心を持たぬ者は思考する							
クェ～、クエエ！			クェ～、クエエ！			心を持たぬ者は思考する							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			心を持たぬ者は思考する							
警告……階段の使用は、極力回避してください。ワタシが転倒、落下、破損する可能性が見込まれます。			警告……階段の使用は、極力回避してください。ワタシが転倒、落下、破損する可能性が見込まれます。			心を持たぬ者は思考する							
そうでなくても、バッテリーの減少速度が平地の63％増……。ヒトの表現を用いるならば、「疲れるから嫌」です。			そうでなくても、バッテリーの減少速度が平地の63％増……。ヒトの表現を用いるならば、「疲れるから嫌」です。			心を持たぬ者は思考する							
そもそも、ヒトは種族によって体格差があるというのに、なぜ、利便性が脚部の長さに左右されてしまう階段を造るのか。			そもそも、ヒトは種族によって体格差があるというのに、なぜ、利便性が脚部の長さに左右されてしまう階段を造るのか。			心を持たぬ者は思考する							
ワタシがこの街の設計を担当するならば、あらゆる勾配にコンベアを敷設し、全自動、ゼロ消費での昇降を可能にすることでしょう！			ワタシがこの街の設計を担当するならば、あらゆる勾配にコンベアを敷設し、全自動、ゼロ消費での昇降を可能にすることでしょう！			心を持たぬ者は思考する							
クエッ、クエクエー！			クエッ、クエクエー！			心を持たぬ者は思考する							
アルファは元気いっぱいだ。階段もへっちゃら、ということらしい。			アルファは元気いっぱいだ。階段もへっちゃら、ということらしい。			心を持たぬ者は思考する							
あらまあ……！あなた、前にカルザールさんのことを聞きにきた子ね？			あらまあ……！あなた、前にカルザールさんのことを聞きにきた子ね？			心を持たぬ者は思考する							
オメガとアルファを連れずに話を聞いても仕方ない。ふたりを同行させてこよう。			オメガとアルファを連れずに話を聞いても仕方ない。ふたりを同行させてこよう。			心を持たぬ者は思考する							
あらまあ……！あなた、前にカルザールさんのことを聞きにきた子ね？よかったわ、無事でいてくれて……。			あらまあ……！あなた、前にカルザールさんのことを聞きにきた子ね？よかったわ、無事でいてくれて……。			心を持たぬ者は思考する							
あのとき起きた終末って災害について、お恥ずかしながら、私はいまだによくわかっていないの。			あのとき起きた終末って災害について、お恥ずかしながら、私はいまだによくわかっていないの。			心を持たぬ者は思考する							
ただ……この区に住んでいた人も、大勢帰ってこなかった。一家全員がいなくなってしまった家だって、珍しくないわ。			ただ……この区に住んでいた人も、大勢帰ってこなかった。一家全員がいなくなってしまった家だって、珍しくないわ。			心を持たぬ者は思考する							
カルザールさんのところもそう。彼には近い親戚がいないから、商会の関係者で、家を片づけることになったみたい。			カルザールさんのところもそう。彼には近い親戚がいないから、商会の関係者で、家を片づけることになったみたい。			心を持たぬ者は思考する							
寂しいものね……本当に…………。			寂しいものね……本当に…………。			心を持たぬ者は思考する							
ガガ……個体名カルザールは、偽神獣となり討伐されたと報告書にありました。			ガガ……個体名カルザールは、偽神獣となり討伐されたと報告書にありました。			心を持たぬ者は思考する							
であれば、その居住地を整理し、再利用可能な資源を回収するのは、賢明な判断といえるでしょう。			であれば、その居住地を整理し、再利用可能な資源を回収するのは、賢明な判断といえるでしょう。			心を持たぬ者は思考する							
あら、よくできたお人形さんねぇ……。もちろん、私も反対しているわけじゃないわ。			あら、よくできたお人形さんねぇ……。もちろん、私も反対しているわけじゃないわ。			心を持たぬ者は思考する							
でも、カルザールさんは、つい最近まで元気だったのよ。あんなに熱心で、夢も未来もあったでしょうに、ぜーんぶ過去になってしまった……。			でも、カルザールさんは、つい最近まで元気だったのよ。あんなに熱心で、夢も未来もあったでしょうに、ぜーんぶ過去になってしまった……。			心を持たぬ者は思考する							
それを思い知るようで、どうしても悲しくなってしまうの。ほかの家の片づけも……私はすごく寂しいわ……。			それを思い知るようで、どうしても悲しくなってしまうの。ほかの家の片づけも……私はすごく寂しいわ……。			心を持たぬ者は思考する							
……Forename。ここまでの聴取結果を、一度整理させてください。向こうで話しましょう。			……Forename。ここまでの聴取結果を、一度整理させてください。向こうで話しましょう。			心を持たぬ者は思考する							
カルザール商会は、中心となっていた人の多くが、終末で亡くなってしまったそうよ。			カルザール商会は、中心となっていた人の多くが、終末で亡くなってしまったそうよ。			心を持たぬ者は思考する							
それでも、残った子たちは、カルザールさんの意志を継いで、商会を続けていくつもりみたい。私も、悲しんでばかりいないで、応援したいと思うわ。			それでも、残った子たちは、カルザールさんの意志を継いで、商会を続けていくつもりみたい。私も、悲しんでばかりいないで、応援したいと思うわ。			心を持たぬ者は思考する							
姉ちゃん兄ちゃん……前もラザハンに来てたよな？			姉ちゃん兄ちゃん……前もラザハンに来てたよな？			心を持たぬ者は思考する							
姉ちゃん兄ちゃん……前もラザハンに来てたよな？ほら、街から化け物が追い払われたあと、広場に集まるようにって、俺に教えてくれただろ！			姉ちゃん兄ちゃん……前もラザハンに来てたよな？ほら、街から化け物が追い払われたあと、広場に集まるようにって、俺に教えてくれただろ！			心を持たぬ者は思考する							
あのときは、ありがとう。おかげで、ヴリトラ様の大事な話を聞き逃さずに済んだよ。ヴァルシャンのことも、わかったしさ。			あのときは、ありがとう。おかげで、ヴリトラ様の大事な話を聞き逃さずに済んだよ。ヴァルシャンのことも、わかったしさ。			心を持たぬ者は思考する							
