選者殿のヒナゲシは、協力者を探しているようだ。			選者殿のヒナゲシは、協力者を探しているようだ。			甘い文化体験							
ここ選者殿は、大学の教員や学生たちと、物資調達のエキスパートであるグリーナーさんたちを結ぶ場所。研究に必要なサンプルの収集、保管なんかが行われています。			ここ選者殿は、大学の教員や学生たちと、物資調達のエキスパートであるグリーナーさんたちを結ぶ場所。研究に必要なサンプルの収集、保管なんかが行われています。			甘い文化体験							
そこで、私たちも、ぜひ冒険者さんに、素材の収集をお願いしたいんです～！			そこで、私たちも、ぜひ冒険者さんに、素材の収集をお願いしたいんです～！			甘い文化体験							
あとはタンキン教授が、研究テーマを決めてくだされば、何を集めてきてほしいのか説明ができるんですが……。			あとはタンキン教授が、研究テーマを決めてくだされば、何を集めてきてほしいのか説明ができるんですが……。			甘い文化体験							
何と言う？			何と言う？			甘い文化体験							
タンキン教授、困った人だね……			タンキン教授、困った人だね……			甘い文化体験							
何を採ってくればいいのかわからない……			何を採ってくればいいのかわからない……			甘い文化体験							
そうなんですよぉ……。早く研究テーマを決めて大学側に計画書を提出しないと、予算も下りなければ、最悪、研究室の取り潰しだって……！			そうなんですよぉ……。早く研究テーマを決めて大学側に計画書を提出しないと、予算も下りなければ、最悪、研究室の取り潰しだって……！			甘い文化体験							
ですよねぇ……。早く研究テーマを決めて大学側に計画書を提出しないと、予算も下りなければ、最悪、研究室の取り潰しだって……！			ですよねぇ……。早く研究テーマを決めて大学側に計画書を提出しないと、予算も下りなければ、最悪、研究室の取り潰しだって……！			甘い文化体験							
でもですね、普段の教授はとても知的な方なのに、一度研究に熱中しだすと、少年みたいに目を輝かせちゃって……			でもですね、普段の教授はとても知的な方なのに、一度研究に熱中しだすと、少年みたいに目を輝かせちゃって……			甘い文化体験							
そのギャップが素敵すぎて、もう大変なんですよ～！			そのギャップが素敵すぎて、もう大変なんですよ～！			甘い文化体験							
そ、そうだ……こうしましょう！最初の調達依頼は、「タンキン教授」ということで！ヌーメノン大書院にいると思いますので回収をお願いします！			そ、そうだ……こうしましょう！最初の調達依頼は、「タンキン教授」ということで！ヌーメノン大書院にいると思いますので回収をお願いします！			甘い文化体験							
あ、そうだ、教授を見つけたら、ついでにこの賢人パンを渡してください。きっとご飯食べてないでしょうから。			あ、そうだ、教授を見つけたら、ついでにこの賢人パンを渡してください。きっとご飯食べてないでしょうから。			甘い文化体験							
フフ、教授の生態については把握済みです。それでは、よろしくお願いします～！			フフ、教授の生態については把握済みです。それでは、よろしくお願いします～！			甘い文化体験							
どうして「タンキン教授」の居場所がわかるのか、ですか？シャーレアン生まれ、根っからの学者である教授に、ヌーメノン大書院のほかに、行く場所などありません！			どうして「タンキン教授」の居場所がわかるのか、ですか？シャーレアン生まれ、根っからの学者である教授に、ヌーメノン大書院のほかに、行く場所などありません！			甘い文化体験							
そして、絶対に寝食を忘れて読書に耽っているはず。賢人パンを、忘れずに届けてくださいね！			そして、絶対に寝食を忘れて読書に耽っているはず。賢人パンを、忘れずに届けてくださいね！			甘い文化体験							
……ハッ、しばらく寝るのを忘れていたせいで、寝てしまったようだ……。			……ハッ、しばらく寝るのを忘れていたせいで、寝てしまったようだ……。			甘い文化体験							
……すまない、食べるのも忘れていた。何か食べ物を分けてもらえないだろうか？			……すまない、食べるのも忘れていた。何か食べ物を分けてもらえないだろうか？			甘い文化体験							
ヒナゲシ君から？賢人パン、か……。			ヒナゲシ君から？賢人パン、か……。			甘い文化体験							
とにかく助かったよ、ありがとう。さっそくいただこう。			とにかく助かったよ、ありがとう。さっそくいただこう。			甘い文化体験							
ふぅ、あなたが来てくれて本当に幸運だった。ヌーメノン大書院では、こういうことは日常茶飯事だから、研究者が寝ていても、誰も気に留めないんだ。			ふぅ、あなたが来てくれて本当に幸運だった。ヌーメノン大書院では、こういうことは日常茶飯事だから、研究者が寝ていても、誰も気に留めないんだ。			甘い文化体験							
嘘か真か、生きながらにして星海に渡る術を模索していた学者が、本を読んだまま逝ってしまった、なんて伝説もあるくらいだよ。			嘘か真か、生きながらにして星海に渡る術を模索していた学者が、本を読んだまま逝ってしまった、なんて伝説もあるくらいだよ。			甘い文化体験							
さておき、募集をかけていたグリーナーの件だね？大丈夫、何の採集をお願いすべきかは、もう決まっている。二度手間になってすまないが、「選者殿」で説明させてくれ。			さておき、募集をかけていたグリーナーの件だね？大丈夫、何の採集をお願いすべきかは、もう決まっている。二度手間になってすまないが、「選者殿」で説明させてくれ。			甘い文化体験							
あ、やっぱり倒れてました～？フフ、教授のことはなんでもお見通しですよぉ！			あ、やっぱり倒れてました～？フフ、教授のことはなんでもお見通しですよぉ！			甘い文化体験							
来てくれたか、我が生命の恩人……！			来てくれたか、我が生命の恩人……！			甘い文化体験							
教授～、冒険者さんに余計な手間をとらせてしまったんですから、はやく研究テーマと、採集依頼の話をしてください！本当に、このままじゃまずいんですよぉ～！			教授～、冒険者さんに余計な手間をとらせてしまったんですから、はやく研究テーマと、採集依頼の話をしてください！本当に、このままじゃまずいんですよぉ～！			甘い文化体験							
……そう、このままじゃダメなんだ。ぼくは、きみがいなければ生きていけない……！			……そう、このままじゃダメなんだ。ぼくは、きみがいなければ生きていけない……！			甘い文化体験							
ええっ！？きゅ、急にそんな……！私、大したことは何も……。			ええっ！？きゅ、急にそんな……！私、大したことは何も……。			甘い文化体験							
いいや、ヒナゲシ君。ぼくにはきみが必要なんだ！			いいや、ヒナゲシ君。ぼくにはきみが必要なんだ！			甘い文化体験							
教授……！			教授……！			甘い文化体験							
研究テーマの選定に悩むあまり、寝食を忘れるとは痛恨の極み。きみの差し入れがなければ、ぼくは栄養失調で倒れていたことだろう。			研究テーマの選定に悩むあまり、寝食を忘れるとは痛恨の極み。きみの差し入れがなければ、ぼくは栄養失調で倒れていたことだろう。			甘い文化体験							
あ、あぁ～なるほどぉ？そういう意味ね～！			あ、あぁ～なるほどぉ？そういう意味ね～！			甘い文化体験							
この魔法大学では、一定の価値が認められる研究さえしていれば、最低限の衣食住は保証される。だが、最低限でしかない……！			この魔法大学では、一定の価値が認められる研究さえしていれば、最低限の衣食住は保証される。だが、最低限でしかない……！			甘い文化体験							
見たまえ。			見たまえ。			甘い文化体験							
ぼくらはこれまで、書の記述に従い、多くの素材を収集してはみたが……。それは、ただ集積しているに過ぎない。			ぼくらはこれまで、書の記述に従い、多くの素材を収集してはみたが……。それは、ただ集積しているに過ぎない。			甘い文化体験							
いくら他の文化を研究しても、ぼくらは毎日同じ服を着て、大書院に籠もって本を読むだけ……。誰ひとり、新たな文化を創造できる者なんかいないんだ！			いくら他の文化を研究しても、ぼくらは毎日同じ服を着て、大書院に籠もって本を読むだけ……。誰ひとり、新たな文化を創造できる者なんかいないんだ！			甘い文化体験							
た、たしかにぃ～？私なんて部屋着もこの服ですし……。汚れたら裏っ返して着ますし……。			た、たしかにぃ～？私なんて部屋着もこの服ですし……。汚れたら裏っ返して着ますし……。			甘い文化体験							
でも、私は別に、質素で地味～なシャーレアンの暮らしでも、文句ありませんけど？			でも、私は別に、質素で地味～なシャーレアンの暮らしでも、文句ありませんけど？			甘い文化体験							
きみがよくても、子どもたちや孫たちにまで、そんな暮らしをしてほしいかい？ぼくは将来について、もっと真剣に考えたいんだ！			きみがよくても、子どもたちや孫たちにまで、そんな暮らしをしてほしいかい？ぼくは将来について、もっと真剣に考えたいんだ！			甘い文化体験							
こ、子どもぉ！？将来について真剣に……って、もしかして……！！			こ、子どもぉ！？将来について真剣に……って、もしかして……！！			甘い文化体験							
ずっと相談したいと思っていたんだ。このままずっと、我々ふたりだけというのもどうなんだろう？			ずっと相談したいと思っていたんだ。このままずっと、我々ふたりだけというのもどうなんだろう？			甘い文化体験							
ちょ、どうしたんですか急に～！……私はふたりっきりでもいいですけどぉ、教授が望むんなら私はいつでも……。			ちょ、どうしたんですか急に～！……私はふたりっきりでもいいですけどぉ、教授が望むんなら私はいつでも……。			甘い文化体験							
何と言う？			何と言う？			甘い文化体験							
お邪魔でした？			お邪魔でした？			甘い文化体験							
ごちそうさまです			ごちそうさまです			甘い文化体験							
邪魔なものか！ぼくは以前から外部の協力者を欲していてね。あなたには是非、ぼくらの研究を手伝ってほしいんだ！			邪魔なものか！ぼくは以前から外部の協力者を欲していてね。あなたには是非、ぼくらの研究を手伝ってほしいんだ！			甘い文化体験							
なにもごちそうしたつもりはないが……とにかく、ぼくは以前から外部の協力者を欲していてね。あなたには是非、ぼくらの研究を手伝ってほしいんだ！			なにもごちそうしたつもりはないが……とにかく、ぼくは以前から外部の協力者を欲していてね。あなたには是非、ぼくらの研究を手伝ってほしいんだ！			甘い文化体験							
あ、そういうことね……。			あ、そういうことね……。			甘い文化体験							
ぼくは、今のこの生活をより豊かにしたい。いつかもっと開かれた国際交流を行うときに備えて、ぼくらが受け継ぐべき、最良の文化を検討しておきたいんだ。			ぼくは、今のこの生活をより豊かにしたい。いつかもっと開かれた国際交流を行うときに備えて、ぼくらが受け継ぐべき、最良の文化を検討しておきたいんだ。			甘い文化体験							
だから次の研究では、ほかの文化の生活様式をこの倉庫内に再現し、実際に体験してみようと思う。			だから次の研究では、ほかの文化の生活様式をこの倉庫内に再現し、実際に体験してみようと思う。			甘い文化体験							
なるほど、異文化体験ですかぁ。最近、ずっと悩んでいたかと思えば、そんなこと考えていたんですね！			なるほど、異文化体験ですかぁ。最近、ずっと悩んでいたかと思えば、そんなこと考えていたんですね！			甘い文化体験							
ついては、経験豊富な[Job]であるあなたに、再現に必要な素材の収集をお願いしたい。			ついては、経験豊富な[Job]であるあなたに、再現に必要な素材の収集をお願いしたい。			甘い文化体験							
ここにはたくさんの素材が集積されているが、すべてではないからね。			ここにはたくさんの素材が集積されているが、すべてではないからね。			甘い文化体験							
それではぼくは、最初に再現する文化の選定をしよう。少しの間、待っていてくれ。			それではぼくは、最初に再現する文化の選定をしよう。少しの間、待っていてくれ。			甘い文化体験							
研究に燃える教授、やっぱり素敵です～！			研究に燃える教授、やっぱり素敵です～！			甘い文化体験							
なるべく幅広く研究していきたいからね。世界的に見ても特徴的な文化のみに絞っておいて、そこから派生する類似の文化については見送ろうと思う。			なるべく幅広く研究していきたいからね。世界的に見ても特徴的な文化のみに絞っておいて、そこから派生する類似の文化については見送ろうと思う。			甘い文化体験							
冒険者さんがタンキン教授を連れてきてくれたおかげで、やっと研究のテーマが決まりました。これで大学に計画書を提出することができます～！			冒険者さんがタンキン教授を連れてきてくれたおかげで、やっと研究のテーマが決まりました。これで大学に計画書を提出することができます～！			甘い文化体験							
元々、私も異国の文化に興味があったんです。だから、外部の文化にも詳しいグリーナーの方と、共同研究できるのは大歓迎です！			元々、私も異国の文化に興味があったんです。だから、外部の文化にも詳しいグリーナーの方と、共同研究できるのは大歓迎です！			甘い文化体験							
実は、私の両親、植物学者だったんです。ある花が、東方ではヒナゲシと呼ばれているのを知って、そのエキゾチックな響きを私の名に付けたんだとか。			実は、私の両親、植物学者だったんです。ある花が、東方ではヒナゲシと呼ばれているのを知って、そのエキゾチックな響きを私の名に付けたんだとか。			甘い文化体験							
そしたら学生のころ、タンキン教授の講義の最中に、たまたまそれを指摘されたことがあるんですよ。「きみの名前は、東方の花の名前が由来だね？」って……。			そしたら学生のころ、タンキン教授の講義の最中に、たまたまそれを指摘されたことがあるんですよ。「きみの名前は、東方の花の名前が由来だね？」って……。			甘い文化体験							
「同じ花でも、地域によって名が変わる。　住む場所が変われば、言葉も、生活も、　人間が考えることは何もかも変わるということだね」			「同じ花でも、地域によって名が変わる。　住む場所が変われば、言葉も、生活も、　人間が考えることは何もかも変わるということだね」			甘い文化体験							
「アウラ族のルーツは東方にあるらしいが、　ぼくはシャーレアンでの暮らししか知らない」			「アウラ族のルーツは東方にあるらしいが、　ぼくはシャーレアンでの暮らししか知らない」			甘い文化体験							
「もしぼくが東方の地に行ってみたなら、　そこで自分の頭にどんな化学変化が起こるのか。　それを知るのが、ぼくの研究の意義だ」……。			「もしぼくが東方の地に行ってみたなら、　そこで自分の頭にどんな化学変化が起こるのか。　それを知るのが、ぼくの研究の意義だ」……。			甘い文化体験							
そのときの教授の言葉、異国の地への憧れに共感し、私は文化学部で研究職に就く道を選んだんです。			そのときの教授の言葉、異国の地への憧れに共感し、私は文化学部で研究職に就く道を選んだんです。			甘い文化体験							
ただ、お手伝いをしているだけで何の発表もしてないから、私個人の実績はゼロなんですけど！			ただ、お手伝いをしているだけで何の発表もしてないから、私個人の実績はゼロなんですけど！			甘い文化体験							
いつかふたりで、東方の地に研究に行けたらいいですねぇ……。			いつかふたりで、東方の地に研究に行けたらいいですねぇ……。			甘い文化体験							
何と言う？			何と言う？			甘い文化体験							
理由はそれだけ？			理由はそれだけ？			甘い文化体験							
その想い、彼に伝えたの？			その想い、彼に伝えたの？			甘い文化体験							
ふぉえっ！？な、なんのことですかぁ！？			ふぉえっ！？な、なんのことですかぁ！？			甘い文化体験							
……い、いえ、この際だから正直に言いましょう。			……い、いえ、この際だから正直に言いましょう。			甘い文化体験							
実は私……タンキン教授のことが好きなんです！！			実は私……タンキン教授のことが好きなんです！！			甘い文化体験							
初対面の冒険者さんにも見抜かれるくらいだというのに……。当の本人ときたら、研究のことしか目に入らず、この気持ちに、全然気づいてくれないんですよぉ～！			初対面の冒険者さんにも見抜かれるくらいだというのに……。当の本人ときたら、研究のことしか目に入らず、この気持ちに、全然気づいてくれないんですよぉ～！			甘い文化体験							
でも、私の気のせいじゃなければ、なんだか今回の研究では、「将来の生活」を見据えたような発言が多いんですよねぇ。これは千載一遇のチャンスでは！？			でも、私の気のせいじゃなければ、なんだか今回の研究では、「将来の生活」を見据えたような発言が多いんですよねぇ。これは千載一遇のチャンスでは！？			甘い文化体験							
あぁ～、それなのに私ときたら、恋の駆け引きなんて、さっぱりわからないんです～！青春時代を勉強三昧で過ごした自分を叱りたい……！			あぁ～、それなのに私ときたら、恋の駆け引きなんて、さっぱりわからないんです～！青春時代を勉強三昧で過ごした自分を叱りたい……！			甘い文化体験							
冒険者さんなら、そっちの方面にもお詳しいですよね？どうか研究の傍ら、私の恋の応援もしてください！			冒険者さんなら、そっちの方面にもお詳しいですよね？どうか研究の傍ら、私の恋の応援もしてください！			甘い文化体験							
ありがとうございます～～！！			ありがとうございます～～！！			甘い文化体験							
お待たせ。なんだか楽しそうだね？			お待たせ。なんだか楽しそうだね？			甘い文化体験							
いえいえ、なにもぉ～？それより教授、再現する文化は決まったんですか？			いえいえ、なにもぉ～？それより教授、再現する文化は決まったんですか？			甘い文化体験							
ここ、シャーレアンは年中肌寒い。一方で、環境制御技術は、まさに日進月歩の勢いで発展している。			ここ、シャーレアンは年中肌寒い。一方で、環境制御技術は、まさに日進月歩の勢いで発展している。			甘い文化体験							
その証拠に、地下のラヴィリンソスでは、北洋とは思えないほど、温暖で過ごしやすい人工環境を構築できている。			その証拠に、地下のラヴィリンソスでは、北洋とは思えないほど、温暖で過ごしやすい人工環境を構築できている。			甘い文化体験							
ゆえに、これからの生活を考えるにあたっては、寒冷な北洋暮らしでは理解が及ばなかった、暖かな地方での暮らしぶりも知らなければならない！			ゆえに、これからの生活を考えるにあたっては、寒冷な北洋暮らしでは理解が及ばなかった、暖かな地方での暮らしぶりも知らなければならない！			甘い文化体験							
そこで、我々の最初の研究テーマは、近東のラザハン文化の再現としたい！			そこで、我々の最初の研究テーマは、近東のラザハン文化の再現としたい！			甘い文化体験							
おお～！			おお～！			甘い文化体験							
……というわけで、さっそくだが、現地でしか手に入らない素材を収集してきてほしい。詳細は、ヒナゲシ君から説明を受けてくれ！			……というわけで、さっそくだが、現地でしか手に入らない素材を収集してきてほしい。詳細は、ヒナゲシ君から説明を受けてくれ！			甘い文化体験							
「文化学部」のシャーレアン魔法大学取引が開放されました！「ヒナゲシ」に話しかけて、納品を開始しましょう！			「文化学部」のシャーレアン魔法大学取引が開放されました！「ヒナゲシ」に話しかけて、納品を開始しましょう！			甘い文化体験							
選者殿のヒナゲシは、研究にやる気を見せているようだ。			選者殿のヒナゲシは、研究にやる気を見せているようだ。			あなたのカレーを食べたなら							
ヒナゲシから研究対象の採集を依頼された。「ラザハン文化の必需品」を6個、採集し、選者殿の「ヒナゲシ」へ納品しよう。「ラザハン文化の必需品」は、採掘師の場合サベネア島のハンサ牧場跡付近で、園芸師の場合サベネア島のギガントガル採石場付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			ヒナゲシから研究対象の採集を依頼された。「ラザハン文化の必需品」を6個、採集し、選者殿の「ヒナゲシ」へ納品しよう。「ラザハン文化の必需品」は、採掘師の場合サベネア島のハンサ牧場跡付近で、園芸師の場合サベネア島のギガントガル採石場付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			あなたのカレーを食べたなら							
ヒナゲシに「ラザハン文化の必需品」を納品した。さらなる文化研究とヒナゲシの恋愛成就のため、準備が整い次第ふたたびヒナゲシに声をかけよう。			ヒナゲシに「ラザハン文化の必需品」を納品した。さらなる文化研究とヒナゲシの恋愛成就のため、準備が整い次第ふたたびヒナゲシに声をかけよう。			あなたのカレーを食べたなら							
ハンサ牧場跡付近で採集したラザハン文化の必需品をヒナゲシに納品ギガントガル採石場付近で採集したラザハン文化の必需品をヒナゲシに納品採掘師または園芸師になりラザハン文化の必需品をヒナゲシに納品			ハンサ牧場跡付近で採集したラザハン文化の必需品をヒナゲシに納品ギガントガル採石場付近で採集したラザハン文化の必需品をヒナゲシに納品採掘師または園芸師になりラザハン文化の必需品をヒナゲシに納品			あなたのカレーを食べたなら							
さっそくラザハン文化の再現に必要なものを、リストアップしてみたのですが……やはり北洋では調達が難しいものもありますね。			さっそくラザハン文化の再現に必要なものを、リストアップしてみたのですが……やはり北洋では調達が難しいものもありますね。			あなたのカレーを食べたなら							
特に色鮮やかな染料や独特の香辛料など、「ラザハン文化の必需品」は必要不可欠……！お手数ですが「サベネア島」での調達をお願いします～！			特に色鮮やかな染料や独特の香辛料など、「ラザハン文化の必需品」は必要不可欠……！お手数ですが「サベネア島」での調達をお願いします～！			あなたのカレーを食べたなら							
「ラザハン文化の必需品」は、サベネア島のハンサ牧場跡付近で採集することができます。			「ラザハン文化の必需品」は、サベネア島のハンサ牧場跡付近で採集することができます。			あなたのカレーを食べたなら							
「ラザハン文化の必需品」は、サベネア島のギガントガル採石場付近で採集することができます。			「ラザハン文化の必需品」は、サベネア島のギガントガル採石場付近で採集することができます。			あなたのカレーを食べたなら							
「文化学部」への納品が開始されました！依頼されたアイテムをヒナゲシに納品し、貢献していきましょう！			「文化学部」への納品が開始されました！依頼されたアイテムをヒナゲシに納品し、貢献していきましょう！			あなたのカレーを食べたなら							
なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			あなたのカレーを食べたなら							
文化の再現には、現地の素材が必要不可欠。冒険者さん、お願いします！			文化の再現には、現地の素材が必要不可欠。冒険者さん、お願いします！			あなたのカレーを食べたなら							
ありがとうございます！この鮮やかな色……ひと目で異国のものだとわかりますね。文化の再現に役立ちそうです！			ありがとうございます！この鮮やかな色……ひと目で異国のものだとわかりますね。文化の再現に役立ちそうです！			あなたのカレーを食べたなら							
ありがとうございます！こんなに品質の良いものを使えるなら、文化の再現も、より本物に近い形で行えそうですよ！			ありがとうございます！こんなに品質の良いものを使えるなら、文化の再現も、より本物に近い形で行えそうですよ！			あなたのカレーを食べたなら							
採集してきて頂いた岩石を砕くことで、鮮やかな染料になるんです。ラザハン文化と言えば極彩色であり、それぞれの色に意味や願いが、込められているんだとか！			採集してきて頂いた岩石を砕くことで、鮮やかな染料になるんです。ラザハン文化と言えば極彩色であり、それぞれの色に意味や願いが、込められているんだとか！			あなたのカレーを食べたなら							
採集してきて頂いた葉は、乾燥させることで香辛料になるんです。ラザハン料理に使われるほか、錬金術では生薬として、使われるんだとか！			採集してきて頂いた葉は、乾燥させることで香辛料になるんです。ラザハン料理に使われるほか、錬金術では生薬として、使われるんだとか！			あなたのカレーを食べたなら							
依頼品を納品したことで、ヒナゲシはあなたの貢献を実感し始めました。			依頼品を納品したことで、ヒナゲシはあなたの貢献を実感し始めました。			あなたのカレーを食べたなら							
今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			あなたのカレーを食べたなら							
納品した素材を用いて、文化の再現が行われた！			納品した素材を用いて、文化の再現が行われた！			あなたのカレーを食べたなら							
カラフルで、とても華やかな衣装ですね～！でも、さすがにシャーレアンでこの格好は寒いかも……。			カラフルで、とても華やかな衣装ですね～！でも、さすがにシャーレアンでこの格好は寒いかも……。			あなたのカレーを食べたなら							
それにこの料理も、香辛料たっぷりで、美味しいんですけど、とっても辛いです～！味の好みも土地によって変わるんですかね？			それにこの料理も、香辛料たっぷりで、美味しいんですけど、とっても辛いです～！味の好みも土地によって変わるんですかね？			あなたのカレーを食べたなら							
いい着眼点だね、高温多湿の環境では食料が腐りやすい。香辛料には、食欲を増進させるだけでなく、腐敗臭を抑える役割もあるんだ。			いい着眼点だね、高温多湿の環境では食料が腐りやすい。香辛料には、食欲を増進させるだけでなく、腐敗臭を抑える役割もあるんだ。			あなたのカレーを食べたなら							
また、病原菌も繁殖しやすいから、風土病も多かった。そのため、医学としての錬金術が発達してきた経緯がある。			また、病原菌も繁殖しやすいから、風土病も多かった。そのため、医学としての錬金術が発達してきた経緯がある。			あなたのカレーを食べたなら							
ほら、身体を温める薬を作ってみたよ。			ほら、身体を温める薬を作ってみたよ。			あなたのカレーを食べたなら							
さすが教授、用意がいいですねぇ～！			さすが教授、用意がいいですねぇ～！			あなたのカレーを食べたなら							
それから、色にも理由がある。強烈な日差しの下では原色が映えるため、建造物、調度品、服飾、すべてが色鮮やかになっていった。			それから、色にも理由がある。強烈な日差しの下では原色が映えるため、建造物、調度品、服飾、すべてが色鮮やかになっていった。			あなたのカレーを食べたなら							
そして色には、様々な意味や祈りが込められた。たとえば赤系の色は「火」を表し、特に橙色は生命の源としての、魂の火を意味し、安産祈願にも使われるそうだ。			そして色には、様々な意味や祈りが込められた。たとえば赤系の色は「火」を表し、特に橙色は生命の源としての、魂の火を意味し、安産祈願にも使われるそうだ。			あなたのカレーを食べたなら							
橙色……。			橙色……。			あなたのカレーを食べたなら							
へ、へぇ～～！なんというか、文化の違いを実感しますね！			へ、へぇ～～！なんというか、文化の違いを実感しますね！			あなたのカレーを食べたなら							
そう、他の文化を知り、比較することは、己の文化を再評価することにも繋がる。もっと様々な文化を体験して、理解を深めてみよう！			そう、他の文化を知り、比較することは、己の文化を再評価することにも繋がる。もっと様々な文化を体験して、理解を深めてみよう！			あなたのカレーを食べたなら							
今回の研究を通じて教授と仲良くなれたら……って思ってましたけど、ふたりで共同生活を始めたみたいで、私はとっても楽しいです！			今回の研究を通じて教授と仲良くなれたら……って思ってましたけど、ふたりで共同生活を始めたみたいで、私はとっても楽しいです！			あなたのカレーを食べたなら							
この調子で協力をお願いしますね！			この調子で協力をお願いしますね！			あなたのカレーを食べたなら							
文化学部の貢献ランクが上昇しました！ヒナゲシはあなたの事を、「恋愛成就の協力者」と感じているようです！			文化学部の貢献ランクが上昇しました！ヒナゲシはあなたの事を、「恋愛成就の協力者」と感じているようです！			あなたのカレーを食べたなら							
「採掘師／園芸師」のいずれかがレベル83以上になると、選者殿の「ヒナゲシ」から、次のクエストが受注可能です。			「採掘師／園芸師」のいずれかがレベル83以上になると、選者殿の「ヒナゲシ」から、次のクエストが受注可能です。			あなたのカレーを食べたなら							
次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「霜雪を踏みしめて」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「霜雪を踏みしめて」を完了する必要があります。			あなたのカレーを食べたなら							
選者殿のヒナゲシは、研究に手ごたえを感じているようだ。			選者殿のヒナゲシは、研究に手ごたえを感じているようだ。			それは青燐の光							
ヒナゲシから研究対象の採集を依頼された。「ガレマール文化の必需品」を6個、採集し、選者殿の「ヒナゲシ」へ納品しよう。「ガレマール文化の必需品」は、採掘師の場合ガレマルドの管理官舎G棟付近で、園芸師の場合ガレマルドのキャンプ・ブロークングラス付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			ヒナゲシから研究対象の採集を依頼された。「ガレマール文化の必需品」を6個、採集し、選者殿の「ヒナゲシ」へ納品しよう。「ガレマール文化の必需品」は、採掘師の場合ガレマルドの管理官舎G棟付近で、園芸師の場合ガレマルドのキャンプ・ブロークングラス付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			それは青燐の光							
ヒナゲシに「ガレマール文化の必需品」を納品した。彼女たちの恋愛の進展を見守りつつ、文化研究の準備が整い次第ふたたびヒナゲシに声をかけよう。			ヒナゲシに「ガレマール文化の必需品」を納品した。彼女たちの恋愛の進展を見守りつつ、文化研究の準備が整い次第ふたたびヒナゲシに声をかけよう。			それは青燐の光							
管理官舎G棟付近で採集したガレマール文化の必需品をヒナゲシに納品キャンプ・ブロークングラス付近で採集したガレマール文化の必需品をヒナゲシに納品採掘師または園芸師になりガレマール文化の必需品をヒナゲシに納品			管理官舎G棟付近で採集したガレマール文化の必需品をヒナゲシに納品キャンプ・ブロークングラス付近で採集したガレマール文化の必需品をヒナゲシに納品採掘師または園芸師になりガレマール文化の必需品をヒナゲシに納品			それは青燐の光							
