ペリスタイルのシャロー・ムアーは、冒険者に頼みたいことがあるようだ。			ペリスタイルのシャロー・ムアーは、冒険者に頼みたいことがあるようだ。			神子の使いと忘れられた島							
あそこには「算術」を学ぶ者が多くおりましたね！その熱量たるや、パサスーンが暮らしている、デミールの遺烈郷とやらに、少し似ていたように思います。			あそこには「算術」を学ぶ者が多くおりましたね！その熱量たるや、パサスーンが暮らしている、デミールの遺烈郷とやらに、少し似ていたように思います。			神子の使いと忘れられた島							
集落の跡地みたいな場所を通り抜けたあたりで、いたずらしてくる妖精さんに出くわして……。本当に、酷い目に遭っただす！			集落の跡地みたいな場所を通り抜けたあたりで、いたずらしてくる妖精さんに出くわして……。本当に、酷い目に遭っただす！			神子の使いと忘れられた島							
とんでもないクソやろ……困った魔法生物がご迷惑を……。あれは、忘れられた人々が去って長い年月を経たのち、新たに島へ住み着いた者たちが生み出したのです。			とんでもないクソやろ……困った魔法生物がご迷惑を……。あれは、忘れられた人々が去って長い年月を経たのち、新たに島へ住み着いた者たちが生み出したのです。			神子の使いと忘れられた島							
彼らは「ニーム」という場所からやってきたのだとか。そこが滅んでしまったことをきっかけとして、祖先の故郷である南洋諸島へ戻ったと言っておりましたね。			彼らは「ニーム」という場所からやってきたのだとか。そこが滅んでしまったことをきっかけとして、祖先の故郷である南洋諸島へ戻ったと言っておりましたね。			神子の使いと忘れられた島							
祭祀場の神聖な雰囲気は衆園の森に似てて、心が落ち着くような、居心地のよさを感じただす。			祭祀場の神聖な雰囲気は衆園の森に似てて、心が落ち着くような、居心地のよさを感じただす。			神子の使いと忘れられた島							
でも、像が暴れ出したときは生きた心地がしなかっただす！Forenameが倒してくれて助かったけど、どうして動き出したのか……。			でも、像が暴れ出したときは生きた心地がしなかっただす！Forenameが倒してくれて助かったけど、どうして動き出したのか……。			神子の使いと忘れられた島							
えっ、神子像が動いたのですか！？そのような話、聞いたことがございません。			えっ、神子像が動いたのですか！？そのような話、聞いたことがございません。			神子の使いと忘れられた島							
かの像が持つ「神子の宝玉」と関係があるのかもしれませんが、「神子の使い」たる吾輩にも知らないことが多く……。むむむ、気になるところですね。			かの像が持つ「神子の宝玉」と関係があるのかもしれませんが、「神子の使い」たる吾輩にも知らないことが多く……。むむむ、気になるところですね。			神子の使いと忘れられた島							
ともかく、島ではすごい体験ができただす。でも、いろいろ大変な目にも遭ったし、あそこで釣りはもう……。			ともかく、島ではすごい体験ができただす。でも、いろいろ大変な目にも遭ったし、あそこで釣りはもう……。			神子の使いと忘れられた島							
マトシャ様、そう仰らずに……！出発前にもお伝えしておりますとおり、今のアロアロ島には狩人の存在が不可欠なのです！			マトシャ様、そう仰らずに……！出発前にもお伝えしておりますとおり、今のアロアロ島には狩人の存在が不可欠なのです！			神子の使いと忘れられた島							
それに、薬効豊かな魚がたくさん生息している島ですから、ニッダーナ様への贈り物には事欠きません……！どうかもう少し、お力を貸してください！			それに、薬効豊かな魚がたくさん生息している島ですから、ニッダーナ様への贈り物には事欠きません……！どうかもう少し、お力を貸してください！			神子の使いと忘れられた島							
うーん、それを言われると……。いやでも、あんな危ない場所にまた行くなんて、Forenameがいないと無理だし……。			うーん、それを言われると……。いやでも、あんな危ない場所にまた行くなんて、Forenameがいないと無理だし……。			神子の使いと忘れられた島							
あんたが忙しいのはわかってるけど、カリカもこう言ってるし、ニッダーナさんに喜んでほしい……。どうか、またあの島に同行してほしいだす！			あんたが忙しいのはわかってるけど、カリカもこう言ってるし、ニッダーナさんに喜んでほしい……。どうか、またあの島に同行してほしいだす！			神子の使いと忘れられた島							
ありがとう、Forename！やっぱりあんたは、頼りになるだす。			ありがとう、Forename！やっぱりあんたは、頼りになるだす。			神子の使いと忘れられた島							
でも、島で遭遇した盗賊みたいなヒトは何だったんだか……。よくわからない「動く木像」をけしかけてきて、迷惑だっただす。			でも、島で遭遇した盗賊みたいなヒトは何だったんだか……。よくわからない「動く木像」をけしかけてきて、迷惑だっただす。			神子の使いと忘れられた島							
むむっ、アロアロ島にヒトがいて、しかも動く木像を？島にそういった木像があるにはあるものの、あれは、巴術の心得がないと扱えなかったはず……			むむっ、アロアロ島にヒトがいて、しかも動く木像を？島にそういった木像があるにはあるものの、あれは、巴術の心得がないと扱えなかったはず……			神子の使いと忘れられた島							
ともかく、島に住民と呼べるようなヒトがいないのは事実。にもかかわらず、そのような不届き者がいたとすれば、吾輩たちの会話を盗み聞きしたのかもしれません！			ともかく、島に住民と呼べるようなヒトがいないのは事実。にもかかわらず、そのような不届き者がいたとすれば、吾輩たちの会話を盗み聞きしたのかもしれません！			神子の使いと忘れられた島							
そうなると、船を盗んだ犯人っていう可能性もありそうだね。念のため、星戦士団に報告しておくよ。			そうなると、船を盗んだ犯人っていう可能性もありそうだね。念のため、星戦士団に報告しておくよ。			神子の使いと忘れられた島							
よろしく頼むだす。			よろしく頼むだす。			神子の使いと忘れられた島							
これ以上、そのヒトたちが島で悪さをしないよう、速やかに捕縛していただかなくては……！吾輩の翼でもって、顔をはたいてやりたいぐらいです！			これ以上、そのヒトたちが島で悪さをしないよう、速やかに捕縛していただかなくては……！吾輩の翼でもって、顔をはたいてやりたいぐらいです！			神子の使いと忘れられた島							
それじゃあ、島の話はこのくらいにして、オラはニッダーナさんへ釣果を届けに行くだす！			それじゃあ、島の話はこのくらいにして、オラはニッダーナさんへ釣果を届けに行くだす！			神子の使いと忘れられた島							
それじゃあ、島の話はこのくらいにして、オラはそろそろ仕事へ戻るだす。			それじゃあ、島の話はこのくらいにして、オラはそろそろ仕事へ戻るだす。			神子の使いと忘れられた島							
それじゃあ、島の話はこのくらいにして……。祭祀場で釣ったのは見慣れない魚だったから、ひとまず漁師仲間に話を聞いてみるだす。			それじゃあ、島の話はこのくらいにして……。祭祀場で釣ったのは見慣れない魚だったから、ひとまず漁師仲間に話を聞いてみるだす。			神子の使いと忘れられた島							
改めて、Forenameさん、今回は来てくれて本当にありがとう。			改めて、Forenameさん、今回は来てくれて本当にありがとう。			神子の使いと忘れられた島							
アロアロ島にまつわる情報は、僕が手記にまとめておくから、また島へ渡るときにでも、役立ててもらえたら嬉しいよ。書き終えたら共有するからさ。			アロアロ島にまつわる情報は、僕が手記にまとめておくから、また島へ渡るときにでも、役立ててもらえたら嬉しいよ。書き終えたら共有するからさ。			神子の使いと忘れられた島							
このあとオールド・シャーレアンへ戻る予定があるなら、君と繋いでくれた「シャロー・ムアー」さんによろしく伝えて。			このあとオールド・シャーレアンへ戻る予定があるなら、君と繋いでくれた「シャロー・ムアー」さんによろしく伝えて。			神子の使いと忘れられた島							
僕は相変わらず呼び捨てなのに、ニッダーナ「様」かぁ……カリカに好かれるのは難しいね。			僕は相変わらず呼び捨てなのに、ニッダーナ「様」かぁ……カリカに好かれるのは難しいね。			神子の使いと忘れられた島							
まあ、それはともかく。このあとオールド・シャーレアンへ戻る予定があるなら、君と繋いでくれた「シャロー・ムアー」さんによろしく伝えて。			まあ、それはともかく。このあとオールド・シャーレアンへ戻る予定があるなら、君と繋いでくれた「シャロー・ムアー」さんによろしく伝えて。			神子の使いと忘れられた島							
ふふん！マトシャ様の想い人でいらっしゃる方ですから、ニッダーナ様はもちろん様付けでお呼びしますとも！			ふふん！マトシャ様の想い人でいらっしゃる方ですから、ニッダーナ様はもちろん様付けでお呼びしますとも！			神子の使いと忘れられた島							
おっかえり～！もしかして、パサスーンさんの依頼が終わったのかな？			おっかえり～！もしかして、パサスーンさんの依頼が終わったのかな？			神子の使いと忘れられた島							
ええっ、南洋諸島まで行ってきたの！？私、植物専門のグリーナーだから、あのあたりの植生に興味湧いちゃうなぁ～！			ええっ、南洋諸島まで行ってきたの！？私、植物専門のグリーナーだから、あのあたりの植生に興味湧いちゃうなぁ～！			神子の使いと忘れられた島							
それに、憧れの人のために薬効のある魚を釣りたいなんて、マトシャさんが健気すぎて、応援せずにはいられないわ……。			それに、憧れの人のために薬効のある魚を釣りたいなんて、マトシャさんが健気すぎて、応援せずにはいられないわ……。			神子の使いと忘れられた島							
変則依頼としてはこれで終了ってことにはなるけど、もう少し彼を手伝ってもらえると、私としても嬉しいなぁ～！希少な錬金素材は、思わぬ発見に繋がることもあるしね！			変則依頼としてはこれで終了ってことにはなるけど、もう少し彼を手伝ってもらえると、私としても嬉しいなぁ～！希少な錬金素材は、思わぬ発見に繋がることもあるしね！			神子の使いと忘れられた島							
