ワチュメキメキ万貨街のシェーロジャは、配合に詳しい職人を求めているようだ。			ワチュメキメキ万貨街のシェーロジャは、配合に詳しい職人を求めているようだ。			ジュース店、立ち退きの危機							
ありがとう。私は店の片付けをしたあと合流するから、「ベイサイド・ベヴィー」の南へ、先に向かっててもらえる？			ありがとう。私は店の片付けをしたあと合流するから、「ベイサイド・ベヴィー」の南へ、先に向かっててもらえる？			ジュース店、立ち退きの危機							
モブリン族の「ハレナルク」は、ベイサイド・ベヴィーの南に来ているはずよ。悪いけど、先に向かっててもらえる？			モブリン族の「ハレナルク」は、ベイサイド・ベヴィーの南に来ているはずよ。悪いけど、先に向かっててもらえる？			ジュース店、立ち退きの危機							
フゴォ……フゴォ……オマエ　ジュース屋　協力者？			フゴォ……フゴォ……オマエ　ジュース屋　協力者？			ジュース店、立ち退きの危機							
Forename……モブは　モブリン族の　ハレナルク。ギャザラー本業　しっかり採集。			Forename……モブは　モブリン族の　ハレナルク。ギャザラー本業　しっかり採集。			ジュース店、立ち退きの危機							
だけど今日は　店主と共に　話し合い……なんだか　とてとて　めんどくさ～い。			だけど今日は　店主と共に　話し合い……なんだか　とてとて　めんどくさ～い。			ジュース店、立ち退きの危機							
集まってくれてありがとう。自己紹介はもう済んだみたいね。			集まってくれてありがとう。自己紹介はもう済んだみたいね。			ジュース店、立ち退きの危機							
さっそく本題に入りましょう。ふたりの力を借りて、売り上げを回復させるため、新しいジュースの開発をしたいの。			さっそく本題に入りましょう。ふたりの力を借りて、売り上げを回復させるため、新しいジュースの開発をしたいの。			ジュース店、立ち退きの危機							
ずばり、トライヨラに住まう各部族、それぞれの「健康」を支えるジュースをね！			ずばり、トライヨラに住まう各部族、それぞれの「健康」を支えるジュースをね！			ジュース店、立ち退きの危機							
果物には、健康に役立つ栄養がたっぷり含まれているわ。だけど、部族によって身体のつくりは異なるから、不足しがちな栄養素は違ってくるの。			果物には、健康に役立つ栄養がたっぷり含まれているわ。だけど、部族によって身体のつくりは異なるから、不足しがちな栄養素は違ってくるの。			ジュース店、立ち退きの危機							
だから私は果物や錬金薬をかけあわせて、それぞれの部族が健康になれるジュースを、店の目玉にしたい！			だから私は果物や錬金薬をかけあわせて、それぞれの部族が健康になれるジュースを、店の目玉にしたい！			ジュース店、立ち退きの危機							
美味しくて、身体にも良いジュースを売り出していければ、きっとお客さんたちも戻ってきてくれるはずだわ。			美味しくて、身体にも良いジュースを売り出していければ、きっとお客さんたちも戻ってきてくれるはずだわ。			ジュース店、立ち退きの危機							
トライヨラはいま、明日も知れぬ凄惨な状況だけど……。こんなときだからこそ、健康のためのジュースを作って、みんなに元気を出してもらいたくてね。			トライヨラはいま、明日も知れぬ凄惨な状況だけど……。こんなときだからこそ、健康のためのジュースを作って、みんなに元気を出してもらいたくてね。			ジュース店、立ち退きの危機							
先日の襲撃があって、トライヨラにはまだ不安を抱く人もいる。こんなときだからこそ、健康のためのジュースを作って、みんなに元気を出してもらいたくてね。			先日の襲撃があって、トライヨラにはまだ不安を抱く人もいる。こんなときだからこそ、健康のためのジュースを作って、みんなに元気を出してもらいたくてね。			ジュース店、立ち退きの危機							
Forenameには錬金術師として、繊細な配合を行う技巧でジュースの栄養価を高めてほしいの。改めて、どうか協力をお願いするわ……！			Forenameには錬金術師として、繊細な配合を行う技巧でジュースの栄養価を高めてほしいの。改めて、どうか協力をお願いするわ……！			ジュース店、立ち退きの危機							
Forenameには調理師として、栄養価のみならず味覚に訴えるジュースを考案してほしいの。改めて、どうか協力をお願いするわ……！			Forenameには調理師として、栄養価のみならず味覚に訴えるジュースを考案してほしいの。改めて、どうか協力をお願いするわ……！			ジュース店、立ち退きの危機							
何と言う？			何と言う？			ジュース店、立ち退きの危機							
ご当地果物に興味がある			ご当地果物に興味がある			ジュース店、立ち退きの危機							
報酬が良いなら……			報酬が良いなら……			ジュース店、立ち退きの危機							
健康かつ激ウマにしよう！！			健康かつ激ウマにしよう！！			ジュース店、立ち退きの危機							
す、すごく力強く言うのね。おいしくない健康食品に、なにか嫌な思い出でも……？ともかくありがたい提案だから、ぜひお願いしたいわ。			す、すごく力強く言うのね。おいしくない健康食品に、なにか嫌な思い出でも……？ともかくありがたい提案だから、ぜひお願いしたいわ。			ジュース店、立ち退きの危機							
ありがとう……！ではForename、今後ともよろしくね。			ありがとう……！ではForename、今後ともよろしくね。			ジュース店、立ち退きの危機							
トラルの果物のことなら、私もいろいろ話せるし、今後のことは相談しながら決めましょう。			トラルの果物のことなら、私もいろいろ話せるし、今後のことは相談しながら決めましょう。			ジュース店、立ち退きの危機							
ハレナルクには……新商品のことが固まったら、必要になる素材を採ってきてほしいの。			ハレナルクには……新商品のことが固まったら、必要になる素材を採ってきてほしいの。			ジュース店、立ち退きの危機							
内容が決まるまで、少し待たせることになってしまうけれど……ああ、そうだわ、よければ貴方も意見をくれないかしら？			内容が決まるまで、少し待たせることになってしまうけれど……ああ、そうだわ、よければ貴方も意見をくれないかしら？			ジュース店、立ち退きの危機							
多種多様な部族に訴えるジュース作りのために、モブリン族としての視点で、遠慮なく話してくれると助かるわ。お店の再建に繋がる意見なら、追加の報酬も払うし……！			多種多様な部族に訴えるジュース作りのために、モブリン族としての視点で、遠慮なく話してくれると助かるわ。お店の再建に繋がる意見なら、追加の報酬も払うし……！			ジュース店、立ち退きの危機							
モブから　意見は　特にない……			モブから　意見は　特にない……			ジュース店、立ち退きの危機							
そ、そう……。			そ、そう……。			ジュース店、立ち退きの危機							
ええと……ともかく、店に戻って、作業に取りかかりましょう。			ええと……ともかく、店に戻って、作業に取りかかりましょう。			ジュース店、立ち退きの危機							
フゴォ……フゴォ……モブから　意見は　特にない……			フゴォ……フゴォ……モブから　意見は　特にない……			ジュース店、立ち退きの危機							
改めてふたりとも、引き受けてくれてありがとう。どうか、これからよろしくね。			改めてふたりとも、引き受けてくれてありがとう。どうか、これからよろしくね。			ジュース店、立ち退きの危機							
トライヨラに住まう部族を健康にするジュース作り……立ち退きを回避するためにも、力を貸してもらえると助かるわ。			トライヨラに住まう部族を健康にするジュース作り……立ち退きを回避するためにも、力を貸してもらえると助かるわ。			ジュース店、立ち退きの危機							
「ジュースクラフト・シェーロジャ」の、ワチュメキメキ万貨街取引が開放されました！「シェーロジャ」に話しかけて、納品を開始しましょう！			「ジュースクラフト・シェーロジャ」の、ワチュメキメキ万貨街取引が開放されました！「シェーロジャ」に話しかけて、納品を開始しましょう！			ジュース店、立ち退きの危機							
ワチュメキメキ万貨街のシェーロジャは、さっそくジュースを試作したいようだ。			ワチュメキメキ万貨街のシェーロジャは、さっそくジュースを試作したいようだ。			鱗つやつやジュースクラフト！							
シェーロジャからジュースの試作を依頼された。「チェリモヤジュース」を6個製作し、ワチュメキメキ万貨街にいる「シェーロジャ」へ納品しよう。※納品は、収集価値「170」以上で可能となりますが、「340」以上で納品した場合、より多くの報酬が得られます。			シェーロジャからジュースの試作を依頼された。「チェリモヤジュース」を6個製作し、ワチュメキメキ万貨街にいる「シェーロジャ」へ納品しよう。※納品は、収集価値「170」以上で可能となりますが、「340」以上で納品した場合、より多くの報酬が得られます。			鱗つやつやジュースクラフト！							
シェーロジャに「チェリモヤジュース」を納品した。次の試作品作りに取りかかるまでの間、腕を磨いておこう。			シェーロジャに「チェリモヤジュース」を納品した。次の試作品作りに取りかかるまでの間、腕を磨いておこう。			鱗つやつやジュースクラフト！							
シェーロジャにチェリモヤジュースを納品			シェーロジャにチェリモヤジュースを納品			鱗つやつやジュースクラフト！							
フゴォ……フゴォ……モブから　意見は　特にない……			フゴォ……フゴォ……モブから　意見は　特にない……			鱗つやつやジュースクラフト！							
それじゃあ、まずは私のようなマムージャ族に向けた、健康ジュースから作りはじめましょうか。			それじゃあ、まずは私のようなマムージャ族に向けた、健康ジュースから作りはじめましょうか。			鱗つやつやジュースクラフト！							
トライヨラは故郷の森とは異なり日差しが強いから、マムージャ族の人は、鱗が乾燥して剥がれてしまいがちなの。私もたまにかゆみが出るわ。			トライヨラは故郷の森とは異なり日差しが強いから、マムージャ族の人は、鱗が乾燥して剥がれてしまいがちなの。私もたまにかゆみが出るわ。			鱗つやつやジュースクラフト！							
そこで目をつけたのは「チェリモヤ」よ。ペルペル族の商人によると、オルコ・パチャで採れるこの果実は、美肌効果があるんですって。			そこで目をつけたのは「チェリモヤ」よ。ペルペル族の商人によると、オルコ・パチャで採れるこの果実は、美肌効果があるんですって。			鱗つやつやジュースクラフト！							
でも、マムージャ族はこの果実をあまり食べたがらないわ。それは、幾重にも重なった皮の見た目や柔らかな感触が、私たちの鱗に似ていて、食欲が湧かないからなの……。			でも、マムージャ族はこの果実をあまり食べたがらないわ。それは、幾重にも重なった皮の見た目や柔らかな感触が、私たちの鱗に似ていて、食欲が湧かないからなの……。			鱗つやつやジュースクラフト！							
果肉を潰してジュースにすれば解決できるけれど、独特の食感がなくなると、味がぼやけて感じてしまってね。			果肉を潰してジュースにすれば解決できるけれど、独特の食感がなくなると、味がぼやけて感じてしまってね。			鱗つやつやジュースクラフト！							
Forenameには、その課題を克服した、美味しい「チェリモヤジュース」を試作してもらいたいの。			Forenameには、その課題を克服した、美味しい「チェリモヤジュース」を試作してもらいたいの。			鱗つやつやジュースクラフト！							
材料となるチェリモヤは、ベイサイド・ベヴィーの「よろず屋」で売られているはずよ。手間を掛けるけれど、まずはそちらへ行ってみて。			材料となるチェリモヤは、ベイサイド・ベヴィーの「よろず屋」で売られているはずよ。手間を掛けるけれど、まずはそちらへ行ってみて。			鱗つやつやジュースクラフト！							
味だけじゃなく効能も確かめる必要があるから、6杯分、用意してもらえると嬉しい。それではどうか、お願いね……！			味だけじゃなく効能も確かめる必要があるから、6杯分、用意してもらえると嬉しい。それではどうか、お願いね……！			鱗つやつやジュースクラフト！							
「ジュースクラフト・シェーロジャ」への納品が開始されました！依頼されたアイテムをシェーロジャに納品し、貢献していきましょう！			「ジュースクラフト・シェーロジャ」への納品が開始されました！依頼されたアイテムをシェーロジャに納品し、貢献していきましょう！			鱗つやつやジュースクラフト！							
なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			鱗つやつやジュースクラフト！							
フゴォ……フゴォ……試作品　うまくいくまで　モブ待機……			フゴォ……フゴォ……試作品　うまくいくまで　モブ待機……			鱗つやつやジュースクラフト！							
Forenameには課題を克服した、美味しい「チェリモヤジュース」を試作してもらいたいの。どうかお願いね……！			Forenameには課題を克服した、美味しい「チェリモヤジュース」を試作してもらいたいの。どうかお願いね……！			鱗つやつやジュースクラフト！							
期待を裏切らない、いい仕事をしてくれたのね。なかなか鼻をくすぐる甘い香りだわ……。			期待を裏切らない、いい仕事をしてくれたのね。なかなか鼻をくすぐる甘い香りだわ……。			鱗つやつやジュースクラフト！							
まあ……！　これは予想以上の出来映えね！思わず味見したくなってしまうような、とても甘い香りが漂っているわ。			まあ……！　これは予想以上の出来映えね！思わず味見したくなってしまうような、とても甘い香りが漂っているわ。			鱗つやつやジュースクラフト！							
依頼品を納品したことで、シェーロジャはあなたの貢献を実感しはじめました。			依頼品を納品したことで、シェーロジャはあなたの貢献を実感しはじめました。			鱗つやつやジュースクラフト！							
今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			鱗つやつやジュースクラフト！							
見事な「チェリモヤジュース」が完成したわね！			見事な「チェリモヤジュース」が完成したわね！			鱗つやつやジュースクラフト！							
これはマムージャ族を対象にしたジュース。味わいが好まれるかどうか、まずは私に確かめさせて！			これはマムージャ族を対象にしたジュース。味わいが好まれるかどうか、まずは私に確かめさせて！			鱗つやつやジュースクラフト！							
これは……美味しい！チェリモヤの濃厚な甘さや香りがそのまま……いえ、より強く感じられる味わいになっているわ！			これは……美味しい！チェリモヤの濃厚な甘さや香りがそのまま……いえ、より強く感じられる味わいになっているわ！			鱗つやつやジュースクラフト！							
私もマムージャ族だから、チェリモヤには苦手意識があって……。鱗に似たその見た目を思い出すと、効能を知っていても食べようなんて考えられなかったの。			私もマムージャ族だから、チェリモヤには苦手意識があって……。鱗に似たその見た目を思い出すと、効能を知っていても食べようなんて考えられなかったの。			鱗つやつやジュースクラフト！							
けれど、ジュースとして堪能できるなら、見た目と関係なく喜んでもらえるはず。美味しい上に肌にも良いなら、私だって毎日飲みたいぐらいだわ！			けれど、ジュースとして堪能できるなら、見た目と関係なく喜んでもらえるはず。美味しい上に肌にも良いなら、私だって毎日飲みたいぐらいだわ！			鱗つやつやジュースクラフト！							
これが職人、Forenameの腕なのね……！ぜひ、製法を教えてちょうだい！			これが職人、Forenameの腕なのね……！ぜひ、製法を教えてちょうだい！			鱗つやつやジュースクラフト！							
ふむふむ、なるほど……。ありがとう、あとで製法を書き起こしておくわね。これで私でも作ることができそうだわ。			ふむふむ、なるほど……。ありがとう、あとで製法を書き起こしておくわね。これで私でも作ることができそうだわ。			鱗つやつやジュースクラフト！							
ところでハレナルク、よければ貴方も1杯飲んでみない？モブリン族の貴方からも、ぜひ意見をもらいたいの。			ところでハレナルク、よければ貴方も1杯飲んでみない？モブリン族の貴方からも、ぜひ意見をもらいたいの。			鱗つやつやジュースクラフト！							
仕事を早く　終わらせたい……だから飲まない　意見もない……。材料　採集　さっさと済ます……。			仕事を早く　終わらせたい……だから飲まない　意見もない……。材料　採集　さっさと済ます……。			鱗つやつやジュースクラフト！							
うーん……。私、なにかまずいことを言ったかしら……？			うーん……。私、なにかまずいことを言ったかしら……？			鱗つやつやジュースクラフト！							
ああ、ごめんなさい。私こういうとき、自分がなにか失敗してないかって、つい考え込んでしまうの。			ああ、ごめんなさい。私こういうとき、自分がなにか失敗してないかって、つい考え込んでしまうの。			鱗つやつやジュースクラフト！							
前も断られたのに、しつこかったかもしれないわね……。貴方が作ってくれたジュースが絶品だったから、つい。			前も断られたのに、しつこかったかもしれないわね……。貴方が作ってくれたジュースが絶品だったから、つい。			鱗つやつやジュースクラフト！							
ともあれ、今回の試作品をもとに、商品として売り出していくわね！			ともあれ、今回の試作品をもとに、商品として売り出していくわね！			鱗つやつやジュースクラフト！							
ふふ、苦手なチェリモヤの皮剥きだって、お客さんの反応が楽しみで頑張れちゃいそうよ。			ふふ、苦手なチェリモヤの皮剥きだって、お客さんの反応が楽しみで頑張れちゃいそうよ。			鱗つやつやジュースクラフト！							
次は、ほかの部族に向けた健康ジュースを作りましょう。Forenameも、トラル大陸の食材に慣れたり、腕を磨いたりしておいてもらえると助かるわ。			次は、ほかの部族に向けた健康ジュースを作りましょう。Forenameも、トラル大陸の食材に慣れたり、腕を磨いたりしておいてもらえると助かるわ。			鱗つやつやジュースクラフト！							
ジュースクラフト・シェーロジャの貢献ランクが上昇しました！シェーロジャはあなたの事を、「異国の優れた配合職人」と感じているようです！			ジュースクラフト・シェーロジャの貢献ランクが上昇しました！シェーロジャはあなたの事を、「異国の優れた配合職人」と感じているようです！			鱗つやつやジュースクラフト！							
また、次のクエストは「錬金術師／調理師」の、いずれかがレベル93以上になると、ワチュメキメキ万貨街の「シェーロジャ」から受注可能です。			また、次のクエストは「錬金術師／調理師」の、いずれかがレベル93以上になると、ワチュメキメキ万貨街の「シェーロジャ」から受注可能です。			鱗つやつやジュースクラフト！							
ワチュメキメキ万貨街のシェーロジャは、お客さんの反応について話したいようだ。			ワチュメキメキ万貨街のシェーロジャは、お客さんの反応について話したいようだ。			疲労回復ジュースクラフト！							
シェーロジャからジュースの試作を依頼された。「ロトンアロエジュース」を6個製作し、ワチュメキメキ万貨街にいる「シェーロジャ」へ納品しよう。※納品は、収集価値「210」以上で可能となりますが、「430」以上で納品した場合、より多くの報酬が得られます。			シェーロジャからジュースの試作を依頼された。「ロトンアロエジュース」を6個製作し、ワチュメキメキ万貨街にいる「シェーロジャ」へ納品しよう。※納品は、収集価値「210」以上で可能となりますが、「430」以上で納品した場合、より多くの報酬が得られます。			疲労回復ジュースクラフト！							
シェーロジャに「ロトンアロエジュース」を納品した。次の試作に取りかかるまでの間、もっと腕を磨いておこう。			シェーロジャに「ロトンアロエジュース」を納品した。次の試作に取りかかるまでの間、もっと腕を磨いておこう。			疲労回復ジュースクラフト！							
シェーロジャにロトンアロエジュースを納品			シェーロジャにロトンアロエジュースを納品			疲労回復ジュースクラフト！							
Forename、来てくれたのね。チェリモヤジュースのことだけど……実は……			Forename、来てくれたのね。チェリモヤジュースのことだけど……実は……			疲労回復ジュースクラフト！							
これが、すこぶる評判がいいの！マムージャ族の美男美女から、「鱗つやつやジュース」なんて噂されるほどに！			これが、すこぶる評判がいいの！マムージャ族の美男美女から、「鱗つやつやジュース」なんて噂されるほどに！			疲労回復ジュースクラフト！							
あんまり頼まれるものだから、チェリモヤへの苦手意識だって、もう吹っ飛んじゃったわ！			あんまり頼まれるものだから、チェリモヤへの苦手意識だって、もう吹っ飛んじゃったわ！			疲労回復ジュースクラフト！							
この調子でいけば、売り上げは伸びていくはず。勢いが衰えないうちに、新たな試作品を頼みたいの。			この調子でいけば、売り上げは伸びていくはず。勢いが衰えないうちに、新たな試作品を頼みたいの。			疲労回復ジュースクラフト！							
次は、モブリン族向けのジュースを作りましょう。			次は、モブリン族向けのジュースを作りましょう。			疲労回復ジュースクラフト！							
彼らのうち、トライヨラに住む人は、荷運びや採集業を営んでいることが多いの。体力仕事だから、疲れを癒やすジュースが喜ばれるはずよ。			彼らのうち、トライヨラに住む人は、荷運びや採集業を営んでいることが多いの。体力仕事だから、疲れを癒やすジュースが喜ばれるはずよ。			疲労回復ジュースクラフト！							
でも、モブリン族の好みは独特でね。腐茶という、鼻の曲がるような匂いのお茶を好むとか……。			でも、モブリン族の好みは独特でね。腐茶という、鼻の曲がるような匂いのお茶を好むとか……。			疲労回復ジュースクラフト！							
そんなものを店で出せば、営業停止待ったなしね。だから代わりになるものとして、アロエを発酵させて使うのはどうかと思っているの。			そんなものを店で出せば、営業停止待ったなしね。だから代わりになるものとして、アロエを発酵させて使うのはどうかと思っているの。			疲労回復ジュースクラフト！							
発酵させたアロエの香りは鮮烈だけど、フルーティーよ。モブリン族の好みを満たしつつ、ほかの部族にも興味を持たれるはず！			発酵させたアロエの香りは鮮烈だけど、フルーティーよ。モブリン族の好みを満たしつつ、ほかの部族にも興味を持たれるはず！			疲労回復ジュースクラフト！							
でも、疲れを癒やすには効果が今一歩、足りていなくて。その辺り、貴方の腕前を頼っていいかしら？			でも、疲れを癒やすには効果が今一歩、足りていなくて。その辺り、貴方の腕前を頼っていいかしら？			疲労回復ジュースクラフト！							
ありがとう。それと、ね……ハレナルクに試飲を断られたこと、覚えてる？			ありがとう。それと、ね……ハレナルクに試飲を断られたこと、覚えてる？			疲労回復ジュースクラフト！							
私、どうしても彼からも意見を出してほしくて。特に今回は、モブリン族向けの……クセの強いジュースになるから、彼の協力が不可欠だわ。			私、どうしても彼からも意見を出してほしくて。特に今回は、モブリン族向けの……クセの強いジュースになるから、彼の協力が不可欠だわ。			疲労回復ジュースクラフト！							
ハレナルクがつい頷いてしまうような、魅力たっぷりのジュースを準備して、もう一度だけ、飲んでほしいってお願いしたいの！			ハレナルクがつい頷いてしまうような、魅力たっぷりのジュースを準備して、もう一度だけ、飲んでほしいってお願いしたいの！			疲労回復ジュースクラフト！							
ふふ、頼もしいわ。それじゃあハレナルクが素材を集めに行ってるあいだに、「ロトンアロエジュース」を完成させましょう！			ふふ、頼もしいわ。それじゃあハレナルクが素材を集めに行ってるあいだに、「ロトンアロエジュース」を完成させましょう！			疲労回復ジュースクラフト！							
「ロトンアロエジュース」作り、どうかお願いね。モブリン族のためにも、ハレナルクに飲んでもらうためにも、疲労回復ジュースを生み出しましょう！			「ロトンアロエジュース」作り、どうかお願いね。モブリン族のためにも、ハレナルクに飲んでもらうためにも、疲労回復ジュースを生み出しましょう！			疲労回復ジュースクラフト！							
ありがとう、疲れを取れるジュースを作ってくれたのね。モブリン族に、喜んでもらえるといいけれど。			ありがとう、疲れを取れるジュースを作ってくれたのね。モブリン族に、喜んでもらえるといいけれど。			疲労回復ジュースクラフト！							
こ、この鮮烈な香り……！疲労を癒やす効果に加えてこの芳しさ、モブリン族ならきっと飛びついてくれるわ！			こ、この鮮烈な香り……！疲労を癒やす効果に加えてこの芳しさ、モブリン族ならきっと飛びついてくれるわ！			疲労回復ジュースクラフト！							
か、完成したわね……！発酵アロエに、疲労回復効果のあるトマトも加えて、おいしさと危険さのギリギリを目指すなんて……！			か、完成したわね……！発酵アロエに、疲労回復効果のあるトマトも加えて、おいしさと危険さのギリギリを目指すなんて……！			疲労回復ジュースクラフト！							
これならモブリン族も喜んでくれると思うけれど、ハレナルクが飲んでくれるかどうかね……。			これならモブリン族も喜んでくれると思うけれど、ハレナルクが飲んでくれるかどうかね……。			疲労回復ジュースクラフト！							
フゴォ……フゴォ……！なにこれ　なにこれ　とてとて良い匂い！			フゴォ……フゴォ……！なにこれ　なにこれ　とてとて良い匂い！			疲労回復ジュースクラフト！							
Forenameが用意してくれたものでね、疲れがとれる効果もあるのよ。			Forenameが用意してくれたものでね、疲れがとれる効果もあるのよ。			疲労回復ジュースクラフト！							
ハレナルクが採った果物のジュース、お客さんから好評だから、これを飲んで、今後も頑張ってもらえると嬉しいわ。うんとやる気を出して、ね。			ハレナルクが採った果物のジュース、お客さんから好評だから、これを飲んで、今後も頑張ってもらえると嬉しいわ。うんとやる気を出して、ね。			疲労回復ジュースクラフト！							
好評……？モブの果物　大好評～？			好評……？モブの果物　大好評～？			疲労回復ジュースクラフト！							
今はまだマムージャ族向けのジュースしか作れていないから、評判の声は限られたものだけれど……。3人で頑張れば、いつか必ず「大好評」になるはずよ。			今はまだマムージャ族向けのジュースしか作れていないから、評判の声は限られたものだけれど……。3人で頑張れば、いつか必ず「大好評」になるはずよ。			疲労回復ジュースクラフト！							
このジュースが、本当にモブリン族好みの味かどうか……それを貴方に確かめてもらえたら、嬉しいわ。			このジュースが、本当にモブリン族好みの味かどうか……それを貴方に確かめてもらえたら、嬉しいわ。			疲労回復ジュースクラフト！							
モブリン族　マスク外さぬ　人前で～飲み物　もらって　家で飲む～			モブリン族　マスク外さぬ　人前で～飲み物　もらって　家で飲む～			疲労回復ジュースクラフト！							
作ったジュース、受け取ってくれてよかった。貴方のおかげだわ、Forename。			作ったジュース、受け取ってくれてよかった。貴方のおかげだわ、Forename。			疲労回復ジュースクラフト！							
部族の特徴　知り尽くす……店主はもはや　お医者さま～？			部族の特徴　知り尽くす……店主はもはや　お医者さま～？			疲労回復ジュースクラフト！							
い……いえ、医者なんかじゃない、けど……			い……いえ、医者なんかじゃない、けど……			疲労回復ジュースクラフト！							
ただ……私はかつて、「呪術医」を目指していたの。			ただ……私はかつて、「呪術医」を目指していたの。			疲労回復ジュースクラフト！							
呪術医とは、薬草や果実によって作られる薬と、治癒魔法を組み合わせて、人々を救う役職。優れた頭脳と高い魔力が求められる賢士階級のひとつよ。			呪術医とは、薬草や果実によって作られる薬と、治癒魔法を組み合わせて、人々を救う役職。優れた頭脳と高い魔力が求められる賢士階級のひとつよ。			疲労回復ジュースクラフト！							
私の父親も呪術医でね。部族を問わず、トライヨラで多くの命を救ってきた。			私の父親も呪術医でね。部族を問わず、トライヨラで多くの命を救ってきた。			疲労回復ジュースクラフト！							
そんな父の姿に憧れ、私も魔力に優れたブネワ族として、持てる力で人の役に立ちたい、と……そう思っていたわ。			そんな父の姿に憧れ、私も魔力に優れたブネワ族として、持てる力で人の役に立ちたい、と……そう思っていたわ。			疲労回復ジュースクラフト！							
フゴォ……フゴォ……だから豊富　店主の知識……人の健康　守るため～？			フゴォ……フゴォ……だから豊富　店主の知識……人の健康　守るため～？			疲労回復ジュースクラフト！							
