ミーン工芸館の実録システムは、調子が悪そうだ。			ミーン工芸館の実録システムは、調子が悪そうだ。			実録データ001「熟練の新入り職人」							
(-トゥナ-)ありがとう、Forenameさん！それじゃあ、正式に依頼させてもらうから、「ミーン工芸館」で待ってるわ！			(-トゥナ-)ありがとう、Forenameさん！それじゃあ、正式に依頼させてもらうから、「ミーン工芸館」で待ってるわ！			実録データ001「熟練の新入り職人」							
Forenameさん！来てくれてありがとう。師匠兼仕事仲間ってことで、改めてよろしくね！			Forenameさん！来てくれてありがとう。師匠兼仕事仲間ってことで、改めてよろしくね！			実録データ001「熟練の新入り職人」							
ヨロシクー！			ヨロシクー！			実録データ001「熟練の新入り職人」							
ここが私の「時の工房」……と言いたいところだけど、まだ個人工房を持てるほど、実績も資金もなくてね……。ミーン工芸館に、間借りして窓口を置かせてもらっているの。			ここが私の「時の工房」……と言いたいところだけど、まだ個人工房を持てるほど、実績も資金もなくてね……。ミーン工芸館に、間借りして窓口を置かせてもらっているの。			実録データ001「熟練の新入り職人」							
じゃあ、早速だけど、最初の依頼をさせてもらっていいかな？実録システム、説明お願いね。			じゃあ、早速だけど、最初の依頼をさせてもらっていいかな？実録システム、説明お願いね。			実録データ001「熟練の新入り職人」							
ピピ……修復対象の依頼品は、「レイクランドの風景画」。依頼主は、廃村「ダンプソール」で暮らしていた一族の末裔。該当の村は、罪喰いの襲撃によって約90年前に壊滅。			ピピ……修復対象の依頼品は、「レイクランドの風景画」。依頼主は、廃村「ダンプソール」で暮らしていた一族の末裔。該当の村は、罪喰いの襲撃によって約90年前に壊滅。			実録データ001「熟練の新入り職人」							
つまり、この仕事は、絵画の修復を通じて、在りし日の村の景色を取り戻す作業でもあるのよ。			つまり、この仕事は、絵画の修復を通じて、在りし日の村の景色を取り戻す作業でもあるのよ。			実録データ001「熟練の新入り職人」							
すでに独自開発した錬金薬で、あらかたの汚れは落としたわ。だけど、キャンバスの損傷と痛みが激しくて……。			すでに独自開発した錬金薬で、あらかたの汚れは落としたわ。だけど、キャンバスの損傷と痛みが激しくて……。			実録データ001「熟練の新入り職人」							
湿度の高いレイクランドの絵画なだけあって、そのキャンバスには、さまざまな工夫がみられる。修復には質の高い素材が必要で……あなたの力を借りたいの！			湿度の高いレイクランドの絵画なだけあって、そのキャンバスには、さまざまな工夫がみられる。修復には質の高い素材が必要で……あなたの力を借りたいの！			実録データ001「熟練の新入り職人」							
ふふっ、頼もしいのね！素材を用意してもらえれば、あとの修復作業は私が担当するわ！「キャンバス修復材」の製作、お願いね！			ふふっ、頼もしいのね！素材を用意してもらえれば、あとの修復作業は私が担当するわ！「キャンバス修復材」の製作、お願いね！			実録データ001「熟練の新入り職人」							
ピピ……「Forename」に関する個人情報を、「時の工房」の職人として上書き更新します。トゥナをタタイテ、キタエテ！			ピピ……「Forename」に関する個人情報を、「時の工房」の職人として上書き更新します。トゥナをタタイテ、キタエテ！			実録データ001「熟練の新入り職人」							
「手工科」のミーン工芸館取引が開放されました！依頼されたアイテムをトゥナに納品し、貢献していきましょう！			「手工科」のミーン工芸館取引が開放されました！依頼されたアイテムをトゥナに納品し、貢献していきましょう！			実録データ001「熟練の新入り職人」							
ミーン工芸館のトゥナは、考え込んでいるようだ。			ミーン工芸館のトゥナは、考え込んでいるようだ。			実録データ002「工房を彩りし職人」							
彷徨う階段亭のトゥナと話す			彷徨う階段亭のトゥナと話す			実録データ002「工房を彩りし職人」							
ミーン工芸館のトゥナと話す			ミーン工芸館のトゥナと話す			実録データ002「工房を彩りし職人」							
製作手帳 ミーン工芸館取引：工房の看板を製作トゥナに工房の看板を納品			製作手帳 ミーン工芸館取引：工房の看板を製作トゥナに工房の看板を納品			実録データ002「工房を彩りし職人」							
う～ん……話すべきか、どうすべきか……。			う～ん……話すべきか、どうすべきか……。			実録データ002「工房を彩りし職人」							
わっ、ごめんなさいっ！すっかり考え込んでて気付かなかったわ……！			わっ、ごめんなさいっ！すっかり考え込んでて気付かなかったわ……！			実録データ002「工房を彩りし職人」							
実は……オーエルと私の関係について、あなたに話しておくべきかどうかで、悩んでいたのよ……。でも、やっぱり……少し話を聞いてくれる？			実は……オーエルと私の関係について、あなたに話しておくべきかどうかで、悩んでいたのよ……。でも、やっぱり……少し話を聞いてくれる？			実録データ002「工房を彩りし職人」							
前にも少し話したと思うんだけど、オーエルと私は……物心ついたときから、孤児……だったわ。			前にも少し話したと思うんだけど、オーエルと私は……物心ついたときから、孤児……だったわ。			実録データ002「工房を彩りし職人」							
ハリッグ師匠に拾われて弟子入りしてからは、私たちは毎日のように遊び、喧嘩し、競うようにして修業を積んだ。ある日突然、師匠がいなくなるその日まではね……。			ハリッグ師匠に拾われて弟子入りしてからは、私たちは毎日のように遊び、喧嘩し、競うようにして修業を積んだ。ある日突然、師匠がいなくなるその日まではね……。			実録データ002「工房を彩りし職人」							
師匠が亡くなった直接の原因について、まだ子供だった私たちに詳しいことは知らされなかったわ。でも、恐らくは罪喰いに……。			師匠が亡くなった直接の原因について、まだ子供だった私たちに詳しいことは知らされなかったわ。でも、恐らくは罪喰いに……。			実録データ002「工房を彩りし職人」							
それから、オーエルは一層無口になって……。私が「時の工房」を始めるって言ったときだけは、ただ「お前は何も理解していない」ってひとことだけ。			それから、オーエルは一層無口になって……。私が「時の工房」を始めるって言ったときだけは、ただ「お前は何も理解していない」ってひとことだけ。			実録データ002「工房を彩りし職人」							
つまり……なにを嫌って、私の仕事にイチャモンをつけているのかも、実はわからないのよ。			つまり……なにを嫌って、私の仕事にイチャモンをつけているのかも、実はわからないのよ。			実録データ002「工房を彩りし職人」							
オーエルって、ああ見えて工芸館でも顔が利くし、悪評でも流されたら、入る依頼も入らなくなってしまうわ。はぁ、そのうち彼と直接話さないと……もうお酒でも飲みたい気分！			オーエルって、ああ見えて工芸館でも顔が利くし、悪評でも流されたら、入る依頼も入らなくなってしまうわ。はぁ、そのうち彼と直接話さないと……もうお酒でも飲みたい気分！			実録データ002「工房を彩りし職人」							
ピピ……リョーカイ！「彷徨う階段亭」で待ッテロ！			ピピ……リョーカイ！「彷徨う階段亭」で待ッテロ！			実録データ002「工房を彩りし職人」							
………………へ？			………………へ？			実録データ002「工房を彩りし職人」							
ちょっと、嘘でしょ！？まさかオーエルを呼びに行っちゃったの！？			ちょっと、嘘でしょ！？まさかオーエルを呼びに行っちゃったの！？			実録データ002「工房を彩りし職人」							
もう、こうなったら腹を括るしかないかぁ……。「彷徨う階段亭」まで、一緒に来てくれると心強いわ……。			もう、こうなったら腹を括るしかないかぁ……。「彷徨う階段亭」まで、一緒に来てくれると心強いわ……。			実録データ002「工房を彩りし職人」							
オーエルはまだ来てないようね……。本当に来るのかしら……？			オーエルはまだ来てないようね……。本当に来るのかしら……？			実録データ002「工房を彩りし職人」							
急用だから付いてこいと言われて来てみれば、このクソ忙しいときに俺を呼び出したのはお前か、トゥナ。			急用だから付いてこいと言われて来てみれば、このクソ忙しいときに俺を呼び出したのはお前か、トゥナ。			実録データ002「工房を彩りし職人」							
そうダ！トゥナが、イチャモン！			そうダ！トゥナが、イチャモン！			実録データ002「工房を彩りし職人」							
あ？			あ？			実録データ002「工房を彩りし職人」							
ちょ、ちょっと……！イイコだから、静かにしててね。			ちょ、ちょっと……！イイコだから、静かにしててね。			実録データ002「工房を彩りし職人」							
ザザ……ザ……！？強制再起動、強制再起動。			ザザ……ザ……！？強制再起動、強制再起動。			実録データ002「工房を彩りし職人」							
えっと……オーエルに聞きたいことがあって。			えっと……オーエルに聞きたいことがあって。			実録データ002「工房を彩りし職人」							
なんだ？俺はお前らと違って、依頼に追われていて忙しいんだ。			なんだ？俺はお前らと違って、依頼に追われていて忙しいんだ。			実録データ002「工房を彩りし職人」							
だからその……。私の保存修復の仕事に反対してるみたいだけど、せめて理由を教えてくれないかな……？			だからその……。私の保存修復の仕事に反対してるみたいだけど、せめて理由を教えてくれないかな……？			実録データ002「工房を彩りし職人」							
おいおい……そんなことを聞くためにわざわざ呼びだしたのかよ。あーあ、これだから遊びで仕事をしているやつらは、まったくお気楽でいいよな！			おいおい……そんなことを聞くためにわざわざ呼びだしたのかよ。あーあ、これだから遊びで仕事をしているやつらは、まったくお気楽でいいよな！			実録データ002「工房を彩りし職人」							
あ……遊びじゃないわ！私たちは、このクリスタリウムで暮らす人たちが大切にしている、「思い出の品」を修復しているのよ。			あ……遊びじゃないわ！私たちは、このクリスタリウムで暮らす人たちが大切にしている、「思い出の品」を修復しているのよ。			実録データ002「工房を彩りし職人」							
いいか、教えてやる。			いいか、教えてやる。			実録データ002「工房を彩りし職人」							
先人たちの努力と工夫で、どうにかこのクリスタリウムは、人並みの暮らしができるようにはなってきている。が、まだまだ足りない物資は少なくない。			先人たちの努力と工夫で、どうにかこのクリスタリウムは、人並みの暮らしができるようにはなってきている。が、まだまだ足りない物資は少なくない。			実録データ002「工房を彩りし職人」							
お前が、古臭いアマロの装身具をひとつ直している間に、俺は、新品の装身具を10個作って納品した！			お前が、古臭いアマロの装身具をひとつ直している間に、俺は、新品の装身具を10個作って納品した！			実録データ002「工房を彩りし職人」							
ハリッグ師匠がいなくなった今、師匠の代わりにミーン工芸館を支えなきゃならないんだ。			ハリッグ師匠がいなくなった今、師匠の代わりにミーン工芸館を支えなきゃならないんだ。			実録データ002「工房を彩りし職人」							
……お前のように「遊び」に拘ったあげく、勝手にここを出て……帰らぬ人となった、師匠の代わりにな！			……お前のように「遊び」に拘ったあげく、勝手にここを出て……帰らぬ人となった、師匠の代わりにな！			実録データ002「工房を彩りし職人」							
ウイーン……ピピ。システム、再起動完了。			ウイーン……ピピ。システム、再起動完了。			実録データ002「工房を彩りし職人」							
……オーエル、呼んでクル？			……オーエル、呼んでクル？			実録データ002「工房を彩りし職人」							
ダメ……。			ダメ……。			実録データ002「工房を彩りし職人」							
ごめんなさい、あなたにも不快な思いをさせてしまったよね。昔はあんな人じゃなかったんだけどな……。			ごめんなさい、あなたにも不快な思いをさせてしまったよね。昔はあんな人じゃなかったんだけどな……。			実録データ002「工房を彩りし職人」							
それにしても……。オーエルは師匠の最期のときのことを、「勝手にここを出て」って言ってたけど……。			それにしても……。オーエルは師匠の最期のときのことを、「勝手にここを出て」って言ってたけど……。			実録データ002「工房を彩りし職人」							
……そう、師匠はあの日、修復に必要な素材を手に入れるために、ひとりでクリスタリウムを出ていったんだ。師匠が最後に修復しようとしていたもの……あれはたしか……。			……そう、師匠はあの日、修復に必要な素材を手に入れるために、ひとりでクリスタリウムを出ていったんだ。師匠が最後に修復しようとしていたもの……あれはたしか……。			実録データ002「工房を彩りし職人」							
Forenameさん。巻き込んでしまって悪いんだけど、この面倒な厄介ごとに、少し付き合ってもらえないかな……？			Forenameさん。巻き込んでしまって悪いんだけど、この面倒な厄介ごとに、少し付き合ってもらえないかな……？			実録データ002「工房を彩りし職人」							
ありがとう、本当に心強いわ……！こんなところで立ち話もなんだから、一度「ミーン工芸館」に戻りましょう。			ありがとう、本当に心強いわ……！こんなところで立ち話もなんだから、一度「ミーン工芸館」に戻りましょう。			実録データ002「工房を彩りし職人」							
ピピ……「オーエル」は手工科所属の職人。ヒュム族男性、配偶者ナシ。好物はホットミルク。			ピピ……「オーエル」は手工科所属の職人。ヒュム族男性、配偶者ナシ。好物はホットミルク。			実録データ002「工房を彩りし職人」							
「時の工房」を維持していくためには、批判を続けるオーエルの存在は無視できないわ……。			「時の工房」を維持していくためには、批判を続けるオーエルの存在は無視できないわ……。			実録データ002「工房を彩りし職人」							
彼に仕事を認めさせて批判を封じないと、悪評が広まって、ますます仕事が少なくなっちゃう。現に、ここのところ依頼が入っていないのよ……。			彼に仕事を認めさせて批判を封じないと、悪評が広まって、ますます仕事が少なくなっちゃう。現に、ここのところ依頼が入っていないのよ……。			実録データ002「工房を彩りし職人」							
まずは、「時の工房」は「遊び」なんかじゃなく、立派な工房だってことを、わかってもらう必要があるわ。その上で、保存修復という仕事を、ちゃんと理解してもらわないと！			まずは、「時の工房」は「遊び」なんかじゃなく、立派な工房だってことを、わかってもらう必要があるわ。その上で、保存修復という仕事を、ちゃんと理解してもらわないと！			実録データ002「工房を彩りし職人」							
後者については、当てがあるの……あるものを修復できれば……。きっと、師匠を慕っていたオーエルの心にも届くはず……。そちらについては、私が下準備を進めておくわ。			後者については、当てがあるの……あるものを修復できれば……。きっと、師匠を慕っていたオーエルの心にも届くはず……。そちらについては、私が下準備を進めておくわ。			実録データ002「工房を彩りし職人」							
問題は前者なんだけど、どうしたものかしら……。「時の工房」にハクを付けるための方法……			問題は前者なんだけど、どうしたものかしら……。「時の工房」にハクを付けるための方法……			実録データ002「工房を彩りし職人」							
何と言う？			何と言う？			実録データ002「工房を彩りし職人」							
批判は気にしない			批判は気にしない			実録データ002「工房を彩りし職人」							
店構えを整えよう			店構えを整えよう			実録データ002「工房を彩りし職人」							
玉っころが不安材料			玉っころが不安材料			実録データ002「工房を彩りし職人」							
うーん、本当はそうしたいところなんだけど……。実力派の職人であるオーエルが、批判している工房には、やっぱり仕事を頼みにくいと思うのよね……。			うーん、本当はそうしたいところなんだけど……。実力派の職人であるオーエルが、批判している工房には、やっぱり仕事を頼みにくいと思うのよね……。			実録データ002「工房を彩りし職人」							
たしかに……。言われてみれば、店らしい構えは何もないわね……。外装や外観を整えることは、存外大切かもしれないわ！			たしかに……。言われてみれば、店らしい構えは何もないわね……。外装や外観を整えることは、存外大切かもしれないわ！			実録データ002「工房を彩りし職人」							
………………ふふっ。私の大事なパートナーが、なぁに？			………………ふふっ。私の大事なパートナーが、なぁに？			実録データ002「工房を彩りし職人」							
ピピ……店構えと言エバ、「看板」を置いている店が一般的。「時の工房」には、なにひとつナイ！			ピピ……店構えと言エバ、「看板」を置いている店が一般的。「時の工房」には、なにひとつナイ！			実録データ002「工房を彩りし職人」							
看板……なるほど！			看板……なるほど！			実録データ002「工房を彩りし職人」							
あの……Forenameさん！このお店の看板製作を、あなたに依頼させてもらえないかな……？			あの……Forenameさん！このお店の看板製作を、あなたに依頼させてもらえないかな……？			実録データ002「工房を彩りし職人」							
これまで「時の工房」を助けてくれたあなたにこそ、このお店の顔である「看板」を作ってもらえたら嬉しい……。今や、あなたは私にとっての憧れであり、師であり、目標だから！			これまで「時の工房」を助けてくれたあなたにこそ、このお店の顔である「看板」を作ってもらえたら嬉しい……。今や、あなたは私にとっての憧れであり、師であり、目標だから！			実録データ002「工房を彩りし職人」							
引き受けてくれるのね、ありがとう！「工房の看板」、すっごく楽しみにしているわ！もしも材料が不足したら、実録システムから貰ってね！			引き受けてくれるのね、ありがとう！「工房の看板」、すっごく楽しみにしているわ！もしも材料が不足したら、実録システムから貰ってね！			実録データ002「工房を彩りし職人」							
材料が足りなくなった場合ハ、コレを使ッテ！			材料が足りなくなった場合ハ、コレを使ッテ！			実録データ002「工房を彩りし職人」							
看板、ジョウデキ！気に入ッタ！			看板、ジョウデキ！気に入ッタ！			実録データ002「工房を彩りし職人」							
「工房の看板」、すごく楽しみにしているわ！			「工房の看板」、すごく楽しみにしているわ！			実録データ002「工房を彩りし職人」							
わぁ……なんて、なんて素敵な看板なの……！細部まで丁寧に作りこまれた装飾に、デザインも素晴らしいわ！木工、革細工、裁縫の総合技術、保存修復が意匠になっているのね！			わぁ……なんて、なんて素敵な看板なの……！細部まで丁寧に作りこまれた装飾に、デザインも素晴らしいわ！木工、革細工、裁縫の総合技術、保存修復が意匠になっているのね！			実録データ002「工房を彩りし職人」							
いったい何年経ったらあなたに追いつけるかしら……。この看板を目標に、毎日技術の鍛錬に励まないと！本当にありがとう、Forenameさん！			いったい何年経ったらあなたに追いつけるかしら……。この看板を目標に、毎日技術の鍛錬に励まないと！本当にありがとう、Forenameさん！			実録データ002「工房を彩りし職人」							
これなら、オーエルにだって胸を張れるわ……！「時の工房」は、ごっこ遊びなんかじゃない。クリスタリウムの人たちのために、活動を続けていくんだから！			これなら、オーエルにだって胸を張れるわ……！「時の工房」は、ごっこ遊びなんかじゃない。クリスタリウムの人たちのために、活動を続けていくんだから！			実録データ002「工房を彩りし職人」							
ふふっ、他の職人たちも羨ましがるだろうなぁ。この看板は、私があとで工房に飾っておくわね！			ふふっ、他の職人たちも羨ましがるだろうなぁ。この看板は、私があとで工房に飾っておくわね！			実録データ002「工房を彩りし職人」							
そうそう、私の方も進展があったのよ。オーエルに「保存修復」という仕事を認めてもらうための策。えっと……まずは見てもらった方が早いかな、ちょっと待ってね。			そうそう、私の方も進展があったのよ。オーエルに「保存修復」という仕事を認めてもらうための策。えっと……まずは見てもらった方が早いかな、ちょっと待ってね。			実録データ002「工房を彩りし職人」							
これはリュートという楽器……だったものよ。ハリッグ師匠が水晶公から譲り受けた品なんだけど、師匠がいなくなってからは、壊れたままずっと放置されていたの。			これはリュートという楽器……だったものよ。ハリッグ師匠が水晶公から譲り受けた品なんだけど、師匠がいなくなってからは、壊れたままずっと放置されていたの。			実録データ002「工房を彩りし職人」							
水晶公曰く、かつては魔力を持っていたらしいんだけど……長い時が経って、その力は無くなっていたみたいね。それでも、美しい音色は健在だからって、貰い受けたみたい。			水晶公曰く、かつては魔力を持っていたらしいんだけど……長い時が経って、その力は無くなっていたみたいね。それでも、美しい音色は健在だからって、貰い受けたみたい。			実録データ002「工房を彩りし職人」							
師匠はよく、このリュートを酒場で弾いていたのよ。私とオーエルも、その暖かい音色が大好きで……			師匠はよく、このリュートを酒場で弾いていたのよ。私とオーエルも、その暖かい音色が大好きで……			実録データ002「工房を彩りし職人」							
酒場に座り込んでは、ふたりで聞き入っていたなぁ。師匠に借りて、弾き方も教えてもらっていたのよ。			酒場に座り込んでは、ふたりで聞き入っていたなぁ。師匠に借りて、弾き方も教えてもらっていたのよ。			実録データ002「工房を彩りし職人」							
……今思えば、悲しいことがあった時も、嬉しいことがあった時も、師匠がリュートを弾く酒場にはいつも人が溢れていて、みんなその音色に聞き入っていたわ。			……今思えば、悲しいことがあった時も、嬉しいことがあった時も、師匠がリュートを弾く酒場にはいつも人が溢れていて、みんなその音色に聞き入っていたわ。			実録データ002「工房を彩りし職人」							
ハリッグが失踪してからは、壊れた状態のまま、見向きもされていなかッタ。			ハリッグが失踪してからは、壊れた状態のまま、見向きもされていなかッタ。			実録データ002「工房を彩りし職人」							
う……そ、それは。このリュートは、師匠にしか完璧に修復できなかったのよ。楽器の修復はとても繊細で、かなりの熟練した技術が必要で……。			う……そ、それは。このリュートは、師匠にしか完璧に修復できなかったのよ。楽器の修復はとても繊細で、かなりの熟練した技術が必要で……。			実録データ002「工房を彩りし職人」							
