槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			竜の眼							
証ならばここに。輝きに満ちる、この「竜騎士の証」。君の中に目覚めた「竜の力」に、確かに応じている。			証ならばここに。輝きに満ちる、この「竜騎士の証」。君の中に目覚めた「竜の力」に、確かに応じている。			竜の眼							
「竜騎士の証」とは、「蒼の竜騎士」の力を呼び覚ますために古より伝わるクリスタル。君にこそ必要なもの……私にはもう、不要となったもの。			「竜騎士の証」とは、「蒼の竜騎士」の力を呼び覚ますために古より伝わるクリスタル。君にこそ必要なもの……私にはもう、不要となったもの。			竜の眼							
……かつて私も、「蒼の竜騎士」として戦場を翔った。今は力を失い、この証もただの石片となり果てていたが、まさか、このような形で再び使う日が来るとはな……。			……かつて私も、「蒼の竜騎士」として戦場を翔った。今は力を失い、この証もただの石片となり果てていたが、まさか、このような形で再び使う日が来るとはな……。			竜の眼							
冒険者である君が、何故「竜の力」に目覚めたのか。ふたりと同時に選ばれぬ「蒼の竜騎士」が、何故もうひとり選ばれたのか……それは、わからない。			冒険者である君が、何故「竜の力」に目覚めたのか。ふたりと同時に選ばれぬ「蒼の竜騎士」が、何故もうひとり選ばれたのか……それは、わからない。			竜の眼							
だが、ただひとつ確かなことがある。「蒼の竜騎士」エスティニアンを追えるのは、同じ力を持つ君だけだ。			だが、ただひとつ確かなことがある。「蒼の竜騎士」エスティニアンを追えるのは、同じ力を持つ君だけだ。			竜の眼							
あやつの追跡に、力を貸してほしい。礼として、代々の「蒼の竜騎士」に伝わる奥義を教えよう。			あやつの追跡に、力を貸してほしい。礼として、代々の「蒼の竜騎士」に伝わる奥義を教えよう。			竜の眼							
いずれにせよ、エスティニアンを追うためには君に宿る「竜の力」を、完全に御さねばなるまい……。			いずれにせよ、エスティニアンを追うためには君に宿る「竜の力」を、完全に御さねばなるまい……。			竜の眼							
あやつを追うために、長く厳しい試練が待つかもしれん。それでも手を貸すと、その槍に誓ってくれるなら目覚めた「竜の力」が身体に馴染んだ頃、私を訪れてくれ。			あやつを追うために、長く厳しい試練が待つかもしれん。それでも手を貸すと、その槍に誓ってくれるなら目覚めた「竜の力」が身体に馴染んだ頃、私を訪れてくれ。			竜の眼							
異邦に生まれし、新たなる竜騎士Forename。……待っているぞ。			異邦に生まれし、新たなる竜騎士Forename。……待っているぞ。			竜の眼							
「竜騎士」のジョブクエストが開始されました。次のクエストは「竜騎士レベル35」以上で受注可能になります。			「竜騎士」のジョブクエストが開始されました。次のクエストは「竜騎士レベル35」以上で受注可能になります。			竜の眼							
敵の気配を感じた！！			敵の気配を感じた！！			竜の眼							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			竜の眼							
新しいジョブを修得しました！受け取ったソウルクリスタルを装備することで、ジョブチェンジができます。			新しいジョブを修得しました！受け取ったソウルクリスタルを装備することで、ジョブチェンジができます。			竜の眼							
ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			竜の眼							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			竜の眼							
アルベリクは、冒険者に特別な竜騎士の試練を受けさせようとしているようだ。			アルベリクは、冒険者に特別な竜騎士の試練を受けさせようとしているようだ。			戦神の槍							
アルベリクから特別な竜騎士の試練「蒼の試練」を受けた。クルザス中央高地のウィッチドロップにいる神殿騎士「ブルスモン」に試練の詳細を聞き出そう。			アルベリクから特別な竜騎士の試練「蒼の試練」を受けた。クルザス中央高地のウィッチドロップにいる神殿騎士「ブルスモン」に試練の詳細を聞き出そう。			戦神の槍							
「蒼の試練」を達成した。ウィッチドロップにいる神殿騎士「ブルスモン」に指示を仰ごう。			「蒼の試練」を達成した。ウィッチドロップにいる神殿騎士「ブルスモン」に指示を仰ごう。			戦神の槍							
ブルスモンと話した。クルザス中央高地のアドネール占星台にいる「アルベリク」に報告しよう。			ブルスモンと話した。クルザス中央高地のアドネール占星台にいる「アルベリク」に報告しよう。			戦神の槍							
アルベリクに報告した。試練を達成したことで、冒険者の「正義の心」が「竜騎士の証」と共鳴し、新たな「竜の力」を授かった。エスティニアンと対等に渡り合えるように、鍛錬に励もう。※竜騎士のレベルが40以上になると、アルベリクから次の竜騎士クエストを受注することができます。			アルベリクに報告した。試練を達成したことで、冒険者の「正義の心」が「竜騎士の証」と共鳴し、新たな「竜の力」を授かった。エスティニアンと対等に渡り合えるように、鍛錬に励もう。※竜騎士のレベルが40以上になると、アルベリクから次の竜騎士クエストを受注することができます。			戦神の槍							
ブルスモンと話す			ブルスモンと話す			戦神の槍							
もう一度ブルスモンと話す			もう一度ブルスモンと話す			戦神の槍							
アルベリクに報告			アルベリクに報告			戦神の槍							
驚いたな。ずいぶんと早く「竜の力」を手懐けたものだ。エスティニアンと同じか、あるいは……			驚いたな。ずいぶんと早く「竜の力」を手懐けたものだ。エスティニアンと同じか、あるいは……			戦神の槍							
代々の「蒼の竜騎士」の中でも、エスティニアンは特に優れた「竜の力」の使い手で、初代「蒼の竜騎士」征竜将ハルドラスの再来と称された。			代々の「蒼の竜騎士」の中でも、エスティニアンは特に優れた「竜の力」の使い手で、初代「蒼の竜騎士」征竜将ハルドラスの再来と称された。			戦神の槍							
それほどの男を追う力をつけるため、君に特別な「蒼の試練」を受けてもらいたい。			それほどの男を追う力をつけるため、君に特別な「蒼の試練」を受けてもらいたい。			戦神の槍							
その前に、君にも話しておかねばなるまい。我らと竜との戦いの始まりは、およそ1000年前……皇都イシュガルド勃興の時に遡る。			その前に、君にも話しておかねばなるまい。我らと竜との戦いの始まりは、およそ1000年前……皇都イシュガルド勃興の時に遡る。			戦神の槍							
はるか昔、南の平地に暮らしていた我らの祖先は戦神ハルオーネの天啓を受けた男「トールダン」に導かれ、約束の地……クルザス中央高地を目指し、故郷を発った。			はるか昔、南の平地に暮らしていた我らの祖先は戦神ハルオーネの天啓を受けた男「トールダン」に導かれ、約束の地……クルザス中央高地を目指し、故郷を発った。			戦神の槍							
旅の途中、彼らは深く険しい谷に突き当たった。トールダンが、谷を渡るために橋を架けようとすると、「ニーズヘッグ」という名の竜に襲われた。			旅の途中、彼らは深く険しい谷に突き当たった。トールダンが、谷を渡るために橋を架けようとすると、「ニーズヘッグ」という名の竜に襲われた。			戦神の槍							
トールダンは、竜と、竜に魅入られた者に襲われ死んだ。しかし、彼の息子「ハルドラス」が槍をとって反撃し、ニーズヘッグの「眼球」をくり抜き、退けたのだ。			トールダンは、竜と、竜に魅入られた者に襲われ死んだ。しかし、彼の息子「ハルドラス」が槍をとって反撃し、ニーズヘッグの「眼球」をくり抜き、退けたのだ。			戦神の槍							
この「眼球」こそ、イシュガルドの宝珠「竜の眼」。ドラゴン族の力の源であるこれは強大な力を宿し、意思弱き者が触れれば、竜に魅入られるという。			この「眼球」こそ、イシュガルドの宝珠「竜の眼」。ドラゴン族の力の源であるこれは強大な力を宿し、意思弱き者が触れれば、竜に魅入られるという。			戦神の槍							
ハルドラスも「竜の眼」に触れ、己を失いかけるが、「正義の心」で打ち勝ち、その身に「竜の力」を宿した。……これが「蒼の竜騎士」の始まりだ。			ハルドラスも「竜の眼」に触れ、己を失いかけるが、「正義の心」で打ち勝ち、その身に「竜の力」を宿した。……これが「蒼の竜騎士」の始まりだ。			戦神の槍							
本来「竜の力」は忌むべきもの。……だが、征竜将ハルドラスはこう言ったという。			本来「竜の力」は忌むべきもの。……だが、征竜将ハルドラスはこう言ったという。			戦神の槍							
皇都イシュガルドに捧げる「正義の心」ある限り、「蒼の竜騎士」は己を失うことはない、と。			皇都イシュガルドに捧げる「正義の心」ある限り、「蒼の竜騎士」は己を失うことはない、と。			戦神の槍							
……なに、難しく考える必要はない。皇都に捧ぐ正義とは、我らイシュガルドの竜騎士の信念。冒険者である君は、君自身の正義を貫けばよかろう。			……なに、難しく考える必要はない。皇都に捧ぐ正義とは、我らイシュガルドの竜騎士の信念。冒険者である君は、君自身の正義を貫けばよかろう。			戦神の槍							
さあ、講釈はこれぐらいにして、試練を始めよう。ウィッチドロップにいる神殿騎士「ブルスモン」に詳細を聞いてくれ。			さあ、講釈はこれぐらいにして、試練を始めよう。ウィッチドロップにいる神殿騎士「ブルスモン」に詳細を聞いてくれ。			戦神の槍							
冒険者が「蒼の試練」を受けるとは……その実力とやら、せいぜい見せてもらうとしよう。さあ、この魔物を、お前の槍で倒してみせよ！			冒険者が「蒼の試練」を受けるとは……その実力とやら、せいぜい見せてもらうとしよう。さあ、この魔物を、お前の槍で倒してみせよ！			戦神の槍							
フン……冒険者にしてはよくやる。アドネール占星台にいる「アルベリク」にお前の「竜騎士の証」の輝きを見せるがよい。			フン……冒険者にしてはよくやる。アドネール占星台にいる「アルベリク」にお前の「竜騎士の証」の輝きを見せるがよい。			戦神の槍							
おお、その輝き……。試練を達成するほどの強さを示し、真摯なる君の心が「竜騎士の証」と共鳴したようだな。			おお、その輝き……。試練を達成するほどの強さを示し、真摯なる君の心が「竜騎士の証」と共鳴したようだな。			戦神の槍							
君の内なる「竜の力」が、新たな力を授けたのだ。エスティニアンと対等に渡り合えるよう鍛錬を積み、その力が君の身に馴染んだ頃、再び会おう。			君の内なる「竜の力」が、新たな力を授けたのだ。エスティニアンと対等に渡り合えるよう鍛錬を積み、その力が君の身に馴染んだ頃、再び会おう。			戦神の槍							
敵の気配を感じた！！			敵の気配を感じた！！			戦神の槍							
アルベリクは冒険者に、さらに特別な竜騎士の試練「蒼の試練」を受けさせようとしているようだ。			アルベリクは冒険者に、さらに特別な竜騎士の試練「蒼の試練」を受けさせようとしているようだ。			消えぬ爪痕							
アルベリクから特別な竜騎士の試練「蒼の試練」を受けるよう言われた。クルザス中央高地のウィッチドロップにいる神殿騎士「ウスティエヌ」と話そう。			アルベリクから特別な竜騎士の試練「蒼の試練」を受けるよう言われた。クルザス中央高地のウィッチドロップにいる神殿騎士「ウスティエヌ」と話そう。			消えぬ爪痕							
さらに特別な「蒼の試練」を達成した。もう一度ウィッチドロップにいる神殿騎士「ウスティエヌ」と話そう。			さらに特別な「蒼の試練」を達成した。もう一度ウィッチドロップにいる神殿騎士「ウスティエヌ」と話そう。			消えぬ爪痕							
ウスティエヌと話した。クルザス中央高地のアドネール占星台にいる「アルベリク」に報告しよう。			ウスティエヌと話した。クルザス中央高地のアドネール占星台にいる「アルベリク」に報告しよう。			消えぬ爪痕							
アルベリクに報告した。試練を達成して、冒険者の「正義の心」が「竜騎士の証」と共鳴し、新たな「竜の力」を授かった。ニーズヘッグが目覚める前に、「竜の眼」を取り戻すため、鍛錬に励もう。※竜騎士のレベルが45以上になると、アルベリクから次の竜騎士クエストを受注することができます。			アルベリクに報告した。試練を達成して、冒険者の「正義の心」が「竜騎士の証」と共鳴し、新たな「竜の力」を授かった。ニーズヘッグが目覚める前に、「竜の眼」を取り戻すため、鍛錬に励もう。※竜騎士のレベルが45以上になると、アルベリクから次の竜騎士クエストを受注することができます。			消えぬ爪痕							
ウスティエヌと話す			ウスティエヌと話す			消えぬ爪痕							
もう一度ウスティエヌと話す			もう一度ウスティエヌと話す			消えぬ爪痕							
アルベリクに報告			アルベリクに報告			消えぬ爪痕							
「蒼の竜騎士」らしい身構えとなったな。……実を言うと、迷わぬわけではなかった。本当に君に「竜の力」を託してよいものかと。			「蒼の竜騎士」らしい身構えとなったな。……実を言うと、迷わぬわけではなかった。本当に君に「竜の力」を託してよいものかと。			消えぬ爪痕							
……以前、「竜の眼」は、「邪竜ニーズヘッグ」の眼球だと話しただろう？古の英雄ハルドラスがくり抜いたものである、と。			……以前、「竜の眼」は、「邪竜ニーズヘッグ」の眼球だと話しただろう？古の英雄ハルドラスがくり抜いたものである、と。			消えぬ爪痕							
君は、寓話か神話の類だと思ったかもしれん。ドラゴン族を見たことがない冒険者も多いからな。それがどれほど幸せなことか、わからぬだろう。			君は、寓話か神話の類だと思ったかもしれん。ドラゴン族を見たことがない冒険者も多いからな。それがどれほど幸せなことか、わからぬだろう。			消えぬ爪痕							
邪竜ニーズヘッグは実在する。奴は、イシュガルドの長き歴史において、8度目覚めた。その度に、数多の血と涙がイシュガルドの大地へ注がれた。			邪竜ニーズヘッグは実在する。奴は、イシュガルドの長き歴史において、8度目覚めた。その度に、数多の血と涙がイシュガルドの大地へ注がれた。			消えぬ爪痕							
次なる「竜の試練」の前に、ひとつ昔話をしよう。ニーズヘッグの最後の目覚めは、今から20年前のこと……。			次なる「竜の試練」の前に、ひとつ昔話をしよう。ニーズヘッグの最後の目覚めは、今から20年前のこと……。			消えぬ爪痕							
ドラヴァニアの地にて、100年の眠りから目覚めた邪竜ニーズヘッグはクルザス地方を襲来。手当たり次第に村落を襲い、破壊し、焼き払った。			ドラヴァニアの地にて、100年の眠りから目覚めた邪竜ニーズヘッグはクルザス地方を襲来。手当たり次第に村落を襲い、破壊し、焼き払った。			消えぬ爪痕							
奴の狂気に誘われてか……眠りについていたドラゴン族も次々と目覚め、イシュガルドの空は、たちまち無数の竜に覆われた。			奴の狂気に誘われてか……眠りについていたドラゴン族も次々と目覚め、イシュガルドの空は、たちまち無数の竜に覆われた。			消えぬ爪痕							
陽は遮られ、重苦しい闇がイシュガルドを飲み込んだ。空を焦がす火の色を、今でも鮮明に覚えている……。「蒼の竜騎士」であった私の前で、多くの命が焼かれた。			陽は遮られ、重苦しい闇がイシュガルドを飲み込んだ。空を焦がす火の色を、今でも鮮明に覚えている……。「蒼の竜騎士」であった私の前で、多くの命が焼かれた。			消えぬ爪痕							
……祈りを捧ぐ暇などなかった。戯れのように飛ぶ邪竜を、私は、ひたすらに追った。			……祈りを捧ぐ暇などなかった。戯れのように飛ぶ邪竜を、私は、ひたすらに追った。			消えぬ爪痕							
永遠に続くかと思われた攻防に決着がついたのは、……邪竜が目覚めてから、3日目の晩のこと。			永遠に続くかと思われた攻防に決着がついたのは、……邪竜が目覚めてから、3日目の晩のこと。			消えぬ爪痕							
クルザスの端の小さな村落で、ついに奴と対峙した私は、身体に残る力のすべてを振り絞り、瞳のない眼窩に槍を突き刺した。			クルザスの端の小さな村落で、ついに奴と対峙した私は、身体に残る力のすべてを振り絞り、瞳のない眼窩に槍を突き刺した。			消えぬ爪痕							
邪竜は暴れ、私は地に叩きつけられた。だが、その爪が私に振り下ろされることはなかった。ニーズヘッグは退き、三日に及ぶ戦いは終わったのだ。			邪竜は暴れ、私は地に叩きつけられた。だが、その爪が私に振り下ろされることはなかった。ニーズヘッグは退き、三日に及ぶ戦いは終わったのだ。			消えぬ爪痕							
多くの仲間、罪のない民の命が犠牲になった……。そして私も、この戦いによって「竜の力」を失った。			多くの仲間、罪のない民の命が犠牲になった……。そして私も、この戦いによって「竜の力」を失った。			消えぬ爪痕							
エスティニアンも、この戦いで故郷と肉親を失った。ほんの幼子であった彼は、邪竜が最後に襲った村である「ファーンデール」の唯一の生き残りだ。			エスティニアンも、この戦いで故郷と肉親を失った。ほんの幼子であった彼は、邪竜が最後に襲った村である「ファーンデール」の唯一の生き残りだ。			消えぬ爪痕							
幼くしてすべてを失った彼を、門弟として引きとったのは、「ファーンデール」を守れなかったことへの私なりの償いだったのかもしれん……。			幼くしてすべてを失った彼を、門弟として引きとったのは、「ファーンデール」を守れなかったことへの私なりの償いだったのかもしれん……。			消えぬ爪痕							
再び、あの悪夢を繰り返させるわけにはいかん。ドラゴン族どもの考えなど、我らに計り知れるものではないが……			再び、あの悪夢を繰り返させるわけにはいかん。ドラゴン族どもの考えなど、我らに計り知れるものではないが……			消えぬ爪痕							
奪われた「眼」に起きている異変を察知した。ニーズヘッグが再び、目覚める可能性は高い。少なくとも、確実にドラゴン族が騒ぎ出している。			奪われた「眼」に起きている異変を察知した。ニーズヘッグが再び、目覚める可能性は高い。少なくとも、確実にドラゴン族が騒ぎ出している。			消えぬ爪痕							
時間がないのだ。君には、さらに特別な竜騎士の試練「蒼の試練」を受けてもらう。			時間がないのだ。君には、さらに特別な竜騎士の試練「蒼の試練」を受けてもらう。			消えぬ爪痕							
詳細は、ウィッチドロップにいる、神殿騎士「ウスティエヌ」に聞いてくれ。			詳細は、ウィッチドロップにいる、神殿騎士「ウスティエヌ」に聞いてくれ。			消えぬ爪痕							
私が「蒼の試練」を監督するのも久しぶりだ。君の実力とやらを見れるのを期待している。さあ、この魔物を、その槍で倒すのだ！			私が「蒼の試練」を監督するのも久しぶりだ。君の実力とやらを見れるのを期待している。さあ、この魔物を、その槍で倒すのだ！			消えぬ爪痕							
見事……その力は、エスティニアンに並ぶやも。アドネール占星台にいる「アルベリク」にお前の「竜騎士の証」の輝きを見せるがよい。			見事……その力は、エスティニアンに並ぶやも。アドネール占星台にいる「アルベリク」にお前の「竜騎士の証」の輝きを見せるがよい。			消えぬ爪痕							
実に美しい「竜騎士の証」の輝き……新たな「竜の力」が目覚めたようだな。この調子なら、エスティニアンに伍する日も遠くはなかろう。			実に美しい「竜騎士の証」の輝き……新たな「竜の力」が目覚めたようだな。この調子なら、エスティニアンに伍する日も遠くはなかろう。			消えぬ爪痕							
