蜃気楼の町のリディルセイルは、誰かを探しているようだ。			蜃気楼の町のリディルセイルは、誰かを探しているようだ。			蜃気楼に包まれし武具							
まぁいい。こうなったら、テメェとオレでさっさと仕事を終えて、こんなしけた島とはおさらばしようじゃねえか。			まぁいい。こうなったら、テメェとオレでさっさと仕事を終えて、こんなしけた島とはおさらばしようじゃねえか。			蜃気楼に包まれし武具							
ほかの連中とは、違う雰囲気を感じるな。こんなところまでやってくるとは、物好きな奴だぜ。			ほかの連中とは、違う雰囲気を感じるな。こんなところまでやってくるとは、物好きな奴だぜ。			蜃気楼に包まれし武具							
こっちは、楽に稼げる方法があると聞いて船に乗ったら、目的地が「死の三角海域」だと後から聞かされてよ。ほとんど詐欺みてぇなもンじゃねぇか！			こっちは、楽に稼げる方法があると聞いて船に乗ったら、目的地が「死の三角海域」だと後から聞かされてよ。ほとんど詐欺みてぇなもンじゃねぇか！			蜃気楼に包まれし武具							
まぁいい、あの野郎に頼まれてオレを呼びにきたンだろ？こうなったら、さっさと仕事を終えて、こんなしけた島とはおさらばさせてもらうぜ……。			まぁいい、あの野郎に頼まれてオレを呼びにきたンだろ？こうなったら、さっさと仕事を終えて、こんなしけた島とはおさらばさせてもらうぜ……。			蜃気楼に包まれし武具							
しっかし、広ぇ割にはがらんとした町だな。歩き回ったおかげで酔いが完全に醒めちまったぜ……。			しっかし、広ぇ割にはがらんとした町だな。歩き回ったおかげで酔いが完全に醒めちまったぜ……。			蜃気楼に包まれし武具							
ゲロルトの奴、やっと戻ってきたよ。手間をかけさせちまって、すまねぇな。			ゲロルトの奴、やっと戻ってきたよ。手間をかけさせちまって、すまねぇな。			蜃気楼に包まれし武具							
それじゃ、鍛冶場の設営も済んでるから、あんたにはさっそく働いてもらうぞ。			それじゃ、鍛冶場の設営も済んでるから、あんたにはさっそく働いてもらうぞ。			蜃気楼に包まれし武具							
おいおい、ちょっと待て！まさか、この天才ゲロルト様を呼んでおきながら、並の職人でもできるような仕事をさせる気じゃねぇだろうな？			おいおい、ちょっと待て！まさか、この天才ゲロルト様を呼んでおきながら、並の職人でもできるような仕事をさせる気じゃねぇだろうな？			蜃気楼に包まれし武具							
オレ様だけが持つ絶技でないと、太刀打ちできねぇくらいの、高難度の武具製作……そういうのじゃねぇのかよ！？			オレ様だけが持つ絶技でないと、太刀打ちできねぇくらいの、高難度の武具製作……そういうのじゃねぇのかよ！？			蜃気楼に包まれし武具							
勝手に酒を飲んで損害を出しておきながら、仕事を選べるような身分かよ……！			勝手に酒を飲んで損害を出しておきながら、仕事を選べるような身分かよ……！			蜃気楼に包まれし武具							
しかし、曲がりなりにも高い金を払って雇った凄腕の職人、ただの鍛冶仕事じゃ役不足だってのも一理ある。			しかし、曲がりなりにも高い金を払って雇った凄腕の職人、ただの鍛冶仕事じゃ役不足だってのも一理ある。			蜃気楼に包まれし武具							
あんた、何かいい考えはないか？			あんた、何かいい考えはないか？			蜃気楼に包まれし武具							
何と言う？			何と言う？			蜃気楼に包まれし武具							
自分に聞かれてもなぁ……			自分に聞かれてもなぁ……			蜃気楼に包まれし武具							
天才鍛冶師サマなら何か思いつくのでは？			天才鍛冶師サマなら何か思いつくのでは？			蜃気楼に包まれし武具							
フン……それなら、オレ様の天才的な発想で、ひとつ新しい加工法を編み出してやンよ！			フン……それなら、オレ様の天才的な発想で、ひとつ新しい加工法を編み出してやンよ！			蜃気楼に包まれし武具							
……言ってくれるぜ。それなら、オレ様の天才的な発想で、ひとつ新しい加工法を編み出してやンよ！			……言ってくれるぜ。それなら、オレ様の天才的な発想で、ひとつ新しい加工法を編み出してやンよ！			蜃気楼に包まれし武具							
そうだな……この島には妙な魔法の力が満ちてるみてぇだから、そのエーテルの一部を拝借すっか。			そうだな……この島には妙な魔法の力が満ちてるみてぇだから、そのエーテルの一部を拝借すっか。			蜃気楼に包まれし武具							
素材についても、ここなら特別な品が用意できそうだ。魔法の影響で特質が変化した鉱石を用いれば……。			素材についても、ここなら特別な品が用意できそうだ。魔法の影響で特質が変化した鉱石を用いれば……。			蜃気楼に包まれし武具							
鉱石なら、地質調査班の採掘予定に入ってる。それさえあれば作業に入れるのか？			鉱石なら、地質調査班の採掘予定に入ってる。それさえあれば作業に入れるのか？			蜃気楼に包まれし武具							
馬鹿言ってンじゃねぇよ……素材を揃えりゃいいだけなら、凡人でもできるだろうが。			馬鹿言ってンじゃねぇよ……素材を揃えりゃいいだけなら、凡人でもできるだろうが。			蜃気楼に包まれし武具							
このまま普通に加工を施そうとしても、エーテルが霧散して素材の特質が台無しになっちまう。まさに蜃気楼のようなもンだな。			このまま普通に加工を施そうとしても、エーテルが霧散して素材の特質が台無しになっちまう。まさに蜃気楼のようなもンだな。			蜃気楼に包まれし武具							
特別な石だけに、特別な加工法が必要になるってことか……。そんなの、どうすりゃいいんだ？			特別な石だけに、特別な加工法が必要になるってことか……。そんなの、どうすりゃいいんだ？			蜃気楼に包まれし武具							
魔物やらが激しい戦いの末に命を散らせたとき……その散りゆく魂の一部が結晶化して、石に留まることがある。			魔物やらが激しい戦いの末に命を散らせたとき……その散りゆく魂の一部が結晶化して、石に留まることがある。			蜃気楼に包まれし武具							
過去にそんな鉱石を扱ったことがあってな。ま、そうそうお目にかかれるもンじゃないが、この島の環境なら手に入るかもしれねぇ。			過去にそんな鉱石を扱ったことがあってな。ま、そうそうお目にかかれるもンじゃないが、この島の環境なら手に入るかもしれねぇ。			蜃気楼に包まれし武具							
それに、オレ様が見たことのある石は、別のところで産出されたもンだろうから、この島以外でも手に入る可能性はあるかもな。			それに、オレ様が見たことのある石は、別のところで産出されたもンだろうから、この島以外でも手に入る可能性はあるかもな。			蜃気楼に包まれし武具							
なるほど……その石に、名前はないのか？			なるほど……その石に、名前はないのか？			蜃気楼に包まれし武具							
あるぜ……。その名も、「デミアートマ」だ！			あるぜ……。その名も、「デミアートマ」だ！			蜃気楼に包まれし武具							
ゲロルトを焚きつけてくれて、ありがとうよ。あんたのおかげで、どうにか仕事の目途が立ちそうだ。			ゲロルトを焚きつけてくれて、ありがとうよ。あんたのおかげで、どうにか仕事の目途が立ちそうだ。			蜃気楼に包まれし武具							
で、相談なんだが……デミアートマを手に入れるための魔物の討伐は、あんたに任せちまってもかまわねぇか？			で、相談なんだが……デミアートマを手に入れるための魔物の討伐は、あんたに任せちまってもかまわねぇか？			蜃気楼に包まれし武具							
その石集めの間に、ゲロルトには通常の鍛冶仕事をやってもらう。あんたは、デミアートマで強力な武具が手に入るって寸法だ。			その石集めの間に、ゲロルトには通常の鍛冶仕事をやってもらう。あんたは、デミアートマで強力な武具が手に入るって寸法だ。			蜃気楼に包まれし武具							
「蜃気楼の島 クレセントアイル：南征編」での、クリティカルエンカウントやF.A.T.E.の攻略によって、「デミアートマ」を獲得できます。			「蜃気楼の島 クレセントアイル：南征編」での、クリティカルエンカウントやF.A.T.E.の攻略によって、「デミアートマ」を獲得できます。			蜃気楼に包まれし武具							
また、島外の特定地域のF.A.T.E.の攻略によっても、「デミアートマ」を獲得することができます。			また、島外の特定地域のF.A.T.E.の攻略によっても、「デミアートマ」を獲得することができます。			蜃気楼に包まれし武具							
島外のF.A.T.E.の対象地域は、オルコ・パチャ、コザマル・カ、ヤクテル樹海、シャーローニ荒野、ヘリテージファウンド、リビング・メモリーの、合計6地域です。			島外のF.A.T.E.の対象地域は、オルコ・パチャ、コザマル・カ、ヤクテル樹海、シャーローニ荒野、ヘリテージファウンド、リビング・メモリーの、合計6地域です。			蜃気楼に包まれし武具							
ゲロルトのやる気が失せないうちに、材料を揃えて、仕事に取りかかってもらおうぜ。			ゲロルトのやる気が失せないうちに、材料を揃えて、仕事に取りかかってもらおうぜ。			蜃気楼に包まれし武具							
この島の特殊な環境を利用すれば、新たな加工法が試せそうだ。そのために、6種類の「デミアートマ」を3個ずつ用意してくれ。			この島の特殊な環境を利用すれば、新たな加工法が試せそうだ。そのために、6種類の「デミアートマ」を3個ずつ用意してくれ。			蜃気楼に包まれし武具							
おお、待ってたぜ！武器が完成するまで、酒はお預けだと言われてっからよ、さっさと始めたくてうずうずしてたンだ。			おお、待ってたぜ！武器が完成するまで、酒はお預けだと言われてっからよ、さっさと始めたくてうずうずしてたンだ。			蜃気楼に包まれし武具							
さすがは冒険者、まさしくデミアートマだ。すげぇ魔力を感じるぜ。			さすがは冒険者、まさしくデミアートマだ。すげぇ魔力を感じるぜ。			蜃気楼に包まれし武具							
これだけあれば十分だ。さっそく、オレの鍛冶道具にデミアートマを定着させるぞ！			これだけあれば十分だ。さっそく、オレの鍛冶道具にデミアートマを定着させるぞ！			蜃気楼に包まれし武具							
よっしゃ、おらああ！！			よっしゃ、おらああ！！			蜃気楼に包まれし武具							
これで、この先武器を何本作っても、お前が集めたデミアートマの効果が薄れることはねぇ。つまり、もう集めてこなくていいってこった。			これで、この先武器を何本作っても、お前が集めたデミアートマの効果が薄れることはねぇ。つまり、もう集めてこなくていいってこった。			蜃気楼に包まれし武具							
さぁ、お次はいよいよ、新たな武器の創造に取りかかるぞ！			さぁ、お次はいよいよ、新たな武器の創造に取りかかるぞ！			蜃気楼に包まれし武具							
デミアートマの効果によって、ゲロルトの鍛冶道具に魔力が込められました！あらためて武器の製作に取りかかりましょう！			デミアートマの効果によって、ゲロルトの鍛冶道具に魔力が込められました！あらためて武器の製作に取りかかりましょう！			蜃気楼に包まれし武具							
特殊ルール： クラス・ジョブ固定蜃気楼の町のリディルセイルは、新たな武器の製作に取り掛かりたいようだ。			特殊ルール： クラス・ジョブ固定蜃気楼の町のリディルセイルは、新たな武器の製作に取り掛かりたいようだ。			ファントムウェポンの創造							
※本クエストには「 クラス・ジョブ固定」が、　設定されています。　受注時と同じクラス・ジョブでのみ進行できます。「三日月鉱石」を手に入れるために必要な対価を、自分で集めることになった。無事にロウェナ商会と取引ができたら、蜃気楼の町の「ドドックリ」に「三日月鉱石」を3個渡そう。			※本クエストには「 クラス・ジョブ固定」が、　設定されています。　受注時と同じクラス・ジョブでのみ進行できます。「三日月鉱石」を手に入れるために必要な対価を、自分で集めることになった。無事にロウェナ商会と取引ができたら、蜃気楼の町の「ドドックリ」に「三日月鉱石」を3個渡そう。			ファントムウェポンの創造							
ドドックリに「三日月鉱石」を渡した。新たに手に入れた「ファントムウェポン」を戦いの中でしっかり使い込んでいこう。			ドドックリに「三日月鉱石」を渡した。新たに手に入れた「ファントムウェポン」を戦いの中でしっかり使い込んでいこう。			ファントムウェポンの創造							
ドドックリに三日月鉱石を渡す			ドドックリに三日月鉱石を渡す			ファントムウェポンの創造							
凡人には、コイツの真価は発揮できねぇ。オレ様の神技があってこその道具ってわけよ。			凡人には、コイツの真価は発揮できねぇ。オレ様の神技があってこその道具ってわけよ。			ファントムウェポンの創造							
ゲロルトの準備が整ったようだな。さっそく新しい武器を作ってもらおうぜ。			ゲロルトの準備が整ったようだな。さっそく新しい武器を作ってもらおうぜ。			ファントムウェポンの創造							
クエスト『ファントムウェポンの創造』にて入手できる武器は、現在のジョブ「[Job]」の武器となります。『ファントムウェポンの創造』を「[Job]」で受けますか？			クエスト『ファントムウェポンの創造』にて入手できる武器は、現在のジョブ「[Job]」の武器となります。『ファントムウェポンの創造』を「[Job]」で受けますか？			ファントムウェポンの創造							
[Job]の武器を作成しますか？			[Job]の武器を作成しますか？			ファントムウェポンの創造							
もう少し考える			もう少し考える			ファントムウェポンの創造							
[Job]の武器を作成する			[Job]の武器を作成する			ファントムウェポンの創造							
作成したい武器に応じたジョブとなり、再度、リディルセイルに声をかけてください。			作成したい武器に応じたジョブとなり、再度、リディルセイルに声をかけてください。			ファントムウェポンの創造							
さて、あとは武器本体を作るための素材だが、膨大な魔力を受け止めるだけの強度が必要だ。			さて、あとは武器本体を作るための素材だが、膨大な魔力を受け止めるだけの強度が必要だ。			ファントムウェポンの創造							
それには、この島で採れる「三日月鉱石」が向いてるだろうぜ。探査隊の方で採掘できたンだろ？			それには、この島で採れる「三日月鉱石」が向いてるだろうぜ。探査隊の方で採掘できたンだろ？			ファントムウェポンの創造							
ああ、それなりの量を集めることができた。しかし、そこで問題が発覚してな……。			ああ、それなりの量を集めることができた。しかし、そこで問題が発覚してな……。			ファントムウェポンの創造							
俺も知らなかったんだが、島で入手した稀少な品々は、「ロウェナ商会」の手に渡る契約になっていたらしい……。探査隊が資金援助を受ける条件のひとつだったんだとよ。			俺も知らなかったんだが、島で入手した稀少な品々は、「ロウェナ商会」の手に渡る契約になっていたらしい……。探査隊が資金援助を受ける条件のひとつだったんだとよ。			ファントムウェポンの創造							
ゲロルトを派遣してくれたのが、そのロウェナ商会ってところでな……			ゲロルトを派遣してくれたのが、そのロウェナ商会ってところでな……			ファントムウェポンの創造							
はじめまして、私はロウェナ商会のアーミナと申します。お聞きになった通り、我が商会は、この島の探索に莫大な投資をしているのです。			はじめまして、私はロウェナ商会のアーミナと申します。お聞きになった通り、我が商会は、この島の探索に莫大な投資をしているのです。			ファントムウェポンの創造							
その見返りに、探査隊が採集した資源は、私どもが取り扱いを独占させていただく契約……素材などご入用でしたら、なんなりとお申し付けください。			その見返りに、探査隊が採集した資源は、私どもが取り扱いを独占させていただく契約……素材などご入用でしたら、なんなりとお申し付けください。			ファントムウェポンの創造							
ご要望の「三日月鉱石」は、1個につき、アラガントームストーン:天道500個と交換になります。集まりましたら、ぜひお声がけくださいませ。			ご要望の「三日月鉱石」は、1個につき、アラガントームストーン:天道500個と交換になります。集まりましたら、ぜひお声がけくださいませ。			ファントムウェポンの創造							
「三日月鉱石」は3個もありゃ十分だが、急激にやる気が萎えてきやがった……。加工前の面倒な加熱作業は、誰かほかの奴に頼むわ。			「三日月鉱石」は3個もありゃ十分だが、急激にやる気が萎えてきやがった……。加工前の面倒な加熱作業は、誰かほかの奴に頼むわ。			ファントムウェポンの創造							
(-？？？？-)やれやれ、仕方のない人ですねぇ……。			(-？？？？-)やれやれ、仕方のない人ですねぇ……。			ファントムウェポンの創造							
はじめまして、僕はドドックリ。金属専門の加工職人として、ゲロルトの作業の補佐くらいならできますよ。			はじめまして、僕はドドックリ。金属専門の加工職人として、ゲロルトの作業の補佐くらいならできますよ。			ファントムウェポンの創造							
簡単な事前準備はこちらで請け負いますから、「三日月鉱石」が揃ったら、僕に渡してください。			簡単な事前準備はこちらで請け負いますから、「三日月鉱石」が揃ったら、僕に渡してください。			ファントムウェポンの創造							
島で採集した資源は、全部ロウェナ商会のものだぁ！？だったら、片っ端から武具に加工してやるまでだぜ。そうすりゃ資源じゃなくなるからな！			島で採集した資源は、全部ロウェナ商会のものだぁ！？だったら、片っ端から武具に加工してやるまでだぜ。そうすりゃ資源じゃなくなるからな！			ファントムウェポンの創造							
「三日月鉱石」が3個揃ったら、ドドックリに渡してくれ。簡単な事前準備だけやってもらったら、ゲロルトの出番だ。			「三日月鉱石」が3個揃ったら、ドドックリに渡してくれ。簡単な事前準備だけやってもらったら、ゲロルトの出番だ。			ファントムウェポンの創造							
「三日月鉱石」は、蜃気楼の町にいる「アーミナ」から交換できます。			「三日月鉱石」は、蜃気楼の町にいる「アーミナ」から交換できます。			ファントムウェポンの創造							
「三日月鉱石」が揃ったら僕のところに持ってきてください。			「三日月鉱石」が揃ったら僕のところに持ってきてください。			ファントムウェポンの創造							
やあ、来ましたね。「三日月鉱石」は集まったんですか？			やあ、来ましたね。「三日月鉱石」は集まったんですか？			ファントムウェポンの創造							
……「三日月鉱石」ですね、たしかに。では、事前準備だけ僕の方で済ませて、それが終わり次第、ゲロルトに働いてもらいましょう……。			……「三日月鉱石」ですね、たしかに。では、事前準備だけ僕の方で済ませて、それが終わり次第、ゲロルトに働いてもらいましょう……。			ファントムウェポンの創造							
よし、エーテルが生み出した幾重もの虚像が、武器本体に収斂し、実像をしっかりと形作ってやがる……。			よし、エーテルが生み出した幾重もの虚像が、武器本体に収斂し、実像をしっかりと形作ってやがる……。			ファントムウェポンの創造							
蜃気楼の島で生み出される、幻を纏う武器……その名を「ファントムウェポン」！「[???]」が完成したぜ！！			蜃気楼の島で生み出される、幻を纏う武器……その名を「ファントムウェポン」！「[???]」が完成したぜ！！			ファントムウェポンの創造							
蜃気楼の如き幻を纏う武器、その名を「ファントムウェポン」！「[???]」と……「[???]」が完成したぜ！			蜃気楼の如き幻を纏う武器、その名を「ファントムウェポン」！「[???]」と……「[???]」が完成したぜ！			ファントムウェポンの創造							
こいつはすげぇ……！本当に、ただの酔っ払いじゃなかったんだな。			こいつはすげぇ……！本当に、ただの酔っ払いじゃなかったんだな。			ファントムウェポンの創造							
どうだ、恐れ入ったか！			どうだ、恐れ入ったか！			ファントムウェポンの創造							
……と言いてぇところだが、これはまだ初歩的な段階だ。とりあえずこの島ならではの、特別な加工法が実践できたってだけに過ぎねぇ。			……と言いてぇところだが、これはまだ初歩的な段階だ。とりあえずこの島ならではの、特別な加工法が実践できたってだけに過ぎねぇ。			ファントムウェポンの創造							
より研鑽を積み、より高品質な素材を使えば、もっと優れた加工を施すことだってできるに違いねぇぜ。			より研鑽を積み、より高品質な素材を使えば、もっと優れた加工を施すことだってできるに違いねぇぜ。			ファントムウェポンの創造							
むむっ、なんだかおもしろそうなことをしてるのう。わしの知的好奇心が刺激されるぞい！			むむっ、なんだかおもしろそうなことをしてるのう。わしの知的好奇心が刺激されるぞい！			ファントムウェポンの創造							
なンだ、お前もオレ様に武器を加工してほしいってのか？今すげぇ調子がいいから、大サービスで引き受けてやるぞ。			なンだ、お前もオレ様に武器を加工してほしいってのか？今すげぇ調子がいいから、大サービスで引き受けてやるぞ。			ファントムウェポンの創造							
それは願ってもない。実は、わしが眠っておった石棺の中に、どういうわけか包丁が入っておってのう。			それは願ってもない。実は、わしが眠っておった石棺の中に、どういうわけか包丁が入っておってのう。			ファントムウェポンの創造							
そいつの切れ味……いや、刺し味を研ぎすましてくれんか？			そいつの切れ味……いや、刺し味を研ぎすましてくれんか？			ファントムウェポンの創造							
よし来た！ギラッギラに輝く伝説の包丁に仕上げてやるぜ！			よし来た！ギラッギラに輝く伝説の包丁に仕上げてやるぜ！			ファントムウェポンの創造							
よし来た、じゃねぇよ。あぶねーだろうが！			よし来た、じゃねぇよ。あぶねーだろうが！			ファントムウェポンの創造							
あんたも、包丁は武器じゃねぇだろ！？帰った、帰った。			あんたも、包丁は武器じゃねぇだろ！？帰った、帰った。			ファントムウェポンの創造							
なんと、そうじゃったかのう？知識の封印のせいか、正しい扱い方を説明できんぞい……。			なんと、そうじゃったかのう？知識の封印のせいか、正しい扱い方を説明できんぞい……。			ファントムウェポンの創造							
よし、それじゃひと仕事終えたんだからいいよな？船から酒を持ってこい！			よし、それじゃひと仕事終えたんだからいいよな？船から酒を持ってこい！			ファントムウェポンの創造							
酔い潰れる前に、親切なオレ様がもう一度だけ言っておくが、違う武器を作るには、「三日月鉱石」さえあれば十分だ。「デミアートマ」はもう要らねぇからな。			酔い潰れる前に、親切なオレ様がもう一度だけ言っておくが、違う武器を作るには、「三日月鉱石」さえあれば十分だ。「デミアートマ」はもう要らねぇからな。			ファントムウェポンの創造							
これ以降、蜃気楼の町の「ドドックリ」から、「三日月鉱石」と引き換えに、異なるジョブの「ファントムウェポン」を入手できます。			これ以降、蜃気楼の町の「ドドックリ」から、「三日月鉱石」と引き換えに、異なるジョブの「ファントムウェポン」を入手できます。			ファントムウェポンの創造							
蜃気楼の町のリディルセイルは、何やら困っているようだ。			蜃気楼の町のリディルセイルは、何やら困っているようだ。			古の匠たちの技術							
※本クエストは破棄禁止となります。　クエスト破棄を行いたい場合は、リディルセイルに話しかけて破棄を行いましょう。リディルセイルと話した。蜃気楼の町にいる「ゲロルト」にエモート「問い詰める」をしよう。			※本クエストは破棄禁止となります。　クエスト破棄を行いたい場合は、リディルセイルに話しかけて破棄を行いましょう。リディルセイルと話した。蜃気楼の町にいる「ゲロルト」にエモート「問い詰める」をしよう。			古の匠たちの技術							
