バノック練兵所のガルフリッドは、冒険者に訓練兵の鍛錬につきあってほしいようだ。			バノック練兵所のガルフリッドは、冒険者に訓練兵の鍛錬につきあってほしいようだ。			背中を見て学べ							
*本クエストは調整されました。一度破棄し、ガビノー親方の小屋の「ポリヌ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、ガビノー親方の小屋の「ポリヌ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			命の均衡							
ホグレットの討伐を終えた。「ガビノー親方の小屋」にいる「ポリヌ」に報告しよう。			ホグレットの討伐を終えた。「ガビノー親方の小屋」にいる「ポリヌ」に報告しよう。			命の均衡							
冒険者の活躍に、精霊も喜んでいるというポリヌ。森の生命の循環を正しく保つためには、小さな異変にも目を向け、ひとつひとつ解決していかねばならないようだ。			冒険者の活躍に、精霊も喜んでいるというポリヌ。森の生命の循環を正しく保つためには、小さな異変にも目を向け、ひとつひとつ解決していかねばならないようだ。			命の均衡							
*本クエストは調整されました。一度破棄し、ガビノー親方の小屋のポリヌから再受注してください			*本クエストは調整されました。一度破棄し、ガビノー親方の小屋のポリヌから再受注してください			命の均衡							
お時間があるなら、私のお願いを引き受けませんか？「グリーンティア択伐地」の周辺に生息する、「ホグレット」という魔物を間引いてほしいのです。			お時間があるなら、私のお願いを引き受けませんか？「グリーンティア択伐地」の周辺に生息する、「ホグレット」という魔物を間引いてほしいのです。			命の均衡							
本来、彼らも黒衣森の一部なのですが……落ちている木の実をすべて食べ尽くしてしまい、森の成長を妨げてしまっているのが現状です。			本来、彼らも黒衣森の一部なのですが……落ちている木の実をすべて食べ尽くしてしまい、森の成長を妨げてしまっているのが現状です。			命の均衡							
6体ほど倒していただければ、木の実の数との釣り合いがとれるでしょう。森を守るために、よろしくお願いします。			6体ほど倒していただければ、木の実の数との釣り合いがとれるでしょう。森を守るために、よろしくお願いします。			命の均衡							
……ああ、精霊もお喜びになっています。森のために、立派に働いてくださったようですね。			……ああ、精霊もお喜びになっています。森のために、立派に働いてくださったようですね。			命の均衡							
森は生命の循環で成り立っています。循環を妨げるものがあれば、やがて森は枯れてしまう……。そうならぬよう、私どもが守らねばなりません。			森は生命の循環で成り立っています。循環を妨げるものがあれば、やがて森は枯れてしまう……。そうならぬよう、私どもが守らねばなりません。			命の均衡							
ご協力ありがとうございました。誠実なる冒険者に、森と精霊の加護があらんことを。			ご協力ありがとうございました。誠実なる冒険者に、森と精霊の加護があらんことを。			命の均衡							
ガビノー親方の小屋の道士ポリヌは、冒険者にアノールの間引きとアノールの卵の入手を依頼したいようだ。			ガビノー親方の小屋の道士ポリヌは、冒険者にアノールの間引きとアノールの卵の入手を依頼したいようだ。			森を脅かすものたち							
*本クエストは調整されました。一度破棄し、ガビノー親方の小屋の「ポリヌ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、ガビノー親方の小屋の「ポリヌ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			森を脅かすものたち							
アノールの間引きと卵の調達を終えた。「ガビノー親方の小屋」の「ポリヌ」に報告しよう。			アノールの間引きと卵の調達を終えた。「ガビノー親方の小屋」の「ポリヌ」に報告しよう。			森を脅かすものたち							
大きくて栄養豊富なアノールの卵は、兵の食事に最適だという。「バノック練兵所」の「ツブ・カマゾン」に届けよう。			大きくて栄養豊富なアノールの卵は、兵の食事に最適だという。「バノック練兵所」の「ツブ・カマゾン」に届けよう。			森を脅かすものたち							
ポリヌからの差し入れに、兵の士気があがるだろうというツブ・カマゾン。凶暴なアノールの巣から卵を調達してくれた冒険者にも、感心しているようだ。			ポリヌからの差し入れに、兵の士気があがるだろうというツブ・カマゾン。凶暴なアノールの巣から卵を調達してくれた冒険者にも、感心しているようだ。			森を脅かすものたち							
*本クエストは調整されました。一度破棄し、ガビノー親方の小屋のポリヌから再受注してください			*本クエストは調整されました。一度破棄し、ガビノー親方の小屋のポリヌから再受注してください			森を脅かすものたち							
たびたびで申し訳ありませんが私のお願いを引き受けてくれませんか？「裸岩の丘」に棲む「アノール」を間引いてほしいのです。			たびたびで申し訳ありませんが私のお願いを引き受けてくれませんか？「裸岩の丘」に棲む「アノール」を間引いてほしいのです。			森を脅かすものたち							
森の精霊と対話するために、我ら道士は裸岩の丘近くをよく訪れるのですが凶暴化したアノールに襲われる事件が頻発しています。			森の精霊と対話するために、我ら道士は裸岩の丘近くをよく訪れるのですが凶暴化したアノールに襲われる事件が頻発しています。			森を脅かすものたち							
霊災以降に増え続けたアノールがエサを求めて森に入り込むようになったからでしょう。6体ほど倒せば、警戒して丘から降りて来なくなると思います。			霊災以降に増え続けたアノールがエサを求めて森に入り込むようになったからでしょう。6体ほど倒せば、警戒して丘から降りて来なくなると思います。			森を脅かすものたち							
ただし、アノールの数を減らしただけでは十分ではありません。巣に卵が残っているとまたすぐに増えてしまうので、「アノールの卵」も4個ほど、とってきてください。			ただし、アノールの数を減らしただけでは十分ではありません。巣に卵が残っているとまたすぐに増えてしまうので、「アノールの卵」も4個ほど、とってきてください。			森を脅かすものたち							
おかえりなさい、よくやってくれましたね。これで安心して精霊と対話することができます。			おかえりなさい、よくやってくれましたね。これで安心して精霊と対話することができます。			森を脅かすものたち							
「アノールの卵」は、「バノック練兵所」の「ツブ・カマゾン」に届けていただけますか？			「アノールの卵」は、「バノック練兵所」の「ツブ・カマゾン」に届けていただけますか？			森を脅かすものたち							
「アノールの卵」は栄養価が高く、量もある。練兵所の兵にとってはよい差し入れになるでしょう。よろしくお願いします。			「アノールの卵」は栄養価が高く、量もある。練兵所の兵にとってはよい差し入れになるでしょう。よろしくお願いします。			森を脅かすものたち							
……ん？　私に届けるものがあるだと？			……ん？　私に届けるものがあるだと？			森を脅かすものたち							
これは、アノールの卵じゃないか！なんと……ポリヌさまが私達に、と……。ああ、兵士たちの士気も上がることだろう！			これは、アノールの卵じゃないか！なんと……ポリヌさまが私達に、と……。ああ、兵士たちの士気も上がることだろう！			森を脅かすものたち							
調達は容易なことではなかっただろう。森と精霊……そして、勇気ある冒険者に感謝を。礼を受け取ってくれ。			調達は容易なことではなかっただろう。森と精霊……そして、勇気ある冒険者に感謝を。礼を受け取ってくれ。			森を脅かすものたち							
ベントブランチ牧場のケーシャは、冒険者に牧場の仕事を依頼したいようだ。			ベントブランチ牧場のケーシャは、冒険者に牧場の仕事を依頼したいようだ。			ベントブランチ牧場の手伝い							
*本クエストは調整されました。一度破棄し、ベントブランチ牧場の「ケーシャ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、ベントブランチ牧場の「ケーシャ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			ベントブランチ牧場の手伝い							
飼葉用ギサールの野菜を手に入れた。「ベントブランチ牧場」をまわって、チョコボの「餌置き場」に配ろう。			飼葉用ギサールの野菜を手に入れた。「ベントブランチ牧場」をまわって、チョコボの「餌置き場」に配ろう。			ベントブランチ牧場の手伝い							
すべての餌置き場に飼葉用ギサールの野菜を配った。「ベントブランチ牧場」の「ケーシャ」に報告しよう。			すべての餌置き場に飼葉用ギサールの野菜を配った。「ベントブランチ牧場」の「ケーシャ」に報告しよう。			ベントブランチ牧場の手伝い							
ベントブランチ牧場は、卵からヒナを孵して子チョコボまで育てる場所なのだという。チョコボたちが健やかに育つよう、牧場の人たちに力を貸そう。			ベントブランチ牧場は、卵からヒナを孵して子チョコボまで育てる場所なのだという。チョコボたちが健やかに育つよう、牧場の人たちに力を貸そう。			ベントブランチ牧場の手伝い							
*本クエストは調整されました。一度破棄し、ベントブランチ牧場のケーシャから再受注してください			*本クエストは調整されました。一度破棄し、ベントブランチ牧場のケーシャから再受注してください			ベントブランチ牧場の手伝い							
まずは、この牧場の様子を知ってもらうためにも、簡単な仕事を引き受けてもらえませんか？			まずは、この牧場の様子を知ってもらうためにも、簡単な仕事を引き受けてもらえませんか？			ベントブランチ牧場の手伝い							
チョコボたちのエサやりを手伝ってほしいのです。畑のすぐ側に、「飼葉用ギサールの野菜」が置いてあるので、「餌置き場」に配ってください。			チョコボたちのエサやりを手伝ってほしいのです。畑のすぐ側に、「飼葉用ギサールの野菜」が置いてあるので、「餌置き場」に配ってください。			ベントブランチ牧場の手伝い							
牧場は広いので、配り忘れに気をつけてくださいね。それでは、よろしくお願いします。			牧場は広いので、配り忘れに気をつけてくださいね。それでは、よろしくお願いします。			ベントブランチ牧場の手伝い							
ご苦労さまでした。牧場の様子は把握できたでしょうか？			ご苦労さまでした。牧場の様子は把握できたでしょうか？			ベントブランチ牧場の手伝い							
この牧場は、卵からヒナを孵して健康なチョコボへと育てるための場所。チョコボにとって、とても重要な時期を過ごす場所です。			この牧場は、卵からヒナを孵して健康なチョコボへと育てるための場所。チョコボにとって、とても重要な時期を過ごす場所です。			ベントブランチ牧場の手伝い							
チョコボたちが健やかに育つためにも、牧場の皆に、あなたの力を貸してくださいね。			チョコボたちが健やかに育つためにも、牧場の皆に、あなたの力を貸してくださいね。			ベントブランチ牧場の手伝い							
ベントブランチ牧場の主ケーシャは、落ち着きをなくしたチョコボのためにローズレットの種子を集めてほしいようだ。			ベントブランチ牧場の主ケーシャは、落ち着きをなくしたチョコボのためにローズレットの種子を集めてほしいようだ。			牧場主の心配事							
*本クエストは調整されました。一度破棄し、下記のNPCから再受注してください。なお、受注できるクエストは進行状況により異なります。ベントブランチ牧場の「エイルガル」ガルヴァンス監視哨の「ロテール」鏡池桟橋の「アルメル」ベントブランチ牧場の「ルクロ」※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、下記のNPCから再受注してください。なお、受注できるクエストは進行状況により異なります。ベントブランチ牧場の「エイルガル」ガルヴァンス監視哨の「ロテール」鏡池桟橋の「アルメル」ベントブランチ牧場の「ルクロ」※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			牧場主の心配事							
ローズレットの種子を集めることができた。ベントブランチ牧場の主「ケーシャ」に届けよう。			ローズレットの種子を集めることができた。ベントブランチ牧場の主「ケーシャ」に届けよう。			牧場主の心配事							
落ち着きをなくしたチョコボのためにローズレットの種子を集め、ケーシャに届けた。チョコボが突然ソワソワしだすのは珍しくないことらしいが、それでも気がかりだというケーシャ。これで、落ち着きを取り戻してくれるといいのだが……。			落ち着きをなくしたチョコボのためにローズレットの種子を集め、ケーシャに届けた。チョコボが突然ソワソワしだすのは珍しくないことらしいが、それでも気がかりだというケーシャ。これで、落ち着きを取り戻してくれるといいのだが……。			牧場主の心配事							
*本クエストは調整されました。一度破棄し、クエストを再受注してください			*本クエストは調整されました。一度破棄し、クエストを再受注してください			牧場主の心配事							
依頼があるのですが、お話を聞いていただけますか？ローズレットという魔物から、ローズレットの種子を6体分ほど手に入れてきてほしいのです。			依頼があるのですが、お話を聞いていただけますか？ローズレットという魔物から、ローズレットの種子を6体分ほど手に入れてきてほしいのです。			牧場主の心配事							
落ち着きのないチョコボも、この種子から採れる油を与えれば静かになるという、チョコボ飼育には欠かせないものなのです。			落ち着きのないチョコボも、この種子から採れる油を与えれば静かになるという、チョコボ飼育には欠かせないものなのです。			牧場主の心配事							
十分に蓄えておいたつもりだったのですが、近頃、落ち着きをなくすチョコボが増えてしまって。			十分に蓄えておいたつもりだったのですが、近頃、落ち着きをなくすチョコボが増えてしまって。			牧場主の心配事							
チョコボは繊細な生き物なので、突然ソワソワするのは、よくある話らしいんですが……。ああ、心配です。			チョコボは繊細な生き物なので、突然ソワソワするのは、よくある話らしいんですが……。ああ、心配です。			牧場主の心配事							
魔物「ローズレット」は、ガルヴァンス監視哨のあたりで見かけますから、その付近を探してみてください。			魔物「ローズレット」は、ガルヴァンス監視哨のあたりで見かけますから、その付近を探してみてください。			牧場主の心配事							
ローズレットの種子は集まりましたか？			ローズレットの種子は集まりましたか？			牧場主の心配事							
ちょうど、6体分ありますね。しっかりと膨らんだ、よい種子です。ご苦労様でした。			ちょうど、6体分ありますね。しっかりと膨らんだ、よい種子です。ご苦労様でした。			牧場主の心配事							
それにしても、チョコボたちは、いったいどうしてしまったのでしょう。これで落ち着いてくれるとよいのですが……。			それにしても、チョコボたちは、いったいどうしてしまったのでしょう。これで落ち着いてくれるとよいのですが……。			牧場主の心配事							
スカイリフトのヴィルクリットは、気球に取り残されていた荷物を配達してほしいようだ。			スカイリフトのヴィルクリットは、気球に取り残されていた荷物を配達してほしいようだ。			残された荷物							
*本クエストは調整されました。一度破棄し、スカイリフトの「ヴィルクリット」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、スカイリフトの「ヴィルクリット」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			残された荷物							
荷物をすべて届けることができた。「スカイリフト」の「ヴィルクリット」に報告しよう。			荷物をすべて届けることができた。「スカイリフト」の「ヴィルクリット」に報告しよう。			残された荷物							
今回のような問題は、テンペスト断崖に坂を作れば回避できるだろう。しかし、メルウィブ提督は、蛮族対策およびガレマール帝国対策を最優先に取り組んでいるため、公共事業は望めそうもない。当面は、気球で乗り切るしかないようだ。			今回のような問題は、テンペスト断崖に坂を作れば回避できるだろう。しかし、メルウィブ提督は、蛮族対策およびガレマール帝国対策を最優先に取り組んでいるため、公共事業は望めそうもない。当面は、気球で乗り切るしかないようだ。			残された荷物							
*本クエストは調整されました。一度破棄し、スカイリフトのヴィルクリットから再受注してください			*本クエストは調整されました。一度破棄し、スカイリフトのヴィルクリットから再受注してください			残された荷物							
ああ、大変です。気球の荷台に、荷物が2つ取り残されていました。			ああ、大変です。気球の荷台に、荷物が2つ取り残されていました。			残された荷物							
配達人は、すでに出発してしまいました。代わりに、あなたが荷物を届けてください。			配達人は、すでに出発してしまいました。代わりに、あなたが荷物を届けてください。			残された荷物							
荷の宛先は、「フォアマスト」の「シングリトゥヴ」さんと「デネベール関門」の「ジェッサミーヌ」さんです。よろしくお願いします。			荷の宛先は、「フォアマスト」の「シングリトゥヴ」さんと「デネベール関門」の「ジェッサミーヌ」さんです。よろしくお願いします。			残された荷物							
いやはや助かりました。荷物が配達されなかった、なんて噂が広まったら大変ですからね。			いやはや助かりました。荷物が配達されなかった、なんて噂が広まったら大変ですからね。			残された荷物							
この断崖を切り崩して坂道を作れば、気球を使った荷の積みおろしもなくなり、こうしたミスも起きないんですがね……。			この断崖を切り崩して坂道を作れば、気球を使った荷の積みおろしもなくなり、こうしたミスも起きないんですがね……。			残された荷物							
リムサ・ロミンサのお役人に、ムリも言えません。蛮族やら帝国やらの対策が第一ですから。			リムサ・ロミンサのお役人に、ムリも言えません。蛮族やら帝国やらの対策が第一ですから。			残された荷物							
こうして荷運び業者で資金を出し合い、足場を組んで、気球を用意するのがせいいっぱい。しばらく、不便な生活に耐えるしかないでしょう。			こうして荷運び業者で資金を出し合い、足場を組んで、気球を用意するのがせいいっぱい。しばらく、不便な生活に耐えるしかないでしょう。			残された荷物							
スカイリフトから来たのか？そろそろ届くはずの荷物がまだ届いてないんだが、あんた知らないか？			スカイリフトから来たのか？そろそろ届くはずの荷物がまだ届いてないんだが、あんた知らないか？			残された荷物							
おお、この包みだ。中身は、レッドルースター農場から送ってもらったラベンダーのポプリなんだ。			おお、この包みだ。中身は、レッドルースター農場から送ってもらったラベンダーのポプリなんだ。			残された荷物							
ここフォアマストの兵士は、日々、訓練に励んでるから、汗臭くなりがちでね。このポプリで、悪臭をごまかしてるってわけさ。			ここフォアマストの兵士は、日々、訓練に励んでるから、汗臭くなりがちでね。このポプリで、悪臭をごまかしてるってわけさ。			残された荷物							
スカイリフトからの使者ですって？ラザグラン関門にいる弟から、本が届くはずなんだけど、あなた、知らない？			スカイリフトからの使者ですって？ラザグラン関門にいる弟から、本が届くはずなんだけど、あなた、知らない？			残された荷物							
わあ、これを待ち望んでたのよ！関門の周りなんて、何もないから、休憩中の楽しみといえば、読書くらい。			わあ、これを待ち望んでたのよ！関門の周りなんて、何もないから、休憩中の楽しみといえば、読書くらい。			残された荷物							
こういった見聞録でも読んで、遠い海の向こうに思いをはせたりしないと、やってられないわ。			こういった見聞録でも読んで、遠い海の向こうに思いをはせたりしないと、やってられないわ。			残された荷物							
ブラックブラッシュ停留所のウォーリンは、線路に石を置く犯人を討伐してほしいようだ。			ブラックブラッシュ停留所のウォーリンは、線路に石を置く犯人を討伐してほしいようだ。			迷惑な鉱石置き							
*本クエストは調整されました。一度破棄し、ブラックブラッシュ停留所の「ヅヅメダ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、ブラックブラッシュ停留所の「ヅヅメダ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			迷惑な鉱石置き							
ブラックブラッシュ停留所周辺の線路を調べ終わり、スプリガン・チャンブラーを討伐することができた。ブラックブラッシュ停留所の「ウォーリン」に報告しよう。			ブラックブラッシュ停留所周辺の線路を調べ終わり、スプリガン・チャンブラーを討伐することができた。ブラックブラッシュ停留所の「ウォーリン」に報告しよう。			迷惑な鉱石置き							
置き石犯を退治したことで、ひとまず線路の安全は確保できた。ウォーリンによると、スプリガン・チャンブラーが置いていった傷だらけの銀鉱石は、スプリガン・チャンブラーの食べ残した銀鉱石だろう……ということだった。			置き石犯を退治したことで、ひとまず線路の安全は確保できた。ウォーリンによると、スプリガン・チャンブラーが置いていった傷だらけの銀鉱石は、スプリガン・チャンブラーの食べ残した銀鉱石だろう……ということだった。			迷惑な鉱石置き							
*本クエストは調整されました。一度破棄し、ブラックブラッシュ停留所のヅヅメダから再受注してください			*本クエストは調整されました。一度破棄し、ブラックブラッシュ停留所のヅヅメダから再受注してください			迷惑な鉱石置き							
おめーの腕っ節、なかなかのもんだな！そんじゃもう一件、仕事を頼むぜ。			おめーの腕っ節、なかなかのもんだな！そんじゃもう一件、仕事を頼むぜ。			迷惑な鉱石置き							
線路上に何者かが「傷だらけの銀鉱石」を置きやがるんだ。定期的に置きに来るもんで、鉱石の回収もイタチごっこ状態。			線路上に何者かが「傷だらけの銀鉱石」を置きやがるんだ。定期的に置きに来るもんで、鉱石の回収もイタチごっこ状態。			迷惑な鉱石置き							
列車が鉱石を轢いちまったら、脱線事故に繋がっちまう。元凶を絶つために、置き石犯を見つけて倒しちまってほしい。			列車が鉱石を轢いちまったら、脱線事故に繋がっちまう。元凶を絶つために、置き石犯を見つけて倒しちまってほしい。			迷惑な鉱石置き							
「傷だらけの銀鉱石」が置かれた付近を4箇所調べてほしい。敵を見つけたら、そいつをぶっ飛ばしてやってくれ！			「傷だらけの銀鉱石」が置かれた付近を4箇所調べてほしい。敵を見つけたら、そいつをぶっ飛ばしてやってくれ！			迷惑な鉱石置き							
空ラベル			空ラベル			迷惑な鉱石置き							
犯人はスプリガン・チャンブラーだったのか！……なるほど、そういうことねぇ。			犯人はスプリガン・チャンブラーだったのか！……なるほど、そういうことねぇ。			迷惑な鉱石置き							
スプリガン・チャンブラーってのは、石を食べて歯を研ぐ習性がある奴らなんだ。線路上の石は、その食べこぼしかもしれないな。			スプリガン・チャンブラーってのは、石を食べて歯を研ぐ習性がある奴らなんだ。線路上の石は、その食べこぼしかもしれないな。			迷惑な鉱石置き							
