小金通りのケイテンは、冒険者に紹介したい人物がいるようだ。			小金通りのケイテンは、冒険者に紹介したい人物がいるようだ。			追われた巡業一座							
(-ジェノミス・レクセンテール-)文化に国境はない！父さんは、こんな荒れた時代だからこそ、芝居を……文化を大切にしたいんだ！			(-ジェノミス・レクセンテール-)文化に国境はない！父さんは、こんな荒れた時代だからこそ、芝居を……文化を大切にしたいんだ！			追われた巡業一座							
……話が脱線したな。まぁ、わかると思うが、帝国はけっして一枚岩ではないし、そこで暮らす民の思想も「いろいろ」だ。			……話が脱線したな。まぁ、わかると思うが、帝国はけっして一枚岩ではないし、そこで暮らす民の思想も「いろいろ」だ。			追われた巡業一座							
現皇帝に忠誠を誓う者もいれば、俺やあいつのように愛想を尽かした者もいる。			現皇帝に忠誠を誓う者もいれば、俺やあいつのように愛想を尽かした者もいる。			追われた巡業一座							
とはいえ、エオルゼアやドマなど、多くの民は帝国に辛酸を舐めさせられてきた。だから……。			とはいえ、エオルゼアやドマなど、多くの民は帝国に辛酸を舐めさせられてきた。だから……。			追われた巡業一座							
帝国領内で行方不明になった、元帝国人……。そんな人物の捜索に命をかけてくれる冒険者は、この地にいるのだろうか……と。			帝国領内で行方不明になった、元帝国人……。そんな人物の捜索に命をかけてくれる冒険者は、この地にいるのだろうか……と。			追われた巡業一座							
だけど、あなたはすべてをご存じです。「善悪」は国家や宗教、人種、種族で判断するものではなく、個々の心の中にあるということを。			だけど、あなたはすべてをご存じです。「善悪」は国家や宗教、人種、種族で判断するものではなく、個々の心の中にあるということを。			追われた巡業一座							
何と答える？			何と答える？			追われた巡業一座							
年端もいかない少女に頼まれては断れない			年端もいかない少女に頼まれては断れない			追われた巡業一座							
困っている人を助けるのも冒険者の使命だ			困っている人を助けるのも冒険者の使命だ			追われた巡業一座							
(-アルマ・レクセンテール-)ありがとうございます！本当に感謝いたします、ありがとう！！			(-アルマ・レクセンテール-)ありがとうございます！本当に感謝いたします、ありがとう！！			追われた巡業一座							
……すまんな、いつも無茶ばかりで。			……すまんな、いつも無茶ばかりで。			追われた巡業一座							
さて、彼女彼にジェノミスが何をやろうとしてたのか、それを説明してやってくれないか。			さて、彼女彼にジェノミスが何をやろうとしてたのか、それを説明してやってくれないか。			追われた巡業一座							
(-アルマ・レクセンテール-)……父は大成功を収めた、「ゾディアックブレイブストーリー」の続編を、作ろうとしていたんです。			(-アルマ・レクセンテール-)……父は大成功を収めた、「ゾディアックブレイブストーリー」の続編を、作ろうとしていたんです。			追われた巡業一座							
(-アルマ・レクセンテール-)この続きは、場所を変えてお話しいたしましょう……。劇場艇のブリッジへご案内いたします。			(-アルマ・レクセンテール-)この続きは、場所を変えてお話しいたしましょう……。劇場艇のブリッジへご案内いたします。			追われた巡業一座							
平民の若者ディリータがいくつもの苦難を乗り越え、英雄となって幻の王国「イヴァリース」を建国する……。それが「ゾディアックブレイブストーリー」のあらすじよね。			平民の若者ディリータがいくつもの苦難を乗り越え、英雄となって幻の王国「イヴァリース」を建国する……。それが「ゾディアックブレイブストーリー」のあらすじよね。			追われた巡業一座							
でも、ディリータがイヴァリース王になって物語は終わる。なのに、その続編ってどういうことかしら？完結してるのに、続編って……？			でも、ディリータがイヴァリース王になって物語は終わる。なのに、その続編ってどういうことかしら？完結してるのに、続編って……？			追われた巡業一座							
平民王ディリータを陰から支えた、「もうひとりの英雄」にフォーカスした物語、……真のゾディアックブレイブストーリー、そう言ってました。			平民王ディリータを陰から支えた、「もうひとりの英雄」にフォーカスした物語、……真のゾディアックブレイブストーリー、そう言ってました。			追われた巡業一座							
もうひとりの英雄……？			もうひとりの英雄……？			追われた巡業一座							
……伝承によると、ディリータの親友だったとか。ディリータの妹が亡くなった事件をきっかけに袂を分かち、以来、交わることなく別行動をとり続けたそうです。			……伝承によると、ディリータの親友だったとか。ディリータの妹が亡くなった事件をきっかけに袂を分かち、以来、交わることなく別行動をとり続けたそうです。			追われた巡業一座							
ですが、その「名も無き英雄」は、ディリータの邪魔をする者たちをひそかに討ち取り、イヴァリースの建国を陰から支え続けたと言います。			ですが、その「名も無き英雄」は、ディリータの邪魔をする者たちをひそかに討ち取り、イヴァリースの建国を陰から支え続けたと言います。			追われた巡業一座							
そんな伝承……聞いたことないわ。			そんな伝承……聞いたことないわ。			追われた巡業一座							
……そ、そうですか。え～と、その、つまり……。			……そ、そうですか。え～と、その、つまり……。			追われた巡業一座							
こういってはなんだが、ジェノミスはイヴァリースに取り憑かれていた、といっても過言ではない。			こういってはなんだが、ジェノミスはイヴァリースに取り憑かれていた、といっても過言ではない。			追われた巡業一座							
学生時代からずっと、あいつはイヴァリース伝説を研究してた。イヴァリースをおとぎ話とは捉えずに、歴史に埋もれた「真実」として探り続けていたんだ。			学生時代からずっと、あいつはイヴァリース伝説を研究してた。イヴァリースをおとぎ話とは捉えずに、歴史に埋もれた「真実」として探り続けていたんだ。			追われた巡業一座							
ジェノミスが避難先としてここを選んだのにも理由がある、……そうだったんだよな、アルマ？			ジェノミスが避難先としてここを選んだのにも理由がある、……そうだったんだよな、アルマ？			追われた巡業一座							
え……ええ、そうです。ヤンサに隣接するダルマスカ砂漠こそが、イヴァリース伝説の中心だと結論づけていました。			え……ええ、そうです。ヤンサに隣接するダルマスカ砂漠こそが、イヴァリース伝説の中心だと結論づけていました。			追われた巡業一座							
ダルマスカといえば、帝国に組み込まれるまでは、比較的長い間、独立国家として栄えた王国だな。			ダルマスカといえば、帝国に組み込まれるまでは、比較的長い間、独立国家として栄えた王国だな。			追われた巡業一座							
父は過去にも何度かダルマスカ砂漠へ発掘旅行に行ったんです。そこで、こんな不思議なクリスタルを見つけてきました。			父は過去にも何度かダルマスカ砂漠へ発掘旅行に行ったんです。そこで、こんな不思議なクリスタルを見つけてきました。			追われた巡業一座							
父は、このクリスタルを「聖石」と呼んで、大切にしていました。			父は、このクリスタルを「聖石」と呼んで、大切にしていました。			追われた巡業一座							
わぁ、きれいなクリスタル……。不思議な輝きを放っているわね。見たことないわ、ステキ～～！			わぁ、きれいなクリスタル……。不思議な輝きを放っているわね。見たことないわ、ステキ～～！			追われた巡業一座							
「聖石」ってのは、イヴァリース伝説に登場するクリスタルさ。神が王になる者に贈ったとされるもので、ディリータはこの「聖石」を集めて王座に就いたんだ。			「聖石」ってのは、イヴァリース伝説に登場するクリスタルさ。神が王になる者に贈ったとされるもので、ディリータはこの「聖石」を集めて王座に就いたんだ。			追われた巡業一座							
子どもの頃、よく親父に読んでもらったっけ。ガレアン人なら誰もが知っている伝説さ。ただのおとぎ話だと思ってたけどな。			子どもの頃、よく親父に読んでもらったっけ。ガレアン人なら誰もが知っている伝説さ。ただのおとぎ話だと思ってたけどな。			追われた巡業一座							
この石が自分に物語を語りかけてくるとも、言ってました。最初はただ単に、インスピレーションを得ただけなんだと、思っていたんです……。			この石が自分に物語を語りかけてくるとも、言ってました。最初はただ単に、インスピレーションを得ただけなんだと、思っていたんです……。			追われた巡業一座							
でも、父はだんだんおかしくなっていって……。			でも、父はだんだんおかしくなっていって……。			追われた巡業一座							
……おかしく？			……おかしく？			追われた巡業一座							
今回、ここへ避難してきてからというもの、父は書斎にこもるようになったのですが、その……独り言が増えたんです。			今回、ここへ避難してきてからというもの、父は書斎にこもるようになったのですが、その……独り言が増えたんです。			追われた巡業一座							
戯曲を執筆する際、その台詞を口に出して読むのは、いつものことなんですが、今回はちょっと違っていて。……「聖石」に話しかけてたみたい。			戯曲を執筆する際、その台詞を口に出して読むのは、いつものことなんですが、今回はちょっと違っていて。……「聖石」に話しかけてたみたい。			追われた巡業一座							
まるで母さんに……亡くなった母と会話するようなそんな感じで、ブツブツと話をしているんです。			まるで母さんに……亡くなった母と会話するようなそんな感じで、ブツブツと話をしているんです。			追われた巡業一座							
それは、やはり、帝国から逃れてきたことによる、心労が重なって、心の病を……い、いえ……お疲れになっていただけでは？			それは、やはり、帝国から逃れてきたことによる、心労が重なって、心の病を……い、いえ……お疲れになっていただけでは？			追われた巡業一座							
でも、私、聞いたんです……父しかいないはずの書斎で、父とは異なる声を……男性とも女性ともわからないか細い声を。			でも、私、聞いたんです……父しかいないはずの書斎で、父とは異なる声を……男性とも女性ともわからないか細い声を。			追われた巡業一座							
(-10代半ばの少年-)やめろと言ったじゃないか、アルマ。父さんの捜索はボクがやると！ガレアン人以外に委ねることなんて、できやしない！			(-10代半ばの少年-)やめろと言ったじゃないか、アルマ。父さんの捜索はボクがやると！ガレアン人以外に委ねることなんて、できやしない！			追われた巡業一座							
やぁ、ラムザ、どこへ行っていたんだ？紹介しよう、彼女彼は……。			やぁ、ラムザ、どこへ行っていたんだ？紹介しよう、彼女彼は……。			追われた巡業一座							
シドおじさんもお節介は、いい加減にしてください！			シドおじさんもお節介は、いい加減にしてください！			追われた巡業一座							
たしかにボクらは帝国を追われたガレアン人だ。だからといって、祖国に対する誇りを失ったわけじゃない。父の捜索は自力でやります、よそ者の手は借りない！			たしかにボクらは帝国を追われたガレアン人だ。だからといって、祖国に対する誇りを失ったわけじゃない。父の捜索は自力でやります、よそ者の手は借りない！			追われた巡業一座							
よそ者って、兄さん……この地でよそ者は私たちよ。不慣れな土地で捜索なんて無理に決まってるわ。素直に協力を仰ぎましょうよ！			よそ者って、兄さん……この地でよそ者は私たちよ。不慣れな土地で捜索なんて無理に決まってるわ。素直に協力を仰ぎましょうよ！			追われた巡業一座							
アルマの言うとおりだ。それに彼女彼は、ガレアン人に対する偏見はない！それは俺が保証しよう。			アルマの言うとおりだ。それに彼女彼は、ガレアン人に対する偏見はない！それは俺が保証しよう。			追われた巡業一座							
だったら、シドおじさんが、手伝えばいいじゃないですか！			だったら、シドおじさんが、手伝えばいいじゃないですか！			追われた巡業一座							
そうしたいのは山々なんだが……ある脅威に関する調査で身動きがとれないんだ。せめてもと、人手集めを手伝っていたが……本当にすまん。			そうしたいのは山々なんだが……ある脅威に関する調査で身動きがとれないんだ。せめてもと、人手集めを手伝っていたが……本当にすまん。			追われた巡業一座							
頭をあげてください、シドおじさん。わかりましたよ、いいですよ、今回はおとなしく従いましょう。たしかに、ラバナスタは危険でしたからね。			頭をあげてください、シドおじさん。わかりましたよ、いいですよ、今回はおとなしく従いましょう。たしかに、ラバナスタは危険でしたからね。			追われた巡業一座							
兄さんは前回の発掘旅行に同行したんですが、遺跡で魔物に襲われてしまい、命からがら逃げ帰ってきたんです。			兄さんは前回の発掘旅行に同行したんですが、遺跡で魔物に襲われてしまい、命からがら逃げ帰ってきたんです。			追われた巡業一座							
旧ダルマスカ王国の都、ラバナスタか。……帝国との戦争で、今じゃただの廃墟だっけか。			旧ダルマスカ王国の都、ラバナスタか。……帝国との戦争で、今じゃただの廃墟だっけか。			追われた巡業一座							
クガネに来る道中で、上空を飛行しましたが……。かつては、たいそう美しい都だったのが、今となっては、その面影を窺い知ることすらできませんでした。			クガネに来る道中で、上空を飛行しましたが……。かつては、たいそう美しい都だったのが、今となっては、その面影を窺い知ることすらできませんでした。			追われた巡業一座							
ジェノミスさんがそこにいるのね？			ジェノミスさんがそこにいるのね？			追われた巡業一座							
ええ、必ずそこにいるはずです。……ちょっと計器類の最終確認をしてきます。			ええ、必ずそこにいるはずです。……ちょっと計器類の最終確認をしてきます。			追われた巡業一座							
この船で移動するのか？なら、俺は退散するとしよう。みんな、気をつけるんだぞ。十分に注意を払うんだ。			この船で移動するのか？なら、俺は退散するとしよう。みんな、気をつけるんだぞ。十分に注意を払うんだ。			追われた巡業一座							
シドおじさん、いろいろとありがとうございました。			シドおじさん、いろいろとありがとうございました。			追われた巡業一座							
まさか、「ゾディアックブレイブストーリー」に、続編の構想があったなんて……！			まさか、「ゾディアックブレイブストーリー」に、続編の構想があったなんて……！			追われた巡業一座							
父を救い出すのにご協力いただけること、本当にありがとうございます……！			父を救い出すのにご協力いただけること、本当にありがとうございます……！			追われた巡業一座							
それでは、帝国領土の辺境に位置するダルマスカ砂漠へ移動します。準備できたら声をかけてくださいね。			それでは、帝国領土の辺境に位置するダルマスカ砂漠へ移動します。準備できたら声をかけてくださいね。			追われた巡業一座							
ブリッジのラムザは、ラバナスタへ向け出発したいようだ。			ブリッジのラムザは、ラバナスタへ向け出発したいようだ。			失われた都ラバナスタ							
ラバナスタへと向け、出発した。劇場艇プリマビスタの大道具部屋に向かおう。			ラバナスタへと向け、出発した。劇場艇プリマビスタの大道具部屋に向かおう。			失われた都ラバナスタ							
ラバナスタへと到着した。「失われた都 ラバナスタ」を攻略し、ジェノミスを探し出そう。 ※コンテンツファインダーから攻略に参加できます。			ラバナスタへと到着した。「失われた都 ラバナスタ」を攻略し、ジェノミスを探し出そう。 ※コンテンツファインダーから攻略に参加できます。			失われた都ラバナスタ							
「失われた都 ラバナスタ」を攻略した。劇場艇プリマビスタの大道具部屋に戻ろう。			「失われた都 ラバナスタ」を攻略した。劇場艇プリマビスタの大道具部屋に戻ろう。			失われた都ラバナスタ							
ジェノミスの救出には成功したが、突如現れた盗賊バッガモナンに、聖石「ドゥマ」とジェノミスの手帳を奪われてしまった。大道具部屋にいる「リナ・ミュリラー」と話そう。			ジェノミスの救出には成功したが、突如現れた盗賊バッガモナンに、聖石「ドゥマ」とジェノミスの手帳を奪われてしまった。大道具部屋にいる「リナ・ミュリラー」と話そう。			失われた都ラバナスタ							
ジェノミスは、伝説から抹消された自身の祖先に関わる真実を求めて、イヴァリースを探し求めていたそうだ。真実が記された「デュライ白書」を解読するためには、盗賊バッガモナンに奪われた手帳が必要らしい。ラムザとジェノミスは、残されたデュライ白書の写しから解読できる部分の翻訳に挑むようだ。クガネに戻り、クガネ・ランディング前にいる「リナ・ミュリラー」と話そう。			ジェノミスは、伝説から抹消された自身の祖先に関わる真実を求めて、イヴァリースを探し求めていたそうだ。真実が記された「デュライ白書」を解読するためには、盗賊バッガモナンに奪われた手帳が必要らしい。ラムザとジェノミスは、残されたデュライ白書の写しから解読できる部分の翻訳に挑むようだ。クガネに戻り、クガネ・ランディング前にいる「リナ・ミュリラー」と話そう。			失われた都ラバナスタ							
リナも、ジェノミスたちの研究に興味を抱いているようだ。また頃合いを見計らって、リナのところを訪れてみよう。			リナも、ジェノミスたちの研究に興味を抱いているようだ。また頃合いを見計らって、リナのところを訪れてみよう。			失われた都ラバナスタ							
大道具部屋に向かう			大道具部屋に向かう			失われた都ラバナスタ							
「失われた都 ラバナスタ」を攻略			「失われた都 ラバナスタ」を攻略			失われた都ラバナスタ							
大道具部屋のリナ・ミュリラーと話す			大道具部屋のリナ・ミュリラーと話す			失われた都ラバナスタ							
クガネ・ランディング前のリナ・ミュリラーと話す			クガネ・ランディング前のリナ・ミュリラーと話す			失われた都ラバナスタ							
まさか、ゾディアックブレイブストーリーに、続編の構想があったなんて……。			まさか、ゾディアックブレイブストーリーに、続編の構想があったなんて……。			失われた都ラバナスタ							
父の捜索にご協力くださって、本当にありがとうございます……！			父の捜索にご協力くださって、本当にありがとうございます……！			失われた都ラバナスタ							
では、さっそく、ダルマスカ砂漠へ向かうとしましょう。あのあたりは気流も荒いので、しっかり掴まっていてください。			では、さっそく、ダルマスカ砂漠へ向かうとしましょう。あのあたりは気流も荒いので、しっかり掴まっていてください。			失われた都ラバナスタ							
え？　帝国軍に襲われないかって？……ボクらはこれでもまだ「帝国市民」ですよ。襲われるなんて、あるわけないじゃないですか。			え？　帝国軍に襲われないかって？……ボクらはこれでもまだ「帝国市民」ですよ。襲われるなんて、あるわけないじゃないですか。			失われた都ラバナスタ							
ここからは連絡艇を使ってラバナスタへ降下します。			ここからは連絡艇を使ってラバナスタへ降下します。			失われた都ラバナスタ							
兄さん！　どうか私も一緒に……！			兄さん！　どうか私も一緒に……！			失われた都ラバナスタ							
