ワチュメキメキ万貨街の初老の採集者は、冒険者をまじまじと見つめている。			ワチュメキメキ万貨街の初老の採集者は、冒険者をまじまじと見つめている。			アポサカリーの調達役							
話が途中になってしまって、すみませんでした。ひとまず、あなたの腕前を確かめさせてもらっていいですか？			話が途中になってしまって、すみませんでした。ひとまず、あなたの腕前を確かめさせてもらっていいですか？			アポサカリーの調達役							
……そちらのあなたもですよ。やっぱり働きたくないと言うのなら別ですが。			……そちらのあなたもですよ。やっぱり働きたくないと言うのなら別ですが。			アポサカリーの調達役							
やる、すぐやる、やらせてくれ……！俺は何をすればいい……！？			やる、すぐやる、やらせてくれ……！俺は何をすればいい……！？			アポサカリーの調達役							
それではさっそく……実際に商品調達をしてもらうことで、お手並み拝見といきましょうか。			それではさっそく……実際に商品調達をしてもらうことで、お手並み拝見といきましょうか。			アポサカリーの調達役							
「シューニェズ・アポサカリー」の、ワチュメキメキ万貨街取引が開放されました！「シューニェ」に話しかけて、納品を開始しましょう！			「シューニェズ・アポサカリー」の、ワチュメキメキ万貨街取引が開放されました！「シューニェ」に話しかけて、納品を開始しましょう！			アポサカリーの調達役							
ワチュメキメキ万貨街のシューニェは、冒険者たちの腕前を知りたいようだ。			ワチュメキメキ万貨街のシューニェは、冒険者たちの腕前を知りたいようだ。			腕前や如何に							
シューニェから、お試しで商品調達を依頼された。「アポサカリーの定番商品」を6個、採集し、ワチュメキメキ万貨街の「シューニェ」へ納品しよう。「アポサカリーの定番商品」は、採掘師の場合オルコ・パチャのミープル・マテ茶園付近で、園芸師の場合オルコ・パチャのキーベル・カピー農園付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			シューニェから、お試しで商品調達を依頼された。「アポサカリーの定番商品」を6個、採集し、ワチュメキメキ万貨街の「シューニェ」へ納品しよう。「アポサカリーの定番商品」は、採掘師の場合オルコ・パチャのミープル・マテ茶園付近で、園芸師の場合オルコ・パチャのキーベル・カピー農園付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			腕前や如何に							
シューニェにアポサカリーの定番商品を納品した。同じく依頼を果たしたウヴロはシューニェズ・アポサカリーの従業員となり、冒険者も都合がついたときには調達役として手を貸すこととなった。採集の腕を磨きつつ、折を見て店に顔を出そう。			シューニェにアポサカリーの定番商品を納品した。同じく依頼を果たしたウヴロはシューニェズ・アポサカリーの従業員となり、冒険者も都合がついたときには調達役として手を貸すこととなった。採集の腕を磨きつつ、折を見て店に顔を出そう。			腕前や如何に							
ミープル・マテ茶園付近で採集したアポサカリーの定番商品をシューニェに納品キーベル・カピー農園付近で採集したアポサカリーの定番商品をシューニェに納品採掘師または園芸師になりアポサカリーの定番商品をシューニェに納品			ミープル・マテ茶園付近で採集したアポサカリーの定番商品をシューニェに納品キーベル・カピー農園付近で採集したアポサカリーの定番商品をシューニェに納品採掘師または園芸師になりアポサカリーの定番商品をシューニェに納品			腕前や如何に							
なるほど、お前もこの店で働くつもりなのか。お互い、店主に認められるといいな。			なるほど、お前もこの店で働くつもりなのか。お互い、店主に認められるといいな。			腕前や如何に							
おふたりには、オルコ・パチャに向かい、「アポサカリーの定番商品」を調達してもらいたいと思います。			おふたりには、オルコ・パチャに向かい、「アポサカリーの定番商品」を調達してもらいたいと思います。			腕前や如何に							
滋養強壮の効果がある、マカという植物か、身体を温めるのに用いる石、春暖岩……。			滋養強壮の効果がある、マカという植物か、身体を温めるのに用いる石、春暖岩……。			腕前や如何に							
ご自身の採りやすい方で構いませんので、状態のいいものを6つほど持ち帰っていただけますか？			ご自身の採りやすい方で構いませんので、状態のいいものを6つほど持ち帰っていただけますか？			腕前や如何に							
オルコ・パチャで、定番商品を6つだな……。了解した、すぐに行ってくる。			オルコ・パチャで、定番商品を6つだな……。了解した、すぐに行ってくる。			腕前や如何に							
「シューニェズ・アポサカリー」への納品が開始されました！依頼されたアイテムをシューニェに納品し、貢献していきましょう！			「シューニェズ・アポサカリー」への納品が開始されました！依頼されたアイテムをシューニェに納品し、貢献していきましょう！			腕前や如何に							
なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			腕前や如何に							
オルコ・パチャに向かって、「アポサカリーの定番商品」を調達してきてください。植物と鉱石、あなたの採りやすい方で大丈夫ですよ。			オルコ・パチャに向かって、「アポサカリーの定番商品」を調達してきてください。植物と鉱石、あなたの採りやすい方で大丈夫ですよ。			腕前や如何に							
確かに頂戴しました、ありがとうございます。状態も申し分なしですね……さっそく棚に並べちゃうとしましょうか。			確かに頂戴しました、ありがとうございます。状態も申し分なしですね……さっそく棚に並べちゃうとしましょうか。			腕前や如何に							
おやまあ……。確かに指定した品ですが、これほど上等なものとなると、「定番」呼ばわりは後が怖いですね……。			おやまあ……。確かに指定した品ですが、これほど上等なものとなると、「定番」呼ばわりは後が怖いですね……。			腕前や如何に							
ありがとうございます。さっそく棚に並べちゃうとしましょう。			ありがとうございます。さっそく棚に並べちゃうとしましょう。			腕前や如何に							
依頼品を納品したことで、シューニェはあなたの貢献を実感しはじめました。			依頼品を納品したことで、シューニェはあなたの貢献を実感しはじめました。			腕前や如何に							
今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			腕前や如何に							
おかげさまで商品が補充できました。試す必要もないくらいの、完璧な仕事ぶりでしたねぇ。			おかげさまで商品が補充できました。試す必要もないくらいの、完璧な仕事ぶりでしたねぇ。			腕前や如何に							
いつの間にやら雑多な店になりましたが……ああいった健康維持のための商品は、普遍的な需要があります。			いつの間にやら雑多な店になりましたが……ああいった健康維持のための商品は、普遍的な需要があります。			腕前や如何に							
マカはオルコ・パチャ一帯に自生する植物で、厳しい環境下で栄養を蓄えながら育つ……それで、古くから滋養強壮に用いられてきました。			マカはオルコ・パチャ一帯に自生する植物で、厳しい環境下で栄養を蓄えながら育つ……それで、古くから滋養強壮に用いられてきました。			腕前や如何に							
春暖岩は、火山岩の一種です。研磨したものを温め、懐に入れたり、肌にあてたり……寒くない地方でも、凝りの解消によく使われます。			春暖岩は、火山岩の一種です。研磨したものを温め、懐に入れたり、肌にあてたり……寒くない地方でも、凝りの解消によく使われます。			腕前や如何に							
今回は働きに来てくださったわけですが……お困りのことがあれば、お客様としても来てくださいね？			今回は働きに来てくださったわけですが……お困りのことがあれば、お客様としても来てくださいね？			腕前や如何に							
それにしても、もうひとりの彼……ウヴロは大丈夫でしょうか。			それにしても、もうひとりの彼……ウヴロは大丈夫でしょうか。			腕前や如何に							
あの口ぶりだと、トラル大陸に着いて間もなく、この店に来ているはず。勇んで出ていきましたが、土地勘もないのにどうやって……			あの口ぶりだと、トラル大陸に着いて間もなく、この店に来ているはず。勇んで出ていきましたが、土地勘もないのにどうやって……			腕前や如何に							
今戻った。店主、採ってきた品を確認してくれ。			今戻った。店主、採ってきた品を確認してくれ。			腕前や如何に							
噂をすれば、ですねぇ。			噂をすれば、ですねぇ。			腕前や如何に							
ふむ……。どれも良品だ、問題なく売れるでしょう。			ふむ……。どれも良品だ、問題なく売れるでしょう。			腕前や如何に							
あなた、前にもトラル大陸に来たことが？それとも、誰かに案内を依頼したんでしょうか？			あなた、前にもトラル大陸に来たことが？それとも、誰かに案内を依頼したんでしょうか？			腕前や如何に							
いや……。こっちに来たのは初めてだし、案内なんて頼む金はない。			いや……。こっちに来たのは初めてだし、案内なんて頼む金はない。			腕前や如何に							
だが、街には大勢の人がいる……片っ端から聞いていけば、大抵はどうにかなるぞ。最後は気合と根性だ。			だが、街には大勢の人がいる……片っ端から聞いていけば、大抵はどうにかなるぞ。最後は気合と根性だ。			腕前や如何に							
それで、俺はこの店で雇ってもらえるのか……！？			それで、俺はこの店で雇ってもらえるのか……！？			腕前や如何に							
そうですねぇ。腕は確かなようですし……。			そうですねぇ。腕は確かなようですし……。			腕前や如何に							
いいでしょう。当面の間、うちの従業員として商品調達をお願いします。			いいでしょう。当面の間、うちの従業員として商品調達をお願いします。			腕前や如何に							
もちろん、あなたにもお願いしたいのですが……お話を伺うかぎり、常にここにいるのは難しいかと思いまして。			もちろん、あなたにもお願いしたいのですが……お話を伺うかぎり、常にここにいるのは難しいかと思いまして。			腕前や如何に							
都合がついたときに顔を出してもらう、という形でどうですか？状況に応じて仕事を頼んで、報酬は都度お支払いします。			都合がついたときに顔を出してもらう、という形でどうですか？状況に応じて仕事を頼んで、報酬は都度お支払いします。			腕前や如何に							
ありがとうございます。頼りにしていますよ、Forename。			ありがとうございます。頼りにしていますよ、Forename。			腕前や如何に							
お前はForenameというのか。ろくに挨拶もせず、悪かったな。			お前はForenameというのか。ろくに挨拶もせず、悪かったな。			腕前や如何に							
改めて、クグマの雲、ウヴロだ。見たところ、ヴィエラ族同士……同じ店で働く者としても、よろしく頼む。			改めて、クグマの雲、ウヴロだ。見たところ、ヴィエラ族同士……同じ店で働く者としても、よろしく頼む。			腕前や如何に							
改めて、クグマの雲、ウヴロだ。同じ店で働くもの同士、これからよろしく頼む。			改めて、クグマの雲、ウヴロだ。同じ店で働くもの同士、これからよろしく頼む。			腕前や如何に							
店主にも感謝を。シャトナ族について学びながら路銀を稼げるとは、願ったり叶ったりだ。			店主にも感謝を。シャトナ族について学びながら路銀を稼げるとは、願ったり叶ったりだ。			腕前や如何に							
……まあ、私のような最低の甲斐性なしから、シャトナ族の何を学べるやらですが。			……まあ、私のような最低の甲斐性なしから、シャトナ族の何を学べるやらですが。			腕前や如何に							
っと、そろそろ商いに戻りましょう。欠品になっていたものを、どんどん調達して売っていかないと！			っと、そろそろ商いに戻りましょう。欠品になっていたものを、どんどん調達して売っていかないと！			腕前や如何に							
シューニェズ・アポサカリーの貢献ランクが上昇しました！シューニェはあなたの事を、「春の若草のような職人」と感じているようです！			シューニェズ・アポサカリーの貢献ランクが上昇しました！シューニェはあなたの事を、「春の若草のような職人」と感じているようです！			腕前や如何に							
また、次のクエストは「園芸師／採掘師」の、いずれかがレベル93以上になると、ワチュメキメキ万貨街の「シューニェ」から受注可能です。			また、次のクエストは「園芸師／採掘師」の、いずれかがレベル93以上になると、ワチュメキメキ万貨街の「シューニェ」から受注可能です。			腕前や如何に							
ワチュメキメキ万貨街のシューニェは、今日も商いをしているようだ。			ワチュメキメキ万貨街のシューニェは、今日も商いをしているようだ。			海山川を乗り越えて							
シューニェから、商品調達を依頼された。「アポサカリーのまじない用品」を6個、採集し、ワチュメキメキ万貨街の「シューニェ」へ納品しよう。「アポサカリーのまじない用品」は、採掘師の場合コザマル・カの生い茂る薫風の屋敷付近で、園芸師の場合コザマル・カのオック・ハヌ付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			シューニェから、商品調達を依頼された。「アポサカリーのまじない用品」を6個、採集し、ワチュメキメキ万貨街の「シューニェ」へ納品しよう。「アポサカリーのまじない用品」は、採掘師の場合コザマル・カの生い茂る薫風の屋敷付近で、園芸師の場合コザマル・カのオック・ハヌ付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			海山川を乗り越えて							
シューニェにアポサカリーのまじない用品を納品した。ウヴロが集めてきた紫水晶の話に端を発して、彼の故郷、スカテイ山脈にあるクグマの里について聞くことができた。里のためにシャトナ族について学ばんとする彼とともに、引き続きシューニェの手助けをしていこう。			シューニェにアポサカリーのまじない用品を納品した。ウヴロが集めてきた紫水晶の話に端を発して、彼の故郷、スカテイ山脈にあるクグマの里について聞くことができた。里のためにシャトナ族について学ばんとする彼とともに、引き続きシューニェの手助けをしていこう。			海山川を乗り越えて							
生い茂る薫風の屋敷付近で採集したアポサカリーのまじない用品をシューニェに納品オック・ハヌ付近で採集したアポサカリーのまじない用品をシューニェに納品採掘師または園芸師になりアポサカリーのまじない用品をシューニェに納品			生い茂る薫風の屋敷付近で採集したアポサカリーのまじない用品をシューニェに納品オック・ハヌ付近で採集したアポサカリーのまじない用品をシューニェに納品採掘師または園芸師になりアポサカリーのまじない用品をシューニェに納品			海山川を乗り越えて							
店主の親切に報いるためにも、誠心誠意、働こう。これでも各地でいろいろな仕事をこなしてきたからな……何だって、やってやれないことはないはずだ。			店主の親切に報いるためにも、誠心誠意、働こう。これでも各地でいろいろな仕事をこなしてきたからな……何だって、やってやれないことはないはずだ。			海山川を乗り越えて							
ああ、Forename。調達の仕事を手伝いに……？			ああ、Forename。調達の仕事を手伝いに……？			海山川を乗り越えて							
ありがとうございます。優秀な調達役がひとり増えると、大助かりです。			ありがとうございます。優秀な調達役がひとり増えると、大助かりです。			海山川を乗り越えて							
何と言う？			何と言う？			海山川を乗り越えて							
ウヴロは順調に働けてる？			ウヴロは順調に働けてる？			海山川を乗り越えて							
ウヴロはちゃんと暮らせてる？			ウヴロはちゃんと暮らせてる？			海山川を乗り越えて							
はい、これが意外なほどに問題なく。しいて言えば、本当に素寒貧で、宿代すら持っていなかったのには困りました。			はい、これが意外なほどに問題なく。しいて言えば、本当に素寒貧で、宿代すら持っていなかったのには困りました。			海山川を乗り越えて							
仕事の方は問題ないのですが……こちらに滞在しようにも、本当に素寒貧で、宿代すら持っていなかったのには困りました。			仕事の方は問題ないのですが……こちらに滞在しようにも、本当に素寒貧で、宿代すら持っていなかったのには困りました。			海山川を乗り越えて							
野宿は得意だから気にするなと言われたんですが、雇った手前、そうもいかないでしょう？			野宿は得意だから気にするなと言われたんですが、雇った手前、そうもいかないでしょう？			海山川を乗り越えて							
結局、うちに居候させてるんですよ。			結局、うちに居候させてるんですよ。			海山川を乗り越えて							
……彼、向こう見ずなところはありますけど、基本的にはキッチリしてますねぇ。整理整頓、時間厳守、連絡だって怠らない。			……彼、向こう見ずなところはありますけど、基本的にはキッチリしてますねぇ。整理整頓、時間厳守、連絡だって怠らない。			海山川を乗り越えて							
お師匠さんたちと暮らしていたというから、その影響でしょうか……？			お師匠さんたちと暮らしていたというから、その影響でしょうか……？			海山川を乗り越えて							
対してシャトナの男は、独りで行動する時間が長いせいか、私も含めてマイペースな奴が多くって……彼の律儀さを新鮮に感じてますよ。			対してシャトナの男は、独りで行動する時間が長いせいか、私も含めてマイペースな奴が多くって……彼の律儀さを新鮮に感じてますよ。			海山川を乗り越えて							
仕事の話か？			仕事の話か？			海山川を乗り越えて							
ええ、そんなところです。ウヴロ、在庫の確認が終わったなら、Forenameと一緒に調達に行ってもらえますか？			ええ、そんなところです。ウヴロ、在庫の確認が終わったなら、Forenameと一緒に調達に行ってもらえますか？			海山川を乗り越えて							
よろしく頼む。同輩とともに仕事にあたれるのは、とても心強い。			よろしく頼む。同輩とともに仕事にあたれるのは、とても心強い。			海山川を乗り越えて							
では、改めて……。今回調達してもらいたいのは、「アポサカリーのまじない用品」です。			では、改めて……。今回調達してもらいたいのは、「アポサカリーのまじない用品」です。			海山川を乗り越えて							
具体的には、強い浄化の力を持つとされる香木。それから、ヨカ・トラルで特に重宝されている霊石……紫水晶を集めていただきたく。			具体的には、強い浄化の力を持つとされる香木。それから、ヨカ・トラルで特に重宝されている霊石……紫水晶を集めていただきたく。			海山川を乗り越えて							
どちらも、部族によって多少扱い方は異なるものの、心身に溜まった悪しきものを取り除いたり、魔除けにしたりといった用途で使われています。			どちらも、部族によって多少扱い方は異なるものの、心身に溜まった悪しきものを取り除いたり、魔除けにしたりといった用途で使われています。			海山川を乗り越えて							
なるほど、健やかさを保つのは薬ばかりではないか……。			なるほど、健やかさを保つのは薬ばかりではないか……。			海山川を乗り越えて							
ということは、そこに並べられている品々にも、何らかの力があるのか……？			ということは、そこに並べられている品々にも、何らかの力があるのか……？			海山川を乗り越えて							
一応は、謂れのあるものを選んでいますよ。ただ、何を良しとするかは人それぞれですからねぇ。			一応は、謂れのあるものを選んでいますよ。ただ、何を良しとするかは人それぞれですからねぇ。			海山川を乗り越えて							
効果の有無ではなく、ただ美しいと感じて買っていかれる方もいますし、私もそれでいいと思っています。			効果の有無ではなく、ただ美しいと感じて買っていかれる方もいますし、私もそれでいいと思っています。			海山川を乗り越えて							
扱う品が雑多になるのも道理だな。自分で各地に出向いて商品を探したりも……？			扱う品が雑多になるのも道理だな。自分で各地に出向いて商品を探したりも……？			海山川を乗り越えて							
いえ、それは……。あなたたちを頼るほかは、なじみの卸売商から仕入れるくらいです。			いえ、それは……。あなたたちを頼るほかは、なじみの卸売商から仕入れるくらいです。			海山川を乗り越えて							
店を空けるわけにもいきませんし、私はあまり……街の外には……。			店を空けるわけにもいきませんし、私はあまり……街の外には……。			海山川を乗り越えて							
……さ、そろそろ出発をお願いします。			……さ、そろそろ出発をお願いします。			海山川を乗り越えて							
「アポサカリーのまじない用品」は、コザマル・カの北部で採集できますので。できるだけ良好な状態のものを頼みますよ。			「アポサカリーのまじない用品」は、コザマル・カの北部で採集できますので。できるだけ良好な状態のものを頼みますよ。			海山川を乗り越えて							
俺は香木と紫水晶の両方を採ってこよう。お前はどちらでも、都合のいい方で進めてくれ。			俺は香木と紫水晶の両方を採ってこよう。お前はどちらでも、都合のいい方で進めてくれ。			海山川を乗り越えて							
「アポサカリーのまじない用品」の調達をお願いします。コザマル・カの北部、つまりオック・ハヌ方面で、採ることができるはずですよ。			「アポサカリーのまじない用品」の調達をお願いします。コザマル・カの北部、つまりオック・ハヌ方面で、採ることができるはずですよ。			海山川を乗り越えて							
ふふ、お願いしたとおりの品みたいですねぇ。詳しく拝見させてもらうとしましょう。			ふふ、お願いしたとおりの品みたいですねぇ。詳しく拝見させてもらうとしましょう。			海山川を乗り越えて							
おやまあ……なんて見事な……。			おやまあ……なんて見事な……。			海山川を乗り越えて							
ありがとうございます。このままの良好な状態を保てるよう、細心の注意を払いながら検品しましょう。			ありがとうございます。このままの良好な状態を保てるよう、細心の注意を払いながら検品しましょう。			海山川を乗り越えて							
すべて問題ないことが確認できました。改めて、おつかれさまです。			すべて問題ないことが確認できました。改めて、おつかれさまです。			海山川を乗り越えて							
前回といい、ずいぶんと手慣れた仕事ぶりですが、ほかでもこういった依頼を……？			前回といい、ずいぶんと手慣れた仕事ぶりですが、ほかでもこういった依頼を……？			海山川を乗り越えて							
戻ったぞ。香木と紫水晶……これで足りるか確認してくれ。			戻ったぞ。香木と紫水晶……これで足りるか確認してくれ。			海山川を乗り越えて							
おかえりなさい。どれ、拝見しましょう。			おかえりなさい。どれ、拝見しましょう。			海山川を乗り越えて							
おや……？			おや……？			海山川を乗り越えて							
香木も商品としての基準を満たしてはいますが、紫水晶については、特級品と呼べるほどですよ。いい鉱脈でも見つけましたか？			香木も商品としての基準を満たしてはいますが、紫水晶については、特級品と呼べるほどですよ。いい鉱脈でも見つけましたか？			海山川を乗り越えて							
石を見分けるのは得意なんだ。俺の故郷はスカテイ山脈の高地、雪と岩ばかりの場所だからな。			石を見分けるのは得意なんだ。俺の故郷はスカテイ山脈の高地、雪と岩ばかりの場所だからな。			海山川を乗り越えて							
一見すると似たような石の中に、力を秘めたものがある。俺たちはそれを、山に還った祖先の魂の断片と考え、御守りとして持ち歩くんだ。			一見すると似たような石の中に、力を秘めたものがある。俺たちはそれを、山に還った祖先の魂の断片と考え、御守りとして持ち歩くんだ。			海山川を乗り越えて							
スカテイ山脈……その話からして、かなり高い山々だとはわかりますが……。			スカテイ山脈……その話からして、かなり高い山々だとはわかりますが……。			海山川を乗り越えて							
そうか、トラル大陸の住民には馴染みがない場所だな。			そうか、トラル大陸の住民には馴染みがない場所だな。			海山川を乗り越えて							
Forename、地図を持ってるか？よければ、それを見ながら話をさせてくれ。			Forename、地図を持ってるか？よければ、それを見ながら話をさせてくれ。			海山川を乗り越えて							
ここが、スカテイ山脈だ。			ここが、スカテイ山脈だ。			海山川を乗り越えて							
東州オサード小大陸の中南部……永久焦土ザ・バーンと、旧ダルマスカ王国領の境目にあたる山々だな。			東州オサード小大陸の中南部……永久焦土ザ・バーンと、旧ダルマスカ王国領の境目にあたる山々だな。			海山川を乗り越えて							
ここには、ヴィナ・ヴィエラ族の里が点在している。俺の出身地「クグマの里」も、そのうちのひとつだ。			ここには、ヴィナ・ヴィエラ族の里が点在している。俺の出身地「クグマの里」も、そのうちのひとつだ。			海山川を乗り越えて							
ほかのヴィエラ族の里と同じで、女たちが集落を切り盛りし、男たちがそれを外から護る。			ほかのヴィエラ族の里と同じで、女たちが集落を切り盛りし、男たちがそれを外から護る。			海山川を乗り越えて							
凍てついた厳しい土地ではあるが、古くから受け継がれてきた狩猟採集の技術によって、生活は成り立っていたんだ……。			凍てついた厳しい土地ではあるが、古くから受け継がれてきた狩猟採集の技術によって、生活は成り立っていたんだ……。			海山川を乗り越えて							
だが、ガレマール帝国が台頭してきた。里が直接侵略されることはなかったが、周辺諸国が次々と呑み込まれたとあらば、他人事じゃない。			だが、ガレマール帝国が台頭してきた。里が直接侵略されることはなかったが、周辺諸国が次々と呑み込まれたとあらば、他人事じゃない。			海山川を乗り越えて							
里長たちは、しばらくの間、より厳重に外界との交流を断つことで里を護っていたものの……それでは根本的な解決にならないという声も上がっていた。			里長たちは、しばらくの間、より厳重に外界との交流を断つことで里を護っていたものの……それでは根本的な解決にならないという声も上がっていた。			海山川を乗り越えて							
そこで数年前に、里を出て知見を得る役目を立てることになったんだ。			そこで数年前に、里を出て知見を得る役目を立てることになったんだ。			海山川を乗り越えて							
世界情勢はもちろん、よその人々が今の時代をどう生きているか、里の存続に役立つ情報はないか……広く知り、持ち帰る役目。			世界情勢はもちろん、よその人々が今の時代をどう生きているか、里の存続に役立つ情報はないか……広く知り、持ち帰る役目。			海山川を乗り越えて							
