メワヘイゾーンのコーナは、ロネークの世話に夢中のようだ。			メワヘイゾーンのコーナは、ロネークの世話に夢中のようだ。			王の家族							
コーナ様、お願いします			コーナ様、お願いします			王の家族							
やはりあなたもそう見ますか、僕も同意見です。強大な力を持った魔物が、移動しながら暴れている……そのように考えられるでしょう。			やはりあなたもそう見ますか、僕も同意見です。強大な力を持った魔物が、移動しながら暴れている……そのように考えられるでしょう。			王の家族							
そうですね……。強大な力を持った魔物が、移動しながら暴れている……と考えるのが妥当かと。			そうですね……。強大な力を持った魔物が、移動しながら暴れている……と考えるのが妥当かと。			王の家族							
そういえば、逃げてきたケラトラプトルの中に、尾がちぎれたやつがいたな。まるで、大きく鋭い牙でひとくちに噛まれたみてぇにさ。			そういえば、逃げてきたケラトラプトルの中に、尾がちぎれたやつがいたな。まるで、大きく鋭い牙でひとくちに噛まれたみてぇにさ。			王の家族							
ハッ、まさか……ヅルヘイゾヒリでは？			ハッ、まさか……ヅルヘイゾヒリでは？			王の家族							
それはいったい……？			それはいったい……？			王の家族							
「ヘイゾを盗む牙」って意味だよ。トラル公用語で言うと、ロネークイーターって感じかな。			「ヘイゾを盗む牙」って意味だよ。トラル公用語で言うと、ロネークイーターって感じかな。			王の家族							
並の肉食獣なら、ロネークが大角を振りかざせば追い払えるんだけど、そいつは硬い外殻に覆われていて、物ともしないんだ。			並の肉食獣なら、ロネークが大角を振りかざせば追い払えるんだけど、そいつは硬い外殻に覆われていて、物ともしないんだ。			王の家族							
つまりは、大型かつ肉食の甲鱗綱の魔物か……。だが、この辺りにそんな危険なヤツが棲息してるなんて、見たことも聞いたこともないぞ？			つまりは、大型かつ肉食の甲鱗綱の魔物か……。だが、この辺りにそんな危険なヤツが棲息してるなんて、見たことも聞いたこともないぞ？			王の家族							
本来は、もっと北東にある原野に、棲息しているはずの種なんだけど……群れからはぐれた個体が、流れてきたのかも。			本来は、もっと北東にある原野に、棲息しているはずの種なんだけど……群れからはぐれた個体が、流れてきたのかも。			王の家族							
どうやら、成すべきことが見えてきたようですね。ロネークたちが安心して餌場へと戻れるように、はぐれヅルヘイゾヒリを撃退する……！			どうやら、成すべきことが見えてきたようですね。ロネークたちが安心して餌場へと戻れるように、はぐれヅルヘイゾヒリを撃退する……！			王の家族							
僕たちが、群れを脅かす脅威を払ってみせます。だから安心してください。			僕たちが、群れを脅かす脅威を払ってみせます。だから安心してください。			王の家族							
どんなに手強いやつが相手だって、アタシたちが力を合わせれば大丈夫さ！			どんなに手強いやつが相手だって、アタシたちが力を合わせれば大丈夫さ！			王の家族							
はぐれた強大な個体の異常行動……これを放置すると、やがてトラルヴィドラールに変じるのかもな。			はぐれた強大な個体の異常行動……これを放置すると、やがてトラルヴィドラールに変じるのかもな。			王の家族							
同胞たちにも、ヅルヘイゾヒリを警戒するよう報せました。杞憂であれば良いのですが……。			同胞たちにも、ヅルヘイゾヒリを警戒するよう報せました。杞憂であれば良いのですが……。			王の家族							
ロネークのことは心配だけど、みんなだって大事だよ。無茶しないでね！			ロネークのことは心配だけど、みんなだって大事だよ。無茶しないでね！			王の家族							
ロネークの不可解な行動の裏に、ヅルヘイゾヒリの影響があったとは……。			ロネークの不可解な行動の裏に、ヅルヘイゾヒリの影響があったとは……。			王の家族							
むやみに敵を探し回って戦力を分散させるのは愚策です。確実な目撃情報が得られるまでここで待機しつつ、戦いに備えておきましょう。			むやみに敵を探し回って戦力を分散させるのは愚策です。確実な目撃情報が得られるまでここで待機しつつ、戦いに備えておきましょう。			王の家族							
このクエストバトルでは進行度が保存され、ある程度まで進めてから敗北した場合、途中から再挑戦することができます。			このクエストバトルでは進行度が保存され、ある程度まで進めてから敗北した場合、途中から再挑戦することができます。			王の家族							
ほかのクエストバトルに挑戦したり、ログアウトすると、保存された進行度は破棄されますので、ご注意ください。			ほかのクエストバトルに挑戦したり、ログアウトすると、保存された進行度は破棄されますので、ご注意ください。			王の家族							
本クエストを進行するためには、現在のクラス・ジョブが、レベル100以上の、ファイター、もしくはソーサラーである必要があります。			本クエストを進行するためには、現在のクラス・ジョブが、レベル100以上の、ファイター、もしくはソーサラーである必要があります。			王の家族							
コーナ兄さんの実の両親は、もう亡くなっていたんだな。だとしたら、あのヅルヘイゾヒリは……。			コーナ兄さんの実の両親は、もう亡くなっていたんだな。だとしたら、あのヅルヘイゾヒリは……。			王の家族							
思わぬ副産物が手に入ったな。おそらく、これなら鉄道が抱えてる問題を解決できるはずだ。			思わぬ副産物が手に入ったな。おそらく、これなら鉄道が抱えてる問題を解決できるはずだ。			王の家族							
理王様は、トラルの民すべてを家族と考えておられるのですな。素晴らしいお考えじゃありませんか。			理王様は、トラルの民すべてを家族と考えておられるのですな。素晴らしいお考えじゃありませんか。			王の家族							
ヅルヘイゾヒリを倒しちゃうなんてすごいよ！これで、ロネークたちも安心して餌場に戻れるね！			ヅルヘイゾヒリを倒しちゃうなんてすごいよ！これで、ロネークたちも安心して餌場に戻れるね！			王の家族							
ヅルヘイゾヒリの討伐……あなたがいてくれて本当に助かりました。			ヅルヘイゾヒリの討伐……あなたがいてくれて本当に助かりました。			王の家族							
僕ひとりでは、実の両親について知ることも、その仇を討つことも難しかったでしょう。どうか、お礼を言わせてください。			僕ひとりでは、実の両親について知ることも、その仇を討つことも難しかったでしょう。どうか、お礼を言わせてください。			王の家族							
これで、ロネークたちも怯えて暮らさずに済む……線路の近くまで来てしまうことも、減っていくはずです。			これで、ロネークたちも怯えて暮らさずに済む……線路の近くまで来てしまうことも、減っていくはずです。			王の家族							
さらに、幸運にも入手できたヅルヘイゾヒリの外殻を使えば、警笛の問題も、無事解決できるでしょう。			さらに、幸運にも入手できたヅルヘイゾヒリの外殻を使えば、警笛の問題も、無事解決できるでしょう。			王の家族							
従来の警笛では、線路から遠く離れたロネークまで、必要以上に驚かせてしまうことが大きな問題だった。			従来の警笛では、線路から遠く離れたロネークまで、必要以上に驚かせてしまうことが大きな問題だった。			王の家族							
だが、天敵に由来する微弱なエーテルを放射できれば、大きな音を出さずに済む警笛を作れると……。			だが、天敵に由来する微弱なエーテルを放射できれば、大きな音を出さずに済む警笛を作れると……。			王の家族							
さっそくシャーローニ駅に向かい、ワーリカに報告しましょう。			さっそくシャーローニ駅に向かい、ワーリカに報告しましょう。			王の家族							
コーナ様にウクラマト様……おふたりとも、聡明で勇敢な王でいらっしゃいますな。			コーナ様にウクラマト様……おふたりとも、聡明で勇敢な王でいらっしゃいますな。			王の家族							
ロネークも、あなたのことがすっかり気に入ったみたい。またいつでも遊びに来てね！			ロネークも、あなたのことがすっかり気に入ったみたい。またいつでも遊びに来てね！			王の家族							
あとは新車両を一気に仕上げてもらうだけだな。			あとは新車両を一気に仕上げてもらうだけだな。			王の家族							
トライヨラから職人たちが加勢に来てるそうだから、外殻の加工も、ここでやってもらえるだろう。			トライヨラから職人たちが加勢に来てるそうだから、外殻の加工も、ここでやってもらえるだろう。			王の家族							
ああ、眼鏡は常に替えを持っているんですよ。実は継承の儀でも何度か壊して、そのたびに交換していました。			ああ、眼鏡は常に替えを持っているんですよ。実は継承の儀でも何度か壊して、そのたびに交換していました。			王の家族							
おっ、なんだかいい顔してるな。ロネークが線路に近寄ってくる原因がわかったのか？			おっ、なんだかいい顔してるな。ロネークが線路に近寄ってくる原因がわかったのか？			王の家族							
なるほど、天敵を恐れてこっちの方まで来てたんだな。それに魔物の外殻を使った静かな警笛だなんて、すげぇ発想だ。さっそく作ってみるとするか……！			なるほど、天敵を恐れてこっちの方まで来てたんだな。それに魔物の外殻を使った静かな警笛だなんて、すげぇ発想だ。さっそく作ってみるとするか……！			王の家族							
新車両の建造が終わるまで待ちますか？			新車両の建造が終わるまで待ちますか？			王の家族							
へへっ、これでドーム内とトライヨラの行き来も、だいぶ楽になるはずだよな！			へへっ、これでドーム内とトライヨラの行き来も、だいぶ楽になるはずだよな！			王の家族							
天敵のエーテルを感じ取ったロネークは、鉄道を避けるようになるだろう。しばらくすれば、元の生息域に戻っていくはずだ。			天敵のエーテルを感じ取ったロネークは、鉄道を避けるようになるだろう。しばらくすれば、元の生息域に戻っていくはずだ。			王の家族							
試運転は成功です。あとのことは、お任せして大丈夫かと。			試運転は成功です。あとのことは、お任せして大丈夫かと。			王の家族							
コーナ様が寄こしてくれた応援の奴らは、試運転の成功を見届けて帰っていったよ。機会があれば、世話になった連中も乗せてやりたいぜ。			コーナ様が寄こしてくれた応援の奴らは、試運転の成功を見届けて帰っていったよ。機会があれば、世話になった連中も乗せてやりたいぜ。			王の家族							
見てのとおり、試運転は大成功だ。これでドームの入口までは、列車の往復ができるよ。			見てのとおり、試運転は大成功だ。これでドームの入口までは、列車の往復ができるよ。			王の家族							
実を言うとね……新車両が完成しても、走らせられないんじゃないかって、みんな内心じゃ不安に思っていたのさ。			実を言うとね……新車両が完成しても、走らせられないんじゃないかって、みんな内心じゃ不安に思っていたのさ。			王の家族							
けど、あんたたちのおかげで、そんなモヤモヤも吹っ飛んでった。これでまた、前みたいに活気のあるXTRR社が戻ってくるよ！			けど、あんたたちのおかげで、そんなモヤモヤも吹っ飛んでった。これでまた、前みたいに活気のあるXTRR社が戻ってくるよ！			王の家族							
運行再開となりゃ、やらなきゃならねぇ仕事がわんさかだ。さっそく社に戻って、仕事を割り振らなきゃな。			運行再開となりゃ、やらなきゃならねぇ仕事がわんさかだ。さっそく社に戻って、仕事を割り振らなきゃな。			王の家族							
皆さんのおかげで、トライヨラとアレクサンドリア、両国の間に架け橋を築くことができそうです。改めまして、協力に感謝を。			皆さんのおかげで、トライヨラとアレクサンドリア、両国の間に架け橋を築くことができそうです。改めまして、協力に感謝を。			王の家族							
じゃあ、引き続きアレクサンドリアへの対応と、グルージャのこと……頼んだよ、ラマチ。			じゃあ、引き続きアレクサンドリアへの対応と、グルージャのこと……頼んだよ、ラマチ。			王の家族							
フォルアード・キャビンズのボルルックは、冒険者に話があるようだ。			フォルアード・キャビンズのボルルックは、冒険者に話があるようだ。			アレクサンドリアからの報せ							
前回までの冒険録：トライヨラの王女ウクラマトに請われ、「継承の儀」に協力するため、トラル大陸を訪れた冒険者一行。連王グルージャジャによって示された王位継承の条件は、「黄金郷」を見つけだすことだった。その場所へ到達するには、7つの試練を越えなくてはならない。冒険者の助力を得てすべての試練を乗り越えたウクラマトは、ついに黄金郷を見つけ、継承の儀の勝者となるが、第二王子のコーナとふたりで王位を継ぐことを宣言。トライヨラに新たな風をもたらすのだった。一方、試練の敗者となった第一王子のゾラージャが王宮に安置されていた「鍵」を行使したことで、ヤースラニ荒野が局所的に鏡像世界と融合してしまう。障壁に覆われた一帯は、新生アレクサンドリア連王国となっており、世界が融合してから30年もの時が経過していた。アレクサンドリアの優れた技術は、魂を資源とすることで死からの蘇生すら可能にする一方、永久人と呼ばれる記憶の再現体については、その維持に限界を迎えていた。自身も永久人である女王スフェーンは、葛藤の末、ゾラージャと手を組み、原初世界の人々から生命力のエーテルを奪うことを決断。ゾラージャは父グルージャジャを殺めるも、冒険者一行との戦いに敗北。実子グルージャに見守られながら息絶えた。スフェーンもまた、自らの記憶を消して非情な王となり計画を成し遂げようとするものの、ウクラマトと冒険者たちに阻まれるのだった。かくして永久人たちが暮らしていたリビング・メモリーは完全にシャットダウンされ、トラル大陸にはひとときの平和がもたらされたのであった……。　　　　　　　　　　　　*　*　*ボルルックと話した。トライヨラのシャバーブチェにいる「ブルケブ」と話そう。			前回までの冒険録：トライヨラの王女ウクラマトに請われ、「継承の儀」に協力するため、トラル大陸を訪れた冒険者一行。連王グルージャジャによって示された王位継承の条件は、「黄金郷」を見つけだすことだった。その場所へ到達するには、7つの試練を越えなくてはならない。冒険者の助力を得てすべての試練を乗り越えたウクラマトは、ついに黄金郷を見つけ、継承の儀の勝者となるが、第二王子のコーナとふたりで王位を継ぐことを宣言。トライヨラに新たな風をもたらすのだった。一方、試練の敗者となった第一王子のゾラージャが王宮に安置されていた「鍵」を行使したことで、ヤースラニ荒野が局所的に鏡像世界と融合してしまう。障壁に覆われた一帯は、新生アレクサンドリア連王国となっており、世界が融合してから30年もの時が経過していた。アレクサンドリアの優れた技術は、魂を資源とすることで死からの蘇生すら可能にする一方、永久人と呼ばれる記憶の再現体については、その維持に限界を迎えていた。自身も永久人である女王スフェーンは、葛藤の末、ゾラージャと手を組み、原初世界の人々から生命力のエーテルを奪うことを決断。ゾラージャは父グルージャジャを殺めるも、冒険者一行との戦いに敗北。実子グルージャに見守られながら息絶えた。スフェーンもまた、自らの記憶を消して非情な王となり計画を成し遂げようとするものの、ウクラマトと冒険者たちに阻まれるのだった。かくして永久人たちが暮らしていたリビング・メモリーは完全にシャットダウンされ、トラル大陸にはひとときの平和がもたらされたのであった……。　　　　　　　　　　　　*　*　*ボルルックと話した。トライヨラのシャバーブチェにいる「ブルケブ」と話そう。			アレクサンドリアからの報せ							
ブルケブと話した。タコスを堪能するため、シャバーブチェで着席しよう。			ブルケブと話した。タコスを堪能するため、シャバーブチェで着席しよう。			アレクサンドリアからの報せ							
ドームからの帰還民を支援するため奔走するウクラマトと出会い、ともにタコスを堪能した。コーナとウクラマトから、王として話したいことがあるそうだ。トライヨラのヴォロク連王宮にいる「勇連隊の衛兵」と話そう。			ドームからの帰還民を支援するため奔走するウクラマトと出会い、ともにタコスを堪能した。コーナとウクラマトから、王として話したいことがあるそうだ。トライヨラのヴォロク連王宮にいる「勇連隊の衛兵」と話そう。			アレクサンドリアからの報せ							
勇連隊の衛兵から、中でコーナの到着を待っていてほしいと頼まれた。金凰の間へ向かおう。			勇連隊の衛兵から、中でコーナの到着を待っていてほしいと頼まれた。金凰の間へ向かおう。			アレクサンドリアからの報せ							
ソリューション・ナインで、スフェーンの葬儀が行われるらしい。バックルームにいる「グルージャ」と話そう。			ソリューション・ナインで、スフェーンの葬儀が行われるらしい。バックルームにいる「グルージャ」と話そう。			アレクサンドリアからの報せ							
グルージャと話した。古きアレクサンドリアでも、死者に花を手向ける風習があったようだ。グルージャから葬儀の詳細について聞こう。			グルージャと話した。古きアレクサンドリアでも、死者に花を手向ける風習があったようだ。グルージャから葬儀の詳細について聞こう。			アレクサンドリアからの報せ							
ブルケブと話す			ブルケブと話す			アレクサンドリアからの報せ							
シャバーブチェで席に座る			シャバーブチェで席に座る			アレクサンドリアからの報せ							
勇連隊の衛兵と話す			勇連隊の衛兵と話す			アレクサンドリアからの報せ							
バックルームのグルージャと話す			バックルームのグルージャと話す			アレクサンドリアからの報せ							
これは、Forename様。トライヨラでの日々は、お楽しみいただけておりますか？			これは、Forename様。トライヨラでの日々は、お楽しみいただけておりますか？			アレクサンドリアからの報せ							
それはなによりですね！継承の儀をはじめ、ここまでずっと忙しくされていたのですから、今日はゆっくり、タコスでも味わってみてはいかがでしょう？			それはなによりですね！継承の儀をはじめ、ここまでずっと忙しくされていたのですから、今日はゆっくり、タコスでも味わってみてはいかがでしょう？			アレクサンドリアからの報せ							
Forename様ならご存じかと思いますが、シャバーブチェのタコスは、風味豊かで正統派の味付けと評判！店主の「ブルケブ」さんご自慢の一品を、是非！			Forename様ならご存じかと思いますが、シャバーブチェのタコスは、風味豊かで正統派の味付けと評判！店主の「ブルケブ」さんご自慢の一品を、是非！			アレクサンドリアからの報せ							
シャバーブチェのタコスは、風味豊かで正統派の味付けと評判！お時間がありましたら、店主の「ブルケブ」さんご自慢の一品を、是非！			シャバーブチェのタコスは、風味豊かで正統派の味付けと評判！お時間がありましたら、店主の「ブルケブ」さんご自慢の一品を、是非！			アレクサンドリアからの報せ							
よう、いらっしゃい！今日はひとりなのか？			よう、いらっしゃい！今日はひとりなのか？			アレクサンドリアからの報せ							
あんたには、トライヨラに住むみんなが世話になってんだ。うちのタコスでよけりゃ、好きなだけ食べていってくれ。			あんたには、トライヨラに住むみんなが世話になってんだ。うちのタコスでよけりゃ、好きなだけ食べていってくれ。			アレクサンドリアからの報せ							
あんたには、盗まれた祭器の奪還はもちろんのこと、トライヨラに住むみんなが世話になってんだ。うちのタコスでよけりゃ、好きなだけ食べていってくれ。			あんたには、盗まれた祭器の奪還はもちろんのこと、トライヨラに住むみんなが世話になってんだ。うちのタコスでよけりゃ、好きなだけ食べていってくれ。			アレクサンドリアからの報せ							
あんたには、「自由の扉」の壊滅はもちろんのこと、トライヨラに住むみんなが世話になってんだ。うちのタコスでよけりゃ、好きなだけ食べていってくれ。			あんたには、「自由の扉」の壊滅はもちろんのこと、トライヨラに住むみんなが世話になってんだ。うちのタコスでよけりゃ、好きなだけ食べていってくれ。			アレクサンドリアからの報せ							
さあ準備するからよ、空いてる席に座りな！			さあ準備するからよ、空いてる席に座りな！			アレクサンドリアからの報せ							
あんたのお仲間の赤髪の男も、何度かうちに顔を出してたよ。タコスがすっかり気に入ったようで、ことあるごとに食べ歩いてるそうだ。			あんたのお仲間の赤髪の男も、何度かうちに顔を出してたよ。タコスがすっかり気に入ったようで、ことあるごとに食べ歩いてるそうだ。			アレクサンドリアからの報せ							
(-凛々しい青年の声-)ほら、タコスは大好物だろ？この前も5歳の誕生日に、たくさん食べてたじゃないか。			(-凛々しい青年の声-)ほら、タコスは大好物だろ？この前も5歳の誕生日に、たくさん食べてたじゃないか。			アレクサンドリアからの報せ							
この前って……あれから30年経ってるんだよ、父ちゃん。歳も、俺の方が上になっちまった……。			この前って……あれから30年経ってるんだよ、父ちゃん。歳も、俺の方が上になっちまった……。			アレクサンドリアからの報せ							
まぁな……俺だって戸惑ってるよ。母ちゃんとヤースラニ荒野に里帰りにいった小さなガキが、いきなり髭面のオッサンになってトライヨラに戻ってきたんだ。			まぁな……俺だって戸惑ってるよ。母ちゃんとヤースラニ荒野に里帰りにいった小さなガキが、いきなり髭面のオッサンになってトライヨラに戻ってきたんだ。			アレクサンドリアからの報せ							
けど、親だからわかる、自分の子だってな。だからお前も、以前のように俺を頼ってくれ。			けど、親だからわかる、自分の子だってな。だからお前も、以前のように俺を頼ってくれ。			アレクサンドリアからの報せ							
実はさ、働きはじめたはいいんだけど……火がうまく熾せなくて。			実はさ、働きはじめたはいいんだけど……火がうまく熾せなくて。			アレクサンドリアからの報せ							
向こうじゃ、エレクトロープっていう便利なものがあってさ。仕組みを知らなくても、ボタンひとつ押すだけで火を熾せたりしたんだ。			向こうじゃ、エレクトロープっていう便利なものがあってさ。仕組みを知らなくても、ボタンひとつ押すだけで火を熾せたりしたんだ。			アレクサンドリアからの報せ							
せっかく、調理師の仕事がもらえたのに、かまどに火をつけることさえ、自力じゃできない。同僚にも呆れられて……俺、恥ずかしいよ。			せっかく、調理師の仕事がもらえたのに、かまどに火をつけることさえ、自力じゃできない。同僚にも呆れられて……俺、恥ずかしいよ。			アレクサンドリアからの報せ							
そうか……。ドーム内の暮らしは、俺には想像もつかないな。			そうか……。ドーム内の暮らしは、俺には想像もつかないな。			アレクサンドリアからの報せ							
もう結婚して、子どもだっているんだ。こっちでの生活が落ち着いたら、家族を呼ぼうと思ってたのに……			もう結婚して、子どもだっているんだ。こっちでの生活が落ち着いたら、家族を呼ぼうと思ってたのに……			アレクサンドリアからの報せ							
呼んだらいいじゃないか。息子の家族なら、俺の家族でもあるんだ、なんとか知恵を絞ってみよう。			呼んだらいいじゃないか。息子の家族なら、俺の家族でもあるんだ、なんとか知恵を絞ってみよう。			アレクサンドリアからの報せ							
なあ、今の話……ドームから帰還したばかりで、困ってるのか？			なあ、今の話……ドームから帰還したばかりで、困ってるのか？			アレクサンドリアからの報せ							
あなたは……ウクラマト様！？			あなたは……ウクラマト様！？			アレクサンドリアからの報せ							
実は、似たような悩みをもつ移住者のために、理の院主導のもと、支援団体を作ったんだ。そこでなら、ドームの外で生きてくための知識も学べるぜ。			実は、似たような悩みをもつ移住者のために、理の院主導のもと、支援団体を作ったんだ。そこでなら、ドームの外で生きてくための知識も学べるぜ。			アレクサンドリアからの報せ							
久しぶりの環境に戸惑うこともあるかもしれないけど、その団体を使って負担を減らせねぇか、試してみてくれよ。			久しぶりの環境に戸惑うこともあるかもしれないけど、その団体を使って負担を減らせねぇか、試してみてくれよ。			アレクサンドリアからの報せ							
そりゃあ、ありがたい！そういうことなら家族も呼んで、一緒に参加してみますよ！			そりゃあ、ありがたい！そういうことなら家族も呼んで、一緒に参加してみますよ！			アレクサンドリアからの報せ							
おっ、Forenameじゃねぇか。見回りがてら、お前を呼びに行こうとしてたんだ。			おっ、Forenameじゃねぇか。見回りがてら、お前を呼びに行こうとしてたんだ。			アレクサンドリアからの報せ							
これからメシにするところだったんなら、アタシも休憩がてら付き合わせてもらうぜ！			これからメシにするところだったんなら、アタシも休憩がてら付き合わせてもらうぜ！			アレクサンドリアからの報せ							
うまかったー！やっぱりここのタコスは絶品だなー！			うまかったー！やっぱりここのタコスは絶品だなー！			アレクサンドリアからの報せ							
ところでお前、今までどこで何をしてたんだ？			ところでお前、今までどこで何をしてたんだ？			アレクサンドリアからの報せ							
何と言う？			何と言う？			アレクサンドリアからの報せ							
アルパカと旅を			アルパカと旅を			アレクサンドリアからの報せ							
のんびり休んでいた			のんびり休んでいた			アレクサンドリアからの報せ							
ワチュメキメキ万貨街のお手伝い			ワチュメキメキ万貨街のお手伝い			アレクサンドリアからの報せ							
祭器を取り戻しに			祭器を取り戻しに			アレクサンドリアからの報せ							
アルカディアに出場していた			アルカディアに出場していた			アレクサンドリアからの報せ							
へぇ、いいじゃねぇか！トラル大陸を気に入ってくれたようで嬉しいぜ。			へぇ、いいじゃねぇか！トラル大陸を気に入ってくれたようで嬉しいぜ。			アレクサンドリアからの報せ							
無理もねぇ、ずっと大変な状況が続いてたからな。それで、休養はバッチリ、そろそろ旅を再開したくなったってところか。			無理もねぇ、ずっと大変な状況が続いてたからな。それで、休養はバッチリ、そろそろ旅を再開したくなったってところか。			アレクサンドリアからの報せ							
凄腕の助っ人が現れたって話、アタシの耳にも届いてる。お前のおかげで、万貨街が活気づいてきてるみたいだぜ。			凄腕の助っ人が現れたって話、アタシの耳にも届いてる。お前のおかげで、万貨街が活気づいてきてるみたいだぜ。			アレクサンドリアからの報せ							
勇連隊から報告は受けてるよ。アタシが動くと外交問題に発展するかもしれねぇし、お前が協力してくれて、本当に助かってる！			勇連隊から報告は受けてるよ。アタシが動くと外交問題に発展するかもしれねぇし、お前が協力してくれて、本当に助かってる！			アレクサンドリアからの報せ							
アレクサンドリアの闘技場か！だったら、強い奴らと手合わせして、また腕を上げたんじゃないか？			アレクサンドリアの闘技場か！だったら、強い奴らと手合わせして、また腕を上げたんじゃないか？			アレクサンドリアからの報せ							
アタシは王宮で政務をこなしながら、その合間に街を歩いて、みんなに声をかけててさ。			アタシは王宮で政務をこなしながら、その合間に街を歩いて、みんなに声をかけててさ。			アレクサンドリアからの報せ							
政策を考えるのはコーナ兄さんの方が得意だから、みんなが何に悩み、何を求めているのか聞いて回ってるんだ。戦うだけが武王の仕事じゃねぇしな。			政策を考えるのはコーナ兄さんの方が得意だから、みんなが何に悩み、何を求めているのか聞いて回ってるんだ。戦うだけが武王の仕事じゃねぇしな。			アレクサンドリアからの報せ							
……で、お前を呼びに行こうとしてたって話なんだけど。			……で、お前を呼びに行こうとしてたって話なんだけど。			アレクサンドリアからの報せ							
