ラールガーズリーチのアラミゴ解放軍の老闘士は、人を探しているようだ。			ラールガーズリーチのアラミゴ解放軍の老闘士は、人を探しているようだ。			娘はどこへ							
いったい、どちらさまだい？私に何か用でも？			いったい、どちらさまだい？私に何か用でも？			戦友の形見							
なに、アナンタ族の闘士と共に、息子の遺品を届けに来ただと！？……いや、驚いたのは、息子が亡くなったことがわかったからではない。			なに、アナンタ族の闘士と共に、息子の遺品を届けに来ただと！？……いや、驚いたのは、息子が亡くなったことがわかったからではない。			戦友の形見							
実は息子の戦死は、解放軍からの報せで知っていたのだ。話を聞かされてからしばらくは、息子を返せと、帝国ばかりか解放軍まで恨んださ……。			実は息子の戦死は、解放軍からの報せで知っていたのだ。話を聞かされてからしばらくは、息子を返せと、帝国ばかりか解放軍まで恨んださ……。			戦友の形見							
だが、今は少し落ち着いたよ。自由のために戦った我が息子のことを、誇らしく思っている。			だが、今は少し落ち着いたよ。自由のために戦った我が息子のことを、誇らしく思っている。			戦友の形見							
私ばかり話をしてしまってすまないね。同郷や同族でもないのに遺品を届けてくれるとは、ありがたい。さっそく、受け取りにいかせてもらうとするよ。			私ばかり話をしてしまってすまないね。同郷や同族でもないのに遺品を届けてくれるとは、ありがたい。さっそく、受け取りにいかせてもらうとするよ。			戦友の形見							
同郷や同族でもないのに遺品を届けてくれるとは、ありがたい。こちらのアナンタ族の闘士に、感謝しないとな。			同郷や同族でもないのに遺品を届けてくれるとは、ありがたい。こちらのアナンタ族の闘士に、感謝しないとな。			戦友の形見							
シュー……助かったぞ。お前のおかげで、無事に遺品を渡すことができた。			シュー……助かったぞ。お前のおかげで、無事に遺品を渡すことができた。			戦友の形見							
我が友は、アナンタ族にも偏見がなく、同族の友のように、分け隔てなく接してくれてな。家族の話も、よく聞かせてくれていたのだ。			我が友は、アナンタ族にも偏見がなく、同族の友のように、分け隔てなく接してくれてな。家族の話も、よく聞かせてくれていたのだ。			戦友の形見							
特に遺品のブレスレットは、父親が自分のために、石を削って作ってくれたお守りなのだと語っていた。			特に遺品のブレスレットは、父親が自分のために、石を削って作ってくれたお守りなのだと語っていた。			戦友の形見							
素晴らしき出来だったため、我も欲しくなってな。同じ物を作ろうと、幾度も真似してみたのだが、結局は、上手くいかなかったものだ。			素晴らしき出来だったため、我も欲しくなってな。同じ物を作ろうと、幾度も真似してみたのだが、結局は、上手くいかなかったものだ。			戦友の形見							
あいつが、そんな風に私の話をしていたなんてな……。貴重な話まで聞かせてくれて、どうもありがとう。			あいつが、そんな風に私の話をしていたなんてな……。貴重な話まで聞かせてくれて、どうもありがとう。			戦友の形見							
お礼といってはなんだが、あんたに同じ物を作ってやりたいのだが、どうかな？			お礼といってはなんだが、あんたに同じ物を作ってやりたいのだが、どうかな？			戦友の形見							
シュー……本当か！？ぜひとも、お願いしたい！			シュー……本当か！？ぜひとも、お願いしたい！			戦友の形見							
もちろんだとも。ただ、作る前に、少し協力してほしいことがあってな……。			もちろんだとも。ただ、作る前に、少し協力してほしいことがあってな……。			戦友の形見							
悲しみを紛らわすために酒を飲みすぎたせいで、どこかに、ハンマーを落としてしまったようなのだ。恥ずかしい話だが、手分けして探してもらえないだろうか？			悲しみを紛らわすために酒を飲みすぎたせいで、どこかに、ハンマーを落としてしまったようなのだ。恥ずかしい話だが、手分けして探してもらえないだろうか？			戦友の形見							
シュー……わかったぞ。ハンマーを探せばいいのだな？			シュー……わかったぞ。ハンマーを探せばいいのだな？			戦友の形見							
よければお前も、ともに「石工のハンマー」を探してくれないか？職人にとっては大切なものであろうしな。			よければお前も、ともに「石工のハンマー」を探してくれないか？職人にとっては大切なものであろうしな。			戦友の形見							
シュー……もし「石工のハンマー」が見つかったら、父君に渡してやってくれ。			シュー……もし「石工のハンマー」が見つかったら、父君に渡してやってくれ。			戦友の形見							
どこかに「石工のハンマー」は落ちていただろうか？			どこかに「石工のハンマー」は落ちていただろうか？			戦友の形見							
これだこれだ、かたじけない。こいつがあれば、アナンタ族の彼女にも、息子と同じブレスレットを作ってやれるよ。			これだこれだ、かたじけない。こいつがあれば、アナンタ族の彼女にも、息子と同じブレスレットを作ってやれるよ。			戦友の形見							
アナンタ族のお姉さんにお願いがあるんだが……もしよければ、ブレスレットを作っている間、もう少し、息子の話を聞かせてもらえないかな？			アナンタ族のお姉さんにお願いがあるんだが……もしよければ、ブレスレットを作っている間、もう少し、息子の話を聞かせてもらえないかな？			戦友の形見							
シュー……わかった。そなたの息子であり、勇敢なる友であった彼の話を、我が知る限り、伝えると約束しよう。			シュー……わかった。そなたの息子であり、勇敢なる友であった彼の話を、我が知る限り、伝えると約束しよう。			戦友の形見							
シュー……あとは我々だけで大丈夫だろう。大変世話になったな、親切なヒトの子よ。			シュー……あとは我々だけで大丈夫だろう。大変世話になったな、親切なヒトの子よ。			戦友の形見							
ラールガーズリーチのガリエナは、冒険者に頼みがあるようだ。			ラールガーズリーチのガリエナは、冒険者に頼みがあるようだ。			お得意様メ・ナーゴ							
メ・ナーゴと話す			メ・ナーゴと話す			お得意様メ・ナーゴ							
ロウェナ叔母さんから聞いたんだけど、あなた、かなり腕のいい職人らしいじゃない。そんな腕利きに、折入って頼みたいことがあるの。			ロウェナ叔母さんから聞いたんだけど、あなた、かなり腕のいい職人らしいじゃない。そんな腕利きに、折入って頼みたいことがあるの。			お得意様メ・ナーゴ							
以前も話したように、このラールガーズリーチ支店は、アラミゴの民に職を与え、復興を支援する役割を担ってるわ。			以前も話したように、このラールガーズリーチ支店は、アラミゴの民に職を与え、復興を支援する役割を担ってるわ。			お得意様メ・ナーゴ							
その一環で、解放軍のメ・ナーゴに、職人から集めた珍しい品を、好事家に買い取ってもらうという、収集品取引のノウハウを教えたのよ。			その一環で、解放軍のメ・ナーゴに、職人から集めた珍しい品を、好事家に買い取ってもらうという、収集品取引のノウハウを教えたのよ。			お得意様メ・ナーゴ							
さっそく、彼女は事業を始めたようだけど、安定して商品を仕入れるには、腕利きの職人が不可欠。そこで、あなたにメ・ナーゴの力になってほしいってわけ。			さっそく、彼女は事業を始めたようだけど、安定して商品を仕入れるには、腕利きの職人が不可欠。そこで、あなたにメ・ナーゴの力になってほしいってわけ。			お得意様メ・ナーゴ							
彼女、商人としてはまだまだ新米だけど、闘士として長年戦ってきた根性があるから、きっと成功するはず。なにより、あの子には大きな目的があるようだからね。			彼女、商人としてはまだまだ新米だけど、闘士として長年戦ってきた根性があるから、きっと成功するはず。なにより、あの子には大きな目的があるようだからね。			お得意様メ・ナーゴ							
無理強いはしないけど、引き受けてくれるんだったら、メ・ナーゴから話を聞いてちょうだい。			無理強いはしないけど、引き受けてくれるんだったら、メ・ナーゴから話を聞いてちょうだい。			お得意様メ・ナーゴ							
収集品取引を始めた、メ・ナーゴに協力してほしいの。無理強いはしないけど、引き受けてくれるんだったら、彼女から話を聞いてちょうだい。			収集品取引を始めた、メ・ナーゴに協力してほしいの。無理強いはしないけど、引き受けてくれるんだったら、彼女から話を聞いてちょうだい。			お得意様メ・ナーゴ							
おつかれさまです、Forenameさん。リセにご用でしたら……			おつかれさまです、Forenameさん。リセにご用でしたら……			お得意様メ・ナーゴ							
ええっ！？私の収集品取引を手伝ってくださるですって……？			ええっ！？私の収集品取引を手伝ってくださるですって……？			お得意様メ・ナーゴ							
……そうでしたか。まさか、Forenameさんが、職人としても活躍してきたとは、いやはや驚きました。			……そうでしたか。まさか、Forenameさんが、職人としても活躍してきたとは、いやはや驚きました。			お得意様メ・ナーゴ							
祖国の「解放者」に手伝っていただけるなんて、ただただ恐縮してしまいますが、是非ともよろしくお願いします。			祖国の「解放者」に手伝っていただけるなんて、ただただ恐縮してしまいますが、是非ともよろしくお願いします。			お得意様メ・ナーゴ							
ところで、なぜ私が急に収集品取引を始めたのか、きっと疑問に思われたことでしょう。それというのも、死んでいった仲間たちのためなんです……。			ところで、なぜ私が急に収集品取引を始めたのか、きっと疑問に思われたことでしょう。それというのも、死んでいった仲間たちのためなんです……。			お得意様メ・ナーゴ							
解放が成し遂げられ、アラミゴは復興に向けて動き出しました。リセとラウバーン閣下は、この勝ち取った自由を護ろうと、解放軍を率いてくれています。			解放が成し遂げられ、アラミゴは復興に向けて動き出しました。リセとラウバーン閣下は、この勝ち取った自由を護ろうと、解放軍を率いてくれています。			お得意様メ・ナーゴ							
そして、目下の戦いを終えた私は、これから何をすべきなのか。ずっと考えていました。			そして、目下の戦いを終えた私は、これから何をすべきなのか。ずっと考えていました。			お得意様メ・ナーゴ							
そんなとき、代価の墓地に墓参りにきた、死んだ仲間の遺族たちと出会い、知ったんです。大切な家族を失い、生活に困っている彼らの現実を……。			そんなとき、代価の墓地に墓参りにきた、死んだ仲間の遺族たちと出会い、知ったんです。大切な家族を失い、生活に困っている彼らの現実を……。			お得意様メ・ナーゴ							
大きな戦いの後ですから、みんな余裕なんてありませんが、稼ぎ頭を失った遺族たちは、より困窮しているようでした。			大きな戦いの後ですから、みんな余裕なんてありませんが、稼ぎ頭を失った遺族たちは、より困窮しているようでした。			お得意様メ・ナーゴ							
そこで、私は戦没者遺族の生活を支えるため、給付金を贈ることを思いついたのです。それこそ、生き残った私がすべきことだと確信しました。			そこで、私は戦没者遺族の生活を支えるため、給付金を贈ることを思いついたのです。それこそ、生き残った私がすべきことだと確信しました。			お得意様メ・ナーゴ							
でも、戦いに明け暮れてきた私に、給付金の資金を集めることは、至難の業です。得意の狩りで得た獲物を換金しても、雀の涙ほどにしかなりません。			でも、戦いに明け暮れてきた私に、給付金の資金を集めることは、至難の業です。得意の狩りで得た獲物を換金しても、雀の涙ほどにしかなりません。			お得意様メ・ナーゴ							
途方に暮れていたところ、ガリエナさんから、収集品取引の話を聞き、願ってもないことと飛びついた次第です。			途方に暮れていたところ、ガリエナさんから、収集品取引の話を聞き、願ってもないことと飛びついた次第です。			お得意様メ・ナーゴ							
開業したての新米ですが、どうか、私をあなたの「お得意様」にしてくださいませんか！？死んでいった仲間のためにも、精一杯頑張りますから！			開業したての新米ですが、どうか、私をあなたの「お得意様」にしてくださいませんか！？死んでいった仲間のためにも、精一杯頑張りますから！			お得意様メ・ナーゴ							
もちろん、収集品を納品していただく報酬として、Forenameさんに、ロウェナ商会のスクリップをお支払いしますよ。			もちろん、収集品を納品していただく報酬として、Forenameさんに、ロウェナ商会のスクリップをお支払いしますよ。			お得意様メ・ナーゴ							
さっそくですが、取引のお話をさせてください。最初に取引をお願いしたい収集品、それは、「ギラバニアの名産品」です。			さっそくですが、取引のお話をさせてください。最初に取引をお願いしたい収集品、それは、「ギラバニアの名産品」です。			お得意様メ・ナーゴ							
アラミゴが解放され、お隣のグリダニアとの交易が始りました。そこで、ギラバニアならではの品物を用意すれば、きっと、森都の好事家に珍しがってもらえるはず。			アラミゴが解放され、お隣のグリダニアとの交易が始りました。そこで、ギラバニアならではの品物を用意すれば、きっと、森都の好事家に珍しがってもらえるはず。			お得意様メ・ナーゴ							
それでは、Forenameさん、「ギラバニアの名産品」の納品、よろしくお願いします！			それでは、Forenameさん、「ギラバニアの名産品」の納品、よろしくお願いします！			お得意様メ・ナーゴ							
野戦病院のアラミゴ解放軍の負傷兵は、虚ろな目で冒険者を見つめている。			野戦病院のアラミゴ解放軍の負傷兵は、虚ろな目で冒険者を見つめている。			親の心子知らず							
アラガーナの息子を待つ母親に血塗れのバンダナを渡す			アラガーナの息子を待つ母親に血塗れのバンダナを渡す			親の心子知らず							
なあ、アンタ。俺の話を聞いてくれないか？			なあ、アンタ。俺の話を聞いてくれないか？			親の心子知らず							
俺には、故郷に残してきた母親がいるんだ。アラミゴ奪還を夢見て、反対を押し切って家を飛び出し、解放軍に志願したんだが……。			俺には、故郷に残してきた母親がいるんだ。アラミゴ奪還を夢見て、反対を押し切って家を飛び出し、解放軍に志願したんだが……。			親の心子知らず							
先の帝国軍の襲撃で、やられちまって見てのとおりの有様さ。生死を彷徨って、どうにかこの世に留まることができて、ようやく母親の忠告の意味がわかってな。			先の帝国軍の襲撃で、やられちまって見てのとおりの有様さ。生死を彷徨って、どうにかこの世に留まることができて、ようやく母親の忠告の意味がわかってな。			親の心子知らず							
よければ、俺の代わりに、この「血塗れのバンダナ」を、アラガーナにいる母親に渡してきてくれないだろうか？			よければ、俺の代わりに、この「血塗れのバンダナ」を、アラガーナにいる母親に渡してきてくれないだろうか？			親の心子知らず							
そして一言、ありがとうと伝えてほしい。喧嘩別れしたままにしておきたくないんだ……。頼んだぜ……。			そして一言、ありがとうと伝えてほしい。喧嘩別れしたままにしておきたくないんだ……。頼んだぜ……。			親の心子知らず							
この「血塗れのバンダナ」を、アラガーナにいる母親に渡してきてくれないだろうか？そして一言、ありがとうと伝えてほしい。			この「血塗れのバンダナ」を、アラガーナにいる母親に渡してきてくれないだろうか？そして一言、ありがとうと伝えてほしい。			親の心子知らず							
何でしょう、私に何かご用でも？			何でしょう、私に何かご用でも？			親の心子知らず							
これは……私が息子の誕生日に贈ったバンダナ……！？これを届けに来たということは、息子は……。			これは……私が息子の誕生日に贈ったバンダナ……！？これを届けに来たということは、息子は……。			親の心子知らず							
よ、よかった……生きてはいるのね！？危険だからと、何度も止めようとしたのだけれど、あの子は言うことを聞かず、喧嘩別れになってしまって……。			よ、よかった……生きてはいるのね！？危険だからと、何度も止めようとしたのだけれど、あの子は言うことを聞かず、喧嘩別れになってしまって……。			親の心子知らず							
そんな息子が「ありがとう」だなんてねぇ……。でも、このバンダナを返したということは、息子はきっと、まだ戦い続けるつもりなのでしょう？			そんな息子が「ありがとう」だなんてねぇ……。でも、このバンダナを返したということは、息子はきっと、まだ戦い続けるつもりなのでしょう？			親の心子知らず							
生死を彷徨ってなお、戦い続けるほど決意が固いのなら、もう止められない……。だから、祈り続けて無事の帰還を待つことにするわ。			生死を彷徨ってなお、戦い続けるほど決意が固いのなら、もう止められない……。だから、祈り続けて無事の帰還を待つことにするわ。			親の心子知らず							
ラールガーズリーチの実直な酒保商人は、協力してくれる人を探しているようだ。			ラールガーズリーチの実直な酒保商人は、協力してくれる人を探しているようだ。			カリスマ実演販売士							
実直な酒保商人と話す			実直な酒保商人と話す			カリスマ実演販売士							
指定地点に向かい、吹き矢で的を撃つ			指定地点に向かい、吹き矢で的を撃つ			カリスマ実演販売士							
実直な酒保商人と話す			実直な酒保商人と話す			カリスマ実演販売士							
なあ、あんた。少しばかり、俺に協力してくれないか？			なあ、あんた。少しばかり、俺に協力してくれないか？			カリスマ実演販売士							
ラールガーズリーチが帝国軍に奇襲されたと聞いて、ありったけの物資を集めて、急いで運んで来たんだ。			ラールガーズリーチが帝国軍に奇襲されたと聞いて、ありったけの物資を集めて、急いで運んで来たんだ。			カリスマ実演販売士							
そのひとつに「吹き矢」があるんだが、どうにも有用性が、解放軍の兵士に伝わらないようでね。すまないが、試し打ちに付き合ってくれないか？			そのひとつに「吹き矢」があるんだが、どうにも有用性が、解放軍の兵士に伝わらないようでね。すまないが、試し打ちに付き合ってくれないか？			カリスマ実演販売士							
その実力が証明できれば、解放軍も喜んで使ってくれるだろう。さぁさぁ、善は急げと言うし、さっそくこっちに来てくれ。的がある場所まで、案内するよ。			その実力が証明できれば、解放軍も喜んで使ってくれるだろう。さぁさぁ、善は急げと言うし、さっそくこっちに来てくれ。的がある場所まで、案内するよ。			カリスマ実演販売士							
こいつは、子どもの玩具か？とても武器として使えるように見えないのだが……。			こいつは、子どもの玩具か？とても武器として使えるように見えないのだが……。			カリスマ実演販売士							
的を4つ用意しておいた。そこから「吹き矢」を使って、的に命中させてくれ。慎重に狙いを定めて、勢いよく吹くのがコツらしいぞ！			的を4つ用意しておいた。そこから「吹き矢」を使って、的に命中させてくれ。慎重に狙いを定めて、勢いよく吹くのがコツらしいぞ！			カリスマ実演販売士							
こいつは、子どもの玩具か？とても武器として使えるように見えないのだが……。			こいつは、子どもの玩具か？とても武器として使えるように見えないのだが……。			カリスマ実演販売士							
的を4つ用意しておいた。そこから「吹き矢」を使って、的に命中させてくれ。慎重に狙いを定めて、勢いよく吹くのがコツらしいぞ！			的を4つ用意しておいた。そこから「吹き矢」を使って、的に命中させてくれ。慎重に狙いを定めて、勢いよく吹くのがコツらしいぞ！			カリスマ実演販売士							
見事なもんだね！こちらの兵士さんも、感心した様子だったよ。			見事なもんだね！こちらの兵士さんも、感心した様子だったよ。			カリスマ実演販売士							
これだけの飛距離と命中精度があれば、矢に毒薬を塗ることで、立派な武器になるはずさ。戦力のひとつとして自信を持って、紹介できそうだよ。			これだけの飛距離と命中精度があれば、矢に毒薬を塗ることで、立派な武器になるはずさ。戦力のひとつとして自信を持って、紹介できそうだよ。			カリスマ実演販売士							
実は、こいつは黒衣森に移住した、アラミゴ出身者が、ぜひ解放軍にと勧めてくれたものなんだ。現地の猟師たちが使っているのを見て、これはと思ったらしい。			実は、こいつは黒衣森に移住した、アラミゴ出身者が、ぜひ解放軍にと勧めてくれたものなんだ。現地の猟師たちが使っているのを見て、これはと思ったらしい。			カリスマ実演販売士							
