漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			海の流星							
女の子のお尻を追いかけて……なら、いつものことだけど、どうも都市外にまで出かけてるみたいで……。			女の子のお尻を追いかけて……なら、いつものことだけど、どうも都市外にまで出かけてるみたいで……。			海の流星							
ただの釣りなら、こっそり行くこともないでしょう？私が聞いても、はぐらかされるだけだから……あなたから「ワワラゴ」親分に、探りを入れてくれないかしら？			ただの釣りなら、こっそり行くこともないでしょう？私が聞いても、はぐらかされるだけだから……あなたから「ワワラゴ」親分に、探りを入れてくれないかしら？			海の流星							
「ワワラゴ」親分が、コソコソ都市外へ出かけてるの。いったい何をしてるのか、聞いてみてくれない？あなたになら、答えてくれるかも……。			「ワワラゴ」親分が、コソコソ都市外へ出かけてるの。いったい何をしてるのか、聞いてみてくれない？あなたになら、答えてくれるかも……。			海の流星							
……な、なんぢやと！？最近、ワシの行動がおかしいとな……！そ、そんなことは……って、言い訳も限界ぢやな……。			……な、なんぢやと！？最近、ワシの行動がおかしいとな……！そ、そんなことは……って、言い訳も限界ぢやな……。			海の流星							
まさか、シシプちゃんに疑われておったとは……。いやはや、隠し事とは難しいものぢや。			まさか、シシプちゃんに疑われておったとは……。いやはや、隠し事とは難しいものぢや。			海の流星							
わかったぞい、チミには真実を話すとしよう。ちょうどこの後、「彼」と会う約束をしておったし、腕利きの漁師であるチミの協力も得たいでの……。			わかったぞい、チミには真実を話すとしよう。ちょうどこの後、「彼」と会う約束をしておったし、腕利きの漁師であるチミの協力も得たいでの……。			海の流星							
だが、ここで話すのは、ちと具合が悪いのぢや。低地ラノシアの「ゴッズグリップ」で待ち合わせようぞい。			だが、ここで話すのは、ちと具合が悪いのぢや。低地ラノシアの「ゴッズグリップ」で待ち合わせようぞい。			海の流星							
……それと、待ち合わせの前に、「シシプ」ちゃんへ、よしなに伝えておいてくれぬかのう？悪いことをしておるわけではないから、心配するなと。			……それと、待ち合わせの前に、「シシプ」ちゃんへ、よしなに伝えておいてくれぬかのう？悪いことをしておるわけではないから、心配するなと。			海の流星							
「シシプ」ちゃんに、伝言は伝えてくれたかの？それなら、低地ラノシアの「ゴッズグリップ」で、待ち合わせようぞい。			「シシプ」ちゃんに、伝言は伝えてくれたかの？それなら、低地ラノシアの「ゴッズグリップ」で、待ち合わせようぞい。			海の流星							
……そう、とりあえず悪いことをしているわけではないのね？わかったわ、親分がそう言うなら信じましょう。			……そう、とりあえず悪いことをしているわけではないのね？わかったわ、親分がそう言うなら信じましょう。			海の流星							
何を隠しているか知らないけど……もし、親分が相談してきたら力になってあげてくれる？あんな風にコソコソする親分、気持ち悪いもの……。			何を隠しているか知らないけど……もし、親分が相談してきたら力になってあげてくれる？あんな風にコソコソする親分、気持ち悪いもの……。			海の流星							
親分が相談してきたら、力になってあげて。ワワラゴ親分のお目付け役にもなるしね……。			親分が相談してきたら、力になってあげて。ワワラゴ親分のお目付け役にもなるしね……。			海の流星							
冒険者クン、待たせたのう。彼も、まもなく到着すると思うのぢやが……。			冒険者クン、待たせたのう。彼も、まもなく到着すると思うのぢやが……。			海の流星							
(-？？？？-)フスィーッ……貴様、何奴だ！！			(-？？？？-)フスィーッ……貴様、何奴だ！！			海の流星							
おお、ゴォヴクン！　警戒は無用ぢやぞい！彼女彼は凄腕の漁師、Forenameクン……。チミとのことを話して、協力してもらうために呼んだのぢや。			おお、ゴォヴクン！　警戒は無用ぢやぞい！彼女彼は凄腕の漁師、Forenameクン……。チミとのことを話して、協力してもらうために呼んだのぢや。			海の流星							
彼は、ゴォヴクンと言っての……。ある日、仕事を抜けだして釣りを楽しんでいたところ、ワシの釣り針に、彼が引っかかったのぢやよ！			彼は、ゴォヴクンと言っての……。ある日、仕事を抜けだして釣りを楽しんでいたところ、ワシの釣り針に、彼が引っかかったのぢやよ！			海の流星							
サハギン族と漁師は、因縁浅からぬ仲……。ワシらも最初こそ、喧嘩になったのぢやが……互いの海を愛する心を確認しあったことで仲良くなったのぢや！			サハギン族と漁師は、因縁浅からぬ仲……。ワシらも最初こそ、喧嘩になったのぢやが……互いの海を愛する心を確認しあったことで仲良くなったのぢや！			海の流星							
なんでも、ゴォヴクンは、ラノシア海から姿を消した、あるお魚さんを探し求めているらしくての……。			なんでも、ゴォヴクンは、ラノシア海から姿を消した、あるお魚さんを探し求めているらしくての……。			海の流星							
彼が探しているのは、サハギン族が「海の流星」と呼ぶ、真紅のお魚さんだそうぢや。その優雅な群れは、多くのサハギン族を魅了したとか……。			彼が探しているのは、サハギン族が「海の流星」と呼ぶ、真紅のお魚さんだそうぢや。その優雅な群れは、多くのサハギン族を魅了したとか……。			海の流星							
ゴォヴクン曰く、「海の流星」は、特定の季節にのみ、ラノシア海を訪れるお魚さんだったとか。恐らく、産卵と子育てを違う地方でする回遊魚なのぢやろう。			ゴォヴクン曰く、「海の流星」は、特定の季節にのみ、ラノシア海を訪れるお魚さんだったとか。恐らく、産卵と子育てを違う地方でする回遊魚なのぢやろう。			海の流星							
……ぢやが、霊災以後、「海の流星」はその数を減らしていき、ついに、来訪の季節を過ぎても姿を現さなかったらしいのぢや。それに一念発起したのが、ゴォヴクンでな！			……ぢやが、霊災以後、「海の流星」はその数を減らしていき、ついに、来訪の季節を過ぎても姿を現さなかったらしいのぢや。それに一念発起したのが、ゴォヴクンでな！			海の流星							
フスィーッ……同族の仲間は、種の消失は自然の摂理だと、「海の流星」は死に絶えたのだと、決めてかかっていた。だが、あの美しい魚が滅びたなど、俺は信じない！			フスィーッ……同族の仲間は、種の消失は自然の摂理だと、「海の流星」は死に絶えたのだと、決めてかかっていた。だが、あの美しい魚が滅びたなど、俺は信じない！			海の流星							
そこで、俺はひとり「海の流星」を探すことにしたのだ。その捜索の途中、「海の流星」がかつて暮らしていた地域に、釣り糸が垂れているのを見つけてな……。			そこで、俺はひとり「海の流星」を探すことにしたのだ。その捜索の途中、「海の流星」がかつて暮らしていた地域に、釣り糸が垂れているのを見つけてな……。			海の流星							
てっきり、ヒトが「海の流星」減少の原因かと食いついたら、それが、ワワラゴ親分の釣り針だったというわけだ！			てっきり、ヒトが「海の流星」減少の原因かと食いついたら、それが、ワワラゴ親分の釣り針だったというわけだ！			海の流星							
「海の流星」が、どんなお魚さんかはわからぬが、ひとつの種が、この海から姿を消そうとしておるのかもしれぬ。ゴォヴクンの話を聞いて、ワシも協力を決めたのぢやよ！			「海の流星」が、どんなお魚さんかはわからぬが、ひとつの種が、この海から姿を消そうとしておるのかもしれぬ。ゴォヴクンの話を聞いて、ワシも協力を決めたのぢやよ！			海の流星							
ぢやが、ギルドマスターという立場もあり、捜索のための相談や遠出も、頻繁にはできなくてのう……。そこで、冒険者クンにも捜索を手伝ってほしいのぢや。			ぢやが、ギルドマスターという立場もあり、捜索のための相談や遠出も、頻繁にはできなくてのう……。そこで、冒険者クンにも捜索を手伝ってほしいのぢや。			海の流星							
……ワワラゴ親分の、海を愛する心や魚への知識は、サハギン族にも通じるものがあると感じたので協力を請うた。だが、どこの魚の骨とも知れぬ者に協力を頼む必要があるのか？			……ワワラゴ親分の、海を愛する心や魚への知識は、サハギン族にも通じるものがあると感じたので協力を請うた。だが、どこの魚の骨とも知れぬ者に協力を頼む必要があるのか？			海の流星							
もちろんぢや！　彼女彼ほど、うってつけの人材はいないぞい！各地を旅して釣りに励んでおる腕利き漁師の協力があれば、きっと「海の流星」も見つかるはずぢや！			もちろんぢや！　彼女彼ほど、うってつけの人材はいないぞい！各地を旅して釣りに励んでおる腕利き漁師の協力があれば、きっと「海の流星」も見つかるはずぢや！			海の流星							
冒険者クンほど、うってつけの人材はいないぞい！旅の経験が豊富なうえに、サハギン族の友人もいると聞く。その協力が得られれば、「海の流星」も見つかるはずぢや！			冒険者クンほど、うってつけの人材はいないぞい！旅の経験が豊富なうえに、サハギン族の友人もいると聞く。その協力が得られれば、「海の流星」も見つかるはずぢや！			海の流星							
フスィーッ……ワワラゴ親分がそうまで言うなら……。……では、俺は捜索に戻るが、今後はよろしく頼むぞ。			フスィーッ……ワワラゴ親分がそうまで言うなら……。……では、俺は捜索に戻るが、今後はよろしく頼むぞ。			海の流星							
……とまあ、そういうわけぢや。海の環境を守るのも、我ら漁師の使命……。「海の流星」の捜索に協力してもらえると嬉しいぞい！			……とまあ、そういうわけぢや。海の環境を守るのも、我ら漁師の使命……。「海の流星」の捜索に協力してもらえると嬉しいぞい！			海の流星							
さて、ワシらも一度「漁師ギルド」へ戻らねば。急がないと、シシプちゃんにまた怪しまれてしまうのでな！			さて、ワシらも一度「漁師ギルド」へ戻らねば。急がないと、シシプちゃんにまた怪しまれてしまうのでな！			海の流星							
なんとか、シシプちゃんに怪しまれず戻ってこれたぞい。さて、実はさっき、ひとつ説明しなかったことがあってのう。ゴォヴクンのことを、シシプちゃんに隠してる理由ぢや……。			なんとか、シシプちゃんに怪しまれず戻ってこれたぞい。さて、実はさっき、ひとつ説明しなかったことがあってのう。ゴォヴクンのことを、シシプちゃんに隠してる理由ぢや……。			海の流星							
シシプちゃんは、故郷をサハギン族に襲われたことがあってな。ゴォヴクンは、決して悪いサハギン族ではないが……彼女にも、そう思ってもらえるとは限らんでのう。			シシプちゃんは、故郷をサハギン族に襲われたことがあってな。ゴォヴクンは、決して悪いサハギン族ではないが……彼女にも、そう思ってもらえるとは限らんでのう。			海の流星							
この件は、シシプちゃんには黙っておいておくれ……。今後のチミへの連絡は、ワシが受け持つでの。			この件は、シシプちゃんには黙っておいておくれ……。今後のチミへの連絡は、ワシが受け持つでの。			海の流星							
といっても、今はまだサハギン族が「海の流星」と呼ぶ魚が、いったい、我らヒトの言葉で何を指すのかもわかっておらん……。ワシも心当たりをあたるので、しばらく待ってほしいぞい！			といっても、今はまだサハギン族が「海の流星」と呼ぶ魚が、いったい、我らヒトの言葉で何を指すのかもわかっておらん……。ワシも心当たりをあたるので、しばらく待ってほしいぞい！			海の流星							
「漁師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、漁師ギルドのワワラゴから受注可能です。			「漁師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、漁師ギルドのワワラゴから受注可能です。			海の流星							
今後の「漁師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「漁師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			海の流星							
漁師ギルドのシシプは冒険者に頼み事があるようだ。			漁師ギルドのシシプは冒険者に頼み事があるようだ。			釣り道楽、故郷に帰る							
前回までの冒険録：伝説の釣り人にして漁師ギルドマスターである、ワワラゴ。彼に代わって、けなげにギルドマスター代行の仕事をこなすシシプが、大弱りしていた。伝説の「大海蛇」が出たという噂が立ち、黒渦団から禁漁を命じられたのだ。冒険者はワワラゴの助言により、「大海蛇」と見間違えられた「マズラヤマーリン」を釣り上げ、みごと禁漁を取りやめさせる。漁師ギルドの危機を救った冒険者の腕前に、シシプは惜しみない賛辞を贈るのだった……。　　　　　　　　　　　　*　*　*シシプから、来客の忘れ物を届けるよう頼まれた。溺れた海豚亭の「アンソールム」に「使い込まれた釣り竿」を渡そう。			前回までの冒険録：伝説の釣り人にして漁師ギルドマスターである、ワワラゴ。彼に代わって、けなげにギルドマスター代行の仕事をこなすシシプが、大弱りしていた。伝説の「大海蛇」が出たという噂が立ち、黒渦団から禁漁を命じられたのだ。冒険者はワワラゴの助言により、「大海蛇」と見間違えられた「マズラヤマーリン」を釣り上げ、みごと禁漁を取りやめさせる。漁師ギルドの危機を救った冒険者の腕前に、シシプは惜しみない賛辞を贈るのだった……。　　　　　　　　　　　　*　*　*シシプから、来客の忘れ物を届けるよう頼まれた。溺れた海豚亭の「アンソールム」に「使い込まれた釣り竿」を渡そう。			釣り道楽、故郷に帰る							
アンソールムに使い込まれた釣り竿を渡した。アンソールムは、冒険者の釣果に興味を示し、故国を訪ねるよう誘うと去っていった。イシュガルドの忘れられた騎士亭にいる「アンソールム」と話そう。			アンソールムに使い込まれた釣り竿を渡した。アンソールムは、冒険者の釣果に興味を示し、故国を訪ねるよう誘うと去っていった。イシュガルドの忘れられた騎士亭にいる「アンソールム」と話そう。			釣り道楽、故郷に帰る							
アンソールムは、冒険者に珍しい釣り場を紹介してくれるようだ。頃合いの時節が訪れるまで、釣りの腕を磨いておこう。※漁師のレベルが53以上になると、忘れられた騎士亭のアンソールムから次の漁師クエストを受注することができます。			アンソールムは、冒険者に珍しい釣り場を紹介してくれるようだ。頃合いの時節が訪れるまで、釣りの腕を磨いておこう。※漁師のレベルが53以上になると、忘れられた騎士亭のアンソールムから次の漁師クエストを受注することができます。			釣り道楽、故郷に帰る							
溺れた海豚亭のアンソールムに使い込まれた釣り竿を渡す			溺れた海豚亭のアンソールムに使い込まれた釣り竿を渡す			釣り道楽、故郷に帰る							
イシュガルドのアンソールムと話す			イシュガルドのアンソールムと話す			釣り道楽、故郷に帰る							
あら、いいところに来てくれたわね！ちょっと用事を頼まれてもらえないかしら……？			あら、いいところに来てくれたわね！ちょっと用事を頼まれてもらえないかしら……？			釣り道楽、故郷に帰る							
実は、さっきワワラゴ親分を訪ねてきたお客さんが、「使い込まれた釣り竿」を忘れていっちゃってね……。これを、そのお客さんに届けてほしいの。			実は、さっきワワラゴ親分を訪ねてきたお客さんが、「使い込まれた釣り竿」を忘れていっちゃってね……。これを、そのお客さんに届けてほしいの。			釣り道楽、故郷に帰る							
もちろん、ただのおつかいじゃないわよ？その人、世界中を釣り歩いてる旅の釣り人なんですって。親分とも、すごい秘境にある釣り場の話で盛り上がってたわ。			もちろん、ただのおつかいじゃないわよ？その人、世界中を釣り歩いてる旅の釣り人なんですって。親分とも、すごい秘境にある釣り場の話で盛り上がってたわ。			釣り道楽、故郷に帰る							
ギルドいちの漁師であるForenameなら、話も合うでしょうし、有益な情報も聞けるんじゃないかしら。			ギルドいちの漁師であるForenameなら、話も合うでしょうし、有益な情報も聞けるんじゃないかしら。			釣り道楽、故郷に帰る							
もしかしたら、私たちの知らない、遠方の釣り場を教えてもらえるかも……。そうしたら、あなたの腕を十二分に振るってくるといいわよ！			もしかしたら、私たちの知らない、遠方の釣り場を教えてもらえるかも……。そうしたら、あなたの腕を十二分に振るってくるといいわよ！			釣り道楽、故郷に帰る							
お客さんは「アンソールム」さんっていうエレゼン族の方よ。今なら、まだ「溺れた海豚亭」にいると思うわ！			お客さんは「アンソールム」さんっていうエレゼン族の方よ。今なら、まだ「溺れた海豚亭」にいると思うわ！			釣り道楽、故郷に帰る							
お客さんは「アンソールム」さんっていうエレゼン族の方よ。今なら、まだ「溺れた海豚亭」にいると思うわ！			お客さんは「アンソールム」さんっていうエレゼン族の方よ。今なら、まだ「溺れた海豚亭」にいると思うわ！			釣り道楽、故郷に帰る							
さて、この街の眺めも見納めかね。…………ん、お前さん、オレに何か用かい？			さて、この街の眺めも見納めかね。…………ん、お前さん、オレに何か用かい？			釣り道楽、故郷に帰る							
おっと、こいつは愛用の釣り竿じゃねえか！久しぶりにワワラゴ親分と会えて、はしゃぎすぎたかね。オレとしたことが、相棒を忘れちまうとは！			おっと、こいつは愛用の釣り竿じゃねえか！久しぶりにワワラゴ親分と会えて、はしゃぎすぎたかね。オレとしたことが、相棒を忘れちまうとは！			釣り道楽、故郷に帰る							
いやあ、わざわざすまねぇなあ。ところで、お前さんも漁師ギルドの者かい？さっき、顔を見せたときにはいなかったようだが。			いやあ、わざわざすまねぇなあ。ところで、お前さんも漁師ギルドの者かい？さっき、顔を見せたときにはいなかったようだが。			釣り道楽、故郷に帰る							
ほほう、なるほど！釣りを愛する者が、会いにきてくれるとは嬉しいねえ。今まで、どんな釣りをしてきたんだい？			ほほう、なるほど！釣りを愛する者が、会いにきてくれるとは嬉しいねえ。今まで、どんな釣りをしてきたんだい？			釣り道楽、故郷に帰る							
……なんと、漁師ギルドの危機を救った英雄はお前さんか！ってぇことは、ワワラゴ親分にも劣らぬ腕の持ち主なんだな。			……なんと、漁師ギルドの危機を救った英雄はお前さんか！ってぇことは、ワワラゴ親分にも劣らぬ腕の持ち主なんだな。			釣り道楽、故郷に帰る							
……なんと、「ネプトの竜」を釣り上げたのはお前さんか！伝説の巨大魚を釣った釣り人の噂は、あちこちで聞いてるぞ。			……なんと、「ネプトの竜」を釣り上げたのはお前さんか！伝説の巨大魚を釣った釣り人の噂は、あちこちで聞いてるぞ。			釣り道楽、故郷に帰る							
こいつは、面白い姉ちゃん兄ちゃんと知り合えたもんだぜ。実は、オレの故国はイシュガルドなんだ。しばらく里帰りしてる予定だから、ぜひ訪ねてきてくれ！			こいつは、面白い姉ちゃん兄ちゃんと知り合えたもんだぜ。実は、オレの故国はイシュガルドなんだ。しばらく里帰りしてる予定だから、ぜひ訪ねてきてくれ！			釣り道楽、故郷に帰る							
「忘れられた騎士亭」って酒場が、オレの行きつけだからよ。珍しい釣り場も紹介してやれると思うから、イシュガルドに来る機会があれば、よろしくな！			「忘れられた騎士亭」って酒場が、オレの行きつけだからよ。珍しい釣り場も紹介してやれると思うから、イシュガルドに来る機会があれば、よろしくな！			釣り道楽、故郷に帰る							
「アンソールム」さんの忘れ物は届けられた？ギルドいちの漁師であるForenameなら、話も合うでしょうし、有益な情報も聞けるんじゃないかしら。			「アンソールム」さんの忘れ物は届けられた？ギルドいちの漁師であるForenameなら、話も合うでしょうし、有益な情報も聞けるんじゃないかしら。			釣り道楽、故郷に帰る							
おっ、よく来たな！へへへっ、お前さんの経験したことのない珍しい釣り場を、いろいろと教えてやろうじゃねえか。			おっ、よく来たな！へへへっ、お前さんの経験したことのない珍しい釣り場を、いろいろと教えてやろうじゃねえか。			釣り道楽、故郷に帰る							
ここんとこ、クルザスの気候も落ち着いてきてるらしい。頃合いの時節が到来したら、また教えるから、たまに、ここに顔を出してくれよ！			ここんとこ、クルザスの気候も落ち着いてきてるらしい。頃合いの時節が到来したら、また教えるから、たまに、ここに顔を出してくれよ！			釣り道楽、故郷に帰る							
「漁師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、忘れられた騎士亭のアンソールムから受注可能です。			「漁師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、忘れられた騎士亭のアンソールムから受注可能です。			釣り道楽、故郷に帰る							
今後の「漁師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「漁師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			釣り道楽、故郷に帰る							
また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			釣り道楽、故郷に帰る							
漁師ギルドのワワラゴは、ひどく慌てているようだ。			漁師ギルドのワワラゴは、ひどく慌てているようだ。			釣り道楽との再会							
ゴォヴが、急に飛び出していってしまったらしい。ギラバニア辺境地帯のパイクフォールズに向かい、ワワラゴが呼んだ釣り道楽の協力者と合流しよう。			ゴォヴが、急に飛び出していってしまったらしい。ギラバニア辺境地帯のパイクフォールズに向かい、ワワラゴが呼んだ釣り道楽の協力者と合流しよう。			釣り道楽との再会							
釣り道楽の協力者とは、レイナのことだった。ゴォヴを連れ戻すため、彼と勝負することになった。「ダークベロジナカープ」を3匹釣り上げ、パイクフォールズの「レイナ」に納品しよう。ダークベロジナカープは、ベロジナ川で釣ることができるようだ。			釣り道楽の協力者とは、レイナのことだった。ゴォヴを連れ戻すため、彼と勝負することになった。「ダークベロジナカープ」を3匹釣り上げ、パイクフォールズの「レイナ」に納品しよう。ダークベロジナカープは、ベロジナ川で釣ることができるようだ。			釣り道楽との再会							
ゴォヴとの勝負に勝利した。「海の流星」は東方で産卵をする回遊魚の可能性が高そうだ。漁師ギルドに戻り、「ワワラゴ」に報告しよう。			ゴォヴとの勝負に勝利した。「海の流星」は東方で産卵をする回遊魚の可能性が高そうだ。漁師ギルドに戻り、「ワワラゴ」に報告しよう。			釣り道楽との再会							
ワワラゴに、レイナが東方へ調査に向かってくれたことを報告した。レイナの推理力に感服したワワラゴは、彼女と出会える日が待ち遠しいようだ。※漁師のレベルが65以上になると、漁師ギルドのワワラゴから次の漁師クエストを受注することができます。			ワワラゴに、レイナが東方へ調査に向かってくれたことを報告した。レイナの推理力に感服したワワラゴは、彼女と出会える日が待ち遠しいようだ。※漁師のレベルが65以上になると、漁師ギルドのワワラゴから次の漁師クエストを受注することができます。			釣り道楽との再会							
パイクフォールズに向かい、釣り道楽の協力者と合流			パイクフォールズに向かい、釣り道楽の協力者と合流			釣り道楽との再会							
ベロジナ川でダークベロジナカープを釣るパイクフォールズのレイナにダークベロジナカープを納品			ベロジナ川でダークベロジナカープを釣るパイクフォールズのレイナにダークベロジナカープを納品			釣り道楽との再会							
漁師ギルドのワワラゴに報告			漁師ギルドのワワラゴに報告			釣り道楽との再会							
あ、冒険者クン、大変ぢやよ！ゴォヴクンが、急に飛び出して……いや、飛び込んでいってしまったのぢや！			あ、冒険者クン、大変ぢやよ！ゴォヴクンが、急に飛び出して……いや、飛び込んでいってしまったのぢや！			釣り道楽との再会							
さっき、この間のようにゴォヴクンと落ち合ったら、急に、「海の流星」がいなくなった原因がわかったと……！ベロジナ川へ向かうと言い残し、泳いでいってしまっての。			さっき、この間のようにゴォヴクンと落ち合ったら、急に、「海の流星」がいなくなった原因がわかったと……！ベロジナ川へ向かうと言い残し、泳いでいってしまっての。			釣り道楽との再会							
彼がどんな発見をしたのかわからぬが、ベロジナ川は、ギラバニア辺境地帯を通っておる……。			彼がどんな発見をしたのかわからぬが、ベロジナ川は、ギラバニア辺境地帯を通っておる……。			釣り道楽との再会							
帝国が支配している地域に、蛮族が泳いでいくなど、あまりにも危険すぎる！急いで、ゴォヴクンを止めねばならぬ！			帝国が支配している地域に、蛮族が泳いでいくなど、あまりにも危険すぎる！急いで、ゴォヴクンを止めねばならぬ！			釣り道楽との再会							
帝国から解放されたばかりで、安定しておらん土地に、蛮族が泳いでいくなど、あまりにも危険すぎる！急いで、ゴォヴクンを止めねばならぬ！			帝国から解放されたばかりで、安定しておらん土地に、蛮族が泳いでいくなど、あまりにも危険すぎる！急いで、ゴォヴクンを止めねばならぬ！			釣り道楽との再会							
ワシも行きたいのぢやが、こっそり向かうには遠すぎる……。そこで、ちょうど協力をお願いしていたクルザスの友人に、リンクパールで、動ける者がおらぬか連絡しておいたぞい！			ワシも行きたいのぢやが、こっそり向かうには遠すぎる……。そこで、ちょうど協力をお願いしていたクルザスの友人に、リンクパールで、動ける者がおらぬか連絡しておいたぞい！			釣り道楽との再会							
ひとり、とびっきりの「釣り道楽」が協力してくれるそうぢや。急ぎ、ギラバニア辺境地帯の「パイクフォールズ」へ向かい、その者と協力して、ゴォヴクンを連れ戻しておくれ！			ひとり、とびっきりの「釣り道楽」が協力してくれるそうぢや。急ぎ、ギラバニア辺境地帯の「パイクフォールズ」へ向かい、その者と協力して、ゴォヴクンを連れ戻しておくれ！			釣り道楽との再会							
急ぎ、ギラバニア辺境地帯の「パイクフォールズ」へ向かい、その者と協力して、ゴォヴクンを連れ戻しておくれ！			急ぎ、ギラバニア辺境地帯の「パイクフォールズ」へ向かい、その者と協力して、ゴォヴクンを連れ戻しておくれ！			釣り道楽との再会							
水の中のことで、サハギン族にケチをつけるとは！			水の中のことで、サハギン族にケチをつけるとは！			釣り道楽との再会							
ハーイ、Forename！　久しぶり！アンソールムに、あたしの腕と経験が必要だって頼まれてね。所領争いで忙しいあいつの代わりに、やってきたよ～。			ハーイ、Forename！　久しぶり！アンソールムに、あたしの腕と経験が必要だって頼まれてね。所領争いで忙しいあいつの代わりに、やってきたよ～。			釣り道楽との再会							
まずは、この先走りサハギンを連れ戻せばいいんだろ？ベロジナ川を泳ぎ回ってたんで、釣り針を放り投げたら、そのまま食いついてきたけど。			まずは、この先走りサハギンを連れ戻せばいいんだろ？ベロジナ川を泳ぎ回ってたんで、釣り針を放り投げたら、そのまま食いついてきたけど。			釣り道楽との再会							
どうも、この川に青燐水が流れていると聞いたようでね。「海の流星」の消失は、青燐水による川の汚染が原因だって、ずっと、その出処を探していたらしいよ……。			どうも、この川に青燐水が流れていると聞いたようでね。「海の流星」の消失は、青燐水による川の汚染が原因だって、ずっと、その出処を探していたらしいよ……。			釣り道楽との再会							
おそらく、帝国の建造物から流れ出てるんだろう。しかし、青燐水が原因とは、ずいぶんな勘違いをしたもんさ。「海の流星」消失とは関係ないって言ったんだけど。			おそらく、帝国の建造物から流れ出てるんだろう。しかし、青燐水が原因とは、ずいぶんな勘違いをしたもんさ。「海の流星」消失とは関係ないって言ったんだけど。			釣り道楽との再会							
フスィーッ……ヒトに川や海のことなどわかるものか！ワワラゴ親分ならともかく、貴様ら程度が魚のことを語るな！			フスィーッ……ヒトに川や海のことなどわかるものか！ワワラゴ親分ならともかく、貴様ら程度が魚のことを語るな！			釣り道楽との再会							
