アラガーナの温厚なキキルン族は、護衛をしてくれる人を探しているようだ。			アラガーナの温厚なキキルン族は、護衛をしてくれる人を探しているようだ。			弱き者の底意地							
これを、親父から渡すよう言われたのか？俺が、発破の技術を、解放軍のために役立ててほしいと、何度頼んでも、頑なに拒否していた親父が……。			これを、親父から渡すよう言われたのか？俺が、発破の技術を、解放軍のために役立ててほしいと、何度頼んでも、頑なに拒否していた親父が……。			時を超えた和解							
親父は、昔から採石業に誇りを持っていてな。石を切りだすことにだけしか、自分の器用な指先を、使おうとしなかったってのに……。			親父は、昔から採石業に誇りを持っていてな。石を切りだすことにだけしか、自分の器用な指先を、使おうとしなかったってのに……。			時を超えた和解							
わざわざ、届けに来てくれて、ありがとな。もう何年も帰っていなかったが、時間ができたら、酒を手土産に、親父に会いにでも行くよ。			わざわざ、届けに来てくれて、ありがとな。もう何年も帰っていなかったが、時間ができたら、酒を手土産に、親父に会いにでも行くよ。			時を超えた和解							
ラジアタのエイブル・アントは、親友の帰りを待っているようだ。			ラジアタのエイブル・アントは、親友の帰りを待っているようだ。			贖罪とは							
赤い肌の大男を探す			赤い肌の大男を探す			贖罪とは							
エイブル・アントに報告			エイブル・アントに報告			贖罪とは							
なあ、親友を探すのを手伝ってくれ。探しまわってるんだが、見つからなくて……。			なあ、親友を探すのを手伝ってくれ。探しまわってるんだが、見つからなくて……。			贖罪とは							
ヤツは、アラギリの西にある、アームズ・オブ・ミードという名の、ラールガー星導教の寺院跡に行くと言って、出て行った。			ヤツは、アラギリの西にある、アームズ・オブ・ミードという名の、ラールガー星導教の寺院跡に行くと言って、出て行った。			贖罪とは							
だが、参道は、とっくの昔に崩れ落ちていて、岩山を飛び越えないと、たどり着けない場所でな。ヤツは、よじ登ってでも行くと言っていたが……。			だが、参道は、とっくの昔に崩れ落ちていて、岩山を飛び越えないと、たどり着けない場所でな。ヤツは、よじ登ってでも行くと言っていたが……。			贖罪とは							
頼む、今すぐアームズ・オブ・ミードに向かって、「赤い肌の大男」を探してみてくれ。			頼む、今すぐアームズ・オブ・ミードに向かって、「赤い肌の大男」を探してみてくれ。			贖罪とは							
今すぐアームズ・オブ・ミードに向かって、「赤い肌の大男」を探してみてくれ。			今すぐアームズ・オブ・ミードに向かって、「赤い肌の大男」を探してみてくれ。			贖罪とは							
すでに事切れている……。魔物に襲われたようだ……。			すでに事切れている……。魔物に襲われたようだ……。			贖罪とは							
おお、戻ったか……で、ヤツはどこだ？話したいことが、たくさんあるんだよ！			おお、戻ったか……で、ヤツはどこだ？話したいことが、たくさんあるんだよ！			贖罪とは							
なに……息絶えてたって……！？そんな……ヤツは、贖罪のために寺院を目指したってのに、ラールガー様……あんまりだぜ。			なに……息絶えてたって……！？そんな……ヤツは、贖罪のために寺院を目指したってのに、ラールガー様……あんまりだぜ。			贖罪とは							
アイツは、ずっと悔やんでたんだ……。同胞たちが懸命に帝国と戦い、血を流している間、武器も持たずに、帝国に荷担する真似をしたことに……。			アイツは、ずっと悔やんでたんだ……。同胞たちが懸命に帝国と戦い、血を流している間、武器も持たずに、帝国に荷担する真似をしたことに……。			贖罪とは							
あの寺院が、罪を犯した信徒が贖罪の荒業を行う場だと知って、ヤツはすがる気持ちで飛び出したんだろう……。			あの寺院が、罪を犯した信徒が贖罪の荒業を行う場だと知って、ヤツはすがる気持ちで飛び出したんだろう……。			贖罪とは							
俺だって、嫌でたまらなかった……！でも、生きるには、仕方なかったんだ。生まれたときから、帝国に支配されてたんだから……。			俺だって、嫌でたまらなかった……！でも、生きるには、仕方なかったんだ。生まれたときから、帝国に支配されてたんだから……。			贖罪とは							
俺は、これからも、罪の意識や同朋の視線に負けずに、しぶとく生き抜いてやる……ヤツの分までな！ヤツを探してくれて、ありがとよ。			俺は、これからも、罪の意識や同朋の視線に負けずに、しぶとく生き抜いてやる……ヤツの分までな！ヤツを探してくれて、ありがとよ。			贖罪とは							
ラジアタの儚げな女性は、花が欲しいようだ。			ラジアタの儚げな女性は、花が欲しいようだ。			異国の友							
ラールガーゴールドを入手			ラールガーゴールドを入手			異国の友							
儚げな女性にラールガーゴールドを渡す			儚げな女性にラールガーゴールドを渡す			異国の友							
もしや、あなたは同盟軍の方？お願いします、花を摘んできてくれませんか？			もしや、あなたは同盟軍の方？お願いします、花を摘んできてくれませんか？			異国の友							
帝国との戦いの中で、命を落とした友人に、手向けてあげたいんです。だけど、私では咲いている場所まで行けなくて……。			帝国との戦いの中で、命を落とした友人に、手向けてあげたいんです。だけど、私では咲いている場所まで行けなくて……。			異国の友							
「ラールガーゴールド」は、スペキュラのはるか北、サーストレスパスに、咲いていると聞きます。どうか、私の代わりに3輪ほど摘んできてください。			「ラールガーゴールド」は、スペキュラのはるか北、サーストレスパスに、咲いていると聞きます。どうか、私の代わりに3輪ほど摘んできてください。			異国の友							
「ラールガーゴールド」は、スペキュラのはるか北、サーストレスパスに、咲いていると聞きます。どうか、私の代わりに3輪ほど摘んできてください。			「ラールガーゴールド」は、スペキュラのはるか北、サーストレスパスに、咲いていると聞きます。どうか、私の代わりに3輪ほど摘んできてください。			異国の友							
お願いしていた「ラールガーゴールド」は、見つかりましたか？			お願いしていた「ラールガーゴールド」は、見つかりましたか？			異国の友							
この花は、壊神ラールガーが放った雷が、地上に落ちて生まれたと言われています……。ふふ、力強くて、男勝りだった彼女に、そっくり。			この花は、壊神ラールガーが放った雷が、地上に落ちて生まれたと言われています……。ふふ、力強くて、男勝りだった彼女に、そっくり。			異国の友							
彼女は神様なんて信じていなかったし、彼女の故郷の弔い方も知りません。でも、せめて花ぐらいは手向けてあげたくて……。			彼女は神様なんて信じていなかったし、彼女の故郷の弔い方も知りません。でも、せめて花ぐらいは手向けてあげたくて……。			異国の友							
では、この花を彼女とよく会っていた場所に捧げてきます。彼女の任務先であり、私の仕事場であった、スペキュラ・インペラトリスに……。			では、この花を彼女とよく会っていた場所に捧げてきます。彼女の任務先であり、私の仕事場であった、スペキュラ・インペラトリスに……。			異国の友							
本当にありがとうございました。あなたのことは、空にいる彼女にも伝えておきますね。			本当にありがとうございました。あなたのことは、空にいる彼女にも伝えておきますね。			異国の友							
アラガーナのゲルベルトは、ネズミに困っているようだ。			アラガーナのゲルベルトは、ネズミに困っているようだ。			石切職人の心残り							
指定地点に褐色の液体を使いラバーラットに襲われたら討伐			指定地点に褐色の液体を使いラバーラットに襲われたら討伐			石切職人の心残り							
ゲルベルトに報告			ゲルベルトに報告			石切職人の心残り							
アンタ、帝国市民ってわけじゃなさそうだし、戦いの心得もありそうだな……。なら、ネズミ退治を請け負ってもらえないかね？			アンタ、帝国市民ってわけじゃなさそうだし、戦いの心得もありそうだな……。なら、ネズミ退治を請け負ってもらえないかね？			石切職人の心残り							
帝国に支配されてから、宗教行事が禁止されたろ？その影響で、涙隠しの丘の慰霊碑にも行きづらくなったもんで、こっそりと死者を弔う場所を、南西の方に作ったんだ。			帝国に支配されてから、宗教行事が禁止されたろ？その影響で、涙隠しの丘の慰霊碑にも行きづらくなったもんで、こっそりと死者を弔う場所を、南西の方に作ったんだ。			石切職人の心残り							
だが、供え物目当てに、ネズミが寄りつくようになってな。今じゃ、墓参りもままならなくなってしまったんだ……。そこで、コイツの出番になる。			だが、供え物目当てに、ネズミが寄りつくようになってな。今じゃ、墓参りもままならなくなってしまったんだ……。そこで、コイツの出番になる。			石切職人の心残り							
ネズミが嫌う臭いを放つ「褐色の液体」さ。そいつを南西の墓地で使えば、ヤツらを追い払えるはずだ。ただし、追い詰められて襲ってくるヤツもいるから、注意してくれよ。			ネズミが嫌う臭いを放つ「褐色の液体」さ。そいつを南西の墓地で使えば、ヤツらを追い払えるはずだ。ただし、追い詰められて襲ってくるヤツもいるから、注意してくれよ。			石切職人の心残り							
ネズミが嫌う臭いを放つ「褐色の液体」さ。そいつを南西の墓地で使えば、ヤツらを追い払えるはずだ。ただし、追い詰められて襲ってくるヤツもいるから、注意してくれよ。			ネズミが嫌う臭いを放つ「褐色の液体」さ。そいつを南西の墓地で使えば、ヤツらを追い払えるはずだ。ただし、追い詰められて襲ってくるヤツもいるから、注意してくれよ。			石切職人の心残り							
ありがとう。ネズミどもを追い払ってくれたのか。これで、また息子の墓参りに行けるよ。			ありがとう。ネズミどもを追い払ってくれたのか。これで、また息子の墓参りに行けるよ。			石切職人の心残り							
息子と一緒に採石をしているときに、落石事故があってな……。息子だけが生き埋めとなり、遺体も掘り出せずじまいだった。			息子と一緒に採石をしているときに、落石事故があってな……。息子だけが生き埋めとなり、遺体も掘り出せずじまいだった。			石切職人の心残り							
せめて墓だけでも作ってやりたくて、事故が起きた場所の近くに、墓を建てたんだ。			せめて墓だけでも作ってやりたくて、事故が起きた場所の近くに、墓を建てたんだ。			石切職人の心残り							
本当にバカな息子だ……。俺を守ろうと、自分が犠牲になって……。老い先短い俺を置いて逃げりゃよいものを……。			本当にバカな息子だ……。俺を守ろうと、自分が犠牲になって……。老い先短い俺を置いて逃げりゃよいものを……。			石切職人の心残り							
アンタのおかげで、また息子に小言を言いにいける……。これは、俺たち親子からの感謝の気持ちだ。受け取ってくれ。			アンタのおかげで、また息子に小言を言いにいける……。これは、俺たち親子からの感謝の気持ちだ。受け取ってくれ。			石切職人の心残り							
バイロンズブレッドのアラガーナ出身の男は、途方に暮れているようだ。			バイロンズブレッドのアラガーナ出身の男は、途方に暮れているようだ。			お邪魔虫退治							
アラガーナ出身の男と話す			アラガーナ出身の男と話す			お邪魔虫退治							
手製の煙玉を使い羽虫の群れを駆除			手製の煙玉を使い羽虫の群れを駆除			お邪魔虫退治							
アラガーナ出身の男に報告			アラガーナ出身の男に報告			お邪魔虫退治							
おや、見知らぬ私に声をかけてくるとは、ずいぶんと肝が据わったお方のようだね。そうだ、報酬は弾むから、私に力を貸してくれないか？			おや、見知らぬ私に声をかけてくるとは、ずいぶんと肝が据わったお方のようだね。そうだ、報酬は弾むから、私に力を貸してくれないか？			お邪魔虫退治							
私は、食糧の買い出しで、アラガーナからやってきた。だが、ここにも、ろくな収穫がないらしい。			私は、食糧の買い出しで、アラガーナからやってきた。だが、ここにも、ろくな収穫がないらしい。			お邪魔虫退治							
仕方ないので、野草でも集めようと思うのだが……あたりに大量の羽虫が湧いていて、近づけなくてね。			仕方ないので、野草でも集めようと思うのだが……あたりに大量の羽虫が湧いていて、近づけなくてね。			お邪魔虫退治							
そこで肝が据わったきみに、羽虫退治をお願いしたい。ただし、私にいい考えがあるんだ。まずは、いったん「アラガーナ」に来てくれ。			そこで肝が据わったきみに、羽虫退治をお願いしたい。ただし、私にいい考えがあるんだ。まずは、いったん「アラガーナ」に来てくれ。			お邪魔虫退治							
来てくれたか。ちょうど、準備が終わったところだ。			来てくれたか。ちょうど、準備が終わったところだ。			お邪魔虫退治							
虫は、煙を嫌うというだろう？そこで、採石作業で使う発破の火薬で、煙玉をこしらえてみた。			虫は、煙を嫌うというだろう？そこで、採石作業で使う発破の火薬で、煙玉をこしらえてみた。			お邪魔虫退治							
この「手製の煙玉」を、村の西にいる「羽虫の群れ」に使って、駆除してくれ。			この「手製の煙玉」を、村の西にいる「羽虫の群れ」に使って、駆除してくれ。			お邪魔虫退治							
この村の西にいる「羽虫の群れ」に、「手製の煙玉」を使って、駆除してくれ。			この村の西にいる「羽虫の群れ」に、「手製の煙玉」を使って、駆除してくれ。			お邪魔虫退治							
そうか、すべての羽虫どもを駆除してくれたか！ありがとう、きみに頼んで正解だった！！			そうか、すべての羽虫どもを駆除してくれたか！ありがとう、きみに頼んで正解だった！！			お邪魔虫退治							
さあ、約束の報酬を受け取ってくれ。私は、さっそく野草を採りに向かうとするよ。			さあ、約束の報酬を受け取ってくれ。私は、さっそく野草を採りに向かうとするよ。			お邪魔虫退治							
アラガーナのアンスガーは、石切作業に必要な物が欲しいようだ。			アラガーナのアンスガーは、石切作業に必要な物が欲しいようだ。			石切の秘訣							
ダスト・アニラからアニラの心核を入手			ダスト・アニラからアニラの心核を入手			石切の秘訣							
アンスガーにアニラの心核を渡す			アンスガーにアニラの心核を渡す			石切の秘訣							
姉ちゃん兄ちゃん、タフそうだな。よかったら、この村のために、ひとつ頼まれてくれないか？			姉ちゃん兄ちゃん、タフそうだな。よかったら、この村のために、ひとつ頼まれてくれないか？			石切の秘訣							
その昔、ここは、採石がウリの村だったんだが、今は、イロイロ問題があって、最低限しかやってない。そのひとつが、水の問題でな。			その昔、ここは、採石がウリの村だったんだが、今は、イロイロ問題があって、最低限しかやってない。そのひとつが、水の問題でな。			石切の秘訣							
石切には、大量の水が必要で、作業の後には汚水が出る。だが、村に隣接する水場は飲み水としても使うから、そこに汚水を流すわけにもいかない……。			石切には、大量の水が必要で、作業の後には汚水が出る。だが、村に隣接する水場は飲み水としても使うから、そこに汚水を流すわけにもいかない……。			石切の秘訣							
だが、「アニラの心核」がありゃ、問題は解決するんだ。ところが、コイツが足りなくなっちまったもんでな。急いで、調達してきてほしいんだ。			だが、「アニラの心核」がありゃ、問題は解決するんだ。ところが、コイツが足りなくなっちまったもんでな。急いで、調達してきてほしいんだ。			石切の秘訣							
この村の南にいる「ダスト・アニラ」をブッ倒して、「アニラの心核」を3つ確保してくれ！			この村の南にいる「ダスト・アニラ」をブッ倒して、「アニラの心核」を3つ確保してくれ！			石切の秘訣							
この村の南にいる「ダスト・アニラ」をブッ倒して、「アニラの心核」を3つ確保してくれ！			この村の南にいる「ダスト・アニラ」をブッ倒して、「アニラの心核」を3つ確保してくれ！			石切の秘訣							
よお、「アニラの心核」は、手に入ったか？			よお、「アニラの心核」は、手に入ったか？			石切の秘訣							
うまくやってくれたか、ありがとよ！コイツを利用することで、石を切るときに出る粉じんを、汚水から取り除くことができるんだ。			うまくやってくれたか、ありがとよ！コイツを利用することで、石を切るときに出る粉じんを、汚水から取り除くことができるんだ。			石切の秘訣							
昔は、心核を集めるため、村人総出でアニラ狩りをしたもんさ。だが、帝国軍に徴兵されたりで、人手が減っちまって、今では、大規模な狩りも難しい有様だ……。			昔は、心核を集めるため、村人総出でアニラ狩りをしたもんさ。だが、帝国軍に徴兵されたりで、人手が減っちまって、今では、大規模な狩りも難しい有様だ……。			石切の秘訣							
と言っても、金属主体の帝国文化の影響で、建築分野でも石材の需要が減っちまったからな……。石切場も開店休業で、心核の数も少しで足りちまうんだがよ。			と言っても、金属主体の帝国文化の影響で、建築分野でも石材の需要が減っちまったからな……。石切場も開店休業で、心核の数も少しで足りちまうんだがよ。			石切の秘訣							
ともかく手伝ってくれて、助かったよ。姉ちゃん兄ちゃん、感謝するぜ！			ともかく手伝ってくれて、助かったよ。姉ちゃん兄ちゃん、感謝するぜ！			石切の秘訣							
アラガーナのゲレンは、家にできた大きなひび割れを気にしているようだ。			アラガーナのゲレンは、家にできた大きなひび割れを気にしているようだ。			ひび割れた家							
アーススプライトからアーススプライトの核を入手			アーススプライトからアーススプライトの核を入手			ひび割れた家							
ゲレンにアーススプライトの核を渡す			ゲレンにアーススプライトの核を渡す			ひび割れた家							
なあ、お前さん。老い先の短い、この老いぼれの頼みを聞いてくれないかい？			なあ、お前さん。老い先の短い、この老いぼれの頼みを聞いてくれないかい？			ひび割れた家							
生まれたときから住み続け、あちこちガタついている我が家に、つい最近、大きなひび割れが入ってしまってな……。このままだと、家が真っ二つに割れてしまいそうなんじゃ。			生まれたときから住み続け、あちこちガタついている我が家に、つい最近、大きなひび割れが入ってしまってな……。このままだと、家が真っ二つに割れてしまいそうなんじゃ。			ひび割れた家							
じゃが、補修しようにも材料が足りん。赤のジグラート周辺にいる「アーススプライト」を倒して、「アーススプライトの核」を3つ、手に入れておくれ。			じゃが、補修しようにも材料が足りん。赤のジグラート周辺にいる「アーススプライト」を倒して、「アーススプライトの核」を3つ、手に入れておくれ。			ひび割れた家							
補修しようにも材料が足りん。赤のジグラート周辺にいる「アーススプライト」を倒して、「アーススプライトの核」を3つ、手に入れておくれ。			補修しようにも材料が足りん。赤のジグラート周辺にいる「アーススプライト」を倒して、「アーススプライトの核」を3つ、手に入れておくれ。			ひび割れた家							
どれどれ、「アーススプライトの核」は、手に入ったかい？			どれどれ、「アーススプライトの核」は、手に入ったかい？			ひび割れた家							
ありがたい、これでまだ我が家に住めそうじゃ。このアーススプライトの核を砕いて、モルタルといっしょに、岩壁のひびに塗り込むのさ。			ありがたい、これでまだ我が家に住めそうじゃ。このアーススプライトの核を砕いて、モルタルといっしょに、岩壁のひびに塗り込むのさ。			ひび割れた家							
