カーラインカフェのノジロ・マルジロは、冒険者に耳寄りな情報を与えたいようだ。			カーラインカフェのノジロ・マルジロは、冒険者に耳寄りな情報を与えたいようだ。			奇異なる地下迷宮							
同行してくださった、角尊のエ・ウナ・コトロ様によれば、戦意に反応して発動する、一種の幻惑魔法とのこと……。ゆえに、外から持ち込んだ武器も役には立たないのだ。			同行してくださった、角尊のエ・ウナ・コトロ様によれば、戦意に反応して発動する、一種の幻惑魔法とのこと……。ゆえに、外から持ち込んだ武器も役には立たないのだ。			奇異なる地下迷宮							
エ・ウナ様が、使用者のエーテルを具現化する、特殊な魔器を作ってくださらなければ、どうなっていたか……！君たちにも「魔器」を支給するゆえ、活用してもらいたい。			エ・ウナ様が、使用者のエーテルを具現化する、特殊な魔器を作ってくださらなければ、どうなっていたか……！君たちにも「魔器」を支給するゆえ、活用してもらいたい。			奇異なる地下迷宮							
そして、何より奇妙なのは……迷宮に入るたびに、内部構造が変化するという現象が起こることだ！恐ろしく腕の立つ魔道士でなければ、こんな芸当は不可能だろう。			そして、何より奇妙なのは……迷宮に入るたびに、内部構造が変化するという現象が起こることだ！恐ろしく腕の立つ魔道士でなければ、こんな芸当は不可能だろう。			奇異なる地下迷宮							
……件の地下迷宮が、どれほど異様なのかわかったか？普段とおなじ戦い方は、通用しないと思ったほうがいい。腕のたつ仲間たちと、慎重に探索することだな。			……件の地下迷宮が、どれほど異様なのかわかったか？普段とおなじ戦い方は、通用しないと思ったほうがいい。腕のたつ仲間たちと、慎重に探索することだな。			奇異なる地下迷宮							
迷宮に挑戦したいときは、私に声をかけたまえ。内部に待ち構える障害を突破し、最深部に何が潜むのか、その謎を解き明かしてくれ……！			迷宮に挑戦したいときは、私に声をかけたまえ。内部に待ち構える障害を突破し、最深部に何が潜むのか、その謎を解き明かしてくれ……！			奇異なる地下迷宮							
ディープダンジョン「死者の宮殿」に挑戦可能となりました。こちらは、地下深くつづく迷宮を、1～4人で攻略するコンテンツとなります。			ディープダンジョン「死者の宮殿」に挑戦可能となりました。こちらは、地下深くつづく迷宮を、1～4人で攻略するコンテンツとなります。			奇異なる地下迷宮							
「鬼哭隊の調査隊長」に話しかけて、「固定パーティ」と「マッチングパーティ」の、どちらで突入するか選択することで、迷宮に挑戦できます。			「鬼哭隊の調査隊長」に話しかけて、「固定パーティ」と「マッチングパーティ」の、どちらで突入するか選択することで、迷宮に挑戦できます。			奇異なる地下迷宮							
初めて迷宮に挑戦する際は、「レベル1」で開始されます。また、装備していた武器も効力を発揮しなくなるので、迷宮専用の「魔器装備」を用いて、攻略していくことになります。			初めて迷宮に挑戦する際は、「レベル1」で開始されます。また、装備していた武器も効力を発揮しなくなるので、迷宮専用の「魔器装備」を用いて、攻略していくことになります。			奇異なる地下迷宮							
迷宮の中では、宝箱の配置や迷宮の構造が変化するなど、地上とは異なる様々な事態が起こります。			迷宮の中では、宝箱の配置や迷宮の構造が変化するなど、地上とは異なる様々な事態が起こります。			奇異なる地下迷宮							
「死者の宮殿」に挑戦する際は、「鬼哭隊の調査隊長」から、事前に、詳しい説明を聞いておくといいでしょう。			「死者の宮殿」に挑戦する際は、「鬼哭隊の調査隊長」から、事前に、詳しい説明を聞いておくといいでしょう。			奇異なる地下迷宮							
クォーリーミルのバランは、冒険者の名前に聞き覚えがあるようだ。			クォーリーミルのバランは、冒険者の名前に聞き覚えがあるようだ。			暗闇の底へと捧ぐ祈り							
バランは、数日前にバスカロンドラザーズで、冒険者の名前をつぶやくララフェル族の者を見かけたらしい。南部森林の酒房「バスカロンドラザーズ」に向かい、ララフェル族の冒険者の姿を探してみよう。			バランは、数日前にバスカロンドラザーズで、冒険者の名前をつぶやくララフェル族の者を見かけたらしい。南部森林の酒房「バスカロンドラザーズ」に向かい、ララフェル族の冒険者の姿を探してみよう。			暗闇の底へと捧ぐ祈り							
冒険者の名前をつぶやくララフェル族とは、タムタラの墓所にともに向かったパイヨ・レイヨだった。彼は、以前パーティを組んでいたエッダについて気になることがあり、故郷から戻ってきたという。アヴィールがエッダに贈った指輪を見たパイヨ・レイヨは、冒険者に協力を頼んできた。酒房「バスカロンドラザーズ」の裏手で「パイヨ・レイヨ」と話そう。			冒険者の名前をつぶやくララフェル族とは、タムタラの墓所にともに向かったパイヨ・レイヨだった。彼は、以前パーティを組んでいたエッダについて気になることがあり、故郷から戻ってきたという。アヴィールがエッダに贈った指輪を見たパイヨ・レイヨは、冒険者に協力を頼んできた。酒房「バスカロンドラザーズ」の裏手で「パイヨ・レイヨ」と話そう。			暗闇の底へと捧ぐ祈り							
パイヨ・レイヨは、エッダを供養するために、アヴィールの指輪が入った錆ついた篭手を探したいという。酒房「バスカロンドラザーズ」の裏手、アッパーパスの川で「錆ついた篭手」を探そう。			パイヨ・レイヨは、エッダを供養するために、アヴィールの指輪が入った錆ついた篭手を探したいという。酒房「バスカロンドラザーズ」の裏手、アッパーパスの川で「錆ついた篭手」を探そう。			暗闇の底へと捧ぐ祈り							
錆ついた篭手の中から、アヴィールの指輪を見つけた。アッパーパスの「パイヨ・レイヨ」に「アヴィールの指輪」を渡そう。			錆ついた篭手の中から、アヴィールの指輪を見つけた。アッパーパスの「パイヨ・レイヨ」に「アヴィールの指輪」を渡そう。			暗闇の底へと捧ぐ祈り							
パイヨ・レイヨは、ふたつの指輪を、彼らがパーティを結成した街、リムサ・ロミンサを一望できる地に埋めようと提案してきた。中央ラノシアのサマーフォードで、「パイヨ・レイヨ」と話そう。			パイヨ・レイヨは、ふたつの指輪を、彼らがパーティを結成した街、リムサ・ロミンサを一望できる地に埋めようと提案してきた。中央ラノシアのサマーフォードで、「パイヨ・レイヨ」と話そう。			暗闇の底へと捧ぐ祈り							
指輪を埋めた地で祈りを捧げたパイヨ・レイヨは、穏やかな顔で去っていった。おなじく立ち去ろうとした冒険者の耳に、女性の「ありがとう」という言葉が聞こえてきた。海風による幻聴だろうか。もしくは、彼女の感謝の囁きだったのだろうか……。			指輪を埋めた地で祈りを捧げたパイヨ・レイヨは、穏やかな顔で去っていった。おなじく立ち去ろうとした冒険者の耳に、女性の「ありがとう」という言葉が聞こえてきた。海風による幻聴だろうか。もしくは、彼女の感謝の囁きだったのだろうか……。			暗闇の底へと捧ぐ祈り							
ララフェル族の冒険者を探す			ララフェル族の冒険者を探す			暗闇の底へと捧ぐ祈り							
パイヨ・レイヨと話す			パイヨ・レイヨと話す			暗闇の底へと捧ぐ祈り							
錆ついた篭手からアヴィールの指輪を入手			錆ついた篭手からアヴィールの指輪を入手			暗闇の底へと捧ぐ祈り							
パイヨ・レイヨにアヴィールの指輪を渡す			パイヨ・レイヨにアヴィールの指輪を渡す			暗闇の底へと捧ぐ祈り							
サマーフォードのパイヨ・レイヨと話す			サマーフォードのパイヨ・レイヨと話す			暗闇の底へと捧ぐ祈り							
その出で立ち……もしや、君がForenameか？先ほど、鬼哭隊の調査隊士たちが、君の活躍を話題にしていたよ。我が鬼哭隊への調査協力、私からも礼を言わせてくれ。			その出で立ち……もしや、君がForenameか？先ほど、鬼哭隊の調査隊士たちが、君の活躍を話題にしていたよ。我が鬼哭隊への調査協力、私からも礼を言わせてくれ。			暗闇の底へと捧ぐ祈り							
……ところで、君は、ララフェル族の知り合いはいないか？実は、数日前に「バスカロンドラザーズ」へ赴いた折に、君の名前をつぶやく、ララフェル族の冒険者を見かけてな。			……ところで、君は、ララフェル族の知り合いはいないか？実は、数日前に「バスカロンドラザーズ」へ赴いた折に、君の名前をつぶやく、ララフェル族の冒険者を見かけてな。			暗闇の底へと捧ぐ祈り							
妙に鬼気迫る顔をしていたので、気になっていたのだ……。君の知り合いだろうし、会いに行ってやったらどうだね？ずいぶん前から逗留しているそうだから、まだ酒房にいるだろう。			妙に鬼気迫る顔をしていたので、気になっていたのだ……。君の知り合いだろうし、会いに行ってやったらどうだね？ずいぶん前から逗留しているそうだから、まだ酒房にいるだろう。			暗闇の底へと捧ぐ祈り							
数日前に、「バスカロンドラザーズ」へ赴いた折、君の名前をつぶやく、ララフェル族の冒険者を見かけてな。君の知り合いだろうし、会いに行ってやったらどうだね？			数日前に、「バスカロンドラザーズ」へ赴いた折、君の名前をつぶやく、ララフェル族の冒険者を見かけてな。君の知り合いだろうし、会いに行ってやったらどうだね？			暗闇の底へと捧ぐ祈り							
……うぅぅ、頼む、エールをもう一杯……大樽でくれ。チビチビ飲んでたって、恐怖は消えやしな……あ、あれ？			……うぅぅ、頼む、エールをもう一杯……大樽でくれ。チビチビ飲んでたって、恐怖は消えやしな……あ、あれ？			暗闇の底へと捧ぐ祈り							
アンタ、俺とタムタラの墓所へ行ってくれた冒険者だろう！ほら、エッダとアヴィールの結婚式に招待されたときの……。なんと……会いたかった相手が、自分から来てくれるとは！！			アンタ、俺とタムタラの墓所へ行ってくれた冒険者だろう！ほら、エッダとアヴィールの結婚式に招待されたときの……。なんと……会いたかった相手が、自分から来てくれるとは！！			暗闇の底へと捧ぐ祈り							
俺は、あの墓所での事件の後、一度故郷に帰ったんだが……。エッダに関して、気になることがあって戻ってきたんだ。アンタはあの女……エッダのことは覚えているか……？			俺は、あの墓所での事件の後、一度故郷に帰ったんだが……。エッダに関して、気になることがあって戻ってきたんだ。アンタはあの女……エッダのことは覚えているか……？			暗闇の底へと捧ぐ祈り							
……なっ！　覚えているどころか、地下迷宮でエッダを倒し、彼女の指輪を見つけただって！？それは、どんな指輪なんだ？　見せてくれ！			……なっ！　覚えているどころか、地下迷宮でエッダを倒し、彼女の指輪を見つけただって！？それは、どんな指輪なんだ？　見せてくれ！			暗闇の底へと捧ぐ祈り							
こ、これは、確かにエッダの指輪だ……！生前のエッダとアヴィールが揃いで持っていた「愛の証」。その片割れの指輪に違いない……。			こ、これは、確かにエッダの指輪だ……！生前のエッダとアヴィールが揃いで持っていた「愛の証」。その片割れの指輪に違いない……。			暗闇の底へと捧ぐ祈り							
こいつを目にするのは、ずいぶん久しぶりだな。エッダは、戦闘で汚れるのを嫌って懐に忍ばせてたから……。……この指輪、こいつがあれば……。			こいつを目にするのは、ずいぶん久しぶりだな。エッダは、戦闘で汚れるのを嫌って懐に忍ばせてたから……。……この指輪、こいつがあれば……。			暗闇の底へと捧ぐ祈り							
……なあ！　突然すまんが、「バスカロンドラザーズ」の脇にある橋まで来てくれ！！俺に、協力してほしいんだ！			……なあ！　突然すまんが、「バスカロンドラザーズ」の脇にある橋まで来てくれ！！俺に、協力してほしいんだ！			暗闇の底へと捧ぐ祈り							
来てくれて、ありがとうよ……。この指輪を目にしたときは、心臓が止まるかと思ったぜ。酒でも消せない恐怖の種が、アッサリ目の前に現れたんだから。			来てくれて、ありがとうよ……。この指輪を目にしたときは、心臓が止まるかと思ったぜ。酒でも消せない恐怖の種が、アッサリ目の前に現れたんだから。			暗闇の底へと捧ぐ祈り							
……俺は、あの墓所での事件をすべて忘れようと考えた。でも、ダメだった……毎晩、エッダの姿やアヴィールの首が、夢に出てきて、ろくに眠れもしないんだ……。			……俺は、あの墓所での事件をすべて忘れようと考えた。でも、ダメだった……毎晩、エッダの姿やアヴィールの首が、夢に出てきて、ろくに眠れもしないんだ……。			暗闇の底へと捧ぐ祈り							
故郷へ帰ろうともつづく悪夢……。この悪夢に決着をつけないと、俺に安息は訪れない。そう考えた俺は、エッダをちゃんと供養しようと戻ってきたのさ。			故郷へ帰ろうともつづく悪夢……。この悪夢に決着をつけないと、俺に安息は訪れない。そう考えた俺は、エッダをちゃんと供養しようと戻ってきたのさ。			暗闇の底へと捧ぐ祈り							
だが、問題はどう供養するか、だ。アヴィールと一緒に埋葬してやるのが一番なんだろうが、アイツの肉体は……もう腐っちまってるだろうし。			だが、問題はどう供養するか、だ。アヴィールと一緒に埋葬してやるのが一番なんだろうが、アイツの肉体は……もう腐っちまってるだろうし。			暗闇の底へと捧ぐ祈り							
そこで俺は、ふたりが持っていた指輪を代わりにと考えた……。エッダとアヴィールの「愛の証」である揃いの指輪を、一緒に埋葬すれば、供養になるんじゃないかってな。			そこで俺は、ふたりが持っていた指輪を代わりにと考えた……。エッダとアヴィールの「愛の証」である揃いの指輪を、一緒に埋葬すれば、供養になるんじゃないかってな。			暗闇の底へと捧ぐ祈り							
……ただ、そのためには、墓所で消えたエッダを探しだし、アイツの懐から、指輪を回収しなきゃならん……。そう考えたら、足が動かなくなっちまってよ。			……ただ、そのためには、墓所で消えたエッダを探しだし、アイツの懐から、指輪を回収しなきゃならん……。そう考えたら、足が動かなくなっちまってよ。			暗闇の底へと捧ぐ祈り							
俺ひとりじゃ、とてもそんな勇気は出ない……。アンタが側にいてくれたら……と、呑んだくれてたわけさ。			俺ひとりじゃ、とてもそんな勇気は出ない……。アンタが側にいてくれたら……と、呑んだくれてたわけさ。			暗闇の底へと捧ぐ祈り							
アンタの話を聞いて、俺がどれだけ嬉しかったことか……！指輪を埋葬するための、最大の課題が片付いたんだからな。あとは、アヴィールが持っていた方の指輪を探しだすだけだ！			アンタの話を聞いて、俺がどれだけ嬉しかったことか……！指輪を埋葬するための、最大の課題が片付いたんだからな。あとは、アヴィールが持っていた方の指輪を探しだすだけだ！			暗闇の底へと捧ぐ祈り							
…………いま、アンタに浮かんだ疑問はわかる。アヴィールが持っていた指輪を探しだすのに、何故、俺たちはこんな川べりにいるのか……だろう？			…………いま、アンタに浮かんだ疑問はわかる。アヴィールが持っていた指輪を探しだすのに、何故、俺たちはこんな川べりにいるのか……だろう？			暗闇の底へと捧ぐ祈り							
……あれは、俺たちのパーティが、墓所に向かう前夜だった。アヴィールと俺は、この酒房で気持よく酔っ払っていてね……。酔ったアヴィールは、裏手の川に落ちちまったのさ。			……あれは、俺たちのパーティが、墓所に向かう前夜だった。アヴィールと俺は、この酒房で気持よく酔っ払っていてね……。酔ったアヴィールは、裏手の川に落ちちまったのさ。			暗闇の底へと捧ぐ祈り							
そこでアイツは、装備してた篭手を川に流しちまったんだ……。……そう、指にはめていた指輪ごとな！			そこでアイツは、装備してた篭手を川に流しちまったんだ……。……そう、指にはめていた指輪ごとな！			暗闇の底へと捧ぐ祈り							
……すでに夜も更けていたし、明るくなってから探そうとして、指輪をなくしたと、エッダに気づかれるわけにもいかん。当時の俺たちは、指輪の入った篭手の捜索を諦めた……。			……すでに夜も更けていたし、明るくなってから探そうとして、指輪をなくしたと、エッダに気づかれるわけにもいかん。当時の俺たちは、指輪の入った篭手の捜索を諦めた……。			暗闇の底へと捧ぐ祈り							
……さあ、俺がこの酒房にいた事情はわかったろう？川に入り、水に浸かって「錆ついた篭手」を探そう……。きっと、中に「アヴィールの指輪」があるはずだ。			……さあ、俺がこの酒房にいた事情はわかったろう？川に入り、水に浸かって「錆ついた篭手」を探そう……。きっと、中に「アヴィールの指輪」があるはずだ。			暗闇の底へと捧ぐ祈り							
さっきの話によると、エッダの身体は消滅しちまったんだろう？何故そんな迷宮にいたのか、俺にはトンとわからんが……アンタが、エッダの指輪を見つけてくれていて助かったよ。			さっきの話によると、エッダの身体は消滅しちまったんだろう？何故そんな迷宮にいたのか、俺にはトンとわからんが……アンタが、エッダの指輪を見つけてくれていて助かったよ。			暗闇の底へと捧ぐ祈り							
どうせ、エッダの指輪は探せっこないと、何もせずに、呑んだくれていた自分が情けないぜ……。……っと、反省の前に「錆ついた篭手」を見つけないとな。			どうせ、エッダの指輪は探せっこないと、何もせずに、呑んだくれていた自分が情けないぜ……。……っと、反省の前に「錆ついた篭手」を見つけないとな。			暗闇の底へと捧ぐ祈り							
岩陰の泥に埋もれていた、錆ついた篭手の中から、鈍く光る「アヴィールの指輪」が出てきた……。			岩陰の泥に埋もれていた、錆ついた篭手の中から、鈍く光る「アヴィールの指輪」が出てきた……。			暗闇の底へと捧ぐ祈り							
……なに、錆ついた篭手を見つけたって！？どうだ、中に「アヴィールの指輪」はあったか？			……なに、錆ついた篭手を見つけたって！？どうだ、中に「アヴィールの指輪」はあったか？			暗闇の底へと捧ぐ祈り							
おおお！　これだ、これ！！よし、無事にふたつの指輪が揃ったぞ！			おおお！　これだ、これ！！よし、無事にふたつの指輪が揃ったぞ！			暗闇の底へと捧ぐ祈り							
あとは、指輪を埋葬する場所だな。エッダとアヴィールに縁のある場所がいいんだろうが……。			あとは、指輪を埋葬する場所だな。エッダとアヴィールに縁のある場所がいいんだろうが……。			暗闇の底へと捧ぐ祈り							
……そうだな、俺たちのパーティは、リムサ・ロミンサの、溺れた海豚亭で結成されたんだ。楽しかった頃の思い出が残る、あの街がよく見える場所がいい。			……そうだな、俺たちのパーティは、リムサ・ロミンサの、溺れた海豚亭で結成されたんだ。楽しかった頃の思い出が残る、あの街がよく見える場所がいい。			暗闇の底へと捧ぐ祈り							
となると、中央ラノシアの「サマーフォード」辺りか……。景色のいい場所で、ふたつの指輪を埋めてやろうぜ。			となると、中央ラノシアの「サマーフォード」辺りか……。景色のいい場所で、ふたつの指輪を埋めてやろうぜ。			暗闇の底へと捧ぐ祈り							
よし、ここならリムサ・ロミンサもよく見える……。指輪を埋葬して、エッダが穏やかに眠れるよう祈ろう……。			よし、ここならリムサ・ロミンサもよく見える……。指輪を埋葬して、エッダが穏やかに眠れるよう祈ろう……。			暗闇の底へと捧ぐ祈り							
……これで、ふたりが一緒に眠れるといいんだが。エッダ……どうか今度こそ、安らかに眠ってくれ……。			……これで、ふたりが一緒に眠れるといいんだが。エッダ……どうか今度こそ、安らかに眠ってくれ……。			暗闇の底へと捧ぐ祈り							
……さて、供養もすんだな。自己満足だろうが、俺も心のつかえが取れた気分だ。これからは、悪夢を見ずに眠れるかな……。			……さて、供養もすんだな。自己満足だろうが、俺も心のつかえが取れた気分だ。これからは、悪夢を見ずに眠れるかな……。			暗闇の底へと捧ぐ祈り							
アンタには世話になった、恩に着る……。俺はこれから、あのふたりのような悲劇がもう起きないよう、新米冒険者どもに、共闘の大切さでも説いて暮らすとするよ。			アンタには世話になった、恩に着る……。俺はこれから、あのふたりのような悲劇がもう起きないよう、新米冒険者どもに、共闘の大切さでも説いて暮らすとするよ。			暗闇の底へと捧ぐ祈り							
(-穏やかな女性の声-)……ありがとう…………。			(-穏やかな女性の声-)……ありがとう…………。			暗闇の底へと捧ぐ祈り							
クォーリーミルにいる鬼哭隊の調査隊士は、冒険者に確認してほしい物があるようだ。			クォーリーミルにいる鬼哭隊の調査隊士は、冒険者に確認してほしい物があるようだ。			死者とともに眠れ							
死者の宮殿に潜入していた隊士が、黒幕ニバスの書いた手記を発見したようだ。イソム・ハーの穴蔵に向かい、手記を発見した「調査隊の隊士」と話そう。			死者の宮殿に潜入していた隊士が、黒幕ニバスの書いた手記を発見したようだ。イソム・ハーの穴蔵に向かい、手記を発見した「調査隊の隊士」と話そう。			死者とともに眠れ							
手記から、ニバスの過去を視ることに成功した。彼が「死者の宮殿」を造り上げ、エッダを用いて不老不死の実験を行っていたのは、亡き妻を蘇らせるためだったようだ。ニバスが倒れた今、彼の真意をはかれる者はエオルゼアには存在しない。異世界からの来訪者が願った不老不死の秘術は、「死者の宮殿」とともに、地中深くへと眠りにつくのだった。			手記から、ニバスの過去を視ることに成功した。彼が「死者の宮殿」を造り上げ、エッダを用いて不老不死の実験を行っていたのは、亡き妻を蘇らせるためだったようだ。ニバスが倒れた今、彼の真意をはかれる者はエオルゼアには存在しない。異世界からの来訪者が願った不老不死の秘術は、「死者の宮殿」とともに、地中深くへと眠りにつくのだった。			死者とともに眠れ							
調査隊の隊士と話す			調査隊の隊士と話す			死者とともに眠れ							
おお、邪なる魔術師を倒してのけた冒険者じゃないか！君に会えて良かった、協力してほしいことがあるんだよ……！			おお、邪なる魔術師を倒してのけた冒険者じゃないか！君に会えて良かった、協力してほしいことがあるんだよ……！			死者とともに眠れ							
地下迷宮に派遣していた先遣部隊の連中が、迷宮を造り上げた黒幕が書いたと思しき手記を発見したらしい。これを、黒幕自身と対峙した君にも見てみてほしいんだ。			地下迷宮に派遣していた先遣部隊の連中が、迷宮を造り上げた黒幕が書いたと思しき手記を発見したらしい。これを、黒幕自身と対峙した君にも見てみてほしいんだ。			死者とともに眠れ							
