シャバーブチェのシャシェパは、冒険者に期待のこもった眼差しを向けている。			シャバーブチェのシャシェパは、冒険者に期待のこもった眼差しを向けている。			凄腕の狩人							
しかも、姿形だけじゃなく、対象が持つ能力さえも、把握している範囲で真似ることが可能なんだよ。			しかも、姿形だけじゃなく、対象が持つ能力さえも、把握している範囲で真似ることが可能なんだよ。			凄腕の狩人							
たとえば、二刀流の狩人ヴァイパーに擬態すれば鮮やかな剣技を。猛獣ブラーシャの姿になれば鋭利な爪や牙だって、自在に使えるようになるんだ。			たとえば、二刀流の狩人ヴァイパーに擬態すれば鮮やかな剣技を。猛獣ブラーシャの姿になれば鋭利な爪や牙だって、自在に使えるようになるんだ。			凄腕の狩人							
当然ワタシたちも、そんな祭器の恩恵を受けていた。森には獲物が豊富な反面、凶暴な猛獣も多くてね……集落に害をなす存在を、強力な魔物に擬態して撃退してきたのさ。			当然ワタシたちも、そんな祭器の恩恵を受けていた。森には獲物が豊富な反面、凶暴な猛獣も多くてね……集落に害をなす存在を、強力な魔物に擬態して撃退してきたのさ。			凄腕の狩人							
だから、祭器は集落を守るためにとても大切なもの。確実に取り返すために、集落イチの凄腕の狩人、「イットカ」が奪還に向かったんだ。			だから、祭器は集落を守るためにとても大切なもの。確実に取り返すために、集落イチの凄腕の狩人、「イットカ」が奪還に向かったんだ。			凄腕の狩人							
狙った獲物は必ず仕留める彼女のこと。ほどなく取り返せるだろうと思っていたが、いまだ便りはなくてね……予想外に苦戦しているのかもしれない。			狙った獲物は必ず仕留める彼女のこと。ほどなく取り返せるだろうと思っていたが、いまだ便りはなくてね……予想外に苦戦しているのかもしれない。			凄腕の狩人							
そこで、海の向こうの土地に詳しい協力者を探していたのさ。加えて、弓使いのイットカとも相性がいいであろう、アナタのような近接戦闘の使い手をね。			そこで、海の向こうの土地に詳しい協力者を探していたのさ。加えて、弓使いのイットカとも相性がいいであろう、アナタのような近接戦闘の使い手をね。			凄腕の狩人							
目撃者によると、祭器を盗んだ犯人は、「この力をクガネで試してみよう」などと言っていたそうだ。船乗りに聞いたところ、それは遥か東方にある街の名だという。			目撃者によると、祭器を盗んだ犯人は、「この力をクガネで試してみよう」などと言っていたそうだ。船乗りに聞いたところ、それは遥か東方にある街の名だという。			凄腕の狩人							
どうか、アナタもクガネなる街に赴いてもらい、彼女と協力して、ワタシたちの祭器を奪還してほしい！			どうか、アナタもクガネなる街に赴いてもらい、彼女と協力して、ワタシたちの祭器を奪還してほしい！			凄腕の狩人							
トライヨラも大変な状況で離れ難いかもしれないが……どうか、アナタもクガネなる街に赴いてもらい、彼女と協力して、ワタシたちの祭器を奪還してほしい！			トライヨラも大変な状況で離れ難いかもしれないが……どうか、アナタもクガネなる街に赴いてもらい、彼女と協力して、ワタシたちの祭器を奪還してほしい！			凄腕の狩人							
何と言う？			何と言う？			凄腕の狩人							
任せてくれ			任せてくれ			凄腕の狩人							
テレポ代が……			テレポ代が……			凄腕の狩人							
快く引き受けてくれて、どうもありがとう！			快く引き受けてくれて、どうもありがとう！			凄腕の狩人							
テレポ……代……？			テレポ……代……？			凄腕の狩人							
ああ、お金のことか。協力に対する礼なら、イットカが払ってくれるとも。それくらいの路銀は持ってるはずだから、安心してくれ。			ああ、お金のことか。協力に対する礼なら、イットカが払ってくれるとも。それくらいの路銀は持ってるはずだから、安心してくれ。			凄腕の狩人							
現地に着いたらまずは、ワタシと同じような格好で、弓を背負ったシャトナ族の女性を探してほしい。			現地に着いたらまずは、ワタシと同じような格好で、弓を背負ったシャトナ族の女性を探してほしい。			凄腕の狩人							
クガネでも、こうした「酒場」に集まる者たちに尋ねてみれば、イットカの居場所が掴めるかもしれない。それでは、よろしく頼む！			クガネでも、こうした「酒場」に集まる者たちに尋ねてみれば、イットカの居場所が掴めるかもしれない。それでは、よろしく頼む！			凄腕の狩人							
いらっしゃいませ。クガネ名物などを堪能して……			いらっしゃいませ。クガネ名物などを堪能して……			凄腕の狩人							
なるほど、尋ね人を……。仰るような外見のヴィエラ族なら、前にお見かけしましたよ。あいにく、居場所までは存じておりませんが。			なるほど、尋ね人を……。仰るような外見のヴィエラ族なら、前にお見かけしましたよ。あいにく、居場所までは存じておりませんが。			凄腕の狩人							
ほう、西方の大陸から来た者を探していると？悪いが、そのような格好をした女は見かけておらんな。			ほう、西方の大陸から来た者を探していると？悪いが、そのような格好をした女は見かけておらんな。			凄腕の狩人							
それよりも、かの大陸にはメスカルという蒸留酒があるらしく、ずっと味わってみたいと思っているのだが……なかなか、クガネまで入ってこないのが残念至極である。			それよりも、かの大陸にはメスカルという蒸留酒があるらしく、ずっと味わってみたいと思っているのだが……なかなか、クガネまで入ってこないのが残念至極である。			凄腕の狩人							
ああ、弓を背負ったヴィエラ族の女なら見たぞ。細かい服装まで覚えてないが、妙にキョロキョロしていたな。			ああ、弓を背負ったヴィエラ族の女なら見たぞ。細かい服装まで覚えてないが、妙にキョロキョロしていたな。			凄腕の狩人							
西方の大陸から来たのなら、クガネの様相が珍しかったんだろう。赤誠組屯所の近くにいたので、行ってみるといい。			西方の大陸から来たのなら、クガネの様相が珍しかったんだろう。赤誠組屯所の近くにいたので、行ってみるといい。			凄腕の狩人							
仰るような外見のヴィエラ族なら、前にお見かけしましたよ。すみませんが、居場所までは存じておりません。			仰るような外見のヴィエラ族なら、前にお見かけしましたよ。すみませんが、居場所までは存じておりません。			凄腕の狩人							
悪いが、そのような格好をした女は見かけておらん。それよりも、かの大陸のメスカルという蒸留酒を、いつか味わってみたいものだ……。			悪いが、そのような格好をした女は見かけておらん。それよりも、かの大陸のメスカルという蒸留酒を、いつか味わってみたいものだ……。			凄腕の狩人							
たしかに、弓を背負ったヴィエラ族の女を見かけたぞ。赤誠組屯所の近くにいたので、行ってみるといい。			たしかに、弓を背負ったヴィエラ族の女を見かけたぞ。赤誠組屯所の近くにいたので、行ってみるといい。			凄腕の狩人							
はあ、アタシだけじゃダメかも……もう帰ろうかな……			はあ、アタシだけじゃダメかも……もう帰ろうかな……			凄腕の狩人							
何と言う？			何と言う？			凄腕の狩人							
イットカか？			イットカか？			凄腕の狩人							
イットカの手伝いにきた			イットカの手伝いにきた			凄腕の狩人							
(-イットカ-)そ、そうだ！アタシがイットカだけど、キミは……？			(-イットカ-)そ、そうだ！アタシがイットカだけど、キミは……？			凄腕の狩人							
(-イットカ-)そ、そうか！それは助かるけど、どうしてキミが……？			(-イットカ-)そ、そうか！それは助かるけど、どうしてキミが……？			凄腕の狩人							
(-イットカ-)な、なるほど、シャシェパに協力を頼まれたForenameか……祭器の奪還に力を貸してくれるならありがたい。			(-イットカ-)な、なるほど、シャシェパに協力を頼まれたForenameか……祭器の奪還に力を貸してくれるならありがたい。			凄腕の狩人							
(-イットカ-)クガネに来て、この家に下宿させてもらいながら、しばらく、ひとりで調査していたんだ。アタシが知ってることを話そう。			(-イットカ-)クガネに来て、この家に下宿させてもらいながら、しばらく、ひとりで調査していたんだ。アタシが知ってることを話そう。			凄腕の狩人							
(-イットカ-)まず故郷で犯人を目撃した者によると、祭器を盗んだのは、こちらでいうヒューラン族の中年男性だとか。それ以外の特徴については、まだわかっていない。			(-イットカ-)まず故郷で犯人を目撃した者によると、祭器を盗んだのは、こちらでいうヒューラン族の中年男性だとか。それ以外の特徴については、まだわかっていない。			凄腕の狩人							
(-イットカ-)というか、祭器を使えば、他人や動物に擬態できるからね。好きに姿を変えられる相手の情報をどうやって集めればいいか、クガネでも、途方に暮れていたのさ。			(-イットカ-)というか、祭器を使えば、他人や動物に擬態できるからね。好きに姿を変えられる相手の情報をどうやって集めればいいか、クガネでも、途方に暮れていたのさ。			凄腕の狩人							
(-イットカ-)だがそんなとき、街でケンカが多発しているという噂を聞いた。不可解なのは、当事者たちが口々に、その原因にまったく身に覚えがないと言っていることだ。			(-イットカ-)だがそんなとき、街でケンカが多発しているという噂を聞いた。不可解なのは、当事者たちが口々に、その原因にまったく身に覚えがないと言っていることだ。			凄腕の狩人							
(-イットカ-)さらに住人たちの間で、自分と瓜ふたつの外見をした者が、同時刻に別の場所で目撃されたという怪談話も広まっていてね。			(-イットカ-)さらに住人たちの間で、自分と瓜ふたつの外見をした者が、同時刻に別の場所で目撃されたという怪談話も広まっていてね。			凄腕の狩人							
(-イットカ-)それらのことから、アタシは祭器で他人に擬態した犯人が、ケンカの火種を撒いているのでは、と睨んでるんだよ。			(-イットカ-)それらのことから、アタシは祭器で他人に擬態した犯人が、ケンカの火種を撒いているのでは、と睨んでるんだよ。			凄腕の狩人							
(-イットカ-)だから、このケンカ騒ぎを追いたいんだが……怪しい者を押さえたところで、どうせしらばっくれるだろう。そこで、ある薬が役に立つんだ。			(-イットカ-)だから、このケンカ騒ぎを追いたいんだが……怪しい者を押さえたところで、どうせしらばっくれるだろう。そこで、ある薬が役に立つんだ。			凄腕の狩人							
(-イットカ-)集落には祭器を悪用されたときの備えとして、擬態を強制的に解く秘薬の製法が伝わっていてね。製作したものをいくつか持ってきたんだよ。			(-イットカ-)集落には祭器を悪用されたときの備えとして、擬態を強制的に解く秘薬の製法が伝わっていてね。製作したものをいくつか持ってきたんだよ。			凄腕の狩人							
(-イットカ-)こいつを投げつければ、たちどころに正体を暴くことができる。さっそく、街でケンカ騒ぎが起きてないか探してみよう。			(-イットカ-)こいつを投げつければ、たちどころに正体を暴くことができる。さっそく、街でケンカ騒ぎが起きてないか探してみよう。			凄腕の狩人							
(-イットカ-)ただ、街中にはどこに犯人が潜んでいるかわからないから、できるだけ、一緒に行動した方がよさそうだ。準備ができたら、声をかけてくれ。			(-イットカ-)ただ、街中にはどこに犯人が潜んでいるかわからないから、できるだけ、一緒に行動した方がよさそうだ。準備ができたら、声をかけてくれ。			凄腕の狩人							
よし、人通りの多いところといえば、商店街だね。まずは「楽座街」というところに向かおう。			よし、人通りの多いところといえば、商店街だね。まずは「楽座街」というところに向かおう。			凄腕の狩人							
何をする？			何をする？			凄腕の狩人							
話す			話す			凄腕の狩人							
同行状態を解除する			同行状態を解除する			凄腕の狩人							
キャンセル			キャンセル			凄腕の狩人							
トライヨラの街でも驚いたけれど、クガネも負けず劣らず人が多くてビックリしたよ。集落の者はアタシも含めて、滅多に故郷の森から出ないからね。			トライヨラの街でも驚いたけれど、クガネも負けず劣らず人が多くてビックリしたよ。集落の者はアタシも含めて、滅多に故郷の森から出ないからね。			凄腕の狩人							
「街」について話す			「街」について話す			凄腕の狩人							
それにしても、クガネの街はどこも人が作った物で溢れてるね。森育ちのアタシには驚きの光景だよ。			それにしても、クガネの街はどこも人が作った物で溢れてるね。森育ちのアタシには驚きの光景だよ。			凄腕の狩人							
とはいえ慣れてくると、こんな街も悪くないと思えてくる。アタシたちは、自然と共に生きる暮らしを大切にしているけど、人工物を否定しているわけじゃないしね。			とはいえ慣れてくると、こんな街も悪くないと思えてくる。アタシたちは、自然と共に生きる暮らしを大切にしているけど、人工物を否定しているわけじゃないしね。			凄腕の狩人							
「海」について話す			「海」について話す			凄腕の狩人							
海って本当に大きいね！今回の件で、トライヨラに行って初めて見たけど、故郷の森にある湖とは桁違いだよ。			海って本当に大きいね！今回の件で、トライヨラに行って初めて見たけど、故郷の森にある湖とは桁違いだよ。			凄腕の狩人							
湖では、よく向こう岸まで泳いで競争したものだけど、これだけ広ければ、陸地に着く前に力尽きてしまうだろうね。			湖では、よく向こう岸まで泳いで競争したものだけど、これだけ広ければ、陸地に着く前に力尽きてしまうだろうね。			凄腕の狩人							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			凄腕の狩人							
急用でもあるの？アタシは下宿先で待ってるから、早く戻ってきてね。			急用でもあるの？アタシは下宿先で待ってるから、早く戻ってきてね。			凄腕の狩人							
待ってたよ。さあ、ケンカ騒ぎが起こってないか探しにいこう。			待ってたよ。さあ、ケンカ騒ぎが起こってないか探しにいこう。			凄腕の狩人							
このクエストを進行させるには、イットカが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、イットカが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			凄腕の狩人							
同行者がまだ到着していない。近くまで迎えにいって、ともに見渡そう。			同行者がまだ到着していない。近くまで迎えにいって、ともに見渡そう。			凄腕の狩人							
(-男性の怒号-)だから、これじゃあ金が足りねえんだよ！			(-男性の怒号-)だから、これじゃあ金が足りねえんだよ！			凄腕の狩人							
そ、そんな……先ほど、きちんとお釣りは渡したはずです……。			そ、そんな……先ほど、きちんとお釣りは渡したはずです……。			凄腕の狩人							
いいから、早く釣りをよこしやがれ！ぶっ飛ばされてぇのかッ！			いいから、早く釣りをよこしやがれ！ぶっ飛ばされてぇのかッ！			凄腕の狩人							
何と言う？			何と言う？			凄腕の狩人							
激高している客が擬態している犯人だ			激高している客が擬態している犯人だ			凄腕の狩人							
怯えている店員が擬態している犯人だ			怯えている店員が擬態している犯人だ			凄腕の狩人							
もう少し観察しよう……			もう少し観察しよう……			凄腕の狩人							
アタシもそうだと思ったよ！			アタシもそうだと思ったよ！			凄腕の狩人							
わざわざ脅される側に擬態するとは思えない。どう見ても、怒ってる客が怪しい！			わざわざ脅される側に擬態するとは思えない。どう見ても、怒ってる客が怪しい！			凄腕の狩人							
いや、もう一目瞭然だよ！いちゃもんをつけてる客、明らかに怪しいもの！			いや、もう一目瞭然だよ！いちゃもんをつけてる客、明らかに怪しいもの！			凄腕の狩人							
これで正体を現せ！			これで正体を現せ！			凄腕の狩人							
な、何しやがんだテメェ！			な、何しやがんだテメェ！			凄腕の狩人							
あ、あれ、違った？ごごご、ごめんなさ～い！			あ、あれ、違った？ごごご、ごめんなさ～い！			凄腕の狩人							
(-怯えている店員の悲鳴-)ああああああああ！			(-怯えている店員の悲鳴-)ああああああああ！			凄腕の狩人							
ももも、申し訳ございませ～ん！私が計算違いをしていました～～～！！			ももも、申し訳ございませ～ん！私が計算違いをしていました～～～！！			凄腕の狩人							
差額をちゃんとお返しするので、どどど、どうか許してくださ～～～い！！			差額をちゃんとお返しするので、どどど、どうか許してくださ～～～い！！			凄腕の狩人							
す、すみません。大変、お騒がせしました……。			す、すみません。大変、お騒がせしました……。			凄腕の狩人							
ま、まあ、そう簡単には見つからないよね。気をとりなおして、今度は「小金通り」という商店街へ向かおう。			ま、まあ、そう簡単には見つからないよね。気をとりなおして、今度は「小金通り」という商店街へ向かおう。			凄腕の狩人							
(-男性の怒号-)叩き斬ってくれる！			(-男性の怒号-)叩き斬ってくれる！			凄腕の狩人							
いったい、何があったんだ？			いったい、何があったんだ？			凄腕の狩人							
あの大男が人妻に手を出したんだってさ。こりゃ、痴話ゲンカじゃ済まないね。			あの大男が人妻に手を出したんだってさ。こりゃ、痴話ゲンカじゃ済まないね。			凄腕の狩人							
お、落ち着け！拙者は何もしておらぬ……！			お、落ち着け！拙者は何もしておらぬ……！			凄腕の狩人							
女房からはっきり聞いたのだ！彼女が嘘をついているとでも……！？			女房からはっきり聞いたのだ！彼女が嘘をついているとでも……！？			凄腕の狩人							
(-悲痛な様子の女性-)私を辱めた、その汚らわしい男を斬って！			(-悲痛な様子の女性-)私を辱めた、その汚らわしい男を斬って！			凄腕の狩人							
事実無根だ！なにゆえ、そのような出鱈目を！？			事実無根だ！なにゆえ、そのような出鱈目を！？			凄腕の狩人							
(-悲痛な様子の女性-)何を迷ってるの、早くその男を殺して！			(-悲痛な様子の女性-)何を迷ってるの、早くその男を殺して！			凄腕の狩人							
ええい……そこへなおれ、斬り捨てる！			ええい……そこへなおれ、斬り捨てる！			凄腕の狩人							
ぬう、聞く耳持たぬなら致し方なし！刀で潔白を証明しよう！			ぬう、聞く耳持たぬなら致し方なし！刀で潔白を証明しよう！			凄腕の狩人							
あの女こそ擬態した犯人だなッ！？			あの女こそ擬態した犯人だなッ！？			凄腕の狩人							
(-忍者風の男性-)お前は……小癪なことを……。			(-忍者風の男性-)お前は……小癪なことを……。			凄腕の狩人							
(-忍者風の男性-)まあいい、痴話ゲンカにも飽きてきたところ……今後は、より大事を成すとしよう。			(-忍者風の男性-)まあいい、痴話ゲンカにも飽きてきたところ……今後は、より大事を成すとしよう。			凄腕の狩人							
逃がすものかッ！			逃がすものかッ！			凄腕の狩人							
ど、どうも今日は弓の調子が悪いな……。			ど、どうも今日は弓の調子が悪いな……。			凄腕の狩人							
あんた！			あんた！			凄腕の狩人							
本物のお前なんだな、無事でよかった……。			本物のお前なんだな、無事でよかった……。			凄腕の狩人							
彼女は裏通りで倒れていた。何者かに襲われ気を失ってしまったようだ。			彼女は裏通りで倒れていた。何者かに襲われ気を失ってしまったようだ。			凄腕の狩人							
そうか、あの犯人が彼女に擬態して夫を騙すため、昏倒させたってことだな。			そうか、あの犯人が彼女に擬態して夫を騙すため、昏倒させたってことだな。			凄腕の狩人							
まんまと騙されてしまった……面目ない。			まんまと騙されてしまった……面目ない。			凄腕の狩人							
よいのだ。まさか、自分の妻が偽者だとは思うまい。			よいのだ。まさか、自分の妻が偽者だとは思うまい。			凄腕の狩人							
あなたたちのおかげで、刃傷沙汰にならずに済んだ。クガネの治安を守る者として礼を言う。			あなたたちのおかげで、刃傷沙汰にならずに済んだ。クガネの治安を守る者として礼を言う。			凄腕の狩人							
しかし、何者にも擬態できるという犯人は危険だ。赤誠組も十分に警戒し、注意喚起の御触れも出しておこう。			しかし、何者にも擬態できるという犯人は危険だ。赤誠組も十分に警戒し、注意喚起の御触れも出しておこう。			凄腕の狩人							
ひとまず下宿先に戻って、犯人についての話をさせてくれ。			ひとまず下宿先に戻って、犯人についての話をさせてくれ。			凄腕の狩人							
予想どおり、犯人は祭器を使って他人に擬態し、人を争わせているようだった。			予想どおり、犯人は祭器を使って他人に擬態し、人を争わせているようだった。			凄腕の狩人							
いったい、何の目的でそんなことをしているのか、見当もつかないけどね……。			いったい、何の目的でそんなことをしているのか、見当もつかないけどね……。			凄腕の狩人							
祭器の力で誰にだって擬態できる以上、「争いごと」を手がかりに犯人を追うしかないだろう。			祭器の力で誰にだって擬態できる以上、「争いごと」を手がかりに犯人を追うしかないだろう。			凄腕の狩人							
それにしても、Forenameが来てくれていろいろ助かったよ。これからも、どうぞよろしく！			それにしても、Forenameが来てくれていろいろ助かったよ。これからも、どうぞよろしく！			凄腕の狩人							
赤誠組屯所付近のイットカは、次なる行動に出たいようだ。			赤誠組屯所付近のイットカは、次なる行動に出たいようだ。			海域を巡る争い							
イットカと話した。祭器を盗んだ犯人はクガネを去ったようだ。次なる場所で、犯人の手がかりとなる争いごとを探すことになった。紅玉海の紅玉台場で情報を集めよう。			イットカと話した。祭器を盗んだ犯人はクガネを去ったようだ。次なる場所で、犯人の手がかりとなる争いごとを探すことになった。紅玉海の紅玉台場で情報を集めよう。			海域を巡る争い							
イカルガと話した。最近、紅玉台場に海賊衆の小舟が近づき、一触即発の事態となったそうだ。紅玉海のサカズキ島で、海賊衆から情報を集めよう。			イカルガと話した。最近、紅玉台場に海賊衆の小舟が近づき、一触即発の事態となったそうだ。紅玉海のサカズキ島で、海賊衆から情報を集めよう。			海域を巡る争い							
情報を集めたところ、海賊衆には身に覚えがなく、紅玉台場の防人が、海賊衆の海域に侵入したことがあったという。サカズキ島の「イットカ」と話そう。			情報を集めたところ、海賊衆には身に覚えがなく、紅玉台場の防人が、海賊衆の海域に侵入したことがあったという。サカズキ島の「イットカ」と話そう。			海域を巡る争い							
イットカと話したところ、中年の海賊衆から、海賊衆の頭領が仲間を集めて紅玉台場に乗り込もうとしていると聞いた。彼らの暴挙を止めるため、紅玉海のベッコウ島付近にいる「イットカ」と話そう。			イットカと話したところ、中年の海賊衆から、海賊衆の頭領が仲間を集めて紅玉台場に乗り込もうとしていると聞いた。彼らの暴挙を止めるため、紅玉海のベッコウ島付近にいる「イットカ」と話そう。			海域を巡る争い							
イットカと話し、海賊衆の頭領たちの元へ向かった。頭領のラショウは、祭器を盗んだ犯人が擬態していた。犯人は人の本性を暴きたいという目的を語り、イットカは犯人に矢を射るが、またも外れて逃げられてしまう。海賊衆は紅玉海の警備を強化するそうだ。赤誠組屯所付近に戻り「イットカ」と話そう。			イットカと話し、海賊衆の頭領たちの元へ向かった。頭領のラショウは、祭器を盗んだ犯人が擬態していた。犯人は人の本性を暴きたいという目的を語り、イットカは犯人に矢を射るが、またも外れて逃げられてしまう。海賊衆は紅玉海の警備を強化するそうだ。赤誠組屯所付近に戻り「イットカ」と話そう。			海域を巡る争い							
イットカと話した。彼女は祭器を盗んだ犯人の目的に憤りを感じているようだ。イットカが新たな情報を掴むのを待ち、また彼女を訪ねよう。※いずれかの近接物理DPSジョブのレベルが94以上になると、赤誠組屯所付近のイットカから次の近接物理DPSロールクエストを受注することができます。			イットカと話した。彼女は祭器を盗んだ犯人の目的に憤りを感じているようだ。イットカが新たな情報を掴むのを待ち、また彼女を訪ねよう。※いずれかの近接物理DPSジョブのレベルが94以上になると、赤誠組屯所付近のイットカから次の近接物理DPSロールクエストを受注することができます。			海域を巡る争い							
紅玉台場で情報を集める			紅玉台場で情報を集める			海域を巡る争い							
サカズキ島で情報を集める			サカズキ島で情報を集める			海域を巡る争い							
イットカと話す			イットカと話す			海域を巡る争い							
イットカと再度話す			イットカと再度話す			海域を巡る争い							
クガネのイットカと話す			クガネのイットカと話す			海域を巡る争い							
やあ、Forename。あれからクガネでは、祭器を盗んだ犯人が仕組んだような、不可解なケンカは起こってないみたいだ。			やあ、Forename。あれからクガネでは、祭器を盗んだ犯人が仕組んだような、不可解なケンカは起こってないみたいだ。			海域を巡る争い							
去り際に「大事を成す」とか言っていたし……もしかしたら、すでにクガネを離れているのかもしれないね。			去り際に「大事を成す」とか言っていたし……もしかしたら、すでにクガネを離れているのかもしれないね。			海域を巡る争い							
だが、トラル大陸からわざわざ遠きクガネを目指してきたんだ。いきなり、まったく違う地域へ移動するとも思えない……。このあたりで、人が集まりそうな集落に心当たりはないかな？			だが、トラル大陸からわざわざ遠きクガネを目指してきたんだ。いきなり、まったく違う地域へ移動するとも思えない……。このあたりで、人が集まりそうな集落に心当たりはないかな？			海域を巡る争い							
何と言う？			何と言う？			海域を巡る争い							
目の前の紅玉海			目の前の紅玉海			海域を巡る争い							
紅玉海にはいくつか集落がある			紅玉海にはいくつか集落がある			海域を巡る争い							
そうか、紅玉海の方にも人が住んでいるんだね。だとしたら、まずは足掛かりになるところに行って、情報を集めるのがよさそうだけど……。			そうか、紅玉海の方にも人が住んでいるんだね。だとしたら、まずは足掛かりになるところに行って、情報を集めるのがよさそうだけど……。			海域を巡る争い							
なるほど、紅玉台場という場所には、海を見張る役目を持った防人という人たちがいるのか。いやはや、キミがいてくれて本当に助かるよ！			なるほど、紅玉台場という場所には、海を見張る役目を持った防人という人たちがいるのか。いやはや、キミがいてくれて本当に助かるよ！			海域を巡る争い							
