宝杖通りのナシュは、何か手伝ってほしいようだ。			宝杖通りのナシュは、何か手伝ってほしいようだ。			事件屋を探せ							
指定地点で待機			指定地点で待機			事件屋を探せ							
ファルコンネストのレッドワルドと話す			ファルコンネストのレッドワルドと話す			事件屋を探せ							
指定地点で見渡す			指定地点で見渡す			事件屋を探せ							
あれれ、冒険者さんじゃないですか？お久しぶりです！　またお会いできて嬉しいです～！			あれれ、冒険者さんじゃないですか？お久しぶりです！　またお会いできて嬉しいです～！			事件屋を探せ							
でも、何でイシュガルドに？もしかして、ナシュをお手伝いに来てくれたんですか～？			でも、何でイシュガルドに？もしかして、ナシュをお手伝いに来てくれたんですか～？			事件屋を探せ							
冒険者さんが来てくれて、嬉しいです～。 ナシュは、北のお空に飛び去ったヒルディブランド様を探して、はるばるイシュガルドまで、旅をしてきました……。			冒険者さんが来てくれて、嬉しいです～。 ナシュは、北のお空に飛び去ったヒルディブランド様を探して、はるばるイシュガルドまで、旅をしてきました……。			事件屋を探せ							
ようやく辿り着いて、聞き込みを始めたのですが……なかなかいい情報に巡り会えていないんです……。			ようやく辿り着いて、聞き込みを始めたのですが……なかなかいい情報に巡り会えていないんです……。			事件屋を探せ							
冒険者さんも、いっしょにイシュガルドの皆さんから、「紳士的なハイランダー族」の目撃情報を集めてくれませんか？さっそく、この辺りで聞き込みをしてみましょう～！			冒険者さんも、いっしょにイシュガルドの皆さんから、「紳士的なハイランダー族」の目撃情報を集めてくれませんか？さっそく、この辺りで聞き込みをしてみましょう～！			事件屋を探せ							
ヒルディブランド様は、大胆不敵で素敵な紳士なんです～！どこかで見かけたことはありませんか～？			ヒルディブランド様は、大胆不敵で素敵な紳士なんです～！どこかで見かけたことはありませんか～？			事件屋を探せ							
「紳士的なハイランダー族」を探しているって？すまないね……力になれそうにもないよ。そんな御仁は、とんと見たことがないからねぇ……。			「紳士的なハイランダー族」を探しているって？すまないね……力になれそうにもないよ。そんな御仁は、とんと見たことがないからねぇ……。			事件屋を探せ							
いらっしゃいませ……えっ、人探しですか？申し訳ありませんが「紳士的なハイランダー族」には、心当たりがありませんね。			いらっしゃいませ……えっ、人探しですか？申し訳ありませんが「紳士的なハイランダー族」には、心当たりがありませんね。			事件屋を探せ							
ただし、「エレイズ」女史なら、あるいは……。ここ「宝杖通り」の顔役である彼女でしたら、何か知っているかもしれませんよ。			ただし、「エレイズ」女史なら、あるいは……。ここ「宝杖通り」の顔役である彼女でしたら、何か知っているかもしれませんよ。			事件屋を探せ							
ここ皇都で、ハイランダー族となれば、それなりに目立つはずですけどね……。悪いが、見かけた記憶はないよ。			ここ皇都で、ハイランダー族となれば、それなりに目立つはずですけどね……。悪いが、見かけた記憶はないよ。			事件屋を探せ							
あら、いらっしゃいませ。今日はどういったご用件でしょう？			あら、いらっしゃいませ。今日はどういったご用件でしょう？			事件屋を探せ							
「紳士的なハイランダー族」を探しておられると……それでしたら、心当たりがありますわ。			「紳士的なハイランダー族」を探しておられると……それでしたら、心当たりがありますわ。			事件屋を探せ							
ヒルディブランド様がどこにいるか、知っているんですか～？			ヒルディブランド様がどこにいるか、知っているんですか～？			事件屋を探せ							
あらあら、元気なお嬢さんだこと。			あらあら、元気なお嬢さんだこと。			事件屋を探せ							
その方のお名前までは、存じ上げておりませんが、フォルタン伯爵邸にハイランダー族の紳士が招かれたと、小耳に挟んでおりますの。			その方のお名前までは、存じ上げておりませんが、フォルタン伯爵邸にハイランダー族の紳士が招かれたと、小耳に挟んでおりますの。			事件屋を探せ							
あなたはフォルタン家の方々とは親しいのでしょう？伯爵邸の前にいる「フォルタン家の騎兵」の方に、詳しい話を聞いてみてはいかがです？			あなたはフォルタン家の方々とは親しいのでしょう？伯爵邸の前にいる「フォルタン家の騎兵」の方に、詳しい話を聞いてみてはいかがです？			事件屋を探せ							
それじゃあ、冒険者さん。さっそくフォルタン伯爵邸に向かいましょう～！			それじゃあ、冒険者さん。さっそくフォルタン伯爵邸に向かいましょう～！			事件屋を探せ							
皇都の扉が開かれてからというもの、いろいろな方が、訪れるようになりました。時代の移り変わりを感じてしまいますわ。			皇都の扉が開かれてからというもの、いろいろな方が、訪れるようになりました。時代の移り変わりを感じてしまいますわ。			事件屋を探せ							
お帰りなさいませ、お客人。おや、そちらの女性は、お連れ様なので……？			お帰りなさいませ、お客人。おや、そちらの女性は、お連れ様なので……？			事件屋を探せ							
なるほど、人探しをしておられると……。確かに只今、エドモン様は外つ国から来訪された、ハイランダー族のお客様と面会しておられます。			なるほど、人探しをしておられると……。確かに只今、エドモン様は外つ国から来訪された、ハイランダー族のお客様と面会しておられます。			事件屋を探せ							
やりましたね、冒険者さん！やっぱり、ヒルディブランド様だったんです～！			やりましたね、冒険者さん！やっぱり、ヒルディブランド様だったんです～！			事件屋を探せ							
そろそろ、面会の時間も終わる頃合い……。そちらの東屋(あずまや)で、少々お待ちいただければ、帰りがけのお客様と会うこともできましょう。			そろそろ、面会の時間も終わる頃合い……。そちらの東屋(あずまや)で、少々お待ちいただければ、帰りがけのお客様と会うこともできましょう。			事件屋を探せ							
ありがとうございます～！			ありがとうございます～！			事件屋を探せ							
冒険者さん、ヒルディブランド様が出てくるのを向こうに行って、待っていましょう～！			冒険者さん、ヒルディブランド様が出てくるのを向こうに行って、待っていましょう～！			事件屋を探せ							
立派なお屋敷ですね～！でも、ヒルディブランド様のお家のほうが、もっともっとスゴイんですよ～？			立派なお屋敷ですね～！でも、ヒルディブランド様のお家のほうが、もっともっとスゴイんですよ～？			事件屋を探せ							
そろそろ、面会の時間も終わる頃合い……。そちらの東屋(あずまや)で、少々お待ちいただければ、帰りがけのお客様と会うこともできましょう。			そろそろ、面会の時間も終わる頃合い……。そちらの東屋(あずまや)で、少々お待ちいただければ、帰りがけのお客様と会うこともできましょう。			事件屋を探せ							
あっ、お屋敷から人が出てきたみたいです～！ヒルディブランド様～！			あっ、お屋敷から人が出てきたみたいです～！ヒルディブランド様～！			事件屋を探せ							
本日は、遠路はるばるお越し頂き、誠にありがとうございました。			本日は、遠路はるばるお越し頂き、誠にありがとうございました。			事件屋を探せ							
(-？？？？-)いやいや、何をおっしゃいますか。実りある商談となったこと、こちらからもお礼を申し上げたい。今後は、ともに手を取り合って協力していきたいものですな！			(-？？？？-)いやいや、何をおっしゃいますか。実りある商談となったこと、こちらからもお礼を申し上げたい。今後は、ともに手を取り合って協力していきたいものですな！			事件屋を探せ							
ヒルディブランド様！ずっと探してたんですよ～！			ヒルディブランド様！ずっと探してたんですよ～！			事件屋を探せ							
ホーウ！その声は、我が息子の助手……そして、息子の友人Forename殿ではありませんか！			ホーウ！その声は、我が息子の助手……そして、息子の友人Forename殿ではありませんか！			事件屋を探せ							
あっ、ゴッドベルト様！？もしかして、フォルタン家のお屋敷に招かれた、「紳士的なハイランダー族」って……。			あっ、ゴッドベルト様！？もしかして、フォルタン家のお屋敷に招かれた、「紳士的なハイランダー族」って……。			事件屋を探せ							
ホゥ、北の空へと旅立った我が息子を探し、はるばるイシュガルドにやって来たと……。			ホゥ、北の空へと旅立った我が息子を探し、はるばるイシュガルドにやって来たと……。			事件屋を探せ							
(-？？？？-)み、み、見つけたぞ……この異端者めェ！			(-？？？？-)み、み、見つけたぞ……この異端者めェ！			事件屋を探せ							
(-？？？？-)黒い服、怪しい眼光、盛り上がる筋肉！すべてが目撃された異端者の風体と合致する……。まさか、こんなにも早く、皇都に入り込んでいたなんて！			(-？？？？-)黒い服、怪しい眼光、盛り上がる筋肉！すべてが目撃された異端者の風体と合致する……。まさか、こんなにも早く、皇都に入り込んでいたなんて！			事件屋を探せ							
なんと無礼な……！こちらの紳士は、ウルダハより招いた大切なお客様、いかに異端審問官殿とはいえ、礼節を欠く言動は許しませんぞ！			なんと無礼な……！こちらの紳士は、ウルダハより招いた大切なお客様、いかに異端審問官殿とはいえ、礼節を欠く言動は許しませんぞ！			事件屋を探せ							
(-？？？？-)な、なんですって！？……四大名家に連なるフォルタン家が招いた客人となれば、身元の保証は完璧……異端の可能性は皆無……？			(-？？？？-)な、なんですって！？……四大名家に連なるフォルタン家が招いた客人となれば、身元の保証は完璧……異端の可能性は皆無……？			事件屋を探せ							
(-？？？？-)しかし、確かにあの異様な肉体には、異端の匂いが……。いや落ち着け自分……軽々しく異端と告発して決闘裁判になれば、あの筋肉と1対1での勝負…………行き着く先は……死！？			(-？？？？-)しかし、確かにあの異様な肉体には、異端の匂いが……。いや落ち着け自分……軽々しく異端と告発して決闘裁判になれば、あの筋肉と1対1での勝負…………行き着く先は……死！？			事件屋を探せ							
こ、これは失礼……どうやら誤情報だったようですね。私の名は「キール」、皇都を守る異端審問官です。異端者の目撃情報が寄せられ、捜査中でして……。			こ、これは失礼……どうやら誤情報だったようですね。私の名は「キール」、皇都を守る異端審問官です。異端者の目撃情報が寄せられ、捜査中でして……。			事件屋を探せ							
ホッホッホゥ……誰にでも間違いはあるというもの。しかし、人違いをするほどに、その「異端者」とやらと、私の外見とが似ていたのですかな？			ホッホッホゥ……誰にでも間違いはあるというもの。しかし、人違いをするほどに、その「異端者」とやらと、私の外見とが似ていたのですかな？			事件屋を探せ							
え、えぇ、そうなのですよ。「黒い服を身にまとった筋肉質な紳士」だったと、目撃者が証言しておりましてね……。			え、えぇ、そうなのですよ。「黒い服を身にまとった筋肉質な紳士」だったと、目撃者が証言しておりましてね……。			事件屋を探せ							
あれれ～、なんだかヒルディブランド様の特徴と少しだけ似ている気がします～。			あれれ～、なんだかヒルディブランド様の特徴と少しだけ似ている気がします～。			事件屋を探せ							
な、な、なんですって！？似た特徴をお持ちのご友人がおられるのですか？			な、な、なんですって！？似た特徴をお持ちのご友人がおられるのですか？			事件屋を探せ							
なるほど、行方不明になったゴッドベルト氏のご子息を、探している最中だったのですか……。			なるほど、行方不明になったゴッドベルト氏のご子息を、探している最中だったのですか……。			事件屋を探せ							
でしたら、私の捜査に同行してみませんか？私はこれから、最初に問題の「異端者」が目撃されたクルザス西部高地に向かうつもりです。			でしたら、私の捜査に同行してみませんか？私はこれから、最初に問題の「異端者」が目撃されたクルザス西部高地に向かうつもりです。			事件屋を探せ							
また人違いをするのもイヤですし、あなた方としても、その「異端者」が尋ね人かどうか、確認したいのではありませんか？			また人違いをするのもイヤですし、あなた方としても、その「異端者」が尋ね人かどうか、確認したいのではありませんか？			事件屋を探せ							
冒険者さん、キールさんといっしょに行ってみましょう！ヒルディブランド様が見つかるかもしれませんよ～！			冒険者さん、キールさんといっしょに行ってみましょう！ヒルディブランド様が見つかるかもしれませんよ～！			事件屋を探せ							
そういうことなら、私も同行しますぞ。せっかく遠方まで来たのですから、北の大地で、たくましく成長した愛息子を、一目見ておきたいですからな！			そういうことなら、私も同行しますぞ。せっかく遠方まで来たのですから、北の大地で、たくましく成長した愛息子を、一目見ておきたいですからな！			事件屋を探せ							
ご協力に感謝します、みなさん。それでは早速ですがファルコンネストに向かい、現地の指揮官、「レッドワルド」卿から事情を聞いてみましょう。			ご協力に感謝します、みなさん。それでは早速ですがファルコンネストに向かい、現地の指揮官、「レッドワルド」卿から事情を聞いてみましょう。			事件屋を探せ							
これはこれは、Surname殿……。お連れの方を多数引き連れて……いったい何事かな？			これはこれは、Surname殿……。お連れの方を多数引き連れて……いったい何事かな？			事件屋を探せ							
あぁ、例の「屈強な不審者」の件か……。巡回に出ていた我が部下が、ダスクヴィジルの周辺で、怪しい人影を目撃したというのが、事の発端でな……。			あぁ、例の「屈強な不審者」の件か……。巡回に出ていた我が部下が、ダスクヴィジルの周辺で、怪しい人影を目撃したというのが、事の発端でな……。			事件屋を探せ							
具体的に異端に繋がる要素があった訳ではないのだが、念のために不審者を見たと、異端審問局に通報した次第なのだよ。			具体的に異端に繋がる要素があった訳ではないのだが、念のために不審者を見たと、異端審問局に通報した次第なのだよ。			事件屋を探せ							
かの地は、今や寄りつく者も少ない廃墟……。これは、臭い……臭いですよ。異端の匂いが、プンプンしやがります！			かの地は、今や寄りつく者も少ない廃墟……。これは、臭い……臭いですよ。異端の匂いが、プンプンしやがります！			事件屋を探せ							
おっと失礼……昔の上司の口癖でしてね。興奮すると、つい口に出てしまうのですよ。			おっと失礼……昔の上司の口癖でしてね。興奮すると、つい口に出てしまうのですよ。			事件屋を探せ							
なにせ最近は、異端者の活動も沈静化していまして、異端審問局の仕事も減る一方なのです。検挙数も、ほとんどゼロに等しい有様でしてねぇ……。			なにせ最近は、異端者の活動も沈静化していまして、異端審問局の仕事も減る一方なのです。検挙数も、ほとんどゼロに等しい有様でしてねぇ……。			事件屋を探せ							
教皇庁の中では、異端審問局の予算縮小どころか、組織廃止論まで検討されはじめていると言うではありませんか。ここらで一発、凶悪な異端者を捕まえたくもなるというものです！			教皇庁の中では、異端審問局の予算縮小どころか、組織廃止論まで検討されはじめていると言うではありませんか。ここらで一発、凶悪な異端者を捕まえたくもなるというものです！			事件屋を探せ							
繰り返すが、問題の人物が異端者だという確証はないのだぞ？それでも探すというなら、ダスクヴィジルの周辺から、捜査をしてみるのがいいだろう。			繰り返すが、問題の人物が異端者だという確証はないのだぞ？それでも探すというなら、ダスクヴィジルの周辺から、捜査をしてみるのがいいだろう。			事件屋を探せ							
貴重な情報提供、感謝しますよ。見事に異端者の検挙に成功した暁には、レッドワルド卿の功績も、報告しておきます。			貴重な情報提供、感謝しますよ。見事に異端者の検挙に成功した暁には、レッドワルド卿の功績も、報告しておきます。			事件屋を探せ							
では、みなさん、さっそく異端者の捜索に赴きましょう。目的地は、ここより北西にある廃墟「ダスクヴィジル」……寒い場所ですので、防寒対策はお忘れなく！			では、みなさん、さっそく異端者の捜索に赴きましょう。目的地は、ここより北西にある廃墟「ダスクヴィジル」……寒い場所ですので、防寒対策はお忘れなく！			事件屋を探せ							
流石にクルザスの地は寒いですな！しかし、この一面の銀世界は、実に美しい！ママも連れてくれば良かったと、少し後悔していますぞ！			流石にクルザスの地は寒いですな！しかし、この一面の銀世界は、実に美しい！ママも連れてくれば良かったと、少し後悔していますぞ！			事件屋を探せ							
湖、凍ってます～！			湖、凍ってます～！			事件屋を探せ							
……僕、確かに「防寒対策はお忘れなく」と言いましたよね？いえ、何でもありません……。言い忘れたんじゃないかと、ちょっと気になったもので。			……僕、確かに「防寒対策はお忘れなく」と言いましたよね？いえ、何でもありません……。言い忘れたんじゃないかと、ちょっと気になったもので。			事件屋を探せ							
繰り返すが、問題の人物が異端者だという確証はないのだぞ？それでも探すというなら、ダスクヴィジルの周辺から、捜査をしてみるのがいいだろう。			繰り返すが、問題の人物が異端者だという確証はないのだぞ？それでも探すというなら、ダスクヴィジルの周辺から、捜査をしてみるのがいいだろう。			事件屋を探せ							
さ、寒い……寒いです……。異端者どころか、人影ひとつ見当たらないじゃないですか……。誰ですか、ここに異端者がいるって言ったのは！			さ、寒い……寒いです……。異端者どころか、人影ひとつ見当たらないじゃないですか……。誰ですか、ここに異端者がいるって言ったのは！			事件屋を探せ							
あっ、砦の中から、誰か出てきます！ヒルディブランド様～！			あっ、砦の中から、誰か出てきます！ヒルディブランド様～！			事件屋を探せ							
おやおや、アナタは先生の助手サンではありませんカ……。こんなトコロで再会するとは、奇遇デスネ！			おやおや、アナタは先生の助手サンではありませんカ……。こんなトコロで再会するとは、奇遇デスネ！			事件屋を探せ							
ひ、ひぃ！　ゾンビーがしゃべった！？このプンプンする腐臭……間違いなく異端だー！！			ひ、ひぃ！　ゾンビーがしゃべった！？このプンプンする腐臭……間違いなく異端だー！！			事件屋を探せ							
キールさんの冗談、面白いです～！でも、ゾンビーさんが異端者なわけ、ないじゃないですか～！			キールさんの冗談、面白いです～！でも、ゾンビーさんが異端者なわけ、ないじゃないですか～！			事件屋を探せ							
それより、どうしてゾンビーさんはココにいるんですか～？			それより、どうしてゾンビーさんはココにいるんですか～？			事件屋を探せ							
私は、この廃墟にゾンビーがいるという噂を聞いて、「ゾンビー紳士団」にスカウトするために来たのデス。もっとも、空振りだったのデスガネ……。			私は、この廃墟にゾンビーがいるという噂を聞いて、「ゾンビー紳士団」にスカウトするために来たのデス。もっとも、空振りだったのデスガネ……。			事件屋を探せ							
フムフム、皆さんは、先生を探しておられるのデスカ……。しかし、私はひとりでココまで旅をしてきたのデス。			フムフム、皆さんは、先生を探しておられるのデスカ……。しかし、私はひとりでココまで旅をしてきたのデス。			事件屋を探せ							
エッ……アナタがここの砦を掃討したのデスカ？どうりで、ゾンビーがただの凍った死体になってるわけデス。せっかく苦しい一人旅を続けてきたのに……無念デス……。			エッ……アナタがここの砦を掃討したのデスカ？どうりで、ゾンビーがただの凍った死体になってるわけデス。せっかく苦しい一人旅を続けてきたのに……無念デス……。			事件屋を探せ							
そ、そんな～それじゃあ、ヒルディブランド様は、クルザスに来ていないんですか～？			そ、そんな～それじゃあ、ヒルディブランド様は、クルザスに来ていないんですか～？			事件屋を探せ							
ま、まってくだサイ。確かに先生は、私といっしょに来たわけではありませんが、この近くにいるはずデスヨ？　先生のエーテルを感じますカラ！			ま、まってくだサイ。確かに先生は、私といっしょに来たわけではありませんが、この近くにいるはずデスヨ？　先生のエーテルを感じますカラ！			事件屋を探せ							
ほ、本当ですか～！ゾンビーさん、すぐにヒルディブランド様がいるところまで、案内してください～！			ほ、本当ですか～！ゾンビーさん、すぐにヒルディブランド様がいるところまで、案内してください～！			事件屋を探せ							
承りマシタ！私、鼻は腐ってマスが、生者の匂いには敏感な方なのデス！さあ、私の後に付いてきてくだサイヨ～！			承りマシタ！私、鼻は腐ってマスが、生者の匂いには敏感な方なのデス！さあ、私の後に付いてきてくだサイヨ～！			事件屋を探せ							
過去にゾンビーが、異端者として裁かれた判例は……どこにも記述は……ない……見当たらないぞ……？ほ、本当に異端じゃないのか？			過去にゾンビーが、異端者として裁かれた判例は……どこにも記述は……ない……見当たらないぞ……？ほ、本当に異端じゃないのか？			事件屋を探せ							
あれっ、みなさん……待ってくださいよ～！			あれっ、みなさん……待ってくださいよ～！			事件屋を探せ							
ツインプールズのキールは、異端者の手がかりを追いたいようだ。			ツインプールズのキールは、異端者の手がかりを追いたいようだ。			のこされた手がかり							
ゾンビーの案内に従い、ゴッドベルトとナシュ・マカラッカは移動を開始してしまった。クルザス西部高地のゴルガニュ牧草地で「紳士的なゾンビー」と話そう。			ゾンビーの案内に従い、ゴッドベルトとナシュ・マカラッカは移動を開始してしまった。クルザス西部高地のゴルガニュ牧草地で「紳士的なゾンビー」と話そう。			のこされた手がかり							
紳士的なゾンビーによると、この周辺にヒルディブランドがいるはずらしい。クルザス西部高地のリバーズミートで「ナシュ・マカラッカ」と話そう。			紳士的なゾンビーによると、この周辺にヒルディブランドがいるはずらしい。クルザス西部高地のリバーズミートで「ナシュ・マカラッカ」と話そう。			のこされた手がかり							
ナシュ・マカラッカが、地面に突き刺さった人物を発見したが、イエティに取り囲まれていた。まずは、リバーズミートでイエティたちを倒そう。			ナシュ・マカラッカが、地面に突き刺さった人物を発見したが、イエティに取り囲まれていた。まずは、リバーズミートでイエティたちを倒そう。			のこされた手がかり							
イエティたちを倒した。リバーズミートの地面に突き刺さった「ヒルディブランド？」を調べよう。			イエティたちを倒した。リバーズミートの地面に突き刺さった「ヒルディブランド？」を調べよう。			のこされた手がかり							
地面に突き刺さった人物は、やはりヒルディブランドだった。見事に復活を果たしたヒルディブランドだったが、彼は雪中から謎の魔法人形を引っ張り出したのだった。今後を相談するため、リバーズミートの「ヒルディブランド」と話そう。			地面に突き刺さった人物は、やはりヒルディブランドだった。見事に復活を果たしたヒルディブランドだったが、彼は雪中から謎の魔法人形を引っ張り出したのだった。今後を相談するため、リバーズミートの「ヒルディブランド」と話そう。			のこされた手がかり							
「ギギ」と名付けられた魔法人形の失われた記憶を探すため、ヒルディブランドは行動を開始した。イシュガルドのエーテライト・プラザにいる「キール」と話そう。			「ギギ」と名付けられた魔法人形の失われた記憶を探すため、ヒルディブランドは行動を開始した。イシュガルドのエーテライト・プラザにいる「キール」と話そう。			のこされた手がかり							
キールと話した。ヒルディブランドたちは、イシュガルドに入国した後、ギギの記憶の手がかりを求めてどこかに行ってしまったらしい。これ以上の騒動が起こらないことを祈ろう。			キールと話した。ヒルディブランドたちは、イシュガルドに入国した後、ギギの記憶の手がかりを求めてどこかに行ってしまったらしい。これ以上の騒動が起こらないことを祈ろう。			のこされた手がかり							
紳士的なゾンビーと話す			紳士的なゾンビーと話す			のこされた手がかり							
ナシュ・マカラッカと話す			ナシュ・マカラッカと話す			のこされた手がかり							
ジェントルマン・イエティを倒す			ジェントルマン・イエティを倒す			のこされた手がかり							
ヒルディブランド？を調べる			ヒルディブランド？を調べる			のこされた手がかり							
ヒルディブランドと話す			ヒルディブランドと話す			のこされた手がかり							
イシュガルドのキールと話す			イシュガルドのキールと話す			のこされた手がかり							
まったく、勝手な人たちですね。あくまでも僕の捜査に同行するという立場のはずなのに、怪しいゾンビーに、ホイホイ付いていってしまうなんて……。			まったく、勝手な人たちですね。あくまでも僕の捜査に同行するという立場のはずなのに、怪しいゾンビーに、ホイホイ付いていってしまうなんて……。			のこされた手がかり							
ともかく「屈強な異端者」の手がかりが途絶えた今、あの「紳士的なゾンビー」を追うしかないようですね……。Forenameさん、彼らを追跡しましょう。			ともかく「屈強な異端者」の手がかりが途絶えた今、あの「紳士的なゾンビー」を追うしかないようですね……。Forenameさん、彼らを追跡しましょう。			のこされた手がかり							
クルザスの雪景色を眺めていると、新作の着想が次々と沸いてきますぞ！			クルザスの雪景色を眺めていると、新作の着想が次々と沸いてきますぞ！			のこされた手がかり							
ヒルディブランド様、どこですか～！？			ヒルディブランド様、どこですか～！？			のこされた手がかり							
こ、このゾンビー、本当に異端者じゃないんですか？異端審問局に問い合わせて、確かめないと……。			こ、このゾンビー、本当に異端者じゃないんですか？異端審問局に問い合わせて、確かめないと……。			のこされた手がかり							
オオオオオオ……。困りマシタ……先生のエーテルに、かなり近づいたハズなのデスガ……。			オオオオオオ……。困りマシタ……先生のエーテルに、かなり近づいたハズなのデスガ……。			のこされた手がかり							
何か別の「強力な魔力」によって気配が乱され、細かな場所までが、わかりにくいのデス……。辺りを手分けして探すしかないデスネ。			何か別の「強力な魔力」によって気配が乱され、細かな場所までが、わかりにくいのデス……。辺りを手分けして探すしかないデスネ。			のこされた手がかり							
ち、ちょっと待ってください。この近辺は、獰猛な魔物が出没する危険な場所ですよ？			ち、ちょっと待ってください。この近辺は、獰猛な魔物が出没する危険な場所ですよ？			のこされた手がかり							
手練れであるForenameさんはともかく、ナシュさんのひとり歩きには、賛同しかねます！ゾンビー氏は、もう死んでいるのだから、良いのでしょうが……。			手練れであるForenameさんはともかく、ナシュさんのひとり歩きには、賛同しかねます！ゾンビー氏は、もう死んでいるのだから、良いのでしょうが……。			のこされた手がかり							
ホッホッホウ！それでは、ゾンビー殿とForename殿には、お嬢さんの護衛をお任せしましょう。			ホッホッホウ！それでは、ゾンビー殿とForename殿には、お嬢さんの護衛をお任せしましょう。			のこされた手がかり							
さあ、キール殿、我々は別の場所を探しますぞ！			さあ、キール殿、我々は別の場所を探しますぞ！			のこされた手がかり							
それじゃあ、ナシュたちもヒルディブランド様を探しましょう～！			それじゃあ、ナシュたちもヒルディブランド様を探しましょう～！			のこされた手がかり							
オオオオオオ……。あの紳士的なおみ足は……先生！？			オオオオオオ……。あの紳士的なおみ足は……先生！？			のこされた手がかり							
ヒルディブランド様を見つけたのですが……見てください、冒険者さん！			ヒルディブランド様を見つけたのですが……見てください、冒険者さん！			のこされた手がかり							
何だか白くてモフモフした人たちに、囲まれています～！ど、どうしましょう！			何だか白くてモフモフした人たちに、囲まれています～！ど、どうしましょう！			のこされた手がかり							
あれは、きっと獰猛な雪男「イエティ」デスヨ！私も追いかけられて、散々な目にあったんデス！			あれは、きっと獰猛な雪男「イエティ」デスヨ！私も追いかけられて、散々な目にあったんデス！			のこされた手がかり							
冒険者さん、お願いデス！ど、どうにかあの「イエティ」を倒してくださいマセンカ！？			冒険者さん、お願いデス！ど、どうにかあの「イエティ」を倒してくださいマセンカ！？			のこされた手がかり							
冒険者さん、ヒルディブランド様が白いモフモフさんに囲まれる事件、発生です～！			冒険者さん、ヒルディブランド様が白いモフモフさんに囲まれる事件、発生です～！			のこされた手がかり							
イエティたちを蹴散らして、先生をお助けくだサイ！			イエティたちを蹴散らして、先生をお助けくだサイ！			のこされた手がかり							
冒険者さん、流石です～！白いモフモフさんもイチコロです～！			冒険者さん、流石です～！白いモフモフさんもイチコロです～！			のこされた手がかり							
