流星の間のシーラバートは、冒険者に新たな頼みがあるようだ。			流星の間のシーラバートは、冒険者に新たな頼みがあるようだ。			帝都の獣							
これまで頑なに他国に関わってこなかった彼らが、なぜガレマルドの偽神獣を倒すために協力者を求めているのか。私も疑問に思っているが、それは直接本人から聞いてもらいたい。			これまで頑なに他国に関わってこなかった彼らが、なぜガレマルドの偽神獣を倒すために協力者を求めているのか。私も疑問に思っているが、それは直接本人から聞いてもらいたい。			帝都の獣							
此度の要請を引き受けてくれるのならば、ガレマルドにいる派遣団の情報将校のもとへ向かってくれ。			此度の要請を引き受けてくれるのならば、ガレマルドにいる派遣団の情報将校のもとへ向かってくれ。			帝都の獣							
ガレマルドの支援要請を引き受けてくれるのならば、現地にいる派遣団の情報将校のもとへ向かってくれ。			ガレマルドの支援要請を引き受けてくれるのならば、現地にいる派遣団の情報将校のもとへ向かってくれ。			帝都の獣							
これは、Forename殿！こちらにいらしたということは、偽神獣対策の支援要請をお引き受けくださるのですか？			これは、Forename殿！こちらにいらしたということは、偽神獣対策の支援要請をお引き受けくださるのですか？			帝都の獣							
それは、ありがたい！さっそく、マキシマ殿とルキア殿のもとへご案内いたします！			それは、ありがたい！さっそく、マキシマ殿とルキア殿のもとへご案内いたします！			帝都の獣							
Forenameさん。またも、あなたの力をお借りすることになり恐縮です。			Forenameさん。またも、あなたの力をお借りすることになり恐縮です。			帝都の獣							
天の果てから帰還した貴公を呼び出すことに躊躇いもあったのだが、すまない、手を貸してもらえると助かる。			天の果てから帰還した貴公を呼び出すことに躊躇いもあったのだが、すまない、手を貸してもらえると助かる。			帝都の獣							
それでは、さっそく此度の要請元であり、偽神獣の発見者でもある人物から、説明してもらおう。			それでは、さっそく此度の要請元であり、偽神獣の発見者でもある人物から、説明してもらおう。			帝都の獣							
互いに自己紹介の必要はなかろうが……まずは要請に応じてくれたことを、深く感謝する。			互いに自己紹介の必要はなかろうが……まずは要請に応じてくれたことを、深く感謝する。			帝都の獣							
順を追って説明させてもらおう。事の発端は、シャーレアン哲学者議会とレポリットの間で、「月」の今後について協議を開始したことによる。			順を追って説明させてもらおう。事の発端は、シャーレアン哲学者議会とレポリットの間で、「月」の今後について協議を開始したことによる。			帝都の獣							
月に与えられていた脱出船としての役割は、「暁」による天の果てへの遠征の結果として不要となった。そこで、その新たな利用法を探り始めていたのだ。			月に与えられていた脱出船としての役割は、「暁」による天の果てへの遠征の結果として不要となった。そこで、その新たな利用法を探り始めていたのだ。			帝都の獣							
結果、ひとつの案が持ち上がった。人類のあらゆる知識と、そのサンプルを保管する、「究極の資料保管庫」を造る、という計画だ。			結果、ひとつの案が持ち上がった。人類のあらゆる知識と、そのサンプルを保管する、「究極の資料保管庫」を造る、という計画だ。			帝都の獣							
むろん、我が国には世界に誇るべき、ヌーメノン大書院やアルケイオン保管院といった施設がある。			むろん、我が国には世界に誇るべき、ヌーメノン大書院やアルケイオン保管院といった施設がある。			帝都の獣							
だが、それらとて完全ではない。天災や戦災によって消失するリスクが常にあるからだ。			だが、それらとて完全ではない。天災や戦災によって消失するリスクが常にあるからだ。			帝都の獣							
特定の国家に支配されず、かつ環境的に安定した土地……すなわち月こそが、最良と考えたのだ。			特定の国家に支配されず、かつ環境的に安定した土地……すなわち月こそが、最良と考えたのだ。			帝都の獣							
そこで、各国に合意を得た上で、事前調査を行うべく、多国籍の月面調査隊を結成したのだが……			そこで、各国に合意を得た上で、事前調査を行うべく、多国籍の月面調査隊を結成したのだが……			帝都の獣							
私を含む調査隊が、月に渡るべく「バブイルの塔」に侵入したところ、偽神獣と思しき獣と遭遇、撤退を余儀なくされたのだ。			私を含む調査隊が、月に渡るべく「バブイルの塔」に侵入したところ、偽神獣と思しき獣と遭遇、撤退を余儀なくされたのだ。			帝都の獣							
さらに気がかりなのは、ほぼ同じ時期から、ガレマルドにおいて人々の獣化現象が確認され始めたことです。一度は収束したと考えていたのですが……。			さらに気がかりなのは、ほぼ同じ時期から、ガレマルドにおいて人々の獣化現象が確認され始めたことです。一度は収束したと考えていたのですが……。			帝都の獣							
だが、悪い話ばかりではない。各国の盟主たちが、偽神獣討伐への協力を表明し、応援部隊も到着しつつあるのだ。			だが、悪い話ばかりではない。各国の盟主たちが、偽神獣討伐への協力を表明し、応援部隊も到着しつつあるのだ。			帝都の獣							
すでにアルトアレール卿とグリダニアの白蛇の守人殿が、獣化に至る絶望の要因を解き明かそうと、行動を開始しています。			すでにアルトアレール卿とグリダニアの白蛇の守人殿が、獣化に至る絶望の要因を解き明かそうと、行動を開始しています。			帝都の獣							
今回は空が燃え上がったときのように、誰もかれもが獣になることはないようですが、油断は禁物です。			今回は空が燃え上がったときのように、誰もかれもが獣になることはないようですが、油断は禁物です。			帝都の獣							
私たちもこのキャンプで、アルフィノ殿やアリゼー殿は、テルティウム駅で、人々の声に耳を傾けて心を解きほぐすよう務めています。			私たちもこのキャンプで、アルフィノ殿やアリゼー殿は、テルティウム駅で、人々の声に耳を傾けて心を解きほぐすよう務めています。			帝都の獣							
そして、肝心の偽神獣の討伐だが、実はそれを阻む障害が立ちはだかっていてな……。			そして、肝心の偽神獣の討伐だが、実はそれを阻む障害が立ちはだかっていてな……。			帝都の獣							
ユウギリ殿とフォルドラ殿に、その打開策を検討してもらっている。詳しくは、彼女たちから直接、話を聞いてもらいたい。			ユウギリ殿とフォルドラ殿に、その打開策を検討してもらっている。詳しくは、彼女たちから直接、話を聞いてもらいたい。			帝都の獣							
それでは、外にいる彼女らのもとに向かおう。此度の件は、最後まで私が付き合わせてもらうので、よろしく頼む。			それでは、外にいる彼女らのもとに向かおう。此度の件は、最後まで私が付き合わせてもらうので、よろしく頼む。			帝都の獣							
フン……またお前か。相変わらずお人好しだな。			フン……またお前か。相変わらずお人好しだな。			帝都の獣							
Forename殿。お互い、思わぬところで再会となったな。			Forename殿。お互い、思わぬところで再会となったな。			帝都の獣							
偽神獣討伐を阻む障害についてだが……私よりも月面調査隊に護衛として雇われていた、とある傭兵から説明してもらった方が早いだろう。			偽神獣討伐を阻む障害についてだが……私よりも月面調査隊に護衛として雇われていた、とある傭兵から説明してもらった方が早いだろう。			帝都の獣							
その様子からすると、ふたりは顔見知りだろうか？			その様子からすると、ふたりは顔見知りだろうか？			帝都の獣							
何と言う？			何と言う？			帝都の獣							
久しぶり、ロレンス			久しぶり、ロレンス			帝都の獣							
海雄旅団団長の……			海雄旅団団長の……			帝都の獣							
……さて、人違いじゃないか？エオルゼアの英雄殿とは、これが「初対面」のはずだぜ。			……さて、人違いじゃないか？エオルゼアの英雄殿とは、これが「初対面」のはずだぜ。			帝都の獣							
俺はただ、割の良い護衛依頼に乗っただけの、どこにでもいる、しがない傭兵さ。			俺はただ、割の良い護衛依頼に乗っただけの、どこにでもいる、しがない傭兵さ。			帝都の獣							
……さて、何のことだかな。俺はただ、割の良い護衛依頼に乗っただけの、どこにでもいる、しがない傭兵さ。			……さて、何のことだかな。俺はただ、割の良い護衛依頼に乗っただけの、どこにでもいる、しがない傭兵さ。			帝都の獣							
それに、海雄旅団の団長と言えば、その正体は、霧髭の隠し財宝並の謎と言われている。こんな表舞台に現れるわけがないだろ？			それに、海雄旅団の団長と言えば、その正体は、霧髭の隠し財宝並の謎と言われている。こんな表舞台に現れるわけがないだろ？			帝都の獣							
ともかく、本題に移ろうぜ。偽神獣らしき大型の獣と遭遇したのは、バブイルの塔の上部に位置する増築区画だ。			ともかく、本題に移ろうぜ。偽神獣らしき大型の獣と遭遇したのは、バブイルの塔の上部に位置する増築区画だ。			帝都の獣							
ご丁寧に、多数の獣を引き連れていてな。その一部を片付けて、親玉も始末してやろうとしたが、銃弾が弾かれちまって、まったく効かねぇときた。			ご丁寧に、多数の獣を引き連れていてな。その一部を片付けて、親玉も始末してやろうとしたが、銃弾が弾かれちまって、まったく効かねぇときた。			帝都の獣							
どうやら不可視の障壁によって、守られているらしい。俺がいくら「視て」も、その隙は見つからなかった。			どうやら不可視の障壁によって、守られているらしい。俺がいくら「視て」も、その隙は見つからなかった。			帝都の獣							
そのうちに、次々と獣が現れてきてな。このままじゃあ、犠牲が出ると判断して撤退を決断したのさ。			そのうちに、次々と獣が現れてきてな。このままじゃあ、犠牲が出ると判断して撤退を決断したのさ。			帝都の獣							
あの障壁がある限り、アンタの力を以てしても、偽神獣に有効打を与えるのは難しいだろう。			あの障壁がある限り、アンタの力を以てしても、偽神獣に有効打を与えるのは難しいだろう。			帝都の獣							
しかし、終末の獣は、エーテルが腐り落ちた存在。エーテルを原動力とする魔法障壁は展開できまい……。つまり、未知の障壁ということになるな。			しかし、終末の獣は、エーテルが腐り落ちた存在。エーテルを原動力とする魔法障壁は展開できまい……。つまり、未知の障壁ということになるな。			帝都の獣							
ああ。フルシュノの旦那から聞いた、その仮説を元に無い知恵を絞ってみたんだが……どうにもな。			ああ。フルシュノの旦那から聞いた、その仮説を元に無い知恵を絞ってみたんだが……どうにもな。			帝都の獣							
さいわいにも結界のスペシャリストでもある、グリダニアの幻術皇が、こちらに向かってくれているらしい。彼女にも話を聞いて対抗策を練ってみるつもりだ。			さいわいにも結界のスペシャリストでもある、グリダニアの幻術皇が、こちらに向かってくれているらしい。彼女にも話を聞いて対抗策を練ってみるつもりだ。			帝都の獣							
だから、アンタらは獣化対策の方に協力を頼めるか？偽神獣は、ただでさえ多くの獣を引き連れていたからな。犠牲者を増やさないためにも、よろしく頼むぜ。			だから、アンタらは獣化対策の方に協力を頼めるか？偽神獣は、ただでさえ多くの獣を引き連れていたからな。犠牲者を増やさないためにも、よろしく頼むぜ。			帝都の獣							
……了解した。それでは、我らはアルトアレール卿たちのもとへ向かおう。			……了解した。それでは、我らはアルトアレール卿たちのもとへ向かおう。			帝都の獣							
待て、これも言っておこう。実は、バブイルの塔の中を進んでいたとき、ずっと誰かに「視られ」ているような、気配があったんだ。			待て、これも言っておこう。実は、バブイルの塔の中を進んでいたとき、ずっと誰かに「視られ」ているような、気配があったんだ。			帝都の獣							
獣なのか、あるいは別の誰かなのか……俺の気のせいかもしれないが、頭の片隅に入れておいてくれ。			獣なのか、あるいは別の誰かなのか……俺の気のせいかもしれないが、頭の片隅に入れておいてくれ。			帝都の獣							
引き止めて悪かったな。さあ、行ってくれ。			引き止めて悪かったな。さあ、行ってくれ。			帝都の獣							
うう……。それにしても、この寒さには慣れないぜ。			うう……。それにしても、この寒さには慣れないぜ。			帝都の獣							
追ってヒエン様も参陣されることになっている。今回は、ゴウセツの助太刀は期待できそうにない。この寒さ、さすがに老体には堪えるだろうからな……。			追ってヒエン様も参陣されることになっている。今回は、ゴウセツの助太刀は期待できそうにない。この寒さ、さすがに老体には堪えるだろうからな……。			帝都の獣							
そういえば、アレンヴァルドから伝言を預かっている。「どうか無理をしないでくれ」とのことだ。一応、伝えたからな……。			そういえば、アレンヴァルドから伝言を預かっている。「どうか無理をしないでくれ」とのことだ。一応、伝えたからな……。			帝都の獣							
英雄殿、今回はカヌ・エ様の命で護衛の職務を離れ、先行してガレマルドにやってまいりました。			英雄殿、今回はカヌ・エ様の命で護衛の職務を離れ、先行してガレマルドにやってまいりました。			帝都の獣							
ふたりには協力する旨を伝えておいた。すでに、獣化している者の調査が進んでいるようだ。			ふたりには協力する旨を伝えておいた。すでに、獣化している者の調査が進んでいるようだ。			帝都の獣							
Forename殿、お互いまたも、偽神獣対策に駆り出されることになるとはな。此度もよろしく頼む。			Forename殿、お互いまたも、偽神獣対策に駆り出されることになるとはな。此度もよろしく頼む。			帝都の獣							
英雄殿、再びご一緒できて光栄です。フルシュノ殿から話は聞きました、我々にご協力くださるということで、大変助かります。			英雄殿、再びご一緒できて光栄です。フルシュノ殿から話は聞きました、我々にご協力くださるということで、大変助かります。			帝都の獣							
さっそくだが、情報を共有しよう。我々が調査を行った結果、興味深い事実が判明した。			さっそくだが、情報を共有しよう。我々が調査を行った結果、興味深い事実が判明した。			帝都の獣							
キャンプ・ブロークングラスやテルティウム駅に避難している、ガレマルド居住者に、獣化した者は皆無だったのだ。これはマキシマ殿やアルフィノ殿の献身的な援助のおかげだろう。			キャンプ・ブロークングラスやテルティウム駅に避難している、ガレマルド居住者に、獣化した者は皆無だったのだ。これはマキシマ殿やアルフィノ殿の献身的な援助のおかげだろう。			帝都の獣							
では、獣化した者たちは誰なのか……。彼らは皆、一様に「ロクス・アモエヌス」からの帰還者だったのだ。			では、獣化した者たちは誰なのか……。彼らは皆、一様に「ロクス・アモエヌス」からの帰還者だったのだ。			帝都の獣							
ロクス・アモエヌス……かつてはコルヴォと呼ばれた、ガレアン人の聖地か。			ロクス・アモエヌス……かつてはコルヴォと呼ばれた、ガレアン人の聖地か。			帝都の獣							
そのとおりです。かの地で終末現象が起こった際、一部のガレアン人たちが、首都であるガレマルドへと避難を試みたようなのです。			そのとおりです。かの地で終末現象が起こった際、一部のガレアン人たちが、首都であるガレマルドへと避難を試みたようなのです。			帝都の獣							
しかし、すでに帝都は壊滅していた。派遣団は彼らを保護しようとしましたが、多くの者たちは拒絶して、郊外の廃墟に点在している状態なのです。			しかし、すでに帝都は壊滅していた。派遣団は彼らを保護しようとしましたが、多くの者たちは拒絶して、郊外の廃墟に点在している状態なのです。			帝都の獣							
私たちは、これより彼ら帰還者の心を探るため、聞き込みに向かおうとしていたところ。貴殿らが加われば、より多くの情報を得ることができるだろう。			私たちは、これより彼ら帰還者の心を探るため、聞き込みに向かおうとしていたところ。貴殿らが加われば、より多くの情報を得ることができるだろう。			帝都の獣							
キャンプ・ブロークングラスのアルトアレールは、冒険者を待っているようだ。			キャンプ・ブロークングラスのアルトアレールは、冒険者を待っているようだ。			流浪の帰還者たち							
アルトアレールは、帰還者たちから話を聞きにいくという。冒険者たちは臣の褒賞に話を聞きに向かうことになった。ガレマルドの臣の褒賞付近の「フルシュノ」と話そう。			アルトアレールは、帰還者たちから話を聞きにいくという。冒険者たちは臣の褒賞に話を聞きに向かうことになった。ガレマルドの臣の褒賞付近の「フルシュノ」と話そう。			流浪の帰還者たち							
フルシュノと話した。ガレマルドの臣の褒賞で帰還者たちと話そう。			フルシュノと話した。ガレマルドの臣の褒賞で帰還者たちと話そう。			流浪の帰還者たち							
帰還者たちから話を聞いて、その絶望を探った。臣の褒賞にいる「フルシュノ」と話して共有しよう。			帰還者たちから話を聞いて、その絶望を探った。臣の褒賞にいる「フルシュノ」と話して共有しよう。			流浪の帰還者たち							
フルシュノと話を共有したところ、叫び声が聞こえた。臣の褒賞の「気難しそうな帰還者」と話そう。			フルシュノと話を共有したところ、叫び声が聞こえた。臣の褒賞の「気難しそうな帰還者」と話そう。			流浪の帰還者たち							
気難しそうな帰還者と話したところ、仲間が獣化したようだ。ガレマルドのエブラーナ氷原で「終末の獣」を探して討伐しよう。			気難しそうな帰還者と話したところ、仲間が獣化したようだ。ガレマルドのエブラーナ氷原で「終末の獣」を探して討伐しよう。			流浪の帰還者たち							
終末の獣を討伐した。臣の褒賞にいる「フルシュノ」と話そう。			終末の獣を討伐した。臣の褒賞にいる「フルシュノ」と話そう。			流浪の帰還者たち							
フルシュノと話したところ、ラジオからおかしな声が聞こえてきたそうだ。アルトアレールたちが、メルウィブとアイメリクを連れてきた。白蛇の守人によると、ラジオから聞こえた言葉が皇族ネルウァのものだという。偽神獣の正体がネルウァという可能性が出てきた。盟主らで話し合い、帰還者たちの絶望を解きほぐすため、彼らを集めてガレアン人の国を再建させることを提案した。反発する者もいたが、フルシュノの機転で説得に成功することができた。			フルシュノと話したところ、ラジオからおかしな声が聞こえてきたそうだ。アルトアレールたちが、メルウィブとアイメリクを連れてきた。白蛇の守人によると、ラジオから聞こえた言葉が皇族ネルウァのものだという。偽神獣の正体がネルウァという可能性が出てきた。盟主らで話し合い、帰還者たちの絶望を解きほぐすため、彼らを集めてガレアン人の国を再建させることを提案した。反発する者もいたが、フルシュノの機転で説得に成功することができた。			流浪の帰還者たち							
フルシュノと話す			フルシュノと話す			流浪の帰還者たち							
帰還者たちと話す			帰還者たちと話す			流浪の帰還者たち							
フルシュノと話す			フルシュノと話す			流浪の帰還者たち							
気難しそうな帰還者と話す			気難しそうな帰還者と話す			流浪の帰還者たち							
終末の獣を探して討伐			終末の獣を探して討伐			流浪の帰還者たち							
フルシュノと話す			フルシュノと話す			流浪の帰還者たち							
私自身はガレアン族ではなく、属州民の出ですが、それでも帝国で生まれ育ったことに変わりはありません。今回の件は、他人事ではありませんよ。			私自身はガレアン族ではなく、属州民の出ですが、それでも帝国で生まれ育ったことに変わりはありません。今回の件は、他人事ではありませんよ。			流浪の帰還者たち							
ロクス・アモエヌスは終末現象で甚大な被害を受けた。住んでいたガレアン人が、本国に避難したのは当然のことだろう。その先で、この惨状を見れば……。			ロクス・アモエヌスは終末現象で甚大な被害を受けた。住んでいたガレアン人が、本国に避難したのは当然のことだろう。その先で、この惨状を見れば……。			流浪の帰還者たち							
ロクス・アモエヌスからの帰還者たちは、崩壊した都市部を避け、郊外の廃墟に身を寄せているそうだ。ここは、二手にわかれるとしよう。			ロクス・アモエヌスからの帰還者たちは、崩壊した都市部を避け、郊外の廃墟に身を寄せているそうだ。ここは、二手にわかれるとしよう。			流浪の帰還者たち							
貴殿らには、臣の褒賞での聞き込みを頼みたい。私と守人殿は、第IV市外駅を訪ねた後、そちらに合流する。では、よろしく頼むぞ。			貴殿らには、臣の褒賞での聞き込みを頼みたい。私と守人殿は、第IV市外駅を訪ねた後、そちらに合流する。では、よろしく頼むぞ。			流浪の帰還者たち							
「臣の褒賞」とは、たしかここから東にある廃屋だったな。よし、私たちも向かうとしよう。			「臣の褒賞」とは、たしかここから東にある廃屋だったな。よし、私たちも向かうとしよう。			流浪の帰還者たち							
この先が、臣の褒賞だな。それぞれ帰還者たちから話を聞いて、共有することにしよう。			この先が、臣の褒賞だな。それぞれ帰還者たちから話を聞いて、共有することにしよう。			流浪の帰還者たち							
帰還者たちから話を聞き終えたら、ここで共有させてくれ。			帰還者たちから話を聞き終えたら、ここで共有させてくれ。			流浪の帰還者たち							
話を聞きたいだと……？フン、嘆きだったらいくらでも聞かせてやるさ。			話を聞きたいだと……？フン、嘆きだったらいくらでも聞かせてやるさ。			流浪の帰還者たち							
わしらはな、すべてを失ったのだ。人生も、愛する者も、ふたつの故郷も、すべてだ……！			わしらはな、すべてを失ったのだ。人生も、愛する者も、ふたつの故郷も、すべてだ……！			流浪の帰還者たち							
わしの人生は、軍役に費やされてきた……！多くの仲間と、ふたりの息子を戦いの中で喪い、遺ったのは、ロクス・アモエヌスを奪還したという誇りだけだった！			わしの人生は、軍役に費やされてきた……！多くの仲間と、ふたりの息子を戦いの中で喪い、遺ったのは、ロクス・アモエヌスを奪還したという誇りだけだった！			流浪の帰還者たち							
だというのに、わけのわからぬまま破滅を迎えて、ようやく戻ったガレマルドもまた、ガレキの山となっていた……！これを嘆かずにいられるものか……！			だというのに、わけのわからぬまま破滅を迎えて、ようやく戻ったガレマルドもまた、ガレキの山となっていた……！これを嘆かずにいられるものか……！			流浪の帰還者たち							
哀れな避難民から話を聞こうなんて趣味が悪いな。まあいい、気晴らしに話してやるよ。			哀れな避難民から話を聞こうなんて趣味が悪いな。まあいい、気晴らしに話してやるよ。			流浪の帰還者たち							
ロクス・アモエヌスの居住者は、年寄りの退役軍人が多いが、俺のように戦傷が原因で、若くして退役した者もいた……。貢献の見返りとして、移住権が与えられたのさ。			ロクス・アモエヌスの居住者は、年寄りの退役軍人が多いが、俺のように戦傷が原因で、若くして退役した者もいた……。貢献の見返りとして、移住権が与えられたのさ。			流浪の帰還者たち							
あの土地は、暖かくて養生にもってこいだからな。コルヴォ人の反乱もあるにはあったが、第II軍団がよく抑え込んで、治安も安定していたし……本当にいい土地だったよ。			あの土地は、暖かくて養生にもってこいだからな。コルヴォ人の反乱もあるにはあったが、第II軍団がよく抑え込んで、治安も安定していたし……本当にいい土地だったよ。			流浪の帰還者たち							
でも、終末現象とやらが起きて、辺りは地獄の有様になった。第II軍団は、バケモノとの戦いで散り散りになっちまって、俺たちは必死で、ここまで逃げてきたんだ。			でも、終末現象とやらが起きて、辺りは地獄の有様になった。第II軍団は、バケモノとの戦いで散り散りになっちまって、俺たちは必死で、ここまで逃げてきたんだ。			流浪の帰還者たち							
今更、ロクス・アモエヌスに戻っても無駄だろうな。もう一度、あの土地をコルヴォ人から取り戻す力は帝国にはない。ぜんぶ終わっちまったんだよ……。			今更、ロクス・アモエヌスに戻っても無駄だろうな。もう一度、あの土地をコルヴォ人から取り戻す力は帝国にはない。ぜんぶ終わっちまったんだよ……。			流浪の帰還者たち							
話すことなんかない。帝国もロクス・アモエヌスもすべて失ったんだ。もう終わりだ、終わりなんだ……。			話すことなんかない。帝国もロクス・アモエヌスもすべて失ったんだ。もう終わりだ、終わりなんだ……。			流浪の帰還者たち							
わしらはな、すべてを失ったのだ。人生も、愛する者も、ふたつの故郷も、すべてだ……！			わしらはな、すべてを失ったのだ。人生も、愛する者も、ふたつの故郷も、すべてだ……！			流浪の帰還者たち							
話は終わった、さっさと行けよ……。			話は終わった、さっさと行けよ……。			流浪の帰還者たち							
帝国もロクス・アモエヌスもすべて失ったんだ。もう終わりだ……終わりなんだ……。			帝国もロクス・アモエヌスもすべて失ったんだ。もう終わりだ……終わりなんだ……。			流浪の帰還者たち							
帰還者たちから話を聞き終えたようだな。それでは、お互いが集めた情報を共有しよう。			帰還者たちから話を聞き終えたようだな。それでは、お互いが集めた情報を共有しよう。			流浪の帰還者たち							
なるほど……私が帰還者たちから聞いた話も、似たようなものであった。			なるほど……私が帰還者たちから聞いた話も、似たようなものであった。			流浪の帰還者たち							
終末現象によって、ロクス・アモエヌスを守護していた軍が壊滅。どうにか生き延びた彼らは、保護を求めて本国へと避難した。			終末現象によって、ロクス・アモエヌスを守護していた軍が壊滅。どうにか生き延びた彼らは、保護を求めて本国へと避難した。			流浪の帰還者たち							
ところが、苦心の末にたどり着いた帝都は、すでに崩壊していた。本国さえ無事であったなら、ロクス・アモエヌスの再奪還を信じ、奮起できたのであろうが、その希望も潰えたのだ。			ところが、苦心の末にたどり着いた帝都は、すでに崩壊していた。本国さえ無事であったなら、ロクス・アモエヌスの再奪還を信じ、奮起できたのであろうが、その希望も潰えたのだ。			流浪の帰還者たち							
なぜ、彼らがここまで、ロクス・アモエヌスにこだわるのか。それは、古来よりガレアン人が暮らしてきた、民族的故郷とされるからだ……。			なぜ、彼らがここまで、ロクス・アモエヌスにこだわるのか。それは、古来よりガレアン人が暮らしてきた、民族的故郷とされるからだ……。			流浪の帰還者たち							
