レヴナンツトールのフ・ラミンは、何かを考え込んでいるようだ。			レヴナンツトールのフ・ラミンは、何かを考え込んでいるようだ。			小さな旅路							
……そうだわ、今あなたがこうして来てくれたのも何かの縁。よければ、一緒にウルダハまで来てくれないかしら？手紙の送り主から呼び出されているのよ。			……そうだわ、今あなたがこうして来てくれたのも何かの縁。よければ、一緒にウルダハまで来てくれないかしら？手紙の送り主から呼び出されているのよ。			小さな旅路							
もちろん、これは私のワガママ……無理に付き合う必要はないわ。ただ、もしあなたの時間を私にくれるというのなら……この小さな旅路に同行してくれると、嬉しいわね。			もちろん、これは私のワガママ……無理に付き合う必要はないわ。ただ、もしあなたの時間を私にくれるというのなら……この小さな旅路に同行してくれると、嬉しいわね。			小さな旅路							
何と言う？			何と言う？			小さな旅路							
フ・ラミンの頼みは断れない！			フ・ラミンの頼みは断れない！			小さな旅路							
ミンフィリアに関係することなら			ミンフィリアに関係することなら			小さな旅路							
仕方ないな……			仕方ないな……			小さな旅路							
うふふ、私の心を軽くするためのお世辞？でも、いくつになってもそう言ってもらえるのは嬉しいわ。ありがとう……。			うふふ、私の心を軽くするためのお世辞？でも、いくつになってもそう言ってもらえるのは嬉しいわ。ありがとう……。			小さな旅路							
ええ、手紙に書かれたことが本当なら……これが、あの子にちゃんと別れを告げる、大切な機会になると思うの。			ええ、手紙に書かれたことが本当なら……これが、あの子にちゃんと別れを告げる、大切な機会になると思うの。			小さな旅路							
ほかの冒険で忙しいのに、ごめんなさい。でも、あなたにも見届けてほしいと思ってしまって……。わざわざ、ありがとうね。			ほかの冒険で忙しいのに、ごめんなさい。でも、あなたにも見届けてほしいと思ってしまって……。わざわざ、ありがとうね。			小さな旅路							
知人とは、ウルダハの、宝飾店「エシュテム」の前で落ち合うことになっているわ。私もすぐに向かうから、現地で落ち合いましょう。			知人とは、ウルダハの、宝飾店「エシュテム」の前で落ち合うことになっているわ。私もすぐに向かうから、現地で落ち合いましょう。			小さな旅路							
付き合ってくれて、ありがとう……。知人との待ち合わせ場所である、ウルダハの宝飾店「エシュテム」の前で落ち合いましょう。			付き合ってくれて、ありがとう……。知人との待ち合わせ場所である、ウルダハの宝飾店「エシュテム」の前で落ち合いましょう。			小さな旅路							
おまたせ。まだ、待ち合わせの相手は来ていないみたいね。			おまたせ。まだ、待ち合わせの相手は来ていないみたいね。			小さな旅路							
(-？？？？-)急な呼び出しだったが……よく来てくれたな、ラミン。			(-？？？？-)急な呼び出しだったが……よく来てくれたな、ラミン。			小さな旅路							
ん、お前は……？悪いが、内輪の話になるんで、関係ない者には、席を外してもらいたいんだが……。			ん、お前は……？悪いが、内輪の話になるんで、関係ない者には、席を外してもらいたいんだが……。			小さな旅路							
大丈夫よ、ポポックリ。彼女彼は、Forename……。ミンフィリアの最期を見送ってくれた友人よ。			大丈夫よ、ポポックリ。彼女彼は、Forename……。ミンフィリアの最期を見送ってくれた友人よ。			小さな旅路							
ん、Forenameじゃないか！どうして、お前がラミンと一緒にいるんだ？			ん、Forenameじゃないか！どうして、お前がラミンと一緒にいるんだ？			小さな旅路							
あら、あなたこそ知り合いだったのね。彼女彼は、ミンフィリアの最期を見送ってくれた人なの。私が同行を頼んだのよ。			あら、あなたこそ知り合いだったのね。彼女彼は、ミンフィリアの最期を見送ってくれた人なの。私が同行を頼んだのよ。			小さな旅路							
まさか、Forenameも来ているとはな。まあ、「心の臓の刃」の事件にも手を貸してくれたし、この件にも無関係ではないか……。			まさか、Forenameも来ているとはな。まあ、「心の臓の刃」の事件にも手を貸してくれたし、この件にも無関係ではないか……。			小さな旅路							
それで、ふたりとも。手紙に書かれていた内容は本当なの？			それで、ふたりとも。手紙に書かれていた内容は本当なの？			小さな旅路							
順番に話そう。俺たちアマジナ鉱山社は、ウルダハの、上下水道の整備計画を請け負っていてな。			順番に話そう。俺たちアマジナ鉱山社は、ウルダハの、上下水道の整備計画を請け負っていてな。			小さな旅路							
その一環で、崩壊した「シラディハ水道」の、復旧工事を行っていたんだ。			その一環で、崩壊した「シラディハ水道」の、復旧工事を行っていたんだ。			小さな旅路							
シラディハ水道……。当時、ナナモ女王殺しの嫌疑をかけられたミンフィリアたちが、王宮を脱出した際に崩壊した場所よね？			シラディハ水道……。当時、ナナモ女王殺しの嫌疑をかけられたミンフィリアたちが、王宮を脱出した際に崩壊した場所よね？			小さな旅路							
そのときの騒動で崩れた瓦礫の除去作業をしていたとき、デカイ瓦礫の隙間から、見覚えのある「石」を発見したんだ。			そのときの騒動で崩れた瓦礫の除去作業をしていたとき、デカイ瓦礫の隙間から、見覚えのある「石」を発見したんだ。			小さな旅路							
これが、その「猫目石」だ……。俺の記憶が確かなら、そいつはアシリアがお前に……。			これが、その「猫目石」だ……。俺の記憶が確かなら、そいつはアシリアがお前に……。			小さな旅路							
ええ……間違いないわ。			ええ……間違いないわ。			小さな旅路							
ミンフィリアがまだ、アシリアと呼ばれていた頃。駆け出しの採掘師だったあの子が、初めて掘り当てたのが、この「猫目石」よ……。			ミンフィリアがまだ、アシリアと呼ばれていた頃。駆け出しの採掘師だったあの子が、初めて掘り当てたのが、この「猫目石」よ……。			小さな旅路							
自分が見つけた石が、多少なりとも価値ある品だとわかると、あの子は、得意げに笑みを浮かべてね。私に、この石をプレゼントしてくれた……。			自分が見つけた石が、多少なりとも価値ある品だとわかると、あの子は、得意げに笑みを浮かべてね。私に、この石をプレゼントしてくれた……。			小さな旅路							
……私が、ミンフィリアと再会したときのことを覚えている？あのとき、あの子は、砂の家からの本部移転に悩んでいた。だから私は、猫目石を返したの。			……私が、ミンフィリアと再会したときのことを覚えている？あのとき、あの子は、砂の家からの本部移転に悩んでいた。だから私は、猫目石を返したの。			小さな旅路							
一歩を踏み出すことを迷っていた、ミンフィリアにこそ、「新たな歩み」の象徴である、この石が必要だと思ったから……。			一歩を踏み出すことを迷っていた、ミンフィリアにこそ、「新たな歩み」の象徴である、この石が必要だと思ったから……。			小さな旅路							
あの子、そのまま肌身離さず身につけてくれていたのね。そして、地下水道でヤ・シュトラさんが使った、エンシェント・テレポに巻き込まれた際に、落とした……。			あの子、そのまま肌身離さず身につけてくれていたのね。そして、地下水道でヤ・シュトラさんが使った、エンシェント・テレポに巻き込まれた際に、落とした……。			小さな旅路							
その当時も、大規模な遺留品捜索を行ったんだが、「暁」の者たちの痕跡は、何ひとつ見つからなかった。まさか、今頃になって出てくるとはな……。			その当時も、大規模な遺留品捜索を行ったんだが、「暁」の者たちの痕跡は、何ひとつ見つからなかった。まさか、今頃になって出てくるとはな……。			小さな旅路							
私がこの石を返してから、ミンフィリアは、真の平和を得るため、ただひたすらに前へ歩みつづけてきた。私にはもう、その背中が見つけられないくらい、遠くへ……。			私がこの石を返してから、ミンフィリアは、真の平和を得るため、ただひたすらに前へ歩みつづけてきた。私にはもう、その背中が見つけられないくらい、遠くへ……。			小さな旅路							
そして、あの子の願いは、Forenameやリーンという子、サンクレッドたちが引き継いで、同じ道を歩んでくれている……。			そして、あの子の願いは、Forenameやリーンという子、サンクレッドたちが引き継いで、同じ道を歩んでくれている……。			小さな旅路							
あの子が、その歩みを誰かに継いだと同時に現れた、この猫目石。私には……その役目を終えたからこそ、こうして手元に戻ってきたように思えて仕方ないの。			あの子が、その歩みを誰かに継いだと同時に現れた、この猫目石。私には……その役目を終えたからこそ、こうして手元に戻ってきたように思えて仕方ないの。			小さな旅路							
だから……あの子が、ゆっくり眠れるよう、この石も、静かに休ませてあげたい……。			だから……あの子が、ゆっくり眠れるよう、この石も、静かに休ませてあげたい……。			小さな旅路							
……休ませるって？			……休ませるって？			小さな旅路							
ミンフィリア……いえ、アシリアのお父さん。ウォーバートンさんのお墓に、猫目石を納めようと思うの。			ミンフィリア……いえ、アシリアのお父さん。ウォーバートンさんのお墓に、猫目石を納めようと思うの。			小さな旅路							
なるほど……。たしかに、それが一番いいだろうな。			なるほど……。たしかに、それが一番いいだろうな。			小さな旅路							
それじゃ……渡すもんも渡したし、俺たちは社に戻るぜ。猫目石を納めるのは、アシリアが得た仲間や、育ての親であるラミンが行うべきだろう。			それじゃ……渡すもんも渡したし、俺たちは社に戻るぜ。猫目石を納めるのは、アシリアが得た仲間や、育ての親であるラミンが行うべきだろう。			小さな旅路							
ええ、ふたりとも、ありがとう……。			ええ、ふたりとも、ありがとう……。			小さな旅路							
ウォーバートンさんは、一度ウルダハで埋葬されたのだけど、「暁」結成の折に、協力者であるイリュド神父の管理する、「聖アダマ・ランダマ教会」に、お墓を移したの。			ウォーバートンさんは、一度ウルダハで埋葬されたのだけど、「暁」結成の折に、協力者であるイリュド神父の管理する、「聖アダマ・ランダマ教会」に、お墓を移したの。			小さな旅路							
教会で、「イリュド神父」に事情をお話して、猫目石を納める許可をいただきましょう。			教会で、「イリュド神父」に事情をお話して、猫目石を納める許可をいただきましょう。			小さな旅路							
「聖アダマ・ランダマ教会」で、猫目石を、ウォーバートンさんのお墓に納めましょう。			「聖アダマ・ランダマ教会」で、猫目石を、ウォーバートンさんのお墓に納めましょう。			小さな旅路							
イリュド神父に、ミンフィリアの最期と猫目石のことを、お話しし終えたところよ。			イリュド神父に、ミンフィリアの最期と猫目石のことを、お話しし終えたところよ。			小さな旅路							
ご用件は、フ・ラミンさんから……。猫目石のこと、何も反対する理由はありません。きっと、ウォーバートンさんも喜ばれることでしょう。			ご用件は、フ・ラミンさんから……。猫目石のこと、何も反対する理由はありません。きっと、ウォーバートンさんも喜ばれることでしょう。			小さな旅路							
ミンフィリアさんと初めて出会ったのは、まだ幼い彼女が、採掘師として荒野を駆け回っていた頃です。			ミンフィリアさんと初めて出会ったのは、まだ幼い彼女が、採掘師として荒野を駆け回っていた頃です。			小さな旅路							
ひとりのときもあれば、フ・ラミンさんと一緒のときも。ときには、サンクレッドさんに陰で見守られながら……懸命に、つるはしを振るっていました。			ひとりのときもあれば、フ・ラミンさんと一緒のときも。ときには、サンクレッドさんに陰で見守られながら……懸命に、つるはしを振るっていました。			小さな旅路							
そんなアシリアが、「ミンフィリア」として現れ、世界の危機に立ち向かうべく活動したいと告げられたときは、それはもう、驚きましたとも……。			そんなアシリアが、「ミンフィリア」として現れ、世界の危機に立ち向かうべく活動したいと告げられたときは、それはもう、驚きましたとも……。			小さな旅路							
しかし、彼女の目に宿る強い光……。あの輝きに惹かれて、私は、ミンフィリアさんに協力することを決めたのです。			しかし、彼女の目に宿る強い光……。あの輝きに惹かれて、私は、ミンフィリアさんに協力することを決めたのです。			小さな旅路							
彼女が、その道を最後まで歩み続け、意志を次代に継いだと聞き、あのとき、ミンフィリアさんを信じたのは間違いなかったと、今更ながらに実感しましたよ。			彼女が、その道を最後まで歩み続け、意志を次代に継いだと聞き、あのとき、ミンフィリアさんを信じたのは間違いなかったと、今更ながらに実感しましたよ。			小さな旅路							
おっと……老人の思い出話は、ここまでとしましょう。どうぞ、おふたりで猫目石を納めてあげてください。			おっと……老人の思い出話は、ここまでとしましょう。どうぞ、おふたりで猫目石を納めてあげてください。			小さな旅路							
ありがとうございます、イリュド神父。			ありがとうございます、イリュド神父。			小さな旅路							
ウォーバートンさんのお墓は、教会を出た南側よ。さあ、行きましょう。			ウォーバートンさんのお墓は、教会を出た南側よ。さあ、行きましょう。			小さな旅路							
遠ざかる背に手を伸ばし、引き止めたかったこともあるでしょう。それでも、何が起きようと、娘の歩みを見守りつづけた……。フ・ラミンさんは、本当に強い母親です。			遠ざかる背に手を伸ばし、引き止めたかったこともあるでしょう。それでも、何が起きようと、娘の歩みを見守りつづけた……。フ・ラミンさんは、本当に強い母親です。			小さな旅路							
ここがウォーバートンさんのお墓よ。それじゃあ、猫目石を納めましょう……。			ここがウォーバートンさんのお墓よ。それじゃあ、猫目石を納めましょう……。			小さな旅路							
……20年前、ウォーバートンさんは、当時、エオルゼア諸国に迫りつつあった危機を知らせるため、命がけで、アラミゴからウルダハへとやって来たの。			……20年前、ウォーバートンさんは、当時、エオルゼア諸国に迫りつつあった危機を知らせるため、命がけで、アラミゴからウルダハへとやって来たの。			小さな旅路							
そしてそのまま、故郷に帰ることなく亡くなったわ。平和を願い、必死の思いでたどり着いた、この国で……。			そしてそのまま、故郷に帰ることなく亡くなったわ。平和を願い、必死の思いでたどり着いた、この国で……。			小さな旅路							
ウォーバートンさん……。あなたの願いは、アシリアに確かに受け継がれ、ついには、エオルゼアを……いえ、異なる世界をも救いました。			ウォーバートンさん……。あなたの願いは、アシリアに確かに受け継がれ、ついには、エオルゼアを……いえ、異なる世界をも救いました。			小さな旅路							
だから、あの子の想いがこもった石を、どうか、あなたと一緒に眠らせてあげてください。			だから、あの子の想いがこもった石を、どうか、あなたと一緒に眠らせてあげてください。			小さな旅路							
そして……私にとっても大切な娘だった、アシリア。			そして……私にとっても大切な娘だった、アシリア。			小さな旅路							
猫目石を見つけたときの、とても小さな冒険。それからずっと、あなたは歩きつづけ……大きなことを成し遂げた。			猫目石を見つけたときの、とても小さな冒険。それからずっと、あなたは歩きつづけ……大きなことを成し遂げた。			小さな旅路							
その第一歩目を踏み出した瞬間に、側にいられたこと、私の生涯の自慢で……誇りよ。			その第一歩目を踏み出した瞬間に、側にいられたこと、私の生涯の自慢で……誇りよ。			小さな旅路							
ずいぶんと、遠くへ行っちゃって……。でも、ようやく、あなたは休むことができた。			ずいぶんと、遠くへ行っちゃって……。でも、ようやく、あなたは休むことができた。			小さな旅路							
だから……。ゆっくり、おやすみなさい…………アシリア。			だから……。ゆっくり、おやすみなさい…………アシリア。			小さな旅路							
あなたからも、一言、あの子に伝えてあげて……？			あなたからも、一言、あの子に伝えてあげて……？			小さな旅路							
何と言う？			何と言う？			小さな旅路							
あとは任せろ			あとは任せろ			小さな旅路							
想いは、リーンが受け継いだ			想いは、リーンが受け継いだ			小さな旅路							
おやすみ、ミンフィリア			おやすみ、ミンフィリア			小さな旅路							
心の中で何度もつぶやいた、「おつかれさま」と「おやすみ」……。おかげで、ちゃんと口に出せる機会を持てたわ。			心の中で何度もつぶやいた、「おつかれさま」と「おやすみ」……。おかげで、ちゃんと口に出せる機会を持てたわ。			小さな旅路							
さあ、それじゃ、私はモードゥナへ戻って、また、大切な人たちへの祈りを捧げながら暮らしていくわね。			さあ、それじゃ、私はモードゥナへ戻って、また、大切な人たちへの祈りを捧げながら暮らしていくわね。			小さな旅路							
あの子が愛した、この世界の未来に……。そして、あなたやリーン、サンクレッドたちが、これから続く困難の道のりを歩きつづけられるよう……。			あの子が愛した、この世界の未来に……。そして、あなたやリーン、サンクレッドたちが、これから続く困難の道のりを歩きつづけられるよう……。			小さな旅路							
私のワガママに付き合ってくれて、ありがとうね……。あの子の灯火だった、英雄さん。			私のワガママに付き合ってくれて、ありがとうね……。あの子の灯火だった、英雄さん。			小さな旅路							
