特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			アジムステップの若き冒険者							
アジムステップのマタンガ族とは違うらしいぞ			アジムステップのマタンガ族とは違うらしいぞ			アジムステップの若き冒険者							
アルカソーダラ族は文明的だから……			アルカソーダラ族は文明的だから……			アジムステップの若き冒険者							
そ、そうなのか……？けどさ、ばあちゃんも言ってたんだ。「マタンガ族を見たら、地平線の向こうまで逃げろ」って！			そ、そうなのか……？けどさ、ばあちゃんも言ってたんだ。「マタンガ族を見たら、地平線の向こうまで逃げろ」って！			アジムステップの若き冒険者							
ああ、ダメだ……理屈ぬきで、怖いもんは怖い！いますぐ船賃を稼いで、こんな恐怖の島から逃げてやる！			ああ、ダメだ……理屈ぬきで、怖いもんは怖い！いますぐ船賃を稼いで、こんな恐怖の島から逃げてやる！			アジムステップの若き冒険者							
なあ頼むよ、少しだけ一緒にいてくれないか！？船乗りたちから、仕事の斡旋人の名前は聞いてるんだ！「カーンチャナ」ってヤツのところまで、付き合って……！			なあ頼むよ、少しだけ一緒にいてくれないか！？船乗りたちから、仕事の斡旋人の名前は聞いてるんだ！「カーンチャナ」ってヤツのところまで、付き合って……！			アジムステップの若き冒険者							
そこに隠れている子、どうしたのかしらね……？			そこに隠れている子、どうしたのかしらね……？			アジムステップの若き冒険者							
ごめん……私の代わりに、カーンチャナと話してくれないか？まさか、斡旋人がマタンガ族なんて思わなくてさぁ……。			ごめん……私の代わりに、カーンチャナと話してくれないか？まさか、斡旋人がマタンガ族なんて思わなくてさぁ……。			アジムステップの若き冒険者							
イェドリマンへようこそ、旅の方。私は仕事の斡旋人をしている、カーンチャナ。あなたたち、お名前は？			イェドリマンへようこそ、旅の方。私は仕事の斡旋人をしている、カーンチャナ。あなたたち、お名前は？			アジムステップの若き冒険者							
Forenameとオグルね。覚えておくわ。			Forenameとオグルね。覚えておくわ。			アジムステップの若き冒険者							
どぉして、仕事くれる人までマタンガ族なんだ！？助けて、ばあちゃん！			どぉして、仕事くれる人までマタンガ族なんだ！？助けて、ばあちゃん！			アジムステップの若き冒険者							
……その子、どうしちゃったの？			……その子、どうしちゃったの？			アジムステップの若き冒険者							
なるほど、ガジャースラ族のせいで……アルカソーダラ族にとっては風評被害もいいところね。			なるほど、ガジャースラ族のせいで……アルカソーダラ族にとっては風評被害もいいところね。			アジムステップの若き冒険者							
それで、仕事をお探し？不況のあおりで、職を失った住民が多くてね、簡単な仕事はほとんど、彼らが終わらせているのよ。			それで、仕事をお探し？不況のあおりで、職を失った住民が多くてね、簡単な仕事はほとんど、彼らが終わらせているのよ。			アジムステップの若き冒険者							
だから、戦える人向けの依頼しか残っていないの。それでもいい？			だから、戦える人向けの依頼しか残っていないの。それでもいい？			アジムステップの若き冒険者							
う、腕っぷしなら自信あるぞ！ばあちゃんも「お前は竜退治のチャカに似てる」って言ってたしな！			う、腕っぷしなら自信あるぞ！ばあちゃんも「お前は竜退治のチャカに似てる」って言ってたしな！			アジムステップの若き冒険者							
そのチャカっていう人が何かはわからないけど……腕に覚えがあるなら、採集に出た職人の護衛を頼める？護衛役が見つかったら、後からでも来てほしいと言っていたわ。			そのチャカっていう人が何かはわからないけど……腕に覚えがあるなら、採集に出た職人の護衛を頼める？護衛役が見つかったら、後からでも来てほしいと言っていたわ。			アジムステップの若き冒険者							
え、もう出発した後なのか？			え、もう出発した後なのか？			アジムステップの若き冒険者							
カジャーヤ演舞場で、舞いの奉納をおこなうことになってね。そこで使う香や、踊り子たちの衣装を仕立てるとかで、急いでいるようだったわ。			カジャーヤ演舞場で、舞いの奉納をおこなうことになってね。そこで使う香や、踊り子たちの衣装を仕立てるとかで、急いでいるようだったわ。			アジムステップの若き冒険者							
ふうん……			ふうん……			アジムステップの若き冒険者							
と、ところで質問！そこにマタンガ族は！？			と、ところで質問！そこにマタンガ族は！？			アジムステップの若き冒険者							
依頼主がアルカソーダラ族よ。がんばって！			依頼主がアルカソーダラ族よ。がんばって！			アジムステップの若き冒険者							
うぐ……会ったら、間違いなく失神する！			うぐ……会ったら、間違いなく失神する！			アジムステップの若き冒険者							
姐さん兄さん、一生のお願いだから一緒に来て！報酬は半分こしよ！			姐さん兄さん、一生のお願いだから一緒に来て！報酬は半分こしよ！			アジムステップの若き冒険者							
依頼主の「アルカソーダラ族の職人長」には、イェドリマンを出て西へ歩けば会えるはずよ。			依頼主の「アルカソーダラ族の職人長」には、イェドリマンを出て西へ歩けば会えるはずよ。			アジムステップの若き冒険者							
よーし、現地で合流だ！ちゃ、ちゃんと来てよ……？			よーし、現地で合流だ！ちゃ、ちゃんと来てよ……？			アジムステップの若き冒険者							
依頼主の「アルカソーダラ族の職人長」には、イェドリマンを出て西へ歩けば会えるはずよ。			依頼主の「アルカソーダラ族の職人長」には、イェドリマンを出て西へ歩けば会えるはずよ。			アジムステップの若き冒険者							
ぐぬ～！			ぐぬ～！			アジムステップの若き冒険者							
おや、もしかして護衛の件かな？			おや、もしかして護衛の件かな？			アジムステップの若き冒険者							
それはありがたいけど……連れのお嬢さん、大丈夫？具合でも悪いのかな。			それはありがたいけど……連れのお嬢さん、大丈夫？具合でも悪いのかな。			アジムステップの若き冒険者							
閃いた……！私が採集してくれば、怖くないし安全だし、最高なんじゃ！？よし、職人さんは待ってて！			閃いた……！私が採集してくれば、怖くないし安全だし、最高なんじゃ！？よし、職人さんは待ってて！			アジムステップの若き冒険者							
みんな、もう採集しに散っているから、魔物が近づかないよう、見回ってほしかったんだけど……			みんな、もう採集しに散っているから、魔物が近づかないよう、見回ってほしかったんだけど……			アジムステップの若き冒険者							
彼女、もしかしてアルカソーダラ族が怖いの？島外から来た人には、たまにいるんだよね……。まあともかく、俺も採集にいくから、君は見回りを頼むよ。			彼女、もしかしてアルカソーダラ族が怖いの？島外から来た人には、たまにいるんだよね……。まあともかく、俺も採集にいくから、君は見回りを頼むよ。			アジムステップの若き冒険者							
「オグル」が心配だ。見回りがてら、行方を探してみよう。			「オグル」が心配だ。見回りがてら、行方を探してみよう。			アジムステップの若き冒険者							
おち、おちつ……いて……。			おち、おちつ……いて……。			アジムステップの若き冒険者							
ありがとう……採集に夢中で、魔物に気づかなかった。			ありがとう……採集に夢中で、魔物に気づかなかった。			アジムステップの若き冒険者							
怪我は大したことないし、採集も済んだから、職人長へ報告に戻るとするよ……。			怪我は大したことないし、採集も済んだから、職人長へ報告に戻るとするよ……。			アジムステップの若き冒険者							
……はっ！意識飛んでた！！			……はっ！意識飛んでた！！			アジムステップの若き冒険者							
もしかして、魔物を倒してくれた？			もしかして、魔物を倒してくれた？			アジムステップの若き冒険者							
助かったぁ。片方は不意打ちで倒せたけど、背後にマタンガ族がいると思ったら、身体が固まっちゃって……			助かったぁ。片方は不意打ちで倒せたけど、背後にマタンガ族がいると思ったら、身体が固まっちゃって……			アジムステップの若き冒険者							
ばあちゃんも「心は流れる水のように」って、言ってたのに大失態だなぁ、反省、反省……。ところで、なんでここに？			ばあちゃんも「心は流れる水のように」って、言ってたのに大失態だなぁ、反省、反省……。ところで、なんでここに？			アジムステップの若き冒険者							
え、見回りをしてほしいって言ってた？そっか、ひとりで突っ走って迷惑かけて、ごめん……。			え、見回りをしてほしいって言ってた？そっか、ひとりで突っ走って迷惑かけて、ごめん……。			アジムステップの若き冒険者							
助けた職人が、ちゃんと引き返せたのかも気になるし、ひとまず「アルカソーダラ族の職人長」のところまで戻ろう。			助けた職人が、ちゃんと引き返せたのかも気になるし、ひとまず「アルカソーダラ族の職人長」のところまで戻ろう。			アジムステップの若き冒険者							
ふーっ！　ふーっ！怖くない、怖くない、怖くない……！			ふーっ！　ふーっ！怖くない、怖くない、怖くない……！			アジムステップの若き冒険者							
見回りおつかれさま。仲間を助けてくれたんだって？本人から聞いたよ、世話になったね。			見回りおつかれさま。仲間を助けてくれたんだって？本人から聞いたよ、世話になったね。			アジムステップの若き冒険者							
彼も含め、職人たちは引き揚げていったから、俺も、そろそろ戻ることにするよ。			彼も含め、職人たちは引き揚げていったから、俺も、そろそろ戻ることにするよ。			アジムステップの若き冒険者							
報酬は、カーンチャナから受け取ってくれ。ふたりとも、ありがとう。			報酬は、カーンチャナから受け取ってくれ。ふたりとも、ありがとう。			アジムステップの若き冒険者							
ふー……イェドリマンに戻って、「カーンチャナ」に報告しよう。			ふー……イェドリマンに戻って、「カーンチャナ」に報告しよう。			アジムステップの若き冒険者							
ドマやクガネでは、ちゃんと依頼をこなせてたんだ……本当だぞ？			ドマやクガネでは、ちゃんと依頼をこなせてたんだ……本当だぞ？			アジムステップの若き冒険者							
おかえりなさい、ふたりとも！さっき、職人長からお礼を言われたわよ。			おかえりなさい、ふたりとも！さっき、職人長からお礼を言われたわよ。			アジムステップの若き冒険者							
彼らがやろうとしている奉納はね、最近いろいろとあったから、急遽決まったみたいなの。だから、少しバタついてしまって、苦労をかけてしまったわね。			彼らがやろうとしている奉納はね、最近いろいろとあったから、急遽決まったみたいなの。だから、少しバタついてしまって、苦労をかけてしまったわね。			アジムステップの若き冒険者							
困難を前にしたとき、サベネア島の住人は、奉納の儀式を通じて、いまいちど神獣様の訓えを胸に刻むの。そうして心を奮い立たせるというわけ。			困難を前にしたとき、サベネア島の住人は、奉納の儀式を通じて、いまいちど神獣様の訓えを胸に刻むの。そうして心を奮い立たせるというわけ。			アジムステップの若き冒険者							
ふたりのおかげで、無事に奉納できそうで良かったわ。本当に、ありがとう……！報酬はしっかり半分ずつ支払わせてもらうわね！			ふたりのおかげで、無事に奉納できそうで良かったわ。本当に、ありがとう……！報酬はしっかり半分ずつ支払わせてもらうわね！			アジムステップの若き冒険者							
ところで……もうひとつ依頼を受ける気はない？興味があるなら、また声をかけてちょうだいね。			ところで……もうひとつ依頼を受ける気はない？興味があるなら、また声をかけてちょうだいね。			アジムステップの若き冒険者							
特殊ルール： レベルアジャストイェドリマンのカーンチャナは、もうひとつ仕事を頼みたいようだ。			特殊ルール： レベルアジャストイェドリマンのカーンチャナは、もうひとつ仕事を頼みたいようだ。			道行けばマタンガ族あり							
※本クエストには「 レベルアジャスト」が、　設定されています。カーンチャナと話した。オグルの仕事に、再びつきあうことになった。サベネア島のイェドリマン西にいる「アルカソーダラ族の漁師」と話そう。			※本クエストには「 レベルアジャスト」が、　設定されています。カーンチャナと話した。オグルの仕事に、再びつきあうことになった。サベネア島のイェドリマン西にいる「アルカソーダラ族の漁師」と話そう。			道行けばマタンガ族あり							
アルカソーダラ族の漁師と話した。イェドリマン西の「オグル」と話そう。			アルカソーダラ族の漁師と話した。イェドリマン西の「オグル」と話そう。			道行けばマタンガ族あり							
オグルと話した。彼女を連れて、イェドリマン西で漁師に聞き込みをしよう。※同行状態が解除された場合、再度「オグル」に話しかけることで同行を再開できます。			オグルと話した。彼女を連れて、イェドリマン西で漁師に聞き込みをしよう。※同行状態が解除された場合、再度「オグル」に話しかけることで同行を再開できます。			道行けばマタンガ族あり							
漁師に聞き込みをした。オグルを連れて、イェドリマン西の「アルカソーダラ族の漁師」と話そう。			漁師に聞き込みをした。オグルを連れて、イェドリマン西の「アルカソーダラ族の漁師」と話そう。			道行けばマタンガ族あり							
アルカソーダラ族の漁師と話した。イェドリマン北西で「オグル」を探そう。			アルカソーダラ族の漁師と話した。イェドリマン北西で「オグル」を探そう。			道行けばマタンガ族あり							
オグルを見つけた。イェドリマン北西の「指定地点」で見渡して、魔物が現れたら討伐しよう。			オグルを見つけた。イェドリマン北西の「指定地点」で見渡して、魔物が現れたら討伐しよう。			道行けばマタンガ族あり							
魔物を討伐した。イェドリマン西の「アルカソーダラ族の漁師」に報告しよう。			魔物を討伐した。イェドリマン西の「アルカソーダラ族の漁師」に報告しよう。			道行けばマタンガ族あり							
アルカソーダラ族の漁師に報告した。彼らは、魔物から素材を採集し、活用方法を模索するという。故郷の部族と同じく、命を粗末にしないその姿に、オグルは感心したようだ。			アルカソーダラ族の漁師に報告した。彼らは、魔物から素材を採集し、活用方法を模索するという。故郷の部族と同じく、命を粗末にしないその姿に、オグルは感心したようだ。			道行けばマタンガ族あり							
アルカソーダラ族の漁師と話す			アルカソーダラ族の漁師と話す			道行けばマタンガ族あり							
オグルと話して同行させる			オグルと話して同行させる			道行けばマタンガ族あり							
オグルを連れて浜辺の漁師たちと話す			オグルを連れて浜辺の漁師たちと話す			道行けばマタンガ族あり							
オグルを連れてアルカソーダラ族の漁師と話す			オグルを連れてアルカソーダラ族の漁師と話す			道行けばマタンガ族あり							
オグルを探す			オグルを探す			道行けばマタンガ族あり							
指定地点で見渡し、魔物が現れたら討伐			指定地点で見渡し、魔物が現れたら討伐			道行けばマタンガ族あり							
アルカソーダラ族の漁師に報告			アルカソーダラ族の漁師に報告			道行けばマタンガ族あり							
ドマやクガネでは、ちゃんと依頼をこなせてたんだ……本当だぞ？			ドマやクガネでは、ちゃんと依頼をこなせてたんだ……本当だぞ？			道行けばマタンガ族あり							
あら、仕事に興味をもってくれたのね！近隣住民から、魔物の討伐依頼がきているの。			あら、仕事に興味をもってくれたのね！近隣住民から、魔物の討伐依頼がきているの。			道行けばマタンガ族あり							
最近、星戦士団もいろいろと忙しそうでねえ……巡回の人手が足りず、魔物の駆除が進んでいないみたい。それで、対処依頼がこちらにきたのよ。			最近、星戦士団もいろいろと忙しそうでねえ……巡回の人手が足りず、魔物の駆除が進んでいないみたい。それで、対処依頼がこちらにきたのよ。			道行けばマタンガ族あり							
依頼人は、アルカソーダラ族の漁師さん。漁に出るのを見かけたから、今は西の浜辺にいるはずよ。			依頼人は、アルカソーダラ族の漁師さん。漁に出るのを見かけたから、今は西の浜辺にいるはずよ。			道行けばマタンガ族あり							
また、マタンガ族！？			また、マタンガ族！？			道行けばマタンガ族あり							
姐さん兄さん、もう少しつきあってくれ、後生だからぁ！			姐さん兄さん、もう少しつきあってくれ、後生だからぁ！			道行けばマタンガ族あり							
恩に着る！じゃあ、イェドリマン西の浜辺で、「アルカソーダラ族の漁師」に話を聞こう。			恩に着る！じゃあ、イェドリマン西の浜辺で、「アルカソーダラ族の漁師」に話を聞こう。			道行けばマタンガ族あり							
アルカソーダラ族に、慣れてくれるといいんだけどねえ。			アルカソーダラ族に、慣れてくれるといいんだけどねえ。			道行けばマタンガ族あり							
な、なんとか挽回しないと。			な、なんとか挽回しないと。			道行けばマタンガ族あり							
魔物の件で来てくれたって？そりゃあ助かる！			魔物の件で来てくれたって？そりゃあ助かる！			道行けばマタンガ族あり							
俺らには船もあるが、陸路を使うこともあるんでな。被害が増える前に、手を打ちたくてよ。			俺らには船もあるが、陸路を使うこともあるんでな。被害が増える前に、手を打ちたくてよ。			道行けばマタンガ族あり							
幸い、俺は襲われていないが、仲間が襲われたんだ。詳しいことは、漁師たちに聞いてみてくれ。			幸い、俺は襲われていないが、仲間が襲われたんだ。詳しいことは、漁師たちに聞いてみてくれ。			道行けばマタンガ族あり							
姐さん兄さん……聞き込み、一緒に行こう？アルカソーダラ族相手に、ちゃんと話せる自信なくて……た、頼むよ～！　行くときは声をかけてくれ！			姐さん兄さん……聞き込み、一緒に行こう？アルカソーダラ族相手に、ちゃんと話せる自信なくて……た、頼むよ～！　行くときは声をかけてくれ！			道行けばマタンガ族あり							
詳しいことは、漁師たちに聞いてみてくれ。			詳しいことは、漁師たちに聞いてみてくれ。			道行けばマタンガ族あり							
聞き込みを始めるんだな？よ、よし……私もついていくから、よろしく頼んだ！			聞き込みを始めるんだな？よ、よし……私もついていくから、よろしく頼んだ！			道行けばマタンガ族あり							
悪い、休ませてくれ。			悪い、休ませてくれ。			道行けばマタンガ族あり							
ああ、魔物の話か。アキャーリからイェドリマンへ向かったとき、見慣れない魔物を3体ぐらい見かけたよ。			ああ、魔物の話か。アキャーリからイェドリマンへ向かったとき、見慣れない魔物を3体ぐらい見かけたよ。			道行けばマタンガ族あり							
考え事をしているから、あとにして。			考え事をしているから、あとにして。			道行けばマタンガ族あり							
魔物に襲われたかって？ええ、陸路で海産物を運んでいたときにね。街道に魔物が出るなんて珍しいから、驚いたよ。			魔物に襲われたかって？ええ、陸路で海産物を運んでいたときにね。街道に魔物が出るなんて珍しいから、驚いたよ。			道行けばマタンガ族あり							
ふあぁ、ねむ……。			ふあぁ、ねむ……。			道行けばマタンガ族あり							
え、人を襲う魔物の情報？そこのアキャーリって漁村を出たところで、長い舌を持つ魔物に襲われて、大変だったよ。			え、人を襲う魔物の情報？そこのアキャーリって漁村を出たところで、長い舌を持つ魔物に襲われて、大変だったよ。			道行けばマタンガ族あり							
聞き込みはこんなもんだな。「アルカソーダラ族の漁師」に状況報告しつつ、集めた情報を整理してみるか。			聞き込みはこんなもんだな。「アルカソーダラ族の漁師」に状況報告しつつ、集めた情報を整理してみるか。			道行けばマタンガ族あり							
そろそろ働くかぁ。			そろそろ働くかぁ。			道行けばマタンガ族あり							
漁獲量を増やす方法はないかしら……。			漁獲量を増やす方法はないかしら……。			道行けばマタンガ族あり							
ベッドが恋しい……。			ベッドが恋しい……。			道行けばマタンガ族あり							
俺と話す前に、隣でぼんやりしてる嬢ちゃんへ声をかけてやれ。			俺と話す前に、隣でぼんやりしてる嬢ちゃんへ声をかけてやれ。			道行けばマタンガ族あり							
漁師たちから話は聞けたか？			漁師たちから話は聞けたか？			道行けばマタンガ族あり							
魔物に遭遇したのは街道で、数は3体、長い舌が特徴的らしい！			魔物に遭遇したのは街道で、数は3体、長い舌が特徴的らしい！			道行けばマタンガ族あり							
そりゃあ、ピシャーチャだな。星戦士団の巡回が減っている影響で、内陸側の魔物が、こっちに入り込んじまったか。			そりゃあ、ピシャーチャだな。星戦士団の巡回が減っている影響で、内陸側の魔物が、こっちに入り込んじまったか。			道行けばマタンガ族あり							
なんにせよ、人を襲うことを覚えた魔物を放置するのは危険だ。討伐のほうもよろしく頼む。			なんにせよ、人を襲うことを覚えた魔物を放置するのは危険だ。討伐のほうもよろしく頼む。			道行けばマタンガ族あり							
あと、本当にピシャーチャだったら、亡骸を持ってきてくれ。試したいことがあってな、ひとまず1体あれば十分だ。			あと、本当にピシャーチャだったら、亡骸を持ってきてくれ。試したいことがあってな、ひとまず1体あれば十分だ。			道行けばマタンガ族あり							
よーし、どっちが先に倒すか競争だ！いざっ！			よーし、どっちが先に倒すか競争だ！いざっ！			道行けばマタンガ族あり							
威勢のいい嬢ちゃんだが、どうにも危なっかしいな。あんた、追いかけたほうがいいんじゃないか？			威勢のいい嬢ちゃんだが、どうにも危なっかしいな。あんた、追いかけたほうがいいんじゃないか？			道行けばマタンガ族あり							
威勢のいい嬢ちゃんだが、どうにも危なっかしいな。あんた、追いかけたほうがいいんじゃないか？			威勢のいい嬢ちゃんだが、どうにも危なっかしいな。あんた、追いかけたほうがいいんじゃないか？			道行けばマタンガ族あり							
ふっふーん、先に1体、仕留めたぞ！ばあちゃんの言う通り、「狩りは、ヨルのように速く」ってね！			ふっふーん、先に1体、仕留めたぞ！ばあちゃんの言う通り、「狩りは、ヨルのように速く」ってね！			道行けばマタンガ族あり							
残りの2体は、頼んでもいいか？私がこいつを倒すのを見て、北西に逃げちゃってさ。そのかわりに、私は浜辺まで亡骸を運んでおく！			残りの2体は、頼んでもいいか？私がこいつを倒すのを見て、北西に逃げちゃってさ。そのかわりに、私は浜辺まで亡骸を運んでおく！			道行けばマタンガ族あり							
何と言う？			何と言う？			道行けばマタンガ族あり							
依頼人、アルカソーダラ族だけど平気？			依頼人、アルカソーダラ族だけど平気？			道行けばマタンガ族あり							
また気絶するんじゃ……			また気絶するんじゃ……			道行けばマタンガ族あり							
へ、平気だって！少しは慣れてきた……ような気がするし！ほら、誰かが襲われちゃう前に行った、行った！			へ、平気だって！少しは慣れてきた……ような気がするし！ほら、誰かが襲われちゃう前に行った、行った！			道行けばマタンガ族あり							
ほら、誰かが襲われちゃう前に行った、行った！			ほら、誰かが襲われちゃう前に行った、行った！			道行けばマタンガ族あり							
重かった……。			重かった……。			道行けばマタンガ族あり							
戻ったか。嬢ちゃんが持ってきた亡骸は、船で仲間に運んでもらったところだ。			戻ったか。嬢ちゃんが持ってきた亡骸は、船で仲間に運んでもらったところだ。			道行けばマタンガ族あり							
残りの2体は倒せたか？			残りの2体は倒せたか？			道行けばマタンガ族あり							
始末してくれたか！助かったぞ。			始末してくれたか！助かったぞ。			道行けばマタンガ族あり							
さっすが～！姐さん兄さん、強いなぁ。			さっすが～！姐さん兄さん、強いなぁ。			道行けばマタンガ族あり							
にしても、なんで亡骸が欲しかったんだ？			にしても、なんで亡骸が欲しかったんだ？			道行けばマタンガ族あり							
もちろん解体して、役立てるのさ。ピシャーチャの硬鱗は、職人の手にかかれば銀糸になるし、肉は食料に、骨や牙は釣り針の材料になる。			もちろん解体して、役立てるのさ。ピシャーチャの硬鱗は、職人の手にかかれば銀糸になるし、肉は食料に、骨や牙は釣り針の材料になる。			道行けばマタンガ族あり							
魔物だろうと、命は粗末にできねぇだろ？残りを放置してもらったのは、魔物に対する警告さ。近づいてこなければ、むやみに殺さずに済むからな。			魔物だろうと、命は粗末にできねぇだろ？残りを放置してもらったのは、魔物に対する警告さ。近づいてこなければ、むやみに殺さずに済むからな。			道行けばマタンガ族あり							
へえ……私の部族も、狩った獲物はしっかり活用してたぞ！ばあちゃんも「命いただく感謝を忘れずに」って言ってた。やっぱりガジャースラ族とは違うんだな、感心、感心。			へえ……私の部族も、狩った獲物はしっかり活用してたぞ！ばあちゃんも「命いただく感謝を忘れずに」って言ってた。やっぱりガジャースラ族とは違うんだな、感心、感心。			道行けばマタンガ族あり							
ははあ、俺と目を合わせないのは、ガジャースラ族のせいか。アルカソーダラ族は、気のいいやつらばかりだ。そのうち慣れる。			ははあ、俺と目を合わせないのは、ガジャースラ族のせいか。アルカソーダラ族は、気のいいやつらばかりだ。そのうち慣れる。			道行けばマタンガ族あり							
そら、こいつが報酬だ。受け取ってくれ。			そら、こいつが報酬だ。受け取ってくれ。			道行けばマタンガ族あり							
これで依頼完了だな！斡旋人のカーンチャナにも、報告しておくか。イェドリマンへ戻る準備ができたら、声をかけてくれ！			これで依頼完了だな！斡旋人のカーンチャナにも、報告しておくか。イェドリマンへ戻る準備ができたら、声をかけてくれ！			道行けばマタンガ族あり							
何をする？			何をする？			道行けばマタンガ族あり							
話す			話す			道行けばマタンガ族あり							
同行状態を解除する			同行状態を解除する			道行けばマタンガ族あり							
キャンセル			キャンセル			道行けばマタンガ族あり							
いつもなら、聞き込みぐらいできるんだぞ？マタンガ族が苦手なだけで……。			いつもなら、聞き込みぐらいできるんだぞ？マタンガ族が苦手なだけで……。			道行けばマタンガ族あり							
紅玉海とはまた違う景色だなぁ。獲れたての魚、塩ふって焼いたら美味そう……。			紅玉海とはまた違う景色だなぁ。獲れたての魚、塩ふって焼いたら美味そう……。			道行けばマタンガ族あり							
魔物って、どんなやつなんだろうな。聞き込みを進めよう！			魔物って、どんなやつなんだろうな。聞き込みを進めよう！			道行けばマタンガ族あり							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			道行けばマタンガ族あり							
え、急用か！？じゃあ、「アルカソーダラ族の漁師」のところにいるから、用事が片付いたら声をかけてくれ……見捨てないでよ？			え、急用か！？じゃあ、「アルカソーダラ族の漁師」のところにいるから、用事が片付いたら声をかけてくれ……見捨てないでよ？			道行けばマタンガ族あり							
ああ、来た来た！よーし、それじゃあ仕事にとりかかるぞ！			ああ、来た来た！よーし、それじゃあ仕事にとりかかるぞ！			道行けばマタンガ族あり							
このクエストを進行させるには、オグルが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、オグルが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			道行けばマタンガ族あり							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			道行けばマタンガ族あり							
特殊ルール： レベルアジャスト微風の浜のオグルは、イェドリマンへ戻るつもりのようだ。			特殊ルール： レベルアジャスト微風の浜のオグルは、イェドリマンへ戻るつもりのようだ。			オグルは恩義に報いたい							
※本クエストには「 レベルアジャスト」が、　設定されています。オグルと話した。サベネア島のイェドリマンにいる「カーンチャナ」と話そう。			※本クエストには「 レベルアジャスト」が、　設定されています。オグルと話した。サベネア島のイェドリマンにいる「カーンチャナ」と話そう。			オグルは恩義に報いたい							
カーンチャナと話した。イェドリマンの「カーンチャナ」と再度話そう。			カーンチャナと話した。イェドリマンの「カーンチャナ」と再度話そう。			オグルは恩義に報いたい							
