蒼天街のフランセルは、気になる人物を見かけたようだ。			蒼天街のフランセルは、気になる人物を見かけたようだ。			お得意様デュランデル伯爵							
その思いはとても素晴らしいものだわ。でもね、病院で働くということは、命を預かる大事な仕事なの。つらいからって、途中で投げ出すことはできないわ。			その思いはとても素晴らしいものだわ。でもね、病院で働くということは、命を預かる大事な仕事なの。つらいからって、途中で投げ出すことはできないわ。			お得意様デュランデル伯爵							
マエリちゃんがどんなに頑張っても、あなたの支援は受けたくないという人もいるかもしれない。あなたの幼さを理由にね。			マエリちゃんがどんなに頑張っても、あなたの支援は受けたくないという人もいるかもしれない。あなたの幼さを理由にね。			お得意様デュランデル伯爵							
例えば、基本的な読み書きだったり、数を数えたり……。そういうことで判断されるかもしれないわ。それでも、頑張れる？			例えば、基本的な読み書きだったり、数を数えたり……。そういうことで判断されるかもしれないわ。それでも、頑張れる？			お得意様デュランデル伯爵							
がんばる、けど……。お勉強は孤児院で教わってるけど、あんまり自信はないの。大丈夫かなぁ……。			がんばる、けど……。お勉強は孤児院で教わってるけど、あんまり自信はないの。大丈夫かなぁ……。			お得意様デュランデル伯爵							
そして失礼ながら、シャルルマンさん。ここの患者の大半は、兵士として貴族に雇われていた平民です。			そして失礼ながら、シャルルマンさん。ここの患者の大半は、兵士として貴族に雇われていた平民です。			お得意様デュランデル伯爵							
あなたが奉仕職員になったと知れば、貴族の気まぐれな道楽と受け取る方もでてくるでしょう。面と向かってそう言わずとも、ね。			あなたが奉仕職員になったと知れば、貴族の気まぐれな道楽と受け取る方もでてくるでしょう。面と向かってそう言わずとも、ね。			お得意様デュランデル伯爵							
そうした態度を向けられて、なお、患者たちの心に寄り添っていくことはできますか？			そうした態度を向けられて、なお、患者たちの心に寄り添っていくことはできますか？			お得意様デュランデル伯爵							
……その可能性があることは、もちろん承知の上だ。どんな言葉も態度も、甘んじて受け入れ、職務を全うすると誓おう。			……その可能性があることは、もちろん承知の上だ。どんな言葉も態度も、甘んじて受け入れ、職務を全うすると誓おう。			お得意様デュランデル伯爵							
だが、平民たちの常識や心情を慮ることについては、自信があるとは……。			だが、平民たちの常識や心情を慮ることについては、自信があるとは……。			お得意様デュランデル伯爵							
何と言う？			何と言う？			お得意様デュランデル伯爵							
商談で挫けぬ心を学んだだろう			商談で挫けぬ心を学んだだろう			お得意様デュランデル伯爵							
もとより逆境のスタートだ			もとより逆境のスタートだ			お得意様デュランデル伯爵							
いや、それでも私は奉仕職員を志望しよう。今は知らぬ事柄でも、聞く耳を持ちさえすれば学べると知った。そして、幸いにもこの場には、格好の教師役がおられる。			いや、それでも私は奉仕職員を志望しよう。今は知らぬ事柄でも、聞く耳を持ちさえすれば学べると知った。そして、幸いにもこの場には、格好の教師役がおられる。			お得意様デュランデル伯爵							
マエリ殿、私に平民の心を教えてはもらえぬだろうか。その代わりといってはなんだが、私はそなたに読み書きや算術を教えられよう。			マエリ殿、私に平民の心を教えてはもらえぬだろうか。その代わりといってはなんだが、私はそなたに読み書きや算術を教えられよう。			お得意様デュランデル伯爵							
我々は一人前の奉仕職員には至らぬが、互いを補いあえば、病院や患者のためにできることもあるかもしれぬ。			我々は一人前の奉仕職員には至らぬが、互いを補いあえば、病院や患者のためにできることもあるかもしれぬ。			お得意様デュランデル伯爵							
私からも、お願いします！			私からも、お願いします！			お得意様デュランデル伯爵							
そういうことなら、ふたりともお願いするわ。覚悟を聞くために厳しいことを言ってしまったけれど、私たち正規職員も全力でサポートするから、どうかよろしくね。			そういうことなら、ふたりともお願いするわ。覚悟を聞くために厳しいことを言ってしまったけれど、私たち正規職員も全力でサポートするから、どうかよろしくね。			お得意様デュランデル伯爵							
まずはそうね、「記念病院の日用品」の準備から手伝ってもらおうかしら。			まずはそうね、「記念病院の日用品」の準備から手伝ってもらおうかしら。			お得意様デュランデル伯爵							
ああ、任せてくれ。と言いたいところだが……。			ああ、任せてくれ。と言いたいところだが……。			お得意様デュランデル伯爵							
Forename殿、そなたは職人としても一流だと街の噂になっている。			Forename殿、そなたは職人としても一流だと街の噂になっている。			お得意様デュランデル伯爵							
我らにはまだ病院の必需品の良し悪しを判断できる目がないゆえ、その、調達を手伝ってもらえないだろうか？			我らにはまだ病院の必需品の良し悪しを判断できる目がないゆえ、その、調達を手伝ってもらえないだろうか？			お得意様デュランデル伯爵							
Forenameさんが、用意してくれるものなら安心ね！			Forenameさんが、用意してくれるものなら安心ね！			お得意様デュランデル伯爵							
「ロウェナ商会」はご存じ？最近イシュガルドに参入し始めた振興商会なの。			「ロウェナ商会」はご存じ？最近イシュガルドに参入し始めた振興商会なの。			お得意様デュランデル伯爵							
「ロウェナ商会」はご存じ？最近イシュガルドに参入して、福祉事業へ支援してくれているの。			「ロウェナ商会」はご存じ？最近イシュガルドに参入して、福祉事業へ支援してくれているの。			お得意様デュランデル伯爵							
ちょうどこの病院の前に、拠点を構えて活動していらっしゃるから、必要なものがあったら、そちらで買うといいわ。			ちょうどこの病院の前に、拠点を構えて活動していらっしゃるから、必要なものがあったら、そちらで買うといいわ。			お得意様デュランデル伯爵							
聖ロエル広場のエル・トゥは、爛々とした目で冒険者を見つめている。			聖ロエル広場のエル・トゥは、爛々とした目で冒険者を見つめている。			お得意様エル・トゥ							
職人と話す			職人と話す			お得意様エル・トゥ							
エル・トゥと話す			エル・トゥと話す			お得意様エル・トゥ							
アルヴィデと話す			アルヴィデと話す			お得意様エル・トゥ							
エル・トゥと話す			エル・トゥと話す			お得意様エル・トゥ							
ねぇねぇエイユウ！　聞いてくだちゃい！あたくち、ヒトの文化をたっくさん勉強ちてまちゅよ！おかげで毎日、とっても充実ちてまち！			ねぇねぇエイユウ！　聞いてくだちゃい！あたくち、ヒトの文化をたっくさん勉強ちてまちゅよ！おかげで毎日、とっても充実ちてまち！			お得意様エル・トゥ							
英雄様、こんにちは……！僕も、竜の生態についての本を書くために、エル・トゥからいろんなお話を聞いてます……！			英雄様、こんにちは……！僕も、竜の生態についての本を書くために、エル・トゥからいろんなお話を聞いてます……！			お得意様エル・トゥ							
それでね、この街にいて気づいちゃいまちたの！竜とヒトとの、決定的な違い！ヒトだけの特別な文化！			それでね、この街にいて気づいちゃいまちたの！竜とヒトとの、決定的な違い！ヒトだけの特別な文化！			お得意様エル・トゥ							
それは、ヒトが「ものづくり」をする、ということでちゅわ！			それは、ヒトが「ものづくり」をする、ということでちゅわ！			お得意様エル・トゥ							
爪も翼も持たない非力なヒトは、便利な「道具」を作って、使うことで、たくさんの困難に立ち向かっているのでちょ？			爪も翼も持たない非力なヒトは、便利な「道具」を作って、使うことで、たくさんの困難に立ち向かっているのでちょ？			お得意様エル・トゥ							
道具で「素材」を採って、また別の道具で「加工」して……元の素材とはぜんぜん違う、便利なものに変えるなんて、すごいでち！			道具で「素材」を採って、また別の道具で「加工」して……元の素材とはぜんぜん違う、便利なものに変えるなんて、すごいでち！			お得意様エル・トゥ							
それで、ここみたいな、自分よりずっと大きくて立派な「巣」まで、造ることができるのでちゅもの！			それで、ここみたいな、自分よりずっと大きくて立派な「巣」まで、造ることができるのでちゅもの！			お得意様エル・トゥ							
でね、その「ものづくり」をやってみたいのでちけど、子どもだけじゃ危ないからダメって、オーディロンが言うんでちよ。			でね、その「ものづくり」をやってみたいのでちけど、子どもだけじゃ危ないからダメって、オーディロンが言うんでちよ。			お得意様エル・トゥ							
だからエイユウ、あたくちの師匠になって、「ものづくり」について、たっくさん教えてほちいの！			だからエイユウ、あたくちの師匠になって、「ものづくり」について、たっくさん教えてほちいの！			お得意様エル・トゥ							
日が昇ってから沈むまで、毎日つきっきりで、エイユウの知ってる技術を、ぜーんぶ教えてくれるまで！			日が昇ってから沈むまで、毎日つきっきりで、エイユウの知ってる技術を、ぜーんぶ教えてくれるまで！			お得意様エル・トゥ							
ダメだよ、エル・トゥ……！英雄様は忙しい人なんだから、ワガママ言っちゃ……！そんな、つきっきりでなんか絶対に無理だよ……！			ダメだよ、エル・トゥ……！英雄様は忙しい人なんだから、ワガママ言っちゃ……！そんな、つきっきりでなんか絶対に無理だよ……！			お得意様エル・トゥ							
むむむむむ……エイユウが良かったのに……。			むむむむむ……エイユウが良かったのに……。			お得意様エル・トゥ							
英雄様、よかったら……代わりにエル・トゥのお師匠さんになってくれそうな職人さんを、この「蒼天街」で探してくれませんか？			英雄様、よかったら……代わりにエル・トゥのお師匠さんになってくれそうな職人さんを、この「蒼天街」で探してくれませんか？			お得意様エル・トゥ							
英雄様が見つけてくれた人なら、きっとエル・トゥも信用してくれると思うので……！			英雄様が見つけてくれた人なら、きっとエル・トゥも信用してくれると思うので……！			お得意様エル・トゥ							
むむむむむ……エイユウが良かったのに……。			むむむむむ……エイユウが良かったのに……。			お得意様エル・トゥ							
英雄様、よかったら……代わりにエル・トゥのお師匠さんになってくれそうな職人さんを、この「蒼天街」で探してくれませんか？			英雄様、よかったら……代わりにエル・トゥのお師匠さんになってくれそうな職人さんを、この「蒼天街」で探してくれませんか？			お得意様エル・トゥ							
英雄様が見つけてくれた人なら、きっとエル・トゥも信用してくれると思うので……！			英雄様が見つけてくれた人なら、きっとエル・トゥも信用してくれると思うので……！			お得意様エル・トゥ							
なに、小さな子竜が、ものづくりの師匠を探しているだって？突飛な話もあったもんだな……。			なに、小さな子竜が、ものづくりの師匠を探しているだって？突飛な話もあったもんだな……。			お得意様エル・トゥ							
申し訳ないが、自分は大型の金属加工が専門だ。小さな子竜が扱うには、重くて大きいもんばかりで、期待には沿えないのではないかな。			申し訳ないが、自分は大型の金属加工が専門だ。小さな子竜が扱うには、重くて大きいもんばかりで、期待には沿えないのではないかな。			お得意様エル・トゥ							
あらまぁ、ものづくりの職人を探しているの？私はギャザラーだから、他の人を紹介したいところだけど……大量の採集依頼を確認するのに忙しいのよ、ごめんなさいねぇ。			あらまぁ、ものづくりの職人を探しているの？私はギャザラーだから、他の人を紹介したいところだけど……大量の採集依頼を確認するのに忙しいのよ、ごめんなさいねぇ。			お得意様エル・トゥ							
(-機工房の技師-)へぇ、子竜の「ものづくり」の師匠に、ねぇ。その子竜なら、何度かこの街で見かけたことがあるよ。フランセル卿お墨つきの、きゃぴきゃぴしたおチビちゃんだろ？			(-機工房の技師-)へぇ、子竜の「ものづくり」の師匠に、ねぇ。その子竜なら、何度かこの街で見かけたことがあるよ。フランセル卿お墨つきの、きゃぴきゃぴしたおチビちゃんだろ？			お得意様エル・トゥ							
(-機工房の技師-)さしずめ、ドラゴンの留学生ってとこか。面白そうだし、仕事の合間になら手伝ってやってもいいよ。所用が済んだら、話を聞きにいこうかな。			(-機工房の技師-)さしずめ、ドラゴンの留学生ってとこか。面白そうだし、仕事の合間になら手伝ってやってもいいよ。所用が済んだら、話を聞きにいこうかな。			お得意様エル・トゥ							
申し訳ないが、自分は大型の金属加工が専門だ。小さな子竜が扱うには、重く大きいもんばかりで、期待には沿えないのではないかな。			申し訳ないが、自分は大型の金属加工が専門だ。小さな子竜が扱うには、重く大きいもんばかりで、期待には沿えないのではないかな。			お得意様エル・トゥ							
あらまぁ、ものづくりの職人を探しているの？私はギャザラーだから、他の人を紹介したいところだけど……大量の採集依頼を確認するのに忙しいのよ、ごめんなさいねぇ。			あらまぁ、ものづくりの職人を探しているの？私はギャザラーだから、他の人を紹介したいところだけど……大量の採集依頼を確認するのに忙しいのよ、ごめんなさいねぇ。			お得意様エル・トゥ							
(-機工房の技師-)子竜のおチビちゃんのとこへは、所用が済んだら話を聞きにいかせてもらうよ。			(-機工房の技師-)子竜のおチビちゃんのとこへは、所用が済んだら話を聞きにいかせてもらうよ。			お得意様エル・トゥ							
エル・トゥのお師匠さんになってくれそうな人、見つかりました……？			エル・トゥのお師匠さんになってくれそうな人、見つかりました……？			お得意様エル・トゥ							
おかえりなさい、エイユウ！あたくちの師匠になってくれそうなヒト、見つかりまちた？			おかえりなさい、エイユウ！あたくちの師匠になってくれそうなヒト、見つかりまちた？			お得意様エル・トゥ							
(-？？？？-)おや、俺の話かな？			(-？？？？-)おや、俺の話かな？			お得意様エル・トゥ							
(-機工房の技師-)英雄殿から話は聞いたよ。ドラゴンがヒトの文化を知るために、「ものづくり」を学びたいなんて、殊勝な話じゃないか。			(-機工房の技師-)英雄殿から話は聞いたよ。ドラゴンがヒトの文化を知るために、「ものづくり」を学びたいなんて、殊勝な話じゃないか。			お得意様エル・トゥ							
俺はアルヴィデっていうんだ、よろしくなおチビちゃんたち。スカイスチール機工房で技師をやっててさ。最近は、蒼天街に出向してるんだ。			俺はアルヴィデっていうんだ、よろしくなおチビちゃんたち。スカイスチール機工房で技師をやっててさ。最近は、蒼天街に出向してるんだ。			お得意様エル・トゥ							
未来ある若者たちに、ぜひ協力したいと思ってるけど……ものづくりの勉強って具体的には、なにをしたいんだ？			未来ある若者たちに、ぜひ協力したいと思ってるけど……ものづくりの勉強って具体的には、なにをしたいんだ？			お得意様エル・トゥ							
なにって、えーっと……なにからなにまで、でちゅわ！			なにって、えーっと……なにからなにまで、でちゅわ！			お得意様エル・トゥ							
そうか、どこから勉強すればいいんだろう……。全然考えてなかった……。			そうか、どこから勉強すればいいんだろう……。全然考えてなかった……。			お得意様エル・トゥ							
何と言う？			何と言う？			お得意様エル・トゥ							
まずは道具を知ることから！			まずは道具を知ることから！			お得意様エル・トゥ							
最初は素材に触れてみては			最初は素材に触れてみては			お得意様エル・トゥ							
技術は目で見て盗め！			技術は目で見て盗め！			お得意様エル・トゥ							
さすが英雄殿、製作についても詳しいんだな！ものづくりには手に馴染む道具が必要だ。			さすが英雄殿、製作についても詳しいんだな！ものづくりには手に馴染む道具が必要だ。			お得意様エル・トゥ							
さすが英雄殿、製作についても詳しいんだな！そもそも、ものづくりの前提として、素材についての知識は不可欠だ。			さすが英雄殿、製作についても詳しいんだな！そもそも、ものづくりの前提として、素材についての知識は不可欠だ。			お得意様エル・トゥ							
それはちょっと、なんの知識もないおチビちゃんたちには酷じゃないかな？じゃあ、それなら……			それはちょっと、なんの知識もないおチビちゃんたちには酷じゃないかな？じゃあ、それなら……			お得意様エル・トゥ							
まずは採集と、採集に必要な道具について学ぶのはどうだろう？ものづくりの前提として、良質な素材の入手は必須だし。とっかかりとして一番じゃないかな。			まずは採集と、採集に必要な道具について学ぶのはどうだろう？ものづくりの前提として、良質な素材の入手は必須だし。とっかかりとして一番じゃないかな。			お得意様エル・トゥ							
わかりまちたわ！あたくち、まずはその「採集」っていうのと、「採集道具」についてお勉強ちまちゅ！			わかりまちたわ！あたくち、まずはその「採集」っていうのと、「採集道具」についてお勉強ちまちゅ！			お得意様エル・トゥ							
それでそれで、お勉強ちたら、今度は他の竜たちに、あたくちが「ものづくり」を、教えてあげまちゅのよ！			それでそれで、お勉強ちたら、今度は他の竜たちに、あたくちが「ものづくり」を、教えてあげまちゅのよ！			お得意様エル・トゥ							
それ、すっごく面白そう……！ドラゴンたちが「ものづくり」に触れるなんて、前代未聞だもん！どんな反応するんだろう……！			それ、すっごく面白そう……！ドラゴンたちが「ものづくり」に触れるなんて、前代未聞だもん！どんな反応するんだろう……！			お得意様エル・トゥ							
ふふん！きっとみんな、びっくりするでちよ！			ふふん！きっとみんな、びっくりするでちよ！			お得意様エル・トゥ							
ねぇ、エイユウ。ものづくりだけじゃなく「文化」というものは、たくさんのヒトが関わって、できているのでちゅよね？			ねぇ、エイユウ。ものづくりだけじゃなく「文化」というものは、たくさんのヒトが関わって、できているのでちゅよね？			お得意様エル・トゥ							
それなら、いろんなヒトの技術を見てみたいから、やっぱりエイユウにも、お師匠さんになってほしいでち。たまにでもいいから、教えにきてくだちゃらない？			それなら、いろんなヒトの技術を見てみたいから、やっぱりエイユウにも、お師匠さんになってほしいでち。たまにでもいいから、教えにきてくだちゃらない？			お得意様エル・トゥ							
わぁい！それでこそエイユウでちね！			わぁい！それでこそエイユウでちね！			お得意様エル・トゥ							
それなら、いろいろ工面してくれるやつが必要だろうな。ちょっと心当たりがあるんで、「ニューネスト居住区」に行ってみないか？			それなら、いろいろ工面してくれるやつが必要だろうな。ちょっと心当たりがあるんで、「ニューネスト居住区」に行ってみないか？			お得意様エル・トゥ							
任せてくだちゃい！あたくち、あの場所は庭みたいなものでちのよ！			任せてくだちゃい！あたくち、あの場所は庭みたいなものでちのよ！			お得意様エル・トゥ							
ここ、前にマルセロアおじちゃんと来たところでちね！			ここ、前にマルセロアおじちゃんと来たところでちね！			お得意様エル・トゥ							
あのお姉さんが、僕たちに協力してくれる人なのかな……？			あのお姉さんが、僕たちに協力してくれる人なのかな……？			お得意様エル・トゥ							
