忘れられた騎士亭のシドゥルグは、真剣な様子だ。			忘れられた騎士亭のシドゥルグは、真剣な様子だ。			暗影に沈むエピローグ							
そんなものか……。			そんなものか……。			暗影に沈むエピローグ							
……なんだ？今、お前の懐から、何かが割れたような音がしなかったか？			……なんだ？今、お前の懐から、何かが割れたような音がしなかったか？			暗影に沈むエピローグ							
ソウルクリスタルが、欠けているだと……！？おい、大丈夫なのか！？			ソウルクリスタルが、欠けているだと……！？おい、大丈夫なのか！？			暗影に沈むエピローグ							
(-？？？？-)あの……ごめんなさい……。あなたのクリスタルを、わってしまったの、ぼくみたい……。			(-？？？？-)あの……ごめんなさい……。あなたのクリスタルを、わってしまったの、ぼくみたい……。			暗影に沈むエピローグ							
初めて見るガキだな……。お前、名前は？			初めて見るガキだな……。お前、名前は？			暗影に沈むエピローグ							
…………ミスト、だよ。			…………ミスト、だよ。			暗影に沈むエピローグ							
そいつは、雲霧街の孤児が使う仮の姓だろう。……わけありか。			そいつは、雲霧街の孤児が使う仮の姓だろう。……わけありか。			暗影に沈むエピローグ							
ぼくには、特別な「ちから」があるの。それをつかって、人助けがしたくて、来た……。			ぼくには、特別な「ちから」があるの。それをつかって、人助けがしたくて、来た……。			暗影に沈むエピローグ							
けど、「ちから」つかうには、たくさんのエーテルが必要。それで、まわりからすこし借りようとして……そのクリスタルから、取っちゃった……。			けど、「ちから」つかうには、たくさんのエーテルが必要。それで、まわりからすこし借りようとして……そのクリスタルから、取っちゃった……。			暗影に沈むエピローグ							
ごめん……ごめんね……。かならず返すから、すこしまってほしいの。人助け、おわるまで……！			ごめん……ごめんね……。かならず返すから、すこしまってほしいの。人助け、おわるまで……！			暗影に沈むエピローグ							
ミスト、だったよね。……あなたは、誰を助けたいの？			ミスト、だったよね。……あなたは、誰を助けたいの？			暗影に沈むエピローグ							
だれが……いいんだろう……。何かをなくして、さみしいひと、かなしいひとを、元気にしてあげたいんだけど……。			だれが……いいんだろう……。何かをなくして、さみしいひと、かなしいひとを、元気にしてあげたいんだけど……。			暗影に沈むエピローグ							
だったら、ひとまず一緒に街の見回りをしてあげたらどうかな。もともと、その途中だったんだし……。			だったら、ひとまず一緒に街の見回りをしてあげたらどうかな。もともと、その途中だったんだし……。			暗影に沈むエピローグ							
本当に、そんな妙な「ちから」があるのかも怪しいが……ソウルクリスタルの存在を知っている時点で、まったくの妄言ではないか。			本当に、そんな妙な「ちから」があるのかも怪しいが……ソウルクリスタルの存在を知っている時点で、まったくの妄言ではないか。			暗影に沈むエピローグ							
お前も、一旦それでいいか？犯人だと名乗っている以上、無視というわけにもいかんだろう。			お前も、一旦それでいいか？犯人だと名乗っている以上、無視というわけにもいかんだろう。			暗影に沈むエピローグ							
おい、お前の人助けとやらの相手を探しに行くぞ。上層は、見てのとおり平穏だ。下層を見回って、何もなければすぐに力を戻す……いいな？			おい、お前の人助けとやらの相手を探しに行くぞ。上層は、見てのとおり平穏だ。下層を見回って、何もなければすぐに力を戻す……いいな？			暗影に沈むエピローグ							
うん……！よろしく、おねがいします。			うん……！よろしく、おねがいします。			暗影に沈むエピローグ							
この街のこと、すこし、しってるよ。ながいあいだ、たくさんの喪失と、かなしみがあったでしょう。ぼくでも、だれかに、元気をあげられるといいな……。			この街のこと、すこし、しってるよ。ながいあいだ、たくさんの喪失と、かなしみがあったでしょう。ぼくでも、だれかに、元気をあげられるといいな……。			暗影に沈むエピローグ							
だーかーらー！わからない人だねぇ！			だーかーらー！わからない人だねぇ！			暗影に沈むエピローグ							
資金は、必ずどうにかします。ですから、どうかこの像の修復を再開してください……！			資金は、必ずどうにかします。ですから、どうかこの像の修復を再開してください……！			暗影に沈むエピローグ							
そうは言ったって、依頼は飽和してるんだ。これより優先して直すべきものが、たくさんあるんだよ。			そうは言ったって、依頼は飽和してるんだ。これより優先して直すべきものが、たくさんあるんだよ。			暗影に沈むエピローグ							
前にもそうおっしゃったから、随分待ちました。でも、最近では私よりあとに依頼された石像の修復にも、着手されているそうじゃないですか……！			前にもそうおっしゃったから、随分待ちました。でも、最近では私よりあとに依頼された石像の修復にも、着手されているそうじゃないですか……！			暗影に沈むエピローグ							
はー……そこまで知ってるなら引いてくれ。神学院の援助があった手前、最初は協力していたがね、あんたのとこから仕事を請けるのは……まずいんだよ。			はー……そこまで知ってるなら引いてくれ。神学院の援助があった手前、最初は協力していたがね、あんたのとこから仕事を請けるのは……まずいんだよ。			暗影に沈むエピローグ							
ともかく、資金がすべてそろうまでは作業中止だ。酷なようだが、わかってくれよ。			ともかく、資金がすべてそろうまでは作業中止だ。酷なようだが、わかってくれよ。			暗影に沈むエピローグ							
あっ……申し訳ありません。見られているとは、つゆも思わず……。			あっ……申し訳ありません。見られているとは、つゆも思わず……。			暗影に沈むエピローグ							
……私は、この聖バルロアイアン像を修復したいのです。ですが、私の家……正確には、私のいとこの悪評が広まり、思うように仕事を請けていただけなくて。			……私は、この聖バルロアイアン像を修復したいのです。ですが、私の家……正確には、私のいとこの悪評が広まり、思うように仕事を請けていただけなくて。			暗影に沈むエピローグ							
私のいとこは、イニアセル・ド・ヴェナン。前教皇をお守りしていた、蒼天騎士のひとりです。			私のいとこは、イニアセル・ド・ヴェナン。前教皇をお守りしていた、蒼天騎士のひとりです。			暗影に沈むエピローグ							
蒼天騎士団については、前教皇の崩御とともに、行方不明になったとされていますが……彼らがよからぬ計画に加担したことは、今や公然の秘密です。			蒼天騎士団については、前教皇の崩御とともに、行方不明になったとされていますが……彼らがよからぬ計画に加担したことは、今や公然の秘密です。			暗影に沈むエピローグ							
この像の修復のために基金を立ち上げたのは、もともと、イニアセルでしたから……。みなさん、関わりたくないのでしょう。			この像の修復のために基金を立ち上げたのは、もともと、イニアセルでしたから……。みなさん、関わりたくないのでしょう。			暗影に沈むエピローグ							
……私にだって、いとこの真意はわかりません。でも、像を直すことで人々に誇りを取り戻してほしいという、彼の願いは本物だったと思うのです。			……私にだって、いとこの真意はわかりません。でも、像を直すことで人々に誇りを取り戻してほしいという、彼の願いは本物だったと思うのです。			暗影に沈むエピローグ							
そう信じて跡をついだのですが、難しいですね……。資金集めも、仕事の依頼までも難航して、心が挫けてしまいそうです……。			そう信じて跡をついだのですが、難しいですね……。資金集めも、仕事の依頼までも難航して、心が挫けてしまいそうです……。			暗影に沈むエピローグ							
ごめんなさい……イニアセル……。			ごめんなさい……イニアセル……。			暗影に沈むエピローグ							
さがすの、てつだってくれて、ありがとう。かなしいひと、いた……？			さがすの、てつだってくれて、ありがとう。かなしいひと、いた……？			暗影に沈むエピローグ							
……そっか、そんなひとがいたんだ、ね。ぼくの「ちから」で、元気をあげられるかな……？そうだったら、うれしいな……。			……そっか、そんなひとがいたんだ、ね。ぼくの「ちから」で、元気をあげられるかな……？そうだったら、うれしいな……。			暗影に沈むエピローグ							
……ぼく、やってみるよ。そのひとのところ、行って、みよう……？			……ぼく、やってみるよ。そのひとのところ、行って、みよう……？			暗影に沈むエピローグ							
このひと、だよね……？			このひと、だよね……？			暗影に沈むエピローグ							
あの……もしや、この子のお知り合いですか？さっきから、じっとこちらを見ているのですが……。			あの……もしや、この子のお知り合いですか？さっきから、じっとこちらを見ているのですが……。			暗影に沈むエピローグ							
あなたは、いとこのひと、また会えたら、元気でる？			あなたは、いとこのひと、また会えたら、元気でる？			暗影に沈むエピローグ							
イニアセルのこと……？ええ、もしも会えたなら、私の中で揺らぎはじめた気持ちを、ふたたび信じなおせる気がするわ。			イニアセルのこと……？ええ、もしも会えたなら、私の中で揺らぎはじめた気持ちを、ふたたび信じなおせる気がするわ。			暗影に沈むエピローグ							
じゃあ、そのひとのこと、強く、強く、思い出して。それで、ひとのすくない静かな場所で、まっていてください。			じゃあ、そのひとのこと、強く、強く、思い出して。それで、ひとのすくない静かな場所で、まっていてください。			暗影に沈むエピローグ							
よく、わからないのだけれど……。もしかして、励ましてくれようとしているのかしら。			よく、わからないのだけれど……。もしかして、励ましてくれようとしているのかしら。			暗影に沈むエピローグ							
だったら、言うとおりにしてみましょう。ひとけが少ない場所ならば、神聖裁判所前の広場はどう？先に行っているわね。			だったら、言うとおりにしてみましょう。ひとけが少ない場所ならば、神聖裁判所前の広場はどう？先に行っているわね。			暗影に沈むエピローグ							
あなたも、一緒に、いてあげて。ぼくは、シドゥルグたちに言ってから、いくね。たぶん、みんなに見てもらったほうが、いいから……。			あなたも、一緒に、いてあげて。ぼくは、シドゥルグたちに言ってから、いくね。たぶん、みんなに見てもらったほうが、いいから……。			暗影に沈むエピローグ							
イニアセルを思い出せ、か……。見知らぬ子どもの遊びに乗ってしまうなんて、私、疲れてるのかもしれませんけど……。			イニアセルを思い出せ、か……。見知らぬ子どもの遊びに乗ってしまうなんて、私、疲れてるのかもしれませんけど……。			暗影に沈むエピローグ							
あっ、あの子が来たみたいですよ。ずいぶんたくさん、人を連れているみたいですけど……。			あっ、あの子が来たみたいですよ。ずいぶんたくさん、人を連れているみたいですけど……。			暗影に沈むエピローグ							
…………嘘でしょう……あれは……！			…………嘘でしょう……あれは……！			暗影に沈むエピローグ							
イニアセル……！あなた、無事だったの……！？			イニアセル……！あなた、無事だったの……！？			暗影に沈むエピローグ							
……ああ、無事だとも。こちらのことよりも、家の者たちは健在か？迷惑をかけて、すまないな……。			……ああ、無事だとも。こちらのことよりも、家の者たちは健在か？迷惑をかけて、すまないな……。			暗影に沈むエピローグ							
そんなこと……！あなたが戻ってきたと知れば、伯父様も伯母様も、涙を流して喜ばれるわ……！			そんなこと……！あなたが戻ってきたと知れば、伯父様も伯母様も、涙を流して喜ばれるわ……！			暗影に沈むエピローグ							
いや、家に戻るつもりはない。イニアセルという男は、教皇猊下とヴェルギーン副長に殉じた。……どうか、そう思ってほしい。			いや、家に戻るつもりはない。イニアセルという男は、教皇猊下とヴェルギーン副長に殉じた。……どうか、そう思ってほしい。			暗影に沈むエピローグ							
ただ、お前が像の修復を継いでくれたと聞いてな。一言だけ、礼が言いたくて参じたのだ。			ただ、お前が像の修復を継いでくれたと聞いてな。一言だけ、礼が言いたくて参じたのだ。			暗影に沈むエピローグ							
……継いだなんて、胸を張って言えはしないわ。今だって、もう無理かもしれないと、挫けかけていたのだから。			……継いだなんて、胸を張って言えはしないわ。今だって、もう無理かもしれないと、挫けかけていたのだから。			暗影に沈むエピローグ							
でも、これからは諦めたりしないと誓いましょう。あなたが罪を犯したのだとしたら、その分も、あなたの志で誰かを救えるように。			でも、これからは諦めたりしないと誓いましょう。あなたが罪を犯したのだとしたら、その分も、あなたの志で誰かを救えるように。			暗影に沈むエピローグ							
だから、どんな形でもいい……今は生きて。そしていつか、美しく再建された像を……その周りで喜ぶ人々の姿を、必ず見にきてください。			だから、どんな形でもいい……今は生きて。そしていつか、美しく再建された像を……その周りで喜ぶ人々の姿を、必ず見にきてください。			暗影に沈むエピローグ							
ああ……ありがとう、ミユィ。父上や母上、一族の皆とともに、どうか強く生きてくれ。			ああ……ありがとう、ミユィ。父上や母上、一族の皆とともに、どうか強く生きてくれ。			暗影に沈むエピローグ							
あなた方は、イニアセルの協力者だったのですね。心から感謝いたします……。どうか、彼を無事に逃がしてやってください。			あなた方は、イニアセルの協力者だったのですね。心から感謝いたします……。どうか、彼を無事に逃がしてやってください。			暗影に沈むエピローグ							
……話は、あとだ。ともかく今は、皇都を離れることを優先するぞ。			……話は、あとだ。ともかく今は、皇都を離れることを優先するぞ。			暗影に沈むエピローグ							
こいつは、変装させて俺たちが連れ出す。お前は別行動で、あとから来てくれ。集合場所は……ひとまず、ファルコンネストにするか。			こいつは、変装させて俺たちが連れ出す。お前は別行動で、あとから来てくれ。集合場所は……ひとまず、ファルコンネストにするか。			暗影に沈むエピローグ							
本当にありがとう……。彼のこと、よろしくお願いします。			本当にありがとう……。彼のこと、よろしくお願いします。			暗影に沈むエピローグ							
Forename、まってた。ここは人目あったから、シドゥルグたち、先いってる。			Forename、まってた。ここは人目あったから、シドゥルグたち、先いってる。			暗影に沈むエピローグ							
あなたも、急いで、いこう？ミユィからずいぶん離れたから、もしかしたら……。			あなたも、急いで、いこう？ミユィからずいぶん離れたから、もしかしたら……。			暗影に沈むエピローグ							
クソ……。とんだ事態に巻き込まれたな。			クソ……。とんだ事態に巻き込まれたな。			暗影に沈むエピローグ							
どうしよう……こんなことって……。			どうしよう……こんなことって……。			暗影に沈むエピローグ							
黒い靄が、渦巻いている……。			黒い靄が、渦巻いている……。			暗影に沈むエピローグ							
ごめん……。やっぱり、ほどけちゃった……。			ごめん……。やっぱり、ほどけちゃった……。			暗影に沈むエピローグ							
Forename……あのね……あの靄(もや)が、イニアセル、だったもの、だよ。			Forename……あのね……あの靄(もや)が、イニアセル、だったもの、だよ。			暗影に沈むエピローグ							
ぼくの「ちから」は、だれかの想いの中にいるひとを、実体化させるの。想いがとどかなくなると、ただのエーテルにもどる、けど……。			ぼくの「ちから」は、だれかの想いの中にいるひとを、実体化させるの。想いがとどかなくなると、ただのエーテルにもどる、けど……。			暗影に沈むエピローグ							
さっきは、あなたのクリスタルから借りたエーテルで、イニアセルつくった。ミユィ、すこし元気になって……よかった……！			さっきは、あなたのクリスタルから借りたエーテルで、イニアセルつくった。ミユィ、すこし元気になって……よかった……！			暗影に沈むエピローグ							
さあ、あの靄を、「ソウルイーター」で喰らって、ください。そしたら、あなたのもとに、エーテルがもどるから……。			さあ、あの靄を、「ソウルイーター」で喰らって、ください。そしたら、あなたのもとに、エーテルがもどるから……。			暗影に沈むエピローグ							
あの靄を「ソウルイーター」で喰らって、ください。そしたら、あなたのもとに、エーテルがもどるから……。			あの靄を「ソウルイーター」で喰らって、ください。そしたら、あなたのもとに、エーテルがもどるから……。			暗影に沈むエピローグ							
回収できたようだな。まったく……想いの中の人物を実体化させるなんぞ、滅茶苦茶がすぎる！			回収できたようだな。まったく……想いの中の人物を実体化させるなんぞ、滅茶苦茶がすぎる！			暗影に沈むエピローグ							
俺たちを呼びに来たこいつが、一瞬集中したと思ったら、次の瞬間には、あの蒼天騎士が立っていたわけだ。面食らうどころの話じゃなかったぞ。			俺たちを呼びに来たこいつが、一瞬集中したと思ったら、次の瞬間には、あの蒼天騎士が立っていたわけだ。面食らうどころの話じゃなかったぞ。			暗影に沈むエピローグ							
……で、どうなんだ。肝心のソウルクリスタルの状態は？			……で、どうなんだ。肝心のソウルクリスタルの状態は？			暗影に沈むエピローグ							
戻っていない……？			戻っていない……？			暗影に沈むエピローグ							
おい、これはどういうことだ！付き合ったらエーテルを返すと、そう約束しただろう……！			おい、これはどういうことだ！付き合ったらエーテルを返すと、そう約束しただろう……！			暗影に沈むエピローグ							
ご、ごめんなさい……。イニアセルつくってたぶん、ちゃんと返した。かえした、けど……。			ご、ごめんなさい……。イニアセルつくってたぶん、ちゃんと返した。かえした、けど……。			暗影に沈むエピローグ							
借りたエーテルで、あと4回、「ちから」がつかえそうなの。今みたいに、さいごは、ちゃんと返します。だから、ぼくに、人助けをさせて……！			借りたエーテルで、あと4回、「ちから」がつかえそうなの。今みたいに、さいごは、ちゃんと返します。だから、ぼくに、人助けをさせて……！			暗影に沈むエピローグ							
フン……。助ける相手も自分で探せないくせに、他人の力を借りて人助けとは、いいご身分だ。			フン……。助ける相手も自分で探せないくせに、他人の力を借りて人助けとは、いいご身分だ。			暗影に沈むエピローグ							
Forenameの暗黒騎士としての力は、今のところ保持されているようだが……先の保証はできん。覚悟のない我儘を通す気なら、力づくで戻させるぞ。			Forenameの暗黒騎士としての力は、今のところ保持されているようだが……先の保証はできん。覚悟のない我儘を通す気なら、力づくで戻させるぞ。			暗影に沈むエピローグ							
ごめん……ごめんね……。だけど、覚悟、ないわけじゃないの……。			ごめん……ごめんね……。だけど、覚悟、ないわけじゃないの……。			暗影に沈むエピローグ							
大切なひとをなくすこと、恐れてるひとがいた……。なくしてしまって、かなしんでるひとがいた……。			大切なひとをなくすこと、恐れてるひとがいた……。なくしてしまって、かなしんでるひとがいた……。			暗影に沈むエピローグ							
彼らの願いが、ぼくのすべて。そういうひとを助けて、幸せにするのが、ぼくの役目。だから……やらなきゃ…………。			彼らの願いが、ぼくのすべて。そういうひとを助けて、幸せにするのが、ぼくの役目。だから……やらなきゃ…………。			暗影に沈むエピローグ							
……Forename、お前が決めろ。奪われたのは、お前の力だからな。			……Forename、お前が決めろ。奪われたのは、お前の力だからな。			暗影に沈むエピローグ							
ミストに何と言う？			ミストに何と言う？			暗影に沈むエピローグ							
暗黒騎士として、その救済に手を貸そう			暗黒騎士として、その救済に手を貸そう			暗影に沈むエピローグ							
……エーテルを持ち逃げされたら困る			……エーテルを持ち逃げされたら困る			暗影に沈むエピローグ							
Forename……！とっても、うれしい……ありがと……！			Forename……！とっても、うれしい……ありがと……！			暗影に沈むエピローグ							
Forename……？それは、一緒にいてくれる、ということ……？			Forename……？それは、一緒にいてくれる、ということ……？			暗影に沈むエピローグ							
大丈夫だよ、ミスト。シドゥルグも、別に怒ってるわけじゃないから……ちゃんと手を貸してくれると思う。			大丈夫だよ、ミスト。シドゥルグも、別に怒ってるわけじゃないから……ちゃんと手を貸してくれると思う。			暗影に沈むエピローグ							
お前、何を勝手なッ！俺はそんな……そんなつもりは…………クソッ！			お前、何を勝手なッ！俺はそんな……そんなつもりは…………クソッ！			暗影に沈むエピローグ							
とにかく、こんな雪原に突っ立ってられん。ファルコンネストまで戻るぞ……！			とにかく、こんな雪原に突っ立ってられん。ファルコンネストまで戻るぞ……！			暗影に沈むエピローグ							
ぼくにも、元気にできるだれかが、いた……。それは、とっても、とっても、うれしいこと。機会くれてありがとう、Forename……！			ぼくにも、元気にできるだれかが、いた……。それは、とっても、とっても、うれしいこと。機会くれてありがとう、Forename……！			暗影に沈むエピローグ							
シドゥルグは、人がいると、私をすぐ「ガキ」っていうの。それが嫌で、一度「シドゥルグおじさん」って返したら、すっごく……すっごーく怒られた……。			シドゥルグは、人がいると、私をすぐ「ガキ」っていうの。それが嫌で、一度「シドゥルグおじさん」って返したら、すっごく……すっごーく怒られた……。			暗影に沈むエピローグ							
まったく、なぜまた意味のわからないガキが増える……！子守りをするために暗黒騎士をやってるんじゃないんだぞ……！			まったく、なぜまた意味のわからないガキが増える……！子守りをするために暗黒騎士をやってるんじゃないんだぞ……！			暗影に沈むエピローグ							
……だが、どこぞの英雄のおかげで、多くが救われたご時世だ。まだミストの言うような悲しみを抱えてる奴がいるならば、今回も然り、俺たちのほかに救い手のない者だろう。			……だが、どこぞの英雄のおかげで、多くが救われたご時世だ。まだミストの言うような悲しみを抱えてる奴がいるならば、今回も然り、俺たちのほかに救い手のない者だろう。			暗影に沈むエピローグ							
勘違いするな、英雄を……お前を責めているんじゃない。どんな想いがあってかは知らんが、俺の前に立つお前は、一介の暗黒騎士なんだろう？			勘違いするな、英雄を……お前を責めているんじゃない。どんな想いがあってかは知らんが、俺の前に立つお前は、一介の暗黒騎士なんだろう？			暗影に沈むエピローグ							
お前がこいつに手を貸すと決めたなら、それを貫けばいい。エーテルを取り戻すためにも、あと4回の人助けが必要なら、俺も……いつぞやの恩に報いるため、協力しよう。			お前がこいつに手を貸すと決めたなら、それを貫けばいい。エーテルを取り戻すためにも、あと4回の人助けが必要なら、俺も……いつぞやの恩に報いるため、協力しよう。			暗影に沈むエピローグ							
とりあえず、次にどうするかをミストに決めさせんとな。ガキ同士、リエルに話し相手をさせてみるか。……お前も、改めてここに来てくれ。			とりあえず、次にどうするかをミストに決めさせんとな。ガキ同士、リエルに話し相手をさせてみるか。……お前も、改めてここに来てくれ。			暗影に沈むエピローグ							
「暗黒騎士」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、ファルコンネストのシドゥルグから受注可能です。			「暗黒騎士」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、ファルコンネストのシドゥルグから受注可能です。			暗影に沈むエピローグ							
