フォルタン家の執事は、ぼんやりとしている。			フォルタン家の執事は、ぼんやりとしている。			追憶行							
忘れられた騎士亭のジブリオンと話す			忘れられた騎士亭のジブリオンと話す			追憶行							
ローズハウスのラニエットと話す			ローズハウスのラニエットと話す			追憶行							
ファルコンネストのレッドワルドと話す			ファルコンネストのレッドワルドと話す			追憶行							
神聖裁判所の指定地点で思いを馳せる			神聖裁判所の指定地点で思いを馳せる			追憶行							
グランド・ホプロンの指定地点で思いを馳せる			グランド・ホプロンの指定地点で思いを馳せる			追憶行							
リムサ・ロミンサのザントヘール甲軍曹と話す			リムサ・ロミンサのザントヘール甲軍曹と話す			追憶行							
レヴナンツトールのヒギリと会話			レヴナンツトールのヒギリと会話			追憶行							
……はっ！こ、これは失礼を……物思いにふけっておりましたもので。皆様を聖徒門にて出迎えた日のことを、思い出していたのですよ。			……はっ！こ、これは失礼を……物思いにふけっておりましたもので。皆様を聖徒門にて出迎えた日のことを、思い出していたのですよ。			追憶行							
あれは寒風吹きすさぶ、寒い日でありましたね……。屋敷にお連れした後、皆様に皇都を案内したことは、今では私の誇りとなっております。			あれは寒風吹きすさぶ、寒い日でありましたね……。屋敷にお連れした後、皆様に皇都を案内したことは、今では私の誇りとなっております。			追憶行							
「過去は未来への道標」だと申します。私は一介の執事に過ぎませんが、歴史に立ち会った者として、正しき事実を、次の世代に語り継いでいこうと思うのですよ。			「過去は未来への道標」だと申します。私は一介の執事に過ぎませんが、歴史に立ち会った者として、正しき事実を、次の世代に語り継いでいこうと思うのですよ。			追憶行							
……Surname様も、ときには過去を振り返ってみてはいかがですか？おっと、これは出過ぎた物言いですね……失礼いたしました。			……Surname様も、ときには過去を振り返ってみてはいかがですか？おっと、これは出過ぎた物言いですね……失礼いたしました。			追憶行							
フォルタン家の執事との語らいで、かつての冒険を思い出した。追憶の旅に出てみるのも良いかもしれない……。宝杖通りの「エレイズ」を訪ねてみよう。			フォルタン家の執事との語らいで、かつての冒険を思い出した。追憶の旅に出てみるのも良いかもしれない……。宝杖通りの「エレイズ」を訪ねてみよう。			追憶行							
私は一介の執事に過ぎませんが、歴史の節目に立ち会った者の責務として、正しき事実を、次の世代に語り継いでいこうと思います。			私は一介の執事に過ぎませんが、歴史の節目に立ち会った者の責務として、正しき事実を、次の世代に語り継いでいこうと思います。			追憶行							
あら、いらっしゃいませ。宝杖通りを訪ねてくださって、嬉しいですわ。どういったご用件でしょう？			あら、いらっしゃいませ。宝杖通りを訪ねてくださって、嬉しいですわ。どういったご用件でしょう？			追憶行							
……なるほど、過去の記憶を辿る旅ですか。確かに、今こそ私たちは、過ぎ去った日々のことを、振り返るべきときなのかもしれませんわね……。			……なるほど、過去の記憶を辿る旅ですか。確かに、今こそ私たちは、過ぎ去った日々のことを、振り返るべきときなのかもしれませんわね……。			追憶行							
皇都にいらしたばかりの皆様が挨拶に来られたとき、正直なところ、いずれ去る旅人に過ぎないと思っていましたの。それが、こんな変革をもたらしてくださるとは……驚いていますわ。			皇都にいらしたばかりの皆様が挨拶に来られたとき、正直なところ、いずれ去る旅人に過ぎないと思っていましたの。それが、こんな変革をもたらしてくださるとは……驚いていますわ。			追憶行							
エレイズとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次は忘れられた騎士亭の「ジブリオン」を訪ねてみよう。			エレイズとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次は忘れられた騎士亭の「ジブリオン」を訪ねてみよう。			追憶行							
政治が変われば、経済も変わる……。上手く対応できれば、変革は大きなチャンスとなるでしょう。			政治が変われば、経済も変わる……。上手く対応できれば、変革は大きなチャンスとなるでしょう。			追憶行							
よう、姉さん兄さん、一杯ひっかけに来たのかい？			よう、姉さん兄さん、一杯ひっかけに来たのかい？			追憶行							
ほう、過去を振り返る旅ね……。姉さん兄さんも、なかなか粋なことをするもんだ。確かにいろいろあったものなぁ……。			ほう、過去を振り返る旅ね……。姉さん兄さんも、なかなか粋なことをするもんだ。確かにいろいろあったものなぁ……。			追憶行							
俺がいちばん驚いたのは、タタルの嬢ちゃんが、いつの間にかウチの看板娘になってたってことだがな！			俺がいちばん驚いたのは、タタルの嬢ちゃんが、いつの間にかウチの看板娘になってたってことだがな！			追憶行							
妙な歌を歌ったり、派手な踊りを舞ったりと客を楽しませてな。なかでも人気だったのが、吟遊詩人顔負けの語り口で披露する、お前さんの冒険を題材にした物語さ。			妙な歌を歌ったり、派手な踊りを舞ったりと客を楽しませてな。なかでも人気だったのが、吟遊詩人顔負けの語り口で披露する、お前さんの冒険を題材にした物語さ。			追憶行							
そんな嬢ちゃんの語りを聞いていて、思ったんだ。この「忘れられた騎士亭」を始めた初代のマスターは、建国十二騎士のひとりだったんじゃないかってな……。			そんな嬢ちゃんの語りを聞いていて、思ったんだ。この「忘れられた騎士亭」を始めた初代のマスターは、建国十二騎士のひとりだったんじゃないかってな……。			追憶行							
建国神話じゃ、四大名家の先祖以外の騎士たちは、すべてニーズヘッグとの戦いで死んじまったとされている。だが、姉さん兄さんが突き止めた「真実」では違うそうだな？			建国神話じゃ、四大名家の先祖以外の騎士たちは、すべてニーズヘッグとの戦いで死んじまったとされている。だが、姉さん兄さんが突き止めた「真実」では違うそうだな？			追憶行							
……実はな、この酒場には歴代のマスターたちの手に、受け継がれてきた一振りの剣があるんだ。			……実はな、この酒場には歴代のマスターたちの手に、受け継がれてきた一振りの剣があるんだ。			追憶行							
薄汚れたボロボロの剣なんだが、その柄にはこう刻まれている。「これから忘れられる騎士たちのために捧ぐ」ってな……。			薄汚れたボロボロの剣なんだが、その柄にはこう刻まれている。「これから忘れられる騎士たちのために捧ぐ」ってな……。			追憶行							
爵位を捨て、野に下った十二騎士の生き残りたちが、歴史から消えるだろう自分たちを想って、剣に痕跡を刻んだ……。何だか、そう思えて仕方ないのさ。			爵位を捨て、野に下った十二騎士の生き残りたちが、歴史から消えるだろう自分たちを想って、剣に痕跡を刻んだ……。何だか、そう思えて仕方ないのさ。			追憶行							
……ま、俺の想像に過ぎないんだが、ともかく今日は「忘れられた騎士たち」に乾杯しようじゃないか。イシュガルドは、失われた記憶を思い出したんだからな！			……ま、俺の想像に過ぎないんだが、ともかく今日は「忘れられた騎士たち」に乾杯しようじゃないか。イシュガルドは、失われた記憶を思い出したんだからな！			追憶行							
ジブリオンとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はアバラシア雲海のローズハウスにいる「ラニエット」を訪ねてみよう。			ジブリオンとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はアバラシア雲海のローズハウスにいる「ラニエット」を訪ねてみよう。			追憶行							
おぉ、Surname殿、歓迎するぞ！アイメリク卿の議長就任式にも顔を出せなかったもので、礼どころか挨拶もできず、心苦しく思っていたのだ。			おぉ、Surname殿、歓迎するぞ！アイメリク卿の議長就任式にも顔を出せなかったもので、礼どころか挨拶もできず、心苦しく思っていたのだ。			追憶行							
我らがイシュガルドのため、命がけで邪竜と戦ってくれたこと……騎士のひとりとして感謝している。ありがとう……。			我らがイシュガルドのため、命がけで邪竜と戦ってくれたこと……騎士のひとりとして感謝している。ありがとう……。			追憶行							
貴公の働きにより、ドラゴン族との戦いも収束に向かうだろう。ここクラウドトップの役割も、蛮神の召喚に手を染めた、バヌバヌ族の監視が主任務になるやもしれん。			貴公の働きにより、ドラゴン族との戦いも収束に向かうだろう。ここクラウドトップの役割も、蛮神の召喚に手を染めた、バヌバヌ族の監視が主任務になるやもしれん。			追憶行							
おっ……誰かと思えばマブダチじゃねぇか！聞いてくれよ、オレ様の活躍をよ！			おっ……誰かと思えばマブダチじゃねぇか！聞いてくれよ、オレ様の活躍をよ！			追憶行							
えーっと、何やってたんだっけ……オノロワ？			えーっと、何やってたんだっけ……オノロワ？			追憶行							
ほ、報告しますです、はい。バヌバヌ族の主流派部族「ブンド」の集落周辺にて、採集活動を監視し、毎時のクリスタル採掘量の概算を出しました。			ほ、報告しますです、はい。バヌバヌ族の主流派部族「ブンド」の集落周辺にて、採集活動を監視し、毎時のクリスタル採掘量の概算を出しました。			追憶行							
彼らが蛮神召喚に要するクリスタルを得るまでの予測日数と、私見に過ぎませんが、対策案とそのリスクもまとめておきました。詳しくは、こちらの報告書でご確認ください、はい。			彼らが蛮神召喚に要するクリスタルを得るまでの予測日数と、私見に過ぎませんが、対策案とそのリスクもまとめておきました。詳しくは、こちらの報告書でご確認ください、はい。			追憶行							
すばらしい！今後の作戦立案の下地として、活用させてもらうぞ。しかし惜しいな……これほどの逸材をバカの下に置いておくのは。			すばらしい！今後の作戦立案の下地として、活用させてもらうぞ。しかし惜しいな……これほどの逸材をバカの下に置いておくのは。			追憶行							
オノロワ、よければ私の薔薇騎兵団に入らないか？まずは見習いとなるが、騎士への道も開けるぞ？			オノロワ、よければ私の薔薇騎兵団に入らないか？まずは見習いとなるが、騎士への道も開けるぞ？			追憶行							
ラニエット様、お心遣いありがとうございます。お誘いは大変に嬉しいのですが、今の僕には、放っておけない人がいますので……。			ラニエット様、お心遣いありがとうございます。お誘いは大変に嬉しいのですが、今の僕には、放っておけない人がいますので……。			追憶行							
フッ……律儀なことだ。だが、君の才能と人柄であれば、たとえどこにいようと、自ずとチャンスを掴めるだろう。			フッ……律儀なことだ。だが、君の才能と人柄であれば、たとえどこにいようと、自ずとチャンスを掴めるだろう。			追憶行							
あ～……そうか、そういうことか！オノロワ、放っておけない人ってアイツのことだな？最近、ウチの屋敷に入った女中のソレットだろ？　可愛いもんな！			あ～……そうか、そういうことか！オノロワ、放っておけない人ってアイツのことだな？最近、ウチの屋敷に入った女中のソレットだろ？　可愛いもんな！			追憶行							
ったく、オノロワも隅に置けねぇな、オイ！オレ様に任せておけよ、出会いのチャンスを作ってやるぜ！			ったく、オノロワも隅に置けねぇな、オイ！オレ様に任せておけよ、出会いのチャンスを作ってやるぜ！			追憶行							
……やれやれ、オノロワの苦労を想うと頭が痛いな……。ともかく、今回の任務はここまでとする。皇都に戻り、ゆっくり休んでくれ。			……やれやれ、オノロワの苦労を想うと頭が痛いな……。ともかく、今回の任務はここまでとする。皇都に戻り、ゆっくり休んでくれ。			追憶行							
は、はい、ありがとうございます。それではラニエット様、Surname様、失礼いたします、はい。			は、はい、ありがとうございます。それではラニエット様、Surname様、失礼いたします、はい。			追憶行							
あっ、コラ、待てって！恥ずかしがるなよ、オノロワ～！オレ様の経験を活かして、アドバイスしてやるからよ～！			あっ、コラ、待てって！恥ずかしがるなよ、オノロワ～！オレ様の経験を活かして、アドバイスしてやるからよ～！			追憶行							
ラニエットたちとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はクルザス西部高地のファルコンネストにいる「レッドワルド」を訪ねてみよう。			ラニエットたちとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はクルザス西部高地のファルコンネストにいる「レッドワルド」を訪ねてみよう。			追憶行							
アルトアレール卿の申し出で、フォルタン家から協力を受けていてな。あの二人も、その一環で任務に就いていたのだよ。			アルトアレール卿の申し出で、フォルタン家から協力を受けていてな。あの二人も、その一環で任務に就いていたのだよ。			追憶行							
おぉ、冒険者殿ではないか！先のファルコンネストでの式典では世話になったな。そして何より、邪竜狩りの偉業にも、感謝せねばなるまい！			おぉ、冒険者殿ではないか！先のファルコンネストでの式典では世話になったな。そして何より、邪竜狩りの偉業にも、感謝せねばなるまい！			追憶行							
雲廊での決戦を境に、ここファルコンネストの雰囲気も変わった。皇都から、わざわざ融和の彫像を見るために、訪れる者も増えてきてな……。			雲廊での決戦を境に、ここファルコンネストの雰囲気も変わった。皇都から、わざわざ融和の彫像を見るために、訪れる者も増えてきてな……。			追憶行							
あの彫像を前に、祈りを捧げる者もいれば、涙を流す者もいる。その胸中はさまざまであろうが、変化を感じずにはいられんよ。			あの彫像を前に、祈りを捧げる者もいれば、涙を流す者もいる。その胸中はさまざまであろうが、変化を感じずにはいられんよ。			追憶行							
レッドワルド卿、支援物資の目録は、文官に渡しておいたぞ。			レッドワルド卿、支援物資の目録は、文官に渡しておいたぞ。			追憶行							
むっ……Forename殿ではないか？妙なところで会うものだな。			むっ……Forename殿ではないか？妙なところで会うものだな。			追憶行							
なるほど、過去を振り返る旅か……。こうしてファルコンネストにて、この顔ぶれで話していると、消えた哨戒部隊の捜索に出たときのことを思い出すな。			なるほど、過去を振り返る旅か……。こうしてファルコンネストにて、この顔ぶれで話していると、消えた哨戒部隊の捜索に出たときのことを思い出すな。			追憶行							
おぉ、そういえばあのとき、貴公らが助けてくれた騎兵だが、つい先日、彼の家に赤子が生まれたそうでな……。父なし子にせずに済んだと、涙ながらに喜んでおったぞ。			おぉ、そういえばあのとき、貴公らが助けてくれた騎兵だが、つい先日、彼の家に赤子が生まれたそうでな……。父なし子にせずに済んだと、涙ながらに喜んでおったぞ。			追憶行							
それはめでたい！フォルタン家からも、何か祝いの品を送ってやらねばな。			それはめでたい！フォルタン家からも、何か祝いの品を送ってやらねばな。			追憶行							
しかし、アルトアレール卿も変わられましたな。いや、今やフォルタン伯爵閣下とお呼びすべきか……。我らデュランデル家配下の者に、これほど良くしてくださるとは。			しかし、アルトアレール卿も変わられましたな。いや、今やフォルタン伯爵閣下とお呼びすべきか……。我らデュランデル家配下の者に、これほど良くしてくださるとは。			追憶行							
よしてくれ、レッドワルド卿。伯爵位を継いだといっても、まだまだ若輩者なのだ。これまで通りに、同志として接してもらいたい。			よしてくれ、レッドワルド卿。伯爵位を継いだといっても、まだまだ若輩者なのだ。これまで通りに、同志として接してもらいたい。			追憶行							
いや、これまで通りではいかんな……。犬猿の仲と呼ばれてきたフォルタン家とデュランデル家、この両者を結びつける協力関係の構築に、力を貸してほしい。			いや、これまで通りではいかんな……。犬猿の仲と呼ばれてきたフォルタン家とデュランデル家、この両者を結びつける協力関係の構築に、力を貸してほしい。			追憶行							
生まれや「血」は、自ら選んだ物でもなければ、ましてや勝ち取ったものでもない。			生まれや「血」は、自ら選んだ物でもなければ、ましてや勝ち取ったものでもない。			追憶行							
そのような「血」にこだわって、縛られたままでは、真に価値あるものを見極めることなどできないのだから……。それでは、まだ公務が残っているゆえ、先に失礼させてもらうぞ。			そのような「血」にこだわって、縛られたままでは、真に価値あるものを見極めることなどできないのだから……。それでは、まだ公務が残っているゆえ、先に失礼させてもらうぞ。			追憶行							
いやはや、別人のような変わりぶりだ。冒険者殿もそう思うだろう？			いやはや、別人のような変わりぶりだ。冒険者殿もそう思うだろう？			追憶行							
レッドワルドたちとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はイシュガルド上層の神聖裁判所を訪れてみよう。			レッドワルドたちとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はイシュガルド上層の神聖裁判所を訪れてみよう。			追憶行							
アルトアレール卿が伯爵位を継いだことで、フォルタン家も安泰だろう。			アルトアレール卿が伯爵位を継いだことで、フォルタン家も安泰だろう。			追憶行							
アルフィノとタタルを救うため、決闘裁判で蒼天騎士たちと戦ったことを思い出した。さらに記憶を辿るために、グランド・ホプロンを訪れてみよう。			アルフィノとタタルを救うため、決闘裁判で蒼天騎士たちと戦ったことを思い出した。さらに記憶を辿るために、グランド・ホプロンを訪れてみよう。			追憶行							
ふぅ……おっと、すみません。考え事をしていたものですから……。			ふぅ……おっと、すみません。考え事をしていたものですから……。			追憶行							
あの……もしや貴方はForename様では？あぁ、良かった。人違いではなさそうですね。			あの……もしや貴方はForename様では？あぁ、良かった。人違いではなさそうですね。			追憶行							
私のことなど、お忘れでしょうね……。教皇猊下との謁見の折、貴方を案内した者ですよ。			私のことなど、お忘れでしょうね……。教皇猊下との謁見の折、貴方を案内した者ですよ。			追憶行							
何やら過去を偲ぶように、考え事をされていたようですが……。実は私も、時折こうしてグランド・ホプロンに来ては、過ぎ去った日々を思い出すことがあるのです。			何やら過去を偲ぶように、考え事をされていたようですが……。実は私も、時折こうしてグランド・ホプロンに来ては、過ぎ去った日々を思い出すことがあるのです。			追憶行							
貴方と蒼の竜騎士が持ち帰ってきた「真実」は、イシュガルド正教の根底を覆し、何もかも変えてしまいました。……あっ、いえ……決して非難しているわけではないのです。			貴方と蒼の竜騎士が持ち帰ってきた「真実」は、イシュガルド正教の根底を覆し、何もかも変えてしまいました。……あっ、いえ……決して非難しているわけではないのです。			追憶行							
トールダン7世猊下を排したことを責めるのは、筋違いでしょう。猊下が蛮神の力によって変革を成そうとしたことは、やはり許されることではありませんから……。			トールダン7世猊下を排したことを責めるのは、筋違いでしょう。猊下が蛮神の力によって変革を成そうとしたことは、やはり許されることではありませんから……。			追憶行							
……ははっ……取り繕ってもだめですね。頭では理解できていても、感情が追いつかない……。私はトールダン7世猊下を、聖職者として崇敬していたのです。			……ははっ……取り繕ってもだめですね。頭では理解できていても、感情が追いつかない……。私はトールダン7世猊下を、聖職者として崇敬していたのです。			追憶行							
だから、まだ猊下を倒したことには礼ができません。ただ……イシュガルドの民を想い、命を賭してくれたことには、感謝していますよ……ありがとうございました。			だから、まだ猊下を倒したことには礼ができません。ただ……イシュガルドの民を想い、命を賭してくれたことには、感謝していますよ……ありがとうございました。			追憶行							
教皇庁の司祭との語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はリムサ・ロミンサ下甲板層のブルワークホールにいる「ザントヘール甲軍曹」を訪れてみよう。			教皇庁の司祭との語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はリムサ・ロミンサ下甲板層のブルワークホールにいる「ザントヘール甲軍曹」を訪れてみよう。			追憶行							
おぉ、Forenameではないか！今日は、いったいどうしたのだ？			おぉ、Forenameではないか！今日は、いったいどうしたのだ？			追憶行							
何と、過去を振り返るために旅を？ならば、メルウィブ提督に取り次がせてもらおう！君を追い返したとなれば、提督に叱られてしまうからな！			何と、過去を振り返るために旅を？ならば、メルウィブ提督に取り次がせてもらおう！君を追い返したとなれば、提督に叱られてしまうからな！			追憶行							
久しいな、冒険者……よくぞ立ち寄ってくれた。このところ軍議と政策会議の連続で、多忙な日々を送っていてな。よければ君の冒険の旅の話でも、聞かせてくれないか？			久しいな、冒険者……よくぞ立ち寄ってくれた。このところ軍議と政策会議の連続で、多忙な日々を送っていてな。よければ君の冒険の旅の話でも、聞かせてくれないか？			追憶行							
……そうか、ようやくイシュガルドも落ち着きそうだな。改革とは、未知の海域を進む冒険航海のようなもの……。思わぬところに暗礁が潜み、時に嵐に見舞われることもあろう。			……そうか、ようやくイシュガルドも落ち着きそうだな。改革とは、未知の海域を進む冒険航海のようなもの……。思わぬところに暗礁が潜み、時に嵐に見舞われることもあろう。			追憶行							
だが、アイメリク卿のような御仁が舵を取れば、必ずや難局を乗り越え、新たな航路を見つけられるはずだ。			だが、アイメリク卿のような御仁が舵を取れば、必ずや難局を乗り越え、新たな航路を見つけられるはずだ。			追憶行							
……そうとなれば、私も奮起せねばなるまいな。君たちの尽力で、ようやく実現したイシュガルドの同盟復帰。その連帯を確かなものとするため、あらゆる手を尽くす！			……そうとなれば、私も奮起せねばなるまいな。君たちの尽力で、ようやく実現したイシュガルドの同盟復帰。その連帯を確かなものとするため、あらゆる手を尽くす！			追憶行							
二度と同じあやまちを繰り返すことがないよう、ドマの忍たちとも連携し、動乱の芽を摘んでいくつもりだ。ありがとう、冒険者……アルフィノ殿にもよろしく伝えてくれ。			二度と同じあやまちを繰り返すことがないよう、ドマの忍たちとも連携し、動乱の芽を摘んでいくつもりだ。ありがとう、冒険者……アルフィノ殿にもよろしく伝えてくれ。			追憶行							
メルウィブとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はモードゥナのレヴナンツトールにいる「ヒギリ」を訪ねよう。			メルウィブとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はモードゥナのレヴナンツトールにいる「ヒギリ」を訪ねよう。			追憶行							
二度と同じあやまちを繰り返すことがないよう、ドマの忍たちとも連携し、動乱の芽を摘んでいくつもりだ。ありがとう、冒険者……アルフィノ殿にもよろしく伝えてくれ。			二度と同じあやまちを繰り返すことがないよう、ドマの忍たちとも連携し、動乱の芽を摘んでいくつもりだ。ありがとう、冒険者……アルフィノ殿にもよろしく伝えてくれ。			追憶行							
あら、Forenameさん、今日も何かの任務なのですか？			あら、Forenameさん、今日も何かの任務なのですか？			追憶行							
過去を振り返るために、足跡を巡る旅を？それは素晴らしい試みですね。			過去を振り返るために、足跡を巡る旅を？それは素晴らしい試みですね。			追憶行							
私も時折、思い出すのですよ？ウルダハでの陰謀を知って、動揺する仲間とともに、「暁」の再起を信じ、これを支援するのだと決めた日のことを。			私も時折、思い出すのですよ？ウルダハでの陰謀を知って、動揺する仲間とともに、「暁」の再起を信じ、これを支援するのだと決めた日のことを。			追憶行							
そして、あなたとの再会……どんなに嬉しかったことか……。ラウバーン様の救出作戦の折には、久しぶりに忍装束に着替え、未熟な腕ながら、戦いに参加したりもしましたね。			そして、あなたとの再会……どんなに嬉しかったことか……。ラウバーン様の救出作戦の折には、久しぶりに忍装束に着替え、未熟な腕ながら、戦いに参加したりもしましたね。			追憶行							
いろいろなことがありましたが、すべてが元通りと言えないまでも、事態は改善しました。何事も諦めてはならない……そう教えられた気がしますよ。			いろいろなことがありましたが、すべてが元通りと言えないまでも、事態は改善しました。何事も諦めてはならない……そう教えられた気がしますよ。			追憶行							
レヴナンツトールのヒギリは、冒険者に頼みたいことがあるようだ。			レヴナンツトールのヒギリは、冒険者に頼みたいことがあるようだ。			雪踏みしめて							
ヒギリから、追憶の旅のついでに、ラウバーンに東方軟膏を届けるように頼まれた。スウィフト大闘佐に声をかければ、取り次いでもらえるようだ。ウルダハの不滅隊：作戦本部にいるスウィフト大闘佐に「東方軟膏」を渡そう。			ヒギリから、追憶の旅のついでに、ラウバーンに東方軟膏を届けるように頼まれた。スウィフト大闘佐に声をかければ、取り次いでもらえるようだ。ウルダハの不滅隊：作戦本部にいるスウィフト大闘佐に「東方軟膏」を渡そう。			雪踏みしめて							
スウィフト大闘佐に東方軟膏を渡して、ラウバーンに取り次いでもらった。彼は、イルベルドの裏切りについて、自分にも非があると考えているようで、ウルダハとアラミゴ両方の民のため、全力を尽くすと誓うのだった。次は、クルザス西部高地のゴルガニュ牧場にいる「デュランデル家の騎兵」と話そう。			スウィフト大闘佐に東方軟膏を渡して、ラウバーンに取り次いでもらった。彼は、イルベルドの裏切りについて、自分にも非があると考えているようで、ウルダハとアラミゴ両方の民のため、全力を尽くすと誓うのだった。次は、クルザス西部高地のゴルガニュ牧場にいる「デュランデル家の騎兵」と話そう。			雪踏みしめて							
デュランデル家の騎兵と話した。ちょうど、氷の巫女に従っていた者たちが投降してきたところだという。ゴルガニュ牧場の地下にいる「投降してきた異端者」と話そう。			デュランデル家の騎兵と話した。ちょうど、氷の巫女に従っていた者たちが投降してきたところだという。ゴルガニュ牧場の地下にいる「投降してきた異端者」と話そう。			雪踏みしめて							
投降してきた異端者と話した。彼は、氷神シヴァの力で魂を捻じ曲げられていたというが、罪は償うつもりのようだ。冒険者に、氷の巫女の「仲間」になってくれたことの感謝を告げて、異端者は連行されていった。次は、クルザス西部高地の聖フィネア連隊の露営地にいる「ジャントゥロー」と話そう。			投降してきた異端者と話した。彼は、氷神シヴァの力で魂を捻じ曲げられていたというが、罪は償うつもりのようだ。冒険者に、氷の巫女の「仲間」になってくれたことの感謝を告げて、異端者は連行されていった。次は、クルザス西部高地の聖フィネア連隊の露営地にいる「ジャントゥロー」と話そう。			雪踏みしめて							
