ミーン工芸館のフリスリックは、協力者を探しているようだ。			ミーン工芸館のフリスリックは、協力者を探しているようだ。			孤独な漁師							
い、いいえ、前からお願いしているとおり……もっといろんな地域の、たくさんの種類の魚を獲りたいので、協力してほしいと、お願いしにきただけで……。			い、いいえ、前からお願いしているとおり……もっといろんな地域の、たくさんの種類の魚を獲りたいので、協力してほしいと、お願いしにきただけで……。			孤独な漁師							
やっぱり文句をつけにきたんじゃねぇか。新しい漁師まで引き込んで……。			やっぱり文句をつけにきたんじゃねぇか。新しい漁師まで引き込んで……。			孤独な漁師							
おいお前、新人だかなんだか知らねえが……その頭でっかちに、あんまり肩入れするんじゃねえぞ。俺たちは、そいつのことを代表だとは認めてねぇからな。			おいお前、新人だかなんだか知らねえが……その頭でっかちに、あんまり肩入れするんじゃねえぞ。俺たちは、そいつのことを代表だとは認めてねぇからな。			孤独な漁師							
まったく、運で代表になっただけなら、お飾りの上役として、まだ許せたものを……科長の権限を使って、突拍子もない改革まで始めやがって。			まったく、運で代表になっただけなら、お飾りの上役として、まだ許せたものを……科長の権限を使って、突拍子もない改革まで始めやがって。			孤独な漁師							
たくさんの種類の魚がほしいだぁ？そのために、いまより危険な地域に行って、漁をしろって？頭で考えただけの改革を、現場が受け入れられると思うのか！			たくさんの種類の魚がほしいだぁ？そのために、いまより危険な地域に行って、漁をしろって？頭で考えただけの改革を、現場が受け入れられると思うのか！			孤独な漁師							
今でも、クリスタリウムの連中の腹はなんとか満たせてる！このご時世にそれ以上を望むのは、道楽ってもんだ。そのために、俺たちの命は賭けられねえよ。			今でも、クリスタリウムの連中の腹はなんとか満たせてる！このご時世にそれ以上を望むのは、道楽ってもんだ。そのために、俺たちの命は賭けられねえよ。			孤独な漁師							
わかったら、とっとと帰れ。漁業科に所属している以上、魚は納品してやるが、誰もお前を科長とは認めんからな！			わかったら、とっとと帰れ。漁業科に所属している以上、魚は納品してやるが、誰もお前を科長とは認めんからな！			孤独な漁師							
Forenameさん、ごめんなさい、僕のせいで……。いやな気分になったでしょう……。			Forenameさん、ごめんなさい、僕のせいで……。いやな気分になったでしょう……。			孤独な漁師							
この状況について、きちんと説明させてください……。そのためには、あるものをお見せしたいのですが……いいですか……？			この状況について、きちんと説明させてください……。そのためには、あるものをお見せしたいのですが……いいですか……？			孤独な漁師							
ありがとうございます……！じゃあ、クリスタリウムの「博物陳列館」へ来てください。お見せするものを用意して、待ってます……！			ありがとうございます……！じゃあ、クリスタリウムの「博物陳列館」へ来てください。お見せするものを用意して、待ってます……！			孤独な漁師							
きてくれて、ありがとうございます……！お見せしたかったものというのは……この博物陳列館の本です。			きてくれて、ありがとうございます……！お見せしたかったものというのは……この博物陳列館の本です。			孤独な漁師							
僕は、幼い頃から読書が大好きで……本で得た知識を基に、漁法を工夫したりしていたんです。結果、いつの間にか漁獲量が、漁業科の中で一番になりました。			僕は、幼い頃から読書が大好きで……本で得た知識を基に、漁法を工夫したりしていたんです。結果、いつの間にか漁獲量が、漁業科の中で一番になりました。			孤独な漁師							
うちの漁業科は、もっとも漁獲量が多い者が、代表になるしきたりでして……。望むと望まないとにかかわらず、僕が代表になったんです。			うちの漁業科は、もっとも漁獲量が多い者が、代表になるしきたりでして……。望むと望まないとにかかわらず、僕が代表になったんです。			孤独な漁師							
そして、せっかく代表になったのなら、僕なりに頑張ろうかと思い、いろいろ考えたのですが……。さきほどのように、熟練漁師から猛反発にあいました。			そして、せっかく代表になったのなら、僕なりに頑張ろうかと思い、いろいろ考えたのですが……。さきほどのように、熟練漁師から猛反発にあいました。			孤独な漁師							
これが僕個人の問題なら、あきらめるところですが、そうもいかない事情がありまして……。			これが僕個人の問題なら、あきらめるところですが、そうもいかない事情がありまして……。			孤独な漁師							
実は、このクリスタリウムには、原因不明の体調不良で、苦しむ人たちがいるんです。死に至る病ではないがゆえに、目立っていませんが……。			実は、このクリスタリウムには、原因不明の体調不良で、苦しむ人たちがいるんです。死に至る病ではないがゆえに、目立っていませんが……。			孤独な漁師							
僕が考えるに、おそらく体調不良の原因は、栄養失調です。先人たちの努力もあって、クリスタリウムに飢えはありませんが、食材の種類には偏りがあるのも事実でして……。			僕が考えるに、おそらく体調不良の原因は、栄養失調です。先人たちの努力もあって、クリスタリウムに飢えはありませんが、食材の種類には偏りがあるのも事実でして……。			孤独な漁師							
その対策には、症状に合わせて食事を変えるという、「食事療法」がいいと医療の本にありました。			その対策には、症状に合わせて食事を変えるという、「食事療法」がいいと医療の本にありました。			孤独な漁師							
たとえば、日陰に入ると急に目が見えづらくなる、暗盲症(あんもうしょう)の患者さんには、「オクトアイズ」の料理が良いのだとか。			たとえば、日陰に入ると急に目が見えづらくなる、暗盲症(あんもうしょう)の患者さんには、「オクトアイズ」の料理が良いのだとか。			孤独な漁師							
この病は「光の氾濫」のせいで、暗闇に目が慣れないのが原因だと言われていたんですけど……僕が読んだ本によれば、それ以前の時代にもあったみたいです。			この病は「光の氾濫」のせいで、暗闇に目が慣れないのが原因だと言われていたんですけど……僕が読んだ本によれば、それ以前の時代にもあったみたいです。			孤独な漁師							
この病は「光の氾濫」の後遺症のせいで、暗闇に目が慣れないのが原因だと言われていたんですけど……僕が読んだ本によれば、それ以前の時代にもあったみたいです。			この病は「光の氾濫」の後遺症のせいで、暗闇に目が慣れないのが原因だと言われていたんですけど……僕が読んだ本によれば、それ以前の時代にもあったみたいです。			孤独な漁師							
昔からの知恵を借りて、漁業科の力で、みんなの病気が少しでも良くなるなら……ひとりの漁師として、できる限りのことをしたいんです！			昔からの知恵を借りて、漁業科の力で、みんなの病気が少しでも良くなるなら……ひとりの漁師として、できる限りのことをしたいんです！			孤独な漁師							
でもさっきご覧になったように……漁師の人たちは、日々の食料を確保するので精一杯で、誰も協力してくれなくて……。			でもさっきご覧になったように……漁師の人たちは、日々の食料を確保するので精一杯で、誰も協力してくれなくて……。			孤独な漁師							
だから、漁業科の臨時の所属者として、あなたに協力してほしいんです……！どうかお願いします……！			だから、漁業科の臨時の所属者として、あなたに協力してほしいんです……！どうかお願いします……！			孤独な漁師							
ほ、ほんとうですか……！ありがとうございます！じゃあさっそく、依頼を登録しなきゃ……！			ほ、ほんとうですか……！ありがとうございます！じゃあさっそく、依頼を登録しなきゃ……！			孤独な漁師							
正式な漁業依頼として登録すると、ミーン工芸館側から報酬が支払われるんですよ。協力してくれる以上、あなたにも割に合うところがないと……！			正式な漁業依頼として登録すると、ミーン工芸館側から報酬が支払われるんですよ。協力してくれる以上、あなたにも割に合うところがないと……！			孤独な漁師							
窓口に戻って、手続きをしましょう！「ミーン工芸館」で、お待ちしていますね！			窓口に戻って、手続きをしましょう！「ミーン工芸館」で、お待ちしていますね！			孤独な漁師							
では、Forenameさん。改めて漁業の依頼をさせてもらいますね。			では、Forenameさん。改めて漁業の依頼をさせてもらいますね。			孤独な漁師							
あなたには先ほど話題にあがった、暗盲症対策の「オクトアイズ」を、獲ってきてほしいんです……！			あなたには先ほど話題にあがった、暗盲症対策の「オクトアイズ」を、獲ってきてほしいんです……！			孤独な漁師							
レイクランドの「風化した裂け目」に生息しているはずですから、捕獲したら、ここの窓口まで持ってきてください。食事療法は継続が大事なので……何匹かお願いできますか？			レイクランドの「風化した裂け目」に生息しているはずですから、捕獲したら、ここの窓口まで持ってきてください。食事療法は継続が大事なので……何匹かお願いできますか？			孤独な漁師							
周囲には危険な生物も多いので、気をつけてくださいね。本当なら、複数人で漁をするのが基本なのですが……ごめんなさい、いまは誰も協力してくれる人がいなくて……。			周囲には危険な生物も多いので、気をつけてくださいね。本当なら、複数人で漁をするのが基本なのですが……ごめんなさい、いまは誰も協力してくれる人がいなくて……。			孤独な漁師							
でも、あなたはすごく強そうだし、大丈夫かも……！集まった魚は、僕から患者さんへ渡して、食べてもらうようにお願いしてきます！			でも、あなたはすごく強そうだし、大丈夫かも……！集まった魚は、僕から患者さんへ渡して、食べてもらうようにお願いしてきます！			孤独な漁師							
僕も仕事の合間に獲るので、一緒に、暗盲症の患者さんのために頑張りましょう……！			僕も仕事の合間に獲るので、一緒に、暗盲症の患者さんのために頑張りましょう……！			孤独な漁師							
「漁業科」のミーン工芸館取引が開放されました！依頼されたアイテムをフリスリックに納品し、貢献していきましょう！			「漁業科」のミーン工芸館取引が開放されました！依頼されたアイテムをフリスリックに納品し、貢献していきましょう！			孤独な漁師							
ミーン工芸館のフリスリックは、冒険者に話したいことがあるようだ。			ミーン工芸館のフリスリックは、冒険者に話したいことがあるようだ。			紙と魚と							
フリスリックと、奇妙な病を患っている女性の話を聞いた。病について調べるために博物陳列館で「フリスリック」と話そう。			フリスリックと、奇妙な病を患っている女性の話を聞いた。病について調べるために博物陳列館で「フリスリック」と話そう。			紙と魚と							
他の漁師たちへ協力を頼むため、幻の魚を釣り上げることにした。イル・メグの水没した教会付近で「フリスリック」と話そう。			他の漁師たちへ協力を頼むため、幻の魚を釣り上げることにした。イル・メグの水没した教会付近で「フリスリック」と話そう。			紙と魚と							
イル・メグのフリスリックは、冒険者と釣りをすることに胸を高鳴らせている。クリスタリウムのミーン工芸館にいる「ロブ」に「キャラコトラウト」を、納品しよう。「キャラコトラウト」は、イル・メグの姿見の湖で「フルーツワーム」などの釣り餌で釣り上げることができる。			イル・メグのフリスリックは、冒険者と釣りをすることに胸を高鳴らせている。クリスタリウムのミーン工芸館にいる「ロブ」に「キャラコトラウト」を、納品しよう。「キャラコトラウト」は、イル・メグの姿見の湖で「フルーツワーム」などの釣り餌で釣り上げることができる。			紙と魚と							
ロブに「キャラコトラウト」を渡した。引き続き、食事療法のための依頼品を納品し、クリスタリウムの栄養失調改善に貢献していこう。			ロブに「キャラコトラウト」を渡した。引き続き、食事療法のための依頼品を納品し、クリスタリウムの栄養失調改善に貢献していこう。			紙と魚と							
博物陳列館のフリスリックと話す			博物陳列館のフリスリックと話す			紙と魚と							
水没した教会付近のフリスリックと話す			水没した教会付近のフリスリックと話す			紙と魚と							
姿見の湖でキャラコトラウトを釣るキャラコトラウトをミーン工芸館のロブに納品			姿見の湖でキャラコトラウトを釣るキャラコトラウトをミーン工芸館のロブに納品			紙と魚と							
本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「アクトラ・オルワ・イン」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「アクトラ・オルワ・イン」を完了する必要があります。			紙と魚と							
Forenameさん、ちょっと話を聞いてくれる？			Forenameさん、ちょっと話を聞いてくれる？			紙と魚と							
ロブさんに、気になる病状の知人がいるらしくてね。詳しい話を聞いていたところなんだ。			ロブさんに、気になる病状の知人がいるらしくてね。詳しい話を聞いていたところなんだ。			紙と魚と							
ああ……知り合いの女性なんだがな……。彼女は白目が黄色く変色していて、めまいがひどくて起きあがれないこともあるらしい。			ああ……知り合いの女性なんだがな……。彼女は白目が黄色く変色していて、めまいがひどくて起きあがれないこともあるらしい。			紙と魚と							
目が黄色いのは黄疸と……ひどいめまいは貧血かな……。うーん、どんな病気なんだろう……。			目が黄色いのは黄疸と……ひどいめまいは貧血かな……。うーん、どんな病気なんだろう……。			紙と魚と							
彼女はもうずいぶん長く、その症状に悩まされているようだ。救う術がないか、調べてくれないか？			彼女はもうずいぶん長く、その症状に悩まされているようだ。救う術がないか、調べてくれないか？			紙と魚と							
もちろんですよ……！じゃあさっそく博物陳列館に行って、情報を探してみましょう！			もちろんですよ……！じゃあさっそく博物陳列館に行って、情報を探してみましょう！			紙と魚と							
Forenameさん、君も来てくれると助かるよ！			Forenameさん、君も来てくれると助かるよ！			紙と魚と							
俺の持病が良くなったのは、本当に、お前たちのおかげだ……。			俺の持病が良くなったのは、本当に、お前たちのおかげだ……。			紙と魚と							
フリスリックは……いつもこんなに難しい本を読んでるのか……。			フリスリックは……いつもこんなに難しい本を読んでるのか……。			紙と魚と							
このあたりの本に情報がありそうなんだけど……Forenameさんも、探してみてくれる？			このあたりの本に情報がありそうなんだけど……Forenameさんも、探してみてくれる？			紙と魚と							
なっ……！おまえら、なんでこんなところに……！			なっ……！おまえら、なんでこんなところに……！			紙と魚と							
ま、マーヴィルさん……！？あなたこそ、なぜここに…………？今日は「始まりの湖」で漁に出ているはずでは？			ま、マーヴィルさん……！？あなたこそ、なぜここに…………？今日は「始まりの湖」で漁に出ているはずでは？			紙と魚と							
て、てめえらには関係ねえだろ！またこんなところで、漁をサボって、うつつを抜かしてやがるのか！			て、てめえらには関係ねえだろ！またこんなところで、漁をサボって、うつつを抜かしてやがるのか！			紙と魚と							
それにロブ、てめえまで……。最近顔を出さないからどうしたのかと思ったら……まさか、フリスリックの野郎とつるんでるとはな！			それにロブ、てめえまで……。最近顔を出さないからどうしたのかと思ったら……まさか、フリスリックの野郎とつるんでるとはな！			紙と魚と							
マーヴィル……意固地になるのはもうやめろ。彼らは、俺を持病から救ってくれた恩人だ。俺は、彼らに協力する。			マーヴィル……意固地になるのはもうやめろ。彼らは、俺を持病から救ってくれた恩人だ。俺は、彼らに協力する。			紙と魚と							
まったく、どいつもこいつも……！魚は、書庫にいるんじゃねえんだぞ！			まったく、どいつもこいつも……！魚は、書庫にいるんじゃねえんだぞ！			紙と魚と							
漁師が魚を獲らなくなったら、飢え死にするのは住人たちだ！その覚悟もないなら、漁師なんて辞めろ！			漁師が魚を獲らなくなったら、飢え死にするのは住人たちだ！その覚悟もないなら、漁師なんて辞めろ！			紙と魚と							
…………マーヴィルもあいつなりに、クリスタリウムのことを思っているんだ……。許してやってくれ……。			…………マーヴィルもあいつなりに、クリスタリウムのことを思っているんだ……。許してやってくれ……。			紙と魚と							
いまでこそ魚の供給は安定しているが、昔は食料難がひどくて……。年配の者は特に、飢えに対する危機感が強いんだ。			いまでこそ魚の供給は安定しているが、昔は食料難がひどくて……。年配の者は特に、飢えに対する危機感が強いんだ。			紙と魚と							
だから、未だにあんたの方針に従わない者が多いが……若い者の中には、フリスリックに協力すべきなのではと、考えている者たちも、増えてきている。			だから、未だにあんたの方針に従わない者が多いが……若い者の中には、フリスリックに協力すべきなのではと、考えている者たちも、増えてきている。			紙と魚と							
住人の治療も大事だが……漁業科の問題も根深い。どうだ、ここはひとつ、協力者を増やすために、手を打ってみるというのは。			住人の治療も大事だが……漁業科の問題も根深い。どうだ、ここはひとつ、協力者を増やすために、手を打ってみるというのは。			紙と魚と							
でも……今から本を調べないと……。			でも……今から本を調べないと……。			紙と魚と							
一刻を争うってわけでもないだろうし、本探しなら、俺から司書たちに依頼しておくさ。			一刻を争うってわけでもないだろうし、本探しなら、俺から司書たちに依頼しておくさ。			紙と魚と							
ただマーヴィルのやつは、あの調子だと、漁師仲間に、あることないこと吹き込みそうでな……。放っておけば、状況は悪くなる一方だろう。			ただマーヴィルのやつは、あの調子だと、漁師仲間に、あることないこと吹き込みそうでな……。放っておけば、状況は悪くなる一方だろう。			紙と魚と							
そうだとしても、どうやって手を打てばいいんでしょう？ロブさんのように、身をもって体験してもらうわけにも……。			そうだとしても、どうやって手を打てばいいんでしょう？ロブさんのように、身をもって体験してもらうわけにも……。			紙と魚と							
それなら改めて、代表にふさわしい能力を見せてやればいい。「キャラコトラウト」でも釣りあげてみせれば、みんな見る目が変わるだろう。			それなら改めて、代表にふさわしい能力を見せてやればいい。「キャラコトラウト」でも釣りあげてみせれば、みんな見る目が変わるだろう。			紙と魚と							
漁業科では釣った記録が極端に少ない、幻の魚だが……お前たちなら釣りあげられる知識と能力があると、俺は信じている。			漁業科では釣った記録が極端に少ない、幻の魚だが……お前たちなら釣りあげられる知識と能力があると、俺は信じている。			紙と魚と							
「キャラコトラウト」、ですね……。わかりました、釣ってみせます！			「キャラコトラウト」、ですね……。わかりました、釣ってみせます！			紙と魚と							
Forenameさん、一緒にきてくれる？			Forenameさん、一緒にきてくれる？			紙と魚と							
漁業科が管理する釣果記録によると、この魚は過去に、イル・メグの「水没した教会」付近で、「フルーツワーム」という餌を使って、釣れたようなんだ。			漁業科が管理する釣果記録によると、この魚は過去に、イル・メグの「水没した教会」付近で、「フルーツワーム」という餌を使って、釣れたようなんだ。			紙と魚と							
君がいてくれるなら、きっと妖精たちも悪さをしないはず。そこで一緒に、「キャラコトラウト」を釣ろう！			君がいてくれるなら、きっと妖精たちも悪さをしないはず。そこで一緒に、「キャラコトラウト」を釣ろう！			紙と魚と							
じゃあ俺は、本探しを司書たちに頼んでから、ミーン工芸館の窓口に戻っておこう。受付がいないと、困るだろうからな。			じゃあ俺は、本探しを司書たちに頼んでから、ミーン工芸館の窓口に戻っておこう。受付がいないと、困るだろうからな。			紙と魚と							
フリスリックが向かうと言っていたのは……イル・メグの「水没した教会」だったか？そこで彼と合流してくれ。			フリスリックが向かうと言っていたのは……イル・メグの「水没した教会」だったか？そこで彼と合流してくれ。			紙と魚と							
きてくれてありがとう……！君がくるまでの間、妖精に襲われないか、ひやひやしてたんだ。			きてくれてありがとう……！君がくるまでの間、妖精に襲われないか、ひやひやしてたんだ。			紙と魚と							
イル・メグって初めてきたけど……すごくきれいで、豊かで、のどかに見えて……人を拒む恐ろしい土地だとは、信じられないね。			イル・メグって初めてきたけど……すごくきれいで、豊かで、のどかに見えて……人を拒む恐ろしい土地だとは、信じられないね。			紙と魚と							
それにしても…………。誰かと一緒に、釣りにでかけるのは久しぶりで、実はわくわくしてるんだ。			それにしても…………。誰かと一緒に、釣りにでかけるのは久しぶりで、実はわくわくしてるんだ。			紙と魚と							
この姿見の湖で「キャラコトラウト」が釣れたら、ミーン工芸館の「ロブ」さんのところへ持っていこう。君と僕、どっちが先に釣れるか……腕の見せどころだね！			この姿見の湖で「キャラコトラウト」が釣れたら、ミーン工芸館の「ロブ」さんのところへ持っていこう。君と僕、どっちが先に釣れるか……腕の見せどころだね！			紙と魚と							
この姿見の湖で「キャラコトラウト」が釣れたら、ミーン工芸館の「ロブ」さんのところへ持っていこう。君と僕、どっちが先に釣れるかな……！			この姿見の湖で「キャラコトラウト」が釣れたら、ミーン工芸館の「ロブ」さんのところへ持っていこう。君と僕、どっちが先に釣れるかな……！			紙と魚と							
もう釣れたの？　さすがだね！じゃあ、先に戻って「ロブ」さんに、「キャラコトラウト」を渡してくれる？			もう釣れたの？　さすがだね！じゃあ、先に戻って「ロブ」さんに、「キャラコトラウト」を渡してくれる？			紙と魚と							
僕の竿も、つついてる感触があって……釣れたらすぐに戻るから！			僕の竿も、つついてる感触があって……釣れたらすぐに戻るから！			紙と魚と							
どうだ、「キャラコトラウト」は釣れたか？			どうだ、「キャラコトラウト」は釣れたか？			紙と魚と							
ふむ、この色といい形といい……まごうことなき「キャラコトラウト」だ。Forename、さすがだな。			ふむ、この色といい形といい……まごうことなき「キャラコトラウト」だ。Forename、さすがだな。			紙と魚と							
ロブさん、僕も釣れましたよ……！			ロブさん、僕も釣れましたよ……！			紙と魚と							
そうか……。ふたりとも、やってのけたか……。本当にすごいな……。			そうか……。ふたりとも、やってのけたか……。本当にすごいな……。			紙と魚と							
若手の漁師には、その魚を見せて、協力してくれるように頼んでみよう……。きっとふたりのことを、認めてくれるはずだ。			若手の漁師には、その魚を見せて、協力してくれるように頼んでみよう……。きっとふたりのことを、認めてくれるはずだ。			紙と魚と							
よかった……！協力者が増えれば、いままで君が獲ってきてくれた魚介類を、その人たちに任せられるね……！			よかった……！協力者が増えれば、いままで君が獲ってきてくれた魚介類を、その人たちに任せられるね……！			紙と魚と							
ああ、俺も本業の漁と一緒に、窓口の仕事を手伝おう。いままで、お前ひとりに任せてしまっていたからな。			ああ、俺も本業の漁と一緒に、窓口の仕事を手伝おう。いままで、お前ひとりに任せてしまっていたからな。			紙と魚と							
マーヴィルも、いずれはどうにか説得したいが……。古い人間ほど、考えを変えるのは簡単でないからな……。少し、時間を置こう。			マーヴィルも、いずれはどうにか説得したいが……。古い人間ほど、考えを変えるのは簡単でないからな……。少し、時間を置こう。			紙と魚と							
君たちは、食事療法に関する活動に戻ってくれ。司書たちの調べも、終わっている頃合いだろうしな。			君たちは、食事療法に関する活動に戻ってくれ。司書たちの調べも、終わっている頃合いだろうしな。			紙と魚と							
はい、ロブさんのお知り合いの方に役立つ魚介類がないか、さっそく調査してみますね……！			はい、ロブさんのお知り合いの方に役立つ魚介類がないか、さっそく調査してみますね……！			紙と魚と							
Forenameさん、なにかわかったら伝えるから、そのときは、また手伝ってくれると嬉しいな……！			Forenameさん、なにかわかったら伝えるから、そのときは、また手伝ってくれると嬉しいな……！			紙と魚と							
次の納品依頼は、「漁師」がレベル78以上になると、ミーン工芸館の「フリスリック」から受注可能です。			次の納品依頼は、「漁師」がレベル78以上になると、ミーン工芸館の「フリスリック」から受注可能です。			紙と魚と							
ミーン工芸館のフリスリックは、水晶患いの治療法を考えているようだ。			ミーン工芸館のフリスリックは、水晶患いの治療法を考えているようだ。			水晶患いの治療法							
フリスリックと話した。クリスタリウム特有の疾患である水晶患いは、贅沢病という病に症状が似ているらしい。贅沢病に効く魚介類を知っている可能性があるのは、ユールモアに魚を卸している漁村だ。コルシア島のスティルタイドへ向かい、「フリスリック」と話そう。			フリスリックと話した。クリスタリウム特有の疾患である水晶患いは、贅沢病という病に症状が似ているらしい。贅沢病に効く魚介類を知っている可能性があるのは、ユールモアに魚を卸している漁村だ。コルシア島のスティルタイドへ向かい、「フリスリック」と話そう。			水晶患いの治療法							
フリスリックと話した。スティルタイドの「老齢の漁師」に声をかけ、話を聞いてみよう。			フリスリックと話した。スティルタイドの「老齢の漁師」に声をかけ、話を聞いてみよう。			水晶患いの治療法							
老齢の漁師と話した。贅沢病も水晶患いも、偏食による栄養失調が原因だったようだ。対策には、深海に生息する希少な魚が必要らしい。クリスタリウムのミーン工芸館にいる「フリスリック」へ「プロスペロイール」を、納品しよう。「プロスペロイール」は、テンペストのノルヴラント大陸斜面で「モエビ」などの釣り餌で釣り上げることができる。			老齢の漁師と話した。贅沢病も水晶患いも、偏食による栄養失調が原因だったようだ。対策には、深海に生息する希少な魚が必要らしい。クリスタリウムのミーン工芸館にいる「フリスリック」へ「プロスペロイール」を、納品しよう。「プロスペロイール」は、テンペストのノルヴラント大陸斜面で「モエビ」などの釣り餌で釣り上げることができる。			水晶患いの治療法							
フリスリックにプロスペロイールを渡した。彼が調理し、ヒュリエルのもとへ持っていくようだ。クリスタリウムのスパジャイリクス医療館へ向かった「フリスリック」と話そう。			フリスリックにプロスペロイールを渡した。彼が調理し、ヒュリエルのもとへ持っていくようだ。クリスタリウムのスパジャイリクス医療館へ向かった「フリスリック」と話そう。			水晶患いの治療法							
フリスリックと話した。ヒュリエルに料理を提供していると、父親であるマーヴィルがやってきた。水晶患いが治るであろうことがわかると、マーヴィルはフリスリックに謝罪し、和解した。親子の感動に遠慮して、ミーン工芸館の「フリスリック」のもとへ戻ろう。			フリスリックと話した。ヒュリエルに料理を提供していると、父親であるマーヴィルがやってきた。水晶患いが治るであろうことがわかると、マーヴィルはフリスリックに謝罪し、和解した。親子の感動に遠慮して、ミーン工芸館の「フリスリック」のもとへ戻ろう。			水晶患いの治療法							
