ワチュメキメキ万貨街のドヌハヌは、店の経営について悩んでいるようだ。			ワチュメキメキ万貨街のドヌハヌは、店の経営について悩んでいるようだ。			幻魚術と訳あり鮮魚店							
いい型の「キングパファー」じゃねぇか！こいつなら、間違いなくパシェニネも喜ぶだろうな。			いい型の「キングパファー」じゃねぇか！こいつなら、間違いなくパシェニネも喜ぶだろうな。			幻魚術のためのトゲトゲ怪魚							
立派な型の「キングパファー」じゃねぇか！こいつなら、パシェニネも飛びあがって喜ぶだろうよ！			立派な型の「キングパファー」じゃねぇか！こいつなら、パシェニネも飛びあがって喜ぶだろうよ！			幻魚術のためのトゲトゲ怪魚							
依頼品を納品したことで、ドヌハヌはあなたの貢献を実感しはじめました。			依頼品を納品したことで、ドヌハヌはあなたの貢献を実感しはじめました。			幻魚術のためのトゲトゲ怪魚							
今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			幻魚術のためのトゲトゲ怪魚							
Forename、ありがとうな！転がり出ていかないように、桶に入れさせてもらったぜ！			Forename、ありがとうな！転がり出ていかないように、桶に入れさせてもらったぜ！			幻魚術のためのトゲトゲ怪魚							
この「キングパファー」って魚はよ、生まれつき全身に鋭いトゲを持ってて……死んでても網を破っちまうような、近海の厄介者なんだ。			この「キングパファー」って魚はよ、生まれつき全身に鋭いトゲを持ってて……死んでても網を破っちまうような、近海の厄介者なんだ。			幻魚術のためのトゲトゲ怪魚							
すごい、初めて見ました……！こんなにトゲトゲした魚が海にいるんですね！			すごい、初めて見ました……！こんなにトゲトゲした魚が海にいるんですね！			幻魚術のためのトゲトゲ怪魚							
ではさっそく、こちらをいただいても？			ではさっそく、こちらをいただいても？			幻魚術のためのトゲトゲ怪魚							
この魚はお前さんのために仕入れたんだから、無論、好きにしていいが……生命力を取り込むってことはつまり……？			この魚はお前さんのために仕入れたんだから、無論、好きにしていいが……生命力を取り込むってことはつまり……？			幻魚術のためのトゲトゲ怪魚							
はい、もちろん食べます！このトゲまでまるっと！			はい、もちろん食べます！このトゲまでまるっと！			幻魚術のためのトゲトゲ怪魚							
お、お前さん、悪いことは言わねぇからやめといた方が……！			お、お前さん、悪いことは言わねぇからやめといた方が……！			幻魚術のためのトゲトゲ怪魚							
以前にもお話ししたように、僕は幻魚術しかできません。			以前にもお話ししたように、僕は幻魚術しかできません。			幻魚術のためのトゲトゲ怪魚							
ですが、普通なら一種類の魚しか撃ち出せないはずなのに、なぜか僕だけは、様々な魚の幻影を作れるんです。これこそが最大の長所にして、僕にとっての唯一の武器……！			ですが、普通なら一種類の魚しか撃ち出せないはずなのに、なぜか僕だけは、様々な魚の幻影を作れるんです。これこそが最大の長所にして、僕にとっての唯一の武器……！			幻魚術のためのトゲトゲ怪魚							
そのためには、その魚を余すところなく食べ、命の力をいただく必要があるんです！			そのためには、その魚を余すところなく食べ、命の力をいただく必要があるんです！			幻魚術のためのトゲトゲ怪魚							
魚の生命力を、身体が覚えるといいますか……たくさん食べた分だけ、幻影の精度もあがるんですよ！			魚の生命力を、身体が覚えるといいますか……たくさん食べた分だけ、幻影の精度もあがるんですよ！			幻魚術のためのトゲトゲ怪魚							
なので、僕はどんな魚も食べられるように調理法を学びました。この「キングパファー」も工夫をすれば、トゲまで美味しく食べられると思います！			なので、僕はどんな魚も食べられるように調理法を学びました。この「キングパファー」も工夫をすれば、トゲまで美味しく食べられると思います！			幻魚術のためのトゲトゲ怪魚							
なるほど、なるほど……そいつは感心だ。俺はどんな魚も塩振って焼いたら美味いと思ってたから、調理法なんてのは、あまり考えてこなかったなぁ。			なるほど、なるほど……そいつは感心だ。俺はどんな魚も塩振って焼いたら美味いと思ってたから、調理法なんてのは、あまり考えてこなかったなぁ。			幻魚術のためのトゲトゲ怪魚							
もしかして、怪魚が敬遠されてきた理由には、部族によっちゃ、とても食べられない形状や味をしてるっていう、事情もあるのかもしれねぇな。			もしかして、怪魚が敬遠されてきた理由には、部族によっちゃ、とても食べられない形状や味をしてるっていう、事情もあるのかもしれねぇな。			幻魚術のためのトゲトゲ怪魚							
なら、調理法を客に教えたり、調理したもんを売ったりすれば、もっとみんなが怪魚を身近に思ってくれるんじゃ……！			なら、調理法を客に教えたり、調理したもんを売ったりすれば、もっとみんなが怪魚を身近に思ってくれるんじゃ……！			幻魚術のためのトゲトゲ怪魚							
試練の魔物はいくつもいると言ってたし、お前さん、怪魚はまだまだ必要なんだろう？それなら、毎度美味い食い方を教えてくれると助かるぜ！			試練の魔物はいくつもいると言ってたし、お前さん、怪魚はまだまだ必要なんだろう？それなら、毎度美味い食い方を教えてくれると助かるぜ！			幻魚術のためのトゲトゲ怪魚							
ええ、もちろんです！こちらこそ、今後ともよろしくお願いします！			ええ、もちろんです！こちらこそ、今後ともよろしくお願いします！			幻魚術のためのトゲトゲ怪魚							
それにしても……お前さん、魚を調理して食うような場所はあんのか？			それにしても……お前さん、魚を調理して食うような場所はあんのか？			幻魚術のためのトゲトゲ怪魚							
それが……大都会のトライヨラには来たばかりですし、宿には魚を捌けるほどの調理場はなくて、どうしようかと……。			それが……大都会のトライヨラには来たばかりですし、宿には魚を捌けるほどの調理場はなくて、どうしようかと……。			幻魚術のためのトゲトゲ怪魚							
ガハハ！　そうだろうと思ったよ！じゃあ翼鏡の街にあるうちで料理すりゃいい！			ガハハ！　そうだろうと思ったよ！じゃあ翼鏡の街にあるうちで料理すりゃいい！			幻魚術のためのトゲトゲ怪魚							
何から何まで、いいんですか……！ありがとうございます、ではお言葉に甘えて、さっそくこのお魚を調理してきます！			何から何まで、いいんですか……！ありがとうございます、ではお言葉に甘えて、さっそくこのお魚を調理してきます！			幻魚術のためのトゲトゲ怪魚							
お待たせしました！身は汁物に、トゲはパリパリに揚げてみたので……さっそくいただきます！			お待たせしました！身は汁物に、トゲはパリパリに揚げてみたので……さっそくいただきます！			幻魚術のためのトゲトゲ怪魚							
あぁ、美味しかった！ごちそうさまでした！			あぁ、美味しかった！ごちそうさまでした！			幻魚術のためのトゲトゲ怪魚							
ほ、ほんとにトゲまで食ったな……。			ほ、ほんとにトゲまで食ったな……。			幻魚術のためのトゲトゲ怪魚							
Forenameさん、ありがとうございます！おかげでこの魚の生命力が、体中にみなぎってくるのを感じます！			Forenameさん、ありがとうございます！おかげでこの魚の生命力が、体中にみなぎってくるのを感じます！			幻魚術のためのトゲトゲ怪魚							
魔物に立ち向かうのはまだ早いだろうから……ひらけたところで、幻魚術の試し撃ちをしてきていいですか？			魔物に立ち向かうのはまだ早いだろうから……ひらけたところで、幻魚術の試し撃ちをしてきていいですか？			幻魚術のためのトゲトゲ怪魚							
おうとも、おうとも、行ってこい！			おうとも、おうとも、行ってこい！			幻魚術のためのトゲトゲ怪魚							
そんなわけで、Forename。パシェニネが戻ってくるまで、ここらの釣り場を楽しんどいてくれな！			そんなわけで、Forename。パシェニネが戻ってくるまで、ここらの釣り場を楽しんどいてくれな！			幻魚術のためのトゲトゲ怪魚							
魚道楽ドヌハヌの貢献ランクが上昇しました！ドヌハヌはあなたの事を、「なかなかの怪魚ハンター」と感じているようです！			魚道楽ドヌハヌの貢献ランクが上昇しました！ドヌハヌはあなたの事を、「なかなかの怪魚ハンター」と感じているようです！			幻魚術のためのトゲトゲ怪魚							
次のクエストは、「漁師」がレベル93以上になると、ワチュメキメキ万貨街の「ドヌハヌ」から受注可能です。			次のクエストは、「漁師」がレベル93以上になると、ワチュメキメキ万貨街の「ドヌハヌ」から受注可能です。			幻魚術のためのトゲトゲ怪魚							
ワチュメキメキ万貨街のドヌハヌは、パシェニネの帰りを待っているようだ。			ワチュメキメキ万貨街のドヌハヌは、パシェニネの帰りを待っているようだ。			幻魚術のためのカチコチ怪魚							
ドヌハヌとパシェニネから話を聞くに、次はとにかく硬い魚がほしいらしい。「ヨカフイプレコ」を6匹、ワチュメキメキ万貨街の「ドヌハヌ」へ納品しよう。「ヨカフイプレコ」はコザマル・カのハヌの水辺で、「ミツバチ」を釣り餌にすると釣ることができる。※納品は、収集価値「165」以上で可能となりますが、「388」以上で納品した場合、より多くの報酬が得られます。			ドヌハヌとパシェニネから話を聞くに、次はとにかく硬い魚がほしいらしい。「ヨカフイプレコ」を6匹、ワチュメキメキ万貨街の「ドヌハヌ」へ納品しよう。「ヨカフイプレコ」はコザマル・カのハヌの水辺で、「ミツバチ」を釣り餌にすると釣ることができる。※納品は、収集価値「165」以上で可能となりますが、「388」以上で納品した場合、より多くの報酬が得られます。			幻魚術のためのカチコチ怪魚							
ドヌハヌに「ヨカフイプレコ」を納品した。怪魚に興味を持つ客も出てきて、彼の鮮魚店は軌道に乗りつつあるようだ。これからも協力を続けていこう。			ドヌハヌに「ヨカフイプレコ」を納品した。怪魚に興味を持つ客も出てきて、彼の鮮魚店は軌道に乗りつつあるようだ。これからも協力を続けていこう。			幻魚術のためのカチコチ怪魚							
ハヌの水辺付近で釣りあげたヨカフイプレコをドヌハヌに納品			ハヌの水辺付近で釣りあげたヨカフイプレコをドヌハヌに納品			幻魚術のためのカチコチ怪魚							
よし、よし、来てくれたかForename！パシェニネもそろそろ戻ってくると思うぜ。			よし、よし、来てくれたかForename！パシェニネもそろそろ戻ってくると思うぜ。			幻魚術のためのカチコチ怪魚							
お世話になってます、Forenameさん！先日いただいたキングパファーの幻魚術ですが……			お世話になってます、Forenameさん！先日いただいたキングパファーの幻魚術ですが……			幻魚術のためのカチコチ怪魚							
……試し撃ちはバッチリでした！！自慢のトゲで、木人にもぶっすり突き刺さるくらいの威力です！			……試し撃ちはバッチリでした！！自慢のトゲで、木人にもぶっすり突き刺さるくらいの威力です！			幻魚術のためのカチコチ怪魚							
とはいえ、狩らなければいけない魔物は複数いるので、もう少し出せる魚を増やしてから、試練に挑もうと思っています。			とはいえ、狩らなければいけない魔物は複数いるので、もう少し出せる魚を増やしてから、試練に挑もうと思っています。			幻魚術のためのカチコチ怪魚							
ドヌハヌさんにお尋ねしたいのですが、とびきり硬い魚はいますか？			ドヌハヌさんにお尋ねしたいのですが、とびきり硬い魚はいますか？			幻魚術のためのカチコチ怪魚							
試練の魔物には「岩のような甲羅の大亀」もいるんです。それに負けないくらいの硬さが必要でして……！			試練の魔物には「岩のような甲羅の大亀」もいるんです。それに負けないくらいの硬さが必要でして……！			幻魚術のためのカチコチ怪魚							
それなら、それなら、「ヨカフイプレコ」だな！まるで鎧を着込んだように硬い魚だ！			それなら、それなら、「ヨカフイプレコ」だな！まるで鎧を着込んだように硬い魚だ！			幻魚術のためのカチコチ怪魚							
俺の故郷の近くでも、よく見かけたもんだ。ハヌの水辺付近で「ミツバチ」を餌にすれば釣れるぞ！			俺の故郷の近くでも、よく見かけたもんだ。ハヌの水辺付近で「ミツバチ」を餌にすれば釣れるぞ！			幻魚術のためのカチコチ怪魚							
じゃあ、Forename！「ヨカフイプレコ」の調達を頼む！			じゃあ、Forename！「ヨカフイプレコ」の調達を頼む！			幻魚術のためのカチコチ怪魚							
幻魚術のため……よろしくお願いします！			幻魚術のため……よろしくお願いします！			幻魚術のためのカチコチ怪魚							
