ヤーンの大穴のビッグスは、一息ついたようだ。			ヤーンの大穴のビッグスは、一息ついたようだ。			翼に夢を							
大穴が、もとに戻ってるッス……！			大穴が、もとに戻ってるッス……！			翼に夢を							
クエ、クエッ……。			クエ、クエッ……。			翼に夢を							
ふぅ……。本当に、間に合ってよかった。フレースヴェルグが来てくれなかったら、どうなってたことか！			ふぅ……。本当に、間に合ってよかった。フレースヴェルグが来てくれなかったら、どうなってたことか！			翼に夢を							
俺とウェッジは、お前たちのことがどうしても気になって、戦線復帰をしようと、この大穴まで来たんだ。そしたら、何やらブクブクと異常事態でな……。			俺とウェッジは、お前たちのことがどうしても気になって、戦線復帰をしようと、この大穴まで来たんだ。そしたら、何やらブクブクと異常事態でな……。			翼に夢を							
どうしたものかと思ったのも束の間、巨大な竜が飛んできたんで、事情を伝えて乗せてもらったのさ。			どうしたものかと思ったのも束の間、巨大な竜が飛んできたんで、事情を伝えて乗せてもらったのさ。			翼に夢を							
……何はともあれ、お前たちが無事でよかったよ。それから、オメガとの決着も。			……何はともあれ、お前たちが無事でよかったよ。それから、オメガとの決着も。			翼に夢を							
さあ、この朗報を、うちの社員たちにも……ラールガーズリーチで待ってるジェシーにも伝えてやろう！			さあ、この朗報を、うちの社員たちにも……ラールガーズリーチで待ってるジェシーにも伝えてやろう！			翼に夢を							
アルファは、もとどおりになった大穴を、じっと見つめている……。			アルファは、もとどおりになった大穴を、じっと見つめている……。			翼に夢を							
…………クエッ！			…………クエッ！			翼に夢を							
ジェシーにも、ずいぶん心配をかけたな……。			ジェシーにも、ずいぶん心配をかけたな……。			翼に夢を							
ささ、お前からも報告してやってくれ！			ささ、お前からも報告してやってくれ！			翼に夢を							
Surname……今回は、さすがに発生するかもしれないッス……。幻の…………ボーナス！！！			Surname……今回は、さすがに発生するかもしれないッス……。幻の…………ボーナス！！！			翼に夢を							
クエッ、クエッ！			クエッ、クエッ！			翼に夢を							
Surname、おかえりなさいっ！			Surname、おかえりなさいっ！			翼に夢を							
あなた本当に……とんでもない英雄ね。もしも第二、第三のオメガが出てきたら、真っ先に、あなたを再現しようとするに違いないわ！			あなた本当に……とんでもない英雄ね。もしも第二、第三のオメガが出てきたら、真っ先に、あなたを再現しようとするに違いないわ！			翼に夢を							
……なんてね！きっと、あなたの強さは誰にも再現できない。私たちにとっては、そう思えるほどの大英雄よ！			……なんてね！きっと、あなたの強さは誰にも再現できない。私たちにとっては、そう思えるほどの大英雄よ！			翼に夢を							
これで、オメガが造った怪物たちが、地上に出てくることもないッス？			これで、オメガが造った怪物たちが、地上に出てくることもないッス？			翼に夢を							
ああ……。オメガも、奴にまつわるすべても消え去った。地上の危機は、未然に退けられたんだ！			ああ……。オメガも、奴にまつわるすべても消え去った。地上の危機は、未然に退けられたんだ！			翼に夢を							
それもこれも、Forenameと、協力してくれた、みんなのおかげだ。			それもこれも、Forenameと、協力してくれた、みんなのおかげだ。			翼に夢を							
ほかの誰でもない、お前たちが……みんながいてくれてよかったと、何度、心から思ったか。			ほかの誰でもない、お前たちが……みんながいてくれてよかったと、何度、心から思ったか。			翼に夢を							
ところで、会長。オメガの顛末については、エオルゼア各国からも、報告を求められていますよね。			ところで、会長。オメガの顛末については、エオルゼア各国からも、報告を求められていますよね。			翼に夢を							
さすがに、無視ってわけにはいかないけど……今回のことは、どこまで伝えますか？			さすがに、無視ってわけにはいかないけど……今回のことは、どこまで伝えますか？			翼に夢を							
そうだな…………。			そうだな…………。			翼に夢を							
……全部、包み隠さず報告しよう。オメガほどの脅威だからこそ、きちんと情報を伝えて、安心させてやるべきだろう。			……全部、包み隠さず報告しよう。オメガほどの脅威だからこそ、きちんと情報を伝えて、安心させてやるべきだろう。			翼に夢を							
あら、珍しい。この手の話は、技術の悪用を生むからって、伏せるんじゃないかと思ってましたけど。			あら、珍しい。この手の話は、技術の悪用を生むからって、伏せるんじゃないかと思ってましたけど。			翼に夢を							
……なに、大穴の先が「次元の狭間」で、歴史や物語、果ては異世界の強敵たちと戦ったなんて、信じろといったって難しい話だ。			……なに、大穴の先が「次元の狭間」で、歴史や物語、果ては異世界の強敵たちと戦ったなんて、信じろといったって難しい話だ。			翼に夢を							
それに、たとえその話を聞いて、オメガの技術を悪用しようとする輩が出てきたとしても……			それに、たとえその話を聞いて、オメガの技術を悪用しようとする輩が出てきたとしても……			翼に夢を							
あの、手ごわくて、自分勝手で、孤独な兵器は、俺たちにとって遠い星……。まだまだ届くことのない、彼方の夢だ。			あの、手ごわくて、自分勝手で、孤独な兵器は、俺たちにとって遠い星……。まだまだ届くことのない、彼方の夢だ。			翼に夢を							
……ということだそうよ！それじゃ、前線に出れなかった私たちで、はりきって残務処理といこうじゃない！			……ということだそうよ！それじゃ、前線に出れなかった私たちで、はりきって残務処理といこうじゃない！			翼に夢を							
待機してる社員たちも集めて、報告書の作成！大穴の保持に協力してくれた現地の人や、関係各所への連絡も忘れちゃだめよ！			待機してる社員たちも集めて、報告書の作成！大穴の保持に協力してくれた現地の人や、関係各所への連絡も忘れちゃだめよ！			翼に夢を							
ありがとう、ジェシー。それじゃあ、あとはよろしく……			ありがとう、ジェシー。それじゃあ、あとはよろしく……			翼に夢を							
えっ？　会長も後方支援だったでしょ？休んでいいのは、Surnameと、一生懸命走ったっていう、アルファだけですよ？			えっ？　会長も後方支援だったでしょ？休んでいいのは、Surnameと、一生懸命走ったっていう、アルファだけですよ？			翼に夢を							
そもそも、会長の名前もなしで、各国に報告できると？そうでなくても、オメガの調査の間に、すごい量の業務がたまってるんですよ？			そもそも、会長の名前もなしで、各国に報告できると？そうでなくても、オメガの調査の間に、すごい量の業務がたまってるんですよ？			翼に夢を							
何よりも！……ここにいない仲間に、報告をしてやらないんですか？			何よりも！……ここにいない仲間に、報告をしてやらないんですか？			翼に夢を							
ああ、確かに。それは……大事な仕事だな。			ああ、確かに。それは……大事な仕事だな。			翼に夢を							
お前は、しばらく休んでいてくれ。この快挙に見合うほどのものは考えもつかないが、何か報酬も用意したい。			お前は、しばらく休んでいてくれ。この快挙に見合うほどのものは考えもつかないが、何か報酬も用意したい。			翼に夢を							
よかったな、Surname！それじゃあ、またあとで！			よかったな、Surname！それじゃあ、またあとで！			翼に夢を							
アルファ、お前はこれからどうするッス？			アルファ、お前はこれからどうするッス？			翼に夢を							
オメガはいなくなったけど、お前はお前ッス。やりたいこと、何でもできるッス。			オメガはいなくなったけど、お前はお前ッス。やりたいこと、何でもできるッス。			翼に夢を							
……外？どこかに行きたいッス？			……外？どこかに行きたいッス？			翼に夢を							
おーい、ウェッジ！何してるんだ、置いてくぞー！			おーい、ウェッジ！何してるんだ、置いてくぞー！			翼に夢を							
わわっ、今行くッスー！！			わわっ、今行くッスー！！			翼に夢を							
さて、私もいろいろとがんばらないと……。報酬の件、会長とよーく相談しておくわね。			さて、私もいろいろとがんばらないと……。報酬の件、会長とよーく相談しておくわね。			翼に夢を							
……クエッ！			……クエッ！			翼に夢を							
アルファは、どこかそわそわしている。どうやら、街の様子が気になるようだ……。			アルファは、どこかそわそわしている。どうやら、街の様子が気になるようだ……。			翼に夢を							
何と言う？			何と言う？			翼に夢を							
散歩に行こうか			散歩に行こうか			翼に夢を							
おとなしく待ってなさい			おとなしく待ってなさい			翼に夢を							
クエクエッ！			クエクエッ！			翼に夢を							
クエ……。			クエ……。			翼に夢を							
アルファは、人々の動きをじっとみている。何やら、興味津々のようだ。			アルファは、人々の動きをじっとみている。何やら、興味津々のようだ。			翼に夢を							
クエッ！			クエッ！			翼に夢を							
クエ、クエッ？			クエ、クエッ？			翼に夢を							
ネロがいない、だと！？			ネロがいない、だと！？			翼に夢を							
は、はい……。療養のために休職するって、出ていきました……。			は、はい……。療養のために休職するって、出ていきました……。			翼に夢を							
療養……。あいつ、そんなに具合が悪化してたのか……。			療養……。あいつ、そんなに具合が悪化してたのか……。			翼に夢を							
そそ、それで、その、会長に渡してくれと、頼まれたものが……。			そそ、それで、その、会長に渡してくれと、頼まれたものが……。			翼に夢を							
これは…………領収書？			これは…………領収書？			翼に夢を							
オメガ調査のために買い足した、機材の代金。資料として取り寄せた、稀覯本の代金。魔導甲冑とガンハンマーの改良にかかった費用……。			オメガ調査のために買い足した、機材の代金。資料として取り寄せた、稀覯本の代金。魔導甲冑とガンハンマーの改良にかかった費用……。			翼に夢を							
治療中の暇つぶしにやった研究の費用。あと……その……「ネロさンへの多大なる感謝の気持ち」代。すべて、会長個人の名前で切られています。			治療中の暇つぶしにやった研究の費用。あと……その……「ネロさンへの多大なる感謝の気持ち」代。すべて、会長個人の名前で切られています。			翼に夢を							
………………。			………………。			翼に夢を							
今すぐネロを探せッ！手のあいてる社員、全員でだッ！			今すぐネロを探せッ！手のあいてる社員、全員でだッ！			翼に夢を							
クエ……？クエエ、クキュゥ……。			クエ……？クエエ、クキュゥ……。			翼に夢を							
アルファは、この場所の意味を感じ取っているようだ。しょんぼりしているが、「なでて」あげれば、元気が出るだろうか……？			アルファは、この場所の意味を感じ取っているようだ。しょんぼりしているが、「なでて」あげれば、元気が出るだろうか……？			翼に夢を							
クキュゥ……。			クキュゥ……。			翼に夢を							
アルファは、この場所の意味を感じ取っているようだ。しょんぼりしているが、「なでて」あげれば、元気が出るだろうか……？			アルファは、この場所の意味を感じ取っているようだ。しょんぼりしているが、「なでて」あげれば、元気が出るだろうか……？			翼に夢を							
クエ……？			クエ……？			翼に夢を							
クエェ……クエッ！			クエェ……クエッ！			翼に夢を							
……あれ？ふたりで何してるッス？			……あれ？ふたりで何してるッス？			翼に夢を							
なるほど、散歩をしていたと……。そしてその様子だと、次は街の外を見てみたいってところか？			なるほど、散歩をしていたと……。そしてその様子だと、次は街の外を見てみたいってところか？			翼に夢を							
Surnameがいいなら構わないだろうが、あんまり遠くまで行っちゃだめだぞ。			Surnameがいいなら構わないだろうが、あんまり遠くまで行っちゃだめだぞ。			翼に夢を							
嫌だって？そうはいっても、Surnameにも俺たちにも、やるべきことがたくさんあるからなぁ……。			嫌だって？そうはいっても、Surnameにも俺たちにも、やるべきことがたくさんあるからなぁ……。			翼に夢を							
かといって、お前をひとりで外に出すのは……うーん……。			かといって、お前をひとりで外に出すのは……うーん……。			翼に夢を							
……アルファは、まだこの世界に生まれたばかりッス。しかも、支社と大穴だけを往復する日々だったッス。			……アルファは、まだこの世界に生まれたばかりッス。しかも、支社と大穴だけを往復する日々だったッス。			翼に夢を							
だから、今はきっと、いろんなことを知りたがってるッス。ちょっとの散歩なんかじゃなくて……旅がしたいんだと思うッス。			だから、今はきっと、いろんなことを知りたがってるッス。ちょっとの散歩なんかじゃなくて……旅がしたいんだと思うッス。			翼に夢を							
心配無用ッス！こいつはオイラたちより強いし……勇気だって、いっぱいもらってるはずッス！			心配無用ッス！こいつはオイラたちより強いし……勇気だって、いっぱいもらってるはずッス！			翼に夢を							
だから……だから…………。			だから……だから…………。			翼に夢を							
よーしっ、オイラが親方に話をつけてやるッス！その制服を着てるからには、筋を通す必要があるッス！			よーしっ、オイラが親方に話をつけてやるッス！その制服を着てるからには、筋を通す必要があるッス！			翼に夢を							
……まあ、とめるつもりはないさ。どうやら、ウェッジの早合点ってわけでもなさそうだしな。			……まあ、とめるつもりはないさ。どうやら、ウェッジの早合点ってわけでもなさそうだしな。			翼に夢を							
ただし、親方も俺たちも、今は急ぎの仕事中だ。手があくまで、しばらく待っていられるな？			ただし、親方も俺たちも、今は急ぎの仕事中だ。手があくまで、しばらく待っていられるな？			翼に夢を							
アルファが黙って出て行かないよう、Surnameに見張り番を頼むッス！オイラたちは、急いで仕事を片してくるッス！			アルファが黙って出て行かないよう、Surnameに見張り番を頼むッス！オイラたちは、急いで仕事を片してくるッス！			翼に夢を							
すまない、待たせたな。こちらの雑務も、どうにかひと区切りがついた。			すまない、待たせたな。こちらの雑務も、どうにかひと区切りがついた。			翼に夢を							
それで、アルファ……。旅に出たがってると聞いたが、本当か？			それで、アルファ……。旅に出たがってると聞いたが、本当か？			翼に夢を							
一応、確認しておくが……今回の件に俺たちを巻き込んだからとか、オメガに造られた存在だからとか、そういう理由じゃないな？			一応、確認しておくが……今回の件に俺たちを巻き込んだからとか、オメガに造られた存在だからとか、そういう理由じゃないな？			翼に夢を							
そうだったら、とめようと思ってたんだが……純粋に興味がわいたのなら、仕方ないな。			そうだったら、とめようと思ってたんだが……純粋に興味がわいたのなら、仕方ないな。			翼に夢を							
いろんなものを見て、触れて、経験を重ねていくことが、アルファを豊かにしていくのは間違いない。			いろんなものを見て、触れて、経験を重ねていくことが、アルファを豊かにしていくのは間違いない。			翼に夢を							
それは、オメガにはできなかったことで……今のアルファになら、できることだろう。			それは、オメガにはできなかったことで……今のアルファになら、できることだろう。			翼に夢を							
よし、アルファ。ガーロンド・アイアンワークス会長として、お前に無期限の休暇をあたえる。			よし、アルファ。ガーロンド・アイアンワークス会長として、お前に無期限の休暇をあたえる。			翼に夢を							
好きに旅して、めいっぱい世界に触れて……いつの日にか、必ず戻ってきてくれ。お前はもう、大事な社員なんだから。			好きに旅して、めいっぱい世界に触れて……いつの日にか、必ず戻ってきてくれ。お前はもう、大事な社員なんだから。			翼に夢を							
うわぁぁぁぁん！！やっぱり心配ッス、さみしいッス～！			うわぁぁぁぁん！！やっぱり心配ッス、さみしいッス～！			翼に夢を							
アルファ、くれぐれも気をつけて行くッス。怪しい人には、ついていっちゃダメ！餌をくれても、絶対ッス！			アルファ、くれぐれも気をつけて行くッス。怪しい人には、ついていっちゃダメ！餌をくれても、絶対ッス！			翼に夢を							
それからそれから……何はともあれ、まずは元気な挨拶からッス。言葉が通じなくても、きっと心意気は伝わるッス！			それからそれから……何はともあれ、まずは元気な挨拶からッス。言葉が通じなくても、きっと心意気は伝わるッス！			翼に夢を							
そうすると、仲間ができていくッス。それを……大事にするッス！			そうすると、仲間ができていくッス。それを……大事にするッス！			翼に夢を							
きゃっ！？なになに、なんか来たわよ！？			きゃっ！？なになに、なんか来たわよ！？			翼に夢を							
ありゃ、動力を切り忘れてたか。そいつは、俺とウェッジが作った、オメガの模型ですよ。			ありゃ、動力を切り忘れてたか。そいつは、俺とウェッジが作った、オメガの模型ですよ。			翼に夢を							
療養中に、攻略の足しにでもなればと思って作ったんだが……結局、出番はなかったなぁ。			療養中に、攻略の足しにでもなればと思って作ったんだが……結局、出番はなかったなぁ。			翼に夢を							
……どうした？もしかして、それがほしいのか？			……どうした？もしかして、それがほしいのか？			翼に夢を							
別に構わないが……ただ追従してくるだけの、おもちゃだぞ。それでもいいのか？			別に構わないが……ただ追従してくるだけの、おもちゃだぞ。それでもいいのか？			翼に夢を							
気をつけて行ってくるんだぞ、アルファ！			気をつけて行ってくるんだぞ、アルファ！			翼に夢を							
ありがとう Forenameこの世界を 見てくるね――			ありがとう Forenameこの世界を 見てくるね――			翼に夢を							
……どうかしたか？			……どうかしたか？			翼に夢を							
ふむ……アルファの言葉が……。今までは、お前の「超える力」でも、聞き取れなかったのにか……。			ふむ……アルファの言葉が……。今までは、お前の「超える力」でも、聞き取れなかったのにか……。			翼に夢を							
仮に……仮にだが、今まで聞き取れなかった理由を、言葉の壁を超えた先に、読むべき心がなかったからだとしたら。今になって聞こえたということは……。			仮に……仮にだが、今まで聞き取れなかった理由を、言葉の壁を超えた先に、読むべき心がなかったからだとしたら。今になって聞こえたということは……。			翼に夢を							
ああ、きっとそうだ。そりゃあ、急に旅にも出たくなるはずさ！			ああ、きっとそうだ。そりゃあ、急に旅にも出たくなるはずさ！			翼に夢を							
この世界は、心くすぐる物事であふれてるんだからな！			この世界は、心くすぐる物事であふれてるんだからな！			翼に夢を							
そして、探求の旅ははじまった……か。そうだな、はじまりはそれでこそだ。			そして、探求の旅ははじまった……か。そうだな、はじまりはそれでこそだ。			翼に夢を							
さぁて、オレは……次は何で、悔しがらせてやろうかね。			さぁて、オレは……次は何で、悔しがらせてやろうかね。			翼に夢を							
……ねえ、Surname。アルファ、旅の先で楽しいことにたくさん出会えるといいわね。			……ねえ、Surname。アルファ、旅の先で楽しいことにたくさん出会えるといいわね。			翼に夢を							
ううん、絶対出会えるわ！だから私たちも、楽しい話をしましょ！			ううん、絶対出会えるわ！だから私たちも、楽しい話をしましょ！			翼に夢を							
そう、具体的には……お待ちかねの賞与タイム！調査にたっぷり資金を使っちゃったから、金銀財宝とはいかないけど、弊社の売りは技術力でしょう？			そう、具体的には……お待ちかねの賞与タイム！調査にたっぷり資金を使っちゃったから、金銀財宝とはいかないけど、弊社の売りは技術力でしょう？			翼に夢を							
ということで、用意させてもらったわ。これからの商品化に先駆けた、プレミアムな最初の1体……職人の技が光る、にくいほどの一級品！			ということで、用意させてもらったわ。これからの商品化に先駆けた、プレミアムな最初の1体……職人の技が光る、にくいほどの一級品！			翼に夢を							
さあ、受け取って！マメット・アルファ、そのデコマスを！！			さあ、受け取って！マメット・アルファ、そのデコマスを！！			翼に夢を							
あなたが、それを連れて経験するのと同じくらい、どこかの空の下で、アルファも世界を見聞きしてるはずよ。……探求者たちに、素敵な旅路がありますように！			あなたが、それを連れて経験するのと同じくらい、どこかの空の下で、アルファも世界を見聞きしてるはずよ。……探求者たちに、素敵な旅路がありますように！			翼に夢を							
ラールガーズリーチのウェッジは、途方に暮れているようだ。			ラールガーズリーチのウェッジは、途方に暮れているようだ。			オメガの消息							
ウェッジから、オメガの消息を探っているガーロンド・アイアンワークス社に協力するよう頼まれた。ラールガーズリーチの「ビッグス」と話そう。			ウェッジから、オメガの消息を探っているガーロンド・アイアンワークス社に協力するよう頼まれた。ラールガーズリーチの「ビッグス」と話そう。			オメガの消息							
ビッグスと話し、シドとネロの喧嘩を止めた。オメガの潜伏地と思しき場所で、何か変化が起きたようだ。ギラバニア辺境地帯のヤーンの大穴にいる「シド」と話そう。			ビッグスと話し、シドとネロの喧嘩を止めた。オメガの潜伏地と思しき場所で、何か変化が起きたようだ。ギラバニア辺境地帯のヤーンの大穴にいる「シド」と話そう。			オメガの消息							
シドたちと大穴を観察していたところ、中から何かが飛び出してきた。ヤーンの大穴の「チョコボ？」と話そう。			シドたちと大穴を観察していたところ、中から何かが飛び出してきた。ヤーンの大穴の「チョコボ？」と話そう。			オメガの消息							
おそらくチョコボと思われる存在が、大穴の先から来たことを聞きだした。ヤーンの大穴の「シド」と話そう。			おそらくチョコボと思われる存在が、大穴の先から来たことを聞きだした。ヤーンの大穴の「シド」と話そう。			オメガの消息							
シドと話し、大穴の中……次元の狭間に突入した。オメガから検証への参加を持ちかけられ、正式エントリーを果たすために、被検世界デルタを目指すことになった。次元の狭間の先へと進もう。一度外に出た場合は、ヤーンの大穴にいる「ガーロンド社の調査員」が、次元の狭間へ案内してくれるようだ。			シドと話し、大穴の中……次元の狭間に突入した。オメガから検証への参加を持ちかけられ、正式エントリーを果たすために、被検世界デルタを目指すことになった。次元の狭間の先へと進もう。一度外に出た場合は、ヤーンの大穴にいる「ガーロンド社の調査員」が、次元の狭間へ案内してくれるようだ。			オメガの消息							
被検世界デルタに到達し、正式に、アルファの仲間として検証に参加することになった。次元の狭間の「シド」と話そう。			被検世界デルタに到達し、正式に、アルファの仲間として検証に参加することになった。次元の狭間の「シド」と話そう。			オメガの消息							
シドと話した。改めて、「次元の狭間 オメガ」の調査をはじめていこう！			シドと話した。改めて、「次元の狭間 オメガ」の調査をはじめていこう！			オメガの消息							
ビッグスと話す			ビッグスと話す			オメガの消息							
ヤーンの大穴のシドと話す			ヤーンの大穴のシドと話す			オメガの消息							
チョコボ？と話す			チョコボ？と話す			オメガの消息							
シドと話す			シドと話す			オメガの消息							
シドと再度話す			シドと再度話す			オメガの消息							
おっ、Surnameじゃないか！こりゃあもう、宿命ってもんだな。			おっ、Surnameじゃないか！こりゃあもう、宿命ってもんだな。			オメガの消息							
あーっ！？ここで会ったが百年目ッス！お願いッス、力を貸してほしいッス～！			あーっ！？ここで会ったが百年目ッス！お願いッス、力を貸してほしいッス～！			オメガの消息							
今、オイラたち「ガーロンド・アイアンワークス」は、ここラールガーズリーチに支社を作って、消えた「オメガ」の捜索をしてるッス……。			今、オイラたち「ガーロンド・アイアンワークス」は、ここラールガーズリーチに支社を作って、消えた「オメガ」の捜索をしてるッス……。			オメガの消息							
ほら、「神龍」と「オメガ」の戦いは、ピカーッと光って、結果がよく見えなかったッス？			ほら、「神龍」と「オメガ」の戦いは、ピカーッと光って、結果がよく見えなかったッス？			オメガの消息							
そのあと、神龍だけが、帝国軍に捕らえられた……。制圧された帝国基地から得た情報によると、神龍は、発見時すでに拘束されていたらしいッス。			そのあと、神龍だけが、帝国軍に捕らえられた……。制圧された帝国基地から得た情報によると、神龍は、発見時すでに拘束されていたらしいッス。			オメガの消息							
そんなことができるのは、バハムートを捕えしもの「オメガ」だけッス！そして拘束具が機能していた以上、本体も停止してないッス！？			そんなことができるのは、バハムートを捕えしもの「オメガ」だけッス！そして拘束具が機能していた以上、本体も停止してないッス！？			オメガの消息							
……ってことで「オメガ」の潜伏先を探ってたけど、ここにきて大事件発生ッス……。Surname、うちの支社に来て、助けてほしいッス！			……ってことで「オメガ」の潜伏先を探ってたけど、ここにきて大事件発生ッス……。Surname、うちの支社に来て、助けてほしいッス！			オメガの消息							
ふざけるな！　信じられるか！			ふざけるな！　信じられるか！			オメガの消息							
そうカッカするなよ、会長サン？			そうカッカするなよ、会長サン？			オメガの消息							
これッス……。			これッス……。			オメガの消息							
はー……せっかく大型新人を採用したのに、これじゃ効率が下がるばっかりだわ……。			はー……せっかく大型新人を採用したのに、これじゃ効率が下がるばっかりだわ……。			オメガの消息							
……驚きだろ？最近うちに入った大型新人……ご存じ、ネロだ。			……驚きだろ？最近うちに入った大型新人……ご存じ、ネロだ。			オメガの消息							
ええい、何度言わせるんだ……！ネロ、お前はオメガの調査に参加させない。			ええい、何度言わせるんだ……！ネロ、お前はオメガの調査に参加させない。			オメガの消息							
そもそも、神龍への対抗策として、オメガの起動を持ちかけてきたこと自体、怪しかったんだ。大方、お前自身が、オメガを研究したかったんじゃないか？			そもそも、神龍への対抗策として、オメガの起動を持ちかけてきたこと自体、怪しかったんだ。大方、お前自身が、オメガを研究したかったんじゃないか？			オメガの消息							
あのときは、必要性を認めたから起動に同意したが……これ以上、お前をオメガに近づけるのは容認できない！			あのときは、必要性を認めたから起動に同意したが……これ以上、お前をオメガに近づけるのは容認できない！			オメガの消息							
おいおい、勝手に決めつけて頭ごなしに叱るなンて、上司として最悪だな、ガーロンドォ……。			おいおい、勝手に決めつけて頭ごなしに叱るなンて、上司として最悪だな、ガーロンドォ……。			オメガの消息							
オレは新人だぜ？それも……ほめられて伸びるタイプのなぁ！			オレは新人だぜ？それも……ほめられて伸びるタイプのなぁ！			オメガの消息							
そんなふてぶてしい新人がいるかッ！			そんなふてぶてしい新人がいるかッ！			オメガの消息							
ジェシー！本日づけで、こいつは解雇だ、解雇！出戻りも許さないぞ……潔く、永久に、籍を消せ！			ジェシー！本日づけで、こいつは解雇だ、解雇！出戻りも許さないぞ……潔く、永久に、籍を消せ！			オメガの消息							
えー……。契約金はもう払っちゃいましたよ？会長の次回給与の8割を譲渡しろっていうから、それで。			えー……。契約金はもう払っちゃいましたよ？会長の次回給与の8割を譲渡しろっていうから、それで。			オメガの消息							
経歴はともかく、古代技術研究の第一人者なのは間違いないんだし、払った契約金の分くらいは、働いてもらったらどうです？			経歴はともかく、古代技術研究の第一人者なのは間違いないんだし、払った契約金の分くらいは、働いてもらったらどうです？			オメガの消息							
おかしい、絶対におかしい……！いつのまに、そんな横暴な経理がまかり通る会社に……！？			おかしい、絶対におかしい……！いつのまに、そんな横暴な経理がまかり通る会社に……！？			オメガの消息							
……とまあ、こんな問答がずっと続いててな？オレたちだけで、勝手にオメガの調査を進めるわけにもいかず、困り果ててるってわけだ。			……とまあ、こんな問答がずっと続いててな？オレたちだけで、勝手にオメガの調査を進めるわけにもいかず、困り果ててるってわけだ。			オメガの消息							
どうする？			どうする？			オメガの消息							
……ほっといて、調査を進めようか			……ほっといて、調査を進めようか			オメガの消息							
それじゃあ、自分はこのへんで			それじゃあ、自分はこのへんで			オメガの消息							
おっと、そこの冒険者……抜け駆けはよくないぜ？だが、やる気があンのは上等だ……。			おっと、そこの冒険者……抜け駆けはよくないぜ？だが、やる気があンのは上等だ……。			オメガの消息							
よし、たった今から、お前をオレの目付け役にする。英雄殿がついてたら、悪事なンて働けないだろう？それなら、頭の固い会長だって、同行を許すはずだね。			よし、たった今から、お前をオレの目付け役にする。英雄殿がついてたら、悪事なンて働けないだろう？それなら、頭の固い会長だって、同行を許すはずだね。			オメガの消息							
待て待て、オレに気付かれてないとでも思ったか？残念だが、お前もオメガの起動に立ち会ったンだ……ここは連帯責任といこうぜ？			待て待て、オレに気付かれてないとでも思ったか？残念だが、お前もオメガの起動に立ち会ったンだ……ここは連帯責任といこうぜ？			オメガの消息							
