調理師ギルドのリングサスは、冒険者に紹介したい人がいるようだ。			調理師ギルドのリングサスは、冒険者に紹介したい人がいるようだ。			元冒険者の調理師							
アンタの冒険者としての活躍は、ギルドの噂で聞いていたが、調理師としても名を上げていると知って、大ファンになったんだ！			アンタの冒険者としての活躍は、ギルドの噂で聞いていたが、調理師としても名を上げていると知って、大ファンになったんだ！			元冒険者の調理師							
俺も冒険者と調理師の二足のわらじを履いていたんだが、とてもじゃないが、アンタの足元にも及ばなくてな。自分の限界ってやつにぶち当たった……。			俺も冒険者と調理師の二足のわらじを履いていたんだが、とてもじゃないが、アンタの足元にも及ばなくてな。自分の限界ってやつにぶち当たった……。			元冒険者の調理師							
そして、思い切って冒険者から足を洗い、調理師だけに絞って、レヴナンツトールの、ロウェナさんのカフェテラスで働き始めたんだ。			そして、思い切って冒険者から足を洗い、調理師だけに絞って、レヴナンツトールの、ロウェナさんのカフェテラスで働き始めたんだ。			元冒険者の調理師							
でも、新人として正攻法でいっても、古株の調理師には、いつまでも敵わないだろう？			でも、新人として正攻法でいっても、古株の調理師には、いつまでも敵わないだろう？			元冒険者の調理師							
そこで、レヴナンツトール開拓団のドマ出身者を狙って、「東方料理」を採り入れた新メニューを考え、名を上げてやろうと思ってるんだ！			そこで、レヴナンツトール開拓団のドマ出身者を狙って、「東方料理」を採り入れた新メニューを考え、名を上げてやろうと思ってるんだ！			元冒険者の調理師							
だが、俺ひとりじゃ、未知の料理はなかなか難しい……。そんなわけで、調理師としても一流の腕を持つ、Forenameさんに、協力してほしいんだよ。			だが、俺ひとりじゃ、未知の料理はなかなか難しい……。そんなわけで、調理師としても一流の腕を持つ、Forenameさんに、協力してほしいんだよ。			元冒険者の調理師							
忙しいアンタのことだ、無理にとは言わない。それでも、力を貸してくれるならば、「レヴナンツトール」の、ロウェナ記念会館二階にある、調理場まで来てくれ……待ってるぜ！			忙しいアンタのことだ、無理にとは言わない。それでも、力を貸してくれるならば、「レヴナンツトール」の、ロウェナ記念会館二階にある、調理場まで来てくれ……待ってるぜ！			元冒険者の調理師							
なるほどな、東方料理を取り入れるってか……。それならきっと、お前さんの料理の幅も広がるはずだから、是非とも、レヴナンツトールの「ラルフ」に協力してやってくれ。			なるほどな、東方料理を取り入れるってか……。それならきっと、お前さんの料理の幅も広がるはずだから、是非とも、レヴナンツトールの「ラルフ」に協力してやってくれ。			元冒険者の調理師							
おお、来てくれたんだな、ありがとう！アンタに協力してもらえるなんて、夢のようだ。ダメ元だったんだが、頼んでみてよかったよ……。			おお、来てくれたんだな、ありがとう！アンタに協力してもらえるなんて、夢のようだ。ダメ元だったんだが、頼んでみてよかったよ……。			元冒険者の調理師							
それじゃあ、さっそく新メニューの開発を……と言いたいところだが、最初に挑戦すべき料理を決めかねていてね。			それじゃあ、さっそく新メニューの開発を……と言いたいところだが、最初に挑戦すべき料理を決めかねていてね。			元冒険者の調理師							
この地にいるドマの民が、どんな料理を求めているのか……まずは俺が知り合いのツテを使って、調べてみることにするよ。だから、アンタには、また後日ここへ来てもらいたい。			この地にいるドマの民が、どんな料理を求めているのか……まずは俺が知り合いのツテを使って、調べてみることにするよ。だから、アンタには、また後日ここへ来てもらいたい。			元冒険者の調理師							
それにしても、まさか本当に、あのデルモンドールで満点を取った、Forenameさんに、協力してもらえるなんてな……。俺も精一杯がんばるんで、どうかよろしくな！			それにしても、まさか本当に、あのデルモンドールで満点を取った、Forenameさんに、協力してもらえるなんてな……。俺も精一杯がんばるんで、どうかよろしくな！			元冒険者の調理師							
「調理師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、ロウェナ記念会館のラルフから受注可能です。			「調理師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、ロウェナ記念会館のラルフから受注可能です。			元冒険者の調理師							
今後の「調理師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「調理師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			元冒険者の調理師							
調理師ギルドのリングサスは、冒険者をある人に紹介したいようだ。			調理師ギルドのリングサスは、冒険者をある人に紹介したいようだ。			給仕長のお願い							
前回までの冒険録：調理師ギルドマスターにして、レストラン「ビスマルク」の総料理長リングサスに弟子入りした冒険者は、料理人としてめきめきと頭角を現す。あるとき、味にうるさい大富豪、ロロリトが来店するが、冒険者は負傷したリングサスの代役を見事にこなし、エオルゼア随一のレストラン「ビスマルク」の危機を救う。冒険者の腕前は、ついにはウルダハのナナモ女王の晩餐会をも大成功に導く。その副産物として、先の一件を逆恨みしていた、ロロリトの企みも露見したのだった……。　　　　　　　　　　　　*　*　*リングサスは、冒険者を永遠の乙女亭の給仕長に紹介したいらしい。リムサ・ロミンサの永遠の乙女亭にいる「メルココ」と話そう。			前回までの冒険録：調理師ギルドマスターにして、レストラン「ビスマルク」の総料理長リングサスに弟子入りした冒険者は、料理人としてめきめきと頭角を現す。あるとき、味にうるさい大富豪、ロロリトが来店するが、冒険者は負傷したリングサスの代役を見事にこなし、エオルゼア随一のレストラン「ビスマルク」の危機を救う。冒険者の腕前は、ついにはウルダハのナナモ女王の晩餐会をも大成功に導く。その副産物として、先の一件を逆恨みしていた、ロロリトの企みも露見したのだった……。　　　　　　　　　　　　*　*　*リングサスは、冒険者を永遠の乙女亭の給仕長に紹介したいらしい。リムサ・ロミンサの永遠の乙女亭にいる「メルココ」と話そう。			給仕長のお願い							
メルココと話した。冒険者にデルモン・ドールに参加してほしいらしいが、料理長と話してくれという。永遠の乙女亭の「ハ・マシャ・ティア」と話そう。			メルココと話した。冒険者にデルモン・ドールに参加してほしいらしいが、料理長と話してくれという。永遠の乙女亭の「ハ・マシャ・ティア」と話そう。			給仕長のお願い							
ハ・マシャ・ティアと話した。どうやら、デルモン・ドールで優勝する自信があるようだ。永遠の乙女亭の「メルココ」に報告しよう。			ハ・マシャ・ティアと話した。どうやら、デルモン・ドールで優勝する自信があるようだ。永遠の乙女亭の「メルココ」に報告しよう。			給仕長のお願い							
メルココに報告した。メルココは、冒険者にデルモン・ドールで、ハ・マシャ・ティアを負かせてほしいようだ。大会に向けてメルココと料理探訪していくことになった。調理師として飛躍できる好機に向けて精進しよう。※調理師のレベルが53以上になると、永遠の乙女亭のメルココから次の調理師クエストを受注することができます。			メルココに報告した。メルココは、冒険者にデルモン・ドールで、ハ・マシャ・ティアを負かせてほしいようだ。大会に向けてメルココと料理探訪していくことになった。調理師として飛躍できる好機に向けて精進しよう。※調理師のレベルが53以上になると、永遠の乙女亭のメルココから次の調理師クエストを受注することができます。			給仕長のお願い							
メルココと話す			メルココと話す			給仕長のお願い							
ハ・マシャ・ティアと話す			ハ・マシャ・ティアと話す			給仕長のお願い							
メルココに報告			メルココに報告			給仕長のお願い							
おう、Forename。相変わらず、精進を重ねてるようでなによりだ。だが、お前さんほどになると、頭打ちにもならないか？			おう、Forename。相変わらず、精進を重ねてるようでなによりだ。だが、お前さんほどになると、頭打ちにもならないか？			給仕長のお願い							
そんなときは、新たな挑戦をするにかぎるぜ。……実は、ある人にお前さんを紹介したくてな。			そんなときは、新たな挑戦をするにかぎるぜ。……実は、ある人にお前さんを紹介したくてな。			給仕長のお願い							
「永遠の乙女亭」は知ってるよな。三大海賊のひとつで、女ばかりの海賊団……「紅血聖女団」のシマとして有名な酒場だ。			「永遠の乙女亭」は知ってるよな。三大海賊のひとつで、女ばかりの海賊団……「紅血聖女団」のシマとして有名な酒場だ。			給仕長のお願い							
そこの給仕長から、ある仕事を頼みたいから、ギルドいちの凄腕を紹介してほしいって言われてよ……。それが、今のお前さんにおあつらえ向きなんだ。			そこの給仕長から、ある仕事を頼みたいから、ギルドいちの凄腕を紹介してほしいって言われてよ……。それが、今のお前さんにおあつらえ向きなんだ。			給仕長のお願い							
詳しくは、「永遠の乙女亭」へ行って、給仕長の「メルココ」から聞いてくれよ。			詳しくは、「永遠の乙女亭」へ行って、給仕長の「メルココ」から聞いてくれよ。			給仕長のお願い							
詳しくは、「永遠の乙女亭」へ行って、給仕長の「メルココ」から聞いてくれよ。			詳しくは、「永遠の乙女亭」へ行って、給仕長の「メルココ」から聞いてくれよ。			給仕長のお願い							
何だお前は……客か？だったら、乾き物でもつまんどけ。			何だお前は……客か？だったら、乾き物でもつまんどけ。			給仕長のお願い							
いらっしゃいませ！　ご予約のお客様ですか？			いらっしゃいませ！　ご予約のお客様ですか？			給仕長のお願い							
なんと、あなたが、Forenameさん！？失礼しました、お噂はかねがね……私は、ここで給仕長を務める、メルココと申します。			なんと、あなたが、Forenameさん！？失礼しました、お噂はかねがね……私は、ここで給仕長を務める、メルココと申します。			給仕長のお願い							
あなたにお願いしたい仕事なのですが、腕自慢の調理師たちが腕を競う料理大会……「デルモン・ドール」に、ぜひとも出場してほしいんです！			あなたにお願いしたい仕事なのですが、腕自慢の調理師たちが腕を競う料理大会……「デルモン・ドール」に、ぜひとも出場してほしいんです！			給仕長のお願い							
ここの料理長を務める「ハ・マシャ・ティア」は、その大会の前回の優勝者なんですけれど……。これが、胸クソわる……いや、ヒドい男でして……。			ここの料理長を務める「ハ・マシャ・ティア」は、その大会の前回の優勝者なんですけれど……。これが、胸クソわる……いや、ヒドい男でして……。			給仕長のお願い							
一度、店内のハ・マシャと話してもらえますか？すぐに、おわかりいただけると思います……。			一度、店内のハ・マシャと話してもらえますか？すぐに、おわかりいただけると思います……。			給仕長のお願い							
一度、店内のハ・マシャと話してもらえますか？すぐに、おわかりいただけると思います……。			一度、店内のハ・マシャと話してもらえますか？すぐに、おわかりいただけると思います……。			給仕長のお願い							
なるほど、「デルモン・ドール」に……。お前さんにとって、ちょうどいい機会かもしれんな。			なるほど、「デルモン・ドール」に……。お前さんにとって、ちょうどいい機会かもしれんな。			給仕長のお願い							
何だお前は……客か？だったら、乾き物でもつまんどけ。……聖女団か、予約客以外に、俺が料理を作ることはない。			何だお前は……客か？だったら、乾き物でもつまんどけ。……聖女団か、予約客以外に、俺が料理を作ることはない。			給仕長のお願い							
俺は、「デルモン・ドール」に向けて、優勝式辞の練習で忙しいんだ。連続優勝ともなると、それ相応の演出が必要だろう？			俺は、「デルモン・ドール」に向けて、優勝式辞の練習で忙しいんだ。連続優勝ともなると、それ相応の演出が必要だろう？			給仕長のお願い							
余裕で不敵に振る舞うか、それとも感動して泣くか、どっちが、よりクールか決めかねてるんだ。まてよ……相手の実力不足にキレるのも、アリかもな……。			余裕で不敵に振る舞うか、それとも感動して泣くか、どっちが、よりクールか決めかねてるんだ。まてよ……相手の実力不足にキレるのも、アリかもな……。			給仕長のお願い							
……どうです、話してみてわかりましたでしょ？あの野郎、今度の大会も優勝間違いなしって、思いっきり、タカをくくってやがるんです！			……どうです、話してみてわかりましたでしょ？あの野郎、今度の大会も優勝間違いなしって、思いっきり、タカをくくってやがるんです！			給仕長のお願い							
おっと、いけない……私ってば、はしたない言葉を。大変、失礼いたしました……。			おっと、いけない……私ってば、はしたない言葉を。大変、失礼いたしました……。			給仕長のお願い							
悔しいことに、ハ・マシャの腕は確かです。元は聖女団の頭領、ローズウェン姐さんが、陸に上がった構成員をねぎらうために雇ったんですが……。			悔しいことに、ハ・マシャの腕は確かです。元は聖女団の頭領、ローズウェン姐さんが、陸に上がった構成員をねぎらうために雇ったんですが……。			給仕長のお願い							
お手頃価格で本格料理を味わえると評判を呼んで、今では一般のお客様まで集まり、予約待ちの状態……。			お手頃価格で本格料理を味わえると評判を呼んで、今では一般のお客様まで集まり、予約待ちの状態……。			給仕長のお願い							
……でも、あの野郎、調子こきやがって、客が気に入らねぇからと、途中で調理を投げ出したり、気分が乗らねぇとかでフケやがったり、やりたい放題でよ！			……でも、あの野郎、調子こきやがって、客が気に入らねぇからと、途中で調理を投げ出したり、気分が乗らねぇとかでフケやがったり、やりたい放題でよ！			給仕長のお願い							
あらやだ……また、下品な言葉を……。ごめんあそばせ……。			あらやだ……また、下品な言葉を……。ごめんあそばせ……。			給仕長のお願い							
そこで、私がお願いしたいのは、あなたに「デルモン・ドール」に参加してもらい……ハ・マシャを負かせて、ギャフンと言わせてもらいたいんです！			そこで、私がお願いしたいのは、あなたに「デルモン・ドール」に参加してもらい……ハ・マシャを負かせて、ギャフンと言わせてもらいたいんです！			給仕長のお願い							
あなたの腕なら、サボり野郎になんて勝ったも同然でしょう。大会までの間、何か動きがあったらお知らせしますから、ときどき、この「永遠の乙女亭」へ来てくださいね。			あなたの腕なら、サボり野郎になんて勝ったも同然でしょう。大会までの間、何か動きがあったらお知らせしますから、ときどき、この「永遠の乙女亭」へ来てくださいね。			給仕長のお願い							
「調理師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、永遠の乙女亭のメルココから受注可能です。			「調理師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、永遠の乙女亭のメルココから受注可能です。			給仕長のお願い							
今後の「調理師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「調理師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			給仕長のお願い							
また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			給仕長のお願い							
さらに、熟練の職人だけが製作可能な、難度の高い製品の製法が記されたレシピ帳、「秘伝書」が入手できるようになります。			さらに、熟練の職人だけが製作可能な、難度の高い製品の製法が記されたレシピ帳、「秘伝書」が入手できるようになります。			給仕長のお願い							
レヴナンツトールにいる、「ガイディング・スター」を訪ねてみましょう。			レヴナンツトールにいる、「ガイディング・スター」を訪ねてみましょう。			給仕長のお願い							
ロウェナ記念会館のラルフは、何やら首をひねっている。			ロウェナ記念会館のラルフは、何やら首をひねっている。			持ち味のレシピ							
ラルフから、ドマの民が求めるおにぎりを作ったが不評だったと聞いた。冒険者は、ドマの民から意見を聞くよう頼まれた。レヴナンツトールの街中にいる「ドマの民」と話そう。			ラルフから、ドマの民が求めるおにぎりを作ったが不評だったと聞いた。冒険者は、ドマの民から意見を聞くよう頼まれた。レヴナンツトールの街中にいる「ドマの民」と話そう。			持ち味のレシピ							
ドマの民と話した。ラルフの作ったおにぎりは、強く握り過ぎていて味も濃かったようだ。ロウェナ記念会館の「ラルフ」に報告しよう。			ドマの民と話した。ラルフの作ったおにぎりは、強く握り過ぎていて味も濃かったようだ。ロウェナ記念会館の「ラルフ」に報告しよう。			持ち味のレシピ							
ラルフに報告した。彼からおにぎりを作るよう頼まれた。ラルフからもらった「おにぎりの材料」をもとに「ドマ風おにぎり」を製作し、レヴナンツトールの街角にいる「ラルフ」に納品しよう。※「おにぎりの材料」を失った場合は、ロウェナ記念会館にいるポピンに話しかけましょう。材料を入手し、再挑戦が可能になります。			ラルフに報告した。彼からおにぎりを作るよう頼まれた。ラルフからもらった「おにぎりの材料」をもとに「ドマ風おにぎり」を製作し、レヴナンツトールの街角にいる「ラルフ」に納品しよう。※「おにぎりの材料」を失った場合は、ロウェナ記念会館にいるポピンに話しかけましょう。材料を入手し、再挑戦が可能になります。			持ち味のレシピ							
ドマ風おにぎりを、ラルフに納品した。ドマの民たちに食べてもらい好評を博した。アンズという、ラルフの知り合いが顔を出した。ロウェナ記念会館へ戻った「ラルフ」と話そう。			ドマ風おにぎりを、ラルフに納品した。ドマの民たちに食べてもらい好評を博した。アンズという、ラルフの知り合いが顔を出した。ロウェナ記念会館へ戻った「ラルフ」と話そう。			持ち味のレシピ							
ラルフと話した。アンズはラルフの婚約者のようだ。ラルフは、おにぎりだけではまだまだ物足りないという。次なる東方料理をものにするため、精進に励もう。※調理師のレベルが65以上になると、レヴナンツトールのラルフから次の調理師クエストを受注することができます。			ラルフと話した。アンズはラルフの婚約者のようだ。ラルフは、おにぎりだけではまだまだ物足りないという。次なる東方料理をものにするため、精進に励もう。※調理師のレベルが65以上になると、レヴナンツトールのラルフから次の調理師クエストを受注することができます。			持ち味のレシピ							
ドマの民から情報を集める			ドマの民から情報を集める			持ち味のレシピ							
ラルフに報告			ラルフに報告			持ち味のレシピ							
製作手帳 クラスクエスト：ドマ風おにぎりを製作ラルフにドマ風おにぎりを納品			製作手帳 クラスクエスト：ドマ風おにぎりを製作ラルフにドマ風おにぎりを納品			持ち味のレシピ							
ラルフと話す			ラルフと話す			持ち味のレシピ							
Forenameさん、来てくれたか。あれから、この街で働くドマの民から、どんな東方料理を求めているのか、聞いて回ったんだ。			Forenameさん、来てくれたか。あれから、この街で働くドマの民から、どんな東方料理を求めているのか、聞いて回ったんだ。			持ち味のレシピ							
すると、弁当のパンに飽き飽きしているらしくてな……。東方の主食である「米」を握った「おにぎり」という、料理が食べたいと、みんな口を揃えて言うんだよ。			すると、弁当のパンに飽き飽きしているらしくてな……。東方の主食である「米」を握った「おにぎり」という、料理が食べたいと、みんな口を揃えて言うんだよ。			持ち味のレシピ							
米を握るだけなら、アンタに協力してもらうまでもないと、冒険者仲間に米を調達してもらって、俺が作ってみた。ところが、ドマの民からの反応はイマイチでね。			米を握るだけなら、アンタに協力してもらうまでもないと、冒険者仲間に米を調達してもらって、俺が作ってみた。ところが、ドマの民からの反応はイマイチでね。			持ち味のレシピ							
言われたとおりに作ったってのに、やっぱり、東方料理は一筋縄ではいかないようだ。			言われたとおりに作ったってのに、やっぱり、東方料理は一筋縄ではいかないようだ。			持ち味のレシピ							
そこで、アンタからドマの民たちに、俺のおにぎりの、どこが悪かったのか聞いてもらいたい。東方人は控えめな人が多くて、俺には本音を言ってくれないんだ。			そこで、アンタからドマの民たちに、俺のおにぎりの、どこが悪かったのか聞いてもらいたい。東方人は控えめな人が多くて、俺には本音を言ってくれないんだ。			持ち味のレシピ							
アンタからドマの民たちに、俺のおにぎりの、どこが悪かったのか聞いてもらいたい。東方人は控えめな者が多くて、俺には本音を言ってくれないんだ。			アンタからドマの民たちに、俺のおにぎりの、どこが悪かったのか聞いてもらいたい。東方人は控えめな者が多くて、俺には本音を言ってくれないんだ。			持ち味のレシピ							
ああ、あの厳つい男が握ったおにぎりのことかい？差し入れをしてくれるのは、とても嬉しいんだが……力いっぱい握ったせいで、米が潰れて食感が台無しでねぇ。			ああ、あの厳つい男が握ったおにぎりのことかい？差し入れをしてくれるのは、とても嬉しいんだが……力いっぱい握ったせいで、米が潰れて食感が台無しでねぇ。			持ち味のレシピ							
ハァ……あの、おにぎりのこと？久々に故郷の味が楽しめると期待したら、あまりに味が濃くて……あ、でも……もちろん感謝はしているのよ？			ハァ……あの、おにぎりのこと？久々に故郷の味が楽しめると期待したら、あまりに味が濃くて……あ、でも……もちろん感謝はしているのよ？			持ち味のレシピ							
ラルフさんが作った、おにぎりの話ですか……。おにぎりを作るときは、水を少なめに米を炊いた方がいいですよ。それから、空気を包むように繊細に握らないと……。			ラルフさんが作った、おにぎりの話ですか……。おにぎりを作るときは、水を少なめに米を炊いた方がいいですよ。それから、空気を包むように繊細に握らないと……。			持ち味のレシピ							
あの厳つい男が握ったおにぎりのことか。差し入れをしてくれるのは、とても嬉しいんだが……力いっぱい握ったせいで、米が潰れて食感が台無しでねぇ。			あの厳つい男が握ったおにぎりのことか。差し入れをしてくれるのは、とても嬉しいんだが……力いっぱい握ったせいで、米が潰れて食感が台無しでねぇ。			持ち味のレシピ							
ハァ……あの、おにぎりね。久々に故郷の味が楽しめると期待したら、あまりに味が濃くて……あ、でも……もちろん感謝はしているのよ？			ハァ……あの、おにぎりね。久々に故郷の味が楽しめると期待したら、あまりに味が濃くて……あ、でも……もちろん感謝はしているのよ？			持ち味のレシピ							
ラルフさんが作った、おにぎりの話ですか……。おにぎりを作るときは、水を少なめに米を炊いた方がいいですよ。それから、空気を包むように繊細に握らないと……。			ラルフさんが作った、おにぎりの話ですか……。おにぎりを作るときは、水を少なめに米を炊いた方がいいですよ。それから、空気を包むように繊細に握らないと……。			持ち味のレシピ							
初めまして、ここの食材管理をしているポピンです。こうして在庫を確認して、次に仕入れる食材を決めています。			初めまして、ここの食材管理をしているポピンです。こうして在庫を確認して、次に仕入れる食材を決めています。			持ち味のレシピ							
そうか……握るからには、崩れないように固めるものだと思ってたが、違うようだな。米の炊き方にも、コツがあったとは……。			そうか……握るからには、崩れないように固めるものだと思ってたが、違うようだな。米の炊き方にも、コツがあったとは……。			持ち味のレシピ							
それに、味付けが塩だけってのは、味気ないと思ったんで、よかれと思って、東方の調味料を隠し味にしたんだが……。それも、余計だったのか。			それに、味付けが塩だけってのは、味気ないと思ったんで、よかれと思って、東方の調味料を隠し味にしたんだが……。それも、余計だったのか。			持ち味のレシピ							
すまないが、おにぎりの材料を渡すから、一度アンタに、「ドマ風おにぎり」を作ってもらいたい。材料が足りなくなったら、隣の「ポピン」から受け取ってくれ。			すまないが、おにぎりの材料を渡すから、一度アンタに、「ドマ風おにぎり」を作ってもらいたい。材料が足りなくなったら、隣の「ポピン」から受け取ってくれ。			持ち味のレシピ							
どうも、ここの食材管理をしているポピンです。東方料理の材料を扱うのは初めてですが、よろしくお願いします。			どうも、ここの食材管理をしているポピンです。東方料理の材料を扱うのは初めてですが、よろしくお願いします。			持ち味のレシピ							
俺は、街角でドマの民を集めておくから、「ドマ風おにぎり」ができたら、そこまで持ってきてほしい。アンタのを試食してもらって、今度こそ喜んでもらおう。			俺は、街角でドマの民を集めておくから、「ドマ風おにぎり」ができたら、そこまで持ってきてほしい。アンタのを試食してもらって、今度こそ喜んでもらおう。			持ち味のレシピ							
クラフターの「クラスクエスト」では、クエスト中に入手した材料を使い、製作を行います。			クラフターの「クラスクエスト」では、クエスト中に入手した材料を使い、製作を行います。			持ち味のレシピ							
製作に失敗した場合は、NPCに話しかけることで、再度、材料を入手できます。			製作に失敗した場合は、NPCに話しかけることで、再度、材料を入手できます。			持ち味のレシピ							
それでは、実際に製作をしてみましょう！製作手帳「スペシャルレシピ」の「クラスクエスト関連」以下、「クラスクエスト」の項目を選択することで製作できます。			それでは、実際に製作をしてみましょう！製作手帳「スペシャルレシピ」の「クラスクエスト関連」以下、「クラスクエスト」の項目を選択することで製作できます。			持ち味のレシピ							
おにぎりの材料が足りなくなったら、いつでもお声がけください。冒険者の園芸師さんに、ラノシアで採集してもらった、お米なら、まだまだありますから。			おにぎりの材料が足りなくなったら、いつでもお声がけください。冒険者の園芸師さんに、ラノシアで採集してもらった、お米なら、まだまだありますから。			持ち味のレシピ							
さすが、噂どおりの腕前ですね。ラルフさんのおにぎりとは、見た目からして違います。さあ、街角にいる「ラルフ」さんに、渡してあげてください。			さすが、噂どおりの腕前ですね。ラルフさんのおにぎりとは、見た目からして違います。さあ、街角にいる「ラルフ」さんに、渡してあげてください。			持ち味のレシピ							
また、おにぎりの差し入れをしてくれるって？そいつは楽しみだな。			また、おにぎりの差し入れをしてくれるって？そいつは楽しみだな。			持ち味のレシピ							
ハァ……今度こそ、お米の味を噛み締めたいものだわ……。			ハァ……今度こそ、お米の味を噛み締めたいものだわ……。			持ち味のレシピ							
先ほどの、おにぎりについて、言いたいことはまだありますが、次に、期待することにします。			先ほどの、おにぎりについて、言いたいことはまだありますが、次に、期待することにします。			持ち味のレシピ							
ドマの民を集めておいたよ。みんな、アンタの「ドマ風おにぎり」を心待ちにしているぞ。材料が足りなくなったら、調理場の「ポピン」から受け取ってくれ。			ドマの民を集めておいたよ。みんな、アンタの「ドマ風おにぎり」を心待ちにしているぞ。材料が足りなくなったら、調理場の「ポピン」から受け取ってくれ。			持ち味のレシピ							
ありがとう！さっそく、みんなに食べてもらおう。			ありがとう！さっそく、みんなに食べてもらおう。			持ち味のレシピ							
これだ、これだ！やっぱり米だな、力が湧いてくるってもんだ！			これだ、これだ！やっぱり米だな、力が湧いてくるってもんだ！			持ち味のレシピ							
ああ……最高だったわ……言うことなしよ……。噛みしめる度に、遠い故郷の田園風景を思い出したわ……。			ああ……最高だったわ……言うことなしよ……。噛みしめる度に、遠い故郷の田園風景を思い出したわ……。			持ち味のレシピ							
これぞ、おにぎりですよ！米を焚くときの水加減も、握り方も、ばっちりです！			これぞ、おにぎりですよ！米を焚くときの水加減も、握り方も、ばっちりです！			持ち味のレシピ							
う、うまい！　なんだこれは！米に塩をふっただけだというのに、塩気だけでなく甘味も……！そうか、米にはもともと甘味が備わっていたのか！			う、うまい！　なんだこれは！米に塩をふっただけだというのに、塩気だけでなく甘味も……！そうか、米にはもともと甘味が備わっていたのか！			持ち味のレシピ							
俺は余計な調味料を使って、甘味を殺してしまっていたんだ。さらに、空気を含んだふっくらとした握り方……。口の中で崩れて、米一粒一粒の食感が生きていた。			俺は余計な調味料を使って、甘味を殺してしまっていたんだ。さらに、空気を含んだふっくらとした握り方……。口の中で崩れて、米一粒一粒の食感が生きていた。			持ち味のレシピ							
