トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			アルカディアの挑戦者							
(-メテム-)期待の新星が、ソサエティが誇る闘士たちに挑み、統一王者の称号たる「至天の座」を目指す……。盛り上がること間違いなしだよ！			(-メテム-)期待の新星が、ソサエティが誇る闘士たちに挑み、統一王者の称号たる「至天の座」を目指す……。盛り上がること間違いなしだよ！			アルカディアの挑戦者							
(-メテム-)もちろん、豪華な報酬も用意している！ソリューション・ナイン最高の職人たちが開発した、ゴージャスな装備品の数々を進呈させてもらうぞ！？			(-メテム-)もちろん、豪華な報酬も用意している！ソリューション・ナイン最高の職人たちが開発した、ゴージャスな装備品の数々を進呈させてもらうぞ！？			アルカディアの挑戦者							
(-メテム-)もし、挑戦の覚悟が決まったなら、この先にあるアルカディア・ソサエティの建物前にいる、「アルカディアの係員」を訪ねてくれたまえ！			(-メテム-)もし、挑戦の覚悟が決まったなら、この先にあるアルカディア・ソサエティの建物前にいる、「アルカディアの係員」を訪ねてくれたまえ！			アルカディアの挑戦者							
(-メテム-)それじゃあ、色よい返事を待ってるよ！			(-メテム-)それじゃあ、色よい返事を待ってるよ！			アルカディアの挑戦者							
Forename様ですね、お待ちしておりました。アルカディア・ソサエティの控室までご案内いたしましょう。闘技ショーの詳細はぜひそちらにて……。			Forename様ですね、お待ちしておりました。アルカディア・ソサエティの控室までご案内いたしましょう。闘技ショーの詳細はぜひそちらにて……。			アルカディアの挑戦者							
「アルカディア・ソサエティの控室」へ移動しますか？			「アルカディア・ソサエティの控室」へ移動しますか？			アルカディアの挑戦者							
ヤァヤァ、待っていたよ！ここに来てくれたということは、アルカディアに挑戦してくれるんだね……！			ヤァヤァ、待っていたよ！ここに来てくれたということは、アルカディアに挑戦してくれるんだね……！			アルカディアの挑戦者							
Forename、キミを歓迎しよう！それでは……			Forename、キミを歓迎しよう！それでは……			アルカディアの挑戦者							
(-不敵なヘイザ・アロ族-)ふーん、たしかに強そうだけど……			(-不敵なヘイザ・アロ族-)ふーん、たしかに強そうだけど……			アルカディアの挑戦者							
(-不敵なヘイザ・アロ族-)生身のままなら、話にならないよ。相応の魂で強化してこないと、さ……。			(-不敵なヘイザ・アロ族-)生身のままなら、話にならないよ。相応の魂で強化してこないと、さ……。			アルカディアの挑戦者							
(-可憐なヒューネ族-)アタシに会いにきてくれること……楽しみにしてるよ～☆			(-可憐なヒューネ族-)アタシに会いにきてくれること……楽しみにしてるよ～☆			アルカディアの挑戦者							
(-厳ついヒューネ族-)へっ、雑魚が……！俺様のもとまで上がってきたら、ぶっ飛ばしてやるぜ。			(-厳ついヒューネ族-)へっ、雑魚が……！俺様のもとまで上がってきたら、ぶっ飛ばしてやるぜ。			アルカディアの挑戦者							
彼女たちは、これからキミが闘うことになる闘士だよ。挑戦者の顔を見に来ただけだから、気にしないでくれたまえ。			彼女たちは、これからキミが闘うことになる闘士だよ。挑戦者の顔を見に来ただけだから、気にしないでくれたまえ。			アルカディアの挑戦者							
邪魔が入ったが、改めて説明しておこう。アルカディアとは、優れた戦闘技能を誇る闘士たちが競い合い、最強の王者を決めるという闘技ショーだ。			邪魔が入ったが、改めて説明しておこう。アルカディアとは、優れた戦闘技能を誇る闘士たちが競い合い、最強の王者を決めるという闘技ショーだ。			アルカディアの挑戦者							
国民的な人気を誇る娯楽でもあるからね。キミが挑戦者として参戦し、次代のスターとなってくれたら、アレクサンドリアの皆も喜ぶはずさ。			国民的な人気を誇る娯楽でもあるからね。キミが挑戦者として参戦し、次代のスターとなってくれたら、アレクサンドリアの皆も喜ぶはずさ。			アルカディアの挑戦者							
さて、アルカディアには、大きくわけて3つの階級が存在していてね。ライトヘビー級、クルーザー級、ヘビー級だ。			さて、アルカディアには、大きくわけて3つの階級が存在していてね。ライトヘビー級、クルーザー級、ヘビー級だ。			アルカディアの挑戦者							
それらをすべて制覇し「至天の座」を……つまり、統一王者を目指すことが最終目標となる。			それらをすべて制覇し「至天の座」を……つまり、統一王者を目指すことが最終目標となる。			アルカディアの挑戦者							
新人であるキミがまず挑むのは、ライトヘビー級……。ここにランクされている3名の闘士を打ち破り、ライトヘビー級王者となるのが、当面の目標だ。			新人であるキミがまず挑むのは、ライトヘビー級……。ここにランクされている3名の闘士を打ち破り、ライトヘビー級王者となるのが、当面の目標だ。			アルカディアの挑戦者							
オー・マイ・ガッシュ！大事なことを言い忘れてた……！			オー・マイ・ガッシュ！大事なことを言い忘れてた……！			アルカディアの挑戦者							
アルカディアでは、独自に強力な魔物の魂を保管していてね。闘士たちは皆、それらの魂をレギュレーターで注入して闘うんだ。			アルカディアでは、独自に強力な魔物の魂を保管していてね。闘士たちは皆、それらの魂をレギュレーターで注入して闘うんだ。			アルカディアの挑戦者							
それも、肉体が変貌を遂げるほどね……。階級の名称も、注入する「魂のグレード」に準拠しているんだが、まあ、人を超越した存在に変異していると考えてくれればいい。			それも、肉体が変貌を遂げるほどね……。階級の名称も、注入する「魂のグレード」に準拠しているんだが、まあ、人を超越した存在に変異していると考えてくれればいい。			アルカディアの挑戦者							
一方でキミは、レギュレーターを使わないと聞いている。ゾラージャたちに襲撃されたときも生身で戦って、機械兵相手に大活躍したそうじゃないか！			一方でキミは、レギュレーターを使わないと聞いている。ゾラージャたちに襲撃されたときも生身で戦って、機械兵相手に大活躍したそうじゃないか！			アルカディアの挑戦者							
心意気は大いに結構だが、片やレギュレーターで強化され、片や生身では、あまりにアンフェアというもの……そこでワタシから提案がある。			心意気は大いに結構だが、片やレギュレーターで強化され、片や生身では、あまりにアンフェアというもの……そこでワタシから提案がある。			アルカディアの挑戦者							
我々は、魔物の魂のほかに、かつてここで闘っていた、歴代の闘士たちの魂も回収し、保管していてね。その魂を、助っ人として実体化しようじゃないか。			我々は、魔物の魂のほかに、かつてここで闘っていた、歴代の闘士たちの魂も回収し、保管していてね。その魂を、助っ人として実体化しようじゃないか。			アルカディアの挑戦者							
もちろん、かつての闘士を再現しただけでは連携も難しかろう。だからキミの記憶から、共闘しやすい姿や技能の情報を読み取り、最適な存在として形作らせてもらうよ！			もちろん、かつての闘士を再現しただけでは連携も難しかろう。だからキミの記憶から、共闘しやすい姿や技能の情報を読み取り、最適な存在として形作らせてもらうよ！			アルカディアの挑戦者							
何と言う？			何と言う？			アルカディアの挑戦者							
永久人のように？			永久人のように？			アルカディアの挑戦者							
全盛期のグルージャジャを再現した術のように？			全盛期のグルージャジャを再現した術のように？			アルカディアの挑戦者							
永久人というのが何かは知らないが……パーフェクトなものじゃないし、死者を蘇らせるわけでもない。あくまで一時的に再現しただけの存在さ。			永久人というのが何かは知らないが……パーフェクトなものじゃないし、死者を蘇らせるわけでもない。あくまで一時的に再現しただけの存在さ。			アルカディアの挑戦者							
ほう、外の世界には、そんなアメージングな術があるのか。こちらはエレクトロープを使っているけれど、理屈としては近いものだろうね。			ほう、外の世界には、そんなアメージングな術があるのか。こちらはエレクトロープを使っているけれど、理屈としては近いものだろうね。			アルカディアの挑戦者							
ともかく、そうして実体化させた、7人の闘士たちを仲間として率いて闘ってくれたまえ。きっとフェアな勝負となるはずだ……どうかね？			ともかく、そうして実体化させた、7人の闘士たちを仲間として率いて闘ってくれたまえ。きっとフェアな勝負となるはずだ……どうかね？			アルカディアの挑戦者							
何と言う？			何と言う？			アルカディアの挑戦者							
魂を利用した興行には反対だ			魂を利用した興行には反対だ			アルカディアの挑戦者							
保管している魂を解放すべきだ			保管している魂を解放すべきだ			アルカディアの挑戦者							
なるほど……障壁の外から来たキミが、魂の利用に忌避感を抱いていることは知っている。			なるほど……障壁の外から来たキミが、魂の利用に忌避感を抱いていることは知っている。			アルカディアの挑戦者							
それでは、こうしよう！キミが勝ち進んでいったら、仲間として闘った闘士たちの魂を解放していこう！			それでは、こうしよう！キミが勝ち進んでいったら、仲間として闘った闘士たちの魂を解放していこう！			アルカディアの挑戦者							
次代のスターとなるキミは、アルカディアのシステムの変革者……いわば、外から来たゲームチェンジャーだ！			次代のスターとなるキミは、アルカディアのシステムの変革者……いわば、外から来たゲームチェンジャーだ！			アルカディアの挑戦者							
どうだ、悪くない条件だと思うが……？			どうだ、悪くない条件だと思うが……？			アルカディアの挑戦者							
アルカディアのさらなる詳細は、キミが勝ち進んでから教えよう。初戦で負けるようでは、どのみちお払い箱だろうからね。			アルカディアのさらなる詳細は、キミが勝ち進んでから教えよう。初戦で負けるようでは、どのみちお払い箱だろうからね。			アルカディアの挑戦者							
これでめでたく、キミはアルカディアの挑戦者だ。試合に臨む心構えができたら、ワタシに声をかけてくれ。			これでめでたく、キミはアルカディアの挑戦者だ。試合に臨む心構えができたら、ワタシに声をかけてくれ。			アルカディアの挑戦者							
「アルカディア」の挑戦者になったことで、装備を交換できるようになりました。			「アルカディア」の挑戦者になったことで、装備を交換できるようになりました。			アルカディアの挑戦者							
ソリューション・ナインの「ヒーウィ」にアイテムを渡すことで、装備を入手できます。			ソリューション・ナインの「ヒーウィ」にアイテムを渡すことで、装備を入手できます。			アルカディアの挑戦者							
アルカディア・ソサエティの控室にいるメテムは、冒険者の心構えができるのを待っているようだ。			アルカディア・ソサエティの控室にいるメテムは、冒険者の心構えができるのを待っているようだ。			爪研ぐ猫魂							
メテムから初戦の相手の紹介を受けた。爪研ぐ猫魂「ブラックキャット」に挑戦しよう。※コンテンツファインダーから攻略に参加できます。			メテムから初戦の相手の紹介を受けた。爪研ぐ猫魂「ブラックキャット」に挑戦しよう。※コンテンツファインダーから攻略に参加できます。			爪研ぐ猫魂							
ブラックキャットに勝利した。アルカディア・ソサエティの控室にいるメテムのもとへ戻ろう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			ブラックキャットに勝利した。アルカディア・ソサエティの控室にいるメテムのもとへ戻ろう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			爪研ぐ猫魂							
メテムから勝利を祝福され、さらに詳しくアルカディアの説明を聞いたところ、ブラックキャットが冒険者に興味があるらしく唐突に現れた。アルカディア・ソサエティの控室にいる「メテム」と話そう。			メテムから勝利を祝福され、さらに詳しくアルカディアの説明を聞いたところ、ブラックキャットが冒険者に興味があるらしく唐突に現れた。アルカディア・ソサエティの控室にいる「メテム」と話そう。			爪研ぐ猫魂							
次の試合に向けて準備ができたら、またメテムに声をかけよう。			次の試合に向けて準備ができたら、またメテムに声をかけよう。			爪研ぐ猫魂							
「至天の座アルカディア：ライトヘビー級1」を攻略			「至天の座アルカディア：ライトヘビー級1」を攻略			爪研ぐ猫魂							
メテムと話す			メテムと話す			爪研ぐ猫魂							
よし、アルカディアに臨む心構えができたようだね。しばらくはワタシがサポートするから、安心してくれたまえ。			よし、アルカディアに臨む心構えができたようだね。しばらくはワタシがサポートするから、安心してくれたまえ。			爪研ぐ猫魂							
それでは、キミの初戦の相手を紹介しよう。モニターを見てくれ。			それでは、キミの初戦の相手を紹介しよう。モニターを見てくれ。			爪研ぐ猫魂							
ライトヘビー級最初の闘士は……爪研ぐ猫魂(ねこだましい)「ブラックキャット」！			ライトヘビー級最初の闘士は……爪研ぐ猫魂(ねこだましい)「ブラックキャット」！			爪研ぐ猫魂							
そう、先ほどキミを値踏みしていた娘だよ。まだ闘士になって間もないルーキーだが、油断は禁物、若手の中でも将来を有望視されてる実力者だからね。			そう、先ほどキミを値踏みしていた娘だよ。まだ闘士になって間もないルーキーだが、油断は禁物、若手の中でも将来を有望視されてる実力者だからね。			爪研ぐ猫魂							
彼女が注入するのは「キャスパリーグ」の魂……我らの世界において、古の英雄をも苦戦させたという怪猫だ。			彼女が注入するのは「キャスパリーグ」の魂……我らの世界において、古の英雄をも苦戦させたという怪猫だ。			爪研ぐ猫魂							
その魂を駆使するブラックキャットは、鉄をも切り裂く鋭い爪と、驚異的な俊敏さを獲得している。素早い動きに翻弄されないよう注意してくれ。			その魂を駆使するブラックキャットは、鉄をも切り裂く鋭い爪と、驚異的な俊敏さを獲得している。素早い動きに翻弄されないよう注意してくれ。			爪研ぐ猫魂							
なお、闘士たちが支配する、リングと呼ばれる闘いの舞台は、彼らのファイトスタイルやコンセプトに合わせて、それぞれ固有の環境に設定されている。			なお、闘士たちが支配する、リングと呼ばれる闘いの舞台は、彼らのファイトスタイルやコンセプトに合わせて、それぞれ固有の環境に設定されている。			爪研ぐ猫魂							
アルカディアは闘技であると同時に、ショーでもあるからね。派手な演出を施して観客を喜ばせるのさ。			アルカディアは闘技であると同時に、ショーでもあるからね。派手な演出を施して観客を喜ばせるのさ。			爪研ぐ猫魂							
ところで、ワタシは試合の実況も担当しているんだ。キミの闘いを最大限に盛り上げるから、その点も期待してくれたまえ。			ところで、ワタシは試合の実況も担当しているんだ。キミの闘いを最大限に盛り上げるから、その点も期待してくれたまえ。			爪研ぐ猫魂							
では、記念すべきデビューマッチを、華々しき勝利で飾れることを祈ってるよ……！			では、記念すべきデビューマッチを、華々しき勝利で飾れることを祈ってるよ……！			爪研ぐ猫魂							
ブラボォ～、ブラボォ～！素晴らしい勝利だったよ！			ブラボォ～、ブラボォ～！素晴らしい勝利だったよ！			爪研ぐ猫魂							
やはり、キミを新たなスターと見定めた、オーナーの目に狂いはなかったようだ……。			やはり、キミを新たなスターと見定めた、オーナーの目に狂いはなかったようだ……。			爪研ぐ猫魂							
それでは、初戦を突破したところで、アルカディアについて、もう少し詳しく説明しておこう。キミもまだまだ疑問が多いだろうしね。			それでは、初戦を突破したところで、アルカディアについて、もう少し詳しく説明しておこう。キミもまだまだ疑問が多いだろうしね。			爪研ぐ猫魂							
この闘技ショーは、キミの同胞……トライヨラの民を自称する者たちが現れるより、ずっと前からアレクサンドリアで行われていたんだ。			この闘技ショーは、キミの同胞……トライヨラの民を自称する者たちが現れるより、ずっと前からアレクサンドリアで行われていたんだ。			爪研ぐ猫魂							
ただ、その形態は今とはずいぶんと違った……。最初は「魂の再現体」同士を闘わせる形式だったのさ。			ただ、その形態は今とはずいぶんと違った……。最初は「魂の再現体」同士を闘わせる形式だったのさ。			爪研ぐ猫魂							
そう、キミが先ほど率いて闘った闘士たちと同様の存在だ。だが魂資源を利用した蘇生が可能になってからは、より刺激的な「安全な死闘」が行われ始めた。			そう、キミが先ほど率いて闘った闘士たちと同様の存在だ。だが魂資源を利用した蘇生が可能になってからは、より刺激的な「安全な死闘」が行われ始めた。			爪研ぐ猫魂							
さらに、ゾラージャとの連王体制となり、かの武王の提案で、魔物の魂で肉体を強化する技術が生まれてね。			さらに、ゾラージャとの連王体制となり、かの武王の提案で、魔物の魂で肉体を強化する技術が生まれてね。			爪研ぐ猫魂							
アルカディアの闘いもまた変貌を遂げた。闘士たちは魔物化し、闘いはより派手に、より過激に輝き、人々もまた熱狂したのさ！			アルカディアの闘いもまた変貌を遂げた。闘士たちは魔物化し、闘いはより派手に、より過激に輝き、人々もまた熱狂したのさ！			爪研ぐ猫魂							
ところが、ゾラージャが外征に着手した影響で、アルカディアに保管されていた魂も、軍の管理下に置かれた。おかげで、しばらく閉鎖を余儀なくされていたのだ。			ところが、ゾラージャが外征に着手した影響で、アルカディアに保管されていた魂も、軍の管理下に置かれた。おかげで、しばらく閉鎖を余儀なくされていたのだ。			爪研ぐ猫魂							
だが、武王は乱心の末にキミに斃された。光明が見えたのも束の間、愛すべき女王までもが喪われ、今やエバーキープは大混乱だ。			だが、武王は乱心の末にキミに斃された。光明が見えたのも束の間、愛すべき女王までもが喪われ、今やエバーキープは大混乱だ。			爪研ぐ猫魂							
そんなときに闘技とは、いかがなものかと思うかもしれないが、悲しみに沈む人々に活力と笑顔を少しでも……。この理念については前にも話したとおりさ。			そんなときに闘技とは、いかがなものかと思うかもしれないが、悲しみに沈む人々に活力と笑顔を少しでも……。この理念については前にも話したとおりさ。			爪研ぐ猫魂							
事実、キミという挑戦者の勝利で観客は大いに沸いていた。これからも、アメージングな闘いぶりを期待しているよ！			事実、キミという挑戦者の勝利で観客は大いに沸いていた。これからも、アメージングな闘いぶりを期待しているよ！			爪研ぐ猫魂							
(-ブラックキャット-)アンタ、いったい何者なんだ？まさか、魔物の魂も使ってないヤツに負けるなんて！			(-ブラックキャット-)アンタ、いったい何者なんだ？まさか、魔物の魂も使ってないヤツに負けるなんて！			爪研ぐ猫魂							
(-ブラックキャット-)ああ～、悔しい！とてもじゃないけど、このまま黙って帰れない……。			(-ブラックキャット-)ああ～、悔しい！とてもじゃないけど、このまま黙って帰れない……。			爪研ぐ猫魂							
(-ブラックキャット-)ねえ、アンタ、しばらく傍にいさせてもらえない？試合に負けたことを恨んでるとか、そういうんじゃなくてさ、その強さに興味が湧いてきたんだよ。			(-ブラックキャット-)ねえ、アンタ、しばらく傍にいさせてもらえない？試合に負けたことを恨んでるとか、そういうんじゃなくてさ、その強さに興味が湧いてきたんだよ。			爪研ぐ猫魂							
何と言う？			何と言う？			爪研ぐ猫魂							
好きにすればいい			好きにすればいい			爪研ぐ猫魂							
邪魔さえしなければ……			邪魔さえしなければ……			爪研ぐ猫魂							
まあ、私のことは気にしないで。ここで、大人しく見てるだけだからさ……。			まあ、私のことは気にしないで。ここで、大人しく見てるだけだからさ……。			爪研ぐ猫魂							
やれやれ、ブラックキャットはまだ若く気まぐれなところがある。どうか無礼を許してやってくれ。			やれやれ、ブラックキャットはまだ若く気まぐれなところがある。どうか無礼を許してやってくれ。			爪研ぐ猫魂							
アルカディア・ソサエティの控室にいるメテムは、次の相手を紹介したいようだ。			アルカディア・ソサエティの控室にいるメテムは、次の相手を紹介したいようだ。			劇毒の愛							
メテムから2人目の相手の紹介を受けた。劇毒の愛「ハニー・Ｂ・ラブリー」に挑戦しよう。※コンテンツファインダーから攻略に参加できます。			メテムから2人目の相手の紹介を受けた。劇毒の愛「ハニー・Ｂ・ラブリー」に挑戦しよう。※コンテンツファインダーから攻略に参加できます。			劇毒の愛							
ハニー・Ｂ・ラブリーに勝利した。アルカディア・ソサエティの控室にいる「メテム」と話そう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			ハニー・Ｂ・ラブリーに勝利した。アルカディア・ソサエティの控室にいる「メテム」と話そう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			劇毒の愛							
メテムとブラックキャットから勝利を祝福された。ブラックキャットこと、ヤーナが冒険者のセコンドとなり、介添えされることになった。アルカディア・ソサエティの控室にいる「ヤーナ」と話そう。			メテムとブラックキャットから勝利を祝福された。ブラックキャットこと、ヤーナが冒険者のセコンドとなり、介添えされることになった。アルカディア・ソサエティの控室にいる「ヤーナ」と話そう。			劇毒の愛							
次の試合までの合間にヤーナのジムに誘われたので、彼女に声をかけよう。			次の試合までの合間にヤーナのジムに誘われたので、彼女に声をかけよう。			劇毒の愛							
「至天の座アルカディア：ライトヘビー級2」を攻略			「至天の座アルカディア：ライトヘビー級2」を攻略			劇毒の愛							
メテムと話す			メテムと話す			劇毒の愛							
ヤーナと話す			ヤーナと話す			劇毒の愛							
まあ、私のことは気にしないで。ここで、大人しく見てるだけだからさ……。			まあ、私のことは気にしないで。ここで、大人しく見てるだけだからさ……。			劇毒の愛							
思わぬ闖入者が現れたものだが、キミにはしっかり試合に集中してもらいたい。			思わぬ闖入者が現れたものだが、キミにはしっかり試合に集中してもらいたい。			劇毒の愛							
さて、キミが闘う次の相手を紹介しよう。モニターを見てくれ。			さて、キミが闘う次の相手を紹介しよう。モニターを見てくれ。			劇毒の愛							
ライトヘビー級、2人目の闘士は……劇毒の愛「ハニー・Ｂ・ラブリー」！			ライトヘビー級、2人目の闘士は……劇毒の愛「ハニー・Ｂ・ラブリー」！			劇毒の愛							
異名からもわかると思うが、劇毒を有する蜂の魂を注入して闘うスタイルだ。ただし、恐るべきは毒よりも、何者をも魅了する能力の方さ。			異名からもわかると思うが、劇毒を有する蜂の魂を注入して闘うスタイルだ。ただし、恐るべきは毒よりも、何者をも魅了する能力の方さ。			劇毒の愛							
アイドルとしても活躍する彼女自身の愛らしさに加え、女王蜂が操るフェロモンで、どんな相手も虜にしてしまう。そうなったら最後、喜びながら痛めつけられることになるだろう。			アイドルとしても活躍する彼女自身の愛らしさに加え、女王蜂が操るフェロモンで、どんな相手も虜にしてしまう。そうなったら最後、喜びながら痛めつけられることになるだろう。			劇毒の愛							
だから次の試合では、ファンはかわいいホログラムをまとった、観戦用マシンを介して観ることになる。千人単位の観客たちが魅了されたら大混乱だからな。			だから次の試合では、ファンはかわいいホログラムをまとった、観戦用マシンを介して観ることになる。千人単位の観客たちが魅了されたら大混乱だからな。			劇毒の愛							
(-ブラックキャット-)ハニー・Ｂは厄介だよ～。今度はさすがに苦戦しちゃうかもね～。			(-ブラックキャット-)ハニー・Ｂは厄介だよ～。今度はさすがに苦戦しちゃうかもね～。			劇毒の愛							
キミならやってくれると信じてるよ。では、健闘を祈る……！			キミならやってくれると信じてるよ。では、健闘を祈る……！			劇毒の愛							
さて、生身でどこまで通用するもんか……見届けさせてもらうよ。			さて、生身でどこまで通用するもんか……見届けさせてもらうよ。			劇毒の愛							
アンタ、凄いじゃないか……！			アンタ、凄いじゃないか……！			劇毒の愛							
エクセレントォ～！またも、素晴らしい勝利を見せてくれたね！			エクセレントォ～！またも、素晴らしい勝利を見せてくれたね！			劇毒の愛							
まさか、ハニー・Ｂまで倒しちゃうなんて……！やるじゃないか、アンタ！！			まさか、ハニー・Ｂまで倒しちゃうなんて……！やるじゃないか、アンタ！！			劇毒の愛							
次はいよいよ、ライトヘビー級の現王者との闘いだ。この勢いで、ぜひ新王者となってほしいところだが……試合まで少しばかり時間がある。			次はいよいよ、ライトヘビー級の現王者との闘いだ。この勢いで、ぜひ新王者となってほしいところだが……試合まで少しばかり時間がある。			劇毒の愛							
よかったら、今のうちにセコンドを選んでおかないか？対戦相手の情報収集を任せたり、訓練の方針を相談したりできる、サポート役がいた方が便利だろうと思ってね。			よかったら、今のうちにセコンドを選んでおかないか？対戦相手の情報収集を任せたり、訓練の方針を相談したりできる、サポート役がいた方が便利だろうと思ってね。			劇毒の愛							
ちょ、ちょっと待ってくれ！その役目……私にやらせてくれないか！？			ちょ、ちょっと待ってくれ！その役目……私にやらせてくれないか！？			劇毒の愛							
敗者にはしばらく新たな試合もないだろう？自分を負かした相手が勝ち進んでいくのは嬉しくもあるし、どうか、彼女彼のセコンドをやらせてほしい！			敗者にはしばらく新たな試合もないだろう？自分を負かした相手が勝ち進んでいくのは嬉しくもあるし、どうか、彼女彼のセコンドをやらせてほしい！			劇毒の愛							
まあ、現役闘士であるキミなら、ライバルたちのことも知っているだろうし、ワタシとしては構わないが……			まあ、現役闘士であるキミなら、ライバルたちのことも知っているだろうし、ワタシとしては構わないが……			劇毒の愛							
何と言う？			何と言う？			劇毒の愛							
自分も構わない			自分も構わない			劇毒の愛							
特に断る理由もない			特に断る理由もない			劇毒の愛							
そうだ、セコンドとなる以上、名前くらい伝えておかないと……まさかブラックキャットが本名だなんて思ってないだろう？それは闘士としてのリングネームさ。			そうだ、セコンドとなる以上、名前くらい伝えておかないと……まさかブラックキャットが本名だなんて思ってないだろう？それは闘士としてのリングネームさ。			劇毒の愛							
(-ヤーナ-)私は「ヤーナ」、これからどうぞよろしくね！			(-ヤーナ-)私は「ヤーナ」、これからどうぞよろしくね！			劇毒の愛							
ヤーナは子どもっぽいところがあるが、アルカディアの現役闘士。ライバルたちのこともよく知っているから、セコンドとしては悪くないだろう。			ヤーナは子どもっぽいところがあるが、アルカディアの現役闘士。ライバルたちのこともよく知っているから、セコンドとしては悪くないだろう。			劇毒の愛							
さて……次の試合まで間があくなら、こんな殺風景な場所で時間をつぶすより、ウチのジムに来なよ。散らかってるけど、ここよりは居心地がいいはずさ！			さて……次の試合まで間があくなら、こんな殺風景な場所で時間をつぶすより、ウチのジムに来なよ。散らかってるけど、ここよりは居心地がいいはずさ！			劇毒の愛							
