ミーン工芸館のイオラは、何かに悩んでいるようだ。			ミーン工芸館のイオラは、何かに悩んでいるようだ。			若き経営者、イオラ							
今では、残ってる職人と言えば、そこのエイスモン君だけになっちゃったんだよねぇ。			今では、残ってる職人と言えば、そこのエイスモン君だけになっちゃったんだよねぇ。			若き経営者、イオラ							
ど、どうも……。			ど、どうも……。			若き経営者、イオラ							
取引先と言えば、お決まりの衛兵団くらいのもの。それも日銭を稼ぐ程度の儲けしかないし、このままじゃ、工房の閉鎖も時間の問題……。			取引先と言えば、お決まりの衛兵団くらいのもの。それも日銭を稼ぐ程度の儲けしかないし、このままじゃ、工房の閉鎖も時間の問題……。			若き経営者、イオラ							
そ・こ・で！　私、イオラは考えました！一発逆転の新商品を開発して、新たな顧客を開拓しよう、と！			そ・こ・で！　私、イオラは考えました！一発逆転の新商品を開発して、新たな顧客を開拓しよう、と！			若き経営者、イオラ							
ところがどっこい、これがまったく上手くいってなくてね～。エイスモン君は既製品を造らせたら腕の良い職人さんなんだけど、新しい物を生み出す創造性が欠けてるんだよなぁ～。			ところがどっこい、これがまったく上手くいってなくてね～。エイスモン君は既製品を造らせたら腕の良い職人さんなんだけど、新しい物を生み出す創造性が欠けてるんだよなぁ～。			若き経営者、イオラ							
うう……お役に立てずすみません……。			うう……お役に立てずすみません……。			若き経営者、イオラ							
っと、つい喋りすぎちゃった。ところで、キミはどこから来たの？			っと、つい喋りすぎちゃった。ところで、キミはどこから来たの？			若き経営者、イオラ							
へー、水晶公と同郷なんだ。ふーん…………そっかぁ…………。			へー、水晶公と同郷なんだ。ふーん…………そっかぁ…………。			若き経営者、イオラ							
と、いうことは！？私たちも知らないようなことをいっぱい知ってるってことじゃん！是非とも、新商品の開発に力を貸してくれない！？			と、いうことは！？私たちも知らないようなことをいっぱい知ってるってことじゃん！是非とも、新商品の開発に力を貸してくれない！？			若き経営者、イオラ							
もちろん、手伝ってくれたら給金は弾むわよ？ミーン工芸館が発行するクラフタースクリップで、だけど……どう、引き受けてくれる！？			もちろん、手伝ってくれたら給金は弾むわよ？ミーン工芸館が発行するクラフタースクリップで、だけど……どう、引き受けてくれる！？			若き経営者、イオラ							
何と答える？			何と答える？			若き経営者、イオラ							
協力しよう			協力しよう			若き経営者、イオラ							
協力したくない			協力したくない			若き経営者、イオラ							
いよっしゃぁぁぁぁぁぁぁぁぁぁぁぁ！！！！			いよっしゃぁぁぁぁぁぁぁぁぁぁぁぁ！！！！			若き経営者、イオラ							
そんなこと言わないで！！そこをなんとかお願いします！！			そんなこと言わないで！！そこをなんとかお願いします！！			若き経営者、イオラ							
いよっしゃぁぁぁぁぁぁぁぁぁぁぁぁ！！！！			いよっしゃぁぁぁぁぁぁぁぁぁぁぁぁ！！！！			若き経営者、イオラ							
……ふぅ。それじゃ、早速だけどズン族に話を聞きに行こうか！			……ふぅ。それじゃ、早速だけどズン族に話を聞きに行こうか！			若き経営者、イオラ							
ズン族ってのは、この都市で暮らしている、トカゲみたいな姿の獣人種族のことさ。			ズン族ってのは、この都市で暮らしている、トカゲみたいな姿の獣人種族のことさ。			若き経営者、イオラ							
実は彼らとは、これまでほとんど取引したことがなくてね。逆に言えば、ズン族向きの新商品を開発できれば、まるっと大儲けってこと！			実は彼らとは、これまでほとんど取引したことがなくてね。逆に言えば、ズン族向きの新商品を開発できれば、まるっと大儲けってこと！			若き経営者、イオラ							
そんなこんなで、「アマロ桟橋」に行って、新たな顧客候補であるズン族のみんなに、話を聞いてみよう！黒鉄工房の大躍進が、ここから始まるのだ！			そんなこんなで、「アマロ桟橋」に行って、新たな顧客候補であるズン族のみんなに、話を聞いてみよう！黒鉄工房の大躍進が、ここから始まるのだ！			若き経営者、イオラ							
い、いってらっしゃい……。			い、いってらっしゃい……。			若き経営者、イオラ							
俺に何か用か？			俺に何か用か？			若き経営者、イオラ							
新商品開発の参考にしたくて、話を聞きに来たんだ。キミたちのことを、簡単に教えてもらいたいんだけど……。			新商品開発の参考にしたくて、話を聞きに来たんだ。キミたちのことを、簡単に教えてもらいたいんだけど……。			若き経営者、イオラ							
お前は、ミーン工芸館の職人か……。そういうことなら、いいだろう。			お前は、ミーン工芸館の職人か……。そういうことなら、いいだろう。			若き経営者、イオラ							
我々ズン族はアマロの飼育を生業にしていてな。見てのとおり、身につける物はすべてアマロの骨や皮で出来ている。これは、かつて遊牧の民だった頃からの伝統だ。			我々ズン族はアマロの飼育を生業にしていてな。見てのとおり、身につける物はすべてアマロの骨や皮で出来ている。これは、かつて遊牧の民だった頃からの伝統だ。			若き経営者、イオラ							
アマロの飼育をしていて、困ったこととかはある？			アマロの飼育をしていて、困ったこととかはある？			若き経営者、イオラ							
そうだな……身ごもって気が立っている雌のアマロの世話をする時は、噛まれて怪我をすることもある。			そうだな……身ごもって気が立っている雌のアマロの世話をする時は、噛まれて怪我をすることもある。			若き経営者、イオラ							
うひゃぁ～、あんなに大きな獣に噛みつかれたら、怪我じゃ済まないかもね。			うひゃぁ～、あんなに大きな獣に噛みつかれたら、怪我じゃ済まないかもね。			若き経営者、イオラ							
うむ……実際、噛まれた傷が原因で病になり、命を落とすこともある。それを防げる製品があれば、買い手もいるだろう。			うむ……実際、噛まれた傷が原因で病になり、命を落とすこともある。それを防げる製品があれば、買い手もいるだろう。			若き経営者、イオラ							
まっかせといて！黒鉄工房が、ズン族のために最高の一品を造ってみせるから！			まっかせといて！黒鉄工房が、ズン族のために最高の一品を造ってみせるから！			若き経営者、イオラ							
それじゃ、「ミーン工芸館」に戻ろっか。			それじゃ、「ミーン工芸館」に戻ろっか。			若き経営者、イオラ							
「ズン族の調教師」から、新商品の開発に役立ちそうな話を聞いてみよう。			「ズン族の調教師」から、新商品の開発に役立ちそうな話を聞いてみよう。			若き経営者、イオラ							
い、いってらっしゃい……。			い、いってらっしゃい……。			若き経営者、イオラ							
どう？ズン族の話を聞いて、何か思いついた？			どう？ズン族の話を聞いて、何か思いついた？			若き経営者、イオラ							
むむ……こりゃまた珍しいふたりが来たわね。			むむ……こりゃまた珍しいふたりが来たわね。			若き経営者、イオラ							
忘れた工具を取りに来たんだよ。すぐに立ち去るさ。			忘れた工具を取りに来たんだよ。すぐに立ち去るさ。			若き経営者、イオラ							
今は、錬鉄科の下請け仕事が忙しいんだ。まともに生きていくには、数をこなさなきゃならんからな。			今は、錬鉄科の下請け仕事が忙しいんだ。まともに生きていくには、数をこなさなきゃならんからな。			若き経営者、イオラ							
そっか…………。			そっか…………。			若き経営者、イオラ							
あのふたり……コラーナとスー・レンドは、かつて、黒鉄工房で働いていた職人さんでね……。私が小さい頃から、まるで兄弟みたいに面倒を見てくれてたんだ。			あのふたり……コラーナとスー・レンドは、かつて、黒鉄工房で働いていた職人さんでね……。私が小さい頃から、まるで兄弟みたいに面倒を見てくれてたんだ。			若き経営者、イオラ							
でも、経営が悪化してからは黒鉄工房を抜けて、個人の職人として、錬鉄科の仕事を請け負ってるみたいなんだ。ふたりとも、家族がいる身だからね……。			でも、経営が悪化してからは黒鉄工房を抜けて、個人の職人として、錬鉄科の仕事を請け負ってるみたいなんだ。ふたりとも、家族がいる身だからね……。			若き経営者、イオラ							
だからこそ！何としても新商品開発を成功させて、ふたりを連れ戻すんだ！			だからこそ！何としても新商品開発を成功させて、ふたりを連れ戻すんだ！			若き経営者、イオラ							
そして、もし……借金のカタに手放した、あの指輪を取り戻すことができれば……。いや、そりゃ欲張りすぎってもんか……。			そして、もし……借金のカタに手放した、あの指輪を取り戻すことができれば……。いや、そりゃ欲張りすぎってもんか……。			若き経営者、イオラ							
イオラになんと言う？			イオラになんと言う？			若き経営者、イオラ							
あの指輪とは？			あの指輪とは？			若き経営者、イオラ							
借金のカタって？			借金のカタって？			若き経営者、イオラ							
親父は、黒鉄工房の経営が傾き始めた頃に、ワルデンっていう金貸しから、借金をしたみたいなんだ。返すアテもないのにね……。			親父は、黒鉄工房の経営が傾き始めた頃に、ワルデンっていう金貸しから、借金をしたみたいなんだ。返すアテもないのにね……。			若き経営者、イオラ							
結局、返済期限がきて、ある指輪をカタとして取られちまった。今は亡き母さんのために、親父自身が作った指輪をね。			結局、返済期限がきて、ある指輪をカタとして取られちまった。今は亡き母さんのために、親父自身が作った指輪をね。			若き経営者、イオラ							
私にとって、あの指輪は両親との絆そのもの……。できれば取り戻したい、けど…………			私にとって、あの指輪は両親との絆そのもの……。できれば取り戻したい、けど…………			若き経営者、イオラ							
……いや、甘えるな、イオラ……。私が考えるべきは、黒鉄工房の経営を立て直して、コラーナたちを連れ戻すことだろ……。			……いや、甘えるな、イオラ……。私が考えるべきは、黒鉄工房の経営を立て直して、コラーナたちを連れ戻すことだろ……。			若き経営者、イオラ							
さて、そんなことより、ズン族向けの新商品を開発しなきゃね！さあ、どんな製品を作るか決まった？			さて、そんなことより、ズン族向けの新商品を開発しなきゃね！さあ、どんな製品を作るか決まった？			若き経営者、イオラ							
そう簡単には思いつかないか……。そういえば、キミって水晶公の同郷なんだよね……？			そう簡単には思いつかないか……。そういえば、キミって水晶公の同郷なんだよね……？			若き経営者、イオラ							
地元に、ズン族と似た人たちがいたら、新商品の参考にならないかと思って……。どう、よく思い出してみて！			地元に、ズン族と似た人たちがいたら、新商品の参考にならないかと思って……。どう、よく思い出してみて！			若き経営者、イオラ							
ズン族は、アマルジャ族に似ていた。彼らの身につけていた品が、参考になるかもしれない。作るべき新商品を考えよう……。			ズン族は、アマルジャ族に似ていた。彼らの身につけていた品が、参考になるかもしれない。作るべき新商品を考えよう……。			若き経営者、イオラ							
ズン族のための新商品は？			ズン族のための新商品は？			若き経営者、イオラ							
金属製の手甲			金属製の手甲			若き経営者、イオラ							
金属製のアマロ			金属製のアマロ			若き経営者、イオラ							
金属製のアマロ？それを造ってどうするの？飾るにしても、すごく邪魔になりそうだけど！？			金属製のアマロ？それを造ってどうするの？飾るにしても、すごく邪魔になりそうだけど！？			若き経営者、イオラ							
なるほど、手甲か……。ズン族はアマロに噛まれて怪我をすることもあると言っていたっけ。それが正解なのか、私にはわからない、けど……			なるほど、手甲か……。ズン族はアマロに噛まれて怪我をすることもあると言っていたっけ。それが正解なのか、私にはわからない、けど……			若き経営者、イオラ							
キミを信じるって決めたからね！「金属製の手甲」の製作をお願いするよ！			キミを信じるって決めたからね！「金属製の手甲」の製作をお願いするよ！			若き経営者、イオラ							
「錬鉄科」のミーン工芸館取引が開放されました！依頼されたアイテムをイオラに納品し、貢献していきましょう！			「錬鉄科」のミーン工芸館取引が開放されました！依頼されたアイテムをイオラに納品し、貢献していきましょう！			若き経営者、イオラ							
お、おかえりなさい……。			お、おかえりなさい……。			若き経営者、イオラ							
アマロの飼育は楽な仕事じゃない。実際、噛まれた傷が原因で病になり、命を落とすこともある。それを防げる製品があれば、買い手もいるだろう。			アマロの飼育は楽な仕事じゃない。実際、噛まれた傷が原因で病になり、命を落とすこともある。それを防げる製品があれば、買い手もいるだろう。			若き経営者、イオラ							
ミーン工芸館のイオラは、考えごとをしているようだ。			ミーン工芸館のイオラは、考えごとをしているようだ。			新たな顧客はン・モゥ族							
風化した大地のイオラと話す			風化した大地のイオラと話す			新たな顧客はン・モゥ族							
フッブーテンブルクのイオラと話す			フッブーテンブルクのイオラと話す			新たな顧客はン・モゥ族							
プラ・エンニ茸窟のイオラと話す			プラ・エンニ茸窟のイオラと話す			新たな顧客はン・モゥ族							
ミーン工芸館のイオラと話す			ミーン工芸館のイオラと話す			新たな顧客はン・モゥ族							
製作手帳 ミーン工芸館取引：金属製の香炉を製作イオラに金属製の香炉を納品			製作手帳 ミーン工芸館取引：金属製の香炉を製作イオラに金属製の香炉を納品			新たな顧客はン・モゥ族							
本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「アクトラ・オルワ・イン」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「アクトラ・オルワ・イン」を完了する必要があります。			新たな顧客はン・モゥ族							
うーん……いったいどうすれば……。			うーん……いったいどうすれば……。			新たな顧客はン・モゥ族							
あ、Forenameちゃん君。ちょっと聞いてほしい話があるんだ。			あ、Forenameちゃん君。ちょっと聞いてほしい話があるんだ。			新たな顧客はン・モゥ族							
キミの協力のおかげで、ズン族やモルド族、オンド族と取引関係を結ぶことができた。衛兵団しか顧客がいなかった頃を思えば、大躍進……なんだけど。			キミの協力のおかげで、ズン族やモルド族、オンド族と取引関係を結ぶことができた。衛兵団しか顧客がいなかった頃を思えば、大躍進……なんだけど。			新たな顧客はン・モゥ族							
実は、エイスモン君に給料を支払ったり、コラーナとスー・レンドを呼び戻すために使ったお金を差し引くと、黒鉄工房には、ほとんど資金が残らないのが現状なんだよ。			実は、エイスモン君に給料を支払ったり、コラーナとスー・レンドを呼び戻すために使ったお金を差し引くと、黒鉄工房には、ほとんど資金が残らないのが現状なんだよ。			新たな顧客はン・モゥ族							
この状況を打破するための方法はふたつ。大口取引をしてくれる太い顧客を探すか、エイスモン君の給料をカットするか。			この状況を打破するための方法はふたつ。大口取引をしてくれる太い顧客を探すか、エイスモン君の給料をカットするか。			新たな顧客はン・モゥ族							
イオラになんと言う？			イオラになんと言う？			新たな顧客はン・モゥ族							
新商品を開発しよう			新商品を開発しよう			新たな顧客はン・モゥ族							
エイスモンの給料を減らそう			エイスモンの給料を減らそう			新たな顧客はン・モゥ族							
うん、やっぱりそれがいいよね。ありがとう、Forenameちゃん君！			うん、やっぱりそれがいいよね。ありがとう、Forenameちゃん君！			新たな顧客はン・モゥ族							
よっしゃあっ、決まりね！エイスモン君の給料を10割引にしてもらおう！			よっしゃあっ、決まりね！エイスモン君の給料を10割引にしてもらおう！			新たな顧客はン・モゥ族							
……なんて、さすがに私も言えないよ。白ミミズが好物なのはアレだけど、悪い人じゃないし……。やっぱり、新たな顧客を探すしかないか。			……なんて、さすがに私も言えないよ。白ミミズが好物なのはアレだけど、悪い人じゃないし……。やっぱり、新たな顧客を探すしかないか。			新たな顧客はン・モゥ族							
実は、すでに次の顧客の目星はついているんだ。それは、犬のような姿をしたイル・メグに住む妖精、ン・モゥ族。フッブート王国が在った頃は、人とも友好的な関係にあったとか。			実は、すでに次の顧客の目星はついているんだ。それは、犬のような姿をしたイル・メグに住む妖精、ン・モゥ族。フッブート王国が在った頃は、人とも友好的な関係にあったとか。			新たな顧客はン・モゥ族							
なんでも噂によれば、公正な取引なら、応じてもらえるんだとか……。問題は、妖精が支配するイル・メグは、危険がいっぱいってこと。			なんでも噂によれば、公正な取引なら、応じてもらえるんだとか……。問題は、妖精が支配するイル・メグは、危険がいっぱいってこと。			新たな顧客はン・モゥ族							
彼らに認められた人が一緒だったら、話ぐらい聞いてくれそうなもんだけど……。そんなの、都合よく近くにいるわけないよねぇ？			彼らに認められた人が一緒だったら、話ぐらい聞いてくれそうなもんだけど……。そんなの、都合よく近くにいるわけないよねぇ？			新たな顧客はン・モゥ族							
何と答える？			何と答える？			新たな顧客はン・モゥ族							
ン・モゥ族とは面識がある			ン・モゥ族とは面識がある			新たな顧客はン・モゥ族							
妖精と話すことができる			妖精と話すことができる			新たな顧客はン・モゥ族							
うわぁ、いたよ！それもこんな近くに！！			うわぁ、いたよ！それもこんな近くに！！			新たな顧客はン・モゥ族							
でも、渡りに船とはまさにこのこと！キミがいれば、ン・モゥ族に会うことができるはず！旅の用意をしてくるから、イル・メグまでの道中で合流しよう！			でも、渡りに船とはまさにこのこと！キミがいれば、ン・モゥ族に会うことができるはず！旅の用意をしてくるから、イル・メグまでの道中で合流しよう！			新たな顧客はン・モゥ族							
さて、この先がイル・メグね。妖精が驚かせてくるかもしれないけど……はっきり言って無駄です！そんなことで動じる私じゃないってわけ！			さて、この先がイル・メグね。妖精が驚かせてくるかもしれないけど……はっきり言って無駄です！そんなことで動じる私じゃないってわけ！			新たな顧客はン・モゥ族							
さあ、新たな顧客との出会いに、しゅっぱーつ！！			さあ、新たな顧客との出会いに、しゅっぱーつ！！			新たな顧客はン・モゥ族							
先ほど、僕の給料をカットするとかどうとか、不穏なワードが聞こえた気がしたんですが……。僕の気のせいですよね……ね？			先ほど、僕の給料をカットするとかどうとか、不穏なワードが聞こえた気がしたんですが……。僕の気のせいですよね……ね？			新たな顧客はン・モゥ族							
うぎゃぁ～～～！！見えない何かがペタペタ触ってくる～～～～！！気持ちわり～～～～～！！！			うぎゃぁ～～～！！見えない何かがペタペタ触ってくる～～～～！！気持ちわり～～～～～！！！			新たな顧客はン・モゥ族							
あ、Forenameちゃん君～～～！早くン・モゥ族の集落に行くぞ～～～！！			あ、Forenameちゃん君～～～！早くン・モゥ族の集落に行くぞ～～～！！			新たな顧客はン・モゥ族							
おや、君は……長老から石の杖を与えられた冒険者ではないか。			おや、君は……長老から石の杖を与えられた冒険者ではないか。			新たな顧客はン・モゥ族							
こちらのお嬢さんは、君の連れかい？			こちらのお嬢さんは、君の連れかい？			新たな顧客はン・モゥ族							
あ、えっと……私、キミたちと取引がしたいの！かつてフッブート王国に仕えていたン・モゥ族は、フッブート金貨を持っているはず……それがほしい！			あ、えっと……私、キミたちと取引がしたいの！かつてフッブート王国に仕えていたン・モゥ族は、フッブート金貨を持っているはず……それがほしい！			新たな顧客はン・モゥ族							
ほう、なるほど。取引には相応の対価を要求するのが、我々、ン・モゥ族だ。金貨と釣り合いの取れる物でなければ、応じることはできないよ。			ほう、なるほど。取引には相応の対価を要求するのが、我々、ン・モゥ族だ。金貨と釣り合いの取れる物でなければ、応じることはできないよ。			新たな顧客はン・モゥ族							
ところで、君たちからは鉄の匂いがするね。もしや、鉄を扱う職人なのか？			ところで、君たちからは鉄の匂いがするね。もしや、鉄を扱う職人なのか？			新たな顧客はン・モゥ族							
ならば、「金属製の香炉」を造ってもらえないか？フッブート王国亡き後、この地から人が去ったことで、新しい香炉を手に入れることができず、困っていたのだ。			ならば、「金属製の香炉」を造ってもらえないか？フッブート王国亡き後、この地から人が去ったことで、新しい香炉を手に入れることができず、困っていたのだ。			新たな顧客はン・モゥ族							
金属製の香炉か……よし、わかったよ！黒鉄工房の名に懸けて、素晴らしい逸品を用意してみせる！設計するのは、私じゃないけど……。			金属製の香炉か……よし、わかったよ！黒鉄工房の名に懸けて、素晴らしい逸品を用意してみせる！設計するのは、私じゃないけど……。			新たな顧客はン・モゥ族							
では、完成した頃合いを見て、君の工房に伺うとしよう。			では、完成した頃合いを見て、君の工房に伺うとしよう。			新たな顧客はン・モゥ族							
そうと決まれば、すぐに取りかからなくちゃ！「ミーン工芸館」に戻りましょ！			そうと決まれば、すぐに取りかからなくちゃ！「ミーン工芸館」に戻りましょ！			新たな顧客はン・モゥ族							
Forenameちゃん君、おかえり。			Forenameちゃん君、おかえり。			新たな顧客はン・モゥ族							
ン・モゥ族をこの目で見るのは初めてだったけど、話に聞いたとおり、犬みたいな種族だったね。可愛いかどうかは、正直微妙な所だけど……。			ン・モゥ族をこの目で見るのは初めてだったけど、話に聞いたとおり、犬みたいな種族だったね。可愛いかどうかは、正直微妙な所だけど……。			新たな顧客はン・モゥ族							
ともかく、この取引が上手くいったら、フッブート金貨がザクザクと手に入るかもしれない！そうなれば、黒鉄工房の経営は安泰……の、はず！			ともかく、この取引が上手くいったら、フッブート金貨がザクザクと手に入るかもしれない！そうなれば、黒鉄工房の経営は安泰……の、はず！			新たな顧客はン・モゥ族							
さて、それじゃ、ニイ＝マーンに頼まれた「金属製の香炉」の製作に取りかかろう！			さて、それじゃ、ニイ＝マーンに頼まれた「金属製の香炉」の製作に取りかかろう！			新たな顧客はン・モゥ族							
材料が足りなかったら、「エイスモン」君に言ってね！			材料が足りなかったら、「エイスモン」君に言ってね！			新たな顧客はン・モゥ族							
フッブート金貨という報酬に見合うだけの物が造れるか、楽しみに待っているよ。			フッブート金貨という報酬に見合うだけの物が造れるか、楽しみに待っているよ。			新たな顧客はン・モゥ族							
黒鉄工房の経営を安定させるために、なんとしてもン・モゥ族との取引を成功させなきゃ！「金属製の香炉」ができたら、私に渡して！			黒鉄工房の経営を安定させるために、なんとしてもン・モゥ族との取引を成功させなきゃ！「金属製の香炉」ができたら、私に渡して！			新たな顧客はン・モゥ族							
金属製の香炉、確かに受け取ったよ！さすが、惚れ惚れする出来映えだね！これなら、依頼人も納得してくれるはずだよ！			金属製の香炉、確かに受け取ったよ！さすが、惚れ惚れする出来映えだね！これなら、依頼人も納得してくれるはずだよ！			新たな顧客はン・モゥ族							
あとは、ニイ＝マーンが来るのを待つだけだけど……そうだ、追いかけっこでもして時間を潰さない？			あとは、ニイ＝マーンが来るのを待つだけだけど……そうだ、追いかけっこでもして時間を潰さない？			新たな顧客はン・モゥ族							
(-？？？？-)やあやあ、ここがヒトの新しい都、クリスタリウムか……！なかなかに賑やかな場所じゃないか。			(-？？？？-)やあやあ、ここがヒトの新しい都、クリスタリウムか……！なかなかに賑やかな場所じゃないか。			新たな顧客はン・モゥ族							
な、なんじゃこりゃぁぁぁぁ！しゃべる豚が飛んできたぞ！？			な、なんじゃこりゃぁぁぁぁ！しゃべる豚が飛んできたぞ！？			新たな顧客はン・モゥ族							
期待通りの反応をありがとう。これは私……ニイ＝マーンが操っている使い魔さ。			期待通りの反応をありがとう。これは私……ニイ＝マーンが操っている使い魔さ。			新たな顧客はン・モゥ族							
我らン・モゥにとっては、結びつきの強いイル・メグを出るのは、どうにも億劫でね……使い魔越しに失礼させてもらうよ。それよりも、香炉を見せてもらおうじゃないか。			我らン・モゥにとっては、結びつきの強いイル・メグを出るのは、どうにも億劫でね……使い魔越しに失礼させてもらうよ。それよりも、香炉を見せてもらおうじゃないか。			新たな顧客はン・モゥ族							
ほほう……。なんとも見慣れない意匠だが……嫌いじゃない。むしろ、情緒があっていいじゃないか。			ほほう……。なんとも見慣れない意匠だが……嫌いじゃない。むしろ、情緒があっていいじゃないか。			新たな顧客はン・モゥ族							
金属製なこともあり、熱にも強そうだ。これならば、忌々しいヤツらを燻り殺すこともわけなさそうだ。			金属製なこともあり、熱にも強そうだ。これならば、忌々しいヤツらを燻り殺すこともわけなさそうだ。			新たな顧客はン・モゥ族							
急に物騒な話になったし！忌々しいヤツらって？			急に物騒な話になったし！忌々しいヤツらって？			新たな顧客はン・モゥ族							
プラ・エンニ茸窟はジメジメしてるから、羽虫が多くてね。ここ最近は、ヤツらのやかましい羽音のせいで、瞑想に集中することができなかった。			プラ・エンニ茸窟はジメジメしてるから、羽虫が多くてね。ここ最近は、ヤツらのやかましい羽音のせいで、瞑想に集中することができなかった。			新たな顧客はン・モゥ族							
だが、この香炉を使って煙で燻せば、一網打尽だろう。実に良い品を造ってくれたね。			だが、この香炉を使って煙で燻せば、一網打尽だろう。実に良い品を造ってくれたね。			新たな顧客はン・モゥ族							
フッブート王国が在った頃は、ヒトの職人たちにこうした品の製作を依頼していたものだが……今や、金貨を使って取引することもなくなったよ。			フッブート王国が在った頃は、ヒトの職人たちにこうした品の製作を依頼していたものだが……今や、金貨を使って取引することもなくなったよ。			新たな顧客はン・モゥ族							
んじゃ、かなりの金貨を貯め込んでいるはずだね。それ全部、うちの工房が搾り取ってみせるよ。			んじゃ、かなりの金貨を貯め込んでいるはずだね。それ全部、うちの工房が搾り取ってみせるよ。			新たな顧客はン・モゥ族							
フフフ、相変わらず面白い娘だ。今回のような取引ができれば、いずれその願いも叶うかもしれない。そのためにも、今後も良い関係を続けていこうじゃないか。			フフフ、相変わらず面白い娘だ。今回のような取引ができれば、いずれその願いも叶うかもしれない。そのためにも、今後も良い関係を続けていこうじゃないか。			新たな顧客はン・モゥ族							
ふぅ、なんとか気に入ってもらえたかな。それもこれも、全部キミのおかげだけどね。			ふぅ、なんとか気に入ってもらえたかな。それもこれも、全部キミのおかげだけどね。			新たな顧客はン・モゥ族							
何はともあれ、黒鉄工房の経営は安泰！すべてが元通り、何も心配する必要がなくなったよ！			何はともあれ、黒鉄工房の経営は安泰！すべてが元通り、何も心配する必要がなくなったよ！			新たな顧客はン・モゥ族							
イオラになんと言う？			イオラになんと言う？			新たな顧客はン・モゥ族							
指輪はいいのか？			指輪はいいのか？			新たな顧客はン・モゥ族							
