ベイサイド・ベヴィーのナシュ・マカラッカは、何かを探しているようだ。			ベイサイド・ベヴィーのナシュ・マカラッカは、何かを探しているようだ。			事件屋の行方							
トゥルービューという通り？では、そこで聞き込み開始です！何かわかったら、ナシュに教えてくださいね～！			トゥルービューという通り？では、そこで聞き込み開始です！何かわかったら、ナシュに教えてくださいね～！			事件屋の行方							
ふむふむ……それで……？			ふむふむ……それで……？			事件屋の行方							
事件だって？そういや、盗難事件があったって話を聞いたな。			事件だって？そういや、盗難事件があったって話を聞いたな。			事件屋の行方							
この街は平和なところだが、人が住んでる以上、ときには、そういった小さな事件だって起こるのさ。			この街は平和なところだが、人が住んでる以上、ときには、そういった小さな事件だって起こるのさ。			事件屋の行方							
事件ねぇ……。ガウガウ言う妙な生き物が噂になってるが、あれは事件ってほどじゃねぇか。			事件ねぇ……。ガウガウ言う妙な生き物が噂になってるが、あれは事件ってほどじゃねぇか。			事件屋の行方							
それなら、ついさっき事件があったらしくてさ、出動していく機械兵を見かけたよ。			それなら、ついさっき事件があったらしくてさ、出動していく機械兵を見かけたよ。			事件屋の行方							
現場はこの近くだと思うけど……すまないが、詳しい場所まではわからないや。			現場はこの近くだと思うけど……すまないが、詳しい場所まではわからないや。			事件屋の行方							
盗難事件があったって話を聞いたな。この街は平和なところだが、人が住んでる以上、ときには、そういった小さな事件だって起こるのさ。			盗難事件があったって話を聞いたな。この街は平和なところだが、人が住んでる以上、ときには、そういった小さな事件だって起こるのさ。			事件屋の行方							
ガウガウ言う妙な生き物が噂になってるが……まあ事件ってほどじゃねぇか。			ガウガウ言う妙な生き物が噂になってるが……まあ事件ってほどじゃねぇか。			事件屋の行方							
ついさっき事件があったらしくてさ、出動していく機械兵を見かけたよ。現場はこの近くだと思うけど、詳しい場所まではわからない。			ついさっき事件があったらしくてさ、出動していく機械兵を見かけたよ。現場はこの近くだと思うけど、詳しい場所まではわからない。			事件屋の行方							
ナシュも盗難事件があったって聞きました～！現場はこの近くの酒場らしいです！			ナシュも盗難事件があったって聞きました～！現場はこの近くの酒場らしいです！			事件屋の行方							
場所も聞いてるので、一緒に向かいましょう～！			場所も聞いてるので、一緒に向かいましょう～！			事件屋の行方							
盗まれた蒸留酒は年代物で、ウチの店でもっとも高価だったんだ！早く犯人を見つけてくれ！			盗まれた蒸留酒は年代物で、ウチの店でもっとも高価だったんだ！早く犯人を見つけてくれ！			事件屋の行方							
(-渋い男性の声-)俺に任せてくれ、事件はもう解決したも同然だ……犯人は目の前にいる。			(-渋い男性の声-)俺に任せてくれ、事件はもう解決したも同然だ……犯人は目の前にいる。			事件屋の行方							
(-ロングコートの男-)蒸留酒を盗んだのは店員のアンタだ……！			(-ロングコートの男-)蒸留酒を盗んだのは店員のアンタだ……！			事件屋の行方							
な、なんで僕が……			な、なんで僕が……			事件屋の行方							
(-ロングコートの男-)最近、魂資源の供給が絶たれたことで、ストックがない連中の間で、違法取引が増加していてな。対価として高級品を求められるケースもあるそうだ。			(-ロングコートの男-)最近、魂資源の供給が絶たれたことで、ストックがない連中の間で、違法取引が増加していてな。対価として高級品を求められるケースもあるそうだ。			事件屋の行方							
(-ロングコートの男-)店でもっとも高価な蒸留酒だったら、きっと、魂と交換するには申し分ないだろう。			(-ロングコートの男-)店でもっとも高価な蒸留酒だったら、きっと、魂と交換するには申し分ないだろう。			事件屋の行方							
(-ロングコートの男-)ところで、手持ちの魂資源が、正規のものか、違法なものか見分ける方法があるんだぜ？レギュレーターの履歴を見ればいいのさ。			(-ロングコートの男-)ところで、手持ちの魂資源が、正規のものか、違法なものか見分ける方法があるんだぜ？レギュレーターの履歴を見ればいいのさ。			事件屋の行方							
(-ロングコートの男-)レギュレーターを見せられないなら、それでも構わないぞ。蒸留酒を保管していた収納ケースを見てきたが、違法ツールで開けられた形跡があった。			(-ロングコートの男-)レギュレーターを見せられないなら、それでも構わないぞ。蒸留酒を保管していた収納ケースを見てきたが、違法ツールで開けられた形跡があった。			事件屋の行方							
(-ロングコートの男-)だが、素人があれを使うと、雷気が逆流して、手に小さな火傷を負うことが多いんだ。ちょうど、アンタの手についているのと同じようにな。			(-ロングコートの男-)だが、素人があれを使うと、雷気が逆流して、手に小さな火傷を負うことが多いんだ。ちょうど、アンタの手についているのと同じようにな。			事件屋の行方							
(-ロングコートの男-)さあ、観念するんだな！！			(-ロングコートの男-)さあ、観念するんだな！！			事件屋の行方							
もう魂資源が供給されないなんて、不安で仕方なくて……つい出来心で……。			もう魂資源が供給されないなんて、不安で仕方なくて……つい出来心で……。			事件屋の行方							
(-ロングコートの男-)これで片付いたな。あとはアンタらに任せたぜ……あばよ。			(-ロングコートの男-)これで片付いたな。あとはアンタらに任せたぜ……あばよ。			事件屋の行方							
もしかしてあの人、ヒルディブランド様じゃないですか～？			もしかしてあの人、ヒルディブランド様じゃないですか～？			事件屋の行方							
何と言う？			何と言う？			事件屋の行方							
口調が違う			口調が違う			事件屋の行方							
雰囲気が違う			雰囲気が違う			事件屋の行方							
UFOが落ちたショックとかで、きっと記憶を失ってるんですよ！ナシュのお薬の出番です～！			UFOが落ちたショックとかで、きっと記憶を失ってるんですよ！ナシュのお薬の出番です～！			事件屋の行方							
何と言う？			何と言う？			事件屋の行方							
ここじゃ危ない			ここじゃ危ない			事件屋の行方							
もう少し観察してみよう			もう少し観察してみよう			事件屋の行方							
う～ん、わかりました。			う～ん、わかりました。			事件屋の行方							
それじゃあ、ヒルディブランド様らしき人の、あとを追ってみましょう～。			それじゃあ、ヒルディブランド様らしき人の、あとを追ってみましょう～。			事件屋の行方							
ヒルディブランド様らしき人、この先に歩いていきました～。			ヒルディブランド様らしき人、この先に歩いていきました～。			事件屋の行方							
ヒルディブランド様にそっくりですけど、年齢が違うみたいです～。			ヒルディブランド様にそっくりですけど、年齢が違うみたいです～。			事件屋の行方							
ドーム内では30年の時間が経っている？ということは……ヒルディブランド様、50歳くらいですかね～。			ドーム内では30年の時間が経っている？ということは……ヒルディブランド様、50歳くらいですかね～。			事件屋の行方							
記憶をなくしたまま、この街で暮らしてたんでしょうか。ナシュのお薬で、思い出してもらいましょう～！			記憶をなくしたまま、この街で暮らしてたんでしょうか。ナシュのお薬で、思い出してもらいましょう～！			事件屋の行方							
(-ロングコートの男-)この俺が尾行に気づかないとでも……？			(-ロングコートの男-)この俺が尾行に気づかないとでも……？			事件屋の行方							
(-ロングコートの男-)何者か知らないが、爆弾とは穏やかじゃない。そいつは危険だからしまっとけ。			(-ロングコートの男-)何者か知らないが、爆弾とは穏やかじゃない。そいつは危険だからしまっとけ。			事件屋の行方							
(-ロングコートの男-)ふたりとも、俺と同じくレギュレーターを着けてないようだ。命は大事にするんだな。			(-ロングコートの男-)ふたりとも、俺と同じくレギュレーターを着けてないようだ。命は大事にするんだな。			事件屋の行方							
大胆不敵で知的な紳士の、事件屋ヒルディブランド様ですよね？ナシュたちのことを思い出してくださいよ～！			大胆不敵で知的な紳士の、事件屋ヒルディブランド様ですよね？ナシュたちのことを思い出してくださいよ～！			事件屋の行方							
(-ロングコートの男-)事件屋だって？なんだそいつは……？			(-ロングコートの男-)事件屋だって？なんだそいつは……？			事件屋の行方							
(-ロングコートの男-)俺は、冷静沈着でニヒルなタフガイ……			(-ロングコートの男-)俺は、冷静沈着でニヒルなタフガイ……			事件屋の行方							
探偵ハルディボイルドだ。			探偵ハルディボイルドだ。			事件屋の行方							
素敵です～！記憶を失っても、やっぱりヒルディブランド様ですね～！			素敵です～！記憶を失っても、やっぱりヒルディブランド様ですね～！			事件屋の行方							
悪いが、人違いだな……。			悪いが、人違いだな……。			事件屋の行方							
ゆで卵がお好きなら、これ、差し上げますよ～！			ゆで卵がお好きなら、これ、差し上げますよ～！			事件屋の行方							
気が利くな。ありがたくもらっとくぜ。			気が利くな。ありがたくもらっとくぜ。			事件屋の行方							
まいったぜ……俺のハートに火を点けようってのか？			まいったぜ……俺のハートに火を点けようってのか？			事件屋の行方							
やっぱり人違いなんでしょうか～？頑丈なところも、ヒルディブランド様に似てるんですけど～。			やっぱり人違いなんでしょうか～？頑丈なところも、ヒルディブランド様に似てるんですけど～。			事件屋の行方							
何と言う？			何と言う？			事件屋の行方							
ドーム内にはそっくりの人がいたりする			ドーム内にはそっくりの人がいたりする			事件屋の行方							
ヒルディブランドと同じ魂を持っているのかも			ヒルディブランドと同じ魂を持っているのかも			事件屋の行方							
よくわかんないですけど、やっぱり別人ってことなんですね～。また探さなきゃです～。			よくわかんないですけど、やっぱり別人ってことなんですね～。また探さなきゃです～。			事件屋の行方							
アンタたち人探ししてるみたいだな？だったら、この探偵ハルディボイルドに任せてくれ。			アンタたち人探ししてるみたいだな？だったら、この探偵ハルディボイルドに任せてくれ。			事件屋の行方							
それは助かります～！			それは助かります～！			事件屋の行方							
どうやら、探している男は俺に似ているようだ。名はフィルディグランドと言ったか？			どうやら、探している男は俺に似ているようだ。名はフィルディグランドと言ったか？			事件屋の行方							
さっそくピンと来たぞ、すぐに探し出してやるぜ。			さっそくピンと来たぞ、すぐに探し出してやるぜ。			事件屋の行方							
本当にヒルディブランド様じゃないんでしょうか～？			本当にヒルディブランド様じゃないんでしょうか～？			事件屋の行方							
早くヒルディブランド様と再会したいところですが、この街はナシュのわからないことだらけです。ひとまず、ハルディボイルドさんによる捜索を待ってみますね～。			早くヒルディブランド様と再会したいところですが、この街はナシュのわからないことだらけです。ひとまず、ハルディボイルドさんによる捜索を待ってみますね～。			事件屋の行方							
それでは、冒険者さん、またしばらくしたら、ここに来てください～！			それでは、冒険者さん、またしばらくしたら、ここに来てください～！			事件屋の行方							
人探しの依頼を受けた俺はネオン煌めく眠らない街を奔走する			人探しの依頼を受けた俺はネオン煌めく眠らない街を奔走する			事件屋の行方							
消えた男はいったいどこに？捜索は難航し  謎が謎を呼ぶ			消えた男はいったいどこに？捜索は難航し  謎が謎を呼ぶ			事件屋の行方							
やがて浮かび上がる  巨大な陰謀……			やがて浮かび上がる  巨大な陰謀……			事件屋の行方							
新シリーズ  探偵ハルディボイルド期待してくれ			新シリーズ  探偵ハルディボイルド期待してくれ			事件屋の行方							
事件屋ヒルディブランド黄金編！いよいよ始まりです～！			事件屋ヒルディブランド黄金編！いよいよ始まりです～！			事件屋の行方							
事件当日まで何が起こるかわかりませんっ！実際の事件現場を目撃することになるのは……アナタですよ～！			事件当日まで何が起こるかわかりませんっ！実際の事件現場を目撃することになるのは……アナタですよ～！			事件屋の行方							
レクリエーションゾーンのナシュ・マカラッカは、捜索の進展を待っているようだ。			レクリエーションゾーンのナシュ・マカラッカは、捜索の進展を待っているようだ。			実直な探偵							
前回までの冒険録：冒険者はナシュ・マカラッカと再会し、行方不明のヒルディブランドを探してソリューション・ナインに向かう。冒険者たちは、そこでヒルディブランドそっくりの探偵ハルディボイルドと遭遇。彼は消えた事件屋の捜索を引き受け、ネオン煌めく街にひとり消えるのだった。　　　　　　　　　　　　*　*　*ナシュ・マカラッカと話したところに、ハルディボイルドが現れ、墜落したUFOを探すことになった。ソリューション・ナインのレジデンシャルセクターにいる、「ハルディボイルド」と話そう。			前回までの冒険録：冒険者はナシュ・マカラッカと再会し、行方不明のヒルディブランドを探してソリューション・ナインに向かう。冒険者たちは、そこでヒルディブランドそっくりの探偵ハルディボイルドと遭遇。彼は消えた事件屋の捜索を引き受け、ネオン煌めく街にひとり消えるのだった。　　　　　　　　　　　　*　*　*ナシュ・マカラッカと話したところに、ハルディボイルドが現れ、墜落したUFOを探すことになった。ソリューション・ナインのレジデンシャルセクターにいる、「ハルディボイルド」と話そう。			実直な探偵							
ハルディボイルドと共に、UFOの挿絵を見せて情報を集めることになった。レジデンシャルセクターの「ハルディボイルド」と話し、同行させよう。			ハルディボイルドと共に、UFOの挿絵を見せて情報を集めることになった。レジデンシャルセクターの「ハルディボイルド」と話し、同行させよう。			実直な探偵							
ハルディボイルドと同行を開始した。ハルディボイルドを連れた状態で、レジデンシャルセクターにいる中高年者に「UFOの挿絵」を見せて情報を集めよう。※同行状態が解除された場合、レジデンシャルセクターの「ハルディボイルド」に話しかけることで同行を再開できます。			ハルディボイルドと同行を開始した。ハルディボイルドを連れた状態で、レジデンシャルセクターにいる中高年者に「UFOの挿絵」を見せて情報を集めよう。※同行状態が解除された場合、レジデンシャルセクターの「ハルディボイルド」に話しかけることで同行を再開できます。			実直な探偵							
UFOの情報は得られなかった。ハルディボイルドを連れた状態で、レジデンシャルセクターにいる「シャトナ族の男性」に、「UFOの挿絵」を見せて情報を集めよう。			UFOの情報は得られなかった。ハルディボイルドを連れた状態で、レジデンシャルセクターにいる「シャトナ族の男性」に、「UFOの挿絵」を見せて情報を集めよう。			実直な探偵							
シャトナ族の男性によると、UFOがユウェヤーワータの方に墜落したようだ。ハルディボイルドを連れた状態で、レジデンシャルセクターにいる「ナシュ・マカラッカ」と話そう。			シャトナ族の男性によると、UFOがユウェヤーワータの方に墜落したようだ。ハルディボイルドを連れた状態で、レジデンシャルセクターにいる「ナシュ・マカラッカ」と話そう。			実直な探偵							
拾得人に協力してもらって、ユウェヤーワータに向かうことになった。ヘリテージファウンドのドリフトダウンズにいる「ヒューネ族の拾得人」と話そう。			拾得人に協力してもらって、ユウェヤーワータに向かうことになった。ヘリテージファウンドのドリフトダウンズにいる「ヒューネ族の拾得人」と話そう。			実直な探偵							
ヒューネ族の拾得人にユウェヤーワータに送ってもらった。ユウェヤーワータのカニロッカ技研にいる「ハルディボイルド」と話そう。一度離れた場合は、ドリフトダウンズにいる「ヒューネ族の拾得人」と話せば再度向かえるようだ。			ヒューネ族の拾得人にユウェヤーワータに送ってもらった。ユウェヤーワータのカニロッカ技研にいる「ハルディボイルド」と話そう。一度離れた場合は、ドリフトダウンズにいる「ヒューネ族の拾得人」と話せば再度向かえるようだ。			実直な探偵							
ハルディボイルドと話した。ユウェヤーワータのカニロッカ技研で、UFOの手がかりを探そう。			ハルディボイルドと話した。ユウェヤーワータのカニロッカ技研で、UFOの手がかりを探そう。			実直な探偵							
