採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			イディルシャイアの工房							
そんなキミに、また新しい仕事を紹介したいの。今度の依頼主は、イディルシャイアって街の工房。技術開発に協力してくれる採掘師を探しているそうよ。			そんなキミに、また新しい仕事を紹介したいの。今度の依頼主は、イディルシャイアって街の工房。技術開発に協力してくれる採掘師を探しているそうよ。			イディルシャイアの工房							
目的が目的なだけに、希少な鉱石も求められるはず。キミのような、一流の採掘師にしか紹介できない仕事よ。受けてくれるなら、「リネット」から身元保証書を受け取って！			目的が目的なだけに、希少な鉱石も求められるはず。キミのような、一流の採掘師にしか紹介できない仕事よ。受けてくれるなら、「リネット」から身元保証書を受け取って！			イディルシャイアの工房							
イディルシャイアかあ……あたしはよく知らないけど、キミは前回の仕事でも行ってるし、慣れた場所よね？そういう意味でも、キミが受けてくれれば安心だわ。			イディルシャイアかあ……あたしはよく知らないけど、キミは前回の仕事でも行ってるし、慣れた場所よね？そういう意味でも、キミが受けてくれれば安心だわ。			イディルシャイアの工房							
イディルシャイアでのお仕事に、向かわれるのですね！身元保証書は、すでに用意してあります。			イディルシャイアでのお仕事に、向かわれるのですね！身元保証書は、すでに用意してあります。			イディルシャイアの工房							
詳細は現地にて、依頼人の「ノノワト」様からお聞きください。こちらの封書をお渡しいただければ、話が通るはずです。あなたの一層のご活躍、期待してます！			詳細は現地にて、依頼人の「ノノワト」様からお聞きください。こちらの封書をお渡しいただければ、話が通るはずです。あなたの一層のご活躍、期待してます！			イディルシャイアの工房							
「イディルシャイア」での仕事の詳細は、現地にて、依頼人の「ノノワト」様からお聞きください。「採掘師ギルドの封書」をお渡しいただければ、話が通るはずです。			「イディルシャイア」での仕事の詳細は、現地にて、依頼人の「ノノワト」様からお聞きください。「採掘師ギルドの封書」をお渡しいただければ、話が通るはずです。			イディルシャイアの工房							
あっ、はい、僕がノノワトです！えっと、冒険者さん、なにかご用ですか？			あっ、はい、僕がノノワトです！えっと、冒険者さん、なにかご用ですか？			イディルシャイアの工房							
これは、採掘師ギルドの身元保証書！？それじゃあ、あなたが依頼を受けてくださる採掘師さんですね！お待ちしておりました！			これは、採掘師ギルドの身元保証書！？それじゃあ、あなたが依頼を受けてくださる採掘師さんですね！お待ちしておりました！			イディルシャイアの工房							
えっと、依頼内容については、主任の「スティックキクス」から説明させていただきます！まずは、工房までご案内しますので、こちらへどうぞ！			えっと、依頼内容については、主任の「スティックキクス」から説明させていただきます！まずは、工房までご案内しますので、こちらへどうぞ！			イディルシャイアの工房							
こちらが主任の「スティックキクス」です！			こちらが主任の「スティックキクス」です！			イディルシャイアの工房							
ヒュコォ……ヒュコォ……君が派遣された採掘師さんかい？ヤァヤァ、よく来てくれたね、会えて嬉しいよ！			ヒュコォ……ヒュコォ……君が派遣された採掘師さんかい？ヤァヤァ、よく来てくれたね、会えて嬉しいよ！			イディルシャイアの工房							
私がこの工房の長であり、最先端技術研究開発班主任、スティックキクスだ、よろしくね。……って、なんか驚いてる様子だけど、どうしたんだい？			私がこの工房の長であり、最先端技術研究開発班主任、スティックキクスだ、よろしくね。……って、なんか驚いてる様子だけど、どうしたんだい？			イディルシャイアの工房							
それは主任が、ゴブリン族だというのに、流暢に「共通語」をしゃべっているからだと思いますよ？			それは主任が、ゴブリン族だというのに、流暢に「共通語」をしゃべっているからだと思いますよ？			イディルシャイアの工房							
ヒュコォ……ヒュコォ……なるほどねえ。ノノワト君は鋭いなあ。			ヒュコォ……ヒュコォ……なるほどねえ。ノノワト君は鋭いなあ。			イディルシャイアの工房							
私はいまの立場上、ヒトと関わることが多くてね。なのに、ゴブリン訛りが強いと、意思疎通が難しいだろ？トテトテ頑張って、しゃべり方を覚えたのさ。			私はいまの立場上、ヒトと関わることが多くてね。なのに、ゴブリン訛りが強いと、意思疎通が難しいだろ？トテトテ頑張って、しゃべり方を覚えたのさ。			イディルシャイアの工房							
その立場ってのが、最先端技……ああ、長いから「最技研」ね。最技研、ヒトとゴブリン族の技術を融合させて、エオルゼアで最も進んだ技術を生み出そうって研究の主任だ。			その立場ってのが、最先端技……ああ、長いから「最技研」ね。最技研、ヒトとゴブリン族の技術を融合させて、エオルゼアで最も進んだ技術を生み出そうって研究の主任だ。			イディルシャイアの工房							
採掘師さんにお願いしたいのは、最技研で使用する鉱石の採掘です！実はいま、研究の一環として、あるものを開発中で……。			採掘師さんにお願いしたいのは、最技研で使用する鉱石の採掘です！実はいま、研究の一環として、あるものを開発中で……。			イディルシャイアの工房							
整地用土木重機、その名も「スチームローラー」！魔物はびこるシャーレアンの廃墟を再整備し、イディルシャイアを拡張するための切り札さ！			整地用土木重機、その名も「スチームローラー」！魔物はびこるシャーレアンの廃墟を再整備し、イディルシャイアを拡張するための切り札さ！			イディルシャイアの工房							
これを開発するにあたり、必要となる鉱物資源を、いろいろと採ってきてほしいのだけど……お願いできるかな？			これを開発するにあたり、必要となる鉱物資源を、いろいろと採ってきてほしいのだけど……お願いできるかな？			イディルシャイアの工房							
ヒュコォ……ヒュコォ……ありがとう、断られたらどうしようかと思ったよ！……それじゃあ、最技研の主要な研究員を紹介しておこうか。			ヒュコォ……ヒュコォ……ありがとう、断られたらどうしようかと思ったよ！……それじゃあ、最技研の主要な研究員を紹介しておこうか。			イディルシャイアの工房							
俺はクリストリムだ。主に外装の開発を担当している。よろしく頼むぞ、採掘師殿。			俺はクリストリムだ。主に外装の開発を担当している。よろしく頼むぞ、採掘師殿。			イディルシャイアの工房							
ボクちん、ザンセイ。クリストリムとは反対に、担当は内装開発だーよ。キミが採ってくる鉱石、楽しみにしてるかーらネ！			ボクちん、ザンセイ。クリストリムとは反対に、担当は内装開発だーよ。キミが採ってくる鉱石、楽しみにしてるかーらネ！			イディルシャイアの工房							
フォクウィダ、外装開発補佐だ。アンタ、採掘師のくせに、強そうじゃないか。気が合いそうだ、悪かァないね！			フォクウィダ、外装開発補佐だ。アンタ、採掘師のくせに、強そうじゃないか。気が合いそうだ、悪かァないね！			イディルシャイアの工房							
シュコォ……シュコォ……ゴブは　内装開発　補佐する　スタックブロクス！会えて　うれしい　採掘師～　これで　開発　楽になる～。			シュコォ……シュコォ……ゴブは　内装開発　補佐する　スタックブロクス！会えて　うれしい　採掘師～　これで　開発　楽になる～。			イディルシャイアの工房							
ヒュコォ……ヒュコォ……ひとまず、こんなところかな。この後の進行については、ノノワト君から聞いてね。			ヒュコォ……ヒュコォ……ひとまず、こんなところかな。この後の進行については、ノノワト君から聞いてね。			イディルシャイアの工房							
進捗管理は、主任の一番弟子たる僕の担当ですので！ここはうるさいし、暑いですから、外でお話ししましょう！			進捗管理は、主任の一番弟子たる僕の担当ですので！ここはうるさいし、暑いですから、外でお話ししましょう！			イディルシャイアの工房							
ヒュコォ……ヒュコォ……イヤイヤ、これで私の心配事もひとつ減ったよ。これからはよろしくお願いね、採掘師さん。			ヒュコォ……ヒュコォ……イヤイヤ、これで私の心配事もひとつ減ったよ。これからはよろしくお願いね、採掘師さん。			イディルシャイアの工房							
貴公の名前は、聞いたことがある。優秀な冒険者であり、採掘師だそうだな。助力を得られて、とても心強く思う。			貴公の名前は、聞いたことがある。優秀な冒険者であり、採掘師だそうだな。助力を得られて、とても心強く思う。			イディルシャイアの工房							
ンフフッ、キミが来てくれて嬉しーよ。ちょーっと個性的なヒトとゴブリンが多いけど、目をつぶって仲良くしてネ。			ンフフッ、キミが来てくれて嬉しーよ。ちょーっと個性的なヒトとゴブリンが多いけど、目をつぶって仲良くしてネ。			イディルシャイアの工房							
最近、ちょいと物足りなく感じてたところでね。アンタが手ェ貸してくれるなら、いい刺激になりそうだ！			最近、ちょいと物足りなく感じてたところでね。アンタが手ェ貸してくれるなら、いい刺激になりそうだ！			イディルシャイアの工房							
シュコォ……シュコォ……ゴブたち　持ってる　鉱石は　ホンのチョッピリ　物足りない！ヒトの　持ってる　採掘術で　上質　鉱石　お願いよー！			シュコォ……シュコォ……ゴブたち　持ってる　鉱石は　ホンのチョッピリ　物足りない！ヒトの　持ってる　採掘術で　上質　鉱石　お願いよー！			イディルシャイアの工房							
採掘師さん、お疲れさまでした！今日のところは、ひとまず顔合わせのみということで、本格的な仕事の依頼は、次回からにさせて頂きますね！			採掘師さん、お疲れさまでした！今日のところは、ひとまず顔合わせのみということで、本格的な仕事の依頼は、次回からにさせて頂きますね！			イディルシャイアの工房							
必要な鉱石の洗い出しと、優先順位の格付けを行いますので、折を見て、僕に声をかけてくださると嬉しいです！では、よろしくお願いします！			必要な鉱石の洗い出しと、優先順位の格付けを行いますので、折を見て、僕に声をかけてくださると嬉しいです！では、よろしくお願いします！			イディルシャイアの工房							
「採掘師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、イディルシャイアのノノワトから受注可能です。			「採掘師」の新たなクラスクエストが開始されました。次のクエストは「レベル63」以上で、イディルシャイアのノノワトから受注可能です。			イディルシャイアの工房							
今後の「採掘師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「採掘師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			イディルシャイアの工房							
採掘師ギルドのアダルベルタは、冒険者に興味深い仕事を紹介したいようだ。			採掘師ギルドのアダルベルタは、冒険者に興味深い仕事を紹介したいようだ。			終わり、そして始まり							
前回までの冒険録：採掘師ギルドマスターのアダルベルタは、かつてギルドマスター候補と言われた採掘師ディープ・キャニオンを先輩と慕っている。だが、ディープ・キャニオンはそんな彼女の心を知らず、彼女を陥れようと、息子のワイド・ガリーを採掘師ギルドに送り込んでいた。冒険者に腕比べを挑むも破れ、心を入れ替えたワイド・ガリーは、アマジナ鉱山社に絡む父親の不正を告発する。窮地に追い込まれたディープ・キャニオンを救ったのは、冒険者とアダルベルタ。彼との関係を修復し、もう一度「先輩」と呼びたい……それが、アダルベルタの望みだったのだ。　　　　　　　　　　　　*　*　*アダルベルタから、イシュガルドの傭兵団が行う辺境での資源調査の仕事を紹介してもらった。仕事を受けるなら、リネットから身元保証書を受け取る必要があるようだ。採掘師ギルド受付「リネット」と話そう。			前回までの冒険録：採掘師ギルドマスターのアダルベルタは、かつてギルドマスター候補と言われた採掘師ディープ・キャニオンを先輩と慕っている。だが、ディープ・キャニオンはそんな彼女の心を知らず、彼女を陥れようと、息子のワイド・ガリーを採掘師ギルドに送り込んでいた。冒険者に腕比べを挑むも破れ、心を入れ替えたワイド・ガリーは、アマジナ鉱山社に絡む父親の不正を告発する。窮地に追い込まれたディープ・キャニオンを救ったのは、冒険者とアダルベルタ。彼との関係を修復し、もう一度「先輩」と呼びたい……それが、アダルベルタの望みだったのだ。　　　　　　　　　　　　*　*　*アダルベルタから、イシュガルドの傭兵団が行う辺境での資源調査の仕事を紹介してもらった。仕事を受けるなら、リネットから身元保証書を受け取る必要があるようだ。採掘師ギルド受付「リネット」と話そう。			終わり、そして始まり							
リネットから採掘師ギルドの封書を受け取った。イシュガルドのフォルタン伯爵邸付近にいる「フォルタン家の騎士」に「採掘師ギルドの封書」を渡そう。			リネットから採掘師ギルドの封書を受け取った。イシュガルドのフォルタン伯爵邸付近にいる「フォルタン家の騎士」に「採掘師ギルドの封書」を渡そう。			終わり、そして始まり							
冒険者と共に仕事を行うのは「迅風傭兵団」という傭兵団であり、所属隊の隊長はハイムリックというそうだ。イシュガルドの忘れられた騎士亭にいる「ハイムリック」と話そう。			冒険者と共に仕事を行うのは「迅風傭兵団」という傭兵団であり、所属隊の隊長はハイムリックというそうだ。イシュガルドの忘れられた騎士亭にいる「ハイムリック」と話そう。			終わり、そして始まり							
迅風傭兵団は渾名で呼び合う伝統らしく、冒険者はひなチョコと呼ばれる若者から「先生」という渾名を与えられた。初任務までの待機期間に、採掘師としての腕を磨いておこう。※採掘師のレベルが53以上になると、忘れられた騎士亭のハイムリックから次の採掘師クエストを受注することができます。			迅風傭兵団は渾名で呼び合う伝統らしく、冒険者はひなチョコと呼ばれる若者から「先生」という渾名を与えられた。初任務までの待機期間に、採掘師としての腕を磨いておこう。※採掘師のレベルが53以上になると、忘れられた騎士亭のハイムリックから次の採掘師クエストを受注することができます。			終わり、そして始まり							
採掘師ギルドのリネットと話す			採掘師ギルドのリネットと話す			終わり、そして始まり							
イシュガルドのフォルタン家の騎士に採掘師ギルドの封書を渡す			イシュガルドのフォルタン家の騎士に採掘師ギルドの封書を渡す			終わり、そして始まり							
忘れられた騎士亭のハイムリックと話す			忘れられた騎士亭のハイムリックと話す			終わり、そして始まり							
ねえ……こんな仕事が入ったんだけど、キミは興味ない？はるか遠方、イシュガルドに雇われた傭兵団から、採掘の専門家をよこしてもらえないかって引き合いが来てるのよ。			ねえ……こんな仕事が入ったんだけど、キミは興味ない？はるか遠方、イシュガルドに雇われた傭兵団から、採掘の専門家をよこしてもらえないかって引き合いが来てるのよ。			終わり、そして始まり							
打診してきたのは、ウルダハ出身の隊長さんが率いる一隊でね。辺境に赴いての資源調査を、おもな任務としているらしいの。ウチで紹介できるのは、冒険者としての経験も豊富なキミだけ！			打診してきたのは、ウルダハ出身の隊長さんが率いる一隊でね。辺境に赴いての資源調査を、おもな任務としているらしいの。ウチで紹介できるのは、冒険者としての経験も豊富なキミだけ！			終わり、そして始まり							
めったに行けない秘地を探査する、またとない機会だけど……同時に、命の危険が伴う仕事でもあるわ。受ける覚悟があるなら、「リネット」から身元保証書を受け取って！			めったに行けない秘地を探査する、またとない機会だけど……同時に、命の危険が伴う仕事でもあるわ。受ける覚悟があるなら、「リネット」から身元保証書を受け取って！			終わり、そして始まり							
めったに行けない秘地を探査する、またとない機会だけど……同時に、命の危険が伴う仕事でもあるわ。受ける覚悟があるなら、「リネット」から身元保証書を受け取って！			めったに行けない秘地を探査する、またとない機会だけど……同時に、命の危険が伴う仕事でもあるわ。受ける覚悟があるなら、「リネット」から身元保証書を受け取って！			終わり、そして始まり							
ついに、イシュガルドにまでご活躍の舞台を広げられるんですね！身元保証書のほうは、すでに用意してあります。紹介先は、大貴族お抱えの傭兵団だということです。			ついに、イシュガルドにまでご活躍の舞台を広げられるんですね！身元保証書のほうは、すでに用意してあります。紹介先は、大貴族お抱えの傭兵団だということです。			終わり、そして始まり							
その封書を、イシュガルドのフォルタン伯爵邸にて、「フォルタン家の騎士」様にお渡しください！あなたの一層のご活躍、期待してます！			その封書を、イシュガルドのフォルタン伯爵邸にて、「フォルタン家の騎士」様にお渡しください！あなたの一層のご活躍、期待してます！			終わり、そして始まり							
その封書を、イシュガルドのフォルタン伯爵邸にて、「フォルタン家の騎士」様にお渡しください！あなたの一層のご活躍、期待してます！			その封書を、イシュガルドのフォルタン伯爵邸にて、「フォルタン家の騎士」様にお渡しください！あなたの一層のご活躍、期待してます！			終わり、そして始まり							
む……私に用件でも？			む……私に用件でも？			終わり、そして始まり							
そうか、傭兵団が探している採掘の専門家か。ふむ、なるほど……実績など申し分ないようだな！さっそく派遣先の隊長と会えるよう、手配しておこう。			そうか、傭兵団が探している採掘の専門家か。ふむ、なるほど……実績など申し分ないようだな！さっそく派遣先の隊長と会えるよう、手配しておこう。			終わり、そして始まり							
我があるじ、フォルタン伯爵は、合理的な考えをなさる方でな。旗下に異邦の傭兵団を抱え、外地での経験や知見を活用しておる。純血を是とする我が国にあっては、珍しいことだ。			我があるじ、フォルタン伯爵は、合理的な考えをなさる方でな。旗下に異邦の傭兵団を抱え、外地での経験や知見を活用しておる。純血を是とする我が国にあっては、珍しいことだ。			終わり、そして始まり							
君に紹介する「迅風傭兵団」も、そのひとつだ。忘れられた騎士亭にて、「ハイムリック」隊長と会うがよい。君の力を必要としているのは、その男だ！			君に紹介する「迅風傭兵団」も、そのひとつだ。忘れられた騎士亭にて、「ハイムリック」隊長と会うがよい。君の力を必要としているのは、その男だ！			終わり、そして始まり							
忘れられた騎士亭にて、「ハイムリック」隊長と会うがよい。君の力を必要としているのは、その男だ！			忘れられた騎士亭にて、「ハイムリック」隊長と会うがよい。君の力を必要としているのは、その男だ！			終わり、そして始まり							
……え、オレに用すか？			……え、オレに用すか？			終わり、そして始まり							
Forename Surname君だな？待っていたよ、「迅風傭兵団」のハイムリックだ。オレが率いる一隊は、資源調査がおもな任務……。			Forename Surname君だな？待っていたよ、「迅風傭兵団」のハイムリックだ。オレが率いる一隊は、資源調査がおもな任務……。			終わり、そして始まり							
ドラゴン族の首を獲るような武功とは、無縁の裏方だよ。だが、長期にわたる継戦には、不可欠な役割という矜持をもって、この仕事をやらせてもらっているよ。			ドラゴン族の首を獲るような武功とは、無縁の裏方だよ。だが、長期にわたる継戦には、不可欠な役割という矜持をもって、この仕事をやらせてもらっているよ。			終わり、そして始まり							
フォルタン家の旦那は、オレたち「迅風」の傭兵に、指揮権を含む、かなりの裁量を認めている。専門家である君にも、任務中はオレの指示に従ってもらう。			フォルタン家の旦那は、オレたち「迅風」の傭兵に、指揮権を含む、かなりの裁量を認めている。専門家である君にも、任務中はオレの指示に従ってもらう。			終わり、そして始まり							
むろん、採掘師に交戦を命じるようなことはないが、自分自身の身を守る必要は、イヤでも生じるだろう。覚悟してくれ。			むろん、採掘師に交戦を命じるようなことはないが、自分自身の身を守る必要は、イヤでも生じるだろう。覚悟してくれ。			終わり、そして始まり							
ヘヘッ！資源の眠る秘境ともなれば、野生の凶獣もいっぱい出るっすよ。泣きべそかいて逃げ出さなきゃいいけど！			ヘヘッ！資源の眠る秘境ともなれば、野生の凶獣もいっぱい出るっすよ。泣きべそかいて逃げ出さなきゃいいけど！			終わり、そして始まり							
……すまん、こいつはオレの隊の若造でな。ご覧のとおり、口のきき方も知らん半人前。渾名は「ひなチョコ」、まだ卵の殻も取れん未熟者だ。			……すまん、こいつはオレの隊の若造でな。ご覧のとおり、口のきき方も知らん半人前。渾名は「ひなチョコ」、まだ卵の殻も取れん未熟者だ。			終わり、そして始まり							
うぅ……ウチの隊は、なぜか渾名で呼びあう伝統なんすよ。そうだ、この専門家先生にも、渾名をつけてあげないと！何がいいかな……うーん、そのまんま「先生」とか……？			うぅ……ウチの隊は、なぜか渾名で呼びあう伝統なんすよ。そうだ、この専門家先生にも、渾名をつけてあげないと！何がいいかな……うーん、そのまんま「先生」とか……？			終わり、そして始まり							
……「先生」か、悪くないな。現在、我が隊は、次の任務まで待機中だ。出動の際は、ここで通達する……よろしくな、先生！			……「先生」か、悪くないな。現在、我が隊は、次の任務まで待機中だ。出動の際は、ここで通達する……よろしくな、先生！			終わり、そして始まり							
「採掘師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、忘れられた騎士亭のハイムリックから受注可能です。			「採掘師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、忘れられた騎士亭のハイムリックから受注可能です。			終わり、そして始まり							
今後の「採掘師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「採掘師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			終わり、そして始まり							
また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			終わり、そして始まり							
忘れられた騎士亭のハイムリックは、冒険者に感謝を伝えたいようだ。			忘れられた騎士亭のハイムリックは、冒険者に感謝を伝えたいようだ。			救い、そして旅立ち							
低地ドラヴァニアでの調査を本格的に始めるよう依頼を受けた。イディルシャイアで「ハイムリック」と合流しよう。			低地ドラヴァニアでの調査を本格的に始めるよう依頼を受けた。イディルシャイアで「ハイムリック」と合流しよう。			救い、そして旅立ち							
ハイムリックの隊が魔物の襲撃を受け、ひなチョコが行方不明になった。人員の足りない彼らにかわり、冒険者は地域の顔役に協力を要請することになった。イディルシャイアの「ミッドナイト・デュー」と話そう。			ハイムリックの隊が魔物の襲撃を受け、ひなチョコが行方不明になった。人員の足りない彼らにかわり、冒険者は地域の顔役に協力を要請することになった。イディルシャイアの「ミッドナイト・デュー」と話そう。			救い、そして旅立ち							
ひなチョコの消息は、ゴブリン族の行商が知っている可能性があるようだ。しかし、がめついゴブリン族の行商と交渉するにはアダマン鉱が3個必要だという。イディルシャイアの「ゴブリン族の行商人」に「アダマン鉱」を3個納品しよう。手がかりはほとんどないが、アダマン鉱は、魔大陸アジス・ラーの採掘場で採掘できるようだ。			ひなチョコの消息は、ゴブリン族の行商が知っている可能性があるようだ。しかし、がめついゴブリン族の行商と交渉するにはアダマン鉱が3個必要だという。イディルシャイアの「ゴブリン族の行商人」に「アダマン鉱」を3個納品しよう。手がかりはほとんどないが、アダマン鉱は、魔大陸アジス・ラーの採掘場で採掘できるようだ。			救い、そして旅立ち							
ゴブリン族の行商にアダマン鉱を3個納品した。喜んだゴブリン族の行商は、ひなチョコの場所まで案内してくれるという。イディルシャイアの「ハイムリック」と話そう。			ゴブリン族の行商にアダマン鉱を3個納品した。喜んだゴブリン族の行商は、ひなチョコの場所まで案内してくれるという。イディルシャイアの「ハイムリック」と話そう。			救い、そして旅立ち							
ハイムリックと話した。低地ドラヴァニアの「シャーレアン哲人街」で目撃された「ひなチョコ」の救出に向かった、「ハイムリック」と合流しよう。			ハイムリックと話した。低地ドラヴァニアの「シャーレアン哲人街」で目撃された「ひなチョコ」の救出に向かった、「ハイムリック」と合流しよう。			救い、そして旅立ち							
ひなチョコが救出された。弟を失ったときの状況と重ねあわせ、深く葛藤をしていたハイムリック隊長の心も救われたようだ。最後に隊長に、届け物を頼まれた。イディルシャイアの「ミッドナイト・デュー」に「傭兵団の革袋」を渡そう。			ひなチョコが救出された。弟を失ったときの状況と重ねあわせ、深く葛藤をしていたハイムリック隊長の心も救われたようだ。最後に隊長に、届け物を頼まれた。イディルシャイアの「ミッドナイト・デュー」に「傭兵団の革袋」を渡そう。			救い、そして旅立ち							
ミッドナイト・デューから、ハイムリックの弟であるゲヴハードの話を聞いた。行方不明となった直後に死んだと思われていた彼だが、その後しばらく生存していたようだ。彼はイディルシャイアを守って亡くなり、英雄として丁重に葬られたらしい。イシュガルドに戻り、忘れられた騎士亭の「ハイムリック」に報告しよう。			ミッドナイト・デューから、ハイムリックの弟であるゲヴハードの話を聞いた。行方不明となった直後に死んだと思われていた彼だが、その後しばらく生存していたようだ。彼はイディルシャイアを守って亡くなり、英雄として丁重に葬られたらしい。イシュガルドに戻り、忘れられた騎士亭の「ハイムリック」に報告しよう。			救い、そして旅立ち							
ハイムリックに弟の消息を伝えた。彼は、弟の最期を聞いて、長年の胸のつかえがとれたようだ……。ひょんなことから関わることになった迅風傭兵団。重い過去を持つ者、成長過程の者など背負う背景は様々だが、同時にその前途には、大いなる未来も拓けている。彼らの伝説をつむぐ採掘師として、その手伝いをすることができたようだ。※以下の条件を満たすと、採掘師ギルドのアダルベルタから、新たなクラスクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			ハイムリックに弟の消息を伝えた。彼は、弟の最期を聞いて、長年の胸のつかえがとれたようだ……。ひょんなことから関わることになった迅風傭兵団。重い過去を持つ者、成長過程の者など背負う背景は様々だが、同時にその前途には、大いなる未来も拓けている。彼らの伝説をつむぐ採掘師として、その手伝いをすることができたようだ。※以下の条件を満たすと、採掘師ギルドのアダルベルタから、新たなクラスクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			救い、そして旅立ち							
イディルシャイアでハイムリックと合流			イディルシャイアでハイムリックと合流			救い、そして旅立ち							
ミッドナイト・デューと話す			ミッドナイト・デューと話す			救い、そして旅立ち							
魔大陸アジス・ラーでアダマン鉱を採掘イディルシャイアのゴブリン族の行商にアダマン鉱を納品			魔大陸アジス・ラーでアダマン鉱を採掘イディルシャイアのゴブリン族の行商にアダマン鉱を納品			救い、そして旅立ち							
イディルシャイアのハイムリックと話す			イディルシャイアのハイムリックと話す			救い、そして旅立ち							
シャーレアン哲人街でハイムリックと合流			シャーレアン哲人街でハイムリックと合流			救い、そして旅立ち							
イディルシャイアのミッドナイト・デューに傭兵団の革袋を渡す			イディルシャイアのミッドナイト・デューに傭兵団の革袋を渡す			救い、そして旅立ち							
イシュガルドのハイムリックに報告			イシュガルドのハイムリックに報告			救い、そして旅立ち							
